SceneName,CollisionDetection_min,CollisionDetection_max,CollisionDetection_mean,CollisionDetection_std,CollisionDetection_quartile1,CollisionDetection_quartile2,CollisionDetection_quartile3,CollisionDetection_cardinality,ODESolve_min,ODESolve_max,ODESolve_mean,ODESolve_std,ODESolve_quartile1,ODESolve_quartile2,ODESolve_quartile3,ODESolve_cardinality,ComputeForce_min,ComputeForce_max,ComputeForce_mean,ComputeForce_std,ComputeForce_quartile1,ComputeForce_quartile2,ComputeForce_quartile3,ComputeForce_cardinality,ComputeRHTerm_min,ComputeRHTerm_max,ComputeRHTerm_mean,ComputeRHTerm_std,ComputeRHTerm_quartile1,ComputeRHTerm_quartile2,ComputeRHTerm_quartile3,ComputeRHTerm_cardinality,setSystemMBKMatrix_min,setSystemMBKMatrix_max,setSystemMBKMatrix_mean,setSystemMBKMatrix_std,setSystemMBKMatrix_quartile1,setSystemMBKMatrix_quartile2,setSystemMBKMatrix_quartile3,setSystemMBKMatrix_cardinality,MBKSolve_min,MBKSolve_max,MBKSolve_mean,MBKSolve_std,MBKSolve_quartile1,MBKSolve_quartile2,MBKSolve_quartile3,MBKSolve_cardinality,ProjectAndMechaMap_min,ProjectAndMechaMap_max,ProjectAndMechaMap_mean,ProjectAndMechaMap_std,ProjectAndMechaMap_quartile1,ProjectAndMechaMap_quartile2,ProjectAndMechaMap_quartile3,ProjectAndMechaMap_cardinality,UpdateBBox_min,UpdateBBox_max,UpdateBBox_mean,UpdateBBox_std,UpdateBBox_quartile1,UpdateBBox_quartile2,UpdateBBox_quartile3,UpdateBBox_cardinality,TimeStep_min,TimeStep_max,TimeStep_mean,TimeStep_std,TimeStep_quartile1,TimeStep_quartile2,TimeStep_quartile3,TimeStep_cardinality,SolveConstraint_min,SolveConstraint_max,SolveConstraint_mean,SolveConstraint_std,SolveConstraint_quartile1,SolveConstraint_quartile2,SolveConstraint_quartile3,SolveConstraint_cardinality,PrepareState_min,PrepareState_max,PrepareState_mean,PrepareState_std,PrepareState_quartile1,PrepareState_quartile2,PrepareState_quartile3,PrepareState_cardinality,BuildSystem_min,BuildSystem_max,BuildSystem_mean,BuildSystem_std,BuildSystem_quartile1,BuildSystem_quartile2,BuildSystem_quartile3,BuildSystem_cardinality,SolveSystem_min,SolveSystem_max,SolveSystem_mean,SolveSystem_std,SolveSystem_quartile1,SolveSystem_quartile2,SolveSystem_quartile3,SolveSystem_cardinality,ApplyCorrection_min,ApplyCorrection_max,ApplyCorrection_mean,ApplyCorrection_std,ApplyCorrection_quartile1,ApplyCorrection_quartile2,ApplyCorrection_quartile3,ApplyCorrection_cardinality,CPUUsage_min,CPUUsage_max,CPUUsage_mean,CPUUsage_std,CPUUsage_quartile1,CPUUsage_quartile2,CPUUsage_quartile3,CPUUsage_cardinality
fallingBeamLagrangianCollision,0.340306,0.450089,0.36394444705882356,0.01893950143794143,0.350522,0.359138,0.37173,255,11.477243,13.477253,12.020806,0.2679899707078607,11.849202,12.066774,12.177072,255,0.283289,0.375428,0.29690776078431375,0.016384088130269044,0.286678,0.29047,0.300548,255,0.136357,0.209083,0.1440985607843137,0.013441062936026557,0.1377165,0.138468,0.142675,255,3.582604,3.920714,3.7115374588235297,0.0653954092418054,3.6645795,3.711357,3.754919,255,3.582604,3.920714,3.7115374588235297,0.0653954092418054,3.6645795,3.711357,3.754919,255,0.022757,0.045245,0.024097384313725493,0.0018049720874896338,0.023499,0.023779,0.024143,255,0.052937,0.087778,0.05547497647058823,0.0041809790015271625,0.0539945,0.054557,0.0554405,255,39.898457,54.119845,47.40127350196079,2.17420196247678,47.371616,47.669809,47.9513065,255,27.319208,41.363604,34.84364559215687,2.176550209164853,35.0532455,35.214617,35.323052,255,0.021102,0.059158,0.023256639215686273,0.004575034678453308,0.0219865,0.02231,0.022656,255,21.740022,27.940116,22.254689937254902,1.3979368280731048,21.8434415,21.884383,21.940155,255,4.901584,13.264415,12.141414423529413,1.7960924875845934,12.7368815,12.881669,12.9790445,255,0.400581,0.513614,0.4213751960784314,0.01854539056289138,0.4089895,0.415103,0.431591,255,0.0,1.2,0.48,0.5878775382679627,0.0,0.0,1.2,5
SofaScene,8.992907,13.699509,9.379212621652423,0.2791116703860041,9.15529,9.34487,9.5407945,1755,8.700989,13.323938,9.067800403418804,0.27456308035030613,8.8500535,9.032354,9.2184625,1755,0.004814,0.567893,0.17697889050332383,0.17212792197977989,0.02966725,0.1190275,0.28214075,10530,0.006265,0.317336,0.08098819354226021,0.07739283550276216,0.0148385,0.06496,0.13051425,10530,0.034435,5.522095,1.1690986915479582,1.2015773412808268,0.0903675,0.8887005,1.7464425,10530,0.034435,5.522095,1.1690986915479582,1.2015773412808268,0.0903675,0.8887005,1.7464425,10530,0.096747,0.175663,0.11258294757834758,0.01197310677538632,0.103842,0.107158,0.1205045,1755,0.132082,0.227703,0.1458159903133903,0.011360174572081553,0.1381345,0.142023,0.15035,1755,24.09245,42.24072,30.93072671965812,3.7427089631654487,28.465724,30.397818,32.742273,1755,14.526026,32.495217,21.0298804980057,3.686936991304867,18.629597,20.479473,22.870487,1755,0.072588,0.140021,0.08364466438746439,0.00928582003489259,0.078747,0.081245,0.085247,1755,13.760784,31.666853,20.193678503133903,3.59625302858274,17.847366,19.678686,22.0403985,1755,0.100997,1.038815,0.2560915247863248,0.10595213363208264,0.19605,0.229645,0.281404,1755,0.434866,0.72847,0.4942176324786325,0.02952639717119381,0.474794,0.488334,0.51043,1755,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
BilateralLagrangianConstraint_NNCG,0.036019,1.738879,0.108193148,0.12197673723905758,0.053602,0.0932325,0.12500375,1000,0.126927,0.226414,0.144407904,0.017158717368404436,0.131709,0.135786,0.1570595,1000,0.001885,0.023014,0.00258364275,0.001214374551208332,0.002032,0.002126,0.002963,4000,0.004049,0.026636,0.00514029,0.00157663239355279,0.004312,0.004472,0.005687,4000,0.000337,0.021133,0.000731146,0.0007116458442821121,0.000467,0.000516,0.00091525,4000,0.000337,0.021133,0.000731146,0.0007116458442821121,0.000467,0.000516,0.00091525,4000,0.01991,0.058098,0.023168234,0.004296011446824136,0.020735,0.021076,0.02474425,1000,0.027506,0.106271,0.030550135,0.005088668072371689,0.02827675,0.0287725,0.03166825,1000,0.421058,2.342592,0.525290076,0.14932403323129276,0.453408,0.487405,0.57769525,1000,0.085403,0.189009,0.100227848,0.01580747658745367,0.08781325,0.0918725,0.1108895,1000,0.025115,0.063972,0.029206801,0.005237550719506112,0.02608125,0.0266795,0.03130225,1000,0.037593,0.110645,0.044563466999999995,0.009039299093674852,0.03847875,0.0407435,0.04988125,1000,0.005188,0.024676,0.006559137,0.0021171756417999433,0.005452,0.0055885,0.00698475,1000,0.016035,0.050306,0.019343789,0.004291695146731534,0.0166645,0.0174245,0.02070175,1000,0.0,1.2,0.72,0.5878775382679627,0.0,1.2,1.2,5
BilateralLagrangianConstraint_PGS,0.041213,1.750049,0.10798403,0.12042467664723495,0.05299625,0.09322,0.12481825,1000,0.12658,0.295239,0.145268744,0.018459583061122047,0.13190025,0.1372665,0.1562705,1000,0.001883,0.024188,0.00259767875,0.0011941237896668994,0.00207,0.002199,0.002988,4000,0.004032,0.026765,0.00526077425,0.0016869439628472954,0.004362,0.004542,0.00575825,4000,0.000368,0.021479,0.000740033,0.0007967951100571589,0.000473,0.000525,0.000882,4000,0.000368,0.021479,0.000740033,0.0007967951100571589,0.000473,0.000525,0.000882,4000,0.019881,0.061123,0.023001207,0.0039918604843044055,0.0204585,0.0210055,0.0248405,1000,0.027298,0.066502,0.030162309,0.0038798470165096713,0.02809375,0.028595,0.03151225,1000,0.420856,2.350717,0.526443076,0.15005883792004462,0.45178775,0.487081,0.581452,1000,0.085167,0.216135,0.100870697,0.016321228175881587,0.08814975,0.092418,0.11213225,1000,0.025027,0.067238,0.029363938,0.005706875665559572,0.02590975,0.026615,0.0318135,1000,0.037768,0.114284,0.044851119,0.009008318415156017,0.03861325,0.0412615,0.05018425,1000,0.005164,0.027415,0.006645728,0.002023377307378928,0.005483,0.005905,0.00708225,1000,0.01611,0.055333,0.019408506000000002,0.004044509376174569,0.01679,0.0175575,0.020885,1000,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
BilateralLagrangianConstraint_UGS,0.033297,1.699274,0.079064106,0.1171052214531904,0.05234825,0.066769,0.07854775,1000,0.126548,0.24168,0.13813788500000002,0.013466936375351856,0.131517,0.1336575,0.137852,1000,0.00188,0.023132,0.0024352135,0.0010344558714211788,0.00204,0.002108,0.0029,4000,0.00409,0.026316,0.00495292525,0.0015482512638982204,0.004312,0.0044215,0.005645,4000,0.000369,0.017748,0.00073731375,0.0008092610958837312,0.000456,0.000507,0.000943,4000,0.000369,0.017748,0.00073731375,0.0008092610958837312,0.000456,0.000507,0.000943,4000,0.020015,0.061661,0.021338942,0.00319341435655256,0.020457,0.0206325,0.020877,1000,0.027775,0.077506,0.029348651000000003,0.004202529171962879,0.028216,0.0284035,0.02863225,1000,0.435768,2.335285,0.501932748,0.13807646822204173,0.46131975,0.4847295,0.507086,1000,0.097324,0.201667,0.121436109,0.016609621504390732,0.109139,0.1191955,0.12619425,1000,0.025306,0.078029,0.027450097000000003,0.004847660082100538,0.02592575,0.026188,0.02657,1000,0.043135,0.115479,0.046603814,0.007449103969163271,0.043749,0.044168,0.045021,1000,0.008806,0.069718,0.028152920999999997,0.01029660099764767,0.01953675,0.029089,0.0339345,1000,0.016458,0.060509,0.018659008,0.004266073536864548,0.01704,0.017296,0.017865,1000,0.0,1.2,0.48,0.5878775382679627,0.0,0.0,1.2,5
FrictionContact_LCP_with_friction,0.040164,1.45892,0.083416283,0.09656572011159503,0.0750305,0.0756645,0.07757925,1000,0.040781,0.112948,0.055776796000000003,0.009753268141109625,0.051676,0.052227,0.05919425,1000,0.002867,0.020799,0.0042583410000000006,0.001595351754541612,0.004005,0.0040725,0.0041815,1000,0.005716,0.024155,0.008087917,0.0022937699732342386,0.007484,0.007578,0.007767,1000,0.000739,0.011328,0.001069766,0.000623712928552872,0.00097275,0.001005,0.001039,1000,0.000739,0.011328,0.001069766,0.000623712928552872,0.00097275,0.001005,0.001039,1000,0.006116,0.04025,0.009962427,0.0030254977694044003,0.0092375,0.009478,0.00985025,1000,0.011135,0.038917,0.014331457,0.0027162495460010664,0.01384475,0.013994,0.01419425,1000,0.142476,1.701685,0.247715598,0.10693466371776925,0.23351125,0.236673,0.2556425,1000,0.011959,0.096536,0.038501862,0.010909834323808772,0.0380765,0.038548,0.04140125,1000,0.002004,0.018708,0.003088478,0.0009768022335744325,0.00293575,0.003016,0.003129,1000,0.006743,0.061159,0.016576057,0.0046425293569078265,0.01599775,0.016172,0.017904,1000,0.001557,0.069798,0.016559545,0.006960408750495549,0.01727025,0.0174865,0.01775,1000,0.000978,0.011593,0.0014890370000000001,0.0010551020517613448,0.001285,0.001329,0.001389,1000,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
FrictionContact_LCP_without_friction,0.040171,1.488172,0.09927364699999999,0.09924801472561752,0.0752805,0.103697,0.105068,1000,0.040376,0.133397,0.05377582,0.009706928675003232,0.05100175,0.0515795,0.05263975,1000,0.002851,0.020296,0.0041449849999999995,0.0013970392509786544,0.003988,0.004066,0.00413125,1000,0.005749,0.041095,0.007682378,0.002049946892267212,0.007374,0.0074855,0.007628,1000,0.00069,0.015041,0.0010979280000000002,0.0009827014220077227,0.00095075,0.000984,0.001014,1000,0.00069,0.015041,0.0010979280000000002,0.0009827014220077227,0.00095075,0.000984,0.001014,1000,0.006027,0.038869,0.009577207,0.0027606825953287346,0.00916075,0.0093115,0.00946825,1000,0.011123,0.042198,0.014215982,0.002967938468647219,0.013665,0.0138195,0.0139805,1000,0.142623,1.738997,0.249869739,0.10930080867195299,0.22168275,0.252576,0.25761025,1000,0.012042,0.067853,0.028044861,0.007388871496492477,0.024978,0.0289105,0.0298825,1000,0.002064,0.017597,0.003123706,0.0012747793156323176,0.00294,0.0030025,0.003078,1000,0.006828,0.040763,0.015040916,0.0041224738469690745,0.01430575,0.0149915,0.015378,1000,0.001579,0.035808,0.0076776859999999995,0.0034191640152826832,0.00585475,0.0089525,0.00936425,1000,0.000972,0.017471,0.001407824,0.0009590800211786293,0.001234,0.001293,0.001343,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
FixedProjectiveConstraint,0.008431,0.143884,0.010061700000000002,0.008899653529211123,0.00878175,0.0089095,0.0091965,1000,1.095083,1.377741,1.14393743,0.044392280135842316,1.105949,1.132349,1.1720375,1000,0.067031,0.129446,0.069992612,0.006869966828264602,0.06745775,0.067701,0.069914,1000,0.037114,0.081317,0.039166123,0.004323219191744851,0.037538,0.037764,0.039842,1000,0.000595,0.010427,0.000868865,0.0005695965772149618,0.000728,0.000763,0.000802,1000,0.979817,1.204138,1.0261945080000001,0.0404101493553035,0.99209475,1.0158725,1.0526015,1000,0.002709,0.016795,0.002971295,0.0007314504904468928,0.002855,0.002905,0.002964,1000,0.008263,0.026266,0.008910456,0.0012971032834990434,0.008623,0.00874,0.008848,1000,1.128022,1.564953,1.17986206,0.04851855453455306,1.1405555,1.167117,1.21100575,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1.2,0.45999999999999996,0.5642694391866354,0.0,0.0,1.1,5
FEMBAR_EigenSimplicialLDLT,0.000266,0.012613,0.000331351,0.00039122824258864544,0.000299,0.000311,0.000329,1000,2.511269,5.173166,2.598652497,0.1988883661756313,2.548104,2.5762815,2.6017645,1000,0.051696,0.10245,0.054004392,0.005882745605271062,0.052094,0.0522615,0.05259775,1000,0.043853,0.090163,0.045545627,0.004720940088358568,0.044174,0.044318,0.04454525,1000,0.689562,2.160672,0.719018284,0.100442444784062,0.695874,0.703608,0.7261155,1000,1.711181,2.878174,1.772540886,0.11369387178196988,1.73722875,1.7521015,1.7793225,1000,0.001189,0.010128,0.0013480150000000002,0.0003051941558663927,0.001285,0.001323,0.001374,1000,0.005918,0.025835,0.006598204,0.001740402367380601,0.006193,0.0063145,0.006468,1000,2.527508,5.235747,2.6167572740000002,0.20152074520458416,2.56606125,2.5935845,2.619406,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
FEMBAR_EigenSimplicialLLT,0.000275,0.009393,0.000341408,0.0002898941281502611,0.000313,0.000327,0.000341,1000,2.610758,5.168706,2.6990676469999997,0.1964050431331904,2.62681175,2.6749525,2.7136435,1000,0.05167,0.105078,0.054318103,0.0057900445319868645,0.05210175,0.0523115,0.0552905,1000,0.043757,0.088817,0.045699531,0.004191536645556018,0.044292,0.044502,0.04651125,1000,0.690012,2.122911,0.718472884,0.09294023226654075,0.69612625,0.7056055,0.724941,1000,1.813045,2.939511,1.8731214550000002,0.11917467688892626,1.8185425,1.8567185,1.88264025,1000,0.001186,0.002787,0.0013421849999999999,0.0001159332082494054,0.001283,0.00132,0.001373,1000,0.005846,0.019574,0.006409366,0.0009160191526622137,0.006137,0.0062585,0.00641625,1000,2.626681,5.21947,2.717016154,0.19884305578826805,2.644109,2.692517,2.730741,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
