SceneName,CollisionDetection_min,CollisionDetection_max,CollisionDetection_mean,CollisionDetection_std,CollisionDetection_quartile1,CollisionDetection_quartile2,CollisionDetection_quartile3,CollisionDetection_cardinality,ODESolve_min,ODESolve_max,ODESolve_mean,ODESolve_std,ODESolve_quartile1,ODESolve_quartile2,ODESolve_quartile3,ODESolve_cardinality,ComputeForce_min,ComputeForce_max,ComputeForce_mean,ComputeForce_std,ComputeForce_quartile1,ComputeForce_quartile2,ComputeForce_quartile3,ComputeForce_cardinality,ComputeRHTerm_min,ComputeRHTerm_max,ComputeRHTerm_mean,ComputeRHTerm_std,ComputeRHTerm_quartile1,ComputeRHTerm_quartile2,ComputeRHTerm_quartile3,ComputeRHTerm_cardinality,setSystemMBKMatrix_min,setSystemMBKMatrix_max,setSystemMBKMatrix_mean,setSystemMBKMatrix_std,setSystemMBKMatrix_quartile1,setSystemMBKMatrix_quartile2,setSystemMBKMatrix_quartile3,setSystemMBKMatrix_cardinality,MBKSolve_min,MBKSolve_max,MBKSolve_mean,MBKSolve_std,MBKSolve_quartile1,MBKSolve_quartile2,MBKSolve_quartile3,MBKSolve_cardinality,ProjectAndMechaMap_min,ProjectAndMechaMap_max,ProjectAndMechaMap_mean,ProjectAndMechaMap_std,ProjectAndMechaMap_quartile1,ProjectAndMechaMap_quartile2,ProjectAndMechaMap_quartile3,ProjectAndMechaMap_cardinality,UpdateBBox_min,UpdateBBox_max,UpdateBBox_mean,UpdateBBox_std,UpdateBBox_quartile1,UpdateBBox_quartile2,UpdateBBox_quartile3,UpdateBBox_cardinality,TimeStep_min,TimeStep_max,TimeStep_mean,TimeStep_std,TimeStep_quartile1,TimeStep_quartile2,TimeStep_quartile3,TimeStep_cardinality,SolveConstraint_min,SolveConstraint_max,SolveConstraint_mean,SolveConstraint_std,SolveConstraint_quartile1,SolveConstraint_quartile2,SolveConstraint_quartile3,SolveConstraint_cardinality,PrepareState_min,PrepareState_max,PrepareState_mean,PrepareState_std,PrepareState_quartile1,PrepareState_quartile2,PrepareState_quartile3,PrepareState_cardinality,BuildSystem_min,BuildSystem_max,BuildSystem_mean,BuildSystem_std,BuildSystem_quartile1,BuildSystem_quartile2,BuildSystem_quartile3,BuildSystem_cardinality,SolveSystem_min,SolveSystem_max,SolveSystem_mean,SolveSystem_std,SolveSystem_quartile1,SolveSystem_quartile2,SolveSystem_quartile3,SolveSystem_cardinality,ApplyCorrection_min,ApplyCorrection_max,ApplyCorrection_mean,ApplyCorrection_std,ApplyCorrection_quartile1,ApplyCorrection_quartile2,ApplyCorrection_quartile3,ApplyCorrection_cardinality,CPUUsage_min,CPUUsage_max,CPUUsage_mean,CPUUsage_std,CPUUsage_quartile1,CPUUsage_quartile2,CPUUsage_quartile3,CPUUsage_cardinality
fallingBeamLagrangianCollision,0.341189,0.467615,0.36051040784313726,0.019160822702422357,0.3469965,0.354524,0.3687155,255,11.860744,15.336307,12.510262721568628,0.47171462283312876,12.3001735,12.43163,12.5946185,255,0.287345,0.571783,0.31133185490196075,0.02620906401390231,0.2929135,0.306206,0.31723,255,0.139099,0.294751,0.15713222352941178,0.025061810173754983,0.140749,0.142718,0.175023,255,3.571252,4.962648,3.718638654901961,0.14008332606018759,3.646242,3.687823,3.750515,255,3.571252,4.962648,3.718638654901961,0.14008332606018759,3.646242,3.687823,3.750515,255,0.025141,0.054691,0.02816787450980392,0.004477493883239628,0.026158,0.026624,0.0288585,255,0.048082,0.080928,0.05189371764705882,0.0054891999930239445,0.049397,0.050063,0.052453,255,40.229764,64.778073,48.163546411764706,2.699501260909769,47.7762515,48.141815,48.35792,255,27.19738,50.814557,35.113060815686275,2.549067642998259,35.146724,35.249482,35.3854095,255,0.020156,0.052414,0.02255547843137255,0.004255243279896394,0.021119,0.021599,0.022197,255,21.782809,29.961193,22.385302690196077,1.6007917967900962,21.8723505,21.924795,22.0252685,255,4.875454,21.306149,12.28087128235294,1.9010505108999154,12.809789,12.888922,12.966574,255,0.394359,0.586428,0.4214144980392157,0.02915607665070458,0.404412,0.410193,0.43005,255,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
SofaScene,8.938243,18.828637,9.496126285470085,0.9331054408953997,9.132621,9.299972,9.5211305,1755,8.631899,18.524285,9.180242654700855,0.924588425432937,8.822594,8.98246,9.1958995,1755,0.004919,0.802712,0.17682752981956315,0.1735452877439418,0.02828225,0.151671,0.28347675,10530,0.005987,0.568394,0.08253651965811966,0.07981519107687952,0.01461925,0.0663035,0.13664475,10530,0.035063,7.306064,1.1957753642924975,1.2439068882925817,0.0881895,0.914166,1.76647825,10530,0.035063,7.306064,1.1957753642924975,1.2439068882925817,0.0881895,0.914166,1.76647825,10530,0.09304,0.266149,0.11248248034188034,0.016396632022837754,0.100679,0.110703,0.1161215,1755,0.118064,0.243038,0.1351261304843305,0.014706199681141499,0.1253205,0.13218,0.136448,1755,24.04442,50.122746,31.224918369800573,4.085534034186898,28.4621915,30.568124,33.172371,1755,14.399373,40.327927,21.209491113960112,3.8005188029005024,18.590149,20.757404,23.0107295,1755,0.074159,0.179025,0.08751559772079773,0.01210645052656358,0.0814135,0.084116,0.088404,1755,13.630984,39.058233,20.34212198860399,3.7053696321675704,17.7988045,19.921514,22.112991,1755,0.102398,1.041565,0.26664607977207977,0.10892584719974782,0.202947,0.241701,0.295352,1755,0.437651,1.007557,0.5110189686609686,0.05142533532292591,0.4828575,0.502286,0.527288,1755,0.0,2.4,0.72,0.96,0.0,0.0,1.2,5
BilateralLagrangianConstraint_NNCG,0.042846,1.711221,0.109071008,0.12125950278696485,0.0545325,0.0947985,0.1252895,1000,0.123684,0.315364,0.14325926500000002,0.020504317307990894,0.129475,0.133876,0.1542965,1000,0.001837,0.018476,0.0025974125,0.0012023558867256192,0.002012,0.002142,0.00298525,4000,0.00399,0.043208,0.005132381,0.0016933089835700394,0.004241,0.004416,0.00570825,4000,0.00035,0.017997,0.0007305532500000001,0.0008047433691335627,0.000436,0.000487,0.000912,4000,0.00035,0.017997,0.0007305532500000001,0.0008047433691335627,0.000436,0.000487,0.000912,4000,0.01992,0.05828,0.02325659,0.004442270334175984,0.020652,0.020949,0.025016,1000,0.025525,0.075111,0.028329544,0.004655338941480416,0.02600975,0.0263745,0.02942125,1000,0.418537,2.382857,0.526804943,0.15465861846470036,0.445958,0.486589,0.580114,1000,0.087689,0.207791,0.103783561,0.01783448859161033,0.09067125,0.0949605,0.114344,1000,0.024939,0.072315,0.029519030999999998,0.005663651877017071,0.02593575,0.0269525,0.03196875,1000,0.039923,0.117999,0.047470194,0.009754876035622596,0.040811,0.0434805,0.05295375,1000,0.005437,0.023254,0.006668101,0.0017958601885444759,0.00563975,0.0057965,0.007189,1000,0.0162,0.04622,0.019585599999999998,0.004009028649685607,0.01693375,0.017664,0.0209995,1000,0.0,1.2,0.24,0.48,0.0,0.0,0.0,5
BilateralLagrangianConstraint_PGS,0.032816,1.637647,0.107365398,0.11632941540781332,0.05322075,0.093051,0.12581875,1000,0.124515,0.252479,0.141402977,0.01646018754621195,0.12863975,0.1334505,0.15367425,1000,0.00183,0.033226,0.00254585525,0.0010717846555150141,0.002026,0.002155,0.00300625,4000,0.003951,0.031862,0.0051208370000000005,0.0015037699847154152,0.004244,0.00442,0.005729,4000,0.000347,0.020649,0.0007198877499999999,0.000796591131729407,0.00045,0.0005,0.00084925,4000,0.000347,0.020649,0.0007198877499999999,0.000796591131729407,0.00045,0.0005,0.00084925,4000,0.020158,0.058279,0.023043508,0.0038114211000538894,0.0207395,0.0210595,0.0249035,1000,0.025509,0.063647,0.027807638,0.003347610624752526,0.0260695,0.026408,0.02889075,1000,0.41985,2.257555,0.523045043,0.14645574157380498,0.4469505,0.4849515,0.57989325,1000,0.087555,0.199771,0.103677328,0.01684823160875989,0.09110075,0.0952445,0.11464075,1000,0.024834,0.065396,0.029486873,0.0053835752940653665,0.02614925,0.0270675,0.0319155,1000,0.039837,0.115617,0.047289741999999996,0.009197817106979023,0.04095175,0.0434175,0.052781,1000,0.005409,0.03023,0.006812122,0.0020301776737803026,0.005706,0.0061325,0.007216,1000,0.016303,0.054307,0.019542641,0.0039049569334525316,0.01702025,0.0176835,0.02103825,1000,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
BilateralLagrangianConstraint_UGS,0.046129,1.678774,0.080121964,0.11594979904997985,0.05287625,0.067215,0.08108325,1000,0.126137,0.221778,0.136338981,0.012539306534359824,0.129796,0.132402,0.1357635,1000,0.001896,0.018998,0.00242715025,0.0009898744850610796,0.002033,0.002099,0.00289625,4000,0.004037,0.025812,0.00492256625,0.0015882367487597487,0.004252,0.004393,0.00566,4000,0.000366,0.013377,0.00071191425,0.0006822049299125137,0.000446,0.00049,0.00091525,4000,0.000366,0.013377,0.00071191425,0.0006822049299125137,0.000446,0.00049,0.00091525,4000,0.020293,0.075857,0.021693311,0.003989843357611799,0.02068575,0.020841,0.021075,1000,0.025573,0.102634,0.027243257,0.004866703820344012,0.025972,0.026125,0.026337,1000,0.438058,2.290414,0.501177322,0.13628839285771302,0.4553295,0.483365,0.5060295,1000,0.099496,0.246987,0.122965564,0.017382224709164933,0.11057125,0.120744,0.127562,1000,0.02515,0.066955,0.027538919000000002,0.004749015789449325,0.0259775,0.0263265,0.0267555,1000,0.044718,0.12064,0.048379633,0.0074411718868946305,0.045666,0.046114,0.04707325,1000,0.008964,0.09231,0.02796304,0.010266151149598373,0.0193945,0.028966,0.03323925,1000,0.016594,0.054164,0.018567339,0.0033230871574605144,0.017214,0.0174225,0.01792175,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
FrictionContact_LCP_with_friction,0.039892,1.435088,0.081330932,0.09523250861866117,0.07435475,0.0748965,0.075882,1000,0.040021,0.102331,0.052480703000000004,0.007662507785496273,0.05100475,0.051425,0.05200825,1000,0.002786,0.025102,0.004105952,0.001210785349141622,0.00402475,0.004094,0.004152,1000,0.005732,0.031421,0.007613369,0.0016663221287731252,0.007471,0.00755,0.007628,1000,0.000744,0.01133,0.001016321,0.000510435950888062,0.000927,0.000962,0.000995,1000,0.000744,0.01133,0.001016321,0.000510435950888062,0.000927,0.000962,0.000995,1000,0.005968,0.028609,0.009432288,0.002070308770462996,0.009317,0.0094235,0.00954175,1000,0.009828,0.036729,0.012376765,0.001820102220144517,0.012211,0.01233,0.012436,1000,0.139685,1.665527,0.237083826,0.10445111113248975,0.2302665,0.233013,0.2363295,1000,0.012024,0.099965,0.037940968,0.010463188837681176,0.03850525,0.0389945,0.039806,1000,0.001982,0.018554,0.003139091,0.0013206760657780545,0.00291775,0.0030175,0.00312125,1000,0.006873,0.053297,0.016626264999999998,0.0045352811668930735,0.016629,0.016809,0.01698325,1000,0.001608,0.055962,0.016007527,0.006222201774554646,0.01709775,0.017347,0.017483,1000,0.000867,0.030944,0.001422492,0.0011946208343805158,0.00125575,0.001301,0.00135,1000,0.0,8.4,1.6800000000000002,3.3600000000000003,0.0,0.0,0.0,5
FrictionContact_LCP_without_friction,0.039715,1.397102,0.096226537,0.09391051230196028,0.07436225,0.101386,0.10355525,1000,0.039476,0.151503,0.052274028,0.008940666134534718,0.05020575,0.050903,0.051649,1000,0.002793,0.043428,0.004113111,0.0017264132630048345,0.003971,0.004035,0.004093,1000,0.005622,0.037976,0.007538897,0.0018568721297900401,0.00735275,0.007455,0.007563,1000,0.000726,0.021946,0.001015403,0.0008916247981023184,0.000902,0.0009415,0.000973,1000,0.000726,0.021946,0.001015403,0.0008916247981023184,0.000902,0.0009415,0.000973,1000,0.006006,0.039214,0.009398843,0.0027529593292221007,0.00916875,0.00928,0.00941725,1000,0.009978,0.040887,0.012477584,0.002445329065574611,0.01214875,0.012285,0.012406,1000,0.139173,1.64986,0.24218878,0.1054235769499859,0.2169265,0.247842,0.2526985,1000,0.012058,0.06754,0.028139562000000003,0.007511764710649288,0.02547375,0.0293505,0.029841,1000,0.001931,0.018263,0.003002745,0.000945672264568968,0.00286575,0.00294,0.003032,1000,0.006819,0.048252,0.015664245,0.004816148499888162,0.01491475,0.015664,0.0158985,1000,0.001636,0.026852,0.007366977,0.002843202299251849,0.00585675,0.0089035,0.009134,1000,0.000908,0.018757,0.0013546559999999999,0.0008355646328465562,0.001198,0.0012635,0.001321,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
FixedProjectiveConstraint,0.008495,0.124915,0.010197442999999999,0.008274811607568537,0.00889675,0.0090395,0.00936675,1000,1.111068,1.27213,1.139315771,0.024234254682258313,1.12318425,1.1315475,1.14810025,1000,0.067104,0.111302,0.06909738400000001,0.00516869779911188,0.0676445,0.0677825,0.06798525,1000,0.037889,0.082392,0.039325096,0.003846772071852451,0.038234,0.0384045,0.03905,1000,0.000667,0.005124,0.00083566,0.0002568741178087041,0.00077,0.000805,0.000847,1000,0.995884,1.157252,1.021727615,0.02216513486195775,1.0073665,1.0111125,1.030595,1000,0.002742,0.012372,0.0030627939999999998,0.0007460388780512714,0.002861,0.0029085,0.002979,1000,0.008036,0.029058,0.008621263,0.0013336743394963405,0.00830875,0.008425,0.00856525,1000,1.143494,1.449997,1.17516103,0.029265909177968483,1.15700475,1.1667195,1.183823,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
FEMBAR_EigenSimplicialLDLT,0.00028,0.009744,0.000410442,0.00033358478477892245,0.00033075,0.000354,0.000383,1000,2.46741,4.919804,2.616987282,0.30565228300175423,2.489652,2.530913,2.592548,1000,0.051934,0.139543,0.058852542,0.014015658045494546,0.05244975,0.052982,0.05665025,1000,0.043962,0.122484,0.048767847999999996,0.009835322527446469,0.044418,0.0448005,0.04778275,1000,0.689231,2.065149,0.7334089,0.10954692437078278,0.69651575,0.704219,0.7316005,1000,1.66696,3.459866,1.766639481,0.20221327735971156,1.68055275,1.7097945,1.75763225,1000,0.001179,0.012055,0.001608117,0.0009454788169551975,0.00128,0.001334,0.001461,1000,0.005896,0.042155,0.007992922999999999,0.004021005703436766,0.0063705,0.006574,0.00693225,1000,2.484272,4.971545,2.638438303,0.31267892066320874,2.50774475,2.54851,2.61122875,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,2.4,0.48,0.9600000000000001,0.0,0.0,0.0,5
FEMBAR_EigenSimplicialLLT,0.000287,0.001045,0.00037908,9.492927683280856e-05,0.000336,0.000351,0.000373,1000,2.619303,5.035926,2.733041654,0.20669549152557315,2.6481195,2.6798555,2.73523825,1000,0.052023,0.125625,0.056358499000000006,0.009561971530913434,0.05248775,0.052922,0.05403125,1000,0.043928,0.099786,0.046915437,0.006589356235477863,0.04448775,0.0446945,0.0452295,1000,0.690454,1.984886,0.727086406,0.09111580502890353,0.69872475,0.7069275,0.73109875,1000,1.816387,2.912676,1.8939370039999999,0.1270624580887525,1.8370675,1.8641295,1.89725575,1000,0.001171,0.011956,0.0015071449999999999,0.0007771371719169016,0.00128975,0.0013475,0.001432,1000,0.005966,0.025299,0.007326172,0.0023799950357965035,0.006419,0.0066185,0.006859,1000,2.635538,5.084374,2.753284261,0.21077300035499064,2.666229,2.698454,2.75593125,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1.2,0.72,0.5878775382679627,0.0,1.2,1.2,5
