SceneName,CollisionDetection_min,CollisionDetection_max,CollisionDetection_mean,CollisionDetection_std,CollisionDetection_quartile1,CollisionDetection_quartile2,CollisionDetection_quartile3,CollisionDetection_cardinality,ODESolve_min,ODESolve_max,ODESolve_mean,ODESolve_std,ODESolve_quartile1,ODESolve_quartile2,ODESolve_quartile3,ODESolve_cardinality,ComputeForce_min,ComputeForce_max,ComputeForce_mean,ComputeForce_std,ComputeForce_quartile1,ComputeForce_quartile2,ComputeForce_quartile3,ComputeForce_cardinality,ComputeRHTerm_min,ComputeRHTerm_max,ComputeRHTerm_mean,ComputeRHTerm_std,ComputeRHTerm_quartile1,ComputeRHTerm_quartile2,ComputeRHTerm_quartile3,ComputeRHTerm_cardinality,setSystemMBKMatrix_min,setSystemMBKMatrix_max,setSystemMBKMatrix_mean,setSystemMBKMatrix_std,setSystemMBKMatrix_quartile1,setSystemMBKMatrix_quartile2,setSystemMBKMatrix_quartile3,setSystemMBKMatrix_cardinality,MBKSolve_min,MBKSolve_max,MBKSolve_mean,MBKSolve_std,MBKSolve_quartile1,MBKSolve_quartile2,MBKSolve_quartile3,MBKSolve_cardinality,ProjectAndMechaMap_min,ProjectAndMechaMap_max,ProjectAndMechaMap_mean,ProjectAndMechaMap_std,ProjectAndMechaMap_quartile1,ProjectAndMechaMap_quartile2,ProjectAndMechaMap_quartile3,ProjectAndMechaMap_cardinality,UpdateBBox_min,UpdateBBox_max,UpdateBBox_mean,UpdateBBox_std,UpdateBBox_quartile1,UpdateBBox_quartile2,UpdateBBox_quartile3,UpdateBBox_cardinality,TimeStep_min,TimeStep_max,TimeStep_mean,TimeStep_std,TimeStep_quartile1,TimeStep_quartile2,TimeStep_quartile3,TimeStep_cardinality,SolveConstraint_min,SolveConstraint_max,SolveConstraint_mean,SolveConstraint_std,SolveConstraint_quartile1,SolveConstraint_quartile2,SolveConstraint_quartile3,SolveConstraint_cardinality,PrepareState_min,PrepareState_max,PrepareState_mean,PrepareState_std,PrepareState_quartile1,PrepareState_quartile2,PrepareState_quartile3,PrepareState_cardinality,BuildSystem_min,BuildSystem_max,BuildSystem_mean,BuildSystem_std,BuildSystem_quartile1,BuildSystem_quartile2,BuildSystem_quartile3,BuildSystem_cardinality,SolveSystem_min,SolveSystem_max,SolveSystem_mean,SolveSystem_std,SolveSystem_quartile1,SolveSystem_quartile2,SolveSystem_quartile3,SolveSystem_cardinality,ApplyCorrection_min,ApplyCorrection_max,ApplyCorrection_mean,ApplyCorrection_std,ApplyCorrection_quartile1,ApplyCorrection_quartile2,ApplyCorrection_quartile3,ApplyCorrection_cardinality,CPUUsage_min,CPUUsage_max,CPUUsage_mean,CPUUsage_std,CPUUsage_quartile1,CPUUsage_quartile2,CPUUsage_quartile3,CPUUsage_cardinality
fallingBeamLagrangianCollision,0.339099,0.431229,0.35792520784313725,0.0157687096718046,0.3474645,0.351072,0.3636315,255,11.60544,13.185113,12.16915291372549,0.25729668534216127,12.054464,12.194884,12.27326,255,0.284839,0.369638,0.3018556549019608,0.017576567256104313,0.289987,0.29254,0.3152305,255,0.137976,0.204154,0.14553649019607842,0.011875848493562923,0.1397925,0.140613,0.1443545,255,3.602856,4.045731,3.731139305882353,0.059509033080541195,3.6910595,3.728938,3.7681815,255,3.602856,4.045731,3.731139305882353,0.059509033080541195,3.6910595,3.728938,3.7681815,255,0.022435,0.048835,0.02433784705882353,0.003231546969459779,0.023427,0.023788,0.024219,255,0.047387,0.081973,0.05054696862745098,0.0050233687032137635,0.0487745,0.049368,0.049989,255,39.90232,49.737933,47.274216525490196,1.7604877063808728,47.5515295,47.891596,48.1044485,255,27.259035,36.485218,34.57955543137255,1.7683558263096553,35.1438415,35.273118,35.3460015,255,0.020406,0.055359,0.022431796078431373,0.0035240081810882303,0.021382,0.021755,0.0221805,255,21.784999,28.052075,21.91643112156863,0.39350953690098595,21.8511255,21.878794,21.9081575,255,4.884391,14.089664,12.214871294117646,1.831598797213419,12.823726,12.950123,13.0042535,255,0.397774,0.51028,0.42261554901960785,0.021724704282302196,0.40802,0.412644,0.431834,255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
SofaScene,8.963715,13.869323,9.27903974017094,0.2403488917662977,9.0980665,9.207724,9.4210055,1755,8.652968,13.512786,8.97394788034188,0.23534074278208456,8.7993705,8.902788,9.117517,1755,0.004746,0.577989,0.1728124772079772,0.16823923937344543,0.02975,0.1171235,0.27702075,10530,0.006018,0.308432,0.07627085536562203,0.0739204623379693,0.01382225,0.0637645,0.1043315,10530,0.036013,5.467068,1.1541386251661918,1.1899106835301627,0.08353025,0.871811,1.73177325,10530,0.036013,5.467068,1.1541386251661918,1.1899106835301627,0.08353025,0.871811,1.73177325,10530,0.092522,0.180166,0.10289435669515669,0.009864756705028602,0.0976445,0.099996,0.103144,1755,0.11933,0.229864,0.1294790638176638,0.010930069904267155,0.124087,0.126232,0.128812,1755,23.977605,40.779512,30.549916797720797,3.6348601299576626,28.1661375,29.968242,32.292881,1755,14.174271,31.171549,20.787811166381765,3.6212680549204435,18.4743405,20.238436,22.574006,1755,0.073469,0.152446,0.08310411737891737,0.008449819427724534,0.078514,0.081304,0.0834895,1755,13.327234,30.372417,19.96125778005698,3.531186171996627,17.7001655,19.411335,21.7713135,1755,0.10068,0.638326,0.2519454227920228,0.1028589965936698,0.195665,0.224871,0.276974,1755,0.428959,0.677208,0.4891868182336182,0.03025696354257204,0.4699495,0.48357,0.5044925,1755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
BilateralLagrangianConstraint_NNCG,0.035024,1.862824,0.107867368,0.12470902401464208,0.05288125,0.092013,0.1236685,1000,0.124675,0.305494,0.14349832399999998,0.018734831538207757,0.1289975,0.1346575,0.15655125,1000,0.001841,0.020102,0.0025928275,0.0012818145215840514,0.002,0.002114,0.00295925,4000,0.003978,0.026342,0.0051549707500000005,0.0016735923631202546,0.00427375,0.004472,0.00568425,4000,0.000354,0.012251,0.00074627175,0.0007065361016267588,0.000464,0.0005215,0.000936,4000,0.000354,0.012251,0.00074627175,0.0007065361016267588,0.000464,0.0005215,0.000936,4000,0.019914,0.059998,0.023083912,0.0047886692001281525,0.02037075,0.0206535,0.0244305,1000,0.025247,0.094207,0.027945527999999997,0.004759287918503776,0.025807,0.0261455,0.0290405,1000,0.417729,2.471948,0.52440232,0.15348486837259104,0.451172,0.484488,0.5773115,1000,0.087218,0.200641,0.102680913,0.0168299574748551,0.08967075,0.0942975,0.113679,1000,0.024787,0.077469,0.029359651999999997,0.005940623681306198,0.0258765,0.0267015,0.03172525,1000,0.039475,0.120025,0.046755645,0.009240267967812134,0.04041775,0.0429225,0.052364,1000,0.00519,0.0283,0.006676879,0.0024845331558180097,0.005512,0.005712,0.00703925,1000,0.016019,0.056913,0.019335637,0.004273838066098316,0.016642,0.0174955,0.0206315,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
BilateralLagrangianConstraint_PGS,0.048314,1.839768,0.108963726,0.12314635485635345,0.05486,0.0942425,0.12609975,1000,0.125021,0.26013,0.141995876,0.01750337151632862,0.1286355,0.133568,0.1530195,1000,0.001817,0.024243,0.00252203175,0.001116828596849999,0.002003,0.002128,0.002959,4000,0.003997,0.027844,0.0051681105,0.001683809507571967,0.004259,0.004422,0.005706,4000,0.000345,0.014938,0.0007283400000000001,0.0007811177282586793,0.000447,0.000504,0.00088125,4000,0.000345,0.014938,0.0007283400000000001,0.0007811177282586793,0.000447,0.000504,0.00088125,4000,0.019915,0.052352,0.022827779,0.0037743874907273365,0.020436,0.0207745,0.02452175,1000,0.025217,0.062694,0.027982655,0.004534936213661115,0.025851,0.026302,0.0290925,1000,0.42005,2.481338,0.525837115,0.1532370843840608,0.45299725,0.483525,0.577349,1000,0.087368,0.226727,0.103352846,0.017064896821671206,0.090534,0.094986,0.114421,1000,0.025076,0.065066,0.029512322,0.005301170395140681,0.0260305,0.0271155,0.0320725,1000,0.039594,0.128881,0.047287588000000005,0.009914606939776081,0.0406405,0.0435405,0.05239275,1000,0.005338,0.023894,0.006762812,0.0020741976503351844,0.005608,0.0060175,0.00706925,1000,0.016057,0.053266,0.019252005000000003,0.004025117641383293,0.01676,0.0173585,0.02064725,1000,0.0,1.2,0.72,0.5878775382679627,0.0,1.2,1.2,5
BilateralLagrangianConstraint_UGS,0.03704,1.646879,0.079541818,0.11528287313765595,0.05238425,0.0670325,0.079392,1000,0.124595,0.255295,0.135314615,0.014173005143468163,0.1279405,0.1303715,0.13376275,1000,0.001823,0.02415,0.00238968475,0.0011550896380227108,0.001956,0.002046,0.002865,4000,0.003954,0.024825,0.00481651625,0.001576605669384687,0.004176,0.004277,0.005492,4000,0.00035,0.016579,0.000725363,0.0007892988801658089,0.000438,0.000487,0.000937,4000,0.00035,0.016579,0.000725363,0.0007892988801658089,0.000438,0.000487,0.000937,4000,0.019975,0.055393,0.021394471,0.0034706155291473876,0.020389,0.0205375,0.02075425,1000,0.025317,0.06537,0.026630966,0.003210529455844316,0.025796,0.025956,0.026182,1000,0.436022,2.336808,0.498928552,0.1374019420024014,0.45854325,0.4813565,0.50371725,1000,0.099254,0.284188,0.122778612,0.018104735549613973,0.11020175,0.1202935,0.12720175,1000,0.025045,0.064501,0.027478491,0.004400920240349625,0.02601975,0.026372,0.02676425,1000,0.044518,0.122012,0.048671650999999996,0.008403961753554035,0.04542175,0.0458975,0.0470805,1000,0.008809,0.18566,0.027737558000000002,0.011415651474385332,0.01913525,0.0285805,0.032883,1000,0.016321,0.057429,0.018326461,0.003535925866089248,0.016894,0.017106,0.0176095,1000,0.0,1.2,0.48,0.5878775382679627,0.0,0.0,1.2,5
FrictionContact_LCP_with_friction,0.040034,1.429373,0.083780882,0.09777740541967798,0.07524875,0.0758955,0.0784125,1000,0.039993,0.137698,0.052974074,0.008750721810029389,0.0505445,0.0511685,0.05232975,1000,0.002746,0.019321,0.00415978,0.001540041794757532,0.0039345,0.004019,0.004109,1000,0.005685,0.035885,0.007621553,0.0019350877910810662,0.00733675,0.007455,0.007593,1000,0.000791,0.005596,0.0010366800000000001,0.00035653314516325123,0.000961,0.000993,0.001027,1000,0.000791,0.005596,0.0010366800000000001,0.00035653314516325123,0.000961,0.000993,0.001027,1000,0.006111,0.030022,0.009372601000000001,0.0023679568640072395,0.009079,0.009198,0.0093495,1000,0.009947,0.037312,0.012627807000000001,0.002267617914409524,0.01226075,0.0124,0.01251825,1000,0.140722,1.690155,0.24174184299999998,0.10808646112838718,0.23091775,0.233298,0.2486265,1000,0.011762,0.102874,0.038432344,0.011186164411703592,0.038259,0.0387315,0.041383,1000,0.001925,0.021129,0.0031170810000000003,0.0015970820719170948,0.00287075,0.0029425,0.003018,1000,0.006684,0.044246,0.017060081999999997,0.005142789464801763,0.01663075,0.016792,0.0170425,1000,0.001562,0.055074,0.01608939,0.006402442971077525,0.0169485,0.01716,0.017324,1000,0.000908,0.010173,0.0013624269999999998,0.0005732028599640794,0.001245,0.001287,0.00133,1000,0.0,1.2,0.72,0.5878775382679627,0.0,1.2,1.2,5
FrictionContact_LCP_without_friction,0.040038,1.517977,0.099697387,0.09907538783049617,0.075745,0.1039895,0.1061065,1000,0.039765,0.115335,0.053271551,0.00964846150219811,0.05047825,0.051005,0.0520175,1000,0.002817,0.019114,0.004097928,0.001362822126624014,0.003949,0.00402,0.004088,1000,0.005503,0.02549,0.007643082999999999,0.00203167342703275,0.00731275,0.007424,0.007532,1000,0.000761,0.015575,0.001064178,0.0008242046022171922,0.000946,0.000979,0.001013,1000,0.000761,0.015575,0.001064178,0.0008242046022171922,0.000946,0.000979,0.001013,1000,0.00603,0.043508,0.009491915,0.0029942413365951315,0.0090155,0.0091835,0.009356,1000,0.009831,0.038593,0.01279748,0.002906607311213539,0.01222,0.0123675,0.012517,1000,0.140169,1.753811,0.248801476,0.10970208512066407,0.220129,0.2511155,0.256623,1000,0.011766,0.09584,0.028618886,0.008327819374662492,0.02573825,0.029382,0.030248,1000,0.00197,0.020416,0.0030980590000000002,0.0014719459546868562,0.002856,0.002951,0.00303125,1000,0.006748,0.059704,0.015901928,0.0051952473599258,0.01507525,0.015671,0.01606825,1000,0.001564,0.037446,0.007513397,0.0032311300656876997,0.005919,0.0089635,0.009231,1000,0.000942,0.009982,0.00133069,0.000535374056058005,0.001188,0.0012535,0.001308,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
FixedProjectiveConstraint,0.008566,0.150296,0.010247860000000001,0.008827082670191777,0.0088735,0.009027,0.00941975,1000,1.119225,1.334715,1.1589827369999999,0.03293164363316583,1.13061475,1.1513265,1.17332425,1000,0.067111,0.125636,0.069864768,0.0062481052630518315,0.067601,0.0681605,0.06966075,1000,0.03786,0.081941,0.039985253,0.0051702253325160786,0.03841125,0.038651,0.03983325,1000,0.00071,0.01366,0.000877506,0.00045654615096833316,0.00080975,0.000843,0.000876,1000,1.00534,1.171527,1.040073865,0.029473926176279516,1.0141265,1.0344315,1.05270125,1000,0.002692,0.012429,0.003013052,0.0006724419449261029,0.00283,0.00288,0.00294925,1000,0.008037,0.025318,0.008565505,0.0012006041454097182,0.008301,0.008383,0.008491,1000,1.151842,1.54233,1.194768507,0.03787290617040038,1.165104,1.1852315,1.21372325,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1.2,0.72,0.5878775382679627,0.0,1.2,1.2,5
FEMBAR_EigenSimplicialLDLT,0.000271,0.009087,0.00033604500000000004,0.000291660592084361,0.000302,0.0003165,0.000333,1000,2.492449,5.114222,2.6025398020000003,0.20274414047902542,2.54121425,2.571479,2.61659425,1000,0.051399,0.095889,0.054614209999999996,0.005504341324618233,0.05262875,0.052981,0.0537275,1000,0.042713,0.09367,0.045885345,0.005121131822749245,0.04432975,0.044545,0.044921,1000,0.688108,2.182191,0.718733481,0.1019213201896916,0.69533875,0.7035725,0.72376675,1000,1.696718,2.845965,1.77595194,0.11843420938275562,1.725252,1.755238,1.79286625,1000,0.001145,0.014247,0.001343592,0.0004437909592770002,0.001268,0.001307,0.001354,1000,0.005878,0.026733,0.006593424,0.0013026143359505912,0.0063,0.006411,0.00657425,1000,2.511797,5.166444,2.620760425,0.20519447600073054,2.558307,2.589271,2.6351855,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
FEMBAR_EigenSimplicialLLT,0.000273,0.001092,0.000330303,4.967545863905032e-05,0.000308,0.000321,0.00033925,1000,2.623143,5.123275,2.692595538,0.1920161448564848,2.6393515,2.658902,2.69671775,1000,0.05233,0.09436,0.054216733,0.004736623072159215,0.052609,0.052848,0.05421025,1000,0.043785,0.078422,0.045023025,0.0033999057958089074,0.0441585,0.0443085,0.044558,1000,0.689202,1.994889,0.7123536149999999,0.08973410359335394,0.69477925,0.6979795,0.71709875,1000,1.823454,2.990115,1.873694685,0.11663939880376517,1.835322,1.8471495,1.8796155,1000,0.001136,0.021386,0.001374286,0.0008081516678223214,0.00125575,0.001302,0.00136225,1000,0.005932,0.019977,0.006577268,0.0011245010814472346,0.00627375,0.0064175,0.00657375,1000,2.640479,5.172621,2.710635928,0.1945492172670988,2.65705175,2.6772335,2.715439,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1.2,0.48,0.5878775382679627,0.0,0.0,1.2,5
