SceneName,CollisionDetection_min,CollisionDetection_max,CollisionDetection_mean,CollisionDetection_std,CollisionDetection_quartile1,CollisionDetection_quartile2,CollisionDetection_quartile3,CollisionDetection_cardinality,ODESolve_min,ODESolve_max,ODESolve_mean,ODESolve_std,ODESolve_quartile1,ODESolve_quartile2,ODESolve_quartile3,ODESolve_cardinality,ComputeForce_min,ComputeForce_max,ComputeForce_mean,ComputeForce_std,ComputeForce_quartile1,ComputeForce_quartile2,ComputeForce_quartile3,ComputeForce_cardinality,ComputeRHTerm_min,ComputeRHTerm_max,ComputeRHTerm_mean,ComputeRHTerm_std,ComputeRHTerm_quartile1,ComputeRHTerm_quartile2,ComputeRHTerm_quartile3,ComputeRHTerm_cardinality,setSystemMBKMatrix_min,setSystemMBKMatrix_max,setSystemMBKMatrix_mean,setSystemMBKMatrix_std,setSystemMBKMatrix_quartile1,setSystemMBKMatrix_quartile2,setSystemMBKMatrix_quartile3,setSystemMBKMatrix_cardinality,MBKSolve_min,MBKSolve_max,MBKSolve_mean,MBKSolve_std,MBKSolve_quartile1,MBKSolve_quartile2,MBKSolve_quartile3,MBKSolve_cardinality,ProjectAndMechaMap_min,ProjectAndMechaMap_max,ProjectAndMechaMap_mean,ProjectAndMechaMap_std,ProjectAndMechaMap_quartile1,ProjectAndMechaMap_quartile2,ProjectAndMechaMap_quartile3,ProjectAndMechaMap_cardinality,UpdateBBox_min,UpdateBBox_max,UpdateBBox_mean,UpdateBBox_std,UpdateBBox_quartile1,UpdateBBox_quartile2,UpdateBBox_quartile3,UpdateBBox_cardinality,TimeStep_min,TimeStep_max,TimeStep_mean,TimeStep_std,TimeStep_quartile1,TimeStep_quartile2,TimeStep_quartile3,TimeStep_cardinality,SolveConstraint_min,SolveConstraint_max,SolveConstraint_mean,SolveConstraint_std,SolveConstraint_quartile1,SolveConstraint_quartile2,SolveConstraint_quartile3,SolveConstraint_cardinality,PrepareState_min,PrepareState_max,PrepareState_mean,PrepareState_std,PrepareState_quartile1,PrepareState_quartile2,PrepareState_quartile3,PrepareState_cardinality,BuildSystem_min,BuildSystem_max,BuildSystem_mean,BuildSystem_std,BuildSystem_quartile1,BuildSystem_quartile2,BuildSystem_quartile3,BuildSystem_cardinality,SolveSystem_min,SolveSystem_max,SolveSystem_mean,SolveSystem_std,SolveSystem_quartile1,SolveSystem_quartile2,SolveSystem_quartile3,SolveSystem_cardinality,ApplyCorrection_min,ApplyCorrection_max,ApplyCorrection_mean,ApplyCorrection_std,ApplyCorrection_quartile1,ApplyCorrection_quartile2,ApplyCorrection_quartile3,ApplyCorrection_cardinality,CPUUsage_min,CPUUsage_max,CPUUsage_mean,CPUUsage_std,CPUUsage_quartile1,CPUUsage_quartile2,CPUUsage_quartile3,CPUUsage_cardinality
fallingBeamLagrangianCollision,0.335345,0.507937,0.3506902862745098,0.014733363931487432,0.3428415,0.348756,0.3537265,255,11.910162,13.163563,12.407654039215686,0.23299384848400334,12.3343515,12.423176,12.553861,255,0.283367,0.351611,0.29767090588235295,0.010801984571063543,0.2877045,0.298048,0.302217,255,0.138034,0.239152,0.15711898823529413,0.018432853423206896,0.14009,0.146054,0.1738785,255,3.907653,4.263582,3.994953243137255,0.06266995519532483,3.949841,3.983737,4.0247065,255,3.907653,4.263582,3.994953243137255,0.06266995519532483,3.949841,3.983737,4.0247065,255,0.023084,0.054958,0.026023560784313726,0.00306914650127772,0.0243405,0.02569,0.0268855,255,0.053984,0.11258,0.05746654509803921,0.004891709890405167,0.055399,0.056777,0.058175,255,40.00352,50.189758,47.527543549019605,1.8097878685870072,47.743148,48.12788,48.395273,255,27.151745,36.46099,34.57156978431372,1.8182925932984548,35.137724,35.231629,35.3698675,255,0.020201,0.032115,0.02201562745098039,0.0015229262771128988,0.021331,0.021781,0.022242,255,21.818813,22.507717,22.02404525490196,0.11607372929077604,21.929721,22.000908,22.1069445,255,4.86435,13.729398,12.125289572549018,1.7982759052009487,12.7668135,12.832404,12.878515,255,0.381309,0.48816,0.3978132078431373,0.015756088547156013,0.387198,0.394258,0.401335,255,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
SofaScene,12.79339,38.950505,13.397327821082621,0.9057127700671027,13.1919065,13.26541,13.3619315,1755,12.435774,38.420193,13.033317048433048,0.8961174982431124,12.831109,12.90293,12.99076,1755,0.009481,2.141872,0.26208498632478633,0.2342721289198531,0.05472525,0.305031,0.408019,10530,0.010627,1.081858,0.11828988366571701,0.0945910742484623,0.024616,0.1154475,0.1961835,10530,0.109666,20.313175,1.8960009134852802,1.9430782650130909,0.1848095,1.1892495,2.70473275,10530,0.109666,20.313175,1.8960009134852802,1.9430782650130909,0.1848095,1.1892495,2.70473275,10530,0.096211,0.497915,0.12268420227920228,0.016685359583864048,0.1155265,0.117996,0.1209075,1755,0.139541,0.568413,0.1598114148148148,0.017996824460343515,0.1515985,0.153277,0.155697,1755,24.165357,62.728355,29.297841112250712,2.7926038055778704,27.5050765,29.166877,30.944603,1755,10.400496,44.625925,15.239051297435898,2.516989179777976,13.495737,15.020895,16.9520975,1755,0.075157,0.359966,0.09277216125356125,0.01423013493036487,0.0861075,0.089155,0.091475,1755,9.523181,43.255073,14.360283173219374,2.426718784016917,12.6827815,14.163182,16.060194,1755,0.124882,0.857713,0.29226498176638177,0.11035070168262168,0.227788,0.269021,0.319771,1755,0.424276,2.126322,0.4915566997150997,0.05438075207230169,0.4703015,0.485887,0.5102945,1755,0.0,1.2,0.48,0.5878775382679627,0.0,0.0,1.2,5
BilateralLagrangianConstraint_NNCG,0.029883,1.652984,0.09594755899999999,0.11939415711497997,0.04357825,0.0831735,0.11268825,1000,0.286198,0.455196,0.312844791,0.02603612424185518,0.2939985,0.2997725,0.33222725,1000,0.001275,0.0136,0.00190051675,0.0007564717782042087,0.001502,0.001642,0.002222,4000,0.003086,0.026105,0.00398440525,0.0011121816290617452,0.003356,0.003558,0.004512,4000,0.023295,0.059152,0.026060579,0.0031676369905276392,0.02411875,0.0247245,0.02648775,4000,0.023295,0.059152,0.026060579,0.0031676369905276392,0.02411875,0.0247245,0.02648775,4000,0.020208,0.061353,0.022702304,0.0035509016575489666,0.020612,0.0208585,0.024612,1000,0.02717,0.06058,0.029378333,0.0028561108136959602,0.02782075,0.0281515,0.0306465,1000,0.585566,2.48479,0.695444423,0.15648775075263902,0.604434,0.651703,0.765706,1000,0.091795,0.197125,0.105788781,0.015588579915599721,0.09465775,0.0981265,0.11637875,1000,0.025345,0.052478,0.029361942,0.004335426455221677,0.02655375,0.027235,0.03176425,1000,0.04147,0.11514,0.048500778,0.008559935419891671,0.04269125,0.044277,0.053539,1000,0.006357,0.034869,0.007677119,0.0018371606257589458,0.00657975,0.006772,0.00825025,1000,0.01706,0.048008,0.01966716,0.0032361305845716422,0.01757475,0.01801,0.0212635,1000,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
BilateralLagrangianConstraint_PGS,0.034375,1.68471,0.095599793,0.11883814608896484,0.043413,0.0817795,0.11304875,1000,0.285277,0.546378,0.31318368,0.027524228059322572,0.29285375,0.298955,0.33481225,1000,0.001255,0.012481,0.00188987925,0.0007033631065597893,0.001478,0.001639,0.00224725,4000,0.003042,0.053129,0.00399288775,0.0013700450615399251,0.00335,0.003549,0.004549,4000,0.02335,0.068611,0.0261455055,0.0037840537820530186,0.02410175,0.024604,0.0263725,4000,0.02335,0.068611,0.0261455055,0.0037840537820530186,0.02410175,0.024604,0.0263725,4000,0.020288,0.041404,0.022823648000000002,0.002942016206633811,0.020705,0.0209365,0.024806,1000,0.027301,0.084407,0.029585719,0.0034461611149275945,0.027902,0.0282165,0.03059075,1000,0.586945,2.514584,0.6975862700000001,0.1558808572334817,0.604259,0.6520945,0.768056,1000,0.091862,0.211829,0.106475414,0.016240045505188833,0.0948585,0.098525,0.11726075,1000,0.025699,0.069983,0.029592972000000002,0.004943631212703472,0.02656225,0.0271495,0.03179375,1000,0.041815,0.110356,0.04884211,0.008699240094853114,0.042859,0.043854,0.05356825,1000,0.006081,0.021048,0.007658018,0.0017290239407469175,0.006459,0.0070335,0.0082695,1000,0.016894,0.050174,0.019814812999999997,0.0032182519544049068,0.01765225,0.018164,0.021517,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
BilateralLagrangianConstraint_UGS,0.037657,1.673096,0.067228596,0.11717804113730007,0.04247625,0.0545945,0.067748,1000,0.288061,0.417396,0.30192264799999996,0.016148229593490923,0.29342175,0.296932,0.3031145,1000,0.001292,0.01573,0.00180385925,0.0007358263388459519,0.00145,0.0015605,0.00221,4000,0.003066,0.0233,0.00381899075,0.0009818357213222779,0.00331,0.003433,0.004488,4000,0.02359,0.065957,0.025478982499999997,0.0029709110029069786,0.024199,0.024569,0.02590725,4000,0.02359,0.065957,0.025478982499999997,0.0029709110029069786,0.024199,0.024569,0.02590725,4000,0.020296,0.039782,0.021300431,0.0019344454464365233,0.020673,0.020783,0.020923,1000,0.027198,0.066612,0.028551164,0.002652151532832165,0.027801,0.0279835,0.028202,1000,0.605916,2.556158,0.6689269910000001,0.1414789669074203,0.62445275,0.65257,0.6720815,1000,0.104253,0.254992,0.12705064500000002,0.016129161268552527,0.11582125,0.125786,0.13259225,1000,0.025588,0.103007,0.027478824,0.003975648945646988,0.0263895,0.026651,0.02697825,1000,0.047425,0.154803,0.050545574,0.006551462321232109,0.0483035,0.048744,0.04960375,1000,0.009542,0.114506,0.029589699,0.010440138586072456,0.02102725,0.0308875,0.03572,1000,0.017344,0.058096,0.018883219,0.0028592051124462898,0.01781875,0.0180175,0.01835525,1000,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
FrictionContact_LCP_with_friction,0.037039,1.525901,0.08088108000000001,0.09814458082002082,0.07370275,0.074451,0.07734575,1000,0.087194,0.203358,0.111000572,0.009837718335915907,0.1105195,0.1111495,0.11225475,1000,0.002081,0.017499,0.0030348009999999997,0.0009706918014483279,0.002886,0.002954,0.003017,1000,0.004313,0.030207,0.0058377820000000006,0.0011538490596590182,0.005754,0.005826,0.005897,1000,0.029129,0.061714,0.036952043,0.0032737257055457467,0.03681375,0.037151,0.037376,1000,0.029129,0.061714,0.036952043,0.0032737257055457467,0.03681375,0.037151,0.037376,1000,0.006296,0.037675,0.009576596,0.0018547322358723375,0.009482,0.009635,0.00977725,1000,0.010863,0.026943,0.012991013000000001,0.0013316795285769772,0.012826,0.012925,0.013025,1000,0.190557,1.839903,0.30159879,0.10868230052362667,0.2980675,0.300161,0.30421725,1000,0.012803,0.093256,0.039705763,0.010251990464043115,0.0409755,0.041526,0.04210125,1000,0.002211,0.016305,0.003260411,0.0007717135401682413,0.00313875,0.003205,0.00328025,1000,0.007199,0.057171,0.01726022,0.004347889360091859,0.01733175,0.0175345,0.01774525,1000,0.001829,0.064414,0.017216125,0.0063492853200478394,0.01860075,0.0188605,0.019045,1000,0.000905,0.006726,0.001446039,0.0005517941712985015,0.001327,0.0013695,0.001414,1000,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
FrictionContact_LCP_without_friction,0.037279,1.488337,0.096976724,0.09738586969555606,0.0751335,0.1038685,0.10544,1000,0.087634,0.212211,0.112911443,0.012577563346958384,0.1108525,0.1123465,0.11408625,1000,0.002135,0.014979,0.003106056,0.0009707840680934148,0.002917,0.003001,0.003109,1000,0.004444,0.015944,0.005910005,0.000941304096971324,0.00578075,0.005876,0.00598325,1000,0.029282,0.071571,0.037590762,0.00483572161805826,0.036991,0.0374205,0.037657,1000,0.029282,0.071571,0.037590762,0.00483572161805826,0.036991,0.0374205,0.037657,1000,0.006315,0.036699,0.009758483,0.001987254744040381,0.009682,0.009792,0.009904,1000,0.010773,0.029611,0.012879103,0.0012049783377268653,0.01275475,0.01287,0.0129605,1000,0.19015,1.787778,0.30941143,0.10931201493616839,0.28708075,0.3188295,0.32455575,1000,0.013108,0.069245,0.029369202,0.006744927415858231,0.02722775,0.031264,0.03182,1000,0.002262,0.020627,0.003274159,0.0008948247603408167,0.00311575,0.003202,0.003283,1000,0.007321,0.038906,0.016086162,0.0037647266115557448,0.01574675,0.0164415,0.01674725,1000,0.00186,0.029953,0.008083584,0.003023964363041337,0.006457,0.0097135,0.00996,1000,0.000974,0.008735,0.001417443,0.000613318496990756,0.00125275,0.00132,0.001379,1000,0.0,1.2,0.72,0.5878775382679627,0.0,1.2,1.2,5
FixedProjectiveConstraint,0.006414,0.138925,0.008084829,0.009092917696963887,0.006686,0.006856,0.0072285,1000,1.14609,1.363036,1.1809680630000001,0.038633285520481314,1.153143,1.1582375,1.218208,1000,0.06638,0.115093,0.067963765,0.004311239879405343,0.0667195,0.0668985,0.06767025,1000,0.036934,0.069833,0.038158595999999996,0.0030948528234447594,0.037291,0.037446,0.037873,1000,0.022578,0.053459,0.023637560000000002,0.002512375702875667,0.022886,0.023045,0.0233615,1000,0.992437,1.179867,1.027521358,0.03708667209478138,1.00273775,1.0054295,1.06399275,1000,0.002756,0.01378,0.003180667,0.0007286222163172079,0.00297375,0.003056,0.00311825,1000,0.01135,0.03506,0.011826676,0.001208439222726571,0.011565,0.0116475,0.011746,1000,1.182061,1.5562,1.2201939110000002,0.042999463306616734,1.191284,1.197271,1.256732,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
FEMBAR_EigenSimplicialLDLT,0.000282,0.000823,0.000332006,4.146731199390672e-05,0.000315,0.000327,0.00034,1000,2.583308,5.004595,2.655642518,0.18236650617039762,2.60057625,2.6265335,2.65354625,1000,0.051908,0.083632,0.054085553999999994,0.0030769101473855226,0.0523255,0.0526155,0.056134,1000,0.043993,0.088576,0.045807177000000004,0.002894622241272771,0.044468,0.0447185,0.0475645,1000,0.699334,2.079628,0.7306505529999999,0.0935592673191234,0.70710375,0.712973,0.7496955,1000,1.75862,2.784216,1.80045492,0.10441209024123405,1.7662875,1.775119,1.79573075,1000,0.001261,0.010885,0.001461258,0.000331635247577817,0.001374,0.001429,0.00149625,1000,0.012707,0.027758,0.013529707,0.0009710079892312935,0.013163,0.013427,0.01364125,1000,2.608176,5.069029,2.682568486,0.18462717402925227,2.62757225,2.6535375,2.680012,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
FEMBAR_EigenSimplicialLLT,0.000278,0.000745,0.00031955,3.865526484193324e-05,0.000303,0.000313,0.000326,1000,2.643192,4.941836,2.6946399309999998,0.17558654132895332,2.6543605,2.659091,2.69398475,1000,0.051989,0.085963,0.053529508,0.0036981828973072705,0.05250375,0.052679,0.05297425,1000,0.044194,0.087901,0.045321032,0.003241299836018877,0.044597,0.044744,0.044932,1000,0.698874,1.917143,0.71561464,0.08232154674399891,0.703692,0.7056805,0.70786725,1000,1.817488,2.853209,1.856089973,0.10560645159498672,1.828246,1.830946,1.85275075,1000,0.001186,0.010318,0.001420683,0.0003336214359285086,0.001322,0.001384,0.00146,1000,0.012652,0.035436,0.013438779,0.001597153978850818,0.01306075,0.0131925,0.01338225,1000,2.668314,5.000998,2.721377676,0.17777435134029607,2.68041675,2.685547,2.720477,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
