SceneName,CollisionDetection_min,CollisionDetection_max,CollisionDetection_mean,CollisionDetection_std,CollisionDetection_quartile1,CollisionDetection_quartile2,CollisionDetection_quartile3,ODESolve_min,ODESolve_max,ODESolve_mean,ODESolve_std,ODESolve_quartile1,ODESolve_quartile2,ODESolve_quartile3,ComputeForce_min,ComputeForce_max,ComputeForce_mean,ComputeForce_std,ComputeForce_quartile1,ComputeForce_quartile2,ComputeForce_quartile3,ComputeRHTerm_min,ComputeRHTerm_max,ComputeRHTerm_mean,ComputeRHTerm_std,ComputeRHTerm_quartile1,ComputeRHTerm_quartile2,ComputeRHTerm_quartile3,setSystemMBKMatrix_min,setSystemMBKMatrix_max,setSystemMBKMatrix_mean,setSystemMBKMatrix_std,setSystemMBKMatrix_quartile1,setSystemMBKMatrix_quartile2,setSystemMBKMatrix_quartile3,MBKSolve_min,MBKSolve_max,MBKSolve_mean,MBKSolve_std,MBKSolve_quartile1,MBKSolve_quartile2,MBKSolve_quartile3,ProjectAndMechaMap_min,ProjectAndMechaMap_max,ProjectAndMechaMap_mean,ProjectAndMechaMap_std,ProjectAndMechaMap_quartile1,ProjectAndMechaMap_quartile2,ProjectAndMechaMap_quartile3,UpdateBBox_min,UpdateBBox_max,UpdateBBox_mean,UpdateBBox_std,UpdateBBox_quartile1,UpdateBBox_quartile2,UpdateBBox_quartile3,TimeStep_min,TimeStep_max,TimeStep_mean,TimeStep_std,TimeStep_quartile1,TimeStep_quartile2,TimeStep_quartile3,SolveConstraint_min,SolveConstraint_max,SolveConstraint_mean,SolveConstraint_std,SolveConstraint_quartile1,SolveConstraint_quartile2,SolveConstraint_quartile3,PrepareState_min,PrepareState_max,PrepareState_mean,PrepareState_std,PrepareState_quartile1,PrepareState_quartile2,PrepareState_quartile3,BuildSystem_min,BuildSystem_max,BuildSystem_mean,BuildSystem_std,BuildSystem_quartile1,BuildSystem_quartile2,BuildSystem_quartile3,SolveSystem_min,SolveSystem_max,SolveSystem_mean,SolveSystem_std,SolveSystem_quartile1,SolveSystem_quartile2,SolveSystem_quartile3,ApplyCorrection_min,ApplyCorrection_max,ApplyCorrection_mean,ApplyCorrection_std,ApplyCorrection_quartile1,ApplyCorrection_quartile2,ApplyCorrection_quartile3,CPUUsage_min,CPUUsage_max,CPUUsage_mean,CPUUsage_std,CPUUsage_quartile1,CPUUsage_quartile2,CPUUsage_quartile3
fallingBeamLagrangianCollision,0.335611,0.47826,0.3592815607843137,0.019084641731888514,0.347254,0.352478,0.3640565,11.734203,15.301446,12.331386847058823,0.372639517577169,12.144292,12.346893,12.4528705,0.28079,0.400858,0.29657041960784314,0.019434303967832894,0.2843055,0.288841,0.298399,0.136294,0.227698,0.14840569411764706,0.016811334353047807,0.137859,0.138906,0.1566405,3.572344,4.812448,3.715963643137255,0.10919612609343717,3.65511,3.706484,3.7480395,3.572344,4.812448,3.715963643137255,0.10919612609343717,3.65511,3.706484,3.7480395,0.02494,0.058953,0.02795145098039216,0.004500492009328364,0.0261635,0.026563,0.0284965,0.054786,0.092274,0.0589970431372549,0.005954768325789463,0.056554,0.057193,0.0589725,39.985975,54.278522,47.757080384313724,1.9747752265049507,47.7470185,48.014644,48.367568,27.192271,41.309606,34.87963645098039,1.9343361876457035,35.04409,35.255961,35.4018015,0.020858,0.046918,0.02267617254901961,0.00226417381755668,0.0219425,0.022399,0.022913,21.758864,28.357557,22.261979866666668,1.3805032534036723,21.8608205,21.91501,21.985972,4.937902,14.314628,12.176115019607844,1.8098819400784636,12.7002225,12.882342,12.9968085,0.394743,0.548463,0.41572460784313725,0.018990190124788767,0.4032065,0.40863,0.4241505,0.0,1.2,0.48,0.5878775382679627,0.0,0.0,1.2
BilateralLagrangianConstraint_NNCG,0.035948,1.637322,0.11031311199999999,0.1195585583148001,0.055514,0.0940345,0.126579,0.126338,0.265912,0.147372589,0.01973704886233195,0.13193,0.138996,0.16006175,0.001887,0.023421,0.0026120565000000004,0.001182282944691223,0.002058,0.002189,0.003064,0.004039,0.042989,0.005292482,0.0020862915297666334,0.00433575,0.004547,0.005829,0.000371,0.021009,0.00074080075,0.0008530829426553068,0.000475,0.000536,0.000955,0.000371,0.021009,0.00074080075,0.0008530829426553068,0.000475,0.000536,0.000955,0.022378,0.055361,0.025833522,0.004679812202376928,0.023014,0.0233545,0.02747575,0.029036,0.073717,0.032204153,0.005259652773291314,0.02977375,0.0301435,0.03333975,0.431635,2.352145,0.5434490829999999,0.15396025791723691,0.4657305,0.5043045,0.59735875,0.087651,0.219337,0.10416580499999999,0.01843529449607396,0.09048675,0.0946455,0.114133,0.025497,0.071836,0.030439771,0.006598120851011977,0.026623,0.0274885,0.03268325,0.038732,0.127257,0.046454832,0.01014982257321654,0.0397805,0.0420115,0.05154225,0.005359,0.030973,0.0066668230000000005,0.0023824147916916144,0.00558575,0.005713,0.0069695,0.01654,0.065937,0.019809716,0.004538435916848887,0.01705175,0.017873,0.02110025,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0
BilateralLagrangianConstraint_PGS,0.048479,1.669595,0.108565588,0.11789708635265868,0.05389875,0.0944535,0.12536225,0.126266,0.248634,0.144238225,0.01738684571716144,0.13082975,0.1375585,0.1556765,0.001869,0.02816,0.00261136825,0.00115135557328826,0.002055,0.002205,0.00309025,0.003985,0.027726,0.0051769007499999995,0.0017116185802916013,0.004299,0.0045695,0.00582625,0.00036,0.087075,0.00077342525,0.0015455033217086393,0.000459,0.00053,0.000952,0.00036,0.087075,0.00077342525,0.0015455033217086393,0.000459,0.00053,0.000952,0.022519,0.062292,0.025696678,0.004302889654675797,0.02307575,0.0233745,0.02764475,0.029177,0.075805,0.031889398,0.004183644721005358,0.02976825,0.030169,0.03334825,0.430175,2.273117,0.535379713,0.14633615853629148,0.46176075,0.496359,0.58974875,0.086797,0.185745,0.102214961,0.016116550761855933,0.0900535,0.093831,0.11349225,0.025429,0.081355,0.029636806,0.005877178557808499,0.02633475,0.0270075,0.03211475,0.038842,0.101002,0.045728781,0.0086516832473825,0.0397065,0.0407715,0.05130125,0.005327,0.023916,0.00664026,0.0017945767752871424,0.00556075,0.005986,0.0070335,0.016149,0.051401,0.019291303,0.0035029968257466342,0.01693875,0.017468,0.020961,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BilateralLagrangianConstraint_UGS,0.039042,1.670889,0.080333459,0.11455976844499259,0.0537075,0.068455,0.0808215,0.127308,0.267952,0.13779756099999999,0.014551413555949778,0.1303185,0.1326605,0.13587175,0.001913,0.023403,0.0024169722499999997,0.0008898490374664331,0.002031,0.002112,0.00300625,0.004025,0.030242,0.005008655,0.0017373982236306678,0.004336,0.004478,0.00582425,0.000376,0.011183,0.00070921375,0.0006747837283611227,0.00046,0.000507,0.000957,0.000376,0.011183,0.00070921375,0.0006747837283611227,0.00046,0.000507,0.000957,0.022684,0.06951,0.024639534,0.0043534955048608924,0.02323375,0.0235285,0.024408,0.02933,0.076924,0.03113725,0.0047228013855655625,0.029847,0.030054,0.03031025,0.450848,2.318196,0.514322309,0.1370779224934983,0.46952375,0.496826,0.52071925,0.098774,0.235322,0.12351864,0.01832495149768206,0.111108,0.120957,0.12783775,0.025568,0.067569,0.027852942,0.004722584250453982,0.02642575,0.026759,0.02714225,0.043857,0.12312,0.048105161,0.008698263705767893,0.04505175,0.045536,0.04639125,0.009126,0.08575,0.027905259999999998,0.010552516654637415,0.01936075,0.0287495,0.03333375,0.016618,0.064439,0.018865638,0.004192334888454881,0.01732025,0.0176515,0.01818875,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0
FrictionContact_LCP_with_friction,0.040383,1.435204,0.083149087,0.09631570076580157,0.075323,0.075951,0.07790325,0.041149,0.111985,0.053616887,0.008086112058352333,0.0516345,0.0522005,0.05294125,0.002987,0.021378,0.0041927629999999995,0.0012443330425697939,0.00407775,0.004142,0.004209,0.005836,0.02627,0.007834927,0.00186959836052319,0.00755,0.00765,0.00774525,0.00077,0.018211,0.001098619,0.000978146785425889,0.000945,0.0009765,0.001007,0.00077,0.018211,0.001098619,0.000978146785425889,0.000945,0.0009765,0.001007,0.007197,0.037902,0.010727747999999999,0.002466046141599139,0.01046775,0.0106145,0.010777,0.011937,0.040548,0.015128218,0.002831306439874709,0.01466375,0.014816,0.01498475,0.146411,1.687397,0.2460605,0.10645246079407465,0.23681975,0.239481,0.24744575,0.012522,0.093249,0.038126921,0.0104619141078848,0.03858625,0.0389395,0.04124175,0.001985,0.023753,0.003179116,0.0013792847423733795,0.00299175,0.003049,0.003119,0.007152,0.052195,0.016456032,0.004491658904789632,0.016283,0.016455,0.01664725,0.001631,0.065858,0.016345326,0.006611441089181994,0.01731475,0.0175425,0.01774625,0.00095,0.017108,0.00141913,0.0007182601876061349,0.001298,0.001343,0.001385,0.0,1.2,0.48,0.5878775382679627,0.0,0.0,1.2
FrictionContact_LCP_without_friction,0.040971,1.470605,0.098423742,0.09819260674459881,0.07550975,0.103517,0.10491625,0.040742,0.137239,0.053621671999999995,0.008875444048745731,0.05153475,0.052023,0.05284825,0.002955,0.025407,0.004233368,0.0013346264932841696,0.004104,0.004194,0.004274,0.005777,0.023088,0.007747067,0.001618948300752992,0.0075135,0.0076265,0.00774925,0.000776,0.016405,0.001051329,0.0007528630026498845,0.00092875,0.000956,0.000983,0.000776,0.016405,0.001051329,0.0007528630026498845,0.00092875,0.000956,0.000983,0.007304,0.036226,0.010611637,0.0023755437519083922,0.010382,0.01052,0.01067325,0.011971,0.050457,0.015061196,0.0036399038459256033,0.0144765,0.014611,0.0147255,0.146471,1.752154,0.25165803400000003,0.10930327248018169,0.22439075,0.2560655,0.2605185,0.012388,0.088858,0.028304199000000002,0.007468045138012959,0.02530975,0.02918,0.03084275,0.001978,0.023436,0.003113969,0.0013769538293054709,0.00290675,0.0029805,0.00306325,0.007083,0.044888,0.015209615,0.0041090644111251165,0.014531,0.0152245,0.01554225,0.001671,0.029927,0.007782154,0.0033709846458095886,0.00584975,0.0089305,0.00945225,0.00102,0.012018,0.001405841,0.0006162621809903639,0.00126,0.001336,0.001402,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FixedProjectiveConstraint,0.008937,0.183262,0.010872976000000001,0.010406565266475966,0.009406,0.009526,0.00983625,1.103104,1.864147,1.1514865,0.06473864234948089,1.124751,1.139735,1.1698915,0.067015,0.11955,0.070985406,0.007893028373898322,0.067596,0.067902,0.070078,0.037319,0.084106,0.039751673,0.005739141696984924,0.037771,0.0381835,0.039939,0.000678,0.006845,0.000979508,0.0006531226285591398,0.000811,0.000846,0.000894,0.986338,1.682049,1.031825534,0.0592871162154548,1.0074975,1.022505,1.04967325,0.013083,0.041375,0.01424927,0.0022921149532909558,0.013316,0.013386,0.013671,0.013596,0.037928,0.014357384,0.0021655136925320976,0.013885,0.0140095,0.014156,1.152356,1.949722,1.205488885,0.06993415535494638,1.1762405,1.191849,1.2237065,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1.2,0.48,0.5878775382679627,0.0,0.0,1.2
FEMBAR_EigenSimplicialLDLT,0.000269,0.013195,0.000347901,0.0004219276445067329,0.000308,0.000324,0.000343,2.497908,5.090511,2.5797444279999997,0.19581646731293775,2.53676775,2.557747,2.5751775,0.051765,0.091995,0.053749046,0.005583604739223936,0.05202575,0.0521895,0.052518,0.044139,0.112146,0.04627452,0.00596320632928293,0.044551,0.044741,0.04509425,0.688993,2.196239,0.7187054570000001,0.10215769928656455,0.69747875,0.701888,0.725488,1.698644,2.761502,1.7534511769999999,0.10935209680768662,1.7236005,1.737207,1.7555635,0.001169,0.018765,0.0013683669999999999,0.0007817136920324475,0.001264,0.001306,0.001353,0.0059,0.026599,0.006549091999999999,0.0011926475705488187,0.00625175,0.0063845,0.00654725,2.513848,5.137912,2.59773231,0.19796989977802157,2.5545355,2.575453,2.59258925,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1.2,0.72,0.5878775382679627,0.0,1.2,1.2
FEMBAR_EigenSimplicialLLT,0.000285,0.00908,0.000352416,0.00028084211390744094,0.00032,0.000334,0.000352,2.622257,5.088314,2.723459168,0.18995615180466197,2.68174675,2.6957255,2.72229525,0.051647,0.096671,0.054432411,0.006405484977742045,0.05221675,0.0530165,0.05359825,0.043919,0.109038,0.046181413,0.005773651045606325,0.04446675,0.044732,0.045304,0.690666,2.017376,0.7282844470000001,0.09283859477455046,0.69906075,0.7235675,0.732555,1.816166,2.949528,1.886766986,0.1137700466570257,1.8533575,1.866653,1.8883555,0.001199,0.019734,0.001503268,0.0011228917081250534,0.001311,0.001378,0.001463,0.006129,0.026739,0.006860139,0.0014937805667764592,0.0065,0.006646,0.0068285,2.63937,5.135188,2.742063397,0.19189303179396952,2.7002235,2.7142605,2.7403755,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FEMBAR_EigenSparseLU,0.000327,0.000877,0.000417999,6.311720050033905e-05,0.000377,0.000409,0.00044,3.355212,5.99243,3.472450224,0.21747440409146507,3.4105305,3.446862,3.48064625,0.052363,0.117324,0.057184571000000003,0.006193864675544583,0.05394,0.055098,0.05854625,0.044665,0.087904,0.048090176,0.005521158590642366,0.04580975,0.0464605,0.0484295,0.694585,1.966703,0.7231636,0.08901653673203648,0.70229325,0.707842,0.73014575,2.54378,4.801003,2.634602205,0.14219527179755653,2.586818,2.6151755,2.643013,0.001387,0.006665,0.001700528,0.0002961046018149668,0.001549,0.00163,0.0017955,0.006752,0.025065,0.007961522,0.0013429068759657165,0.007498,0.007759,0.0081015,3.374926,6.028872,3.494091347,0.21969361831148532,3.43146875,3.46687,3.503574,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0
