SceneName,CollisionDetection_min,CollisionDetection_max,CollisionDetection_mean,CollisionDetection_std,CollisionDetection_quartile1,CollisionDetection_quartile2,CollisionDetection_quartile3,CollisionDetection_cardinality,ODESolve_min,ODESolve_max,ODESolve_mean,ODESolve_std,ODESolve_quartile1,ODESolve_quartile2,ODESolve_quartile3,ODESolve_cardinality,ComputeForce_min,ComputeForce_max,ComputeForce_mean,ComputeForce_std,ComputeForce_quartile1,ComputeForce_quartile2,ComputeForce_quartile3,ComputeForce_cardinality,ComputeRHTerm_min,ComputeRHTerm_max,ComputeRHTerm_mean,ComputeRHTerm_std,ComputeRHTerm_quartile1,ComputeRHTerm_quartile2,ComputeRHTerm_quartile3,ComputeRHTerm_cardinality,setSystemMBKMatrix_min,setSystemMBKMatrix_max,setSystemMBKMatrix_mean,setSystemMBKMatrix_std,setSystemMBKMatrix_quartile1,setSystemMBKMatrix_quartile2,setSystemMBKMatrix_quartile3,setSystemMBKMatrix_cardinality,MBKSolve_min,MBKSolve_max,MBKSolve_mean,MBKSolve_std,MBKSolve_quartile1,MBKSolve_quartile2,MBKSolve_quartile3,MBKSolve_cardinality,ProjectAndMechaMap_min,ProjectAndMechaMap_max,ProjectAndMechaMap_mean,ProjectAndMechaMap_std,ProjectAndMechaMap_quartile1,ProjectAndMechaMap_quartile2,ProjectAndMechaMap_quartile3,ProjectAndMechaMap_cardinality,UpdateBBox_min,UpdateBBox_max,UpdateBBox_mean,UpdateBBox_std,UpdateBBox_quartile1,UpdateBBox_quartile2,UpdateBBox_quartile3,UpdateBBox_cardinality,TimeStep_min,TimeStep_max,TimeStep_mean,TimeStep_std,TimeStep_quartile1,TimeStep_quartile2,TimeStep_quartile3,TimeStep_cardinality,SolveConstraint_min,SolveConstraint_max,SolveConstraint_mean,SolveConstraint_std,SolveConstraint_quartile1,SolveConstraint_quartile2,SolveConstraint_quartile3,SolveConstraint_cardinality,PrepareState_min,PrepareState_max,PrepareState_mean,PrepareState_std,PrepareState_quartile1,PrepareState_quartile2,PrepareState_quartile3,PrepareState_cardinality,BuildSystem_min,BuildSystem_max,BuildSystem_mean,BuildSystem_std,BuildSystem_quartile1,BuildSystem_quartile2,BuildSystem_quartile3,BuildSystem_cardinality,SolveSystem_min,SolveSystem_max,SolveSystem_mean,SolveSystem_std,SolveSystem_quartile1,SolveSystem_quartile2,SolveSystem_quartile3,SolveSystem_cardinality,ApplyCorrection_min,ApplyCorrection_max,ApplyCorrection_mean,ApplyCorrection_std,ApplyCorrection_quartile1,ApplyCorrection_quartile2,ApplyCorrection_quartile3,ApplyCorrection_cardinality,CPUUsage_min,CPUUsage_max,CPUUsage_mean,CPUUsage_std,CPUUsage_quartile1,CPUUsage_quartile2,CPUUsage_quartile3,CPUUsage_cardinality
fallingBeamLagrangianCollision,0.343743,0.454737,0.35630949411764706,0.014639546226191198,0.347793,0.35111,0.3566365,255,11.553837,12.471484,12.05543542745098,0.2257098035357583,11.933706,12.093799,12.23576,255,0.284031,0.382477,0.29578050588235294,0.014190017985554406,0.287272,0.290775,0.297276,255,0.137192,0.198499,0.1422100980392157,0.008458332566069477,0.1387735,0.139393,0.140126,255,3.538583,3.892315,3.6632492980392155,0.07178091684949636,3.6156095,3.647442,3.7122355,255,3.538583,3.892315,3.6632492980392155,0.07178091684949636,3.6156095,3.647442,3.7122355,255,0.022466,0.048326,0.02421847843137255,0.002944226654765701,0.023377,0.023697,0.0240595,255,0.053309,0.086029,0.05566932156862745,0.004288443024574885,0.054236,0.054768,0.0553365,255,39.597158,53.665772,47.10824813333333,1.8585532598383072,47.3300025,47.693179,48.0062005,255,27.132834,41.102639,34.52411272941177,1.8869730025331488,34.9840915,35.219771,35.350668,255,0.020424,0.055281,0.022437898039215684,0.0033364941088848948,0.021595,0.021923,0.0222925,255,21.791342,27.927315,21.938069364705882,0.47185926267651024,21.856747,21.88245,21.9152535,255,4.817988,13.255109,12.139153882352941,1.8066603227305287,12.6833755,12.889792,12.9973235,255,0.401713,0.52092,0.4217653294117647,0.01651531437803148,0.411181,0.416593,0.4280055,255,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
SofaScene,8.972301,30.97206,9.329310911680913,0.7948927659951659,9.111127,9.228057,9.4110605,1755,8.662391,30.396998,9.02300316125356,0.7842663915595889,8.8074195,8.922421,9.1035195,1755,0.004752,1.576002,0.17470094567901234,0.17049740383987386,0.031223,0.1298965,0.2795065,10530,0.006115,0.824082,0.07584827910731244,0.07312746516162541,0.014209,0.080411,0.1049865,10530,0.03592,15.055938,1.1612057922127257,1.2132725839082725,0.08509275,0.985107,1.73138925,10530,0.03592,15.055938,1.1612057922127257,1.2132725839082725,0.08509275,0.985107,1.73138925,10530,0.097425,0.468087,0.10989405698005698,0.013522036923260424,0.1034445,0.106242,0.1134605,1755,0.131021,0.4902,0.1426004376068376,0.014332795511275684,0.136233,0.138574,0.145523,1755,23.884336,65.743385,30.7755345994302,3.997959706599399,28.170639,30.162002,32.477871,1755,14.288817,55.783076,20.94020181310541,3.8123801231492305,18.4492945,20.296165,22.6737645,1755,0.073808,0.209955,0.08279032193732193,0.008823219283894287,0.079,0.081233,0.083419,1755,13.475722,54.663494,20.108896467236466,3.7205359074256945,17.6767285,19.477567,21.838672,1755,0.100447,1.683872,0.25305905641025644,0.10771014972065193,0.194595,0.225395,0.2778805,1755,0.430058,2.102936,0.4931140586894587,0.04970422774774198,0.474126,0.485687,0.50607,1755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
BilateralLagrangianConstraint_NNCG,0.038066,1.79508,0.108741477,0.12406492805120822,0.05451925,0.094247,0.12449,1000,0.126702,0.243029,0.14834655300000002,0.01837226318087108,0.1325525,0.145654,0.1596765,1000,0.001802,0.022729,0.0026429355,0.0012681829167512668,0.00205,0.002255,0.003004,4000,0.004088,0.032472,0.005401341749999999,0.0017993449787233515,0.00445575,0.0049025,0.00586,4000,0.00032,0.018376,0.00076280025,0.0008548502736444187,0.000464,0.000542,0.000942,4000,0.00032,0.018376,0.00076280025,0.0008548502736444187,0.000464,0.000542,0.000942,4000,0.019819,0.062172,0.023007167000000002,0.004036854049765857,0.02054625,0.0211565,0.024714,1000,0.027718,0.068673,0.030846785,0.00512261802604635,0.02842975,0.029015,0.031983,1000,0.422587,2.426376,0.532557575,0.15386298048921443,0.46005975,0.49245,0.581884,1000,0.085402,0.22252,0.101625205,0.016768408301952066,0.088947,0.0934495,0.1116885,1000,0.025252,0.070304,0.029738103999999998,0.005911586778453311,0.026272,0.0271925,0.0320255,1000,0.037999,0.106772,0.045223685,0.009007543971015351,0.03905675,0.0412,0.05019575,1000,0.005246,0.025183,0.006569076,0.0019589308906196768,0.0055165,0.0056605,0.00706125,1000,0.016041,0.054139,0.019542459999999998,0.004786251094583317,0.016682,0.017674,0.0207825,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
BilateralLagrangianConstraint_PGS,0.035762,1.784165,0.10851288499999999,0.12201892927241975,0.053232,0.0939925,0.1254225,1000,0.124625,0.255075,0.143282198,0.017143626150695073,0.129477,0.135899,0.15474575,1000,0.001794,0.023523,0.00251036175,0.0011425818657264507,0.00198,0.0021125,0.002927,4000,0.00402,0.029572,0.005230752000000001,0.0016723093043740443,0.004336,0.0045475,0.005736,4000,0.000337,0.021474,0.0007280874999999999,0.0008664226268650595,0.000442,0.000505,0.00085,4000,0.000337,0.021474,0.0007280874999999999,0.0008664226268650595,0.000442,0.000505,0.00085,4000,0.019817,0.056869,0.022860747,0.00420276685327547,0.0203595,0.020625,0.02450175,1000,0.027578,0.096269,0.030650484,0.005358157214541582,0.028197,0.028612,0.03183125,1000,0.419471,2.386728,0.526602362,0.1513692224958725,0.45220475,0.4866145,0.58092975,1000,0.084881,0.20587,0.10116576099999999,0.017539143278902734,0.0881425,0.09241,0.112217,1000,0.025104,0.080948,0.029668682000000002,0.006214392411078978,0.026135,0.0267365,0.032142,1000,0.037593,0.129889,0.045092826999999995,0.010226125810543845,0.038539,0.0403745,0.049967,1000,0.005222,0.048731,0.006762735,0.00243535595689316,0.005587,0.006011,0.0071295,1000,0.01589,0.04549,0.019074062000000003,0.0034800223442035543,0.01668675,0.0174345,0.020739,1000,0.0,1.2,0.24,0.48,0.0,0.0,0.0,5
BilateralLagrangianConstraint_UGS,0.036092,1.84689,0.080519611,0.11897480863219607,0.05282825,0.067488,0.08069475,1000,0.127403,0.308055,0.139524432,0.01659543227015723,0.130529,0.1332115,0.1379055,1000,0.001813,0.023247,0.002443064,0.0013691072627460567,0.001974,0.002059,0.002861,4000,0.004051,0.025183,0.005085642,0.001822772716176101,0.004366,0.004509,0.00567725,4000,0.000379,0.023521,0.00076211375,0.0009409858135545602,0.000464,0.0005165,0.00096,4000,0.000379,0.023521,0.00076211375,0.0009409858135545602,0.000464,0.0005165,0.00096,4000,0.02004,0.056711,0.021610301,0.003228682036435146,0.020602,0.0208415,0.02119825,1000,0.027638,0.07177,0.029841265999999998,0.004642216143313881,0.028424,0.0286115,0.02888125,1000,0.439941,2.568997,0.507903572,0.14267714968479994,0.46756675,0.4883195,0.51372875,1000,0.097687,0.287282,0.122588236,0.01897487192690122,0.1099625,0.119675,0.1263575,1000,0.025365,0.076342,0.027745214,0.004824407698174357,0.02618375,0.0264845,0.026863,1000,0.043277,0.206193,0.047375772,0.010347500083015994,0.04401,0.0444235,0.0452945,1000,0.008908,0.084376,0.028306431,0.010677221399279825,0.01961275,0.0290795,0.03362875,1000,0.016326,0.060442,0.018643524,0.004276316189598706,0.016945,0.017203,0.01796,1000,0.0,1.2,0.48,0.5878775382679627,0.0,0.0,1.2,5
FrictionContact_LCP_with_friction,0.040128,1.423361,0.08418076399999999,0.09485076736544784,0.07556775,0.0762715,0.07814825,1000,0.039813,0.116168,0.052786967,0.007998706519801248,0.0509785,0.0514505,0.052427,1000,0.002798,0.030794,0.0041472309999999995,0.0015719064532086506,0.003986,0.00405,0.00410825,1000,0.00564,0.028313,0.007565548,0.0018603495547063194,0.007332,0.007431,0.007562,1000,0.000747,0.016765,0.00104334,0.0007462174122867945,0.000933,0.000968,0.00100025,1000,0.000747,0.016765,0.00104334,0.0007462174122867945,0.000933,0.000968,0.00100025,1000,0.005935,0.030472,0.009449366,0.0024198195184856244,0.00915825,0.009302,0.00945725,1000,0.011287,0.03891,0.014458428,0.002954785027851603,0.01393775,0.014063,0.0142005,1000,0.141912,1.655905,0.243107046,0.10510107851792903,0.23304875,0.235765,0.250242,1000,0.011948,0.096192,0.037573944000000005,0.010642703711786024,0.0377925,0.0381325,0.04003125,1000,0.001972,0.026808,0.0031477429999999997,0.001488876620459533,0.00293475,0.003004,0.00308225,1000,0.006766,0.064539,0.016311404,0.005021411058933933,0.01593875,0.016078,0.01626325,1000,0.001604,0.055657,0.015968408,0.006198031813046461,0.01702025,0.0172295,0.01736525,1000,0.000893,0.016709,0.001399445,0.0008586571684758709,0.001255,0.0012995,0.001343,1000,0.0,1.2,0.24,0.48,0.0,0.0,0.0,5
FrictionContact_LCP_without_friction,0.025621,1.572405,0.098559175,0.10043476959781593,0.075505,0.1036545,0.1049725,1000,0.040078,0.125203,0.053271554,0.00884937151548538,0.05092775,0.05159,0.0526015,1000,0.002771,0.024881,0.004140782,0.0014812619648380905,0.00395775,0.0040515,0.004136,1000,0.005762,0.02545,0.007742247999999999,0.0019740680019938524,0.007402,0.007545,0.00771225,1000,0.000706,0.009826,0.00101599,0.000554162584355891,0.00092,0.000951,0.000983,1000,0.000706,0.009826,0.00101599,0.000554162584355891,0.00092,0.000951,0.000983,1000,0.005931,0.035237,0.009428699,0.002343963611577407,0.00915175,0.009283,0.00943275,1000,0.010999,0.041861,0.014308168999999999,0.002856919997206607,0.013817,0.013965,0.014113,1000,0.141468,1.814139,0.247907804,0.1104630616080488,0.2213975,0.252557,0.257069,1000,0.011757,0.077561,0.027708141,0.007202597395739888,0.02485625,0.028774,0.029557,1000,0.001917,0.018159,0.002996196,0.0007921309156850274,0.002899,0.0029635,0.00304025,1000,0.006798,0.056193,0.015108555000000001,0.004444341241283684,0.01436,0.015048,0.01536875,1000,0.001624,0.039776,0.007512551,0.0031964536063267056,0.005809,0.0088935,0.009303,1000,0.000847,0.021973,0.001337051,0.0007995734752972988,0.001192,0.001256,0.00131125,1000,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
FixedProjectiveConstraint,0.008266,0.128086,0.010035573,0.00841687735022146,0.00861375,0.0087975,0.009215,1000,1.097924,1.316077,1.1362838359999998,0.02592004439577803,1.11950175,1.1333625,1.14799725,1000,0.067016,0.115847,0.06980804700000001,0.007006262683399117,0.06735775,0.0675465,0.06871225,1000,0.037662,0.084448,0.039177851,0.004989831153936874,0.038001,0.038115,0.03823,1000,0.000719,0.010182,0.0009434160000000001,0.000629429507525664,0.000802,0.00083,0.000859,1000,0.983507,1.177147,1.018492613,0.022686890569869445,1.00276375,1.017948,1.0288105,1000,0.002711,0.023899,0.002970018,0.0009185385216070146,0.002829,0.002872,0.002928,1000,0.008377,0.03406,0.009027513999999999,0.0017162903547488693,0.00868,0.0087635,0.008859,1000,1.131126,1.501299,1.1722543810000001,0.0319228795843019,1.153922,1.168429,1.18346475,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
FEMBAR_EigenSimplicialLDLT,0.000283,0.001064,0.000360404,5.744523290926759e-05,0.00033,0.00035,0.0003805,1000,2.516159,5.182274,2.596373977,0.20022810240021371,2.5390915,2.5734295,2.5975135,1000,0.05197,0.117734,0.054892911,0.00597592312308977,0.0525505,0.0532275,0.05413475,1000,0.044061,0.092081,0.046011148,0.00499617641522955,0.04439675,0.0445725,0.04507125,1000,0.689914,2.163367,0.719570035,0.10118649646259018,0.69801875,0.7059725,0.72546375,1000,1.711499,2.872895,1.768468834,0.11585333971842349,1.72455625,1.7474055,1.773816,1000,0.001113,0.011468,0.001319087,0.00034817495233143927,0.001226,0.0012935,0.001366,1000,0.006098,0.02342,0.0067267889999999995,0.0012776447348457236,0.00640675,0.006522,0.006673,1000,2.533222,5.235886,2.6146035070000004,0.20265667000586474,2.55875575,2.5905195,2.61647875,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
FEMBAR_EigenSimplicialLLT,0.000266,0.0011,0.000336619,5.6294225627501085e-05,0.000312,0.000328,0.000347,1000,2.618704,5.081007,2.702334627,0.18891431040735868,2.6543905,2.679958,2.702132,1000,0.05205,0.103406,0.054439381999999994,0.005558140906461079,0.05248625,0.0528005,0.05364625,1000,0.043828,0.08658,0.046856425,0.006004862145992613,0.0445335,0.044804,0.0475945,1000,0.68896,2.003147,0.715562011,0.09154062604259859,0.694396,0.699171,0.72298275,1000,1.817872,2.942011,1.8781288170000001,0.1122467259868078,1.84484825,1.8582495,1.88259825,1000,0.001104,0.014017,0.00130076,0.0005318071120246514,0.001206,0.001241,0.00130025,1000,0.005966,0.027356,0.006618837000000001,0.001493127823205703,0.006213,0.006343,0.00659525,1000,2.635261,5.128859,2.720461147,0.19124389479226622,2.67240375,2.697876,2.71932575,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
