SceneName,CollisionDetection_min,CollisionDetection_max,CollisionDetection_mean,CollisionDetection_std,CollisionDetection_quartile1,CollisionDetection_quartile2,CollisionDetection_quartile3,CollisionDetection_cardinality,ODESolve_min,ODESolve_max,ODESolve_mean,ODESolve_std,ODESolve_quartile1,ODESolve_quartile2,ODESolve_quartile3,ODESolve_cardinality,ComputeForce_min,ComputeForce_max,ComputeForce_mean,ComputeForce_std,ComputeForce_quartile1,ComputeForce_quartile2,ComputeForce_quartile3,ComputeForce_cardinality,ComputeRHTerm_min,ComputeRHTerm_max,ComputeRHTerm_mean,ComputeRHTerm_std,ComputeRHTerm_quartile1,ComputeRHTerm_quartile2,ComputeRHTerm_quartile3,ComputeRHTerm_cardinality,setSystemMBKMatrix_min,setSystemMBKMatrix_max,setSystemMBKMatrix_mean,setSystemMBKMatrix_std,setSystemMBKMatrix_quartile1,setSystemMBKMatrix_quartile2,setSystemMBKMatrix_quartile3,setSystemMBKMatrix_cardinality,MBKSolve_min,MBKSolve_max,MBKSolve_mean,MBKSolve_std,MBKSolve_quartile1,MBKSolve_quartile2,MBKSolve_quartile3,MBKSolve_cardinality,ProjectAndMechaMap_min,ProjectAndMechaMap_max,ProjectAndMechaMap_mean,ProjectAndMechaMap_std,ProjectAndMechaMap_quartile1,ProjectAndMechaMap_quartile2,ProjectAndMechaMap_quartile3,ProjectAndMechaMap_cardinality,UpdateBBox_min,UpdateBBox_max,UpdateBBox_mean,UpdateBBox_std,UpdateBBox_quartile1,UpdateBBox_quartile2,UpdateBBox_quartile3,UpdateBBox_cardinality,TimeStep_min,TimeStep_max,TimeStep_mean,TimeStep_std,TimeStep_quartile1,TimeStep_quartile2,TimeStep_quartile3,TimeStep_cardinality,SolveConstraint_min,SolveConstraint_max,SolveConstraint_mean,SolveConstraint_std,SolveConstraint_quartile1,SolveConstraint_quartile2,SolveConstraint_quartile3,SolveConstraint_cardinality,PrepareState_min,PrepareState_max,PrepareState_mean,PrepareState_std,PrepareState_quartile1,PrepareState_quartile2,PrepareState_quartile3,PrepareState_cardinality,BuildSystem_min,BuildSystem_max,BuildSystem_mean,BuildSystem_std,BuildSystem_quartile1,BuildSystem_quartile2,BuildSystem_quartile3,BuildSystem_cardinality,SolveSystem_min,SolveSystem_max,SolveSystem_mean,SolveSystem_std,SolveSystem_quartile1,SolveSystem_quartile2,SolveSystem_quartile3,SolveSystem_cardinality,ApplyCorrection_min,ApplyCorrection_max,ApplyCorrection_mean,ApplyCorrection_std,ApplyCorrection_quartile1,ApplyCorrection_quartile2,ApplyCorrection_quartile3,ApplyCorrection_cardinality,CPUUsage_min,CPUUsage_max,CPUUsage_mean,CPUUsage_std,CPUUsage_quartile1,CPUUsage_quartile2,CPUUsage_quartile3,CPUUsage_cardinality
fallingBeamLagrangianCollision,0.343403,0.456494,0.3615788156862745,0.01927220395430228,0.3487185,0.354321,0.3671275,255,11.767849,17.89357,12.36593188627451,0.49812607448447876,12.2380915,12.324072,12.4272945,255,0.284034,0.476603,0.300211831372549,0.020065675853698086,0.288132,0.293148,0.3018545,255,0.136699,0.20956,0.1434876980392157,0.011565347762927286,0.138191,0.139025,0.14322,255,3.557679,4.287828,3.6765569098039212,0.11221330516530237,3.61448,3.648522,3.6906795,255,3.557679,4.287828,3.6765569098039212,0.11221330516530237,3.61448,3.648522,3.6906795,255,0.025161,0.065918,0.027733403921568627,0.004851895356919235,0.026002,0.026373,0.0268615,255,0.050868,0.094148,0.05380232941176471,0.004791131743302825,0.05213,0.052503,0.053132,255,40.054539,61.496937,48.60930209019608,3.604383217570386,47.623601,48.0054,48.291962,255,27.170427,43.185037,35.700098427450975,3.4042661673592853,35.063796,35.221042,35.4044525,255,0.02021,0.044211,0.02214901568627451,0.0024583898348606342,0.0212165,0.021649,0.022146,255,21.782516,28.833015,23.04778196470588,2.3779723677692592,21.8726395,21.91162,21.9926465,255,4.867191,17.44988,12.20596579607843,1.8672551859355124,12.759149,12.861117,12.9643315,255,0.3922,0.528604,0.4221927294117647,0.024500380993462557,0.4070985,0.413065,0.427772,255,0.0,4.8,0.96,1.9200000000000002,0.0,0.0,0.0,5
SofaScene,8.656507,16.4073,9.31193269116809,0.9365843351735802,8.890738,9.108715,9.286508,1755,8.376765,15.668489,9.008490601139602,0.9260168109737424,8.587898,8.813061,8.974666,1755,0.004767,0.726604,0.1775831636277303,0.1734885198087599,0.02884925,0.1220435,0.28341525,10530,0.006183,0.395305,0.0861726745489079,0.08291058117792516,0.015743,0.064558,0.147311,10530,0.036813,5.992648,1.2031906561253563,1.2565484636078668,0.0960235,0.9017145,1.75108675,10530,0.036813,5.992648,1.2031906561253563,1.2565484636078668,0.0960235,0.9017145,1.75108675,10530,0.094506,0.259905,0.11720443361823361,0.018098486228068575,0.103512,0.115585,0.1208435,1755,0.126813,0.247832,0.14397403304843304,0.015416257957124913,0.133929,0.140218,0.1441535,1755,23.881017,46.765986,31.198569328205128,3.814606368543811,28.493753,30.756776,33.1760715,1755,14.472273,35.982311,21.2712641008547,3.6500763949702355,18.70195,20.824922,23.215175,1755,0.074706,0.42944,0.09002507521367521,0.016376667435359368,0.0819515,0.085453,0.0905585,1755,13.652788,34.555047,20.368173531623935,3.551784797046241,17.841859,19.965594,22.290433,1755,0.105685,0.852395,0.29429499544159543,0.12021386565134126,0.218303,0.26787,0.3324945,1755,0.434887,1.179834,0.5165202905982906,0.05516321077183083,0.485882,0.506885,0.530862,1755,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
BilateralLagrangianConstraint_NNCG,0.034555,3.587354,0.109386685,0.15272126219245888,0.05434475,0.094505,0.12403275,1000,0.192157,0.626596,0.219389288,0.035828533476505234,0.19816575,0.206132,0.23218875,1000,0.001906,0.019679,0.00270461675,0.0011904910809701337,0.002123,0.002231,0.003058,4000,0.004164,0.03299,0.005378069,0.0017640017072664642,0.004444,0.004629,0.00591425,4000,0.014417,0.090098,0.017783336,0.004331612266362722,0.01533175,0.0161865,0.01863325,4000,0.014417,0.090098,0.017783336,0.004331612266362722,0.01533175,0.0161865,0.01863325,4000,0.020254,0.05531,0.023330213,0.004496161770847553,0.02084475,0.021139,0.02485125,1000,0.025695,0.077147,0.028838941,0.005025114554865292,0.02631075,0.0268395,0.029766,1000,0.4981,5.007155,0.618243546,0.20344486591261007,0.5323195,0.570296,0.673573,1000,0.090183,0.343966,0.10696467500000001,0.020848729721481236,0.09316925,0.0973705,0.1171985,1000,0.02506,0.088398,0.029670948,0.00652725344730048,0.02597775,0.0266635,0.03182525,1000,0.041066,0.180122,0.049108705999999995,0.01086920887560654,0.042261,0.0450425,0.05444125,1000,0.006186,0.030973,0.0076761189999999995,0.0024480542030026623,0.006391,0.0065735,0.0080495,1000,0.016481,0.067179,0.019954226999999998,0.004725722512957251,0.017204,0.0178915,0.02121525,1000,0.0,11.0,2.2,4.4,0.0,0.0,0.0,5
BilateralLagrangianConstraint_PGS,0.02886,1.699939,0.105759236,0.11640689354426696,0.05239825,0.092599,0.123399,1000,0.192364,0.350609,0.215004378,0.022595888654468006,0.19773625,0.2031595,0.23138,1000,0.001949,0.019098,0.0026579375,0.0010490011382709506,0.002117,0.00223,0.003046,4000,0.004208,0.035583,0.00530655975,0.0015277266694111015,0.00449,0.004692,0.005828,4000,0.014526,0.057562,0.017397957999999998,0.003159794041031155,0.01525675,0.016201,0.0185825,4000,0.014526,0.057562,0.017397957999999998,0.003159794041031155,0.01525675,0.016201,0.0185825,4000,0.020317,0.048084,0.022926093,0.0033606459891442004,0.02079575,0.0210545,0.0247635,1000,0.0254,0.066087,0.028240691,0.004264376521312231,0.026025,0.0264295,0.0294585,1000,0.496719,2.409303,0.6038221260000001,0.151343262794325,0.52404675,0.5602875,0.666371,1000,0.089755,0.211095,0.105191469,0.016268029916957954,0.09328275,0.0970635,0.11621425,1000,0.025107,0.073191,0.029292189,0.005333260545227376,0.02599825,0.0268785,0.03162525,1000,0.040866,0.128516,0.048234136,0.008947772193205635,0.04209225,0.044289,0.0538825,1000,0.005995,0.022025,0.007590473,0.001744503889726532,0.00639675,0.0069095,0.00815,1000,0.016655,0.048602,0.019493713,0.0031744695620892316,0.01725775,0.017978,0.0210885,1000,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
BilateralLagrangianConstraint_UGS,0.035816,1.64997,0.078322448,0.11335224358902339,0.05230075,0.065961,0.07833875,1000,0.194055,0.37912,0.207125253,0.01626530906859722,0.19903,0.2017125,0.20621675,1000,0.001918,0.021448,0.0024940585,0.001025233420776825,0.002086,0.002158,0.00294925,4000,0.004181,0.026114,0.00512820175,0.0014166128882115035,0.00452,0.004659,0.005841,4000,0.01452,0.053985,0.016884606,0.0030713447158800004,0.015181,0.0159045,0.0184075,4000,0.01452,0.053985,0.016884606,0.0030713447158800004,0.015181,0.0159045,0.0184075,4000,0.020534,0.050971,0.021596162,0.0025705245479777077,0.020875,0.0210165,0.021198,1000,0.025652,0.078021,0.02718766,0.003995113736353447,0.0261375,0.0263375,0.02655725,1000,0.516976,2.371858,0.5803044620000001,0.13761613373725684,0.53584525,0.563338,0.586746,1000,0.101923,0.239647,0.125489866,0.01660435761582013,0.1141645,0.1233245,0.130728,1000,0.025255,0.063595,0.027387039000000002,0.004073019648059533,0.02609225,0.02643,0.026835,1000,0.046405,0.107315,0.049891771,0.00690572888973778,0.04742175,0.0478805,0.048809,1000,0.009331,0.077131,0.028796712999999998,0.010481050555580343,0.020357,0.029742,0.0343945,1000,0.016927,0.046846,0.018852670999999998,0.0029412209306271093,0.0175555,0.0177775,0.018409,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
FrictionContact_LCP_with_friction,0.001926,1.540497,0.081293421,0.09860637459249658,0.07167375,0.074652,0.07553825,1000,0.059447,0.146698,0.079379222,0.010745286356571238,0.0765905,0.077322,0.080925,1000,0.002885,0.021355,0.004164084,0.0010002124798981465,0.004066,0.004152,0.00422925,1000,0.005844,0.031196,0.00775025,0.0016904018124398708,0.00753075,0.007626,0.00772925,1000,0.018454,0.064148,0.025339406999999998,0.004238960987712792,0.02465,0.024996,0.0254545,1000,0.018454,0.064148,0.025339406999999998,0.004238960987712792,0.02465,0.024996,0.0254545,1000,0.006214,0.026466,0.009588788,0.001884913512884875,0.00937575,0.0095555,0.009805,1000,0.00972,0.036102,0.012396461999999999,0.0024836469939498247,0.011975,0.0121015,0.01223725,1000,0.162038,1.861587,0.270866267,0.11095368437462413,0.26024425,0.2633725,0.27106925,1000,0.012806,0.108527,0.039416951,0.011044376704576813,0.03965075,0.0401455,0.04243125,1000,0.002014,0.019778,0.0030764160000000002,0.0012915378356610386,0.002884,0.002954,0.003039,1000,0.007183,0.056529,0.017133243,0.004670718183957473,0.017242,0.017412,0.0176175,1000,0.001935,0.081,0.016578093000000002,0.006776183844934478,0.01754675,0.017808,0.017994,1000,0.000982,0.011027,0.001370026,0.00041955150973867325,0.001295,0.0013325,0.001368,1000,0.0,9.6,1.92,3.8400000000000003,0.0,0.0,0.0,5
FrictionContact_LCP_without_friction,0.039891,1.469061,0.09675559299999999,0.09629876702549911,0.0741815,0.099284,0.1033885,1000,0.059524,0.16111,0.079444103,0.011500095771618207,0.07628,0.0768845,0.08040625,1000,0.002864,0.026534,0.004242785,0.0015522906405615541,0.004052,0.004113,0.004195,1000,0.005815,0.025053,0.0077272849999999995,0.0014155049451609134,0.007556,0.007676,0.00778425,1000,0.018436,0.056958,0.025324359,0.004327394700061343,0.024649,0.024893,0.02528975,1000,0.018436,0.056958,0.025324359,0.004327394700061343,0.024649,0.024893,0.02528975,1000,0.006216,0.03684,0.00954209,0.0023004936704759697,0.009246,0.0094,0.00965125,1000,0.009689,0.038662,0.012220724,0.0020537482878444477,0.0118805,0.012011,0.01216025,1000,0.162039,1.763732,0.275780303,0.10884186124193757,0.24811325,0.2786095,0.2842795,1000,0.012755,0.078436,0.029553005,0.007697321837299971,0.026579,0.0304445,0.03142525,1000,0.001998,0.024183,0.003058932,0.0013608867261370432,0.002878,0.002949,0.003042,1000,0.007196,0.059051,0.016032752,0.004535377377737822,0.01548675,0.0162225,0.016517,1000,0.001921,0.037202,0.007903131,0.003303878876992769,0.00624525,0.0091385,0.00965625,1000,0.000995,0.019439,0.001348443,0.0006930932006238411,0.00123,0.00129,0.001356,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
FixedProjectiveConstraint,0.0085,0.123418,0.010380246,0.00817111099884734,0.00900075,0.00918,0.00952975,1000,1.118571,1.533411,1.151747979,0.030902388440969392,1.130976,1.1464845,1.162588,1000,0.067012,0.121649,0.06893455899999999,0.005507656551067705,0.067351,0.0674495,0.067573,1000,0.037588,0.081405,0.039068142,0.00434093816655294,0.03796175,0.038122,0.038317,1000,0.014897,0.038838,0.015974369000000002,0.0024475935056375276,0.015226,0.015349,0.015584,1000,0.990321,1.358026,1.019372081,0.026652544971398864,1.00094475,1.0151185,1.0283485,1000,0.002838,0.025005,0.003248349,0.0013288406319792452,0.00298,0.003035,0.003103,1000,0.010997,0.027868,0.011620118,0.001489108841581434,0.01120475,0.0113105,0.01144925,1000,1.156416,1.580754,1.193222331,0.03563376939521609,1.171278,1.1862735,1.20482675,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
FEMBAR_EigenSimplicialLDLT,0.00029,0.010528,0.00042830399999999996,0.0003369105424055472,0.000365,0.000391,0.00042,1000,2.566808,5.172896,2.677885632,0.20670654053022264,2.59391075,2.6377185,2.694498,1000,0.05127,0.128461,0.055988572,0.00931964379967475,0.052032,0.052398,0.05390875,1000,0.043719,0.087796,0.046811955,0.005653143708325041,0.044619,0.044943,0.0456995,1000,0.688089,2.173698,0.723307963,0.10060428164195413,0.696327,0.7067305,0.732034,1000,1.767366,2.968309,1.8430222090000001,0.12037768090664198,1.78429925,1.8187875,1.85759975,1000,0.001248,0.021307,0.0015709300000000001,0.0009347517569387072,0.001365,0.00141,0.001468,1000,0.011768,0.035013,0.013289218,0.00277702209038315,0.012129,0.012291,0.01284675,1000,2.592044,5.238823,2.7057316499999997,0.21052991795481588,2.6191605,2.665604,2.72264175,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,9.9,2.46,3.758510343207798,0.0,1.2,1.2,5
FEMBAR_EigenSimplicialLLT,0.000293,0.009335,0.000402429,0.0003019958293735197,0.000339,0.000363,0.00041125,1000,2.604974,4.918927,2.6959119840000003,0.19612862044590468,2.62789625,2.654963,2.68840725,1000,0.051971,0.125752,0.055286684999999995,0.00819861375403031,0.05254,0.0528405,0.05336225,1000,0.043268,0.087454,0.046495578,0.005903883289320343,0.044635,0.0448285,0.045264,1000,0.688628,1.95401,0.7169255520000001,0.08783923686568147,0.6950035,0.699767,0.71849075,1000,1.805589,2.886193,1.869072842,0.12093966391890228,1.8192435,1.838331,1.86719225,1000,0.001247,0.012243,0.0015326780000000002,0.0007013023259023173,0.00134275,0.001398,0.001468,1000,0.011631,0.042517,0.01295123,0.002653004184900582,0.01203275,0.0122095,0.0124955,1000,2.628601,4.972427,2.7230011120000004,0.19983983297829153,2.653641,2.680549,2.7136905,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
