SceneName,CollisionDetection_min,CollisionDetection_max,CollisionDetection_mean,CollisionDetection_std,CollisionDetection_quartile1,CollisionDetection_quartile2,CollisionDetection_quartile3,CollisionDetection_cardinality,ODESolve_min,ODESolve_max,ODESolve_mean,ODESolve_std,ODESolve_quartile1,ODESolve_quartile2,ODESolve_quartile3,ODESolve_cardinality,ComputeForce_min,ComputeForce_max,ComputeForce_mean,ComputeForce_std,ComputeForce_quartile1,ComputeForce_quartile2,ComputeForce_quartile3,ComputeForce_cardinality,ComputeRHTerm_min,ComputeRHTerm_max,ComputeRHTerm_mean,ComputeRHTerm_std,ComputeRHTerm_quartile1,ComputeRHTerm_quartile2,ComputeRHTerm_quartile3,ComputeRHTerm_cardinality,setSystemMBKMatrix_min,setSystemMBKMatrix_max,setSystemMBKMatrix_mean,setSystemMBKMatrix_std,setSystemMBKMatrix_quartile1,setSystemMBKMatrix_quartile2,setSystemMBKMatrix_quartile3,setSystemMBKMatrix_cardinality,MBKSolve_min,MBKSolve_max,MBKSolve_mean,MBKSolve_std,MBKSolve_quartile1,MBKSolve_quartile2,MBKSolve_quartile3,MBKSolve_cardinality,ProjectAndMechaMap_min,ProjectAndMechaMap_max,ProjectAndMechaMap_mean,ProjectAndMechaMap_std,ProjectAndMechaMap_quartile1,ProjectAndMechaMap_quartile2,ProjectAndMechaMap_quartile3,ProjectAndMechaMap_cardinality,UpdateBBox_min,UpdateBBox_max,UpdateBBox_mean,UpdateBBox_std,UpdateBBox_quartile1,UpdateBBox_quartile2,UpdateBBox_quartile3,UpdateBBox_cardinality,TimeStep_min,TimeStep_max,TimeStep_mean,TimeStep_std,TimeStep_quartile1,TimeStep_quartile2,TimeStep_quartile3,TimeStep_cardinality,SolveConstraint_min,SolveConstraint_max,SolveConstraint_mean,SolveConstraint_std,SolveConstraint_quartile1,SolveConstraint_quartile2,SolveConstraint_quartile3,SolveConstraint_cardinality,PrepareState_min,PrepareState_max,PrepareState_mean,PrepareState_std,PrepareState_quartile1,PrepareState_quartile2,PrepareState_quartile3,PrepareState_cardinality,BuildSystem_min,BuildSystem_max,BuildSystem_mean,BuildSystem_std,BuildSystem_quartile1,BuildSystem_quartile2,BuildSystem_quartile3,BuildSystem_cardinality,SolveSystem_min,SolveSystem_max,SolveSystem_mean,SolveSystem_std,SolveSystem_quartile1,SolveSystem_quartile2,SolveSystem_quartile3,SolveSystem_cardinality,ApplyCorrection_min,ApplyCorrection_max,ApplyCorrection_mean,ApplyCorrection_std,ApplyCorrection_quartile1,ApplyCorrection_quartile2,ApplyCorrection_quartile3,ApplyCorrection_cardinality,CPUUsage_min,CPUUsage_max,CPUUsage_mean,CPUUsage_std,CPUUsage_quartile1,CPUUsage_quartile2,CPUUsage_quartile3,CPUUsage_cardinality
fallingBeamLagrangianCollision,0.333096,0.434244,0.356584,0.01665815467783236,0.346001,0.350459,0.358704,255,11.551172,15.653869,12.179993482352941,0.48329045295604744,12.0027095,12.102487,12.2193915,255,0.282045,0.44121,0.3024138784313726,0.022411531014297728,0.287995,0.295019,0.30715,255,0.137428,0.210269,0.14874178431372548,0.01586068889772264,0.1387845,0.139813,0.151949,255,3.564495,4.299535,3.7140534,0.1205080756909433,3.6424075,3.692433,3.745728,255,3.564495,4.299535,3.7140534,0.1205080756909433,3.6424075,3.692433,3.745728,255,0.025222,0.042862,0.027495850980392155,0.002438584914583926,0.026203,0.026548,0.0275175,255,0.051014,0.347567,0.05526216470588235,0.018911200418040713,0.0522895,0.052729,0.053697,255,39.88692,59.979295,48.19385774901961,3.3387022603006917,47.5343535,47.809043,48.2929865,255,27.128925,45.727504,35.47201957647059,3.111628584127316,35.105714,35.216695,35.542145,255,0.020009,0.059703,0.02275454117647059,0.004087005297672913,0.021364,0.021925,0.022434,255,21.790325,31.415096,22.713875980392157,2.09132680029974,21.854816,21.892578,21.988602,255,4.900941,18.430956,12.309120243137256,1.9404271342825616,12.771399,12.889079,13.040237,255,0.397643,0.648552,0.4243842666666667,0.03461158606366681,0.4063735,0.411965,0.430705,255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
SofaScene,8.664561,16.91152,9.291640805698005,0.9824804076357687,8.842564,9.063809,9.2681325,1755,8.379501,16.487382,8.988737508831909,0.9713403639907722,8.545941,8.775623,8.957701,1755,0.004699,0.814651,0.1779876069325736,0.17381283831394745,0.02914375,0.120172,0.28534225,10530,0.005951,0.445647,0.08511895337132004,0.08209943172878581,0.01539825,0.0688,0.146469,10530,0.036875,7.978033,1.2013715451092117,1.2619287842025684,0.093134,0.907558,1.73203325,10530,0.036875,7.978033,1.2013715451092117,1.2619287842025684,0.093134,0.907558,1.73203325,10530,0.094916,0.267174,0.1153870774928775,0.017454564640403313,0.1021105,0.115236,0.1194165,1755,0.128348,0.316977,0.14478969458689459,0.01573415554914259,0.134645,0.141363,0.145006,1755,23.753361,52.447994,31.16143885185185,4.102179479751297,28.3453835,30.582075,33.350152,1755,14.407025,42.093619,21.26050682165242,3.7979657971219782,18.5989635,20.839204,23.2467855,1755,0.074105,0.174619,0.08829597150997151,0.013312733072177185,0.081113,0.084686,0.0891675,1755,13.681725,40.134021,20.379177300854703,3.700035628311972,17.7736995,19.978333,22.3418535,1755,0.105813,0.919943,0.27858041937321937,0.11101128043792667,0.211733,0.255378,0.3064715,1755,0.433453,1.325419,0.5122168712250712,0.054468043670093697,0.4831865,0.505392,0.5276525,1755,0.0,8.3,2.1399999999999997,3.1264036847470615,0.0,1.2,1.2,5
BilateralLagrangianConstraint_NNCG,0.034258,1.681685,0.108483821,0.12019071100566366,0.05282625,0.093885,0.12452075,1000,0.192136,0.463516,0.224326608,0.03292274874852244,0.2011765,0.2150305,0.237716,1000,0.001988,0.021214,0.0028054845,0.0013548205791763534,0.002194,0.002334,0.003076,4000,0.004107,0.025808,0.00538152475,0.001905031249451682,0.004394,0.0045695,0.005878,4000,0.014387,0.048595,0.01784686,0.003840992130413704,0.015442,0.016502,0.01859125,4000,0.014387,0.048595,0.01784686,0.003840992130413704,0.015442,0.016502,0.01859125,4000,0.02012,0.056878,0.023704331,0.0050432388717409566,0.02069175,0.021125,0.0260775,1000,0.02534,0.077234,0.028802496,0.005134344651850322,0.02595225,0.026796,0.02961425,1000,0.496186,2.420384,0.626300344,0.1631341100294162,0.534823,0.584522,0.68056875,1000,0.090203,0.222312,0.10932960400000001,0.02084687629788175,0.0939935,0.0996155,0.12022175,1000,0.025475,0.081247,0.030377973000000003,0.006640113532031737,0.026374,0.027309,0.032533,1000,0.040767,0.128115,0.050249550999999996,0.011102795655572473,0.04222175,0.045524,0.0553805,1000,0.006154,0.033842,0.007970803,0.002759569829917518,0.00643875,0.0067485,0.0083155,1000,0.016403,0.062077,0.020135584999999998,0.004829079919071023,0.01716725,0.018034,0.0212055,1000,0.0,4.9,1.2200000000000002,1.8977881862842334,0.0,0.0,1.2,5
BilateralLagrangianConstraint_PGS,0.049292,1.665392,0.105281209,0.11686983219915786,0.0517105,0.090319,0.1226905,1000,0.190157,0.399451,0.216162995,0.023953565236034802,0.1977475,0.2056825,0.231623,1000,0.001948,0.023254,0.0026986375,0.00114657222345291,0.00214,0.0022625,0.003052,4000,0.004072,0.025108,0.0052266565,0.0014531464606183883,0.004403,0.0045905,0.005792,4000,0.014303,0.17479,0.0172895195,0.004125119678399616,0.015168,0.0159305,0.01829425,4000,0.014303,0.17479,0.0172895195,0.004125119678399616,0.015168,0.0159305,0.01829425,4000,0.02006,0.059209,0.022962707,0.003829178423519985,0.02064475,0.020935,0.024765,1000,0.025188,0.069965,0.028103528,0.004371732155703962,0.0258375,0.02627,0.02925575,1000,0.495896,2.361093,0.606395785,0.15043435288963347,0.5264085,0.5620445,0.667808,1000,0.090257,0.205124,0.106205452,0.01698897967447416,0.0933735,0.097145,0.11730475,1000,0.025429,0.075967,0.029617974,0.005315621326554779,0.026416,0.026982,0.032097,1000,0.041274,0.103058,0.048875825,0.009495315519685221,0.042222,0.0450815,0.05460425,1000,0.006037,0.026796,0.007677224,0.0021672659545667206,0.00633875,0.006893,0.008191,1000,0.01637,0.046104,0.019480668000000003,0.0033842655613553732,0.01704775,0.0178205,0.021018,1000,0.0,12.0,2.88,4.591470352730158,0.0,1.2,1.2,5
BilateralLagrangianConstraint_UGS,0.0328,1.638498,0.076800844,0.1142535575596474,0.051273,0.064823,0.0766275,1000,0.192689,0.320724,0.205903533,0.014415574562080797,0.19882725,0.201998,0.2067285,1000,0.001961,0.018762,0.00252454925,0.0008355937966945647,0.002154,0.00223,0.002958,4000,0.004088,0.021889,0.004922272,0.0011485399113726957,0.004341,0.0044735,0.00569625,4000,0.014432,0.060141,0.0165751455,0.0024179501210384283,0.015164,0.0157885,0.017971,4000,0.014432,0.060141,0.0165751455,0.0024179501210384283,0.015164,0.0157885,0.017971,4000,0.020326,0.055464,0.021592372,0.00316597237916189,0.02076475,0.020894,0.02108,1000,0.025435,0.062174,0.026669667,0.002975781313556324,0.02587875,0.026035,0.026226,1000,0.515647,2.346527,0.575797552,0.13641447230087902,0.53285775,0.5596175,0.58071225,1000,0.101747,0.251339,0.12448508900000001,0.016231727391226077,0.11382575,0.1230145,0.129088,1000,0.025092,0.061525,0.027100159999999998,0.003308056117782768,0.02610675,0.026427,0.0267655,1000,0.046384,0.111513,0.049742214,0.006618039709778418,0.04737425,0.04781,0.0488055,1000,0.009179,0.158832,0.028540154999999998,0.01058050360072596,0.02020325,0.029599,0.034262,1000,0.016763,0.045783,0.018564461,0.0029340901919469005,0.0172835,0.0175345,0.0179675,1000,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
FrictionContact_LCP_with_friction,0.040012,1.454448,0.080620588,0.09605888278502024,0.0713505,0.0741095,0.07516125,1000,0.059904,0.149909,0.07909100999999999,0.010198187550241464,0.07671375,0.077328,0.080953,1000,0.002924,0.023379,0.004168771,0.0011176203866067403,0.004064,0.00415,0.00422925,1000,0.00585,0.030356,0.00776387,0.0017786812814835603,0.007564,0.007658,0.007753,1000,0.01822,0.054692,0.024710452,0.0039884083782501505,0.02410775,0.0244005,0.024929,1000,0.01822,0.054692,0.024710452,0.0039884083782501505,0.02410775,0.0244005,0.024929,1000,0.006309,0.028542,0.00974378,0.0023439721038442415,0.00945375,0.0096315,0.00986225,1000,0.009699,0.028808,0.012093753,0.0018807152687185266,0.01183075,0.011951,0.01207025,1000,0.162974,1.716138,0.269242697,0.10701906242709844,0.26018075,0.263106,0.270064,1000,0.012607,0.09723,0.039466467,0.010931151165129454,0.039526,0.0402385,0.042503,1000,0.001877,0.019051,0.003081793,0.0010077621456231623,0.0029405,0.0030335,0.00313625,1000,0.007246,0.054386,0.017155933,0.004538518041003143,0.01721675,0.017391,0.0176335,1000,0.001913,0.057741,0.016619344,0.006491221272431252,0.017491,0.0178665,0.018129,1000,0.000935,0.017331,0.001361743,0.0008087362270549032,0.001242,0.001296,0.001356,1000,0.0,11.9,2.38,4.76,0.0,0.0,0.0,5
FrictionContact_LCP_without_friction,0.039801,1.457494,0.094214535,0.09577922561826638,0.0730265,0.097909,0.102466,1000,0.05882,0.162308,0.078482868,0.010821186429988904,0.07583275,0.076548,0.080212,1000,0.002906,0.025593,0.004139848,0.0013500581605604997,0.00402275,0.004095,0.00417225,1000,0.005827,0.050099,0.007803854999999999,0.00240461999866403,0.007496,0.007579,0.007654,1000,0.017904,0.059203,0.024447756,0.003731310974237339,0.02401275,0.0242595,0.02468975,1000,0.017904,0.059203,0.024447756,0.003731310974237339,0.02401275,0.0242595,0.02468975,1000,0.00617,0.039585,0.009315885,0.001983234368846758,0.009216,0.0093445,0.0095825,1000,0.009662,0.03814,0.011838972,0.001911984995028988,0.011641,0.011794,0.011904,1000,0.160495,1.746163,0.270429708,0.10723724676529481,0.24596525,0.276784,0.2815265,1000,0.012668,0.069433,0.029001794,0.00711763207236536,0.026566,0.0305415,0.03107675,1000,0.001901,0.019835,0.0029305250000000002,0.0008818608650887055,0.002862,0.002929,0.00300525,1000,0.007302,0.045182,0.015758251,0.003939092439636191,0.01556975,0.016274,0.016559,1000,0.001857,0.030426,0.007703443,0.0028978086428801675,0.00621775,0.0092485,0.009575,1000,0.000947,0.02169,0.001365577,0.0012019447990947838,0.00119,0.001257,0.00131325,1000,0.0,1.2,0.72,0.5878775382679627,0.0,1.2,1.2,5
FixedProjectiveConstraint,0.0087,0.151325,0.010277202,0.008622467240018717,0.008965,0.009084,0.00934575,1000,1.11983,1.333194,1.154515099,0.03205763146845379,1.13246525,1.143623,1.168145,1000,0.06711,0.114178,0.069610698,0.005168595785781279,0.06747275,0.0679585,0.06975,1000,0.037691,0.074767,0.03914311,0.0036119381702764512,0.03804275,0.0381805,0.03842825,1000,0.014395,0.039641,0.015426573,0.0022629046039705255,0.01480275,0.014958,0.01514725,1000,0.991043,1.204012,1.021950669,0.029281725800427802,1.0014565,1.0143845,1.026796,1000,0.002738,0.015755,0.003147025,0.001079244355266684,0.002903,0.002952,0.003011,1000,0.011063,0.040351,0.011686676,0.0018288799170596195,0.0113,0.01138,0.01147025,1000,1.157407,1.498981,1.195326572,0.03637293016382947,1.17172375,1.183457,1.20914775,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
FEMBAR_EigenSimplicialLDLT,0.00028,0.000931,0.000352764,5.8655437122231044e-05,0.000325,0.000343,0.00036,1000,2.466663,5.428007,2.5470142940000002,0.2022129756832819,2.49602575,2.51751,2.545303,1000,0.051877,0.127801,0.054447879,0.0058666471833883965,0.05254875,0.0529965,0.053908,1000,0.043951,0.107868,0.045986178,0.004595287501595085,0.0443635,0.044867,0.045754,1000,0.689585,2.458985,0.719844304,0.10264748696646978,0.695639,0.7025345,0.727653,1000,1.665443,2.888548,1.718912012,0.11483336778771167,1.68243725,1.693854,1.7209685,1000,0.001192,0.012329,0.0014520409999999998,0.000686110993439837,0.00133,0.001388,0.001448,1000,0.011857,0.039692,0.012797174000000001,0.0019769939877814498,0.012253,0.012492,0.01272525,1000,2.49047,5.527094,2.573269674,0.20538670068571074,2.52105425,2.543082,2.57060325,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,12.0,2.6399999999999997,4.703020306143702,0.0,0.0,1.2,5
FEMBAR_EigenSimplicialLLT,0.000286,0.001299,0.00036606299999999997,7.795616095601425e-05,0.000328,0.000345,0.00038,1000,2.611033,4.860384,2.69570748,0.18437387560528093,2.6382925,2.6600675,2.6888485,1000,0.051792,0.12493,0.05504463,0.0066602831897074775,0.0525315,0.053127,0.05552725,1000,0.044139,0.092067,0.045903466999999996,0.004533874145464451,0.0445875,0.044759,0.04497625,1000,0.688907,1.941084,0.717328819,0.08870798497207699,0.69656325,0.7013915,0.71876125,1000,1.812347,2.809989,1.869133941,0.10909023062579673,1.82702025,1.844072,1.8671925,1000,0.001178,0.037496,0.0014287829999999999,0.0011796326860133196,0.001294,0.001339,0.00139725,1000,0.011901,0.028674,0.012926877,0.0020888181088527073,0.01232,0.0124515,0.01266375,1000,2.634906,4.929417,2.722381765,0.1883475247065057,2.66314,2.68674,2.715266,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1.2,0.48,0.5878775382679627,0.0,0.0,1.2,5
