SceneName,CollisionDetection_min,CollisionDetection_max,CollisionDetection_mean,CollisionDetection_std,CollisionDetection_quartile1,CollisionDetection_quartile2,CollisionDetection_quartile3,CollisionDetection_cardinality,ODESolve_min,ODESolve_max,ODESolve_mean,ODESolve_std,ODESolve_quartile1,ODESolve_quartile2,ODESolve_quartile3,ODESolve_cardinality,ComputeForce_min,ComputeForce_max,ComputeForce_mean,ComputeForce_std,ComputeForce_quartile1,ComputeForce_quartile2,ComputeForce_quartile3,ComputeForce_cardinality,ComputeRHTerm_min,ComputeRHTerm_max,ComputeRHTerm_mean,ComputeRHTerm_std,ComputeRHTerm_quartile1,ComputeRHTerm_quartile2,ComputeRHTerm_quartile3,ComputeRHTerm_cardinality,setSystemMBKMatrix_min,setSystemMBKMatrix_max,setSystemMBKMatrix_mean,setSystemMBKMatrix_std,setSystemMBKMatrix_quartile1,setSystemMBKMatrix_quartile2,setSystemMBKMatrix_quartile3,setSystemMBKMatrix_cardinality,MBKSolve_min,MBKSolve_max,MBKSolve_mean,MBKSolve_std,MBKSolve_quartile1,MBKSolve_quartile2,MBKSolve_quartile3,MBKSolve_cardinality,ProjectAndMechaMap_min,ProjectAndMechaMap_max,ProjectAndMechaMap_mean,ProjectAndMechaMap_std,ProjectAndMechaMap_quartile1,ProjectAndMechaMap_quartile2,ProjectAndMechaMap_quartile3,ProjectAndMechaMap_cardinality,UpdateBBox_min,UpdateBBox_max,UpdateBBox_mean,UpdateBBox_std,UpdateBBox_quartile1,UpdateBBox_quartile2,UpdateBBox_quartile3,UpdateBBox_cardinality,TimeStep_min,TimeStep_max,TimeStep_mean,TimeStep_std,TimeStep_quartile1,TimeStep_quartile2,TimeStep_quartile3,TimeStep_cardinality,SolveConstraint_min,SolveConstraint_max,SolveConstraint_mean,SolveConstraint_std,SolveConstraint_quartile1,SolveConstraint_quartile2,SolveConstraint_quartile3,SolveConstraint_cardinality,PrepareState_min,PrepareState_max,PrepareState_mean,PrepareState_std,PrepareState_quartile1,PrepareState_quartile2,PrepareState_quartile3,PrepareState_cardinality,BuildSystem_min,BuildSystem_max,BuildSystem_mean,BuildSystem_std,BuildSystem_quartile1,BuildSystem_quartile2,BuildSystem_quartile3,BuildSystem_cardinality,SolveSystem_min,SolveSystem_max,SolveSystem_mean,SolveSystem_std,SolveSystem_quartile1,SolveSystem_quartile2,SolveSystem_quartile3,SolveSystem_cardinality,ApplyCorrection_min,ApplyCorrection_max,ApplyCorrection_mean,ApplyCorrection_std,ApplyCorrection_quartile1,ApplyCorrection_quartile2,ApplyCorrection_quartile3,ApplyCorrection_cardinality,CPUUsage_min,CPUUsage_max,CPUUsage_mean,CPUUsage_std,CPUUsage_quartile1,CPUUsage_quartile2,CPUUsage_quartile3,CPUUsage_cardinality
fallingBeamLagrangianCollision,0.336928,0.550291,0.3536438,0.017568461657163262,0.3446015,0.349868,0.3570775,255,11.744651,15.43964,12.353883329411765,0.34806459898194764,12.105059,12.401458,12.4801675,255,0.281031,0.446634,0.2957371803921569,0.017707453484360532,0.2840625,0.290606,0.3023115,255,0.136704,0.221924,0.14762946666666668,0.016600313836564004,0.137752,0.138744,0.146338,255,3.554494,5.46854,3.695304180392157,0.15330942083483504,3.631819,3.671029,3.7183115,255,3.554494,5.46854,3.695304180392157,0.15330942083483504,3.631819,3.671029,3.7183115,255,0.025049,0.044808,0.02771885882352941,0.002923867646019866,0.026344,0.026866,0.028002,255,0.054583,0.0847,0.05851336862745098,0.004693331712350302,0.056254,0.056974,0.0595725,255,40.06759,55.508873,48.15100091764705,2.9890690726230664,47.637287,48.008292,48.2118315,255,27.129391,41.980511,35.25826239215686,2.9430048410604255,35.049096,35.19416,35.3084895,255,0.019924,0.048682,0.022265023529411766,0.0029964813416437147,0.02134,0.021798,0.0222985,255,21.783475,28.604076,22.642291415686277,1.9957966717714373,21.876009,21.920047,21.98667,255,4.887626,16.448032,12.177320164705883,1.868023949257217,12.723403,12.831112,12.8876775,255,0.393932,0.545164,0.413332768627451,0.018295328864606775,0.4033315,0.407875,0.4164005,255,0.0,1.2,0.48,0.5878775382679627,0.0,0.0,1.2,5
BilateralLagrangianConstraint_NNCG,0.042113,1.666401,0.10982352199999999,0.11944080732663154,0.05504425,0.094977,0.1256755,1000,0.127499,0.242032,0.146048992,0.018628229190181658,0.13205,0.1367345,0.158905,1000,0.001912,0.023558,0.002628169,0.001183969574541086,0.002067,0.002195,0.003095,4000,0.00409,0.027669,0.005228318,0.0016434246228154185,0.004372,0.004561,0.00585325,4000,0.00037,0.015357,0.000738318,0.0006692104227191924,0.00048,0.000536,0.00101,4000,0.00037,0.015357,0.000738318,0.0006692104227191924,0.00048,0.000536,0.00101,4000,0.022639,0.057841,0.025767976999999997,0.004522360773807304,0.02320325,0.0235075,0.0274415,1000,0.0288,0.07138,0.032671798,0.005900541392380533,0.02982325,0.0310235,0.0335725,1000,0.432955,2.266852,0.541147885,0.1483592750801775,0.4671545,0.502296,0.59791075,1000,0.087145,0.194738,0.10342758,0.017093893635260517,0.09061275,0.0945235,0.11408675,1000,0.025705,0.067714,0.030054830999999997,0.005842116832487947,0.02664375,0.0273375,0.0323635,1000,0.038938,0.116804,0.046442300000000006,0.00989798935824847,0.0400425,0.0420835,0.051474,1000,0.005295,0.024325,0.006521203000000001,0.0019108921732507566,0.00551875,0.00571,0.0069465,1000,0.016378,0.057401,0.019600341,0.004238826113527069,0.01699575,0.0177185,0.02102125,1000,0.0,1.2,0.48,0.5878775382679627,0.0,0.0,1.2,5
BilateralLagrangianConstraint_PGS,0.038946,1.687833,0.11037614999999999,0.12614500207883586,0.05387,0.0947045,0.1272725,1000,0.128005,0.258619,0.145625648,0.01770871657964224,0.13222075,0.137733,0.15701425,1000,0.001917,0.025133,0.00263287725,0.0011089205680220912,0.002081,0.002214,0.00313425,4000,0.004132,0.02638,0.005237953,0.0017140273982031327,0.004364,0.004618,0.005838,4000,0.000369,0.013966,0.00078529025,0.0007839993105895806,0.000478,0.000538,0.00103125,4000,0.000369,0.013966,0.00078529025,0.0007839993105895806,0.000478,0.000538,0.00103125,4000,0.022307,0.05914,0.025591153999999998,0.004241207140695206,0.02303,0.0234215,0.02749875,1000,0.028962,0.078276,0.031950228,0.00505181842152071,0.02967225,0.0300945,0.03306475,1000,0.432655,2.362152,0.5399977290000001,0.15661678691908973,0.46271575,0.499688,0.5943715,1000,0.086756,0.202669,0.103182737,0.01694304378403807,0.090454,0.0945605,0.11416025,1000,0.025591,0.070928,0.029928097,0.00592055267839,0.0264485,0.0271935,0.03242025,1000,0.038568,0.117621,0.04611805,0.009353080506736803,0.03988075,0.041665,0.051051,1000,0.005298,0.038563,0.006696605,0.002219358516998775,0.005546,0.005961,0.00704175,1000,0.016132,0.056929,0.019482722,0.004227960429890043,0.01689475,0.017545,0.0209225,1000,0.0,1.2,0.48,0.5878775382679627,0.0,0.0,1.2,5
BilateralLagrangianConstraint_UGS,0.036967,1.630542,0.08045967600000001,0.11402121086861436,0.0535685,0.0685385,0.0806275,1000,0.127812,0.232689,0.137756809,0.012590995076502848,0.1310475,0.1334515,0.13744,1000,0.00193,0.023234,0.00245565625,0.0009908364423990156,0.002057,0.002142,0.00303,4000,0.004077,0.025379,0.00491322825,0.0013718466095565996,0.004275,0.0044455,0.00573625,4000,0.000382,0.018422,0.0007166955,0.0007015374475248988,0.000461,0.00052,0.000988,4000,0.000382,0.018422,0.0007166955,0.0007015374475248988,0.000461,0.00052,0.000988,4000,0.022601,0.057255,0.024221128,0.003683881898977762,0.023169,0.023319,0.023533,1000,0.029137,0.073292,0.030823952,0.004034289436529808,0.02978475,0.029985,0.0302515,1000,0.449793,2.297581,0.513988362,0.1367659956771308,0.471245,0.497659,0.5191185,1000,0.099223,0.238258,0.124377535,0.01793961527956425,0.11213125,0.121456,0.13068375,1000,0.025775,0.078615,0.027594135,0.003971010807184362,0.026435,0.0267215,0.02710225,1000,0.044101,0.148888,0.04841364,0.008435903015943224,0.04513925,0.0458305,0.04764425,1000,0.009322,0.090608,0.028931201,0.011199696264211767,0.01991075,0.0290595,0.03469025,1000,0.016873,0.059442,0.018700492,0.0035066246226158853,0.017326,0.0175515,0.018168,1000,0.0,1.2,0.48,0.5878775382679627,0.0,0.0,1.2,5
FrictionContact_LCP_with_friction,0.04045,1.478896,0.083525474,0.09847542893815352,0.075129,0.075952,0.077294,1000,0.040979,0.109754,0.053437873,0.008466054046299906,0.05153375,0.0519655,0.0525815,1000,0.002957,0.020955,0.004166124,0.0013576275205755075,0.004039,0.00411,0.00417425,1000,0.005817,0.024547,0.007708446,0.001720816634358234,0.007499,0.0075875,0.00767525,1000,0.000877,0.021081,0.001129279,0.0008688225659816855,0.00099575,0.001026,0.00106,1000,0.000877,0.021081,0.001129279,0.0008688225659816855,0.00099575,0.001026,0.00106,1000,0.007168,0.040489,0.010519212,0.002481755091675244,0.01030475,0.010419,0.010552,1000,0.011903,0.041976,0.014918573000000001,0.0024943833748385593,0.014608,0.014735,0.014859,1000,0.145421,1.719009,0.24546970199999998,0.10881489663827833,0.23576175,0.2385805,0.24384825,1000,0.012418,0.129944,0.037959377999999995,0.011090088601499808,0.03816525,0.038682,0.03996475,1000,0.002025,0.016202,0.0031176199999999998,0.0010917161515705445,0.00294275,0.00302,0.003101,1000,0.007126,0.062513,0.016456373,0.004948045525848667,0.016169,0.016375,0.0165775,1000,0.001618,0.087124,0.016210548,0.006723264967684674,0.017191,0.0174,0.017545,1000,0.00096,0.022925,0.001473333,0.0011868682235661211,0.001308,0.0013625,0.001411,1000,0.0,1.2,0.48,0.5878775382679627,0.0,0.0,1.2,5
FrictionContact_LCP_without_friction,0.036525,1.436245,0.09770788899999999,0.09498486347898112,0.075782,0.1037135,0.1051535,1000,0.040922,0.228955,0.053351549,0.010054420750177456,0.0513795,0.051832,0.0524925,1000,0.002915,0.018263,0.004156703,0.0011036177512123478,0.004031,0.004117,0.00419525,1000,0.005833,0.162686,0.007890966000000001,0.005264825785232023,0.007472,0.0075815,0.007684,1000,0.000829,0.011345,0.0011178289999999999,0.0006986014341232059,0.00098175,0.0010155,0.001057,1000,0.000829,0.011345,0.0011178289999999999,0.0006986014341232059,0.00098175,0.0010155,0.001057,1000,0.007154,0.055916,0.010614143,0.00269407604802667,0.010342,0.010462,0.01060025,1000,0.0118,0.044394,0.01494487,0.0028231996768029004,0.01453175,0.014681,0.01482625,1000,0.14595,1.684477,0.25020142900000003,0.10558294666911396,0.22412975,0.2562745,0.26013325,1000,0.012374,0.099246,0.028152362,0.007265060985632262,0.02542375,0.0293495,0.03011425,1000,0.002059,0.020389,0.003096555,0.0008460179554684403,0.00298,0.003054,0.003138,1000,0.007116,0.074515,0.015359290999999999,0.004452737439634073,0.01466575,0.015361,0.0156975,1000,0.001642,0.029824,0.0075994899999999995,0.0031430898593422366,0.0058945,0.0090095,0.00942,1000,0.000897,0.013196,0.0014039929999999999,0.0007570029385352477,0.001257,0.001327,0.001388,1000,0.0,1.2,0.24,0.48,0.0,0.0,0.0,5
FixedProjectiveConstraint,0.008783,0.149124,0.010802794,0.009901299174328792,0.009255,0.009446,0.009844,1000,1.102532,1.369734,1.149110767,0.04403617175973305,1.11818025,1.134511,1.17623225,1000,0.067196,0.141913,0.069788952,0.006404328334626201,0.067571,0.067863,0.0700485,1000,0.037629,0.080836,0.039785065,0.004785368353301029,0.03803375,0.038272,0.04088225,1000,0.000704,0.017038,0.00102852,0.0008450953908287514,0.000832,0.000878,0.00094,1000,0.988781,1.185612,1.030618424,0.03980950010100886,1.002475,1.0190905,1.048805,1000,0.012592,0.045496,0.013915217,0.0029569386537280406,0.012762,0.0128545,0.0132515,1000,0.013499,0.043717,0.014471431,0.002535810629609199,0.01384775,0.0140555,0.014263,1000,1.151174,1.52646,1.202832909,0.04930998535133344,1.1694985,1.186795,1.22790925,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1.2,0.48,0.5878775382679627,0.0,0.0,1.2,5
FEMBAR_EigenSimplicialLDLT,0.000275,0.000917,0.000341936,5.567223638403617e-05,0.000315,0.000331,0.000352,1000,2.501527,5.163448,2.581933199,0.19747207220018076,2.52746475,2.5529275,2.587369,1000,0.052012,0.093088,0.054426451,0.004181350689860754,0.0523425,0.052825,0.0565715,1000,0.04409,0.083554,0.045943959,0.0039795147881769456,0.044415,0.044593,0.04720875,1000,0.692611,2.221646,0.720626114,0.10104452321064711,0.69936675,0.707269,0.723071,1000,1.701672,2.784217,1.753226169,0.11152175783370007,1.71224825,1.734035,1.7599345,1000,0.001172,0.011796,0.0013699600000000001,0.0003679633981797646,0.001299,0.001336,0.001381,1000,0.005955,0.024925,0.006563353,0.00111130412956625,0.00632175,0.0064395,0.00658025,1000,2.517517,5.212848,2.5998841379999997,0.19953092568794684,2.545024,2.5711525,2.6043735,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
FEMBAR_EigenSimplicialLLT,0.00029,0.000807,0.000357795,5.099283258458976e-05,0.000328,0.000347,0.000376,1000,2.629191,5.149937,2.705923493,0.19126996037226535,2.64817725,2.6820895,2.71020875,1000,0.050901,0.105125,0.053703642,0.005075180151466153,0.05243,0.052751,0.053095,1000,0.042677,0.086742,0.045502855,0.004942204849454846,0.044323,0.0445995,0.0449545,1000,0.690747,2.028659,0.717317415,0.09074312672694707,0.697546,0.7020715,0.72364375,1000,1.825972,2.97714,1.8819952350000002,0.11530447736696861,1.83841025,1.862368,1.88692925,1000,0.001184,0.018777,0.001379214,0.0007756283815101145,0.00127375,0.0013045,0.001349,1000,0.005977,0.025641,0.006644365,0.0014103148066212027,0.00629675,0.0064415,0.00661025,1000,2.645894,5.223628,2.724120042,0.19367468731700133,2.6660165,2.700262,2.72903075,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1.2,0.48,0.5878775382679627,0.0,0.0,1.2,5
FEMBAR_EigenSparseLU,0.00033,0.001132,0.00042575400000000003,7.218982950527034e-05,0.00038,0.000402,0.00045625,1000,3.350892,6.030035,3.454326878,0.20558791601987483,3.39157625,3.426741,3.4655175,1000,0.052432,0.107956,0.056332777,0.00553151832278182,0.05414675,0.054835,0.057248,1000,0.04428,0.077302,0.046217583,0.0036845817967730067,0.04510975,0.0454965,0.04585125,1000,0.696566,1.99103,0.725034378,0.09102106016090515,0.70372,0.7112345,0.730215,1000,2.540132,3.914693,2.617330006,0.1264621733241445,2.568329,2.596812,2.629539,1000,0.001364,0.011823,0.001771701,0.0005154902575209351,0.001575,0.0017095,0.001885,1000,0.006587,0.026972,0.007894381,0.0017827467430454051,0.0072555,0.007616,0.0080405,1000,3.370691,6.082279,3.476102497,0.20787313781765068,3.412806,3.4484475,3.4866535,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
