SceneName,CollisionDetection_min,CollisionDetection_max,CollisionDetection_mean,CollisionDetection_std,CollisionDetection_quartile1,CollisionDetection_quartile2,CollisionDetection_quartile3,CollisionDetection_cardinality,ODESolve_min,ODESolve_max,ODESolve_mean,ODESolve_std,ODESolve_quartile1,ODESolve_quartile2,ODESolve_quartile3,ODESolve_cardinality,ComputeForce_min,ComputeForce_max,ComputeForce_mean,ComputeForce_std,ComputeForce_quartile1,ComputeForce_quartile2,ComputeForce_quartile3,ComputeForce_cardinality,ComputeRHTerm_min,ComputeRHTerm_max,ComputeRHTerm_mean,ComputeRHTerm_std,ComputeRHTerm_quartile1,ComputeRHTerm_quartile2,ComputeRHTerm_quartile3,ComputeRHTerm_cardinality,setSystemMBKMatrix_min,setSystemMBKMatrix_max,setSystemMBKMatrix_mean,setSystemMBKMatrix_std,setSystemMBKMatrix_quartile1,setSystemMBKMatrix_quartile2,setSystemMBKMatrix_quartile3,setSystemMBKMatrix_cardinality,MBKSolve_min,MBKSolve_max,MBKSolve_mean,MBKSolve_std,MBKSolve_quartile1,MBKSolve_quartile2,MBKSolve_quartile3,MBKSolve_cardinality,ProjectAndMechaMap_min,ProjectAndMechaMap_max,ProjectAndMechaMap_mean,ProjectAndMechaMap_std,ProjectAndMechaMap_quartile1,ProjectAndMechaMap_quartile2,ProjectAndMechaMap_quartile3,ProjectAndMechaMap_cardinality,UpdateBBox_min,UpdateBBox_max,UpdateBBox_mean,UpdateBBox_std,UpdateBBox_quartile1,UpdateBBox_quartile2,UpdateBBox_quartile3,UpdateBBox_cardinality,TimeStep_min,TimeStep_max,TimeStep_mean,TimeStep_std,TimeStep_quartile1,TimeStep_quartile2,TimeStep_quartile3,TimeStep_cardinality,SolveConstraint_min,SolveConstraint_max,SolveConstraint_mean,SolveConstraint_std,SolveConstraint_quartile1,SolveConstraint_quartile2,SolveConstraint_quartile3,SolveConstraint_cardinality,PrepareState_min,PrepareState_max,PrepareState_mean,PrepareState_std,PrepareState_quartile1,PrepareState_quartile2,PrepareState_quartile3,PrepareState_cardinality,BuildSystem_min,BuildSystem_max,BuildSystem_mean,BuildSystem_std,BuildSystem_quartile1,BuildSystem_quartile2,BuildSystem_quartile3,BuildSystem_cardinality,SolveSystem_min,SolveSystem_max,SolveSystem_mean,SolveSystem_std,SolveSystem_quartile1,SolveSystem_quartile2,SolveSystem_quartile3,SolveSystem_cardinality,ApplyCorrection_min,ApplyCorrection_max,ApplyCorrection_mean,ApplyCorrection_std,ApplyCorrection_quartile1,ApplyCorrection_quartile2,ApplyCorrection_quartile3,ApplyCorrection_cardinality,CPUUsage_min,CPUUsage_max,CPUUsage_mean,CPUUsage_std,CPUUsage_quartile1,CPUUsage_quartile2,CPUUsage_quartile3,CPUUsage_cardinality
fallingBeamLagrangianCollision,0.328286,0.484632,0.3499420039215686,0.019042445980533944,0.339433,0.345358,0.354508,255,11.934049,15.722765,12.394819956862746,0.35146398962589476,12.2403255,12.431365,12.4901855,255,0.281006,0.438101,0.2926044274509804,0.018514097354624164,0.2844655,0.286634,0.294128,255,0.135497,0.235638,0.14295613725490197,0.012788594999589049,0.138282,0.139484,0.142242,255,3.927645,4.926824,4.041090745098039,0.09848101462830945,4.0072995,4.027404,4.0642485,255,3.927645,4.926824,4.041090745098039,0.09848101462830945,4.0072995,4.027404,4.0642485,255,0.022391,0.043311,0.02460745882352941,0.00270865217138698,0.0236105,0.0241,0.024619,255,0.054619,0.097548,0.057685015686274516,0.004642625926972057,0.0562465,0.05685,0.0572915,255,40.146013,64.537052,47.585110992156864,2.617236907318826,47.7056175,48.014211,48.18268,255,27.180714,51.608054,34.65604843529412,2.464252182158285,35.0520895,35.145568,35.2234685,255,0.020446,0.044171,0.022244839215686277,0.0026881995566738243,0.021315,0.021634,0.0221085,255,21.812723,30.408645,22.07291011764706,1.001005075222664,21.891837,21.926867,21.9686825,255,4.883497,26.749496,12.156635937254903,2.0280643023533096,12.7453655,12.799243,12.847618,255,0.379159,0.633015,0.4019787882352941,0.028442964357696523,0.3895735,0.396957,0.405643,255,0.0,1.2,0.48,0.5878775382679627,0.0,0.0,1.2,5
SofaScene,12.248356,62.542759,13.579271355555555,1.604125974567716,13.2222965,13.441567,13.572797,1755,11.906356,59.243925,13.230236623931624,1.5465919776923385,12.8839275,13.096499,13.215514,1755,0.008029,1.996444,0.25579565061728393,0.2292250741697894,0.050982,0.268071,0.40854,10530,0.00916,0.796682,0.1089319868945869,0.08828425848725073,0.02348625,0.114454,0.18432175,10530,0.10275,31.860974,1.931319521557455,1.9984255973425546,0.1752385,1.2328735,2.773826,10530,0.10275,31.860974,1.931319521557455,1.9984255973425546,0.1752385,1.2328735,2.773826,10530,0.091713,0.396764,0.11715311054131054,0.017177443141120075,0.109683,0.116532,0.1197475,1755,0.138419,0.571917,0.15610806780626782,0.018003402649817916,0.1480485,0.151928,0.1545315,1755,24.18725,78.916406,29.43842444216524,3.0890695854888635,27.609036,29.229678,31.0583755,1755,10.373907,29.590438,15.22331510940171,2.4745999004451016,13.490826,15.037586,16.9171995,1755,0.074187,0.328544,0.0890971037037037,0.013693815084634067,0.0821425,0.085492,0.090172,1755,9.524408,28.656603,14.365065664387464,2.388472485326,12.6860195,14.177952,16.0328735,1755,0.103209,0.67654,0.27628255669515667,0.1059601010926264,0.2134815,0.253559,0.3064515,1755,0.413817,1.081563,0.4907440438746439,0.033160200865894204,0.4704525,0.488704,0.509581,1755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
BilateralLagrangianConstraint_NNCG,0.033454,1.671698,0.095956261,0.11914456307499255,0.04360475,0.0821285,0.11364225,1000,0.279857,0.449711,0.31288806,0.029296889617234114,0.29235425,0.299561,0.33338875,1000,0.001187,0.016429,0.00187631325,0.000834077653833525,0.001449,0.001619,0.002224,4000,0.002824,0.01714,0.00391672925,0.000999646762833971,0.003294,0.003538,0.004473,4000,0.023398,0.070429,0.026181212500000002,0.003483042177873209,0.02409575,0.024633,0.026507,4000,0.023398,0.070429,0.026181212500000002,0.003483042177873209,0.02409575,0.024633,0.026507,4000,0.020126,0.045754,0.02285618,0.0034375578854180773,0.0206245,0.0209355,0.02469925,1000,0.0272,0.060588,0.029381307000000002,0.0023946425242091984,0.0278185,0.02822,0.030746,1000,0.578493,2.504137,0.6980451409999999,0.1588283130404309,0.6063485,0.6506445,0.7652775,1000,0.0916,0.19884,0.106852762,0.016595927468790527,0.095243,0.0990795,0.11698575,1000,0.025658,0.060633,0.03022309,0.0048842051781124015,0.0268865,0.0280565,0.03264475,1000,0.041636,0.111692,0.048690902,0.008768273998706699,0.04277475,0.0444275,0.05330525,1000,0.006211,0.03744,0.007707965,0.002078990589631179,0.00647375,0.006706,0.008258,1000,0.016719,0.054706,0.019636606,0.003347148585402805,0.01742675,0.0181345,0.021202,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
BilateralLagrangianConstraint_PGS,0.031709,1.720321,0.09599234200000001,0.12194944623142426,0.0439375,0.0828745,0.11305975,1000,0.284485,0.463833,0.312925827,0.026013847746019256,0.29286125,0.2995655,0.33474525,1000,0.001219,0.020409,0.00191407275,0.000953222278095428,0.001465,0.001649,0.002271,4000,0.002899,0.015349,0.0038881610000000002,0.000929216641090225,0.003273,0.0034935,0.004462,4000,0.023493,0.066207,0.026247765,0.003418208643833053,0.024206,0.024698,0.0265995,4000,0.023493,0.066207,0.026247765,0.003418208643833053,0.024206,0.024698,0.0265995,4000,0.020106,0.044601,0.022670087,0.0029943775479105835,0.02062375,0.0209,0.02454775,1000,0.027379,0.075117,0.029819077000000003,0.0032926541894148253,0.028048,0.0284425,0.03125675,1000,0.58546,2.58793,0.6983687340000001,0.1591071337446918,0.60877,0.654011,0.76669675,1000,0.092008,0.211245,0.10671319,0.016015572282872065,0.095132,0.0987305,0.117152,1000,0.025799,0.059528,0.030047848000000002,0.00460435707964706,0.0270275,0.027842,0.032576,1000,0.041749,0.11756,0.048915874000000005,0.009054639532312924,0.04283575,0.044087,0.05391075,1000,0.00607,0.02647,0.007567114,0.0018657050868248176,0.00633775,0.0068965,0.00814475,1000,0.01684,0.065316,0.019587688,0.0031989480975245597,0.0175115,0.018003,0.0212395,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
BilateralLagrangianConstraint_UGS,0.033761,1.668518,0.067187261,0.11656499660660948,0.042255,0.0543635,0.06739775,1000,0.281925,0.449307,0.29889027500000004,0.018979271583055422,0.2892485,0.2933475,0.29859225,1000,0.001183,0.015739,0.0017608074999999998,0.0008138160621072492,0.00141,0.001508,0.002164,4000,0.002942,0.020714,0.0037094817499999998,0.0010269376719971555,0.0032,0.003344,0.00433,4000,0.023161,0.064239,0.025088262,0.0031258036808724885,0.023805,0.024097,0.025523,4000,0.023161,0.064239,0.025088262,0.0031258036808724885,0.023805,0.024097,0.025523,4000,0.020032,0.056585,0.021489365000000003,0.0029240192933315265,0.020649,0.0208515,0.021081,1000,0.027044,0.061189,0.028674810000000002,0.00313794872295581,0.02775575,0.0279405,0.028133,1000,0.596157,2.534855,0.66803736,0.1421432423107212,0.6213535,0.6495565,0.675498,1000,0.103428,0.270091,0.128332855,0.017452092780694668,0.11664575,0.1262805,0.1332515,1000,0.025908,0.059706,0.028464476,0.0033797141650476893,0.027053,0.027455,0.028614,1000,0.046898,0.11214,0.050620568,0.007112502665544386,0.04813675,0.0487435,0.049741,1000,0.009233,0.083156,0.029512651,0.010605429504418904,0.0207945,0.030582,0.03553575,1000,0.017175,0.050267,0.019136858,0.00342103735931603,0.01784275,0.018059,0.018419,1000,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
FrictionContact_LCP_with_friction,0.037292,1.490823,0.080894857,0.09858069595791334,0.073521,0.0745885,0.07728,1000,0.088307,0.183236,0.112487349,0.010237473443540599,0.11149,0.1128785,0.11416875,1000,0.002062,0.015007,0.003068302,0.0010910585661622386,0.0028915,0.002976,0.00304,1000,0.004453,0.016902,0.0059143469999999995,0.0010799703637558763,0.005773,0.005853,0.005953,1000,0.029294,0.064288,0.037392233999999996,0.0034990128012403724,0.0372785,0.0375455,0.0380015,1000,0.029294,0.064288,0.037392233999999996,0.0034990128012403724,0.0372785,0.0375455,0.0380015,1000,0.006284,0.036434,0.009637998,0.0017770754829201825,0.009584,0.009737,0.0098995,1000,0.010714,0.03984,0.012984048000000002,0.0017250615222930458,0.012767,0.012896,0.013,1000,0.191217,1.800054,0.30358684399999997,0.10914435940337762,0.2989375,0.302083,0.3062725,1000,0.012808,0.099952,0.039284743999999996,0.010211236988948203,0.04039475,0.0409125,0.0415045,1000,0.002188,0.020567,0.003230442,0.0008086861187358169,0.00307175,0.0031615,0.00329,1000,0.007098,0.049441,0.01731771,0.004266612825169399,0.01740375,0.017549,0.0177235,1000,0.001877,0.071045,0.016693962,0.006286536658014172,0.0179375,0.0182315,0.01836625,1000,0.001011,0.011022,0.001521336,0.0007283226916031107,0.001355,0.00141,0.001463,1000,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
FrictionContact_LCP_without_friction,0.036585,1.547139,0.09668136100000001,0.0970945012921673,0.07520025,0.103278,0.105554,1000,0.087886,0.202389,0.11228035400000001,0.011133941447604438,0.111,0.112,0.11363425,1000,0.002164,0.020441,0.003096445,0.0012341648297431748,0.002921,0.0029745,0.003035,1000,0.004515,0.023263,0.0059251930000000005,0.0012381321099749413,0.00576775,0.005854,0.00592925,1000,0.029145,0.09454,0.037214962,0.00396051794574346,0.0369015,0.0372315,0.0377375,1000,0.029145,0.09454,0.037214962,0.00396051794574346,0.0369015,0.0372315,0.0377375,1000,0.006293,0.03117,0.009480164000000001,0.0014267079859256412,0.00949,0.009627,0.00978225,1000,0.010803,0.039223,0.013007742000000001,0.0019778442045408936,0.012786,0.012891,0.013006,1000,0.191568,1.849212,0.308628228,0.10855656841758593,0.28680875,0.318976,0.32415075,1000,0.012965,0.06363,0.029166989,0.006448512101940959,0.02717075,0.031328,0.03190175,1000,0.002137,0.008674,0.003179405,0.000617302757951882,0.00302725,0.003102,0.00324825,1000,0.006989,0.040659,0.015974866,0.003711839234401727,0.01564725,0.016447,0.01668725,1000,0.001877,0.016653,0.008028430999999999,0.002758309896157247,0.0064855,0.0098405,0.01006625,1000,0.001006,0.006951,0.00147799,0.0005860167232255407,0.001315,0.001395,0.00145,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
FixedProjectiveConstraint,0.006471,0.135251,0.008189368,0.00885281695103745,0.006779,0.006969,0.00729225,1000,1.129446,1.378678,1.183048179,0.05295824154930901,1.13719475,1.152737,1.21141425,1000,0.066072,0.110806,0.067876508,0.004006176851305494,0.066497,0.066734,0.06881125,1000,0.03649,0.076001,0.03837785,0.003444230701550057,0.03717975,0.0374895,0.03796475,1000,0.022235,0.045954,0.023318862000000003,0.0017910496193450363,0.02272575,0.022948,0.023151,1000,0.980088,1.190097,1.029861042,0.05105456128694317,0.9857755,0.9948925,1.051305,1000,0.00268,0.012846,0.003150736,0.0008479802027783432,0.002878,0.002986,0.00309925,1000,0.01134,0.029708,0.011860888,0.0010967661544084956,0.01159275,0.011693,0.01179725,1000,1.164604,1.568561,1.2220462509999999,0.05571862370570543,1.17553075,1.192602,1.25056525,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
FEMBAR_EigenSimplicialLDLT,0.00027,0.000971,0.00033320699999999997,5.6610919008615296e-05,0.000309,0.00032,0.000336,1000,2.589434,4.998684,2.636145426,0.18334690415119237,2.596277,2.601846,2.631284,1000,0.051722,0.090808,0.053800983999999996,0.002867069305361138,0.05272275,0.0532615,0.05402725,1000,0.043933,0.08504,0.045797951999999996,0.0029554878838689218,0.0447075,0.0451705,0.04612375,1000,0.699071,2.055637,0.717589929,0.09365019627204184,0.70468975,0.7065775,0.70925325,1000,1.762567,2.806587,1.795127855,0.10388442411397378,1.767851,1.7710505,1.7905275,1000,0.001142,0.003574,0.001339128,0.00015111399543391076,0.001264,0.001306,0.00138125,1000,0.012604,0.023445,0.013254424999999998,0.0006473338924967547,0.01298775,0.013146,0.013348,1000,2.613643,5.059082,2.6624125920000004,0.1857282654807058,2.62212775,2.6282295,2.65702025,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1.2,0.48,0.5878775382679627,0.0,0.0,1.2,5
FEMBAR_EigenSimplicialLLT,0.000283,0.012438,0.000359406,0.0003852894952681684,0.000321,0.000339,0.000361,1000,2.615313,4.890894,2.6744791830000003,0.1775072236297146,2.6239995,2.6417995,2.670211,1000,0.051706,0.137159,0.053363172,0.004459874611288528,0.05218875,0.052546,0.05285925,1000,0.04386,0.080377,0.045122562,0.002898903826303315,0.04436475,0.0445115,0.0447095,1000,0.69979,1.933884,0.719840725,0.08377399020977438,0.70505575,0.706692,0.716721,1000,1.791036,2.830657,1.831954104,0.10588493815072654,1.797119,1.8030305,1.83333,1000,0.001216,0.022172,0.00146712,0.0008581632837636438,0.00134,0.001391,0.00145125,1000,0.012668,0.03157,0.013445189,0.0011987169337583413,0.013102,0.0132475,0.013434,1000,2.641055,4.946944,2.701200391,0.1798398968953778,2.650318,2.6680365,2.6969555,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1.2,0.72,0.5878775382679627,0.0,1.2,1.2,5
