SceneName,CollisionDetection_min,CollisionDetection_max,CollisionDetection_mean,CollisionDetection_std,CollisionDetection_quartile1,CollisionDetection_quartile2,CollisionDetection_quartile3,CollisionDetection_cardinality,ODESolve_min,ODESolve_max,ODESolve_mean,ODESolve_std,ODESolve_quartile1,ODESolve_quartile2,ODESolve_quartile3,ODESolve_cardinality,ComputeForce_min,ComputeForce_max,ComputeForce_mean,ComputeForce_std,ComputeForce_quartile1,ComputeForce_quartile2,ComputeForce_quartile3,ComputeForce_cardinality,ComputeRHTerm_min,ComputeRHTerm_max,ComputeRHTerm_mean,ComputeRHTerm_std,ComputeRHTerm_quartile1,ComputeRHTerm_quartile2,ComputeRHTerm_quartile3,ComputeRHTerm_cardinality,setSystemMBKMatrix_min,setSystemMBKMatrix_max,setSystemMBKMatrix_mean,setSystemMBKMatrix_std,setSystemMBKMatrix_quartile1,setSystemMBKMatrix_quartile2,setSystemMBKMatrix_quartile3,setSystemMBKMatrix_cardinality,MBKSolve_min,MBKSolve_max,MBKSolve_mean,MBKSolve_std,MBKSolve_quartile1,MBKSolve_quartile2,MBKSolve_quartile3,MBKSolve_cardinality,ProjectAndMechaMap_min,ProjectAndMechaMap_max,ProjectAndMechaMap_mean,ProjectAndMechaMap_std,ProjectAndMechaMap_quartile1,ProjectAndMechaMap_quartile2,ProjectAndMechaMap_quartile3,ProjectAndMechaMap_cardinality,UpdateBBox_min,UpdateBBox_max,UpdateBBox_mean,UpdateBBox_std,UpdateBBox_quartile1,UpdateBBox_quartile2,UpdateBBox_quartile3,UpdateBBox_cardinality,TimeStep_min,TimeStep_max,TimeStep_mean,TimeStep_std,TimeStep_quartile1,TimeStep_quartile2,TimeStep_quartile3,TimeStep_cardinality,SolveConstraint_min,SolveConstraint_max,SolveConstraint_mean,SolveConstraint_std,SolveConstraint_quartile1,SolveConstraint_quartile2,SolveConstraint_quartile3,SolveConstraint_cardinality,PrepareState_min,PrepareState_max,PrepareState_mean,PrepareState_std,PrepareState_quartile1,PrepareState_quartile2,PrepareState_quartile3,PrepareState_cardinality,BuildSystem_min,BuildSystem_max,BuildSystem_mean,BuildSystem_std,BuildSystem_quartile1,BuildSystem_quartile2,BuildSystem_quartile3,BuildSystem_cardinality,SolveSystem_min,SolveSystem_max,SolveSystem_mean,SolveSystem_std,SolveSystem_quartile1,SolveSystem_quartile2,SolveSystem_quartile3,SolveSystem_cardinality,ApplyCorrection_min,ApplyCorrection_max,ApplyCorrection_mean,ApplyCorrection_std,ApplyCorrection_quartile1,ApplyCorrection_quartile2,ApplyCorrection_quartile3,ApplyCorrection_cardinality,CPUUsage_min,CPUUsage_max,CPUUsage_mean,CPUUsage_std,CPUUsage_quartile1,CPUUsage_quartile2,CPUUsage_quartile3,CPUUsage_cardinality
fallingBeamLagrangianCollision,0.333923,0.419364,0.35520993333333334,0.014374894031713992,0.34624,0.350134,0.3585865,255,11.471441,13.122632,11.985186901960784,0.26255655635663167,11.870752,12.007983,12.1159225,255,0.283393,0.380369,0.2989884745098039,0.015922637259092615,0.287827,0.294599,0.304312,255,0.136096,0.212946,0.148519631372549,0.01635064147993253,0.138473,0.139743,0.150763,255,3.580016,4.371826,3.6776120666666667,0.06955555781675161,3.635944,3.671595,3.7085915,255,3.580016,4.371826,3.6776120666666667,0.06955555781675161,3.635944,3.671595,3.7085915,255,0.02266,0.036375,0.024510254901960783,0.0017475647643544502,0.0234005,0.023786,0.0245235,255,0.051918,0.088276,0.055742207843137256,0.0037231976147351965,0.054125,0.054885,0.056552,255,39.715984,54.349692,47.92651130196078,2.528647051286389,47.3032035,47.617124,47.963223,255,27.239108,41.572927,35.40997294117648,2.4857204314277257,35.0405695,35.121876,35.3446425,255,0.020609,0.046882,0.02246707843137255,0.002081046349213301,0.0218255,0.022265,0.022614,255,21.772146,28.286125,22.896349168627452,2.2766802793495446,21.849026,21.8858,21.9589055,255,4.874971,14.678421,12.068730498039216,1.78980636254858,12.6695275,12.768936,12.8339585,255,0.400145,0.513007,0.41972282352941176,0.016788889156757147,0.4098795,0.414745,0.421961,255,0.0,1.2,0.7,0.5727128425310541,0.0,1.1,1.2,5
SofaScene,9.006512,11.88454,9.346754802279202,0.25275036703605297,9.1431565,9.284692,9.500274,1755,8.708198,11.56213,9.035966215954415,0.24678246973568205,8.8413585,8.972391,9.185694,1755,0.004998,0.572078,0.1765054078822412,0.17233621715550682,0.02970675,0.124963,0.28236425,10530,0.006228,0.338243,0.08006870674264008,0.07703258014458339,0.0145075,0.0613145,0.12245075,10530,0.034736,4.048397,1.1634728877492877,1.1977023123399047,0.08807225,0.8880015,1.738253,10530,0.034736,4.048397,1.1634728877492877,1.1977023123399047,0.08807225,0.8880015,1.738253,10530,0.097099,0.207769,0.11347946438746438,0.013042818105212338,0.1037035,0.10846,0.121082,1755,0.131719,0.232615,0.1469529413105413,0.013399552123632136,0.137498,0.142287,0.1506175,1755,23.803455,42.245697,30.815207784045583,3.716192294865664,28.3330445,30.198196,32.5940385,1755,14.208564,32.287073,20.9431450991453,3.6672882528484916,18.540453,20.330679,22.794104,1755,0.072011,0.237784,0.08359579202279202,0.010009404884845466,0.078521,0.081179,0.0856855,1755,13.394325,31.421856,20.10699011908832,3.576464561227468,17.7766975,19.51349,21.94413,1755,0.100713,0.675201,0.25651147236467237,0.10484319722794884,0.1975955,0.229292,0.2863155,1755,0.428104,0.623725,0.49375839202279204,0.029680524785700473,0.472975,0.489466,0.51122,1755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
BilateralLagrangianConstraint_NNCG,0.050769,1.815644,0.108438287,0.12339300194670941,0.05464225,0.092174,0.12542625,1000,0.126224,0.297322,0.14318583799999998,0.018148675728045724,0.12956975,0.1336905,0.15524375,1000,0.001909,0.02046,0.0025956177499999998,0.001104626914227124,0.002046,0.002148,0.00298325,4000,0.003975,0.027309,0.00514159075,0.0017381876599678293,0.004267,0.004403,0.00564,4000,0.000344,0.009908,0.00070798425,0.0006439296953099287,0.000439,0.000485,0.00091125,4000,0.000344,0.009908,0.00070798425,0.0006439296953099287,0.000439,0.000485,0.00091125,4000,0.019924,0.062146,0.023185147,0.004732383485453287,0.02057475,0.0208995,0.02460825,1000,0.027548,0.066966,0.030634865,0.004610761930828244,0.02837575,0.0288435,0.03183825,1000,0.420646,2.443992,0.525464087,0.15296812417140845,0.45291525,0.4880735,0.5784295,1000,0.085604,0.186872,0.100828077,0.016766203276087018,0.0881685,0.092398,0.111079,1000,0.025124,0.073608,0.029451443,0.005782129165346533,0.0261225,0.026753,0.0317065,1000,0.037846,0.094469,0.044779072,0.009064407205372892,0.038682,0.0411395,0.0499095,1000,0.005264,0.028526,0.006516322,0.0020621300730836547,0.005446,0.005578,0.00697625,1000,0.016088,0.05635,0.019493762999999997,0.0045345428189433835,0.016735,0.0175605,0.020821,1000,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
BilateralLagrangianConstraint_PGS,0.036031,1.806796,0.109025427,0.12580782105562704,0.0533975,0.095127,0.1253845,1000,0.126849,0.264504,0.14670598,0.01851166505827069,0.1327435,0.1385225,0.15837725,1000,0.001927,0.020516,0.00264077475,0.0011230154963367323,0.002116,0.002246,0.003026,4000,0.004108,0.036252,0.0053679715,0.0019252298267188129,0.004397,0.004542,0.005824,4000,0.000359,0.019526,0.0007509315,0.000865253562724679,0.000476,0.000531,0.000859,4000,0.000359,0.019526,0.0007509315,0.000865253562724679,0.000476,0.000531,0.000859,4000,0.019909,0.06132,0.023144655,0.004593603697096104,0.02054175,0.020871,0.0247635,1000,0.0277,0.067549,0.030704745999999998,0.004529791670428564,0.02847225,0.0289255,0.03194175,1000,0.421332,2.426064,0.531128815,0.15503178859328423,0.45527075,0.4915755,0.58251175,1000,0.085722,0.198685,0.101400059,0.01670691069460536,0.088615,0.093152,0.11206475,1000,0.024876,0.069481,0.029665716,0.006372688790090412,0.02605175,0.026774,0.03179375,1000,0.037928,0.104883,0.045022184,0.00912997089295163,0.03871975,0.0415105,0.0498505,1000,0.005248,0.026238,0.0067242790000000005,0.0021234790479679804,0.005536,0.0059375,0.007069,1000,0.016188,0.057499,0.019438221000000002,0.004203477787280314,0.01682275,0.017477,0.02090425,1000,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
BilateralLagrangianConstraint_UGS,0.037228,1.771682,0.079923257,0.11850940174287841,0.052615,0.0673765,0.078466,1000,0.127429,0.280048,0.140572071,0.014343042494113967,0.13178225,0.1352415,0.14311625,1000,0.001866,0.020071,0.002496127,0.0011201860936339997,0.002038,0.0021595,0.00293925,4000,0.00402,0.045626,0.00499346025,0.0014342695750520322,0.004289,0.004588,0.00566125,4000,0.00036,0.011124,0.0007343345000000001,0.0007126576671935481,0.000451,0.0004995,0.000964,4000,0.00036,0.011124,0.0007343345000000001,0.0007126576671935481,0.000451,0.0004995,0.000964,4000,0.020149,0.059191,0.022626151,0.0041652865913642725,0.020713,0.0213905,0.02329925,1000,0.027913,0.067588,0.029787599999999997,0.004517788108134334,0.02843375,0.028627,0.02887675,1000,0.437846,2.383953,0.512348738,0.1412269317458726,0.4739275,0.4920085,0.51676475,1000,0.097743,0.240328,0.12330024,0.018090333449066107,0.11115925,0.120278,0.128252,1000,0.025329,0.067475,0.027898751,0.004958164014330204,0.02614975,0.026481,0.02744875,1000,0.0426,0.128961,0.047620216,0.008882601118779566,0.04383775,0.0445125,0.0472545,1000,0.008784,0.085613,0.028219196,0.010247463173272886,0.01952175,0.0292515,0.0338015,1000,0.016494,0.093387,0.018977964,0.004911656448765935,0.0171435,0.017531,0.0183,1000,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
FrictionContact_LCP_with_friction,0.040618,1.524346,0.084380105,0.09732073416368157,0.075606,0.076481,0.07871775,1000,0.041148,0.137829,0.053766456,0.008173215114755269,0.05187775,0.0522525,0.05307275,1000,0.00288,0.0216,0.004216537,0.0015871107846117736,0.0040175,0.004106,0.004179,1000,0.005754,0.026062,0.007703593,0.0016880827673283678,0.007493,0.007587,0.00769325,1000,0.000708,0.010168,0.0010660350000000001,0.0005579954657297852,0.000974,0.001008,0.001043,1000,0.000708,0.010168,0.0010660350000000001,0.0005579954657297852,0.000974,0.001008,0.001043,1000,0.006114,0.040768,0.009708338,0.0028554430363353428,0.009332,0.009465,0.00961925,1000,0.011197,0.045055,0.014485626,0.003405009175042558,0.0138925,0.014035,0.014189,1000,0.14363,1.785562,0.245386672,0.1073873748886079,0.234646,0.2374585,0.2528535,1000,0.011924,0.107108,0.037957557999999995,0.011083299757862547,0.03802575,0.0384585,0.04080175,1000,0.002043,0.013974,0.003150293,0.001026325564892057,0.003022,0.0030865,0.00315825,1000,0.006767,0.052897,0.01622277,0.004595631007282896,0.015936,0.016077,0.0162745,1000,0.001516,0.080332,0.016338877,0.007127680830247031,0.0171535,0.0174105,0.01756725,1000,0.000989,0.016302,0.001463722,0.0010631384061898996,0.001305,0.001337,0.001368,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
FrictionContact_LCP_without_friction,0.04062,1.515287,0.099332698,0.09774315646677671,0.07617375,0.103419,0.10555725,1000,0.040325,0.158504,0.0549092,0.01033482236199539,0.05121625,0.0517675,0.0579005,1000,0.002907,0.022361,0.00425775,0.0015564582440592487,0.00405775,0.004136,0.004243,1000,0.005732,0.028701,0.00781228,0.0019481230755781318,0.00738975,0.007482,0.00766525,1000,0.000717,0.015918,0.001067928,0.000744568918781868,0.000959,0.000995,0.00103,1000,0.000717,0.015918,0.001067928,0.000744568918781868,0.000959,0.000995,0.00103,1000,0.006072,0.035843,0.009726394000000001,0.002460856461633632,0.00925175,0.009444,0.0098985,1000,0.011175,0.043866,0.014105646000000001,0.0024693493225309377,0.01371,0.0138545,0.01398925,1000,0.142553,1.743699,0.25166226999999997,0.10827086543472855,0.2230425,0.253965,0.2652755,1000,0.012045,0.10996,0.028286451,0.007439714591272907,0.0252105,0.0292085,0.03083425,1000,0.002001,0.017999,0.00309231,0.0009921773994100048,0.00294275,0.0030365,0.003144,1000,0.006755,0.095789,0.015313352999999998,0.004611133076629972,0.01435875,0.01513,0.01611325,1000,0.001604,0.033396,0.0077312579999999995,0.003331556339225858,0.00596575,0.00915,0.0095075,1000,0.000996,0.007358,0.0013622349999999998,0.0004961686908451601,0.00123675,0.001297,0.001349,1000,0.0,1.2,0.48,0.5878775382679627,0.0,0.0,1.2,5
FixedProjectiveConstraint,0.008479,0.14271,0.010359867,0.008662056956018646,0.008916,0.0090935,0.009456,1000,1.096538,1.280698,1.1282363640000002,0.02637895436520379,1.107865,1.122869,1.13556725,1000,0.067075,0.131204,0.069236728,0.006419886456629588,0.0674725,0.067608,0.06788025,1000,0.036978,0.07285,0.038618226000000005,0.003994354313142988,0.037325,0.0375745,0.0383965,1000,0.000631,0.010288,0.000924311,0.0006459308324263519,0.00075,0.00081,0.000874,1000,0.982589,1.133497,1.01162803,0.023317990436294032,0.993224,1.00715,1.0196465,1000,0.002725,0.015956,0.00303462,0.00089285250383252,0.00288575,0.002937,0.00299725,1000,0.008398,0.025401,0.009017839,0.0012763844534774778,0.008688,0.008794,0.0090065,1000,1.129985,1.438424,1.164707679,0.0316841558033658,1.14299575,1.158956,1.17172175,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
FEMBAR_EigenSimplicialLDLT,0.00028,0.000885,0.000332603,4.94335654287651e-05,0.000309,0.000321,0.000339,1000,2.504842,5.143222,2.5934032549999997,0.19974533003024622,2.539229,2.572739,2.594781,1000,0.050995,0.096333,0.054008793,0.005179879150921477,0.05192025,0.0528575,0.05340325,1000,0.042675,0.090801,0.045867685,0.004758770074060629,0.04432425,0.044727,0.04613925,1000,0.688318,2.194905,0.719907951,0.10093227229027692,0.69523775,0.709776,0.72573375,1000,1.710504,2.84637,1.765814359,0.11530171136609428,1.722529,1.7476365,1.76916375,1000,0.001188,0.013803,0.001404128,0.00043407033947967473,0.001298,0.001363,0.00145,1000,0.006006,0.024513,0.006755286,0.00143929417153131,0.006362,0.0065455,0.00678525,1000,2.520761,5.193668,2.611735234,0.20229213456960518,2.5569935,2.5911465,2.61391225,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1.2,0.48,0.5878775382679627,0.0,0.0,1.2,5
FEMBAR_EigenSimplicialLLT,0.000282,0.000832,0.000336813,4.622453927298789e-05,0.000314,0.00033,0.000348,1000,2.610161,5.112211,2.702653599,0.19191178881454937,2.659028,2.678345,2.697855,1000,0.052029,0.10234,0.054401052000000005,0.006382359308539124,0.05241575,0.0526785,0.05306525,1000,0.043809,0.084286,0.045824336,0.0053496179801088605,0.044284,0.044497,0.0449845,1000,0.689601,2.003923,0.718094478,0.09084138153315104,0.69600025,0.7111115,0.72546975,1000,1.814401,2.927943,1.8767467199999999,0.11632749746830971,1.84150275,1.8585235,1.879056,1000,0.001198,0.013346,0.001386125,0.0006022463842772325,0.00129,0.001329,0.00138525,1000,0.005929,0.028751,0.0067208599999999995,0.0014625988261994468,0.006318,0.0065185,0.0067435,1000,2.628064,5.160972,2.721398551,0.1949776668821519,2.67745475,2.6962915,2.71704575,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1.2,0.72,0.5878775382679627,0.0,1.2,1.2,5
