SceneName,CollisionDetection_min,CollisionDetection_max,CollisionDetection_mean,CollisionDetection_std,CollisionDetection_quartile1,CollisionDetection_quartile2,CollisionDetection_quartile3,CollisionDetection_cardinality,ODESolve_min,ODESolve_max,ODESolve_mean,ODESolve_std,ODESolve_quartile1,ODESolve_quartile2,ODESolve_quartile3,ODESolve_cardinality,ComputeForce_min,ComputeForce_max,ComputeForce_mean,ComputeForce_std,ComputeForce_quartile1,ComputeForce_quartile2,ComputeForce_quartile3,ComputeForce_cardinality,ComputeRHTerm_min,ComputeRHTerm_max,ComputeRHTerm_mean,ComputeRHTerm_std,ComputeRHTerm_quartile1,ComputeRHTerm_quartile2,ComputeRHTerm_quartile3,ComputeRHTerm_cardinality,setSystemMBKMatrix_min,setSystemMBKMatrix_max,setSystemMBKMatrix_mean,setSystemMBKMatrix_std,setSystemMBKMatrix_quartile1,setSystemMBKMatrix_quartile2,setSystemMBKMatrix_quartile3,setSystemMBKMatrix_cardinality,MBKSolve_min,MBKSolve_max,MBKSolve_mean,MBKSolve_std,MBKSolve_quartile1,MBKSolve_quartile2,MBKSolve_quartile3,MBKSolve_cardinality,ProjectAndMechaMap_min,ProjectAndMechaMap_max,ProjectAndMechaMap_mean,ProjectAndMechaMap_std,ProjectAndMechaMap_quartile1,ProjectAndMechaMap_quartile2,ProjectAndMechaMap_quartile3,ProjectAndMechaMap_cardinality,UpdateBBox_min,UpdateBBox_max,UpdateBBox_mean,UpdateBBox_std,UpdateBBox_quartile1,UpdateBBox_quartile2,UpdateBBox_quartile3,UpdateBBox_cardinality,TimeStep_min,TimeStep_max,TimeStep_mean,TimeStep_std,TimeStep_quartile1,TimeStep_quartile2,TimeStep_quartile3,TimeStep_cardinality,SolveConstraint_min,SolveConstraint_max,SolveConstraint_mean,SolveConstraint_std,SolveConstraint_quartile1,SolveConstraint_quartile2,SolveConstraint_quartile3,SolveConstraint_cardinality,PrepareState_min,PrepareState_max,PrepareState_mean,PrepareState_std,PrepareState_quartile1,PrepareState_quartile2,PrepareState_quartile3,PrepareState_cardinality,BuildSystem_min,BuildSystem_max,BuildSystem_mean,BuildSystem_std,BuildSystem_quartile1,BuildSystem_quartile2,BuildSystem_quartile3,BuildSystem_cardinality,SolveSystem_min,SolveSystem_max,SolveSystem_mean,SolveSystem_std,SolveSystem_quartile1,SolveSystem_quartile2,SolveSystem_quartile3,SolveSystem_cardinality,ApplyCorrection_min,ApplyCorrection_max,ApplyCorrection_mean,ApplyCorrection_std,ApplyCorrection_quartile1,ApplyCorrection_quartile2,ApplyCorrection_quartile3,ApplyCorrection_cardinality,CPUUsage_min,CPUUsage_max,CPUUsage_mean,CPUUsage_std,CPUUsage_quartile1,CPUUsage_quartile2,CPUUsage_quartile3,CPUUsage_cardinality
fallingBeamLagrangianCollision,0.332929,0.420345,0.3606750235294118,0.015241595913024231,0.3499015,0.358021,0.364711,255,11.877943,13.72924,12.44987425882353,0.26903962373954754,12.3135945,12.429555,12.6332685,255,0.281119,0.425767,0.29897214117647064,0.019478933166112388,0.284911,0.293008,0.304768,255,0.136897,0.304633,0.15706799215686273,0.02462607989565918,0.1393965,0.140934,0.1761355,255,3.639562,4.597909,3.7576619921568626,0.08772748251493247,3.702452,3.742754,3.8024435,255,3.639562,4.597909,3.7576619921568626,0.08772748251493247,3.702452,3.742754,3.8024435,255,0.022766,0.05299,0.02575063137254902,0.003984951280903272,0.023808,0.024381,0.026924,255,0.047548,0.098637,0.05115562352941176,0.004135971019477309,0.0491675,0.049953,0.0527775,255,40.121803,54.532462,48.10640924313726,2.62892067839395,47.903239,48.130329,48.541491,255,27.160069,41.543334,35.117583360784316,2.728513581426825,35.046685,35.220485,35.384487,255,0.020533,0.047287,0.022335145098039216,0.0027724612620440335,0.02145,0.02184,0.022264,255,21.77354,28.40662,22.555884913725492,1.8683378763044707,21.8612245,21.91163,22.0212305,255,4.879163,13.416033,12.123656243137255,1.7872411698181379,12.7107995,12.812866,12.9243385,255,0.397236,0.479632,0.41309848235294117,0.013522958928686558,0.4040085,0.408717,0.416088,255,0.0,1.2,0.48,0.5878775382679627,0.0,0.0,1.2,5
SofaScene,8.945321,13.834997,9.294743334472933,0.30378563471394276,9.1030565,9.193048,9.4422875,1755,8.654252,13.447296,8.988273062108261,0.30162600123836897,8.799219,8.876768,9.1291365,1755,0.00504,0.613226,0.17446929886039886,0.17007052568480702,0.02906475,0.1199335,0.28168375,10530,0.00636,0.415645,0.07641679743589744,0.07281166772406099,0.01495925,0.06321,0.1053545,10530,0.03603,5.543356,1.1626923478632478,1.195926718076009,0.0856175,0.8890725,1.7505755,10530,0.03603,5.543356,1.1626923478632478,1.195926718076009,0.0856175,0.8890725,1.7505755,10530,0.097044,0.19637,0.11040551737891739,0.011778795619562247,0.1030115,0.105626,0.117596,1755,0.117333,0.190526,0.1306267304843305,0.010448654899227212,0.1245325,0.127073,0.1329615,1755,23.950964,42.238027,30.694077193162393,3.6422185005437675,28.347218,30.210388,32.4449365,1755,14.413637,31.432495,20.903798340170937,3.6298157501363706,18.589894,20.404752,22.726136,1755,0.073466,0.145667,0.08252687293447293,0.008791327196837803,0.078074,0.080456,0.083726,1755,13.640221,30.622399,20.076148356125355,3.5384505769497014,17.8112095,19.590796,21.8937785,1755,0.100865,0.671803,0.25281702905982906,0.10396053664534051,0.195151,0.225675,0.2791605,1755,0.432914,0.643291,0.4901161082621083,0.030098324266549726,0.470831,0.484082,0.505597,1755,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
BilateralLagrangianConstraint_NNCG,0.035663,1.847651,0.10812521700000001,0.12177403823540514,0.0547805,0.0931505,0.12452025,1000,0.125268,0.263987,0.143563238,0.018409373973151722,0.12989775,0.1358935,0.156515,1000,0.001843,0.024227,0.00266529225,0.0013634474079846047,0.002069,0.00218,0.003013,4000,0.004022,0.024482,0.00521968,0.0015839009088639351,0.00433,0.0045645,0.005823,4000,0.000365,0.017433,0.0007627380000000001,0.0007592370679544038,0.000475,0.000541,0.000933,4000,0.000365,0.017433,0.0007627380000000001,0.0007592370679544038,0.000475,0.000541,0.000933,4000,0.02,0.050906,0.022832464,0.003941982118516521,0.0204225,0.020725,0.02463925,1000,0.02563,0.070113,0.028396848000000002,0.004274049810764493,0.026324,0.0267345,0.02962225,1000,0.419592,2.494676,0.525418778,0.15207790164159526,0.449472,0.486392,0.5792295,1000,0.086962,0.245699,0.103026181,0.017367802580989886,0.09006125,0.0950675,0.1136095,1000,0.024793,0.069673,0.029379044,0.005705657090648193,0.0260195,0.0268865,0.031778,1000,0.039524,0.197099,0.047282321,0.01096551433996413,0.040498,0.0431035,0.052396,1000,0.00525,0.021898,0.0065051710000000006,0.0017816659298979143,0.00549,0.005645,0.0069915,1000,0.016071,0.054523,0.019317543000000003,0.0042502984450684175,0.01674075,0.0175565,0.020624,1000,0.0,1.2,0.24,0.48,0.0,0.0,0.0,5
BilateralLagrangianConstraint_PGS,0.03911,1.883474,0.108353677,0.1277965785953547,0.05398075,0.094573,0.12435625,1000,0.124391,0.26104,0.143365155,0.016842413525530568,0.13030525,0.1374895,0.15432025,1000,0.001889,0.018723,0.002577529,0.0009656812803192365,0.002072,0.002207,0.002994,4000,0.003996,0.025108,0.0052746502499999995,0.001478110713013385,0.00436575,0.00475,0.005843,4000,0.000352,0.014934,0.00077736325,0.0008328315530762734,0.000492,0.00056,0.00086,4000,0.000352,0.014934,0.00077736325,0.0008328315530762734,0.000492,0.00056,0.00086,4000,0.019896,0.052804,0.023000688999999998,0.004036076147730491,0.02046125,0.020975,0.025123,1000,0.025652,0.075317,0.02828357,0.004025180331997562,0.026208,0.0266,0.0296955,1000,0.419591,2.509302,0.525671503,0.15660777940206544,0.4524555,0.4859885,0.57725325,1000,0.087195,0.190992,0.102504998,0.0160310338677827,0.090038,0.094354,0.1135245,1000,0.025102,0.075146,0.029203385999999998,0.005353438367162173,0.02601825,0.02671,0.031767,1000,0.039332,0.106782,0.046789831,0.008907130139076165,0.0404125,0.0430495,0.05248325,1000,0.00531,0.027857,0.006659609,0.0018810775731263715,0.005552,0.0059615,0.0070545,1000,0.015997,0.060897,0.019318514,0.0039538414985687016,0.0167655,0.0175635,0.02066625,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
BilateralLagrangianConstraint_UGS,0.036708,1.865695,0.080441153,0.12651251023478902,0.052762,0.06728,0.0794095,1000,0.124461,0.223909,0.134334429,0.012819724858941355,0.12752475,0.1301225,0.13322725,1000,0.001833,0.021532,0.0024161192500000003,0.0011354189002431823,0.001989,0.002072,0.00290725,4000,0.003976,0.025666,0.00486166775,0.0015300902588932254,0.00419175,0.004323,0.005652,4000,0.000336,0.017158,0.00070907925,0.0007635437770484659,0.000428,0.000484,0.00091525,4000,0.000336,0.017158,0.00070907925,0.0007635437770484659,0.000428,0.000484,0.00091525,4000,0.01989,0.051779,0.021393310000000002,0.003426945024347487,0.020383,0.020554,0.020746,1000,0.025672,0.093394,0.027369482,0.004255359354940074,0.026217,0.026466,0.0267405,1000,0.435188,2.484254,0.499496691,0.14805778258297508,0.45609475,0.480934,0.505031,1000,0.09861,0.23282,0.122367397,0.0172170556237526,0.10956475,0.1200735,0.1277865,1000,0.024736,0.06121,0.0272814,0.004634614651726722,0.02573875,0.026076,0.026499,1000,0.044443,0.11607,0.04825617,0.00811047658520139,0.04532,0.0458015,0.04667025,1000,0.008831,0.078585,0.028042929,0.010607874681195993,0.01923375,0.0289155,0.03355025,1000,0.016263,0.056153,0.018265238,0.0035217147055597786,0.016876,0.01712,0.01763475,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
FrictionContact_LCP_with_friction,0.040192,1.592714,0.084432808,0.10194234277352633,0.075105,0.0756735,0.07837125,1000,0.040346,0.109927,0.053081175,0.007865735212322813,0.05092375,0.0514735,0.0530025,1000,0.00282,0.019813,0.004142848,0.0013484446465821282,0.003991,0.0040565,0.004128,1000,0.005726,0.02878,0.00777362,0.0018705598561927926,0.0074785,0.0076015,0.007728,1000,0.000693,0.011266,0.001031129,0.0006885915932967814,0.00092175,0.000952,0.000983,1000,0.000693,0.011266,0.001031129,0.0006885915932967814,0.00092175,0.000952,0.000983,1000,0.006067,0.036561,0.009440374,0.002392896410654669,0.009185,0.009297,0.00948725,1000,0.01,0.041305,0.013127848,0.0028861076194237802,0.0125965,0.012768,0.01296725,1000,0.141394,1.841213,0.243824085,0.1121618662580459,0.23210975,0.234899,0.25014825,1000,0.011958,0.233098,0.038828849,0.012738873314394761,0.03851475,0.039103,0.041515,1000,0.002019,0.020974,0.0030685279999999996,0.0012211468917439868,0.002861,0.0029455,0.003026,1000,0.006694,0.207141,0.017081258999999998,0.007920615195167544,0.0166485,0.016825,0.01703325,1000,0.001578,0.056664,0.016428997,0.006708986065791983,0.01707,0.0173705,0.01769525,1000,0.000955,0.010275,0.001413252,0.0005432997740621654,0.00128675,0.001337,0.001403,1000,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
FrictionContact_LCP_without_friction,0.04021,1.535822,0.09842621700000001,0.09967433524005019,0.07511075,0.103009,0.10455625,1000,0.03989,0.117435,0.053267928,0.008465015147347111,0.050788,0.0514935,0.05416525,1000,0.002821,0.020266,0.004147773,0.0013412177613911173,0.00398675,0.004076,0.004176,1000,0.005734,0.026539,0.007776872000000001,0.001988931449199796,0.00739575,0.007512,0.0077145,1000,0.000672,0.015259,0.001016554,0.0005843968985920442,0.00092875,0.0009605,0.00099,1000,0.000672,0.015259,0.001016554,0.0005843968985920442,0.00092875,0.0009605,0.00099,1000,0.006098,0.031921,0.009396779000000001,0.0021569725427457347,0.009123,0.0093165,0.00956575,1000,0.010006,0.038845,0.012782679,0.0025003513377041637,0.01234175,0.0125125,0.01270725,1000,0.139812,1.801404,0.247069545,0.10998038727240406,0.22045675,0.25126,0.25840825,1000,0.011952,0.068904,0.02843402,0.007471160524416537,0.0255755,0.0294535,0.03043175,1000,0.002019,0.017641,0.003092836,0.001330644182005092,0.002853,0.002924,0.00303625,1000,0.006663,0.047738,0.015725735,0.004522195202639421,0.01497275,0.0157245,0.01625975,1000,0.00158,0.029536,0.007458707,0.0030844398695956125,0.00581475,0.008889,0.00913525,1000,0.000959,0.016346,0.001416297,0.0009198678735508703,0.001229,0.001293,0.001358,1000,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
FixedProjectiveConstraint,0.008502,0.139865,0.010405816,0.008905132526815306,0.008962,0.009123,0.00948125,1000,1.105264,1.329882,1.151104275,0.04157360923217246,1.11390975,1.1382405,1.17263825,1000,0.066972,0.115448,0.070282163,0.007057731514476234,0.0674725,0.0681265,0.06999,1000,0.037404,0.090714,0.039560146,0.0047811131564400354,0.03784625,0.038061,0.04069675,1000,0.000702,0.012303,0.000948907,0.0006988808227094231,0.000793,0.0008275,0.000864,1000,0.990994,1.194994,1.032181089,0.03742063685795686,0.997535,1.0223035,1.048517,1000,0.002631,0.015842,0.003111653,0.0009425630199572865,0.002964,0.003026,0.003077,1000,0.008206,0.028175,0.008788889,0.0014352025510982762,0.008474,0.008555,0.00866625,1000,1.138225,1.538097,1.187568208,0.045758099050689775,1.14982075,1.1735565,1.210976,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1.2,0.48,0.5878775382679627,0.0,0.0,1.2,5
FEMBAR_EigenSimplicialLDLT,0.000276,0.001076,0.000337172,5.7155265864135385e-05,0.000312,0.000329,0.000346,1000,2.50962,5.161776,2.58610734,0.20292772366829132,2.52694575,2.5621095,2.58876025,1000,0.051766,0.121082,0.05429182,0.005420263226781519,0.052315,0.052992,0.05410025,1000,0.044018,0.084306,0.046165448,0.004544835194954378,0.0445245,0.044692,0.0473405,1000,0.688448,2.227666,0.715913212,0.10327898542031218,0.69455275,0.6978295,0.720441,1000,1.711719,2.808334,1.762112027,0.11515354060592436,1.72080075,1.7428655,1.7655265,1000,0.001118,0.013192,0.0013225070000000001,0.0003990995213615271,0.00125,0.001289,0.001338,1000,0.006059,0.052493,0.006736608,0.0018982560307650809,0.006343,0.0064925,0.0066865,1000,2.5257,5.21191,2.604370688,0.20557998195151844,2.54469875,2.5803195,2.608098,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
FEMBAR_EigenSimplicialLLT,0.000277,0.000846,0.000348904,4.895882743693929e-05,0.000323,0.000343,0.000362,1000,2.613576,5.095056,2.696558713,0.1920803072913739,2.635593,2.676899,2.70116875,1000,0.051936,0.103588,0.054292516000000006,0.005371952779180398,0.052384,0.0530825,0.0536945,1000,0.044364,0.085349,0.045991483,0.004727936209141468,0.044655,0.0448885,0.04523925,1000,0.688212,2.03585,0.713316624,0.0929815614119844,0.6944655,0.697246,0.720682,1000,1.813734,2.930201,1.875149509,0.1149603548963986,1.8309235,1.857668,1.88441025,1000,0.001179,0.018629,0.0013831359999999999,0.0005720259867383649,0.00128575,0.0013345,0.001393,1000,0.006079,0.0274,0.006838253,0.0013948463417133084,0.00648475,0.0066365,0.00682425,1000,2.630984,5.143714,2.715276486,0.19421305355381185,2.654677,2.695274,2.71985175,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
