SceneName,CollisionDetection_min,CollisionDetection_max,CollisionDetection_mean,CollisionDetection_std,CollisionDetection_quartile1,CollisionDetection_quartile2,CollisionDetection_quartile3,CollisionDetection_cardinality,ODESolve_min,ODESolve_max,ODESolve_mean,ODESolve_std,ODESolve_quartile1,ODESolve_quartile2,ODESolve_quartile3,ODESolve_cardinality,ComputeForce_min,ComputeForce_max,ComputeForce_mean,ComputeForce_std,ComputeForce_quartile1,ComputeForce_quartile2,ComputeForce_quartile3,ComputeForce_cardinality,ComputeRHTerm_min,ComputeRHTerm_max,ComputeRHTerm_mean,ComputeRHTerm_std,ComputeRHTerm_quartile1,ComputeRHTerm_quartile2,ComputeRHTerm_quartile3,ComputeRHTerm_cardinality,setSystemMBKMatrix_min,setSystemMBKMatrix_max,setSystemMBKMatrix_mean,setSystemMBKMatrix_std,setSystemMBKMatrix_quartile1,setSystemMBKMatrix_quartile2,setSystemMBKMatrix_quartile3,setSystemMBKMatrix_cardinality,MBKSolve_min,MBKSolve_max,MBKSolve_mean,MBKSolve_std,MBKSolve_quartile1,MBKSolve_quartile2,MBKSolve_quartile3,MBKSolve_cardinality,ProjectAndMechaMap_min,ProjectAndMechaMap_max,ProjectAndMechaMap_mean,ProjectAndMechaMap_std,ProjectAndMechaMap_quartile1,ProjectAndMechaMap_quartile2,ProjectAndMechaMap_quartile3,ProjectAndMechaMap_cardinality,UpdateBBox_min,UpdateBBox_max,UpdateBBox_mean,UpdateBBox_std,UpdateBBox_quartile1,UpdateBBox_quartile2,UpdateBBox_quartile3,UpdateBBox_cardinality,TimeStep_min,TimeStep_max,TimeStep_mean,TimeStep_std,TimeStep_quartile1,TimeStep_quartile2,TimeStep_quartile3,TimeStep_cardinality,SolveConstraint_min,SolveConstraint_max,SolveConstraint_mean,SolveConstraint_std,SolveConstraint_quartile1,SolveConstraint_quartile2,SolveConstraint_quartile3,SolveConstraint_cardinality,PrepareState_min,PrepareState_max,PrepareState_mean,PrepareState_std,PrepareState_quartile1,PrepareState_quartile2,PrepareState_quartile3,PrepareState_cardinality,BuildSystem_min,BuildSystem_max,BuildSystem_mean,BuildSystem_std,BuildSystem_quartile1,BuildSystem_quartile2,BuildSystem_quartile3,BuildSystem_cardinality,SolveSystem_min,SolveSystem_max,SolveSystem_mean,SolveSystem_std,SolveSystem_quartile1,SolveSystem_quartile2,SolveSystem_quartile3,SolveSystem_cardinality,ApplyCorrection_min,ApplyCorrection_max,ApplyCorrection_mean,ApplyCorrection_std,ApplyCorrection_quartile1,ApplyCorrection_quartile2,ApplyCorrection_quartile3,ApplyCorrection_cardinality,CPUUsage_min,CPUUsage_max,CPUUsage_mean,CPUUsage_std,CPUUsage_quartile1,CPUUsage_quartile2,CPUUsage_quartile3,CPUUsage_cardinality
fallingBeamLagrangianCollision,0.344576,0.446551,0.3576084666666667,0.015457397220147962,0.3490235,0.35354,0.3583745,255,11.779632,12.897374,12.235068811764705,0.20492040727685856,12.103416,12.27233,12.3742225,255,0.282831,0.437045,0.29500320392156865,0.01471788557109703,0.2866595,0.292187,0.297206,255,0.136948,0.22353,0.14361029411764706,0.011561352572839167,0.138803,0.139221,0.1404435,255,3.551367,3.947421,3.6539110588235295,0.05576418897964289,3.615636,3.661794,3.6838255,255,3.551367,3.947421,3.6539110588235295,0.05576418897964289,3.615636,3.661794,3.6838255,255,0.025244,0.053912,0.027584023529411767,0.003458736679635241,0.026162,0.02665,0.027376,255,0.05124,0.115006,0.05373978039215686,0.004539782465938969,0.052375,0.052755,0.053438,255,39.952683,51.887714,47.222442337254904,1.7393227704447058,47.5517565,47.848194,48.0339855,255,27.22329,39.303779,34.4476505254902,1.7757048885174072,35.001725,35.140589,35.222167,255,0.020123,0.041819,0.021740070588235298,0.001670180676770186,0.0211255,0.021529,0.0219265,255,21.789481,27.350181,21.943066552941175,0.41952200174118354,21.86448,21.900095,21.936965,255,4.884032,13.134116,12.070209262745097,1.7798406825944066,12.698065,12.806423,12.861554,255,0.394692,0.475287,0.4106788980392157,0.01254895380895985,0.4029925,0.407288,0.4135055,255,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
SofaScene,8.675207,13.709703,9.108941859259259,0.3439846985511184,8.842069,9.038799,9.2823885,1755,8.397292,13.360356,8.809935572079771,0.33937497370149916,8.5421715,8.744134,8.9814685,1755,0.004718,0.629311,0.17909934339981007,0.17429001921433473,0.0284345,0.1176315,0.2921025,10530,0.006232,0.314338,0.08530216315289647,0.08194968277384646,0.01562025,0.063349,0.1502005,10530,0.037739,5.750596,1.1690806144349477,1.2005731194146683,0.09380575,0.894546,1.763846,10530,0.037739,5.750596,1.1690806144349477,1.2005731194146683,0.09380575,0.894546,1.763846,10530,0.094374,0.212224,0.11666118917378918,0.014937401306065867,0.106072,0.116472,0.1199245,1755,0.129636,0.234428,0.14599882279202278,0.013473987042885457,0.1396435,0.143015,0.1460045,1755,23.773574,44.058447,30.634984156125356,3.5817341326168264,28.148661,30.254191,32.4659325,1755,14.426981,31.64408,20.909762456980058,3.5611361699139485,18.4556465,20.473791,22.7481575,1755,0.074491,0.150036,0.08826693447293447,0.010399939653820767,0.0824245,0.085938,0.090075,1755,13.627513,30.512476,20.038105640455843,3.470804624809206,17.650279,19.582242,21.8728535,1755,0.106061,0.945128,0.2771669732193732,0.10846821237126873,0.214774,0.25375,0.3050895,1755,0.434019,0.7182,0.5039709606837607,0.029979284278001807,0.482815,0.500317,0.521082,1755,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
BilateralLagrangianConstraint_NNCG,0.049659,1.665619,0.106025473,0.11830832971647968,0.05418675,0.090994,0.12332525,1000,0.194702,0.391733,0.21533925,0.021244728244990563,0.20026625,0.204966,0.22912125,1000,0.001993,0.020719,0.002643678,0.0008535842862986643,0.002138,0.002261,0.003023,4000,0.004239,0.023512,0.00529106225,0.0012148755069450276,0.004535,0.004723,0.005878,4000,0.014915,0.05776,0.01777858575,0.0026829118693402765,0.01578775,0.016785,0.01907425,4000,0.014915,0.05776,0.01777858575,0.0026829118693402765,0.01578775,0.016785,0.01907425,4000,0.020016,0.073401,0.022719008000000002,0.003518976622249144,0.02064075,0.020977,0.02471475,1000,0.025174,0.048802,0.027679248,0.0026036145015143853,0.02593475,0.026337,0.0292225,1000,0.500822,2.457596,0.603422525,0.15255006122100828,0.51831075,0.562981,0.670136,1000,0.090172,0.189223,0.104672572,0.015243235373857349,0.09335625,0.0973425,0.115113,1000,0.025127,0.059483,0.029024828000000003,0.004333710500762136,0.02616925,0.026969,0.03155725,1000,0.040949,0.09962,0.048074037,0.008181447753767727,0.04220175,0.0450105,0.05249825,1000,0.006222,0.017177,0.007656104,0.001777720275854444,0.00649,0.006692,0.00824825,1000,0.016492,0.040615,0.019380539000000002,0.0029579427439487397,0.01712475,0.01789,0.021163,1000,0.0,1.2,0.48,0.5878775382679627,0.0,0.0,1.2,5
BilateralLagrangianConstraint_PGS,0.036028,1.625331,0.106332052,0.11666100840210193,0.053246,0.091232,0.1250565,1000,0.194993,0.337337,0.218813454,0.021675957709957918,0.2026665,0.2085465,0.23474025,1000,0.001992,0.01717,0.00269813325,0.00086957821930775,0.00216875,0.002307,0.003077,4000,0.004251,0.028535,0.00535992425,0.0013415868294717034,0.004567,0.004786,0.005913,4000,0.014903,0.054644,0.018059771250000002,0.0028923168998959015,0.01605375,0.0170295,0.019216,4000,0.014903,0.054644,0.018059771250000002,0.0028923168998959015,0.01605375,0.0170295,0.019216,4000,0.01996,0.063991,0.022746857,0.0033659373054991683,0.02065575,0.0209455,0.024618,1000,0.025514,0.053003,0.028033812,0.0028230031364941837,0.026119,0.0265345,0.0295705,1000,0.503301,2.332151,0.60871022,0.1494267518488962,0.52178475,0.567677,0.672656,1000,0.090301,0.185929,0.105049242,0.015411332345758947,0.09365175,0.0975705,0.116115,1000,0.0249,0.060121,0.029017407,0.004365068337993232,0.02603975,0.0270215,0.03186675,1000,0.041269,0.096775,0.048332556,0.008050129385349282,0.0425045,0.045072,0.05391375,1000,0.006132,0.02891,0.007603103,0.0017426072897790252,0.00638975,0.0069755,0.00821525,1000,0.016559,0.094722,0.019555235,0.0040522803797090595,0.01715675,0.017886,0.02120175,1000,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
BilateralLagrangianConstraint_UGS,0.030279,1.719763,0.07849626600000001,0.1183127619234343,0.05263075,0.066202,0.078275,1000,0.195564,0.324733,0.205984163,0.013907211357652941,0.19954225,0.202613,0.205892,1000,0.001959,0.020349,0.0024933564999999997,0.0008361084223399199,0.002124,0.002204,0.00292425,4000,0.004178,0.021057,0.004969588,0.0010632513984265434,0.004409,0.004558,0.005714,4000,0.015057,0.047451,0.0172200695,0.0023482885832388127,0.0157165,0.016452,0.01887,4000,0.015057,0.047451,0.0172200695,0.0023482885832388127,0.0157165,0.016452,0.01887,4000,0.02031,0.04797,0.021198011,0.0017012380570863679,0.0206965,0.0208415,0.0209975,1000,0.025555,0.051599,0.026671883,0.002173870632606964,0.0260555,0.026201,0.026429,1000,0.519783,2.438144,0.57881557,0.1413457503147693,0.53458725,0.5640595,0.581536,1000,0.102388,0.220886,0.12595796,0.016126928660113803,0.1147545,0.1246455,0.13110225,1000,0.025563,0.061914,0.027320133,0.00323197179184952,0.0263005,0.0265965,0.02697525,1000,0.046818,0.110873,0.05003358,0.0067033869989431465,0.04762075,0.0480325,0.048947,1000,0.009184,0.068235,0.029380668000000002,0.010059669579055566,0.020805,0.0307635,0.03566225,1000,0.016934,0.045005,0.018703705,0.00285248297312622,0.01746175,0.01767,0.01818975,1000,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
FrictionContact_LCP_with_friction,-0.000993,1.381567,0.080774301,0.09367107758384335,0.07276375,0.07548,0.07656875,1000,0.060208,0.137866,0.078352098,0.007779372822560698,0.077352,0.0779355,0.08143725,1000,0.002895,0.014524,0.004138911,0.0008589453784024919,0.004092,0.004148,0.00420425,1000,0.005855,0.031959,0.007639007,0.0012360077277068294,0.007583,0.0076755,0.007759,1000,0.019015,0.050425,0.025291984,0.0025983616930181216,0.02519875,0.025486,0.02578925,1000,0.019015,0.050425,0.025291984,0.0025983616930181216,0.02519875,0.025486,0.02578925,1000,0.00619,0.019433,0.009421866,0.0012016156007825466,0.009483,0.009609,0.00982425,1000,0.009644,0.028442,0.012077805,0.0012328235246680686,0.01200375,0.012128,0.01223,1000,0.164303,1.6526,0.267258726,0.10321875332907739,0.2630645,0.265814,0.26927825,1000,0.012929,0.087166,0.039067716999999995,0.009883532578127671,0.0402025,0.0407615,0.041611,1000,0.002045,0.013192,0.003009869,0.0007691288720617631,0.00293875,0.002996,0.003057,1000,0.007324,0.047736,0.016827121,0.00382843909529184,0.017284,0.0174315,0.0175965,1000,0.001927,0.057104,0.016601796,0.006079790213846527,0.01796425,0.0182545,0.01854425,1000,0.001038,0.015199,0.001398934,0.000523286510091747,0.00133,0.001369,0.001404,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
FrictionContact_LCP_without_friction,0.039993,1.422786,0.095908896,0.09363764082138755,0.0751645,0.0999755,0.10535175,1000,0.06032,0.139203,0.078093409,0.008232225885610707,0.07686475,0.077695,0.08065025,1000,0.002903,0.020084,0.004144262,0.0010514073127746448,0.004069,0.0041455,0.00421,1000,0.005781,0.01819,0.007570997,0.0010164995686132877,0.00754675,0.0076315,0.00770725,1000,0.01899,0.058446,0.025206087999999998,0.0028226184584984205,0.02511975,0.0253825,0.025765,1000,0.01899,0.058446,0.025206087999999998,0.0028226184584984205,0.02511975,0.0253825,0.025765,1000,0.006151,0.034384,0.009451464,0.001769363867242688,0.009381,0.0095545,0.009778,1000,0.009714,0.040127,0.012069109,0.0016395171548718238,0.011902,0.0120285,0.0121515,1000,0.163941,1.689221,0.272260419,0.10403634083238145,0.25048425,0.281042,0.28784275,1000,0.012848,0.069256,0.029270915,0.006760647649432338,0.026962,0.030972,0.031922,1000,0.001976,0.011991,0.002990461,0.0006031108724596166,0.002948,0.003016,0.003084,1000,0.007233,0.051347,0.015829431,0.0037957377816755203,0.01563875,0.016305,0.01669375,1000,0.001859,0.02195,0.007902006999999999,0.002901577574518903,0.006397,0.009074,0.009987,1000,0.00104,0.005925,0.001353251,0.0002941676596755666,0.001263,0.0013315,0.001395,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
FixedProjectiveConstraint,0.008901,0.157748,0.010423269,0.008697955179962644,0.00915675,0.009297,0.009571,1000,1.12407,1.317238,1.1452542849999998,0.02371861842919555,1.13455925,1.137319,1.14253475,1000,0.067112,0.16579,0.068454504,0.004639229766672913,0.06748175,0.0676465,0.06808775,1000,0.037604,0.068644,0.038739510000000005,0.0024466334510710834,0.038112,0.038243,0.03841,1000,0.015278,0.04124,0.016220121,0.0017412503657886194,0.015721,0.015857,0.016069,1000,0.995867,1.14723,1.013614908,0.02135426545478762,1.0042355,1.006599,1.0096715,1000,0.002736,0.02002,0.003101955,0.0008608318947245158,0.002903,0.002954,0.003026,1000,0.011113,0.02593,0.011548129999999998,0.0009191814984539234,0.011317,0.011386,0.01146625,1000,1.161963,1.536994,1.186109505,0.029809382975801012,1.173594,1.1771045,1.1838985,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1.2,0.24,0.48,0.0,0.0,0.0,5
FEMBAR_EigenSimplicialLDLT,0.000284,0.00524,0.000359641,0.00016208406497555524,0.000334,0.000348,0.00036425,1000,2.569444,5.170061,2.620732654,0.18924763165421724,2.579276,2.585218,2.61429125,1000,0.051127,0.0943,0.053229865,0.003261907177829406,0.05206125,0.0524115,0.0534635,1000,0.043619,0.080023,0.045919148,0.00367881378736353,0.0449525,0.0452935,0.04552825,1000,0.692759,2.246903,0.712066144,0.10056815841409879,0.6980845,0.7002065,0.70412975,1000,1.768414,2.752605,1.801777295,0.10383487545779585,1.77417375,1.77663,1.79660975,1000,0.001227,0.002964,0.001396575,0.00013498465977658349,0.00134,0.0013735,0.001418,1000,0.011758,0.029539,0.012319898999999999,0.0009260797291804848,0.012086,0.012182,0.01230625,1000,2.592959,5.229977,2.646260717,0.19155548388954804,2.6042065,2.610719,2.63972325,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
FEMBAR_EigenSimplicialLLT,0.000296,0.002677,0.000358072,0.00011215261395081259,0.000331,0.000344,0.00036425,1000,2.61549,5.009929,2.672711121,0.17909980907506393,2.626718,2.6352175,2.66707925,1000,0.051689,0.092118,0.053370970999999996,0.003291432235389178,0.05224175,0.052545,0.05305875,1000,0.044614,0.087764,0.045925801,0.003475852316971911,0.04501375,0.0451845,0.0454955,1000,0.691537,1.963396,0.7103656230000001,0.0871987710947171,0.696635,0.6984355,0.701783,1000,1.812837,2.925125,1.8553603859999999,0.10607455978032151,1.82346425,1.8277275,1.85114025,1000,0.001203,0.013631,0.0013712650000000002,0.00040469186151317654,0.001306,0.001344,0.001382,1000,0.011836,0.038504,0.012421897999999999,0.0015049322308981225,0.012078,0.012186,0.01237525,1000,2.639744,5.070018,2.698361944,0.18128218553062753,2.65156325,2.6603545,2.692397,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
