SceneName,CollisionDetection_min,CollisionDetection_max,CollisionDetection_mean,CollisionDetection_std,CollisionDetection_quartile1,CollisionDetection_quartile2,CollisionDetection_quartile3,CollisionDetection_cardinality,ODESolve_min,ODESolve_max,ODESolve_mean,ODESolve_std,ODESolve_quartile1,ODESolve_quartile2,ODESolve_quartile3,ODESolve_cardinality,ComputeForce_min,ComputeForce_max,ComputeForce_mean,ComputeForce_std,ComputeForce_quartile1,ComputeForce_quartile2,ComputeForce_quartile3,ComputeForce_cardinality,ComputeRHTerm_min,ComputeRHTerm_max,ComputeRHTerm_mean,ComputeRHTerm_std,ComputeRHTerm_quartile1,ComputeRHTerm_quartile2,ComputeRHTerm_quartile3,ComputeRHTerm_cardinality,setSystemMBKMatrix_min,setSystemMBKMatrix_max,setSystemMBKMatrix_mean,setSystemMBKMatrix_std,setSystemMBKMatrix_quartile1,setSystemMBKMatrix_quartile2,setSystemMBKMatrix_quartile3,setSystemMBKMatrix_cardinality,MBKSolve_min,MBKSolve_max,MBKSolve_mean,MBKSolve_std,MBKSolve_quartile1,MBKSolve_quartile2,MBKSolve_quartile3,MBKSolve_cardinality,ProjectAndMechaMap_min,ProjectAndMechaMap_max,ProjectAndMechaMap_mean,ProjectAndMechaMap_std,ProjectAndMechaMap_quartile1,ProjectAndMechaMap_quartile2,ProjectAndMechaMap_quartile3,ProjectAndMechaMap_cardinality,UpdateBBox_min,UpdateBBox_max,UpdateBBox_mean,UpdateBBox_std,UpdateBBox_quartile1,UpdateBBox_quartile2,UpdateBBox_quartile3,UpdateBBox_cardinality,TimeStep_min,TimeStep_max,TimeStep_mean,TimeStep_std,TimeStep_quartile1,TimeStep_quartile2,TimeStep_quartile3,TimeStep_cardinality,SolveConstraint_min,SolveConstraint_max,SolveConstraint_mean,SolveConstraint_std,SolveConstraint_quartile1,SolveConstraint_quartile2,SolveConstraint_quartile3,SolveConstraint_cardinality,PrepareState_min,PrepareState_max,PrepareState_mean,PrepareState_std,PrepareState_quartile1,PrepareState_quartile2,PrepareState_quartile3,PrepareState_cardinality,BuildSystem_min,BuildSystem_max,BuildSystem_mean,BuildSystem_std,BuildSystem_quartile1,BuildSystem_quartile2,BuildSystem_quartile3,BuildSystem_cardinality,SolveSystem_min,SolveSystem_max,SolveSystem_mean,SolveSystem_std,SolveSystem_quartile1,SolveSystem_quartile2,SolveSystem_quartile3,SolveSystem_cardinality,ApplyCorrection_min,ApplyCorrection_max,ApplyCorrection_mean,ApplyCorrection_std,ApplyCorrection_quartile1,ApplyCorrection_quartile2,ApplyCorrection_quartile3,ApplyCorrection_cardinality,CPUUsage_min,CPUUsage_max,CPUUsage_mean,CPUUsage_std,CPUUsage_quartile1,CPUUsage_quartile2,CPUUsage_quartile3,CPUUsage_cardinality
fallingBeamLagrangianCollision,0.333943,0.472263,0.35022413333333335,0.017469564489163595,0.3398115,0.345839,0.352887,255,11.836609,13.70325,12.406335047058825,0.3079298476879168,12.2423445,12.382357,12.54817,255,0.283413,0.392844,0.3013382117647059,0.017112231804634597,0.2883645,0.296408,0.310451,255,0.135675,0.251839,0.15429297647058823,0.02096370996614255,0.1368845,0.141592,0.17094,255,3.876057,4.608444,3.990555525490196,0.1032010995082708,3.9308775,3.971403,4.020105,255,3.876057,4.608444,3.990555525490196,0.1032010995082708,3.9308775,3.971403,4.020105,255,0.022259,0.051831,0.025884486274509802,0.0032680309630267897,0.0234745,0.024549,0.0278635,255,0.05456,0.095277,0.0584257137254902,0.004511247247257685,0.056311,0.057098,0.059292,255,40.051646,53.916209,47.50399455686274,1.931053172829826,47.609339,47.973018,48.240178,255,27.15283,40.859539,34.55281835294118,1.8901523059772105,35.024466,35.134494,35.2835395,255,0.020488,0.046812,0.02234325098039216,0.0018533935657484794,0.021644,0.022215,0.0226525,255,21.794551,27.640726,21.97961760392157,0.37521907056923837,21.8691625,21.916241,22.033218,255,4.888071,14.286249,12.141982858823528,1.8224025923211487,12.7214205,12.796898,12.8508965,255,0.387839,0.520598,0.40656035294117643,0.016175634118580254,0.3978375,0.402876,0.409085,255,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
SofaScene,12.816625,23.838947,13.208232792592593,0.4350605979605138,13.0321135,13.090113,13.205086,1755,12.492434,23.386051,12.879144998290599,0.4286868730244633,12.7112515,12.764066,12.874517,1755,0.008096,1.08302,0.23972053969610638,0.21588874026510932,0.046266,0.225439,0.3827365,10530,0.008223,0.535978,0.09235197777777777,0.0766089176340327,0.02164025,0.110289,0.1432745,10530,0.090319,11.578124,1.8687718849952517,1.9098185242956238,0.16929675,1.11253,2.68895725,10530,0.090319,11.578124,1.8687718849952517,1.9098185242956238,0.16929675,1.11253,2.68895725,10530,0.091073,0.212565,0.10550347065527065,0.013295700192579639,0.097942,0.100055,0.109272,1755,0.136773,0.265494,0.14892990085470087,0.013756908677356326,0.1412045,0.142868,0.150635,1755,23.789572,61.259019,28.89916188319088,2.62777194450033,27.147822,28.819094,30.6245215,1755,10.213704,45.508443,15.108062147008548,2.557772384048569,13.3930315,14.904114,16.8374315,1755,0.073469,0.369046,0.08502374415954417,0.01306533232163333,0.079215,0.081808,0.083752,1755,9.459208,43.582704,14.275811235327636,2.462870630275139,12.6062725,14.101659,15.974535,1755,0.103967,0.886115,0.2620054547008547,0.10681385734662181,0.2015535,0.238117,0.290449,1755,0.413064,1.074106,0.48307419088319087,0.035706298501378526,0.460483,0.481121,0.5017825,1755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
BilateralLagrangianConstraint_NNCG,0.0345,1.851728,0.095779452,0.12548932864078002,0.0439855,0.082335,0.1118615,1000,0.284218,0.46542,0.313087218,0.02687524343447843,0.29285925,0.3003375,0.33329575,1000,0.001221,0.030752,0.0019133037500000001,0.0008760069032181982,0.001485,0.001652,0.002262,4000,0.00297,0.023916,0.00393630725,0.0011481242621543357,0.003331,0.003542,0.004428,4000,0.022959,0.084748,0.0258953945,0.0036289271223558274,0.02390475,0.0244605,0.026077,4000,0.022959,0.084748,0.0258953945,0.0036289271223558274,0.02390475,0.0244605,0.026077,4000,0.020066,0.055604,0.022831788000000002,0.0035053780930244883,0.0207205,0.0209865,0.0246475,1000,0.026823,0.067745,0.029269554,0.003037087235343101,0.02763275,0.0280845,0.03048525,1000,0.583757,2.68738,0.696459039,0.16340200272557703,0.60964275,0.6508435,0.76275575,1000,0.091613,0.221749,0.10651226600000001,0.016070668646053405,0.09509,0.0988415,0.11755175,1000,0.025951,0.059787,0.029706191,0.004671155409373466,0.02682025,0.027375,0.03215425,1000,0.04167,0.116434,0.048859362999999996,0.008775072354757595,0.04291875,0.044215,0.05430125,1000,0.006275,0.02964,0.007706869,0.002002348560525615,0.006555,0.0067555,0.008213,1000,0.016734,0.044791,0.019631475,0.003031083272919931,0.0175575,0.0180765,0.0212775,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
BilateralLagrangianConstraint_PGS,0.03306,1.829796,0.096441533,0.1269080318469123,0.0436595,0.0822155,0.1135545,1000,0.286296,0.56479,0.314495566,0.029072342084731393,0.29332375,0.2998715,0.33649425,1000,0.001203,0.018893,0.0018697465,0.0007642000410479902,0.001422,0.001595,0.002274,4000,0.002975,0.019647,0.00394973975,0.0009250320302670268,0.00333675,0.0035795,0.00448125,4000,0.023065,0.072136,0.025962744,0.003705730212787218,0.023897,0.024482,0.02618525,4000,0.023065,0.072136,0.025962744,0.003705730212787218,0.023897,0.024482,0.02618525,4000,0.020321,0.049119,0.023078174,0.003578654140836189,0.02078075,0.0210515,0.024927,1000,0.027084,0.055485,0.029371838,0.0028835960191670395,0.027718,0.0280415,0.0304895,1000,0.585517,2.674491,0.701343666,0.16432874758468294,0.60874,0.6531845,0.77151275,1000,0.092463,0.205551,0.108008144,0.01713546400688537,0.09578125,0.099595,0.11886175,1000,0.026372,0.058826,0.030318685,0.005083659733870374,0.02711875,0.027751,0.0327785,1000,0.041811,0.120017,0.049442407,0.009549743858206406,0.04307775,0.045234,0.0541705,1000,0.006164,0.02452,0.007709985,0.0017942299676393212,0.00646875,0.0069975,0.0083245,1000,0.017009,0.047547,0.019935324,0.003362457083298462,0.01767975,0.018264,0.0215025,1000,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
BilateralLagrangianConstraint_UGS,0.034256,1.719695,0.066844609,0.119275394854807,0.042198,0.054527,0.06676,1000,0.282948,0.437237,0.299507796,0.017309107587174563,0.29102925,0.2947755,0.29987925,1000,0.001185,0.015015,0.001773857,0.0007853104781237799,0.00141475,0.001515,0.002202,4000,0.002902,0.022331,0.00369275425,0.0009491360339050129,0.003233,0.003356,0.0042965,4000,0.022962,0.061418,0.024896353,0.002863201250329952,0.023657,0.024122,0.02532125,4000,0.022962,0.061418,0.024896353,0.002863201250329952,0.023657,0.024122,0.02532125,4000,0.020289,0.046481,0.021391461,0.0023139748314272997,0.020711,0.020868,0.021085,1000,0.027056,0.063205,0.028287009999999998,0.002647076297710363,0.027595,0.027751,0.02793825,1000,0.600365,2.545963,0.665800174,0.1434208321160274,0.62096875,0.6483325,0.6694455,1000,0.103667,0.229628,0.127547008,0.016918406781843733,0.1158475,0.1260605,0.13301425,1000,0.025755,0.062941,0.028002686000000002,0.003689685070762002,0.026754,0.027099,0.02753,1000,0.047099,0.130241,0.0508121,0.007143487586466431,0.04823275,0.048895,0.049898,1000,0.009302,0.077636,0.029311917,0.0103042135546635,0.0207345,0.030573,0.0354835,1000,0.017208,0.049057,0.018841322,0.002660324730238021,0.017732,0.0179245,0.01832225,1000,0.0,1.2,0.48,0.5878775382679627,0.0,0.0,1.2,5
FrictionContact_LCP_with_friction,0.036905,1.576346,0.081095371,0.10163237497027881,0.07341325,0.074294,0.0773145,1000,0.087401,0.204423,0.112620235,0.010772235032330804,0.11142725,0.112486,0.11442575,1000,0.002121,0.040351,0.003223552,0.001621433667868038,0.003012,0.0030945,0.00317725,1000,0.004485,0.019211,0.005845792999999999,0.001068031787050835,0.00571575,0.005788,0.00586225,1000,0.028405,0.069997,0.037070185,0.003850452402870993,0.036719,0.037186,0.03751025,1000,0.028405,0.069997,0.037070185,0.003850452402870993,0.036719,0.037186,0.03751025,1000,0.006354,0.025068,0.009621438,0.0014166881329904617,0.00964775,0.0097605,0.0099025,1000,0.010668,0.023669,0.013008591,0.001343216807413829,0.012827,0.0129525,0.013066,1000,0.189448,1.879132,0.303675137,0.11233298712397098,0.29862125,0.301815,0.3062035,1000,0.012963,0.088832,0.039534273999999994,0.010035057444126765,0.040684,0.041173,0.0417995,1000,0.00213,0.019005,0.003159681,0.0009511511453176092,0.00300575,0.003073,0.00314525,1000,0.007336,0.041766,0.017581009999999998,0.004186704512370081,0.01765075,0.0178255,0.0180245,1000,0.001915,0.057203,0.016766418,0.0060442158776201895,0.01804625,0.0183,0.01848625,1000,0.001003,0.007609,0.0015046010000000002,0.0006548636039657419,0.001368,0.0014035,0.001441,1000,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
FrictionContact_LCP_without_friction,0.036987,1.564363,0.09778261,0.10341492062772131,0.0752,0.1037545,0.1054275,1000,0.088049,0.186508,0.112463211,0.010961985309718262,0.11139475,0.1122535,0.113367,1000,0.002185,0.017102,0.003190759,0.0011009013529463029,0.003035,0.003104,0.003163,1000,0.004419,0.029912,0.005888312,0.0012948078856170131,0.005706,0.0057985,0.00589625,1000,0.028635,0.070546,0.037069108999999996,0.0038462181156454192,0.03691,0.037221,0.03746525,1000,0.028635,0.070546,0.037069108999999996,0.0038462181156454192,0.03691,0.037221,0.03746525,1000,0.00642,0.034455,0.00959044,0.001605953616515745,0.00957775,0.0097015,0.0098245,1000,0.010792,0.025739,0.012989595,0.001294908454283545,0.01284875,0.012959,0.013058,1000,0.190912,1.875076,0.310471144,0.11412313512162758,0.2877585,0.319607,0.32416175,1000,0.013086,0.069923,0.029603277999999997,0.00692898369912327,0.027458,0.031493,0.032077,1000,0.002182,0.008754,0.003133792,0.0005854712518441875,0.00303,0.0031055,0.003187,1000,0.007325,0.054263,0.016310189,0.004128474330945877,0.01585775,0.016604,0.016879,1000,0.001927,0.026749,0.008157537999999999,0.0029744013085923693,0.00655875,0.009814,0.01012825,1000,0.001,0.01005,0.001469372,0.0006863900011043284,0.001306,0.001367,0.001414,1000,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
FixedProjectiveConstraint,0.006394,0.158071,0.008041374,0.009506752355359005,0.00667175,0.006789,0.007108,1000,1.137459,1.328397,1.1587706029999998,0.02635519910380855,1.145346,1.1473765,1.15540025,1000,0.066573,0.128449,0.068074814,0.004935606843682345,0.066898,0.0669855,0.067117,1000,0.036874,0.083239,0.038066705,0.0033504338587673987,0.03713575,0.0372515,0.03745725,1000,0.022539,0.055644,0.023434822,0.0020618065079720744,0.022855,0.022991,0.023183,1000,0.984657,1.172962,1.005674566,0.023085460017544465,0.9947675,0.996621,0.998572,1000,0.002803,0.00815,0.0031508110000000003,0.0005921562253991761,0.002972,0.003018,0.003083,1000,0.011329,0.025237,0.011821418,0.0009437839123846094,0.011569,0.011643,0.0117465,1000,1.173866,1.53638,1.197579319,0.03228239296779653,1.1823235,1.185486,1.19540825,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
FEMBAR_EigenSimplicialLDLT,0.000283,0.000856,0.000341366,4.813017810064699e-05,0.000321,0.000333,0.000349,1000,2.590534,4.945157,2.639686,0.18029178326856166,2.5979515,2.6138105,2.63103125,1000,0.051519,0.098994,0.053129827,0.0036724909858393117,0.05200975,0.052328,0.052955,1000,0.043708,0.087078,0.045082163,0.0033090568004238005,0.04428675,0.044484,0.044694,1000,0.698816,2.047095,0.715797456,0.09249707032177863,0.70357625,0.7056155,0.70794925,1000,1.76649,2.747404,1.801617888,0.10121342184109505,1.7721915,1.7761955,1.7939475,1000,0.001177,0.003458,0.0013518669999999999,0.00015647124116271335,0.00129,0.0013265,0.00136825,1000,0.01273,0.027752,0.01328194,0.00085893263787098,0.0130365,0.0131555,0.01330225,1000,2.615313,5.004102,2.666156317,0.1825573689917789,2.6240495,2.6399685,2.65783525,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
FEMBAR_EigenSimplicialLLT,0.000291,0.000873,0.000343629,4.797942641382867e-05,0.000325,0.000336,0.000349,1000,2.61314,4.881942,2.670134746,0.17406983135311957,2.629885,2.6407235,2.6656765,1000,0.050287,0.085506,0.052577682,0.003018501916990612,0.05135675,0.052231,0.05265225,1000,0.042379,0.084753,0.044629352,0.003170877426848285,0.04330675,0.044407,0.04467725,1000,0.697483,1.921757,0.718161196,0.08452367243875282,0.7041415,0.7068,0.717546,1000,1.794653,2.828341,1.8304908629999999,0.10342795548257845,1.8010035,1.8079275,1.8200205,1000,0.001223,0.002586,0.001393185,0.00011838988459746043,0.00133375,0.001371,0.001423,1000,0.012678,0.023479,0.013393073,0.0008474988505425833,0.013093,0.013243,0.013412,1000,2.638229,4.939307,2.696899525,0.1763773086930101,2.6565775,2.667304,2.692344,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
