SceneName,CollisionDetection_min,CollisionDetection_max,CollisionDetection_mean,CollisionDetection_std,CollisionDetection_quartile1,CollisionDetection_quartile2,CollisionDetection_quartile3,CollisionDetection_cardinality,ODESolve_min,ODESolve_max,ODESolve_mean,ODESolve_std,ODESolve_quartile1,ODESolve_quartile2,ODESolve_quartile3,ODESolve_cardinality,ComputeForce_min,ComputeForce_max,ComputeForce_mean,ComputeForce_std,ComputeForce_quartile1,ComputeForce_quartile2,ComputeForce_quartile3,ComputeForce_cardinality,ComputeRHTerm_min,ComputeRHTerm_max,ComputeRHTerm_mean,ComputeRHTerm_std,ComputeRHTerm_quartile1,ComputeRHTerm_quartile2,ComputeRHTerm_quartile3,ComputeRHTerm_cardinality,setSystemMBKMatrix_min,setSystemMBKMatrix_max,setSystemMBKMatrix_mean,setSystemMBKMatrix_std,setSystemMBKMatrix_quartile1,setSystemMBKMatrix_quartile2,setSystemMBKMatrix_quartile3,setSystemMBKMatrix_cardinality,MBKSolve_min,MBKSolve_max,MBKSolve_mean,MBKSolve_std,MBKSolve_quartile1,MBKSolve_quartile2,MBKSolve_quartile3,MBKSolve_cardinality,ProjectAndMechaMap_min,ProjectAndMechaMap_max,ProjectAndMechaMap_mean,ProjectAndMechaMap_std,ProjectAndMechaMap_quartile1,ProjectAndMechaMap_quartile2,ProjectAndMechaMap_quartile3,ProjectAndMechaMap_cardinality,UpdateBBox_min,UpdateBBox_max,UpdateBBox_mean,UpdateBBox_std,UpdateBBox_quartile1,UpdateBBox_quartile2,UpdateBBox_quartile3,UpdateBBox_cardinality,TimeStep_min,TimeStep_max,TimeStep_mean,TimeStep_std,TimeStep_quartile1,TimeStep_quartile2,TimeStep_quartile3,TimeStep_cardinality,SolveConstraint_min,SolveConstraint_max,SolveConstraint_mean,SolveConstraint_std,SolveConstraint_quartile1,SolveConstraint_quartile2,SolveConstraint_quartile3,SolveConstraint_cardinality,PrepareState_min,PrepareState_max,PrepareState_mean,PrepareState_std,PrepareState_quartile1,PrepareState_quartile2,PrepareState_quartile3,PrepareState_cardinality,BuildSystem_min,BuildSystem_max,BuildSystem_mean,BuildSystem_std,BuildSystem_quartile1,BuildSystem_quartile2,BuildSystem_quartile3,BuildSystem_cardinality,SolveSystem_min,SolveSystem_max,SolveSystem_mean,SolveSystem_std,SolveSystem_quartile1,SolveSystem_quartile2,SolveSystem_quartile3,SolveSystem_cardinality,ApplyCorrection_min,ApplyCorrection_max,ApplyCorrection_mean,ApplyCorrection_std,ApplyCorrection_quartile1,ApplyCorrection_quartile2,ApplyCorrection_quartile3,ApplyCorrection_cardinality,CPUUsage_min,CPUUsage_max,CPUUsage_mean,CPUUsage_std,CPUUsage_quartile1,CPUUsage_quartile2,CPUUsage_quartile3,CPUUsage_cardinality
fallingBeamLagrangianCollision,0.343145,0.418822,0.3578722862745098,0.01413938484116881,0.3481865,0.352363,0.3609515,255,11.478808,12.983536,12.012259270588237,0.2119238500566851,11.8823485,12.020324,12.130121,255,0.282451,0.380086,0.29523969019607843,0.016257488964700386,0.285376,0.286975,0.2980635,255,0.136044,0.222981,0.1442550862745098,0.013066880642521001,0.137451,0.138641,0.142889,255,3.581083,3.980991,3.728041811764706,0.08794586464506723,3.656306,3.724965,3.7919185,255,3.581083,3.980991,3.728041811764706,0.08794586464506723,3.656306,3.724965,3.7919185,255,0.022534,0.045756,0.024263352941176472,0.0023327849133392294,0.0235045,0.023789,0.0241935,255,0.052984,0.091701,0.055758098039215685,0.004633767905935146,0.05407,0.05456,0.0552705,255,39.693926,54.538188,47.2148445372549,2.2032780692333307,47.33019,47.63339,47.982371,255,27.201108,41.961521,34.671216392156865,2.2175706148973986,34.952077,35.18296,35.356944,255,0.02031,0.0564,0.02231834901960784,0.003111232128372405,0.0215285,0.021882,0.022251,255,21.747314,28.498299,22.12235345882353,1.1015368028896064,21.865398,21.898031,21.941725,255,4.881781,13.265566,12.106739309803922,1.8235705408794942,12.664503,12.839674,12.978585,255,0.394519,0.478148,0.41690563137254905,0.015325898595073202,0.4067005,0.412623,0.4217365,255,0.0,1.2,0.48,0.5878775382679627,0.0,0.0,1.2,5
SofaScene,8.976276,14.078963,9.367081674643874,0.3590505294964935,9.143016,9.257069,9.535838,1755,8.685027,13.745361,9.052874944729345,0.3547316948946493,8.83134,8.947101,9.217816,1755,0.004809,0.584491,0.17787543817663817,0.17299396619898255,0.0295825,0.119077,0.28627225,10530,0.006275,0.341392,0.0819624918328585,0.07850789387990292,0.015385,0.067069,0.1379545,10530,0.033749,5.636845,1.1699544220322888,1.204107673199775,0.089955,0.8812675,1.751366,10530,0.033749,5.636845,1.1699544220322888,1.204107673199775,0.089955,0.8812675,1.751366,10530,0.097449,0.20678,0.1161050962962963,0.013429565112184683,0.1053095,0.116287,0.122109,1755,0.128978,0.321861,0.14628512763532764,0.013255354787098586,0.13728,0.144687,0.148868,1755,23.843936,52.923097,30.885978396581194,3.8037084163193597,28.424487,30.309575,32.571996,1755,14.250944,38.36573,20.98793288148148,3.714352141387952,18.577739,20.385411,22.7325775,1755,0.073784,0.253265,0.08510364672364673,0.010713788234215638,0.079802,0.082517,0.086467,1755,13.457827,37.207065,20.146320872364672,3.6280539666085323,17.7848545,19.567712,21.893093,1755,0.09987,0.632645,0.2571488700854701,0.10235437585213994,0.1993585,0.231641,0.2835715,1755,0.429176,0.618284,0.49718622165242166,0.030101835244756042,0.4758695,0.493663,0.513874,1755,0.0,1.2,0.48,0.5878775382679627,0.0,0.0,1.2,5
BilateralLagrangianConstraint_NNCG,0.039344,1.72746,0.10861206,0.12225993638230964,0.054354,0.0940335,0.12426025,1000,0.128277,0.247358,0.146994054,0.018001688290798838,0.133945,0.1385655,0.15901725,1000,0.001964,0.024218,0.0027079375,0.0013645539320942027,0.002124,0.002236,0.00303625,4000,0.003953,0.026141,0.005289529249999999,0.0015024713397081616,0.004475,0.004688,0.00581925,4000,0.000343,0.014075,0.000765433,0.0007281396432079495,0.000484,0.00055,0.000958,4000,0.000343,0.014075,0.000765433,0.0007281396432079495,0.000484,0.00055,0.000958,4000,0.020312,0.060617,0.023733077,0.004130400635177052,0.020965,0.022701,0.02601375,1000,0.027412,0.068945,0.030614565,0.004728074286829153,0.02819775,0.028698,0.03178625,1000,0.424598,2.386272,0.530231177,0.1506474527071124,0.45832825,0.4909485,0.5823995,1000,0.085502,0.206438,0.100766854,0.015906522908564397,0.08869425,0.093006,0.11095575,1000,0.025168,0.076816,0.029655851,0.0057664876816654175,0.02620175,0.027032,0.03195425,1000,0.038009,0.119476,0.044679464,0.008485871127981146,0.0389315,0.041056,0.049727,1000,0.005301,0.018789,0.0065244610000000005,0.001727131808658216,0.005523,0.0056475,0.00701425,1000,0.015869,0.053132,0.019362177,0.004298589322751244,0.01676675,0.017469,0.020754,1000,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
BilateralLagrangianConstraint_PGS,0.036035,1.816852,0.108421205,0.12684322791895897,0.05320625,0.095195,0.12469325,1000,0.125424,0.265237,0.143944308,0.01666983056707944,0.13082875,0.1368425,0.1559685,1000,0.001892,0.022185,0.0025860252500000003,0.0009995560745213034,0.002076,0.002209,0.003021,4000,0.004046,0.025076,0.00524156175,0.001558789542942516,0.004346,0.004565,0.005774,4000,0.000338,0.020581,0.0007350692500000001,0.0008781869308150956,0.000445,0.000499,0.00089375,4000,0.000338,0.020581,0.0007350692500000001,0.0008781869308150956,0.000445,0.000499,0.00089375,4000,0.02033,0.056724,0.023352787,0.004071922346709353,0.02080675,0.021094,0.02514275,1000,0.027596,0.073891,0.030599959,0.004655641746453329,0.028282,0.0287605,0.031847,1000,0.420871,2.452501,0.525953585,0.15411469461938007,0.4546375,0.4855315,0.5780695,1000,0.085109,0.214432,0.10053141,0.016110744505698674,0.08837825,0.0925705,0.1110735,1000,0.025006,0.063541,0.029129227,0.00512512884457269,0.02590775,0.026591,0.0316745,1000,0.037602,0.110577,0.044815963,0.008543200687659807,0.038859,0.041404,0.04994025,1000,0.005152,0.022167,0.006616482,0.001742995293647117,0.005549,0.0059535,0.00702125,1000,0.016151,0.076496,0.019416998,0.004399071291988344,0.01682075,0.017447,0.020772,1000,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
BilateralLagrangianConstraint_UGS,0.037499,1.768319,0.079640268,0.11798209618998204,0.05253675,0.0672045,0.078959,1000,0.125615,0.291279,0.137078436,0.014112213639677653,0.12936675,0.133015,0.13727175,1000,0.001889,0.021011,0.0024675967500000003,0.0011690237295022875,0.002046,0.002133,0.002881,4000,0.004049,0.025121,0.004934338,0.001400883789525741,0.004281,0.004432,0.005636,4000,0.000355,0.154333,0.00076286775,0.0025470675480363564,0.000441,0.000491,0.00095,4000,0.000355,0.154333,0.00076286775,0.0025470675480363564,0.000441,0.000491,0.00095,4000,0.020172,0.056799,0.021806491999999997,0.00408737411279369,0.02068775,0.0208285,0.021036,1000,0.027686,0.06751,0.029580544,0.004982797652731245,0.02819275,0.0283675,0.02860575,1000,0.436199,2.420296,0.5016268030000001,0.1391581703659623,0.46438275,0.4840165,0.50623625,1000,0.096626,0.232862,0.121197845,0.016721857772298357,0.10881275,0.1191705,0.12650125,1000,0.024782,0.072831,0.027253973999999997,0.004670341550606764,0.025808,0.0261605,0.026622,1000,0.042988,0.123677,0.046813016000000006,0.007429896254170982,0.043955,0.0443485,0.04516275,1000,0.00891,0.085301,0.028118355,0.010382542083082303,0.01949375,0.0291545,0.0338385,1000,0.016404,0.060569,0.018479356,0.0036314835719391605,0.01697975,0.0172405,0.017796,1000,0.0,1.2,0.48,0.5878775382679627,0.0,0.0,1.2,5
FrictionContact_LCP_with_friction,0.040525,1.451081,0.084066602,0.09604276933715312,0.07570775,0.076579,0.07938675,1000,0.040116,0.12534,0.05308737400000001,0.0074628749814079015,0.05127175,0.0519635,0.05268975,1000,0.002794,0.02528,0.00419955,0.0013749800658555019,0.0040775,0.0041435,0.00421,1000,0.00552,0.0247,0.007631137,0.0017063108351736505,0.00739,0.0075385,0.00769925,1000,0.000776,0.017866,0.0010567670000000001,0.0007688142758241422,0.000958,0.000986,0.00102,1000,0.000776,0.017866,0.0010567670000000001,0.0007688142758241422,0.000958,0.000986,0.00102,1000,0.006068,0.030516,0.009417592,0.002121752160723773,0.009167,0.0093945,0.00956425,1000,0.010941,0.041281,0.014415956,0.003000281111173418,0.01390375,0.014058,0.014228,1000,0.142461,1.685836,0.243427885,0.10514444843622403,0.23417175,0.2375415,0.246194,1000,0.012123,0.10063,0.037603871,0.01025821966514458,0.03756875,0.0385235,0.04077325,1000,0.002057,0.023451,0.003041058,0.0011963366008929093,0.00286475,0.002948,0.003023,1000,0.006898,0.048868,0.016172788,0.004400113206163678,0.01583575,0.016167,0.01641475,1000,0.001603,0.063817,0.016151598,0.006443313429780985,0.016988,0.017485,0.01765725,1000,0.000991,0.015694,0.001436831,0.0008452066057710386,0.001287,0.001331,0.001372,1000,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
FrictionContact_LCP_without_friction,0.040183,1.490316,0.100600611,0.09735507563864187,0.07663675,0.103794,0.10651275,1000,0.03965,0.118361,0.053429247000000006,0.008236836726073367,0.05108125,0.051702,0.05278675,1000,0.002915,0.016829,0.004141541,0.0011701308099178484,0.00402275,0.004085,0.004153,1000,0.005614,0.025173,0.0076996750000000004,0.0019990219862160096,0.007357,0.007492,0.00763925,1000,0.000772,0.015702,0.00107697,0.0008651191878001551,0.000954,0.0009815,0.001009,1000,0.000772,0.015702,0.00107697,0.0008651191878001551,0.000954,0.0009815,0.001009,1000,0.006139,0.025336,0.009354931,0.0019257110116107764,0.009141,0.0092925,0.00951825,1000,0.011023,0.047677,0.014412030000000001,0.002953464831871204,0.013751,0.013987,0.01433225,1000,0.141759,1.741989,0.250799853,0.10721037401280432,0.2235775,0.2530775,0.2616585,1000,0.012129,0.082948,0.027721957,0.006845564822799577,0.02495525,0.0287305,0.029484,1000,0.001977,0.020401,0.003098454,0.0012679151777165536,0.002883,0.002955,0.003101,1000,0.00691,0.051333,0.014989121999999999,0.004041649083371291,0.0142705,0.0149745,0.01526725,1000,0.001597,0.025057,0.007455894,0.0030270434672736365,0.00581075,0.008891,0.009082,1000,0.000929,0.015663,0.0013846569999999999,0.0008188350965554664,0.001219,0.001283,0.001339,1000,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
FixedProjectiveConstraint,0.00843,0.142779,0.010257935,0.009121025007463526,0.0088275,0.008995,0.0093235,1000,1.1008,1.47732,1.159111236,0.03877274180883142,1.131463,1.16435,1.18265575,1000,0.066847,0.132498,0.06970245600000001,0.005923462195546114,0.0672545,0.0675675,0.06955425,1000,0.037409,0.086973,0.040186438000000005,0.005329239865511403,0.03792875,0.038883,0.04028025,1000,0.000655,0.003823,0.0009096849999999999,0.00048223159143195914,0.000771,0.000813,0.000862,1000,0.98765,1.336257,1.040214102,0.03548033039369273,1.016835,1.0447595,1.05419025,1000,0.002694,0.01417,0.003050489,0.0006469085544951466,0.002849,0.002896,0.0030495,1000,0.008489,0.03466,0.009076082000000001,0.0018169310282110324,0.008706,0.008776,0.008866,1000,1.134929,1.558717,1.195638657,0.04338864539532608,1.1662245,1.1991375,1.2195255,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
FEMBAR_EigenSimplicialLDLT,0.000276,0.020148,0.00036387599999999996,0.0006997756945078902,0.000308,0.00032,0.000337,1000,2.507337,5.175159,2.60268482,0.20147427723965558,2.55895725,2.574942,2.60282825,1000,0.051692,0.10329,0.055218862,0.007225249912698938,0.0520965,0.052366,0.05701825,1000,0.044344,0.093492,0.047142593,0.0064405324285614,0.044723,0.0450005,0.04746325,1000,0.689913,2.16451,0.720230022,0.1017449903917216,0.6960045,0.715476,0.726029,1000,1.70641,2.874336,1.7723954199999998,0.1157120949770749,1.7377255,1.7550935,1.7741285,1000,0.001156,0.010784,0.0013699580000000001,0.00035591823251415484,0.001284,0.001339,0.00139525,1000,0.005969,0.031079,0.006601681,0.0014489509367949626,0.00627075,0.006429,0.0065805,1000,2.524474,5.226094,2.6210757719999997,0.20387340725105865,2.5772595,2.592859,2.620919,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
FEMBAR_EigenSimplicialLLT,0.000272,0.00098,0.00033601999999999997,4.884350110301267e-05,0.000316,0.000329,0.000343,1000,2.615904,5.099355,2.69757725,0.18897929986368217,2.64812075,2.676929,2.69721575,1000,0.051133,0.102093,0.053480462,0.005566211529986621,0.051943,0.052185,0.0524755,1000,0.042912,0.09054,0.045213464999999994,0.0048067565961649236,0.04406675,0.044272,0.04447375,1000,0.688835,1.986581,0.713731844,0.08996282092458897,0.6940195,0.6973825,0.72163725,1000,1.8183,2.964358,1.877667607,0.11384033538259869,1.839554,1.8578915,1.88135575,1000,0.001177,0.018453,0.001371259,0.0006324575558241044,0.001273,0.001314,0.001381,1000,0.005929,0.027352,0.006521169,0.0012324156654469301,0.0062235,0.006338,0.006499,1000,2.632605,5.147194,2.7156620890000003,0.19159793557070776,2.6659935,2.694724,2.715432,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
