SceneName,CollisionDetection_min,CollisionDetection_max,CollisionDetection_mean,CollisionDetection_std,CollisionDetection_quartile1,CollisionDetection_quartile2,CollisionDetection_quartile3,CollisionDetection_cardinality,ODESolve_min,ODESolve_max,ODESolve_mean,ODESolve_std,ODESolve_quartile1,ODESolve_quartile2,ODESolve_quartile3,ODESolve_cardinality,ComputeForce_min,ComputeForce_max,ComputeForce_mean,ComputeForce_std,ComputeForce_quartile1,ComputeForce_quartile2,ComputeForce_quartile3,ComputeForce_cardinality,ComputeRHTerm_min,ComputeRHTerm_max,ComputeRHTerm_mean,ComputeRHTerm_std,ComputeRHTerm_quartile1,ComputeRHTerm_quartile2,ComputeRHTerm_quartile3,ComputeRHTerm_cardinality,setSystemMBKMatrix_min,setSystemMBKMatrix_max,setSystemMBKMatrix_mean,setSystemMBKMatrix_std,setSystemMBKMatrix_quartile1,setSystemMBKMatrix_quartile2,setSystemMBKMatrix_quartile3,setSystemMBKMatrix_cardinality,MBKSolve_min,MBKSolve_max,MBKSolve_mean,MBKSolve_std,MBKSolve_quartile1,MBKSolve_quartile2,MBKSolve_quartile3,MBKSolve_cardinality,ProjectAndMechaMap_min,ProjectAndMechaMap_max,ProjectAndMechaMap_mean,ProjectAndMechaMap_std,ProjectAndMechaMap_quartile1,ProjectAndMechaMap_quartile2,ProjectAndMechaMap_quartile3,ProjectAndMechaMap_cardinality,UpdateBBox_min,UpdateBBox_max,UpdateBBox_mean,UpdateBBox_std,UpdateBBox_quartile1,UpdateBBox_quartile2,UpdateBBox_quartile3,UpdateBBox_cardinality,TimeStep_min,TimeStep_max,TimeStep_mean,TimeStep_std,TimeStep_quartile1,TimeStep_quartile2,TimeStep_quartile3,TimeStep_cardinality,SolveConstraint_min,SolveConstraint_max,SolveConstraint_mean,SolveConstraint_std,SolveConstraint_quartile1,SolveConstraint_quartile2,SolveConstraint_quartile3,SolveConstraint_cardinality,PrepareState_min,PrepareState_max,PrepareState_mean,PrepareState_std,PrepareState_quartile1,PrepareState_quartile2,PrepareState_quartile3,PrepareState_cardinality,BuildSystem_min,BuildSystem_max,BuildSystem_mean,BuildSystem_std,BuildSystem_quartile1,BuildSystem_quartile2,BuildSystem_quartile3,BuildSystem_cardinality,SolveSystem_min,SolveSystem_max,SolveSystem_mean,SolveSystem_std,SolveSystem_quartile1,SolveSystem_quartile2,SolveSystem_quartile3,SolveSystem_cardinality,ApplyCorrection_min,ApplyCorrection_max,ApplyCorrection_mean,ApplyCorrection_std,ApplyCorrection_quartile1,ApplyCorrection_quartile2,ApplyCorrection_quartile3,ApplyCorrection_cardinality,CPUUsage_min,CPUUsage_max,CPUUsage_mean,CPUUsage_std,CPUUsage_quartile1,CPUUsage_quartile2,CPUUsage_quartile3,CPUUsage_cardinality
fallingBeamLagrangianCollision,0.326687,0.435214,0.3485036431372549,0.015003025898788143,0.338016,0.343461,0.3558995,255,7.813199,8.617479,8.224922788235293,0.1839522167172829,8.137958,8.22243,8.366025,255,0.281722,0.37316,0.29715365882352945,0.014920706915035324,0.287131,0.291223,0.300952,255,0.13662,0.222227,0.14832381568627453,0.01659093434784961,0.138097,0.138743,0.153689,255,3.641594,3.896007,3.7390454588235293,0.06011772067246251,3.6872235,3.736688,3.7837,255,3.641594,3.896007,3.7390454588235293,0.06011772067246251,3.6872235,3.736688,3.7837,255,0.022288,0.049555,0.024994564705882353,0.0032637384943556124,0.023447,0.023885,0.025696,255,0.051025,0.096657,0.055242882352941176,0.004714766115451971,0.0532915,0.053976,0.0563575,255,33.456968,47.62635,40.95448134901961,1.8438486393289146,41.079006,41.401966,41.7137845,255,24.638479,38.680238,32.20481172156863,1.8434639119136087,32.5533505,32.722012,32.929166,255,0.019632,0.041888,0.021451996078431373,0.0022929791726614378,0.0207275,0.02107,0.0214255,255,19.418012,25.413922,19.788413929411764,0.9024589583329532,19.54437,19.591444,19.716769,255,4.821643,13.22595,12.093266749019607,1.8182637553917824,12.6940865,12.797322,12.962123,255,0.284262,0.362013,0.2987323725490196,0.011836791354709802,0.291557,0.294309,0.30155,255,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
BilateralLagrangianConstraint_NNCG,0.036802,1.747518,0.108286797,0.12154201238635878,0.05403425,0.092761,0.12534,1000,0.12634,0.26778,0.143582589,0.017405353283748048,0.1297925,0.135171,0.1558695,1000,0.001881,0.019881,0.0026316262499999996,0.0011828797456043187,0.002048,0.002198,0.003034,4000,0.003993,0.026093,0.00517078625,0.0017353766840547723,0.004269,0.004477,0.00576325,4000,0.000341,0.01985,0.0007634495,0.0009312456313721692,0.000456,0.000505,0.000967,4000,0.000341,0.01985,0.0007634495,0.0009312456313721692,0.000456,0.000505,0.000967,4000,0.020017,0.052178,0.022937116,0.0036710569209076564,0.02060225,0.020918,0.024656,1000,0.027276,0.068976,0.030289929,0.00426745602062388,0.0280345,0.0285735,0.031615,1000,0.418059,2.350275,0.5234541859999999,0.15060627907773105,0.45189525,0.484732,0.5776245,1000,0.084418,0.242077,0.09987502000000001,0.016777933470472458,0.08765325,0.0918915,0.11039775,1000,0.024642,0.076499,0.029125398,0.005864978493020753,0.02577475,0.026489,0.03172225,1000,0.037554,0.193619,0.044672718,0.009610891494886207,0.0384785,0.0409985,0.0497085,1000,0.005253,0.026606,0.006475212,0.0018509835458631176,0.005451,0.0055995,0.006967,1000,0.015902,0.061517,0.019080193,0.0037967712569696643,0.01666975,0.0174185,0.02066925,1000,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
BilateralLagrangianConstraint_PGS,0.03553,1.811685,0.107996565,0.1232208902720386,0.05298675,0.093605,0.1245585,1000,0.126011,0.258301,0.14467363500000002,0.016998284299121928,0.13128475,0.138114,0.1558075,1000,0.001859,0.023593,0.0027269007499999996,0.0012863865763834126,0.002097,0.00225,0.003066,4000,0.004016,0.025029,0.00508586425,0.0014700792500140724,0.004291,0.004467,0.00574225,4000,0.000352,0.012534,0.0007497995,0.0007585323426194497,0.000456,0.000518,0.00096225,4000,0.000352,0.012534,0.0007497995,0.0007585323426194497,0.000456,0.000518,0.00096225,4000,0.020099,0.067593,0.023577609,0.004729415379739762,0.020571,0.0210335,0.02609775,1000,0.027315,0.070478,0.030537776000000003,0.004729725543181549,0.028079,0.028694,0.03181725,1000,0.417693,2.467212,0.525776561,0.1520113725976326,0.4530465,0.4839865,0.5784775,1000,0.084176,0.219799,0.10009849,0.016524478285316606,0.08774525,0.091988,0.11104,1000,0.024662,0.073753,0.029005991000000002,0.005225420950403805,0.025757,0.0265345,0.0318425,1000,0.037397,0.155871,0.044780519,0.00942010178626744,0.0385205,0.0410225,0.0497245,1000,0.005215,0.041271,0.006647274999999999,0.002213108346054255,0.005505,0.005897,0.0069875,1000,0.016052,0.060997,0.019133959,0.004088908093283462,0.01664325,0.0172405,0.02065775,1000,0.0,1.2,0.48,0.5878775382679627,0.0,0.0,1.2,5
BilateralLagrangianConstraint_UGS,0.038148,1.662605,0.079022224,0.11478356278344833,0.0524855,0.066836,0.07896225,1000,0.125669,0.270402,0.13667871599999998,0.014458809142849352,0.1290925,0.13249,0.13638225,1000,0.001851,0.022184,0.00245270475,0.0011035999970901765,0.002024,0.002136,0.00287725,4000,0.003937,0.044457,0.0048751465,0.0017381456174721814,0.004174,0.004322,0.005621,4000,0.000366,0.026057,0.00075054875,0.0008517331046891611,0.000461,0.000518,0.00097,4000,0.000366,0.026057,0.00075054875,0.0008517331046891611,0.000461,0.000518,0.00097,4000,0.020334,0.053733,0.021778591,0.0037860958297062427,0.02068775,0.0208325,0.02105075,1000,0.02753,0.067703,0.029683704,0.005097049859319016,0.028123,0.028381,0.02870725,1000,0.435969,2.28482,0.49974148599999996,0.136239099314616,0.4617605,0.482632,0.50374275,1000,0.095783,0.206854,0.120103156,0.017065687017453004,0.107444,0.1179155,0.1253085,1000,0.024742,0.060774,0.027083374,0.004614641949937611,0.0255155,0.025882,0.02632,1000,0.042552,0.107485,0.046151789,0.007431021153413506,0.0433385,0.0437315,0.04485575,1000,0.009046,0.076988,0.028073596000000003,0.010409823331583683,0.019283,0.028882,0.03348875,1000,0.016108,0.049285,0.018275019,0.003654308700785827,0.01674825,0.0170215,0.01765125,1000,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
FrictionContact_LCP_with_friction,0.03974,1.421863,0.084173607,0.0939396687143219,0.0750105,0.075879,0.07822,1000,0.040927,0.138725,0.054207144,0.009193756275715817,0.05192375,0.052398,0.0531595,1000,0.002878,0.022338,0.004306369,0.0014230941749719165,0.004108,0.004193,0.00429825,1000,0.005769,0.047122,0.007796793,0.0020376909849511037,0.007545,0.0076415,0.007769,1000,0.000825,0.010185,0.0011312100000000001,0.0007488369528141623,0.000984,0.001018,0.001051,1000,0.000825,0.010185,0.0011312100000000001,0.0007488369528141623,0.000984,0.001018,0.001051,1000,0.006138,0.031341,0.009311111,0.001821672788038236,0.00915375,0.009302,0.00944925,1000,0.011156,0.036395,0.014254315,0.0024608866698356915,0.01385075,0.014001,0.01413525,1000,0.141985,1.664719,0.24385353899999998,0.10511627337520332,0.233112,0.2361185,0.2525115,1000,0.011758,0.10199,0.037518966,0.010347125892287383,0.0377875,0.038362,0.03943225,1000,0.001905,0.017351,0.0030204380000000003,0.0008935067577562018,0.0028665,0.00295,0.003034,1000,0.006806,0.046914,0.016291244,0.004482553085515441,0.015946,0.016223,0.01648325,1000,0.001604,0.07708,0.016077054,0.006539776105730532,0.0171605,0.017373,0.0174995,1000,0.000972,0.0102,0.0013954280000000002,0.0005312868950162426,0.001289,0.001333,0.001372,1000,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
FrictionContact_LCP_without_friction,0.039989,1.549303,0.098728542,0.09820650183978775,0.07511675,0.1031005,0.10457575,1000,0.04036,0.139716,0.053660798,0.009915719691640944,0.05101375,0.0514715,0.05235075,1000,0.002823,0.024967,0.0042757179999999995,0.0017487950836150015,0.00403975,0.004125,0.00420925,1000,0.005693,0.025403,0.00767633,0.0019466085906262715,0.007394,0.007475,0.007566,1000,0.000815,0.015861,0.001197337,0.0012303455975582634,0.000977,0.001011,0.001045,1000,0.000815,0.015861,0.001197337,0.0012303455975582634,0.000977,0.001011,0.001045,1000,0.006143,0.033875,0.009476365,0.0025348330319322813,0.00910125,0.009251,0.00942,1000,0.011109,0.041831,0.014188713,0.0030523345407459847,0.01364375,0.0137915,0.013936,1000,0.141224,1.813158,0.248397117,0.1087133019271851,0.22022975,0.2515075,0.25697575,1000,0.011936,0.092648,0.027778045999999997,0.0077752241012001705,0.02477025,0.028635,0.02938475,1000,0.00202,0.018258,0.003127701,0.0013854913718962668,0.002882,0.0029595,0.00304025,1000,0.006764,0.062579,0.015083662,0.004551582007363594,0.01427375,0.014979,0.015306,1000,0.001549,0.039733,0.007443822,0.003298010342663588,0.005742,0.0088635,0.009066,1000,0.000963,0.016959,0.001383849,0.0008937699738741506,0.001211,0.001273,0.001336,1000,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
FixedProjectiveConstraint,0.008562,0.133944,0.010148925,0.008504242887604693,0.008882,0.0090445,0.00937725,1000,1.104528,1.352524,1.1324116000000002,0.02724095616724934,1.11282,1.127675,1.14331225,1000,0.06696,0.140003,0.06921548,0.006314387550317133,0.0672895,0.0674635,0.06805425,1000,0.037422,0.09424,0.038945711,0.004154807836167516,0.037878,0.0380825,0.03826725,1000,0.000727,0.011586,0.000985026,0.0007706152018510924,0.000816,0.000848,0.000893,1000,0.991251,1.237549,1.015241027,0.024196550730801923,0.998079,1.003762,1.02594275,1000,0.00268,0.022891,0.002991877,0.0008339814841295939,0.002857,0.0029125,0.00297225,1000,0.008504,0.024871,0.009103288000000001,0.0014130362320393627,0.00879,0.008896,0.0090235,1000,1.138223,1.480687,1.168799745,0.032752013927420935,1.14742275,1.1625625,1.179538,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
FEMBAR_EigenSimplicialLDLT,0.00027,0.00907,0.00035192599999999996,0.0002801233202073686,0.000316,0.000333,0.000359,1000,2.571752,5.161438,2.662057769,0.1968211079805762,2.61149425,2.6369485,2.66297275,1000,0.051968,0.100323,0.055112563999999996,0.005830871726243341,0.05252175,0.0531115,0.05626025,1000,0.043827,0.102324,0.04713097,0.0060064127644626625,0.044535,0.0451075,0.04756525,1000,0.696522,2.107402,0.725180856,0.09670252565767484,0.703141,0.7106,0.73232025,1000,1.765096,2.903589,1.826873664,0.11566176465156973,1.7894025,1.8042935,1.83132275,1000,0.001135,0.01363,0.0013364000000000002,0.0005274088072833067,0.001247,0.0012855,0.001333,1000,0.005921,0.026549,0.006521952,0.0013424345003373536,0.006194,0.0063195,0.006502,1000,2.590568,5.213777,2.680275027,0.199317058867053,2.630221,2.654573,2.68210575,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1.2,0.24,0.48,0.0,0.0,0.0,5
FEMBAR_EigenSimplicialLLT,0.000286,0.000987,0.000346484,4.557547305294812e-05,0.000326,0.000339,0.000357,1000,2.613809,5.061651,2.701475876,0.1887813183007541,2.65343675,2.6804815,2.702689,1000,0.051809,0.092049,0.054014900000000005,0.005464020183161845,0.052327,0.0524685,0.05279575,1000,0.043678,0.092655,0.046143168,0.005128432696426463,0.044392,0.0446495,0.0462855,1000,0.698137,1.968425,0.727984929,0.08755494512032978,0.704885,0.7192625,0.73407925,1000,1.8067,2.966857,1.865675776,0.1165965275499825,1.83002825,1.8459395,1.86961575,1000,0.001146,0.011337,0.001361166,0.00045016204242916797,0.001276,0.0013155,0.001367,1000,0.006064,0.023457,0.006624187,0.0010256983543084196,0.00631575,0.006459,0.00665325,1000,2.630455,5.110576,2.7198997969999996,0.19127455319567158,2.671241,2.6983,2.7209955,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
FEMBAR_EigenSparseLU,0.00031,0.000953,0.00039024400000000004,5.815890700486039e-05,0.000355,0.000377,0.00041,1000,3.339271,6.088189,3.464160292,0.20903758046195123,3.408391,3.4396375,3.47176225,1000,0.052977,0.104508,0.056741477,0.006552367350009538,0.054315,0.054781,0.05581075,1000,0.044498,0.100873,0.047415071,0.005931137205625832,0.04506575,0.045672,0.046769,1000,0.70117,2.022118,0.7362334150000001,0.09046782284204023,0.70835875,0.7297425,0.74196725,1000,2.523991,3.939822,2.614542713,0.13165891579665476,2.57241875,2.596098,2.61886725,1000,0.001383,0.022515,0.0016913289999999999,0.0009874832002414013,0.001536,0.001615,0.001689,1000,0.006906,0.024602,0.007894981,0.0016389943192821016,0.007352,0.007583,0.00788425,1000,3.357933,6.141113,3.485496921,0.21162140072203653,3.429853,3.4611855,3.49287275,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1.2,0.48,0.5878775382679627,0.0,0.0,1.2,5
