SceneName,CollisionDetection_min,CollisionDetection_max,CollisionDetection_mean,CollisionDetection_std,CollisionDetection_quartile1,CollisionDetection_quartile2,CollisionDetection_quartile3,CollisionDetection_cardinality,ODESolve_min,ODESolve_max,ODESolve_mean,ODESolve_std,ODESolve_quartile1,ODESolve_quartile2,ODESolve_quartile3,ODESolve_cardinality,ComputeForce_min,ComputeForce_max,ComputeForce_mean,ComputeForce_std,ComputeForce_quartile1,ComputeForce_quartile2,ComputeForce_quartile3,ComputeForce_cardinality,ComputeRHTerm_min,ComputeRHTerm_max,ComputeRHTerm_mean,ComputeRHTerm_std,ComputeRHTerm_quartile1,ComputeRHTerm_quartile2,ComputeRHTerm_quartile3,ComputeRHTerm_cardinality,setSystemMBKMatrix_min,setSystemMBKMatrix_max,setSystemMBKMatrix_mean,setSystemMBKMatrix_std,setSystemMBKMatrix_quartile1,setSystemMBKMatrix_quartile2,setSystemMBKMatrix_quartile3,setSystemMBKMatrix_cardinality,MBKSolve_min,MBKSolve_max,MBKSolve_mean,MBKSolve_std,MBKSolve_quartile1,MBKSolve_quartile2,MBKSolve_quartile3,MBKSolve_cardinality,ProjectAndMechaMap_min,ProjectAndMechaMap_max,ProjectAndMechaMap_mean,ProjectAndMechaMap_std,ProjectAndMechaMap_quartile1,ProjectAndMechaMap_quartile2,ProjectAndMechaMap_quartile3,ProjectAndMechaMap_cardinality,UpdateBBox_min,UpdateBBox_max,UpdateBBox_mean,UpdateBBox_std,UpdateBBox_quartile1,UpdateBBox_quartile2,UpdateBBox_quartile3,UpdateBBox_cardinality,TimeStep_min,TimeStep_max,TimeStep_mean,TimeStep_std,TimeStep_quartile1,TimeStep_quartile2,TimeStep_quartile3,TimeStep_cardinality,SolveConstraint_min,SolveConstraint_max,SolveConstraint_mean,SolveConstraint_std,SolveConstraint_quartile1,SolveConstraint_quartile2,SolveConstraint_quartile3,SolveConstraint_cardinality,PrepareState_min,PrepareState_max,PrepareState_mean,PrepareState_std,PrepareState_quartile1,PrepareState_quartile2,PrepareState_quartile3,PrepareState_cardinality,BuildSystem_min,BuildSystem_max,BuildSystem_mean,BuildSystem_std,BuildSystem_quartile1,BuildSystem_quartile2,BuildSystem_quartile3,BuildSystem_cardinality,SolveSystem_min,SolveSystem_max,SolveSystem_mean,SolveSystem_std,SolveSystem_quartile1,SolveSystem_quartile2,SolveSystem_quartile3,SolveSystem_cardinality,ApplyCorrection_min,ApplyCorrection_max,ApplyCorrection_mean,ApplyCorrection_std,ApplyCorrection_quartile1,ApplyCorrection_quartile2,ApplyCorrection_quartile3,ApplyCorrection_cardinality,CPUUsage_min,CPUUsage_max,CPUUsage_mean,CPUUsage_std,CPUUsage_quartile1,CPUUsage_quartile2,CPUUsage_quartile3,CPUUsage_cardinality
fallingBeamLagrangianCollision,0.331545,0.602734,0.3600002039215686,0.029314532642306396,0.3461675,0.351193,0.3628585,255,11.828416,18.851399,12.453275341176472,0.6128373767265183,12.2770885,12.389164,12.5283755,255,0.282171,0.393964,0.2972786823529412,0.016047456939972664,0.2880455,0.290733,0.2992705,255,0.138862,0.238133,0.1482377098039216,0.014683445903802822,0.1408625,0.141622,0.1465375,255,3.535044,5.622564,3.7290853098039216,0.19268916169699907,3.6472675,3.702279,3.7580235,255,3.535044,5.622564,3.7290853098039216,0.19268916169699907,3.6472675,3.702279,3.7580235,255,0.025693,0.055801,0.027668376470588237,0.0032445764519252033,0.026502,0.026863,0.027391,255,0.057195,0.086703,0.06093500392156863,0.0040561501901052064,0.059208,0.0598,0.060677,255,40.078479,62.761882,48.48234879215686,3.225969562949241,47.8526695,48.143136,48.3854815,255,27.181707,45.94676,35.48515175294118,2.9540413974740423,35.145301,35.254121,35.395911,255,0.020488,0.047864,0.022381517647058823,0.00281856143370531,0.0213705,0.021717,0.0222195,255,21.773798,28.966773,22.765614207843136,2.0376348508953255,21.883084,21.924107,21.994253,255,4.880197,21.492123,12.278194819607842,1.9788474313071132,12.7994325,12.879946,12.9631335,255,0.39337,0.615236,0.416157168627451,0.022691175171025254,0.403129,0.409942,0.4226835,255,0.0,1.2,0.48,0.5878775382679627,0.0,0.0,1.2,5
SofaScene,8.972003,19.171937,9.559361224501425,0.988065003449599,9.1295365,9.318518,9.5505295,1755,8.67124,18.781915,9.236962357264957,0.9794504189797637,8.8135605,8.996621,9.2199945,1755,0.00492,0.809238,0.17657361842355176,0.172900840599716,0.028665,0.125859,0.280474,10530,0.00599,0.412015,0.08417291547958215,0.08159700427938556,0.01479625,0.0636905,0.14289425,10530,0.036012,7.508449,1.1933669273504273,1.2503401329539934,0.09221275,0.9057035,1.733682,10530,0.036012,7.508449,1.1933669273504273,1.2503401329539934,0.09221275,0.9057035,1.733682,10530,0.093843,0.233382,0.11407717378917379,0.01695758162060174,0.1017005,0.112198,0.1197675,1755,0.147744,0.289665,0.16520760455840455,0.016982780875400224,0.1547345,0.160387,0.1655165,1755,24.115385,51.911569,31.39370745128205,4.22523702744246,28.5087945,30.653809,33.590032,1755,14.444044,39.440817,21.274326038746437,3.9177261464012845,18.567796,20.674537,23.294532,1755,0.072371,0.442664,0.08690602507122507,0.015113100451285747,0.0804235,0.083093,0.0877105,1755,13.653908,37.985317,20.406799115099716,3.819522979505309,17.7563555,19.832907,22.377008,1755,0.103133,0.735013,0.26890558575498574,0.11155128492549374,0.203645,0.242641,0.297048,1755,0.434666,1.097057,0.5094638666666667,0.05241497612970341,0.4811755,0.501349,0.524804,1755,0.0,2.4,0.48,0.9600000000000001,0.0,0.0,0.0,5
BilateralLagrangianConstraint_NNCG,0.047901,1.597579,0.107176908,0.11566120180714679,0.052982,0.093364,0.12476625,1000,0.125554,0.268767,0.142437106,0.01837898449084617,0.1296095,0.133564,0.15446725,1000,0.001883,0.019364,0.00258996475,0.0009791888561495364,0.00209,0.002214,0.003023,4000,0.003998,0.027063,0.0052059975,0.0016867184744330482,0.004278,0.00448,0.00574625,4000,0.000409,0.016782,0.00077444,0.0008558665978994624,0.000495,0.000546,0.00093,4000,0.000409,0.016782,0.00077444,0.0008558665978994624,0.000495,0.000546,0.00093,4000,0.020026,0.06222,0.022863472000000003,0.003886373803588121,0.020623,0.0209545,0.02457675,1000,0.025935,0.057016,0.028413659,0.003799663950498649,0.02646175,0.026798,0.029605,1000,0.422431,2.210478,0.522774043,0.14611168942701042,0.4449285,0.4856425,0.578377,1000,0.087995,0.204859,0.102793142,0.017335217139679445,0.090387,0.094271,0.11402625,1000,0.025015,0.084355,0.029312868,0.00584937179606289,0.02605525,0.026673,0.031621,1000,0.039686,0.124676,0.046889532,0.009244602845605429,0.0406595,0.0432875,0.05242375,1000,0.005547,0.023772,0.006750757,0.0019382835974002875,0.005756,0.005931,0.0071975,1000,0.016198,0.124451,0.019292287,0.004775518261993247,0.01691175,0.017429,0.020815,1000,0.0,9.6,3.38,3.5193181157718607,1.2,1.2,4.9,5
BilateralLagrangianConstraint_PGS,0.036454,1.666976,0.109192083,0.12055260043892088,0.054097,0.095104,0.12645925,1000,0.126364,0.291589,0.144944514,0.020083341928469077,0.1301885,0.136956,0.15622025,1000,0.00188,0.019796,0.002617771,0.0010177016203480273,0.00208,0.0022085,0.003052,4000,0.003996,0.027643,0.00526972125,0.0017379869517773826,0.00428,0.004525,0.00578625,4000,0.000389,0.019446,0.0007828492499999999,0.0008187051630620375,0.000499,0.00055,0.000944,4000,0.000389,0.019446,0.0007828492499999999,0.0008187051630620375,0.000499,0.00055,0.000944,4000,0.02008,0.056144,0.023596515999999998,0.004619998141963263,0.02070825,0.0212015,0.026042,1000,0.025946,0.076096,0.028837338,0.004340811482632711,0.02649675,0.0269995,0.02983725,1000,0.422465,2.313589,0.533036104,0.15327078867045474,0.44893675,0.496033,0.58778,1000,0.087176,0.279514,0.105323768,0.018883302271853194,0.09123125,0.0976995,0.115422,1000,0.024915,0.077304,0.030104478,0.006326135832837926,0.0261465,0.027114,0.03251975,1000,0.03955,0.141927,0.047801218,0.010211975471106265,0.04074875,0.0438035,0.0526015,1000,0.005406,0.023258,0.006928424,0.0020272472198091676,0.00572075,0.006211,0.00734725,1000,0.016371,0.062651,0.019896144,0.004268131816997221,0.01713,0.018231,0.02118175,1000,0.0,12.0,2.6399999999999997,4.703020306143702,0.0,0.0,1.2,5
BilateralLagrangianConstraint_UGS,0.037013,1.737769,0.07915051399999999,0.11652482363194465,0.0527695,0.067035,0.079352,1000,0.126654,0.259653,0.135621729,0.012614855053688052,0.12951525,0.131615,0.13506275,1000,0.00188,0.037747,0.00246032375,0.001104583585083509,0.002045,0.002135,0.00294425,4000,0.003967,0.023725,0.004864359,0.001372729776619929,0.004257,0.00437,0.005614,4000,0.00041,0.017896,0.0008014494999999999,0.0008297108749135148,0.00051,0.000561,0.000996,4000,0.00041,0.017896,0.0008014494999999999,0.0008297108749135148,0.00051,0.000561,0.000996,4000,0.020065,0.050411,0.021434863000000002,0.0027774866981195427,0.020566,0.020771,0.02100425,1000,0.025996,0.066092,0.027309586,0.0031336748367697628,0.026435,0.0266285,0.02687225,1000,0.438644,2.38827,0.49892343,0.1376285250437681,0.45453775,0.4832995,0.50487275,1000,0.100053,0.215527,0.123235906,0.017298808491198574,0.11079725,0.12078,0.12805625,1000,0.025057,0.064693,0.027203123,0.004238360316899803,0.02579075,0.026089,0.02651475,1000,0.044851,0.104033,0.048623945,0.007237017073627436,0.04580875,0.046377,0.04761575,1000,0.009118,0.075666,0.028059391,0.01032913310690297,0.019586,0.029051,0.0334935,1000,0.016718,0.060238,0.018807018,0.003472236537114947,0.017349,0.017615,0.018203,1000,0.0,6.0,1.2,2.4000000000000004,0.0,0.0,0.0,5
FrictionContact_LCP_with_friction,0.039569,1.458551,0.081078788,0.09501490426864123,0.073923,0.074679,0.075924,1000,0.040246,0.102237,0.052140180999999994,0.00681805081062315,0.050996,0.051383,0.05205625,1000,0.002902,0.030151,0.004123599,0.001376070884147688,0.003989,0.004062,0.00415925,1000,0.005577,0.022948,0.007513455,0.0013517723025624543,0.007375,0.0074605,0.00755225,1000,0.00072,0.00774,0.001013578,0.00043873406058340166,0.00094,0.0009655,0.00099,1000,0.00072,0.00774,0.001013578,0.00043873406058340166,0.00094,0.0009655,0.00099,1000,0.006067,0.02554,0.009313233,0.0016882170798540688,0.009225,0.009346,0.00948325,1000,0.009934,0.036991,0.012284406999999999,0.0017986251386409007,0.01216,0.0122685,0.01238,1000,0.139896,1.68354,0.236161762,0.10377410061165239,0.2293745,0.232025,0.23570925,1000,0.011739,0.090047,0.03777217,0.010431622711213246,0.03828575,0.0388075,0.03980375,1000,0.001806,0.021747,0.002968845,0.0011001576546000125,0.002836,0.002916,0.00299025,1000,0.006759,0.050788,0.016594732,0.004324098849260503,0.01665275,0.01682,0.01701225,1000,0.001589,0.062357,0.016063543,0.00660282550777703,0.016944,0.0171995,0.0174435,1000,0.000885,0.016825,0.0013641780000000002,0.0006745845420078939,0.00124875,0.00129,0.001329,1000,0.0,1.2,0.48,0.5878775382679627,0.0,0.0,1.2,5
FrictionContact_LCP_without_friction,0.039779,1.463457,0.096413545,0.09704150657021962,0.07450275,0.1020375,0.10380975,1000,0.040153,0.109539,0.052495756000000005,0.007207209925516531,0.05084575,0.051295,0.052225,1000,0.002891,0.02114,0.0042156189999999994,0.0012753288422359937,0.0040565,0.004137,0.004225,1000,0.005696,0.030378,0.007623695,0.0017810905754551058,0.00736175,0.007468,0.0075845,1000,0.000716,0.011066,0.0010488989999999998,0.0006886047551382433,0.00094,0.000975,0.00100225,1000,0.000716,0.011066,0.0010488989999999998,0.0006886047551382433,0.00094,0.000975,0.00100225,1000,0.006132,0.039622,0.009421409,0.002224528570218643,0.00920075,0.0093405,0.009484,1000,0.009897,0.031538,0.01245061,0.002135256409872126,0.01216175,0.0122685,0.01239025,1000,0.140668,1.689874,0.242670117,0.10651993564948915,0.218128,0.248852,0.2544695,1000,0.011871,0.061222,0.028117539,0.006956999247411127,0.02553275,0.0295085,0.030174,1000,0.00188,0.019812,0.002976991,0.0010179662552948403,0.00284,0.002904,0.002979,1000,0.00674,0.046818,0.015571551,0.004096793454568951,0.01506025,0.015816,0.0161055,1000,0.001649,0.031832,0.007423239,0.003034576520023676,0.00580075,0.00885,0.009163,1000,0.000917,0.011705,0.001365335,0.000688379834666153,0.00120275,0.0012765,0.001339,1000,0.0,13.1,2.86,5.141050476313183,0.0,0.0,1.2,5
FixedProjectiveConstraint,0.008558,0.137798,0.010237948,0.00829652008430619,0.00892875,0.009081,0.0093895,1000,1.11238,1.31279,1.150361116,0.024290774603469192,1.1325715,1.1486335,1.16179075,1000,0.066801,0.155162,0.069719044,0.007447739188778296,0.067261,0.0676015,0.06848475,1000,0.038058,0.073602,0.039447078999999996,0.0042172180627469335,0.038386,0.038553,0.03878,1000,0.000669,0.013748,0.00089541,0.0006007384271877404,0.000806,0.000847,0.000892,1000,0.99883,1.132364,1.031935378,0.020923948165991905,1.01610775,1.032112,1.03951775,1000,0.002613,0.017515,0.00300554,0.0010123676636479455,0.002779,0.002829,0.00289425,1000,0.011327,0.034329,0.011962945,0.0018487593050408157,0.011556,0.0116485,0.01177425,1000,1.148319,1.516885,1.189515967,0.02967133816648503,1.16987075,1.186519,1.20173075,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1.2,0.48,0.5878775382679627,0.0,0.0,1.2,5
FEMBAR_EigenSimplicialLDLT,0.000266,0.010753,0.000398417,0.0003698012318949195,0.000306,0.000323,0.00036725,1000,2.507409,4.927529,2.643953818,0.2725188991599021,2.53780925,2.564853,2.620977,1000,0.051563,0.144177,0.05792653699999999,0.012557758596844862,0.05221175,0.0527505,0.0555985,1000,0.043459,0.113041,0.048362748,0.009669930457273,0.04429675,0.044541,0.04669525,1000,0.688023,2.126556,0.728172014,0.10889962903456468,0.69406975,0.701642,0.7282655,1000,1.710189,3.444327,1.800131967,0.17066954668463824,1.72978725,1.7491175,1.79216475,1000,0.001166,0.011274,0.0016281890000000002,0.0008375567880920075,0.00128,0.0013515,0.001521,1000,0.011521,0.039434,0.013829538,0.004342865055301166,0.011839,0.012092,0.0128645,1000,2.529053,4.994874,2.67136615,0.2793690672524314,2.56168725,2.587787,2.647522,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,3.5,0.7,1.4,0.0,0.0,0.0,5
FEMBAR_EigenSimplicialLLT,0.000263,0.020384,0.000398923,0.0008922037945845109,0.000314,0.000332,0.000351,1000,2.614618,4.961417,2.6950389120000002,0.18852088346376977,2.6394875,2.6547245,2.686964,1000,0.052002,0.115972,0.054536323,0.006872007243060138,0.0523655,0.0527105,0.05320075,1000,0.043955,0.09696,0.045847288,0.0044993136933376855,0.044397,0.0446675,0.04502975,1000,0.689477,1.927535,0.715402474,0.08801182226256495,0.69541075,0.7011105,0.71617175,1000,1.817041,2.898748,1.870870391,0.11468415381168454,1.82814925,1.843622,1.868309,1000,0.001138,0.012482,0.001498098,0.0005729893562676361,0.001328,0.0014035,0.001507,1000,0.011514,0.038758,0.012638267,0.002163601812651996,0.012027,0.012207,0.012403,1000,2.63872,5.01418,2.720016111,0.1918727835554816,2.66268175,2.6787935,2.71148625,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
