SceneName,CollisionDetection_min,CollisionDetection_max,CollisionDetection_mean,CollisionDetection_std,CollisionDetection_quartile1,CollisionDetection_quartile2,CollisionDetection_quartile3,CollisionDetection_cardinality,ODESolve_min,ODESolve_max,ODESolve_mean,ODESolve_std,ODESolve_quartile1,ODESolve_quartile2,ODESolve_quartile3,ODESolve_cardinality,ComputeForce_min,ComputeForce_max,ComputeForce_mean,ComputeForce_std,ComputeForce_quartile1,ComputeForce_quartile2,ComputeForce_quartile3,ComputeForce_cardinality,ComputeRHTerm_min,ComputeRHTerm_max,ComputeRHTerm_mean,ComputeRHTerm_std,ComputeRHTerm_quartile1,ComputeRHTerm_quartile2,ComputeRHTerm_quartile3,ComputeRHTerm_cardinality,setSystemMBKMatrix_min,setSystemMBKMatrix_max,setSystemMBKMatrix_mean,setSystemMBKMatrix_std,setSystemMBKMatrix_quartile1,setSystemMBKMatrix_quartile2,setSystemMBKMatrix_quartile3,setSystemMBKMatrix_cardinality,MBKSolve_min,MBKSolve_max,MBKSolve_mean,MBKSolve_std,MBKSolve_quartile1,MBKSolve_quartile2,MBKSolve_quartile3,MBKSolve_cardinality,ProjectAndMechaMap_min,ProjectAndMechaMap_max,ProjectAndMechaMap_mean,ProjectAndMechaMap_std,ProjectAndMechaMap_quartile1,ProjectAndMechaMap_quartile2,ProjectAndMechaMap_quartile3,ProjectAndMechaMap_cardinality,UpdateBBox_min,UpdateBBox_max,UpdateBBox_mean,UpdateBBox_std,UpdateBBox_quartile1,UpdateBBox_quartile2,UpdateBBox_quartile3,UpdateBBox_cardinality,TimeStep_min,TimeStep_max,TimeStep_mean,TimeStep_std,TimeStep_quartile1,TimeStep_quartile2,TimeStep_quartile3,TimeStep_cardinality,SolveConstraint_min,SolveConstraint_max,SolveConstraint_mean,SolveConstraint_std,SolveConstraint_quartile1,SolveConstraint_quartile2,SolveConstraint_quartile3,SolveConstraint_cardinality,PrepareState_min,PrepareState_max,PrepareState_mean,PrepareState_std,PrepareState_quartile1,PrepareState_quartile2,PrepareState_quartile3,PrepareState_cardinality,BuildSystem_min,BuildSystem_max,BuildSystem_mean,BuildSystem_std,BuildSystem_quartile1,BuildSystem_quartile2,BuildSystem_quartile3,BuildSystem_cardinality,SolveSystem_min,SolveSystem_max,SolveSystem_mean,SolveSystem_std,SolveSystem_quartile1,SolveSystem_quartile2,SolveSystem_quartile3,SolveSystem_cardinality,ApplyCorrection_min,ApplyCorrection_max,ApplyCorrection_mean,ApplyCorrection_std,ApplyCorrection_quartile1,ApplyCorrection_quartile2,ApplyCorrection_quartile3,ApplyCorrection_cardinality,CPUUsage_min,CPUUsage_max,CPUUsage_mean,CPUUsage_std,CPUUsage_quartile1,CPUUsage_quartile2,CPUUsage_quartile3,CPUUsage_cardinality
fallingBeamLagrangianCollision,0.339328,0.562486,0.3596615607843137,0.0202263820417119,0.3474155,0.353184,0.365324,255,11.541676,14.057313,12.115972901960784,0.3150769389907403,11.954788,12.07104,12.3265675,255,0.282731,0.505066,0.2998052823529412,0.01934282778033979,0.286546,0.294992,0.3052505,255,0.136582,0.250741,0.1517218549019608,0.019206151984137013,0.1385515,0.140105,0.1698595,255,3.560257,4.213556,3.685417937254902,0.08277177019854043,3.6167095,3.67393,3.7515405,255,3.560257,4.213556,3.685417937254902,0.08277177019854043,3.6167095,3.67393,3.7515405,255,0.022996,0.057588,0.02572773725490196,0.0039277036265512495,0.02396,0.024462,0.026627,255,0.052843,0.097857,0.056461890196078425,0.004720945684145178,0.0540075,0.054623,0.0584265,255,39.668644,53.784717,47.53344808627451,1.959157743321529,47.458155,47.721766,48.1856885,255,27.090851,41.191673,34.87571988627451,1.9090741595793574,35.028283,35.23831,35.4076585,255,0.020297,0.053749,0.0224206,0.0036807080527273234,0.021392,0.02172,0.0221235,255,21.767813,27.982862,22.25312196470588,1.3556421521137627,21.8423475,21.877589,22.0047035,255,4.843367,14.79865,12.181083662745097,1.8325203618025039,12.6922275,12.887197,13.03095,255,0.398544,0.524741,0.4168447176470588,0.016268602102675535,0.4064355,0.411528,0.4215865,255,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
BilateralLagrangianConstraint_NNCG,0.040241,1.728367,0.10813366,0.1214873559508577,0.0542835,0.0920335,0.12551525,1000,0.127278,0.288956,0.145228693,0.01825065205878275,0.13133925,0.136123,0.158348,1000,0.001892,0.02345,0.00260456375,0.0010659161345696654,0.002105,0.002221,0.003053,4000,0.004022,0.027208,0.00512578,0.0016304990926400422,0.004293,0.0044935,0.005747,4000,0.000363,0.023064,0.0007317747500000001,0.0007741941510450963,0.00047,0.000527,0.000945,4000,0.000363,0.023064,0.0007317747500000001,0.0007741941510450963,0.00047,0.000527,0.000945,4000,0.020099,0.059905,0.023130092,0.004135272589507976,0.02070875,0.0210605,0.02474175,1000,0.027235,0.065248,0.030252795,0.004211406079799833,0.0280905,0.028541,0.0316885,1000,0.421814,2.397419,0.526901159,0.15174054343645182,0.453473,0.4873075,0.57961875,1000,0.084655,0.223407,0.100270131,0.017024015561959493,0.08749425,0.0914565,0.1102255,1000,0.02471,0.074609,0.029036773000000002,0.005799876752265604,0.0256265,0.026267,0.03157425,1000,0.037832,0.136321,0.044846921000000005,0.009646249825230477,0.0385905,0.0398185,0.04987025,1000,0.005243,0.029978,0.006537810999999999,0.0021195442763195585,0.005475,0.0056105,0.00695125,1000,0.015859,0.055079,0.019050038000000002,0.004098793413500612,0.01645875,0.017248,0.02052425,1000,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
BilateralLagrangianConstraint_PGS,0.041442,1.671914,0.107975466,0.1198461870675444,0.0526435,0.09362,0.1245775,1000,0.126471,0.288751,0.144356266,0.018760341883111938,0.12994225,0.135002,0.155374,1000,0.001889,0.026559,0.0025972572500000003,0.0011669409582632866,0.002081,0.0022065,0.002993,4000,0.003969,0.024573,0.005080105499999999,0.0015878307206279106,0.00425,0.004439,0.00571925,4000,0.000362,0.017582,0.00066435725,0.0005948139764854534,0.000457,0.000511,0.00091025,4000,0.000362,0.017582,0.00066435725,0.0005948139764854534,0.000457,0.000511,0.00091025,4000,0.020148,0.058564,0.023426047,0.004737025491887393,0.0206885,0.021099,0.02521675,1000,0.027123,0.068322,0.03049557,0.00488722684813177,0.028138,0.0285645,0.031783,1000,0.418306,2.398156,0.526990595,0.15136531229373848,0.451615,0.487156,0.5805865,1000,0.084653,0.225172,0.100878589,0.0172023744370386,0.08798825,0.0920015,0.1116385,1000,0.024759,0.069857,0.029173508,0.005932313239869923,0.0256835,0.0264135,0.03154075,1000,0.037683,0.143206,0.044894656000000005,0.009269375646701564,0.0386755,0.0412285,0.05003275,1000,0.005218,0.032414,0.006770495,0.00255164227468801,0.00553675,0.0059705,0.00703025,1000,0.015985,0.061215,0.019501615,0.004684105656235243,0.0167105,0.017386,0.02074075,1000,0.0,1.2,0.48,0.5878775382679627,0.0,0.0,1.2,5
BilateralLagrangianConstraint_UGS,0.034831,1.746854,0.078890529,0.11628672538376492,0.05215275,0.0664965,0.07849175,1000,0.127348,0.279397,0.137331809,0.01435395190435439,0.129968,0.1327315,0.135668,1000,0.001933,0.020813,0.0024529545,0.0011915587840848432,0.00206275,0.002141,0.00291125,4000,0.004007,0.054819,0.0048944215,0.0016351113724568582,0.004253,0.004434,0.0055995,4000,0.000361,0.017815,0.00071267525,0.0007579310676357299,0.000465,0.000514,0.00096125,4000,0.000361,0.017815,0.00071267525,0.0007579310676357299,0.000465,0.000514,0.00096125,4000,0.020251,0.059963,0.022181265999999998,0.004092361110806816,0.02072375,0.02099,0.022102,1000,0.02739,0.066812,0.029185734,0.004581993720122716,0.02786375,0.028048,0.02831325,1000,0.435518,2.446458,0.502147093,0.1383195856066897,0.4622235,0.484335,0.5085715,1000,0.096537,0.233118,0.121485918,0.01790790675090967,0.10837225,0.118489,0.12634575,1000,0.024832,0.061817,0.027333008000000002,0.00510489269367496,0.02559075,0.025851,0.02619725,1000,0.042863,0.113566,0.046601026,0.008188217651682447,0.04341425,0.043823,0.04478725,1000,0.008677,0.081094,0.028164701,0.01073052698042361,0.0194265,0.029041,0.0337285,1000,0.016296,0.051767,0.018577554,0.004459127329319494,0.01680175,0.017006,0.01757975,1000,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
FrictionContact_LCP_with_friction,0.026324,1.444053,0.084041869,0.09592025936104343,0.07507175,0.075811,0.07807025,1000,0.040091,0.135004,0.05330935,0.008975111198614756,0.051345,0.0517185,0.0523465,1000,0.002854,0.071645,0.004350333,0.0024861299720873404,0.00410175,0.0041855,0.00425325,1000,0.005737,0.037497,0.007835314999999999,0.0023016982043211056,0.007453,0.0075595,0.007666,1000,0.00082,0.014393,0.001152511,0.0008416857572033639,0.000979,0.001009,0.001041,1000,0.00082,0.014393,0.001152511,0.0008416857572033639,0.000979,0.001009,0.001041,1000,0.006147,0.037622,0.009445275,0.002312360176394456,0.0091825,0.009292,0.009442,1000,0.011234,0.046597,0.01420777,0.0026624993282816055,0.01374625,0.0138925,0.01405425,1000,0.14195,1.704297,0.243009875,0.10710919684970743,0.2324635,0.235216,0.24966175,1000,0.011961,0.096665,0.03769816,0.010684117480653232,0.0378195,0.038301,0.04008275,1000,0.00196,0.018356,0.003061865,0.0011530946599369021,0.002829,0.0029245,0.003011,1000,0.006764,0.051303,0.016211885,0.004646814021862183,0.015907,0.016074,0.01652075,1000,0.001561,0.056825,0.016383257,0.0064636488656911895,0.017205,0.017473,0.01766425,1000,0.00097,0.021634,0.0015119649999999999,0.0012173392508972182,0.001287,0.001322,0.001365,1000,0.0,1.2,0.48,0.5878775382679627,0.0,0.0,1.2,5
FrictionContact_LCP_without_friction,0.040189,1.517173,0.09901756299999999,0.09740715494430596,0.07534125,0.103304,0.104799,1000,0.04077,0.112794,0.053797792000000004,0.008527498853868934,0.05150175,0.0519335,0.05268025,1000,0.002882,0.022133,0.004324502,0.001503242722249471,0.00410075,0.0041715,0.004244,1000,0.005706,0.025241,0.007845866,0.0021223345132292412,0.00739975,0.0075665,0.0077175,1000,0.000777,0.014915,0.001152003,0.0008565819464540448,0.000975,0.001005,0.00104,1000,0.000777,0.014915,0.001152003,0.0008565819464540448,0.000975,0.001005,0.00104,1000,0.006181,0.037495,0.009481204,0.0024726919533949233,0.009198,0.009325,0.009473,1000,0.011308,0.046023,0.014269968000000001,0.0029807589870662135,0.013706,0.0138395,0.013986,1000,0.142831,1.754129,0.249309679,0.10754842249485559,0.221247,0.2514305,0.2569225,1000,0.012146,0.104859,0.027684798,0.007480375098830004,0.024859,0.0287735,0.029374,1000,0.001991,0.019191,0.003086817,0.0012529801935828833,0.00285275,0.0029205,0.003,1000,0.006959,0.052155,0.015129959,0.004352323015507811,0.0142855,0.015059,0.0153345,1000,0.001647,0.085944,0.007520683,0.003920144684384876,0.005856,0.008924,0.009159,1000,0.000964,0.016261,0.0014691069999999999,0.0010266590152290095,0.001245,0.001307,0.001365,1000,0.0,1.2,0.48,0.5878775382679627,0.0,0.0,1.2,5
FixedProjectiveConstraint,0.008399,0.142234,0.010118138,0.00856522696704273,0.00879175,0.008973,0.009423,1000,1.100391,1.339606,1.155152237,0.04754898216488794,1.1189265,1.1369375,1.1774485,1000,0.066984,0.116349,0.070030137,0.006821260659601786,0.067457,0.067617,0.07083975,1000,0.03717,0.08011,0.040451452,0.005732164347756963,0.0375705,0.037896,0.0414845,1000,0.000661,0.012388,0.000943075,0.0007117258709468134,0.00079,0.000821,0.00086,1000,0.987237,1.198568,1.03560682,0.04357670196790482,0.9993065,1.0199355,1.05788425,1000,0.002655,0.015967,0.0030402869999999996,0.0008640568815946089,0.002834,0.002894,0.002966,1000,0.00858,0.035371,0.009302620999999999,0.0019161824640046678,0.00885075,0.008962,0.00909825,1000,1.133356,1.548635,1.191482524,0.05086648201495189,1.15488325,1.1723255,1.214665,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
FEMBAR_EigenSimplicialLDLT,0.000285,0.021487,0.00042471800000000004,0.0008216569286971297,0.00032,0.000336,0.000357,1000,2.568768,5.218509,2.643471259,0.199863032192399,2.593304,2.6191155,2.64213525,1000,0.051888,0.103469,0.053757697,0.005169765921508536,0.0522165,0.052474,0.05282625,1000,0.043861,0.081814,0.045311398999999995,0.004158811021409725,0.044201,0.044384,0.04460625,1000,0.695786,2.198092,0.7219480659999999,0.10044036438497046,0.7023595,0.7061165,0.72866125,1000,1.763139,2.904461,1.8144401270000001,0.11392359001786623,1.7790485,1.797261,1.8187645,1000,0.001147,0.013799,0.001504728,0.0009188115476070161,0.00128,0.001336,0.001393,1000,0.006055,0.027652,0.006784961,0.001411932792833639,0.006389,0.006513,0.006704,1000,2.585561,5.271615,2.662015846,0.20224312923335686,2.61120275,2.638079,2.66020025,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1.2,0.48,0.5878775382679627,0.0,0.0,1.2,5
FEMBAR_EigenSimplicialLLT,0.000281,0.009858,0.000401781,0.0004700801346993935,0.00032,0.000336,0.000364,1000,2.61762,5.15464,2.7090884500000003,0.1921041197969255,2.6620675,2.68127,2.71063825,1000,0.05094,0.100206,0.054960480000000006,0.005835994437591592,0.05246025,0.053016,0.0565645,1000,0.043029,0.085799,0.046368239,0.005288457656621541,0.044361,0.0447445,0.04726225,1000,0.695661,2.061005,0.728540422,0.09078649176742054,0.70343825,0.719773,0.733965,1000,1.80734,2.977295,1.871361676,0.11599485932182953,1.83434725,1.850933,1.8759545,1000,0.001142,0.019886,0.001453672,0.0009147431477830267,0.001252,0.001295,0.001353,1000,0.00593,0.020536,0.006654413,0.0012700388546934302,0.006268,0.006419,0.00660625,1000,2.634561,5.214116,2.7270928280000004,0.19446449039687533,2.679133,2.698842,2.7287845,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
FEMBAR_EigenSparseLU,0.000306,0.010452,0.00044904,0.0005881867121926505,0.000343,0.000363,0.000409,1000,3.348103,6.085221,3.474505326,0.20703941775632417,3.41968125,3.445639,3.47844975,1000,0.052849,0.104732,0.056810859,0.006839255260415348,0.05413525,0.0548445,0.056009,1000,0.044596,0.085592,0.046960202,0.005266646681446934,0.04517575,0.045604,0.0460925,1000,0.701666,1.986153,0.732715022,0.08946469318400146,0.7089965,0.726143,0.7398765,1000,2.530559,3.947676,2.628241459,0.13024533040124825,2.586767,2.6066355,2.635083,1000,0.001312,0.022462,0.0019485499999999998,0.0014146559883943517,0.001619,0.001722,0.00182275,1000,0.006995,0.028712,0.00818455,0.0020391213385916986,0.0075475,0.007786,0.00808025,1000,3.368307,6.138219,3.496381107,0.20966105445585634,3.44064675,3.4667845,3.4999965,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1.2,0.24,0.48,0.0,0.0,0.0,5
