SceneName,CollisionDetection_min,CollisionDetection_max,CollisionDetection_mean,CollisionDetection_std,CollisionDetection_quartile1,CollisionDetection_quartile2,CollisionDetection_quartile3,CollisionDetection_cardinality,ODESolve_min,ODESolve_max,ODESolve_mean,ODESolve_std,ODESolve_quartile1,ODESolve_quartile2,ODESolve_quartile3,ODESolve_cardinality,ComputeForce_min,ComputeForce_max,ComputeForce_mean,ComputeForce_std,ComputeForce_quartile1,ComputeForce_quartile2,ComputeForce_quartile3,ComputeForce_cardinality,ComputeRHTerm_min,ComputeRHTerm_max,ComputeRHTerm_mean,ComputeRHTerm_std,ComputeRHTerm_quartile1,ComputeRHTerm_quartile2,ComputeRHTerm_quartile3,ComputeRHTerm_cardinality,setSystemMBKMatrix_min,setSystemMBKMatrix_max,setSystemMBKMatrix_mean,setSystemMBKMatrix_std,setSystemMBKMatrix_quartile1,setSystemMBKMatrix_quartile2,setSystemMBKMatrix_quartile3,setSystemMBKMatrix_cardinality,MBKSolve_min,MBKSolve_max,MBKSolve_mean,MBKSolve_std,MBKSolve_quartile1,MBKSolve_quartile2,MBKSolve_quartile3,MBKSolve_cardinality,ProjectAndMechaMap_min,ProjectAndMechaMap_max,ProjectAndMechaMap_mean,ProjectAndMechaMap_std,ProjectAndMechaMap_quartile1,ProjectAndMechaMap_quartile2,ProjectAndMechaMap_quartile3,ProjectAndMechaMap_cardinality,UpdateBBox_min,UpdateBBox_max,UpdateBBox_mean,UpdateBBox_std,UpdateBBox_quartile1,UpdateBBox_quartile2,UpdateBBox_quartile3,UpdateBBox_cardinality,TimeStep_min,TimeStep_max,TimeStep_mean,TimeStep_std,TimeStep_quartile1,TimeStep_quartile2,TimeStep_quartile3,TimeStep_cardinality,SolveConstraint_min,SolveConstraint_max,SolveConstraint_mean,SolveConstraint_std,SolveConstraint_quartile1,SolveConstraint_quartile2,SolveConstraint_quartile3,SolveConstraint_cardinality,PrepareState_min,PrepareState_max,PrepareState_mean,PrepareState_std,PrepareState_quartile1,PrepareState_quartile2,PrepareState_quartile3,PrepareState_cardinality,BuildSystem_min,BuildSystem_max,BuildSystem_mean,BuildSystem_std,BuildSystem_quartile1,BuildSystem_quartile2,BuildSystem_quartile3,BuildSystem_cardinality,SolveSystem_min,SolveSystem_max,SolveSystem_mean,SolveSystem_std,SolveSystem_quartile1,SolveSystem_quartile2,SolveSystem_quartile3,SolveSystem_cardinality,ApplyCorrection_min,ApplyCorrection_max,ApplyCorrection_mean,ApplyCorrection_std,ApplyCorrection_quartile1,ApplyCorrection_quartile2,ApplyCorrection_quartile3,ApplyCorrection_cardinality,CPUUsage_min,CPUUsage_max,CPUUsage_mean,CPUUsage_std,CPUUsage_quartile1,CPUUsage_quartile2,CPUUsage_quartile3,CPUUsage_cardinality
fallingBeamLagrangianCollision,0.320362,0.41048,0.33858627843137257,0.010884172726582568,0.3316765,0.337454,0.3435365,255,11.788813,13.366538,12.338027427450982,0.2612656222426458,12.192936,12.306984,12.5538,255,0.286917,0.428546,0.3052392862745098,0.014855320720279338,0.2944895,0.306011,0.310458,255,0.137713,0.208711,0.15983979999999998,0.016528893139554853,0.139631,0.169657,0.172287,255,3.584081,4.114338,3.673333898039216,0.07649108848526208,3.61607,3.649547,3.7150745,255,3.584081,4.114338,3.673333898039216,0.07649108848526208,3.61607,3.649547,3.7150745,255,0.025547,0.054339,0.028823850980392154,0.003006166564428404,0.026676,0.028881,0.0299225,255,0.05201,0.094902,0.05557412549019608,0.0036205724225051973,0.0532,0.056016,0.056714,255,40.035238,64.905531,47.461237086274515,2.1170358597144965,47.646077,47.994009,48.2871685,255,27.232533,52.100526,34.58460528627451,2.152930751820905,35.04295,35.215438,35.3099935,255,0.020586,0.042803,0.02252041568627451,0.0019232774273357026,0.021746,0.022272,0.0227405,255,21.836516,36.44546,22.06668074117647,0.9796215224333242,21.9297485,21.974941,22.029669,255,4.888415,15.227605,12.078689329411766,1.7989826961663316,12.690171,12.794868,12.8606485,255,0.399111,0.514615,0.4147783647058823,0.01326898301126594,0.4062845,0.411561,0.4174225,255,0.0,1.2,0.48,0.5878775382679627,0.0,0.0,1.2,5
SofaScene,9.081403,32.139112,9.428917659259259,0.667876419552929,9.2523515,9.310409,9.4973595,1755,8.852064,31.758567,9.142571034188034,0.6630452553878021,8.970771,9.025637,9.208722,1755,0.004725,1.02846,0.16831880303893637,0.16362887264555664,0.0289985,0.1246075,0.26558625,10530,0.006092,0.452406,0.0729526118708452,0.06984560410287267,0.0144905,0.063246,0.102298,10530,0.036655,15.689675,1.1469244584045586,1.1965366545273077,0.089858,0.9188975,1.693035,10530,0.036655,15.689675,1.1469244584045586,1.1965366545273077,0.089858,0.9188975,1.693035,10530,0.093631,0.489661,0.10653934928774929,0.014351809961892318,0.0994375,0.102458,0.110466,1755,0.128252,0.538249,0.14104973276353275,0.014910453688253531,0.134641,0.136855,0.141873,1755,24.120341,58.835009,31.17164806096866,3.8904960470148797,28.618125,30.634853,33.0697475,1755,14.298503,48.792678,21.172083754985753,3.7643512067980156,18.6924465,20.645144,23.069322,1755,0.074956,0.329091,0.08458114301994302,0.010776834680539644,0.079693,0.082224,0.0847405,1755,13.463578,47.65945,20.320935496866095,3.6754426496765036,17.893274,19.804133,22.215851,1755,0.105485,0.903548,0.2620297310541311,0.10608227040099963,0.203663,0.235717,0.2884475,1755,0.439534,2.140769,0.5021802341880341,0.04998796896045397,0.48212,0.498824,0.5157745,1755,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
BilateralLagrangianConstraint_NNCG,0.03483,1.703387,0.090727727,0.1192029514773962,0.0380485,0.077002,0.1066955,1000,0.194884,0.326397,0.215987848,0.020599956778762814,0.200483,0.2054515,0.232001,1000,0.001895,0.022435,0.002643014,0.000928831487302191,0.002119,0.002255,0.003028,4000,0.004132,0.026406,0.005180741,0.0013355614214325751,0.004401,0.004561,0.005769,4000,0.015096,0.05655,0.018009048750000003,0.002616677856247008,0.01597775,0.017062,0.019387,4000,0.015096,0.05655,0.018009048750000003,0.002616677856247008,0.01597775,0.017062,0.019387,4000,0.019928,0.04722,0.022596847000000003,0.00310178841567103,0.020533,0.0208265,0.024458,1000,0.025851,0.06399,0.028017852,0.0030349990273632705,0.02644175,0.026776,0.02911525,1000,0.48649,2.476071,0.590055784,0.1519417399947406,0.50717875,0.548924,0.65663075,1000,0.089193,0.262257,0.10606264200000001,0.016935088227282315,0.09412425,0.098382,0.116776,1000,0.025232,0.175984,0.029553741,0.006678584920768695,0.0262765,0.0271905,0.0319175,1000,0.040935,0.160821,0.048783797,0.00925754901352356,0.0425795,0.0453825,0.0542735,1000,0.006173,0.02441,0.0075682150000000005,0.0016981113422785325,0.006509,0.0067095,0.0081315,1000,0.016227,0.051125,0.019607328,0.0032776005712130333,0.01723275,0.0180885,0.02114,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
BilateralLagrangianConstraint_PGS,0.026595,1.688287,0.089977904,0.11898760384174809,0.0373155,0.076895,0.106811,1000,0.194343,0.306639,0.21553234899999998,0.020410929697669312,0.20000175,0.2050515,0.230652,1000,0.001989,0.011856,0.0026326345,0.0007283759725648218,0.00213975,0.002258,0.0030275,4000,0.004106,0.022503,0.0051563845,0.001250591511109743,0.004369,0.0045205,0.0057645,4000,0.01504,0.046838,0.018045970249999998,0.002499618376945756,0.015995,0.017139,0.019487,4000,0.01504,0.046838,0.018045970249999998,0.002499618376945756,0.015995,0.017139,0.019487,4000,0.019921,0.048192,0.022490569,0.002935344820500481,0.020434,0.020698,0.0243855,1000,0.025925,0.087967,0.028219568,0.003710795823994632,0.026415,0.026723,0.02965075,1000,0.482612,2.393602,0.588117978,0.1511784922518197,0.5002235,0.5467905,0.65566675,1000,0.089446,0.195609,0.10475602,0.016032678698321128,0.092931,0.096777,0.11618225,1000,0.025229,0.06421,0.028982116999999998,0.004533504383951889,0.02597675,0.026791,0.03187475,1000,0.040897,0.107891,0.048247733999999994,0.008650148490358072,0.042045,0.0447465,0.05325475,1000,0.006077,0.037736,0.0075698829999999995,0.0020031209971719133,0.006363,0.0068345,0.00803,1000,0.016401,0.078028,0.019411526999999998,0.0038795192108392763,0.01701775,0.0176755,0.0209975,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
BilateralLagrangianConstraint_UGS,0.02982,1.600655,0.062445,0.11269626968740358,0.037378,0.050874,0.0619285,1000,0.195674,0.343064,0.207453412,0.014256841612021086,0.2007655,0.203842,0.207735,1000,0.001947,0.023395,0.0024992305,0.0009687363198361823,0.002102,0.002189,0.002964,4000,0.00414,0.030303,0.004944288749999999,0.0011601613417423619,0.004371,0.004504,0.005678,4000,0.015056,0.050466,0.0174755485,0.002369672024700412,0.015893,0.0167355,0.01915425,4000,0.015056,0.050466,0.0174755485,0.002369672024700412,0.015893,0.0167355,0.01915425,4000,0.020036,0.056777,0.021154532,0.0025042183652740826,0.020487,0.02063,0.020805,1000,0.02568,0.058195,0.027177635999999998,0.0023513626835314026,0.02629375,0.02653,0.026899,1000,0.504509,2.329937,0.5638101609999999,0.13562562981530105,0.520679,0.548679,0.567569,1000,0.101821,0.225398,0.125218766,0.0161393352225934,0.11368075,0.124117,0.130491,1000,0.02512,0.053042,0.026889378000000002,0.0029047015738481643,0.025917,0.026253,0.026648,1000,0.046262,0.109216,0.049796167,0.006533478649931521,0.04746425,0.047894,0.0490615,1000,0.009456,0.082883,0.029650565,0.010342360004552877,0.02112175,0.0309225,0.03568075,1000,0.016725,0.042741,0.018342459999999998,0.0023714401410113643,0.017251,0.0174525,0.01799225,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
FrictionContact_LCP_with_friction,0.030086,1.504431,0.07569375,0.09744130550145302,0.06890825,0.0695265,0.07052625,1000,0.060097,0.135918,0.078509294,0.008413294818414721,0.0775815,0.0783295,0.07964875,1000,0.002919,0.021611,0.004217937,0.0008952769521388341,0.00416275,0.004244,0.00431625,1000,0.005775,0.025397,0.007566338,0.0012295143682592735,0.007509,0.007577,0.00764625,1000,0.01919,0.065473,0.025833705999999998,0.0035367853652100516,0.02568875,0.025907,0.026129,1000,0.01919,0.065473,0.025833705999999998,0.0035367853652100516,0.02568875,0.025907,0.026129,1000,0.006231,0.033759,0.009472754000000002,0.0014949896004601505,0.009463,0.0095975,0.009797,1000,0.010096,0.042447,0.012442575,0.0018090663454873623,0.0122605,0.0123835,0.012495,1000,0.159208,1.768922,0.262126968,0.10727058085600626,0.25733125,0.2601985,0.2631115,1000,0.012881,0.107403,0.039165784,0.010229296849996287,0.0400985,0.0405715,0.0414495,1000,0.001966,0.019555,0.0030331729999999997,0.0008228262484091038,0.002928,0.003003,0.00308925,1000,0.007283,0.067124,0.017493072,0.004447950847392089,0.01752775,0.0177125,0.0179045,1000,0.001898,0.056481,0.016402285,0.006188887993636255,0.0176875,0.0179155,0.018041,1000,0.000984,0.008135,0.001489203,0.0006816761898372276,0.001352,0.001389,0.00143425,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
FrictionContact_LCP_without_friction,0.029619,1.519552,0.090478104,0.09697545940913704,0.069404,0.0963925,0.098671,1000,0.059834,0.135557,0.077983535,0.007941822848362649,0.0774565,0.077955,0.07863975,1000,0.002925,0.021665,0.004222906,0.0009856150583082627,0.00417075,0.00423,0.00429225,1000,0.005715,0.023376,0.007560967,0.0011700640247059133,0.00747475,0.0075645,0.0076575,1000,0.01916,0.081681,0.025653639,0.003333460867128786,0.02555575,0.025853,0.026108,1000,0.01916,0.081681,0.025653639,0.003333460867128786,0.02555575,0.025853,0.026108,1000,0.006266,0.037344,0.009369597,0.0017500328444320693,0.00933,0.0094565,0.00961825,1000,0.009991,0.035138,0.012335872,0.0015448178797567045,0.01222,0.012313,0.01240225,1000,0.158151,1.788493,0.265884321,0.10680423685821626,0.2451935,0.2750485,0.28003975,1000,0.012578,0.061529,0.029067616,0.006241086755729647,0.02694375,0.0309925,0.031612,1000,0.001974,0.012341,0.002980243,0.0006030706724348316,0.002913,0.002972,0.003034,1000,0.007176,0.037981,0.01609343,0.0035557543485314055,0.01576375,0.016499,0.01685625,1000,0.001863,0.016732,0.007869509,0.002704766596569656,0.00639875,0.0095455,0.00987525,1000,0.000997,0.007569,0.001424018,0.0006299338565881341,0.001273,0.00133,0.001379,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
FixedProjectiveConstraint,0.005359,0.134637,0.006522974,0.0086332500177699,0.00563975,0.005802,0.005945,1000,1.122639,1.834013,1.163579173,0.04541003188383675,1.129615,1.148424,1.1824095,1000,0.066949,0.116455,0.06915326200000001,0.004579978919095153,0.067374,0.0678425,0.06972225,1000,0.037401,0.077136,0.039827861,0.00354262197498957,0.03809675,0.038297,0.04102925,1000,0.01537,0.037569,0.016241065,0.0016724723647268435,0.0157785,0.0159555,0.01614425,1000,0.989552,1.624211,1.030229595,0.041409442772113884,0.9983055,1.016451,1.0483465,1000,0.002739,0.016876,0.003106956,0.0007682569804850458,0.00295775,0.003033,0.003115,1000,0.01112,0.032598,0.011700886,0.0012883673517300879,0.011378,0.011499,0.01167025,1000,1.15793,1.89432,1.201817385,0.049442592373668826,1.1677135,1.184883,1.22123575,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
FEMBAR_EigenSimplicialLDLT,0.000282,0.001048,0.00034969099999999996,7.513813624917775e-05,0.000317,0.00033,0.000351,1000,2.471759,4.909161,2.536589637,0.1931589695444538,2.48297975,2.497818,2.52606,1000,0.05146,0.127326,0.054190189,0.006052487718887086,0.052242,0.05287,0.0532515,1000,0.043181,0.086098,0.046107245000000005,0.004301278612340172,0.0448265,0.045192,0.0461425,1000,0.691162,2.092629,0.717868772,0.09674252421059736,0.6986785,0.706387,0.71262125,1000,1.670207,2.676674,1.710500608,0.1111378314132786,1.6762465,1.6806725,1.69906475,1000,0.001258,0.016477,0.001504507,0.0006626706300651931,0.00135775,0.001403,0.001476,1000,0.012094,0.032706,0.012974293,0.001983827060797135,0.012389,0.012518,0.01271625,1000,2.495465,4.969304,2.563011783,0.1963521227677967,2.5073785,2.523027,2.55139325,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1.2,0.48,0.5878775382679627,0.0,0.0,1.2,5
FEMBAR_EigenSimplicialLLT,0.000288,0.002684,0.000349149,8.768024178228525e-05,0.000323,0.000337,0.00035825,1000,2.607462,4.87375,2.6656029219999997,0.17581593081326252,2.61909275,2.634255,2.660972,1000,0.051916,0.096939,0.054046749000000005,0.003754547567417278,0.05220175,0.0526105,0.0552825,1000,0.044429,0.086943,0.046337794,0.0039575131226016165,0.04487875,0.045219,0.04737825,1000,0.689672,1.96387,0.710336644,0.08614690207338431,0.69567675,0.6989355,0.70567775,1000,1.808549,2.82114,1.847360704,0.10450785841528083,1.81542475,1.8205255,1.84320625,1000,0.001233,0.00279,0.001447871,0.00015038889041082788,0.001343,0.0014105,0.001514,1000,0.01194,0.022898,0.012414445999999999,0.0008485234628953992,0.01217,0.012259,0.012401,1000,2.630635,4.929871,2.690976542,0.17802036347026776,2.64375325,2.659626,2.68584525,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
