SceneName,CollisionDetection_min,CollisionDetection_max,CollisionDetection_mean,CollisionDetection_std,CollisionDetection_quartile1,CollisionDetection_quartile2,CollisionDetection_quartile3,CollisionDetection_cardinality,ODESolve_min,ODESolve_max,ODESolve_mean,ODESolve_std,ODESolve_quartile1,ODESolve_quartile2,ODESolve_quartile3,ODESolve_cardinality,ComputeForce_min,ComputeForce_max,ComputeForce_mean,ComputeForce_std,ComputeForce_quartile1,ComputeForce_quartile2,ComputeForce_quartile3,ComputeForce_cardinality,ComputeRHTerm_min,ComputeRHTerm_max,ComputeRHTerm_mean,ComputeRHTerm_std,ComputeRHTerm_quartile1,ComputeRHTerm_quartile2,ComputeRHTerm_quartile3,ComputeRHTerm_cardinality,setSystemMBKMatrix_min,setSystemMBKMatrix_max,setSystemMBKMatrix_mean,setSystemMBKMatrix_std,setSystemMBKMatrix_quartile1,setSystemMBKMatrix_quartile2,setSystemMBKMatrix_quartile3,setSystemMBKMatrix_cardinality,MBKSolve_min,MBKSolve_max,MBKSolve_mean,MBKSolve_std,MBKSolve_quartile1,MBKSolve_quartile2,MBKSolve_quartile3,MBKSolve_cardinality,ProjectAndMechaMap_min,ProjectAndMechaMap_max,ProjectAndMechaMap_mean,ProjectAndMechaMap_std,ProjectAndMechaMap_quartile1,ProjectAndMechaMap_quartile2,ProjectAndMechaMap_quartile3,ProjectAndMechaMap_cardinality,UpdateBBox_min,UpdateBBox_max,UpdateBBox_mean,UpdateBBox_std,UpdateBBox_quartile1,UpdateBBox_quartile2,UpdateBBox_quartile3,UpdateBBox_cardinality,TimeStep_min,TimeStep_max,TimeStep_mean,TimeStep_std,TimeStep_quartile1,TimeStep_quartile2,TimeStep_quartile3,TimeStep_cardinality,SolveConstraint_min,SolveConstraint_max,SolveConstraint_mean,SolveConstraint_std,SolveConstraint_quartile1,SolveConstraint_quartile2,SolveConstraint_quartile3,SolveConstraint_cardinality,PrepareState_min,PrepareState_max,PrepareState_mean,PrepareState_std,PrepareState_quartile1,PrepareState_quartile2,PrepareState_quartile3,PrepareState_cardinality,BuildSystem_min,BuildSystem_max,BuildSystem_mean,BuildSystem_std,BuildSystem_quartile1,BuildSystem_quartile2,BuildSystem_quartile3,BuildSystem_cardinality,SolveSystem_min,SolveSystem_max,SolveSystem_mean,SolveSystem_std,SolveSystem_quartile1,SolveSystem_quartile2,SolveSystem_quartile3,SolveSystem_cardinality,ApplyCorrection_min,ApplyCorrection_max,ApplyCorrection_mean,ApplyCorrection_std,ApplyCorrection_quartile1,ApplyCorrection_quartile2,ApplyCorrection_quartile3,ApplyCorrection_cardinality,CPUUsage_min,CPUUsage_max,CPUUsage_mean,CPUUsage_std,CPUUsage_quartile1,CPUUsage_quartile2,CPUUsage_quartile3,CPUUsage_cardinality
fallingBeamLagrangianCollision,0.32399,0.725374,0.3409842470588235,0.027830489265526216,0.3304605,0.335946,0.3436585,255,11.744765,15.531766,12.287101035294118,0.41973376533050133,12.1643325,12.264926,12.353858,255,0.284201,0.445213,0.29916749411764704,0.017396559621535853,0.28929,0.292432,0.304131,255,0.136512,0.344096,0.14930185882352942,0.02246517178673513,0.139114,0.140325,0.148368,255,3.564107,4.559637,3.6543903568627454,0.10650833237297752,3.599417,3.641849,3.6741035,255,3.564107,4.559637,3.6543903568627454,0.10650833237297752,3.599417,3.641849,3.6741035,255,0.025949,0.055219,0.028089035294117645,0.0026810981688314187,0.026791,0.027207,0.0284395,255,0.05168,0.097449,0.05482167450980392,0.004840667959897445,0.052923,0.053477,0.0554445,255,40.090814,61.944399,47.66935390980392,2.7785196540831163,47.57949,47.882898,48.1138185,255,27.229611,45.937697,34.85218330588235,2.5507886256278933,35.049637,35.173589,35.285835,255,0.020424,0.038426,0.022325317647058824,0.001761946854677572,0.0215555,0.021955,0.0224545,255,21.816577,31.959951,22.293218419607843,1.5303269712803826,21.8982545,21.932535,21.983122,255,4.895772,14.477713,12.114565603921568,1.802490301811172,12.697918,12.796415,12.860252,255,0.396947,0.643275,0.42001471764705883,0.026683518099151166,0.408285,0.413728,0.42084,255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
SofaScene,8.932317,31.748813,9.42489588945869,1.059488230617102,9.1065345,9.322086,9.5207765,1755,8.638865,31.324063,9.127735116809117,1.0460280613209714,8.812775,9.025406,9.2170305,1755,0.004876,1.520805,0.17448348224121557,0.1701634289642293,0.0298295,0.126994,0.27172225,10530,0.006094,0.809638,0.08408873038936372,0.08173666855003608,0.0159945,0.078175,0.14288225,10530,0.036847,15.736393,1.1717925449192783,1.2332769649920583,0.09627325,0.9951935,1.71637475,10530,0.036847,15.736393,1.1717925449192783,1.2332769649920583,0.09627325,0.9951935,1.71637475,10530,0.094266,0.494295,0.11280477777777778,0.01950071400611624,0.1015935,0.11159,0.119034,1755,0.129365,0.549058,0.1434139641025641,0.020675056927142707,0.134732,0.140807,0.1446115,1755,23.773827,66.697573,31.039438965242166,4.110046951206897,28.48741,30.275192,32.7440175,1755,14.05554,51.556366,21.014704134472932,3.8325846692423355,18.5364355,20.367315,22.8593845,1755,0.074057,0.215216,0.08681847863247863,0.010796600982849961,0.0811405,0.0841,0.088575,1755,13.288673,50.309514,20.152075203418804,3.73746535227692,17.723465,19.537782,21.988011,1755,0.106187,1.562088,0.27242266096866097,0.11224277777504053,0.2093285,0.246772,0.2998,1755,0.428944,2.153085,0.5010218455840456,0.07245110408783262,0.475502,0.495167,0.51609,1755,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
BilateralLagrangianConstraint_NNCG,0.025366,1.716561,0.089925721,0.11940575769164215,0.03691125,0.076179,0.1068,1000,0.194894,0.327868,0.21625717800000002,0.021791173809052048,0.200384,0.204977,0.23278475,1000,0.001937,0.019241,0.00262947325,0.0009036703717531285,0.002109,0.002221,0.003043,4000,0.004131,0.031469,0.0052080435,0.0013180436626332795,0.004415,0.0045795,0.00585425,4000,0.015018,0.050888,0.017920991999999997,0.002802926540588604,0.01596575,0.016932,0.019106,4000,0.015018,0.050888,0.017920991999999997,0.002802926540588604,0.01596575,0.016932,0.019106,4000,0.020241,0.050466,0.022922592000000002,0.003109781283231346,0.0207555,0.0210165,0.0249105,1000,0.025829,0.085261,0.028092097,0.0039814121559555975,0.02629775,0.026621,0.02917875,1000,0.487475,2.43146,0.589997471,0.1529738441542513,0.50161825,0.549212,0.65624725,1000,0.090678,0.254574,0.10471678100000001,0.01628041812617351,0.09298175,0.09694,0.11592975,1000,0.025417,0.069142,0.028819217,0.004623884772992402,0.02599575,0.026462,0.0312485,1000,0.041547,0.195763,0.048414661,0.009761187587587846,0.04239,0.045013,0.0532615,1000,0.006194,0.026809,0.007555278,0.001855819739283964,0.00645275,0.006628,0.00813075,1000,0.016492,0.040702,0.019383295,0.003106623696873344,0.01706225,0.0177475,0.02110475,1000,0.0,1.2,0.48,0.5878775382679627,0.0,0.0,1.2,5
BilateralLagrangianConstraint_PGS,0.021856,1.677033,0.09029211999999999,0.118700388167367,0.037101,0.077341,0.107559,1000,0.193597,0.32706,0.21694653700000002,0.021189331647898452,0.201355,0.2072155,0.230801,1000,0.001946,0.024211,0.0026502939999999997,0.000926763347389181,0.002121,0.002244,0.003055,4000,0.00404,0.035253,0.0052490835,0.0013618694757676852,0.004451,0.0046355,0.005897,4000,0.015011,0.054032,0.01797083775,0.002683146331534107,0.016098,0.0169895,0.01913325,4000,0.015011,0.054032,0.01797083775,0.002683146331534107,0.016098,0.0169895,0.01913325,4000,0.020092,0.052245,0.022882469000000003,0.003298311853515219,0.02067475,0.0210125,0.024718,1000,0.025597,0.058932,0.027899227,0.0025912813014937223,0.02628375,0.0266265,0.0294485,1000,0.485601,2.388009,0.591117923,0.15160764745042074,0.50469375,0.5496925,0.65636375,1000,0.090962,0.189426,0.105551227,0.01595271084798665,0.09352875,0.097243,0.11629175,1000,0.02566,0.062618,0.029358952,0.0046502484733287105,0.0263905,0.0268945,0.0321235,1000,0.041422,0.105695,0.048518527,0.00853907584070261,0.04258275,0.043873,0.053655,1000,0.006004,0.024251,0.007488775,0.0018107193571547746,0.00628775,0.0067585,0.0079945,1000,0.016462,0.048078,0.019623026000000002,0.0035738202530798888,0.01712075,0.01788,0.02119275,1000,0.0,1.2,0.72,0.5878775382679627,0.0,1.2,1.2,5
BilateralLagrangianConstraint_UGS,0.027127,1.653447,0.06261072499999999,0.11525122302307846,0.03712075,0.0505875,0.0620695,1000,0.193829,0.317603,0.20694807,0.013422759937848102,0.2004025,0.2037595,0.2077305,1000,0.001926,0.017329,0.0024525675000000003,0.0007329882130319354,0.002103,0.00217,0.002919,4000,0.004152,0.02551,0.00507511575,0.001142582729325075,0.004477,0.0046595,0.005779,4000,0.014981,0.053034,0.01717329975,0.0024590789395421892,0.015701,0.0163815,0.01877325,4000,0.014981,0.053034,0.01717329975,0.0024590789395421892,0.015701,0.0163815,0.01877325,4000,0.020322,0.061919,0.02140134,0.002743044580461645,0.02074575,0.020877,0.021037,1000,0.025913,0.055852,0.027144452,0.002315711313116555,0.02631875,0.026472,0.026687,1000,0.503145,2.400792,0.563647661,0.13971036729262465,0.520626,0.5491795,0.56473975,1000,0.101411,0.316281,0.125395737,0.0173319869092332,0.11426325,0.123852,0.13068475,1000,0.025122,0.060691,0.026837389,0.003175516494002039,0.0258975,0.0261705,0.02646,1000,0.046726,0.205037,0.049985981,0.008310178497158711,0.0475465,0.048008,0.04912475,1000,0.009264,0.060642,0.029552293,0.010208675737976548,0.0209765,0.0308565,0.03561875,1000,0.016708,0.044041,0.018462654,0.00259497268623082,0.017286,0.017516,0.018066,1000,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
FrictionContact_LCP_with_friction,0.030254,1.501774,0.07476240099999999,0.09460473964840345,0.06847775,0.0690315,0.070189,1000,0.059374,0.131279,0.077927644,0.007880394026903985,0.07723875,0.0781205,0.07897725,1000,0.002869,0.014657,0.004151912999999999,0.0006213428871653719,0.004153,0.004211,0.004265,1000,0.005794,0.025498,0.007730938,0.001277391109314606,0.00757475,0.00775,0.00789,1000,0.018758,0.055662,0.025059636,0.0026855949514965954,0.025094,0.025282,0.025475,1000,0.018758,0.055662,0.025059636,0.0026855949514965954,0.025094,0.025282,0.025475,1000,0.006202,0.018386,0.009322534,0.0011800314007872842,0.0094095,0.0095065,0.009625,1000,0.010156,0.02786,0.012205612999999999,0.0010414064755084828,0.01217,0.012298,0.012402,1000,0.15742,1.76119,0.259932593,0.10433524408399758,0.256066,0.258718,0.2620795,1000,0.012869,0.115693,0.038927348,0.009887779005565204,0.040032,0.040452,0.04144475,1000,0.002068,0.020476,0.0030675010000000003,0.0008314473934044174,0.002964,0.003037,0.00311125,1000,0.007243,0.060226,0.017255817,0.0039437446618044375,0.017428,0.017592,0.01785775,1000,0.001875,0.056275,0.016396523,0.006057139835720404,0.017719,0.0179205,0.018061,1000,0.000946,0.013635,0.00148253,0.0007996252103954702,0.001327,0.001369,0.001415,1000,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
FrictionContact_LCP_without_friction,0.031385,1.527484,0.089973163,0.09787144020172805,0.06892175,0.0959845,0.09846775,1000,0.060011,0.176398,0.078385615,0.009397428807752416,0.07730475,0.0778475,0.078925,1000,0.00292,0.019568,0.004183965,0.0008257504682257224,0.004153,0.0042155,0.004281,1000,0.005955,0.050679,0.007840637,0.0021031216753271786,0.00764175,0.007744,0.00786725,1000,0.018758,0.058206,0.025052453000000002,0.0031364094126550184,0.02495975,0.0251805,0.0254035,1000,0.018758,0.058206,0.025052453000000002,0.0031364094126550184,0.02495975,0.0251805,0.0254035,1000,0.006165,0.034715,0.009394712999999999,0.0017185049224925136,0.009346,0.0094565,0.00957125,1000,0.010112,0.035439,0.012218142,0.0012164693172604067,0.012146,0.012249,0.01236,1000,0.159113,1.793452,0.26606595400000005,0.10879245619292674,0.24484425,0.274736,0.280435,1000,0.012749,0.073201,0.029432787000000002,0.006718181635355731,0.02716475,0.0311905,0.031943,1000,0.00204,0.016165,0.0030401060000000003,0.0006503315975438991,0.002966,0.003029,0.003101,1000,0.007231,0.037838,0.016187357,0.003595147940426235,0.015874,0.016566,0.0168485,1000,0.001931,0.034064,0.00805604,0.00312614690736056,0.0064315,0.0096365,0.00999325,1000,0.00098,0.011031,0.001428941,0.000672169929049939,0.00126475,0.00133,0.001397,1000,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
FixedProjectiveConstraint,0.00513,0.124672,0.006213832000000001,0.008346517747286949,0.005416,0.005544,0.005645,1000,1.118116,1.32177,1.160477634,0.03141908112081007,1.135506,1.151874,1.18474525,1000,0.066791,0.111187,0.068982897,0.0039985537873575,0.067306,0.0675715,0.069688,1000,0.037263,0.076519,0.039354777,0.0028876637552303418,0.0380395,0.038696,0.0400095,1000,0.015116,0.039711,0.016183588,0.0016828080818251379,0.01551575,0.015723,0.016404,1000,0.990338,1.131384,1.027873578,0.028591417571045965,1.0048945,1.0164975,1.05103025,1000,0.002808,0.004985,0.0030489740000000003,0.00018616149796346184,0.00294975,0.003011,0.003115,1000,0.011114,0.036012,0.011670438,0.0012374171083979727,0.011361,0.0115085,0.011696,1000,1.153194,1.508725,1.198309786,0.03513444637597416,1.17268775,1.191186,1.22119575,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1.2,0.48,0.5878775382679627,0.0,0.0,1.2,5
FEMBAR_EigenSimplicialLDLT,0.000281,0.000967,0.00035617200000000003,5.030908880113016e-05,0.000333,0.000349,0.000368,1000,2.57004,4.96675,2.623581533,0.1848963166098149,2.578643,2.5925955,2.61803875,1000,0.051516,0.101762,0.053242355000000005,0.0036168788543404383,0.05205025,0.0525565,0.05285725,1000,0.044394,0.083176,0.045677747000000005,0.003271314113776144,0.04484775,0.045003,0.04523,1000,0.690597,2.094852,0.7129666189999999,0.09727465040140643,0.69656925,0.698898,0.715355,1000,1.768302,2.764697,1.804254956,0.10382261870811228,1.7749865,1.778583,1.797349,1000,0.001192,0.01148,0.00134797,0.0003428851427227491,0.001277,0.001319,0.001366,1000,0.01156,0.022588,0.012252783,0.0007925923087634653,0.0120275,0.01214,0.01225,1000,2.595843,5.026193,2.648900158,0.18720432955222757,2.603358,2.6171055,2.6432855,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1.2,0.72,0.5878775382679627,0.0,1.2,1.2,5
FEMBAR_EigenSimplicialLLT,0.000293,0.001009,0.00038086799999999997,6.588815201536616e-05,0.000335,0.000364,0.000415,1000,2.615188,4.884606,2.671503258,0.17861198978198367,2.628244,2.6390945,2.6653185,1000,0.051758,0.091749,0.054779609,0.003776577575546278,0.05258925,0.05329,0.05622325,1000,0.044413,0.079805,0.046535309000000004,0.0032344821887775174,0.04483,0.045558,0.04763225,1000,0.690023,1.921043,0.709183428,0.08609446225256777,0.69623275,0.69831,0.70344225,1000,1.812304,2.852016,1.8533466399999998,0.10603618979842871,1.8238195,1.8303375,1.8496725,1000,0.001186,0.020167,0.001448619,0.0006939457340736378,0.00132575,0.001383,0.001467,1000,0.011725,0.023628,0.012372272,0.0009653534295873197,0.01207175,0.012203,0.012383,1000,2.639328,4.941933,2.696961547,0.18078259243638417,2.652829,2.664714,2.691884,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1.2,0.24,0.48,0.0,0.0,0.0,5
