SceneName,CollisionDetection_min,CollisionDetection_max,CollisionDetection_mean,CollisionDetection_std,CollisionDetection_quartile1,CollisionDetection_quartile2,CollisionDetection_quartile3,CollisionDetection_cardinality,ODESolve_min,ODESolve_max,ODESolve_mean,ODESolve_std,ODESolve_quartile1,ODESolve_quartile2,ODESolve_quartile3,ODESolve_cardinality,ComputeForce_min,ComputeForce_max,ComputeForce_mean,ComputeForce_std,ComputeForce_quartile1,ComputeForce_quartile2,ComputeForce_quartile3,ComputeForce_cardinality,ComputeRHTerm_min,ComputeRHTerm_max,ComputeRHTerm_mean,ComputeRHTerm_std,ComputeRHTerm_quartile1,ComputeRHTerm_quartile2,ComputeRHTerm_quartile3,ComputeRHTerm_cardinality,setSystemMBKMatrix_min,setSystemMBKMatrix_max,setSystemMBKMatrix_mean,setSystemMBKMatrix_std,setSystemMBKMatrix_quartile1,setSystemMBKMatrix_quartile2,setSystemMBKMatrix_quartile3,setSystemMBKMatrix_cardinality,MBKSolve_min,MBKSolve_max,MBKSolve_mean,MBKSolve_std,MBKSolve_quartile1,MBKSolve_quartile2,MBKSolve_quartile3,MBKSolve_cardinality,ProjectAndMechaMap_min,ProjectAndMechaMap_max,ProjectAndMechaMap_mean,ProjectAndMechaMap_std,ProjectAndMechaMap_quartile1,ProjectAndMechaMap_quartile2,ProjectAndMechaMap_quartile3,ProjectAndMechaMap_cardinality,UpdateBBox_min,UpdateBBox_max,UpdateBBox_mean,UpdateBBox_std,UpdateBBox_quartile1,UpdateBBox_quartile2,UpdateBBox_quartile3,UpdateBBox_cardinality,TimeStep_min,TimeStep_max,TimeStep_mean,TimeStep_std,TimeStep_quartile1,TimeStep_quartile2,TimeStep_quartile3,TimeStep_cardinality,SolveConstraint_min,SolveConstraint_max,SolveConstraint_mean,SolveConstraint_std,SolveConstraint_quartile1,SolveConstraint_quartile2,SolveConstraint_quartile3,SolveConstraint_cardinality,PrepareState_min,PrepareState_max,PrepareState_mean,PrepareState_std,PrepareState_quartile1,PrepareState_quartile2,PrepareState_quartile3,PrepareState_cardinality,BuildSystem_min,BuildSystem_max,BuildSystem_mean,BuildSystem_std,BuildSystem_quartile1,BuildSystem_quartile2,BuildSystem_quartile3,BuildSystem_cardinality,SolveSystem_min,SolveSystem_max,SolveSystem_mean,SolveSystem_std,SolveSystem_quartile1,SolveSystem_quartile2,SolveSystem_quartile3,SolveSystem_cardinality,ApplyCorrection_min,ApplyCorrection_max,ApplyCorrection_mean,ApplyCorrection_std,ApplyCorrection_quartile1,ApplyCorrection_quartile2,ApplyCorrection_quartile3,ApplyCorrection_cardinality,CPUUsage_min,CPUUsage_max,CPUUsage_mean,CPUUsage_std,CPUUsage_quartile1,CPUUsage_quartile2,CPUUsage_quartile3,CPUUsage_cardinality
fallingBeamLagrangianCollision,0.333748,0.446118,0.34982772156862746,0.016757402460654765,0.3386825,0.346123,0.3539825,255,11.946529,13.393401,12.433723898039217,0.23861722280055234,12.314708,12.455687,12.5548845,255,0.28334,0.364531,0.2947485882352941,0.011456084539643963,0.2869555,0.29267,0.2987475,255,0.136467,0.250644,0.14800542352941176,0.016785353321467654,0.138255,0.139125,0.145826,255,3.929221,4.243731,4.030859317647059,0.0609973200122075,3.9701235,4.02976,4.075623,255,3.929221,4.243731,4.030859317647059,0.0609973200122075,3.9701235,4.02976,4.075623,255,0.023115,0.044555,0.025249211764705883,0.0021186010113638173,0.0241895,0.024599,0.0255635,255,0.055028,0.094542,0.05784840392156863,0.0036177640767853752,0.056382,0.057063,0.05816,255,40.130354,53.069827,47.41600129411764,1.8016742557675265,47.734243,48.05912,48.2259135,255,27.207952,40.385983,34.44374038039216,1.8293335189137996,35.052923,35.134262,35.210539,255,0.019685,0.040863,0.022160760784313727,0.0023445519028438668,0.0212685,0.021837,0.0223525,255,21.800143,27.3037,21.938639956862744,0.34488569287421533,21.8678385,21.897882,21.948669,255,4.867838,13.13261,12.077707439215686,1.7861620721665403,12.7358105,12.804883,12.850467,255,0.382473,0.47784,0.40286547843137255,0.014120783570664014,0.3942085,0.399737,0.4077955,255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
SofaScene,12.23406,20.128545,13.412127712250712,0.42744757063002975,13.175594,13.288144,13.4665065,1755,11.894995,19.229968,13.074564743589743,0.417016502231957,12.8421115,12.949059,13.1312485,1755,0.00732,0.875412,0.24408864064577396,0.21848044948004064,0.0476345,0.2842145,0.39283475,10530,0.008917,1.888968,0.0974588579297246,0.08175078965991871,0.02189325,0.1118805,0.1539925,10530,0.088242,8.117376,1.9029473454890788,1.942929848394427,0.170259,1.1523465,2.75192325,10530,0.088242,8.117376,1.9029473454890788,1.942929848394427,0.170259,1.1523465,2.75192325,10530,0.093311,0.182295,0.10933769800569801,0.013693296716633585,0.099825,0.103148,0.117468,1755,0.135887,0.216094,0.150303852991453,0.013441998180259642,0.141896,0.144151,0.151575,1755,24.195311,41.20903,29.14584367122507,2.4318022072051724,27.3836335,29.043247,30.939599,1755,10.220756,27.401982,15.139296512820511,2.393543837613192,13.3783905,14.978191,16.9301625,1755,0.074213,0.283586,0.08694463475783476,0.012877609307841327,0.0807065,0.083259,0.0866635,1755,9.437044,26.465433,14.299376192022791,2.306272971825163,12.6023295,14.158662,16.057964,1755,0.103897,0.761029,0.26447899886039883,0.10687419437496595,0.20265,0.238674,0.2917815,1755,0.411658,0.665179,0.4863989623931624,0.031175939558436606,0.46456,0.485175,0.5063945,1755,0.0,1.2,0.48,0.5878775382679627,0.0,0.0,1.2,5
BilateralLagrangianConstraint_NNCG,0.032629,1.712007,0.095323959,0.1212093911844182,0.043695,0.0821945,0.1122075,1000,0.282508,0.676611,0.311791973,0.03156290616664237,0.2909895,0.297252,0.33145225,1000,0.001195,0.01696,0.0018657175,0.0008232253085843208,0.00143,0.001587,0.00225,4000,0.002866,0.032329,0.00383846875,0.0011471607010456024,0.003194,0.003418,0.004367,4000,0.02336,0.109317,0.0262935825,0.004240484780210129,0.02411475,0.0246345,0.02656425,4000,0.02336,0.109317,0.0262935825,0.004240484780210129,0.02411475,0.0246345,0.02656425,4000,0.019925,0.064762,0.022766387,0.003914637077843998,0.02053375,0.0207995,0.024494,1000,0.026991,0.067236,0.029395193,0.002930763430192038,0.02773875,0.0281465,0.03069025,1000,0.580604,2.552426,0.69415169,0.15948170420312763,0.60174075,0.650504,0.7605295,1000,0.091573,0.196762,0.10615093099999999,0.016351030976003898,0.0946115,0.0985195,0.1166055,1000,0.02581,0.064953,0.029735137,0.004662339505466221,0.026885,0.027504,0.03176775,1000,0.041098,0.112397,0.048566635000000004,0.009293532568392656,0.04254675,0.044292,0.052982,1000,0.006216,0.022632,0.007664593,0.0018397327304124913,0.00649875,0.0066785,0.00822225,1000,0.016606,0.048934,0.019580486,0.003412947463967765,0.0174315,0.017962,0.02123325,1000,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
BilateralLagrangianConstraint_PGS,0.036148,1.699638,0.09551758,0.11938693339116975,0.04353125,0.0811505,0.112589,1000,0.283742,0.440374,0.310151546,0.025083119817636005,0.29105425,0.2972975,0.3315165,1000,0.0012,0.022369,0.001859225,0.0008846181466457716,0.001417,0.00158,0.00223,4000,0.002825,0.020947,0.0038064775,0.0009652493522368973,0.003205,0.003412,0.004378,4000,0.023349,0.066338,0.02600900875,0.003386061323377567,0.0240045,0.024516,0.02642525,4000,0.023349,0.066338,0.02600900875,0.003386061323377567,0.0240045,0.024516,0.02642525,4000,0.020227,0.050205,0.022905513,0.0034487224286438305,0.020669,0.020878,0.0247755,1000,0.027047,0.060377,0.029397483,0.0027778566539170086,0.02774975,0.028142,0.03062125,1000,0.584705,2.56221,0.6936516389999999,0.15627599543495693,0.6026975,0.6500975,0.76175225,1000,0.091771,0.21081,0.106102295,0.015700958140889842,0.09479775,0.098311,0.11611875,1000,0.025575,0.054135,0.029398516,0.004313699732682376,0.02651725,0.027122,0.03191025,1000,0.041838,0.112765,0.048845841,0.00879557539287334,0.0428885,0.044067,0.05336225,1000,0.006107,0.018339,0.007593033999999999,0.001553779644236595,0.00644475,0.0069835,0.00818725,1000,0.016861,0.065245,0.019665133999999997,0.003372754287825308,0.017541,0.017985,0.02123025,1000,0.0,1.2,0.48,0.5878775382679627,0.0,0.0,1.2,5
BilateralLagrangianConstraint_UGS,0.038441,1.652767,0.066951736,0.11512234527999464,0.04264725,0.0544675,0.06736275,1000,0.283748,0.458913,0.299442388,0.017139513387183895,0.29105475,0.2947085,0.299718,1000,0.001162,0.023093,0.00176951775,0.0009368077912170338,0.001401,0.001505,0.002181,4000,0.00291,0.021366,0.00368994975,0.0009224104201628132,0.003219,0.003349,0.00430625,4000,0.023048,0.064424,0.025168652750000003,0.0031267963907436374,0.02390775,0.0242035,0.02556125,4000,0.023048,0.064424,0.025168652750000003,0.0031267963907436374,0.02390775,0.0242035,0.02556125,4000,0.020242,0.056096,0.021352395,0.0027377596327974084,0.02062075,0.020738,0.02088925,1000,0.027396,0.04363,0.028355377,0.0015533186063621976,0.02781675,0.0279675,0.028153,1000,0.602754,2.514034,0.66530197,0.13931299073735048,0.6208295,0.6485425,0.668782,1000,0.104032,0.239539,0.127305628,0.016455855361105238,0.11581925,0.1261035,0.1323305,1000,0.026065,0.058436,0.027751912,0.003063638208446944,0.02679475,0.0270805,0.02739125,1000,0.047107,0.111278,0.050452236,0.006768957453131465,0.048121,0.0486475,0.04965,1000,0.009405,0.075777,0.029723484,0.01039258294841778,0.02104475,0.0309925,0.0360395,1000,0.01724,0.040601,0.018793251,0.002294885533528633,0.017792,0.017966,0.0182955,1000,0.0,1.2,0.48,0.5878775382679627,0.0,0.0,1.2,5
FrictionContact_LCP_with_friction,0.037281,1.484358,0.081796174,0.09817917891886101,0.0736475,0.0759355,0.07772475,1000,0.087512,0.234175,0.112332416,0.011836777430151503,0.11137375,0.1120165,0.11318475,1000,0.002154,0.020854,0.003118753,0.0011783470235847333,0.00294275,0.003015,0.003078,1000,0.004355,0.024854,0.005841636999999999,0.0011704018836412558,0.005709,0.0057855,0.005852,1000,0.029106,0.095462,0.037372038999999996,0.004619256578225439,0.0370375,0.037237,0.03769425,1000,0.029106,0.095462,0.037372038999999996,0.004619256578225439,0.0370375,0.037237,0.03769425,1000,0.00637,0.020378,0.009573380999999999,0.001437890458915073,0.009585,0.009681,0.00980975,1000,0.010812,0.030568,0.013074458,0.0014011432283089406,0.012874,0.012995,0.013111,1000,0.190522,1.793778,0.30375191700000004,0.1093611707427829,0.29867125,0.3009855,0.305202,1000,0.012792,0.094216,0.039331994,0.010438428350569063,0.0402055,0.04077,0.04131425,1000,0.002154,0.020807,0.0032137339999999998,0.0009829835477992497,0.003047,0.0031125,0.00318825,1000,0.007182,0.054937,0.017401159,0.004472754831166023,0.01732575,0.0175955,0.017797,1000,0.001846,0.061532,0.016718823,0.006310902785946793,0.017934,0.0181505,0.018315,1000,0.000973,0.00874,0.001465144,0.0006069262700394505,0.001328,0.0013705,0.00142425,1000,0.0,1.2,0.48,0.5878775382679627,0.0,0.0,1.2,5
FrictionContact_LCP_without_friction,0.037009,1.464753,0.09703017,0.09703438465332329,0.07527725,0.103249,0.1070565,1000,0.087818,0.177921,0.111696827,0.010161240832057421,0.110835,0.1117105,0.1131145,1000,0.002122,0.016094,0.003061067,0.00104509456534373,0.002902,0.00297,0.003035,1000,0.004235,0.023306,0.005737277,0.0011163134041437468,0.00556775,0.0056805,0.005818,1000,0.029095,0.069169,0.037303419000000004,0.004020788877003989,0.03700575,0.0373375,0.03776475,1000,0.029095,0.069169,0.037303419000000004,0.004020788877003989,0.03700575,0.0373375,0.03776475,1000,0.006333,0.032601,0.009473169,0.001558720805160116,0.00947875,0.00959,0.009711,1000,0.010816,0.027135,0.013023888999999999,0.001429224778920027,0.01277575,0.0129075,0.01311525,1000,0.190566,1.76443,0.30833724900000004,0.10830958250829423,0.28666225,0.3183765,0.32495625,1000,0.012778,0.077613,0.029316966,0.006750837616832744,0.027136,0.0311715,0.0318745,1000,0.002078,0.018805,0.003225239,0.0009720891820604732,0.003011,0.0031185,0.00324,1000,0.007211,0.041843,0.016028906000000002,0.0037900664533968265,0.01564975,0.016382,0.016725,1000,0.001849,0.020534,0.008084997,0.002859329348114869,0.0064835,0.0098145,0.010046,1000,0.000987,0.010654,0.001461587,0.0007291747338128222,0.001273,0.001351,0.001421,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
FixedProjectiveConstraint,0.006492,0.142424,0.00813448,0.009047164968408612,0.006828,0.0069405,0.007136,1000,1.135897,1.385575,1.177765001,0.040096241771829425,1.14312975,1.1540155,1.21579,1000,0.066516,0.121235,0.068173459,0.00353873214673264,0.06689375,0.0670215,0.06939425,1000,0.036582,0.062717,0.038074186,0.0021807886021813303,0.03709,0.037276,0.0376935,1000,0.022579,0.058467,0.02364827,0.002398497619156625,0.02301275,0.0232175,0.02344525,1000,0.985972,1.164908,1.024294054,0.03715812787021278,0.99226475,0.9970795,1.05607525,1000,0.002724,0.025171,0.003103724,0.0010075844807379676,0.00288,0.0029325,0.002997,1000,0.011417,0.034897,0.011926444,0.0012083702118407254,0.01163,0.0117415,0.011845,1000,1.171847,1.584273,1.216751267,0.04406680459556503,1.18087875,1.193808,1.25374375,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1.2,0.48,0.5878775382679627,0.0,0.0,1.2,5
FEMBAR_EigenSimplicialLDLT,0.000288,0.000966,0.000339179,5.3237251610127283e-05,0.000317,0.000329,0.000347,1000,2.594618,4.97676,2.655279171,0.18308514445605836,2.60973375,2.6211655,2.64563125,1000,0.051644,0.121063,0.054176516,0.0041133795584341595,0.052237,0.0528465,0.05618825,1000,0.044207,0.071076,0.045587517,0.0021127095530884036,0.044635,0.044813,0.0467215,1000,0.701976,2.035838,0.727153027,0.09243349251958552,0.708806,0.715701,0.72751825,1000,1.766713,2.764112,1.803931146,0.10480337603462345,1.77173375,1.7769715,1.79690125,1000,0.00116,0.013501,0.0013903610000000001,0.0005117927966267208,0.0013,0.00135,0.00139925,1000,0.012733,0.032682,0.013513266,0.001284491651683264,0.013139,0.0132995,0.0135025,1000,2.619288,5.036592,2.682107234,0.18545099025982914,2.63603875,2.6478195,2.67269,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1.2,0.96,0.48,1.2,1.2,1.2,5
FEMBAR_EigenSimplicialLLT,0.0003,0.020416,0.000381396,0.0006952464305438755,0.000329,0.00034,0.000355,1000,2.631504,4.993116,2.69002483,0.17851206643619108,2.643618,2.6514265,2.68926025,1000,0.05118,0.091939,0.053474854,0.003353289707538554,0.05227675,0.052761,0.0533995,1000,0.042325,0.086934,0.045089776,0.0033070814292702256,0.0444245,0.044836,0.04514225,1000,0.698834,2.006752,0.718885765,0.0849146743553302,0.704542,0.707098,0.71009375,1000,1.810911,2.817164,1.8482262390000002,0.10612572830979242,1.81675125,1.8197215,1.84753875,1000,0.001224,0.011561,0.001459467,0.0004581444803891017,0.001354,0.00141,0.001487,1000,0.0128,0.033323,0.013471978999999999,0.0011192291823210294,0.013164,0.013297,0.01346125,1000,2.658511,5.05344,2.717136838,0.1810050416101545,2.6700205,2.678435,2.7158845,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
