SceneName,CollisionDetection_min,CollisionDetection_max,CollisionDetection_mean,CollisionDetection_std,CollisionDetection_quartile1,CollisionDetection_quartile2,CollisionDetection_quartile3,CollisionDetection_cardinality,ODESolve_min,ODESolve_max,ODESolve_mean,ODESolve_std,ODESolve_quartile1,ODESolve_quartile2,ODESolve_quartile3,ODESolve_cardinality,ComputeForce_min,ComputeForce_max,ComputeForce_mean,ComputeForce_std,ComputeForce_quartile1,ComputeForce_quartile2,ComputeForce_quartile3,ComputeForce_cardinality,ComputeRHTerm_min,ComputeRHTerm_max,ComputeRHTerm_mean,ComputeRHTerm_std,ComputeRHTerm_quartile1,ComputeRHTerm_quartile2,ComputeRHTerm_quartile3,ComputeRHTerm_cardinality,setSystemMBKMatrix_min,setSystemMBKMatrix_max,setSystemMBKMatrix_mean,setSystemMBKMatrix_std,setSystemMBKMatrix_quartile1,setSystemMBKMatrix_quartile2,setSystemMBKMatrix_quartile3,setSystemMBKMatrix_cardinality,MBKSolve_min,MBKSolve_max,MBKSolve_mean,MBKSolve_std,MBKSolve_quartile1,MBKSolve_quartile2,MBKSolve_quartile3,MBKSolve_cardinality,ProjectAndMechaMap_min,ProjectAndMechaMap_max,ProjectAndMechaMap_mean,ProjectAndMechaMap_std,ProjectAndMechaMap_quartile1,ProjectAndMechaMap_quartile2,ProjectAndMechaMap_quartile3,ProjectAndMechaMap_cardinality,UpdateBBox_min,UpdateBBox_max,UpdateBBox_mean,UpdateBBox_std,UpdateBBox_quartile1,UpdateBBox_quartile2,UpdateBBox_quartile3,UpdateBBox_cardinality,TimeStep_min,TimeStep_max,TimeStep_mean,TimeStep_std,TimeStep_quartile1,TimeStep_quartile2,TimeStep_quartile3,TimeStep_cardinality,SolveConstraint_min,SolveConstraint_max,SolveConstraint_mean,SolveConstraint_std,SolveConstraint_quartile1,SolveConstraint_quartile2,SolveConstraint_quartile3,SolveConstraint_cardinality,PrepareState_min,PrepareState_max,PrepareState_mean,PrepareState_std,PrepareState_quartile1,PrepareState_quartile2,PrepareState_quartile3,PrepareState_cardinality,BuildSystem_min,BuildSystem_max,BuildSystem_mean,BuildSystem_std,BuildSystem_quartile1,BuildSystem_quartile2,BuildSystem_quartile3,BuildSystem_cardinality,SolveSystem_min,SolveSystem_max,SolveSystem_mean,SolveSystem_std,SolveSystem_quartile1,SolveSystem_quartile2,SolveSystem_quartile3,SolveSystem_cardinality,ApplyCorrection_min,ApplyCorrection_max,ApplyCorrection_mean,ApplyCorrection_std,ApplyCorrection_quartile1,ApplyCorrection_quartile2,ApplyCorrection_quartile3,ApplyCorrection_cardinality,CPUUsage_min,CPUUsage_max,CPUUsage_mean,CPUUsage_std,CPUUsage_quartile1,CPUUsage_quartile2,CPUUsage_quartile3,CPUUsage_cardinality
fallingBeamLagrangianCollision,0.320303,0.407061,0.3362074392156863,0.01212098211784867,0.328152,0.333128,0.3410425,255,11.470251,12.506595,12.011369133333332,0.2598352509161916,11.889853,12.019042,12.156897,255,0.284,0.353726,0.2989663411764706,0.013051188532957997,0.2889215,0.294876,0.3056785,255,0.136911,0.209549,0.14846653333333332,0.015357619802492459,0.1383035,0.139631,0.166206,255,3.568001,3.978595,3.690256537254902,0.07916219156363988,3.6171395,3.689327,3.7566895,255,3.568001,3.978595,3.690256537254902,0.07916219156363988,3.6171395,3.689327,3.7566895,255,0.02532,0.037072,0.027157662745098038,0.0016107436730829576,0.0260705,0.026587,0.028067,255,0.050955,0.077878,0.05389287450980392,0.0025538691415370814,0.0523535,0.053117,0.055644,255,39.72492,54.080247,47.13306759215686,1.850751420782912,47.2167685,47.64123,47.8903415,255,27.167765,41.328463,34.598605780392155,1.8650870391114869,35.0584155,35.174044,35.281056,255,0.020766,0.027158,0.022067007843137258,0.0008104415208773639,0.0216045,0.021917,0.0223385,255,21.800534,28.201901,22.075493458823527,0.8169001380778133,21.89835,21.932431,22.0085865,255,4.896809,13.775574,12.083400137254902,1.783862233615506,12.7171585,12.805268,12.8644015,255,0.40017,0.48994,0.4156885137254902,0.012664385723892696,0.4085145,0.4128,0.418214,255,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
SofaScene,9.10593,14.073679,9.397133694017093,0.24530021157902834,9.252318,9.330751,9.50639,1755,8.823685,13.714093,9.114051713960114,0.24283841770139586,8.9691195,9.048361,9.22293,1755,0.005008,0.561256,0.1679263385565052,0.16394696742783874,0.0294185,0.1179095,0.26223625,10530,0.006163,0.272452,0.07206982269705603,0.06895724364230733,0.01442275,0.055997,0.1014845,10530,0.0376,5.500583,1.1425039144349478,1.1817209793517098,0.0890545,0.8871985,1.69010825,10530,0.0376,5.500583,1.1425039144349478,1.1817209793517098,0.0890545,0.8871985,1.69010825,10530,0.094327,0.173598,0.1037687680911681,0.008432386677337138,0.0993255,0.101703,0.104408,1755,0.129697,0.19924,0.13896493903133902,0.009723985955216693,0.1340985,0.13608,0.139008,1755,24.305445,47.715735,31.05499880854701,3.698142203070128,28.5930205,30.563958,32.797462,1755,14.48708,37.741212,21.10226452934473,3.6880408395058986,18.677282,20.62557,22.843925,1755,0.073918,0.169756,0.08366930655270655,0.0076559218141608485,0.0794145,0.082649,0.084301,1755,13.704326,36.517372,20.262608257549857,3.597961952947101,17.8983525,19.791292,21.9849405,1755,0.104572,0.76555,0.2594573339031339,0.10373942041219857,0.2015695,0.233122,0.2868695,1755,0.43313,0.669531,0.49418243304843307,0.02674547799218968,0.4771045,0.490419,0.5069895,1755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
BilateralLagrangianConstraint_NNCG,0.030427,1.77369,0.090508988,0.12133675017374519,0.0379,0.075993,0.10577425,1000,0.194173,0.341729,0.216359517,0.020732065914223576,0.200978,0.206388,0.23169975,1000,0.002011,0.012939,0.002692502,0.0008119942995464932,0.002176,0.0022945,0.003133,4000,0.004102,0.036309,0.005197962499999999,0.0012869049046428215,0.004417,0.004612,0.00583,4000,0.015014,0.043175,0.017994301,0.0025706962961227066,0.01596275,0.017033,0.01942225,4000,0.015014,0.043175,0.017994301,0.0025706962961227066,0.01596275,0.017033,0.01942225,4000,0.020286,0.046735,0.023042556,0.0032945881139930075,0.02088875,0.0212455,0.02487625,1000,0.025696,0.079636,0.027981687999999998,0.0030111689256260596,0.02638,0.0267235,0.02912625,1000,0.485368,2.529184,0.5900683029999999,0.15492322848285597,0.50458375,0.5500885,0.65111375,1000,0.090684,0.223234,0.105110638,0.015912446361856368,0.09363175,0.0973085,0.116018,1000,0.025089,0.062156,0.02890211,0.004296751301146018,0.02601675,0.026758,0.0312185,1000,0.041443,0.111998,0.048457035,0.008715760132069664,0.042514,0.0451365,0.05303925,1000,0.006226,0.021434,0.007545756999999999,0.0017360069296955586,0.006477,0.006623,0.00810825,1000,0.016711,0.067876,0.019677438,0.0035558966711866083,0.0173635,0.0179985,0.02124225,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
BilateralLagrangianConstraint_PGS,0.026504,1.693425,0.090208835,0.11856822203613318,0.0373685,0.0777415,0.107023,1000,0.198006,0.389404,0.22117093,0.021827345999940073,0.204324,0.2115375,0.2375885,1000,0.002033,0.018076,0.002758232,0.0009197759630344772,0.002237,0.002363,0.003135,4000,0.004176,0.149203,0.005329421500000001,0.0026471468238157382,0.00447575,0.0047645,0.00584625,4000,0.015013,0.050257,0.01833145975,0.0028760959688230044,0.0162355,0.017379,0.019576,4000,0.015013,0.050257,0.01833145975,0.0028760959688230044,0.0162355,0.017379,0.019576,4000,0.020323,0.050253,0.023099494999999998,0.0034149195680096187,0.0208175,0.02115,0.02498375,1000,0.025814,0.06125,0.028026501,0.0028556420997735343,0.026379,0.0267075,0.02953725,1000,0.49049,2.395502,0.596090074,0.15167015794898653,0.51570975,0.5553165,0.65951575,1000,0.09005,0.195467,0.105896783,0.015887376288736633,0.0938385,0.09789,0.117384,1000,0.02506,0.069175,0.029300256,0.004913910391782088,0.0259965,0.0269145,0.03220675,1000,0.041368,0.110052,0.048814798,0.008694442303862623,0.04249975,0.045143,0.05492425,1000,0.00613,0.027285,0.00762609,0.0018793630394098955,0.0064245,0.006895,0.00808375,1000,0.016614,0.047062,0.019601739,0.0031243045454755207,0.01730175,0.0179385,0.021222,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
BilateralLagrangianConstraint_UGS,0.030168,1.656399,0.062859013,0.11557691599875308,0.03731675,0.0509495,0.06278325,1000,0.197688,0.364416,0.211244862,0.017771709957428293,0.203827,0.2066705,0.21044925,1000,0.002031,0.023389,0.00259708525,0.0009747565601125428,0.002195,0.002274,0.00302725,4000,0.004136,0.025198,0.00506281675,0.0011869992888243184,0.004445,0.0046475,0.005772,4000,0.01507,0.047594,0.01750709375,0.002645755199363867,0.015885,0.016696,0.019105,4000,0.01507,0.047594,0.01750709375,0.002645755199363867,0.015885,0.016696,0.019105,4000,0.020479,0.056642,0.021441971,0.0024670871687394835,0.020879,0.0210265,0.02117325,1000,0.025915,0.059668,0.027202083,0.0021539118375901553,0.0264115,0.026572,0.02677825,1000,0.506669,2.390753,0.568934809,0.1392215362651789,0.5234615,0.553749,0.57201,1000,0.102454,0.213974,0.12587667,0.01635832896334769,0.11441075,0.12478,0.13112725,1000,0.025046,0.079476,0.02695693,0.003543206674341761,0.02593,0.026215,0.02657825,1000,0.046666,0.11891,0.049931784,0.006783147635968422,0.04759475,0.048064,0.0490215,1000,0.009461,0.072575,0.02972512,0.010203736966013972,0.0211415,0.0311435,0.0358495,1000,0.017067,0.054605,0.018709942,0.0029872054339526097,0.017543,0.017749,0.01821225,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
FrictionContact_LCP_with_friction,0.031936,1.521496,0.076679583,0.09709861292361034,0.06898475,0.070755,0.07253825,1000,0.060381,0.18691,0.078782319,0.008688286150515472,0.07771275,0.078766,0.07987775,1000,0.00299,0.026168,0.004323099,0.0009503656060690538,0.00427275,0.004359,0.00443,1000,0.005841,0.032026,0.007840729,0.001826542095753339,0.00760675,0.007713,0.007872,1000,0.019011,0.086923,0.025574985,0.0033857331768429423,0.0254095,0.0257155,0.026114,1000,0.019011,0.086923,0.025574985,0.0033857331768429423,0.0254095,0.0257155,0.026114,1000,0.006479,0.031795,0.009699632,0.001704413060433415,0.00965,0.0097865,0.00994625,1000,0.010039,0.032148,0.012254158,0.001449073589241071,0.012132,0.012256,0.01237025,1000,0.158914,1.797221,0.263120966,0.10732525657130684,0.25825925,0.2611395,0.26506475,1000,0.012817,0.121888,0.039082803,0.010122087028878532,0.0401615,0.0405995,0.04131075,1000,0.00204,0.012926,0.003105906,0.0007996536895206574,0.00301775,0.003083,0.00314525,1000,0.00727,0.059203,0.017307686000000003,0.004370815215426522,0.017389,0.0175345,0.01771425,1000,0.00188,0.057023,0.016442744999999998,0.006030974930803062,0.0178015,0.01807,0.018227,1000,0.001001,0.01163,0.001504518,0.0008786498857201315,0.001339,0.001379,0.001416,1000,0.0,1.2,0.72,0.5878775382679627,0.0,1.2,1.2,5
FrictionContact_LCP_without_friction,0.029343,1.473238,0.090412845,0.09772608265650976,0.06922275,0.096844,0.09856725,1000,0.059845,0.163799,0.07801472100000001,0.007998632192391334,0.07727875,0.077915,0.07917325,1000,0.003078,0.014471,0.004321053,0.0007704184370788383,0.004276,0.004344,0.00440925,1000,0.005759,0.038452,0.0077062979999999994,0.001763729148479437,0.007559,0.0076485,0.007726,1000,0.018889,0.057523,0.025557879000000002,0.0030242818890372967,0.0254265,0.0257225,0.026003,1000,0.018889,0.057523,0.025557879000000002,0.0030242818890372967,0.0254265,0.0257225,0.026003,1000,0.006407,0.02758,0.009427397,0.0014897406819278985,0.009412,0.009533,0.009656,1000,0.009983,0.024232,0.012212811,0.0012879541083745958,0.012096,0.012206,0.01230425,1000,0.156444,1.771091,0.265738967,0.10867058395813427,0.24396925,0.2744145,0.28044475,1000,0.012616,0.081277,0.029151831,0.0069220734360767215,0.026743,0.0309065,0.03153125,1000,0.002033,0.012486,0.00304315,0.0005857771585680001,0.002982,0.003045,0.003114,1000,0.007237,0.050108,0.016057588,0.0038913192169566352,0.015568,0.016377,0.01672625,1000,0.001887,0.03992,0.007904572,0.0031232704696865436,0.0062975,0.0094265,0.009817,1000,0.00097,0.016528,0.001429038,0.0007986080030628293,0.001256,0.0013265,0.001392,1000,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
FixedProjectiveConstraint,0.005326,0.16227,0.006321716999999999,0.00902186169473413,0.00555275,0.0056405,0.00572125,1000,1.122331,1.313275,1.156452726,0.03924655624677054,1.12567825,1.1291735,1.19510325,1000,0.066968,0.149384,0.06911132,0.005192072381775894,0.06731775,0.067518,0.069699,1000,0.037242,0.087496,0.039066767999999995,0.0034095484135257563,0.0376765,0.0378885,0.040341,1000,0.015333,0.042967,0.016175342000000002,0.0020688408152963337,0.015671,0.015805,0.015954,1000,0.992552,1.16244,1.024186075,0.0357395251424998,0.99674475,0.99876,1.060826,1000,0.002759,0.011909,0.003006491,0.00048479561664581904,0.002902,0.00295,0.00301,1000,0.01086,0.030368,0.011411432,0.0010641439824459846,0.01117575,0.0112775,0.01139,1000,1.156427,1.50771,1.193460959,0.04312606637250051,1.16137775,1.1659675,1.23164125,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
FEMBAR_EigenSimplicialLDLT,0.000292,0.000948,0.000339443,4.748278373263302e-05,0.000319,0.000332,0.000347,1000,2.473463,4.868508,2.531926951,0.18368056609598254,2.489626,2.5007465,2.52654975,1000,0.051144,0.091401,0.053971523,0.0035320349991854556,0.05237775,0.0530185,0.05585125,1000,0.042921,0.087567,0.045713701999999995,0.0031407109254428366,0.04466675,0.0449995,0.04723225,1000,0.692348,2.091903,0.714710203,0.09705160385896666,0.699881,0.7044115,0.7091975,1000,1.671218,2.68383,1.709800404,0.10269229249668538,1.679437,1.6866445,1.7060845,1000,0.001228,0.010202,0.0014412519999999999,0.0003348003681240509,0.001356,0.001399,0.001468,1000,0.011928,0.031995,0.012522782,0.0013518907538984058,0.012187,0.0123285,0.012503,1000,2.497322,4.92569,2.5572321170000003,0.1860843051185438,2.51470975,2.5258385,2.551542,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1.2,0.48,0.5878775382679627,0.0,0.0,1.2,5
FEMBAR_EigenSimplicialLLT,0.0003,0.003163,0.000375698,0.0001355588757551493,0.00033,0.0003455,0.000391,1000,2.611435,4.931058,2.6798255159999997,0.1800113332696576,2.631328,2.645885,2.677908,1000,0.051992,0.09196,0.053768845999999995,0.0035088994622650563,0.0524985,0.0527515,0.0532325,1000,0.044422,0.080469,0.046279921,0.003652297959745206,0.04499075,0.0452165,0.0460515,1000,0.690261,1.999881,0.713421002,0.0873263008642986,0.698161,0.701547,0.713551,1000,1.807504,2.890954,1.85845299,0.10966217781779596,1.819964,1.8291935,1.87283925,1000,0.001195,0.014435,0.001413521,0.0004479291881078972,0.00131975,0.0013795,0.001443,1000,0.011894,0.039377,0.012491961,0.0014065451416428126,0.01219075,0.012317,0.01249025,1000,2.636871,4.9884,2.705325557,0.18212949641735343,2.65634275,2.672059,2.70227575,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
