SceneName,CollisionDetection_min,CollisionDetection_max,CollisionDetection_mean,CollisionDetection_std,CollisionDetection_quartile1,CollisionDetection_quartile2,CollisionDetection_quartile3,CollisionDetection_cardinality,ODESolve_min,ODESolve_max,ODESolve_mean,ODESolve_std,ODESolve_quartile1,ODESolve_quartile2,ODESolve_quartile3,ODESolve_cardinality,ComputeForce_min,ComputeForce_max,ComputeForce_mean,ComputeForce_std,ComputeForce_quartile1,ComputeForce_quartile2,ComputeForce_quartile3,ComputeForce_cardinality,ComputeRHTerm_min,ComputeRHTerm_max,ComputeRHTerm_mean,ComputeRHTerm_std,ComputeRHTerm_quartile1,ComputeRHTerm_quartile2,ComputeRHTerm_quartile3,ComputeRHTerm_cardinality,setSystemMBKMatrix_min,setSystemMBKMatrix_max,setSystemMBKMatrix_mean,setSystemMBKMatrix_std,setSystemMBKMatrix_quartile1,setSystemMBKMatrix_quartile2,setSystemMBKMatrix_quartile3,setSystemMBKMatrix_cardinality,MBKSolve_min,MBKSolve_max,MBKSolve_mean,MBKSolve_std,MBKSolve_quartile1,MBKSolve_quartile2,MBKSolve_quartile3,MBKSolve_cardinality,ProjectAndMechaMap_min,ProjectAndMechaMap_max,ProjectAndMechaMap_mean,ProjectAndMechaMap_std,ProjectAndMechaMap_quartile1,ProjectAndMechaMap_quartile2,ProjectAndMechaMap_quartile3,ProjectAndMechaMap_cardinality,UpdateBBox_min,UpdateBBox_max,UpdateBBox_mean,UpdateBBox_std,UpdateBBox_quartile1,UpdateBBox_quartile2,UpdateBBox_quartile3,UpdateBBox_cardinality,TimeStep_min,TimeStep_max,TimeStep_mean,TimeStep_std,TimeStep_quartile1,TimeStep_quartile2,TimeStep_quartile3,TimeStep_cardinality,SolveConstraint_min,SolveConstraint_max,SolveConstraint_mean,SolveConstraint_std,SolveConstraint_quartile1,SolveConstraint_quartile2,SolveConstraint_quartile3,SolveConstraint_cardinality,PrepareState_min,PrepareState_max,PrepareState_mean,PrepareState_std,PrepareState_quartile1,PrepareState_quartile2,PrepareState_quartile3,PrepareState_cardinality,BuildSystem_min,BuildSystem_max,BuildSystem_mean,BuildSystem_std,BuildSystem_quartile1,BuildSystem_quartile2,BuildSystem_quartile3,BuildSystem_cardinality,SolveSystem_min,SolveSystem_max,SolveSystem_mean,SolveSystem_std,SolveSystem_quartile1,SolveSystem_quartile2,SolveSystem_quartile3,SolveSystem_cardinality,ApplyCorrection_min,ApplyCorrection_max,ApplyCorrection_mean,ApplyCorrection_std,ApplyCorrection_quartile1,ApplyCorrection_quartile2,ApplyCorrection_quartile3,ApplyCorrection_cardinality,CPUUsage_min,CPUUsage_max,CPUUsage_mean,CPUUsage_std,CPUUsage_quartile1,CPUUsage_quartile2,CPUUsage_quartile3,CPUUsage_cardinality
fallingBeamLagrangianCollision,0.336066,0.513695,0.36016094117647063,0.019245756104038825,0.344625,0.355967,0.3705895,255,11.871899,15.070032,12.52224697254902,0.414133984908393,12.335507,12.446365,12.6767995,255,0.281116,0.407846,0.30471363529411766,0.026561176695163478,0.28507,0.295789,0.31321,255,0.136649,0.248477,0.15851705098039215,0.025080779250202755,0.1378975,0.144083,0.171436,255,3.552271,4.620893,3.7104396745098036,0.09172060413767634,3.6531945,3.694374,3.7521495,255,3.552271,4.620893,3.7104396745098036,0.09172060413767634,3.6531945,3.694374,3.7521495,255,0.025077,0.050516,0.02785896862745098,0.002620491362208225,0.026349,0.027106,0.0288825,255,0.055608,0.098607,0.06075018039215686,0.0063741685168486216,0.057332,0.058375,0.0621135,255,40.053563,57.340824,48.11285916078431,2.4769853440841776,47.8299525,48.217811,48.7148645,255,27.230377,42.111029,35.03844932156863,2.4582381443249703,35.126075,35.346017,35.515619,255,0.020122,0.057394,0.022768062745098037,0.004213569083282303,0.021602,0.021964,0.0223845,255,21.792793,28.498818,22.34485859607843,1.4800042353880645,21.872536,21.926251,22.068879,255,4.90231,13.870732,12.24238451372549,1.8115515641574642,12.8026365,12.981843,13.0544535,255,0.393048,0.542755,0.42479853725490196,0.028215755806619964,0.405309,0.414214,0.434065,255,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
BilateralLagrangianConstraint_NNCG,0.037208,1.665953,0.11023068,0.11963645723723852,0.05370925,0.09576,0.127118,1000,0.125529,0.274036,0.145488763,0.018845898693159502,0.13040475,0.138896,0.15575,1000,0.001902,0.02211,0.002692617,0.0012678942731202,0.002073,0.0022495,0.003114,4000,0.004011,0.033675,0.005265712499999999,0.0018184313545866256,0.004315,0.004691,0.005864,4000,0.00036,0.023864,0.000769362,0.0008889850490621312,0.000468,0.000531,0.000954,4000,0.00036,0.023864,0.000769362,0.0008889850490621312,0.000468,0.000531,0.000954,4000,0.022561,0.062807,0.025639543,0.004427429398663631,0.02310425,0.0234105,0.027305,1000,0.028703,0.079236,0.031961282,0.0049551195354376664,0.029559,0.029984,0.03311975,1000,0.430147,2.295652,0.540365537,0.15022825103512533,0.46366625,0.502678,0.5929595,1000,0.087459,0.226052,0.10344826700000001,0.01819815358600182,0.09029575,0.093822,0.11388475,1000,0.02533,0.077176,0.030131869999999998,0.006483531334781995,0.02640075,0.02727,0.03247825,1000,0.038827,0.103127,0.046284461000000006,0.00977271821595604,0.03970875,0.0420725,0.05122875,1000,0.005348,0.026587,0.006667543,0.0022393458125423596,0.00556275,0.0056805,0.007006,1000,0.016419,0.098387,0.019791243,0.00498233873356188,0.01711775,0.0177875,0.0210035,1000,0.0,1.2,0.24,0.48,0.0,0.0,0.0,5
BilateralLagrangianConstraint_PGS,0.044535,1.788225,0.10937467299999999,0.1228723273677685,0.053799,0.0949545,0.1270205,1000,0.127115,0.26341,0.143970077,0.017117861158774218,0.1305135,0.135769,0.15558625,1000,0.001894,0.02304,0.002629043,0.0011791875178066465,0.002075,0.002207,0.003099,4000,0.004076,0.02274,0.005255327000000001,0.0015047502872805839,0.004343,0.00457,0.005906,4000,0.000346,0.023393,0.0007780850000000001,0.0010047798285072209,0.00046275,0.000525,0.000998,4000,0.000346,0.023393,0.0007780850000000001,0.0010047798285072209,0.00046275,0.000525,0.000998,4000,0.022494,0.063749,0.025762948,0.00451546524306145,0.02317275,0.023512,0.027404,1000,0.029082,0.098682,0.032036292,0.004807083418533112,0.029763,0.0301785,0.03334975,1000,0.433049,2.421423,0.536813276,0.1523223424409427,0.46317425,0.4959285,0.59269225,1000,0.087048,0.222011,0.10324670799999999,0.017347076756985196,0.09044075,0.0944675,0.11419075,1000,0.025529,0.081401,0.030454869,0.006011325332224086,0.0266455,0.0277615,0.0329025,1000,0.038505,0.140868,0.045916072999999995,0.009479027124324045,0.03969775,0.041954,0.05156025,1000,0.005205,0.026655,0.006733459,0.002062642861069022,0.00558,0.006044,0.007133,1000,0.016328,0.101761,0.019563378,0.004913205867162092,0.017008,0.017602,0.02099525,1000,0.0,1.2,0.48,0.5878775382679627,0.0,0.0,1.2,5
BilateralLagrangianConstraint_UGS,0.036992,1.643667,0.08066921,0.11459799396685746,0.05329125,0.06833,0.08079775,1000,0.126339,0.265181,0.13719389,0.014689546869454484,0.129467,0.1319115,0.135436,1000,0.001904,0.019683,0.0024987915,0.0011344849163949912,0.002034,0.002129,0.003021,4000,0.004059,0.057476,0.00494622875,0.0018017046372597915,0.004242,0.004368,0.00574525,4000,0.000373,0.02015,0.0007525605,0.000774714062309282,0.00046,0.000513,0.000984,4000,0.000373,0.02015,0.0007525605,0.000774714062309282,0.00046,0.000513,0.000984,4000,0.022472,0.06276,0.024270254,0.003869357256636301,0.023126,0.023365,0.02361725,1000,0.029046,0.071713,0.030829826,0.004362723535100981,0.02961675,0.029821,0.03008025,1000,0.445598,2.28351,0.511801899,0.13615680935127997,0.46673875,0.4933195,0.519191,1000,0.098127,0.313709,0.122777645,0.01840554648237794,0.11046625,0.1202945,0.12709625,1000,0.025491,0.068807,0.027971697,0.0048476628972310976,0.026298,0.02663,0.02709625,1000,0.043812,0.218354,0.047980628,0.009969446945323295,0.044705,0.0451575,0.0461055,1000,0.008578,0.074956,0.027599408,0.010021273410976072,0.01937075,0.0287025,0.03322325,1000,0.016465,0.071146,0.01868717,0.00418295540104123,0.017106,0.0173505,0.01794625,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
FrictionContact_LCP_with_friction,0.040599,1.449696,0.082781542,0.09681606507316973,0.07535075,0.0758745,0.0769865,1000,0.040738,0.126717,0.053004328,0.008086468661685149,0.05134025,0.0517275,0.0523645,1000,0.002942,0.021495,0.004217446,0.0013606084363563236,0.00409475,0.004159,0.00421925,1000,0.005773,0.022292,0.0076946670000000005,0.001536289398554517,0.0074895,0.007587,0.00771125,1000,0.000806,0.014997,0.001068194,0.0007483493745330454,0.000938,0.000965,0.000993,1000,0.000806,0.014997,0.001068194,0.0007483493745330454,0.000938,0.000965,0.000993,1000,0.007151,0.033666,0.010475514,0.0020056330685855775,0.010309,0.0104355,0.01057925,1000,0.0117,0.078065,0.01494308,0.003208073208578632,0.014579,0.0146965,0.014815,1000,0.14516,1.71821,0.24393876199999998,0.10712099592039535,0.2352795,0.2380715,0.24242075,1000,0.012226,0.082915,0.037872217,0.010267083910921883,0.0383005,0.0387095,0.0412655,1000,0.001975,0.0217,0.003111051,0.0011948479821295261,0.002932,0.0029955,0.00307,1000,0.006993,0.043858,0.016268233,0.004029411681959414,0.01612175,0.0163685,0.01656975,1000,0.001618,0.05657,0.016223075,0.006450891368126966,0.01728475,0.01746,0.01760425,1000,0.000949,0.014849,0.0014999000000000002,0.0010830145262183699,0.001313,0.001355,0.001398,1000,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
FrictionContact_LCP_without_friction,0.040633,1.464392,0.098657101,0.09850517949131811,0.07573825,0.1029965,0.10541175,1000,0.040678,0.117086,0.053125743999999996,0.00859091948038532,0.05110775,0.0515855,0.052512,1000,0.002895,0.022097,0.004205589,0.0011222829162377016,0.004104,0.0041785,0.00425725,1000,0.005689,0.026676,0.007731305,0.0018205403972378642,0.007485,0.007595,0.00769325,1000,0.000781,0.021259,0.001139508,0.0011361053137522066,0.000961,0.000985,0.00101,1000,0.000781,0.021259,0.001139508,0.0011361053137522066,0.000961,0.000985,0.00101,1000,0.007088,0.038277,0.010428857,0.0021385869036705052,0.0102285,0.010374,0.0105265,1000,0.011871,0.047819,0.014993652,0.003097833858504358,0.01439975,0.014563,0.01483625,1000,0.146517,1.713743,0.250102414,0.10888970482888916,0.22359925,0.2553355,0.25983575,1000,0.012308,0.076239,0.02798729,0.007519288084247072,0.02504375,0.029021,0.0296305,1000,0.001988,0.020972,0.003176143,0.0014979633729003522,0.002942,0.003029,0.003097,1000,0.007167,0.050844,0.015315216,0.004459117204037588,0.0145025,0.0152755,0.01552825,1000,0.001631,0.031805,0.007309293,0.003011852795730728,0.00569875,0.0088065,0.00905125,1000,0.000946,0.013783,0.0014312090000000001,0.0008355136583677132,0.001251,0.001327,0.001384,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
FixedProjectiveConstraint,0.0091,0.180991,0.010864924000000001,0.010708627964600507,0.009388,0.0095005,0.0097975,1000,1.099673,1.328897,1.1328183170000001,0.027674322005724204,1.11213875,1.126322,1.144414,1000,0.066908,0.123626,0.07036339500000001,0.006180352030505624,0.0674425,0.067664,0.071824,1000,0.037515,0.075747,0.039026561,0.004498094637319117,0.03784075,0.0379625,0.03813525,1000,0.00068,0.006542,0.000858899,0.0004088685030654721,0.00077975,0.000824,0.00086525,1000,0.984369,1.155069,1.0143843639999999,0.024779295121764543,0.99620275,1.0091765,1.02572375,1000,0.013122,0.045515,0.013935647999999998,0.0024013176158301096,0.013332,0.0133935,0.0134955,1000,0.013682,0.043877,0.014300763000000001,0.002005240780762001,0.013915,0.014001,0.014103,1000,1.149857,1.601106,1.1862388179999999,0.03584297736013118,1.16418575,1.178521,1.1974575,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
FEMBAR_EigenSimplicialLDLT,0.000281,0.003683,0.00033766300000000004,0.00011705614648962268,0.000311,0.000327,0.000346,1000,2.504295,5.072927,2.577967868,0.19724752413030835,2.52258,2.5530895,2.58005025,1000,0.051579,0.101878,0.054257227,0.005007802790592997,0.05205875,0.0528,0.05478,1000,0.044098,0.090346,0.045525373,0.0037953541389270907,0.0443775,0.0446585,0.045385,1000,0.690432,2.12986,0.719731236,0.1006660661549179,0.69793825,0.708015,0.723819,1000,1.701867,2.802754,1.750977036,0.11178566193712279,1.71056925,1.73275,1.75685775,1000,0.001222,0.003862,0.001432104,0.0002072386913295874,0.00133275,0.001396,0.00148025,1000,0.006032,0.026924,0.0068158410000000004,0.001685402583277657,0.00637575,0.0065745,0.006802,1000,2.520654,5.121203,2.596485878,0.19955775675928789,2.53958725,2.571387,2.59836475,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1.2,0.48,0.5878775382679627,0.0,0.0,1.2,5
FEMBAR_EigenSimplicialLLT,0.000287,0.000862,0.000351448,4.904697030398514e-05,0.000328,0.000346,0.000364,1000,2.617617,5.083388,2.711731665,0.18733673575819232,2.6597005,2.6882615,2.7195825,1000,0.051312,0.110847,0.054133943,0.005799226197153461,0.05236375,0.0527185,0.05327225,1000,0.043888,0.082686,0.046107252,0.004758964793155755,0.044827,0.045049,0.045383,1000,0.692177,1.990552,0.729211405,0.0914601021553386,0.700658,0.718966,0.73670325,1000,1.816283,2.942057,1.8746442749999999,0.1115029333712857,1.837541,1.8563095,1.87837125,1000,0.001245,0.004517,0.0014107380000000001,0.00017673994272942377,0.001338,0.001379,0.00144,1000,0.006186,0.025586,0.006735403,0.001267052189371456,0.006421,0.006551,0.006699,1000,2.63448,5.141025,2.730167723,0.1893214107218628,2.67794375,2.7059745,2.73846875,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
FEMBAR_EigenSparseLU,0.00031,0.009091,0.00040562400000000005,0.00028213748532231593,0.000362,0.00038,0.000413,1000,3.342489,6.00657,3.4497415040000003,0.2044714572847369,3.39392975,3.424152,3.45711125,1000,0.053182,0.113174,0.056505607000000006,0.006402778470207367,0.05422875,0.054829,0.05573625,1000,0.045173,0.097146,0.047038601,0.004474931222689238,0.0457705,0.046061,0.04641525,1000,0.695894,2.002938,0.7243833009999999,0.08923401614174048,0.702633,0.7130385,0.7284895,1000,2.53307,3.910354,2.61272091,0.12809815433185562,2.565711,2.5949255,2.62117375,1000,0.001367,0.019572,0.001768655,0.0009360651248577739,0.001562,0.001685,0.00178,1000,0.006822,0.032411,0.007857261,0.0017193857661615675,0.00730025,0.007548,0.00792425,1000,3.360496,6.058142,3.471081993,0.20728378358934146,3.4146405,3.444646,3.4787725,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
