SceneName,CollisionDetection_min,CollisionDetection_max,CollisionDetection_mean,CollisionDetection_std,CollisionDetection_quartile1,CollisionDetection_quartile2,CollisionDetection_quartile3,CollisionDetection_cardinality,ODESolve_min,ODESolve_max,ODESolve_mean,ODESolve_std,ODESolve_quartile1,ODESolve_quartile2,ODESolve_quartile3,ODESolve_cardinality,ComputeForce_min,ComputeForce_max,ComputeForce_mean,ComputeForce_std,ComputeForce_quartile1,ComputeForce_quartile2,ComputeForce_quartile3,ComputeForce_cardinality,ComputeRHTerm_min,ComputeRHTerm_max,ComputeRHTerm_mean,ComputeRHTerm_std,ComputeRHTerm_quartile1,ComputeRHTerm_quartile2,ComputeRHTerm_quartile3,ComputeRHTerm_cardinality,setSystemMBKMatrix_min,setSystemMBKMatrix_max,setSystemMBKMatrix_mean,setSystemMBKMatrix_std,setSystemMBKMatrix_quartile1,setSystemMBKMatrix_quartile2,setSystemMBKMatrix_quartile3,setSystemMBKMatrix_cardinality,MBKSolve_min,MBKSolve_max,MBKSolve_mean,MBKSolve_std,MBKSolve_quartile1,MBKSolve_quartile2,MBKSolve_quartile3,MBKSolve_cardinality,ProjectAndMechaMap_min,ProjectAndMechaMap_max,ProjectAndMechaMap_mean,ProjectAndMechaMap_std,ProjectAndMechaMap_quartile1,ProjectAndMechaMap_quartile2,ProjectAndMechaMap_quartile3,ProjectAndMechaMap_cardinality,UpdateBBox_min,UpdateBBox_max,UpdateBBox_mean,UpdateBBox_std,UpdateBBox_quartile1,UpdateBBox_quartile2,UpdateBBox_quartile3,UpdateBBox_cardinality,TimeStep_min,TimeStep_max,TimeStep_mean,TimeStep_std,TimeStep_quartile1,TimeStep_quartile2,TimeStep_quartile3,TimeStep_cardinality,SolveConstraint_min,SolveConstraint_max,SolveConstraint_mean,SolveConstraint_std,SolveConstraint_quartile1,SolveConstraint_quartile2,SolveConstraint_quartile3,SolveConstraint_cardinality,PrepareState_min,PrepareState_max,PrepareState_mean,PrepareState_std,PrepareState_quartile1,PrepareState_quartile2,PrepareState_quartile3,PrepareState_cardinality,BuildSystem_min,BuildSystem_max,BuildSystem_mean,BuildSystem_std,BuildSystem_quartile1,BuildSystem_quartile2,BuildSystem_quartile3,BuildSystem_cardinality,SolveSystem_min,SolveSystem_max,SolveSystem_mean,SolveSystem_std,SolveSystem_quartile1,SolveSystem_quartile2,SolveSystem_quartile3,SolveSystem_cardinality,ApplyCorrection_min,ApplyCorrection_max,ApplyCorrection_mean,ApplyCorrection_std,ApplyCorrection_quartile1,ApplyCorrection_quartile2,ApplyCorrection_quartile3,ApplyCorrection_cardinality,CPUUsage_min,CPUUsage_max,CPUUsage_mean,CPUUsage_std,CPUUsage_quartile1,CPUUsage_quartile2,CPUUsage_quartile3,CPUUsage_cardinality
fallingBeamLagrangianCollision,0.325243,0.470176,0.34683880784313725,0.019447529855907385,0.333815,0.339491,0.3622775,255,12.014863,12.923744,12.482380529411765,0.19661691438245232,12.360248,12.53418,12.6155,255,0.283495,0.434368,0.29332337647058826,0.01301572213356869,0.2875425,0.289325,0.2957205,255,0.135789,0.228413,0.13970730980392154,0.007923996512585837,0.137098,0.137622,0.1385985,255,3.862474,4.19968,3.937247443137255,0.05425777225419362,3.887197,3.941207,3.969123,255,3.862474,4.19968,3.937247443137255,0.05425777225419362,3.887197,3.941207,3.969123,255,0.022776,0.033899,0.02407645882352941,0.0011997240913490575,0.023609,0.023859,0.0241915,255,0.054105,0.093349,0.05633330588235294,0.0042878749772074145,0.0550095,0.055397,0.0558055,255,40.147416,55.025408,47.45365657254902,1.9214484984403053,47.7092445,48.067918,48.199352,255,27.170881,41.545968,34.44601935294118,1.9485406977820559,34.990976,35.057368,35.1316365,255,0.01982,0.028907,0.021224039215686278,0.001190884728963226,0.0206325,0.021022,0.0214555,255,21.8152,28.335969,21.995282384313725,0.6938519789414498,21.880928,21.904203,21.9323565,255,4.873532,14.069288,12.022983992156863,1.782588828679451,12.6763745,12.733176,12.783766,255,0.388819,0.508067,0.4041145450980392,0.014071954316832648,0.397383,0.400631,0.406096,255,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
SofaScene,11.057059,18.049874,13.115059283190885,0.38650915925983254,12.94538,13.001049,13.1040335,1755,10.729627,17.697933,12.800659620512821,0.38321733925617896,12.637094,12.685011,12.7860215,1755,0.007917,3.466563,0.23708847853751186,0.21414044900806273,0.04815525,0.268947,0.37642575,10530,0.008404,0.675676,0.09029057464387465,0.07575261310805555,0.021181,0.11127,0.13839175,10530,0.096729,8.287628,1.8373180784425451,1.87687814431574,0.168128,1.1436045,2.6376255,10530,0.096729,8.287628,1.8373180784425451,1.87687814431574,0.168128,1.1436045,2.6376255,10530,0.091431,0.259818,0.10433507008547009,0.012396135784083046,0.09766,0.099687,0.1036015,1755,0.135684,0.282658,0.1473147811965812,0.014244303321206728,0.139514,0.141091,0.147812,1755,23.691719,41.949097,28.751108225641026,2.387210457156598,27.0230575,28.681371,30.430768,1755,10.24942,27.043987,15.058113105413105,2.3547744013983243,13.389257,14.937419,16.751291,1755,0.072728,0.139085,0.08314952079772081,0.01038653599514017,0.078359,0.080384,0.0824585,1755,9.474037,25.906916,14.226973325356125,2.2720811779280945,12.629542,14.084506,15.9233105,1755,0.103381,1.027383,0.2607047168091168,0.10657704039636844,0.2000205,0.235454,0.286312,1755,0.410238,1.28279,0.4851183606837607,0.03386312032161332,0.4619615,0.484413,0.5025195,1755,0.0,1.2,0.48,0.5878775382679627,0.0,0.0,1.2,5
BilateralLagrangianConstraint_NNCG,0.033999,1.812094,0.095714279,0.12129187833008093,0.0434385,0.081883,0.11179,1000,0.272743,0.488058,0.30527187,0.0265230071463079,0.286123,0.2939795,0.322399,1000,0.001255,0.012708,0.00199868425,0.0006956032242248001,0.001573,0.001786,0.002383,4000,0.002996,0.020176,0.0039705515,0.0009689781882724451,0.003388,0.00365,0.004445,4000,0.020915,0.074269,0.024273785,0.003378633694820289,0.02194975,0.0234765,0.025579,4000,0.020915,0.074269,0.024273785,0.003378633694820289,0.02194975,0.0234765,0.025579,4000,0.020581,0.049261,0.02320888,0.0033061938405967665,0.02113575,0.021459,0.0250145,1000,0.026218,0.093111,0.028469824,0.003171874627254993,0.0268105,0.0271125,0.02978075,1000,0.573788,2.611256,0.6876628229999999,0.15771453253824033,0.60087075,0.646195,0.75398125,1000,0.091827,0.219393,0.105828325,0.015711951603966167,0.0948085,0.098456,0.11563275,1000,0.025695,0.056051,0.029458419000000003,0.004463781929198491,0.0267215,0.027296,0.03170575,1000,0.041526,0.116976,0.048648898,0.008691692831755849,0.04291575,0.0444575,0.05343825,1000,0.006268,0.021821,0.007512942,0.0016518156660584133,0.006453,0.0065955,0.00803125,1000,0.016773,0.059045,0.019610047,0.0030925324025450405,0.017609,0.0180655,0.021243,1000,0.0,1.2,0.24,0.48,0.0,0.0,0.0,5
BilateralLagrangianConstraint_PGS,0.038446,1.814622,0.095562614,0.1236477112734684,0.04312425,0.080382,0.111731,1000,0.272186,0.42559,0.30482282699999996,0.026069396946401948,0.285149,0.292909,0.321964,1000,0.001224,0.020931,0.0019754545,0.0008771819665438581,0.001549,0.00174,0.00232525,4000,0.002981,0.036664,0.0039109465,0.0010527654133935774,0.003325,0.0035405,0.004433,4000,0.020831,0.075051,0.024343155,0.003440350450023224,0.0219865,0.023478,0.0254305,4000,0.020831,0.075051,0.024343155,0.003440350450023224,0.0219865,0.023478,0.0254305,4000,0.020495,0.064326,0.023236026000000003,0.0033360606498269783,0.021196,0.0214805,0.02505975,1000,0.02628,0.060901,0.028474063999999997,0.0028994237458336443,0.02685875,0.0271855,0.0296785,1000,0.574745,2.650368,0.687560888,0.1597113366150802,0.59781475,0.6432535,0.75481425,1000,0.091896,0.210468,0.106441585,0.016190816233247012,0.094917,0.098682,0.11675975,1000,0.025793,0.12079,0.02966774,0.00564010100090415,0.026521,0.0272715,0.03205525,1000,0.041619,0.11816,0.048874879,0.008904637194875432,0.04289725,0.0447495,0.05424175,1000,0.00604,0.024951,0.007542861,0.0018178062607657067,0.00633775,0.006888,0.00811525,1000,0.017086,0.04125,0.019771394,0.0029329703770689533,0.01769975,0.01811,0.02133525,1000,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
BilateralLagrangianConstraint_UGS,0.033513,1.824253,0.067224045,0.12194680591977379,0.04211675,0.0544575,0.06743225,1000,0.272217,0.436705,0.290762666,0.016311902362215268,0.2833635,0.2862255,0.2909075,1000,0.001179,0.016571,0.0018158035,0.0007283233285346214,0.001467,0.00159,0.002262,4000,0.002959,0.018739,0.003705485,0.0009104563579738459,0.003226,0.003393,0.0043195,4000,0.020907,0.055179,0.023536017,0.0027164187979232877,0.021849,0.023298,0.02398425,4000,0.020907,0.055179,0.023536017,0.0027164187979232877,0.021849,0.023298,0.02398425,4000,0.020762,0.060697,0.021863968,0.002564928116142049,0.02115075,0.0212855,0.02145,1000,0.026286,0.081656,0.02759061,0.0033852201502856507,0.026737,0.026904,0.0270895,1000,0.593304,2.63421,0.655767109,0.1450925602566621,0.61242625,0.6387475,0.65747975,1000,0.103461,0.245302,0.126874559,0.016018970368551124,0.1159565,0.1254115,0.13207425,1000,0.025692,0.062307,0.027439374,0.0030575067231527063,0.02653775,0.0267925,0.0271295,1000,0.047367,0.11911,0.050542994,0.00650100522349921,0.0484095,0.0488765,0.04965,1000,0.009167,0.083658,0.029390414,0.01018697273504764,0.02089825,0.0306895,0.035378,1000,0.017262,0.054507,0.018921898,0.002965143572172518,0.017738,0.017923,0.018308,1000,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
FrictionContact_LCP_with_friction,0.037199,1.532748,0.07933605,0.09819890561795228,0.07181575,0.072423,0.075247,1000,0.080955,0.168991,0.107240777,0.009900672559138141,0.105609,0.108268,0.110054,1000,0.002137,0.01633,0.0031953270000000004,0.0009944915193559971,0.00300075,0.00313,0.00320325,1000,0.004467,0.016201,0.005841119,0.000978012565787884,0.00560775,0.005755,0.00591025,1000,0.024648,0.061956,0.033679707,0.0039039358858914425,0.03266375,0.033201,0.03560575,1000,0.024648,0.061956,0.033679707,0.0039039358858914425,0.03266375,0.033201,0.03560575,1000,0.006409,0.040476,0.009610275,0.0017702031520068539,0.00954775,0.0097275,0.009846,1000,0.010295,0.033964,0.012579932,0.001359695752503478,0.01244,0.012567,0.012667,1000,0.184187,1.860425,0.295767168,0.10854179190795485,0.2906695,0.294009,0.2980465,1000,0.013285,0.092722,0.039645372000000005,0.010213420504200146,0.04084925,0.0412335,0.04195275,1000,0.002112,0.017529,0.00323287,0.0008667411096169376,0.003084,0.0031795,0.003253,1000,0.007367,0.055062,0.017556901000000003,0.004374866405640177,0.01762275,0.017792,0.0180145,1000,0.001915,0.058797,0.016889039,0.0062258000984193995,0.01816875,0.01837,0.018538,1000,0.001044,0.013355,0.001454996,0.0007197250391531478,0.00131575,0.00135,0.001383,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
FrictionContact_LCP_without_friction,0.03745,1.491487,0.094507409,0.09815219727151156,0.073212,0.100554,0.103372,1000,0.080705,0.164398,0.10656616000000001,0.00993406694976433,0.10481125,0.1074855,0.10919,1000,0.002174,0.012697,0.003124571,0.0008976409532541394,0.002981,0.003054,0.00312725,1000,0.004461,0.023291,0.005732576,0.0009720427419738292,0.00562975,0.0057235,0.00580325,1000,0.024601,0.070374,0.033427328,0.003960050617153271,0.03254725,0.032977,0.035248,1000,0.024601,0.070374,0.033427328,0.003960050617153271,0.03254725,0.032977,0.035248,1000,0.006419,0.020045,0.009490436,0.0012783396989470366,0.0095165,0.0096315,0.00974225,1000,0.010379,0.02287,0.01256815,0.0013428153303786786,0.01240775,0.012506,0.012605,1000,0.183486,1.783529,0.29980254700000003,0.10887577678520503,0.2789725,0.30947,0.31538375,1000,0.013169,0.068767,0.029571696,0.006739933329461353,0.0273965,0.0315875,0.032425,1000,0.002164,0.012314,0.003208603,0.0006804252371796626,0.003103,0.003162,0.003231,1000,0.007338,0.052934,0.016057953,0.0038341346276299427,0.0157165,0.0164825,0.016782,1000,0.001941,0.021573,0.008312708,0.0030034083296708093,0.0065715,0.0098755,0.01025725,1000,0.001052,0.015955,0.001471289,0.0008047388629108202,0.001294,0.0013625,0.00141425,1000,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
FixedProjectiveConstraint,0.006428,0.13227,0.00815763,0.008674256017036851,0.00682275,0.007042,0.00731725,1000,1.139831,1.381601,1.1849080619999999,0.0563288473919195,1.1469245,1.156984,1.196403,1000,0.066694,0.118783,0.068601276,0.0035257434656855,0.06714075,0.06757,0.069787,1000,0.03681,0.081438,0.038079205000000005,0.003314811950167762,0.03719975,0.03755,0.037903,1000,0.021397,0.056488,0.023327196,0.002278751682299763,0.02215075,0.022458,0.024468,1000,0.991852,1.190679,1.031351526,0.054663654698248305,0.99553675,1.003988,1.03447375,1000,0.002758,0.075481,0.0032049160000000004,0.0023691807501632287,0.002945,0.003008,0.003091,1000,0.011302,0.025483,0.011722091,0.0008469655829601341,0.011515,0.011587,0.011679,1000,1.175586,1.568297,1.2238311540000002,0.05867109774712149,1.18503875,1.195672,1.2355455,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
FEMBAR_EigenSimplicialLDLT,0.000293,0.009636,0.000374449,0.0002975849885310077,0.000342,0.000358,0.000375,1000,2.520307,5.382664,2.657011161,0.24710495971685612,2.536511,2.5509455,2.61140825,1000,0.051548,0.095789,0.05319132,0.003597673238024821,0.05194375,0.052211,0.053316,1000,0.044069,0.086714,0.045257003,0.0033052824074488703,0.04446875,0.0446095,0.04478875,1000,0.698435,2.522974,0.797054236,0.1881304982525223,0.704519,0.7065535,0.73959225,1000,1.69773,2.670325,1.737114226,0.10279742382975814,1.709578,1.7145105,1.73282775,1000,0.001207,0.002931,0.001412712,0.00014340998938707161,0.001342,0.001393,0.001452,1000,0.012815,0.032228,0.013415486999999999,0.0012147217384368323,0.013075,0.013192,0.013374,1000,2.548574,5.444422,2.683851279,0.2488483537271749,2.56282775,2.5789495,2.6370885,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1.2,0.48,0.5878775382679627,0.0,0.0,1.2,5
FEMBAR_EigenSimplicialLLT,0.000298,0.000928,0.000369363,5.8954416552112524e-05,0.000338,0.000357,0.000387,1000,2.619871,4.901924,2.687423233,0.1765350853920509,2.64408975,2.6625405,2.67765525,1000,0.051189,0.08697,0.053418241000000005,0.0028765522433842564,0.05217675,0.052421,0.0529365,1000,0.042563,0.067879,0.045278557000000004,0.002479931937523891,0.04442375,0.0446465,0.04493175,1000,0.697333,1.93828,0.7198792610000001,0.08450097176883163,0.7047295,0.7095665,0.71969675,1000,1.798238,2.829668,1.8442061669999998,0.10433174142675425,1.8141745,1.8247805,1.835348,1000,0.001195,0.004303,0.001456481,0.00020665769194249702,0.001328,0.001404,0.00155225,1000,0.012676,0.026673,0.013543122,0.0009579803594625517,0.01319175,0.0133915,0.01365825,1000,2.644848,4.965146,2.7144293709999996,0.17881450604557605,2.6708995,2.689393,2.70502175,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
