SceneName,CollisionDetection_min,CollisionDetection_max,CollisionDetection_mean,CollisionDetection_std,CollisionDetection_quartile1,CollisionDetection_quartile2,CollisionDetection_quartile3,CollisionDetection_cardinality,ODESolve_min,ODESolve_max,ODESolve_mean,ODESolve_std,ODESolve_quartile1,ODESolve_quartile2,ODESolve_quartile3,ODESolve_cardinality,ComputeForce_min,ComputeForce_max,ComputeForce_mean,ComputeForce_std,ComputeForce_quartile1,ComputeForce_quartile2,ComputeForce_quartile3,ComputeForce_cardinality,ComputeRHTerm_min,ComputeRHTerm_max,ComputeRHTerm_mean,ComputeRHTerm_std,ComputeRHTerm_quartile1,ComputeRHTerm_quartile2,ComputeRHTerm_quartile3,ComputeRHTerm_cardinality,setSystemMBKMatrix_min,setSystemMBKMatrix_max,setSystemMBKMatrix_mean,setSystemMBKMatrix_std,setSystemMBKMatrix_quartile1,setSystemMBKMatrix_quartile2,setSystemMBKMatrix_quartile3,setSystemMBKMatrix_cardinality,MBKSolve_min,MBKSolve_max,MBKSolve_mean,MBKSolve_std,MBKSolve_quartile1,MBKSolve_quartile2,MBKSolve_quartile3,MBKSolve_cardinality,ProjectAndMechaMap_min,ProjectAndMechaMap_max,ProjectAndMechaMap_mean,ProjectAndMechaMap_std,ProjectAndMechaMap_quartile1,ProjectAndMechaMap_quartile2,ProjectAndMechaMap_quartile3,ProjectAndMechaMap_cardinality,UpdateBBox_min,UpdateBBox_max,UpdateBBox_mean,UpdateBBox_std,UpdateBBox_quartile1,UpdateBBox_quartile2,UpdateBBox_quartile3,UpdateBBox_cardinality,TimeStep_min,TimeStep_max,TimeStep_mean,TimeStep_std,TimeStep_quartile1,TimeStep_quartile2,TimeStep_quartile3,TimeStep_cardinality,SolveConstraint_min,SolveConstraint_max,SolveConstraint_mean,SolveConstraint_std,SolveConstraint_quartile1,SolveConstraint_quartile2,SolveConstraint_quartile3,SolveConstraint_cardinality,PrepareState_min,PrepareState_max,PrepareState_mean,PrepareState_std,PrepareState_quartile1,PrepareState_quartile2,PrepareState_quartile3,PrepareState_cardinality,BuildSystem_min,BuildSystem_max,BuildSystem_mean,BuildSystem_std,BuildSystem_quartile1,BuildSystem_quartile2,BuildSystem_quartile3,BuildSystem_cardinality,SolveSystem_min,SolveSystem_max,SolveSystem_mean,SolveSystem_std,SolveSystem_quartile1,SolveSystem_quartile2,SolveSystem_quartile3,SolveSystem_cardinality,ApplyCorrection_min,ApplyCorrection_max,ApplyCorrection_mean,ApplyCorrection_std,ApplyCorrection_quartile1,ApplyCorrection_quartile2,ApplyCorrection_quartile3,ApplyCorrection_cardinality,CPUUsage_min,CPUUsage_max,CPUUsage_mean,CPUUsage_std,CPUUsage_quartile1,CPUUsage_quartile2,CPUUsage_quartile3,CPUUsage_cardinality
fallingBeamLagrangianCollision,0.32761,0.443208,0.34524640392156863,0.014981981127850841,0.3352625,0.340595,0.351584,255,11.882249,13.678744,12.31973631372549,0.26367592725391403,12.150075,12.362469,12.429537,255,0.283378,0.458068,0.29640429019607845,0.017008645629073293,0.289049,0.290872,0.297895,255,0.136463,0.237819,0.14173433333333335,0.010360676294200231,0.1381765,0.138822,0.140204,255,3.898426,4.723675,3.9848232901960783,0.06568807760485663,3.9438375,3.981011,4.0073825,255,3.898426,4.723675,3.9848232901960783,0.06568807760485663,3.9438375,3.981011,4.0073825,255,0.022707,0.035777,0.024330282352941175,0.0017823609300539269,0.023533,0.023834,0.0242515,255,0.052182,0.080172,0.054750572549019605,0.003156846109404468,0.053404,0.053851,0.0544195,255,40.027774,49.725606,47.2481779882353,1.7784518889546461,47.5708505,47.858487,48.0620085,255,27.169948,36.91437,34.402612431372546,1.792475542702128,34.999682,35.099055,35.181842,255,0.020366,0.032105,0.021882654901960785,0.0016516021901877079,0.02123,0.021533,0.0219045,255,21.762524,22.959049,21.902972149019607,0.08842351874092556,21.866792,21.897908,21.9287825,255,4.869645,13.470477,12.058315964705882,1.7833338269799912,12.6926085,12.773731,12.827276,255,0.401059,0.574139,0.41743606666666666,0.01876557800616223,0.40788,0.412011,0.4175715,255,0.0,1.2,0.24,0.48,0.0,0.0,0.0,5
SofaScene,12.391466,51.096822,13.698494043874645,1.3564288123956096,13.3586785,13.521202,13.722066,1755,12.039401,50.731892,13.356561405698006,1.3372139129983631,13.030858,13.189062,13.369826,1755,0.008374,1.013727,0.2588283859449193,0.23024213816400324,0.05238975,0.2684615,0.417725,10530,0.00996,0.431395,0.10292017492877492,0.08235640013232447,0.026762,0.0868375,0.179473,10530,0.070494,27.131117,1.9151039759734094,1.9844975490372372,0.169065,1.171775,2.74779175,10530,0.070494,27.131117,1.9151039759734094,1.9844975490372372,0.169065,1.171775,2.74779175,10530,0.092077,0.19497,0.11090248717948717,0.014728730220025082,0.0992395,0.110421,0.115349,1755,0.130727,0.249712,0.14646812364672365,0.0144186488028262,0.1365325,0.142995,0.1465065,1755,24.166735,67.185007,29.479517524786324,2.9804526290340188,27.6068725,29.352939,31.1314605,1755,10.266377,45.14397,15.181098217094018,2.5346091273666493,13.401421,15.111278,16.870065,1755,0.072509,0.181657,0.08713634643874643,0.012625424816578194,0.0800005,0.083652,0.0884375,1755,9.425358,43.926474,14.30199154017094,2.448956924440843,12.622847,14.224099,15.9825785,1755,0.105418,0.745755,0.2728025623931624,0.1062869360311081,0.2093215,0.251342,0.302993,1755,0.439528,0.772844,0.516612501994302,0.03361602873151313,0.49354,0.514005,0.538138,1755,0.0,1.2,0.48,0.5878775382679627,0.0,0.0,1.2,5
BilateralLagrangianConstraint_NNCG,0.028407,1.722687,0.09440163,0.11831139539036424,0.0434665,0.080998,0.10997175,1000,0.194284,0.343845,0.214426328,0.020636286485325214,0.1995585,0.2044285,0.22808175,1000,0.002021,0.021097,0.002648183,0.0007192098994806732,0.002199,0.002312,0.003098,4000,0.004235,0.030215,0.0052425945,0.0012029320475695,0.004517,0.004693,0.00590425,4000,0.01489,0.050418,0.017426085749999997,0.002327304522488825,0.01568275,0.016352,0.01879,4000,0.01489,0.050418,0.017426085749999997,0.002327304522488825,0.01568275,0.016352,0.01879,4000,0.020665,0.05165,0.023049080000000003,0.002967205532078962,0.02105275,0.0213705,0.0249455,1000,0.025488,0.059024,0.02771534,0.0027727701236128464,0.02613875,0.0264625,0.02893325,1000,0.488893,2.459078,0.5922935159999999,0.15186051348238538,0.50639275,0.5536515,0.65319225,1000,0.090819,0.202149,0.105623432,0.015671146213898205,0.09444075,0.0982175,0.11638325,1000,0.025112,0.071398,0.029556073,0.004573914363176359,0.0264805,0.0277985,0.0320325,1000,0.041326,0.117314,0.047875548000000004,0.008703940171996586,0.04211575,0.042994,0.05320425,1000,0.006246,0.026345,0.007546270000000001,0.0017370292297770927,0.006534,0.0067365,0.00812725,1000,0.016781,0.044675,0.019687661,0.0030385769834050612,0.0175625,0.018252,0.021403,1000,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
BilateralLagrangianConstraint_PGS,0.024633,1.659323,0.09460128100000001,0.11833855210635306,0.04401625,0.0807455,0.1105165,1000,0.195385,0.354564,0.216137863,0.021037028548305747,0.20109575,0.206481,0.23137675,1000,0.002041,0.018335,0.0027065025,0.0008160941033322996,0.002235,0.002343,0.003126,4000,0.004317,0.027773,0.0053077485,0.0011655352885038487,0.004584,0.004769,0.005952,4000,0.014951,0.053375,0.017595331999999998,0.0027405241694383946,0.015727,0.0165535,0.01881225,4000,0.014951,0.053375,0.017595331999999998,0.0027405241694383946,0.015727,0.0165535,0.01881225,4000,0.020501,0.055243,0.023110396000000002,0.0031248790599291997,0.021042,0.0213045,0.02495025,1000,0.025642,0.057765,0.027787206999999998,0.002778382089301434,0.0261995,0.0265215,0.02887175,1000,0.490501,2.390535,0.5943281920000001,0.15243253319165545,0.506794,0.5545265,0.65465825,1000,0.090859,0.210218,0.105454723,0.016225784896400884,0.09395775,0.097475,0.11574725,1000,0.025396,0.053857,0.029172097,0.004409800792279738,0.026323,0.0269705,0.031694,1000,0.041038,0.120042,0.048023,0.00904902357760217,0.0420345,0.0429495,0.05353025,1000,0.006097,0.027725,0.007503686,0.0017779347477913808,0.00638525,0.006839,0.0079745,1000,0.016794,0.067339,0.019762711999999998,0.0034105667773928717,0.01753875,0.0181115,0.021414,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
BilateralLagrangianConstraint_UGS,0.029234,1.742397,0.06650094599999999,0.11791108451549873,0.042097,0.0536475,0.06660425,1000,0.196564,0.318658,0.207192226,0.013890378545414953,0.20041025,0.2034925,0.207035,1000,0.001999,0.022012,0.0024949627500000003,0.000652055112595889,0.002187,0.002272,0.00299525,4000,0.004268,0.025348,0.005070373249999999,0.0011829140266454016,0.004534,0.004673,0.005844,4000,0.014911,0.051922,0.0170155655,0.002450331015130354,0.01562075,0.0161945,0.018527,4000,0.014911,0.051922,0.0170155655,0.002450331015130354,0.01562075,0.0161945,0.018527,4000,0.020592,0.075391,0.021764351999999997,0.0028997582233862185,0.021087,0.0212355,0.02141025,1000,0.025615,0.062261,0.026764688,0.0025201048665990074,0.02611375,0.0262495,0.026427,1000,0.509557,2.46684,0.567995437,0.14033925243819717,0.52494225,0.552873,0.56818275,1000,0.102716,0.216154,0.12570306,0.01595942048347621,0.1149125,0.1248005,0.13094825,1000,0.02507,0.06007,0.026950052,0.003242528435233221,0.025866,0.0262245,0.02662,1000,0.046504,0.115287,0.049669246,0.006713683006478933,0.04738675,0.047789,0.048647,1000,0.009249,0.077734,0.029368166,0.010174802655110516,0.02088875,0.030526,0.03556325,1000,0.017309,0.053134,0.018989541000000002,0.002861288600669111,0.01785075,0.018105,0.018507,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
FrictionContact_LCP_with_friction,0.036567,1.507496,0.07873539900000001,0.09706285282080782,0.0710245,0.071842,0.07476925,1000,0.060558,0.141121,0.078936811,0.009199466212953825,0.07784075,0.0783185,0.07923775,1000,0.003064,0.024581,0.004324445,0.0011729401932643454,0.00424575,0.004307,0.00436625,1000,0.006119,0.02581,0.007958409999999999,0.0013942716521180515,0.007806,0.007907,0.007994,1000,0.018745,0.058997,0.025104897,0.0035000858592884546,0.02486775,0.025081,0.025366,1000,0.018745,0.058997,0.025104897,0.0035000858592884546,0.02486775,0.025081,0.025366,1000,0.006492,0.020287,0.009671298,0.0013533547964949915,0.00961375,0.0097475,0.010001,1000,0.010183,0.042744,0.012394999,0.0019685736945816885,0.012199,0.0123025,0.01241,1000,0.162447,1.770791,0.266163898,0.1071028479551949,0.26018825,0.2625615,0.2664535,1000,0.012863,0.099824,0.039287426,0.01046099877117496,0.04008,0.0405055,0.0413275,1000,0.00213,0.009215,0.003108373,0.0005759795359828333,0.003017,0.003086,0.00315125,1000,0.007201,0.048126,0.017219716,0.004403141980148267,0.017288,0.017447,0.0176465,1000,0.001911,0.055968,0.016726606,0.006439849124378925,0.01788175,0.018075,0.0182005,1000,0.000989,0.010799,0.001499663,0.0007885357895688692,0.00132,0.001381,0.001441,1000,0.0,1.2,0.72,0.5878775382679627,0.0,1.2,1.2,5
FrictionContact_LCP_without_friction,0.036424,1.434248,0.09314882799999999,0.09544248554165183,0.07199025,0.0989375,0.1006965,1000,0.061104,0.134483,0.07883301,0.007583924105890037,0.078044,0.0786925,0.079707,1000,0.003074,0.014043,0.004280082,0.0006607929882164308,0.004272,0.004332,0.004386,1000,0.006153,0.023999,0.007896982,0.0011009432091057196,0.007809,0.007912,0.008025,1000,0.018727,0.062665,0.024948764,0.003041321639074697,0.02485475,0.025069,0.02528525,1000,0.018727,0.062665,0.024948764,0.003041321639074697,0.02485475,0.025069,0.02528525,1000,0.006525,0.032176,0.009688308999999999,0.0015739246981730096,0.00960675,0.0097785,0.00997025,1000,0.010152,0.025295,0.012115133,0.0009276175177900642,0.012085,0.012198,0.012299,1000,0.16385,1.703421,0.270141458,0.10554433062900268,0.24897425,0.2787865,0.28349575,1000,0.01294,0.066202,0.02927412,0.006650932996023941,0.02704,0.0310735,0.0316295,1000,0.002136,0.024022,0.003154692,0.0008236792040205945,0.003048,0.0031315,0.003204,1000,0.007231,0.041108,0.015979377,0.0037452492187931897,0.0156595,0.016365,0.01663425,1000,0.001882,0.029653,0.007970411,0.002884519373150231,0.00643525,0.0096595,0.009941,1000,0.001042,0.010734,0.001457226,0.0007642741752303292,0.001279,0.001337,0.001405,1000,0.0,1.2,0.72,0.5878775382679627,0.0,1.2,1.2,5
FixedProjectiveConstraint,0.006089,0.13625,0.007983429,0.008961442980957867,0.006459,0.0066225,0.0073985,1000,1.114309,1.525846,1.1441352420000002,0.038630399378487355,1.1191635,1.1316715,1.15276275,1000,0.067044,0.135923,0.069551979,0.005729500584218401,0.067483,0.0677285,0.06962925,1000,0.037537,0.093888,0.039166508999999995,0.004338838856182492,0.03790375,0.0381695,0.038401,1000,0.015221,0.04103,0.016550510999999997,0.002552837866743401,0.015709,0.015911,0.01620625,1000,0.983449,1.344883,1.010886123,0.03361004217155746,0.9894455,1.0003315,1.0179025,1000,0.002745,0.015501,0.003072845,0.0009145389586972226,0.002889,0.002941,0.00301225,1000,0.011047,0.041822,0.011792679,0.0018919606105727994,0.011301,0.011394,0.01154925,1000,1.149771,1.569639,1.183526862,0.04350499715038442,1.15688125,1.1692275,1.19105125,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1.2,0.48,0.5878775382679627,0.0,0.0,1.2,5
FEMBAR_EigenSimplicialLDLT,0.000297,0.00634,0.000395502,0.0004248963850116873,0.000327,0.00034,0.000355,1000,2.502729,4.945882,2.5810566579999996,0.19066022481585676,2.5142655,2.5311945,2.59715575,1000,0.052133,0.092421,0.053284339,0.0026334351087655456,0.05260375,0.052801,0.053013,1000,0.044444,0.087943,0.045415555,0.002967559972599543,0.04475825,0.0449025,0.04509075,1000,0.69128,2.07765,0.7099588,0.09451682019361421,0.696501,0.698499,0.70154525,1000,1.702499,2.819369,1.764664408,0.1167892425691148,1.71088575,1.716803,1.77577725,1000,0.001287,0.007454,0.001570148,0.0005705828144064628,0.001397,0.001441,0.00150425,1000,0.01184,0.029051,0.012438341,0.0010323332847094488,0.01213675,0.012259,0.01243025,1000,2.526972,5.005856,2.606702786,0.19294655702086058,2.53923025,2.5563445,2.622147,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
FEMBAR_EigenSimplicialLLT,0.000306,0.00583,0.00038830099999999997,0.00037414583573654804,0.00033,0.000339,0.000349,1000,2.617146,4.867087,2.689783457,0.17543357652158312,2.63034075,2.6729615,2.68818925,1000,0.052256,0.089029,0.053586137000000006,0.003022436552556728,0.052579,0.0527815,0.0531065,1000,0.044494,0.095891,0.045815864000000005,0.0036408701591108678,0.04486175,0.045042,0.04536525,1000,0.690471,1.923756,0.7075961119999999,0.08396044515665371,0.69565375,0.6977645,0.70016075,1000,1.814279,2.822809,1.874911087,0.10682033341904261,1.82460075,1.8611115,1.88380025,1000,0.001253,0.00745,0.001586746,0.0005719915711651702,0.00139075,0.001466,0.0015665,1000,0.011811,0.023435,0.012432981,0.0008538002065114531,0.012157,0.0122755,0.01242625,1000,2.641395,4.921878,2.715382742,0.17728327889659937,2.6561235,2.697741,2.71471075,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
