SceneName,CollisionDetection_min,CollisionDetection_max,CollisionDetection_mean,CollisionDetection_std,CollisionDetection_quartile1,CollisionDetection_quartile2,CollisionDetection_quartile3,CollisionDetection_cardinality,ODESolve_min,ODESolve_max,ODESolve_mean,ODESolve_std,ODESolve_quartile1,ODESolve_quartile2,ODESolve_quartile3,ODESolve_cardinality,ComputeForce_min,ComputeForce_max,ComputeForce_mean,ComputeForce_std,ComputeForce_quartile1,ComputeForce_quartile2,ComputeForce_quartile3,ComputeForce_cardinality,ComputeRHTerm_min,ComputeRHTerm_max,ComputeRHTerm_mean,ComputeRHTerm_std,ComputeRHTerm_quartile1,ComputeRHTerm_quartile2,ComputeRHTerm_quartile3,ComputeRHTerm_cardinality,setSystemMBKMatrix_min,setSystemMBKMatrix_max,setSystemMBKMatrix_mean,setSystemMBKMatrix_std,setSystemMBKMatrix_quartile1,setSystemMBKMatrix_quartile2,setSystemMBKMatrix_quartile3,setSystemMBKMatrix_cardinality,MBKSolve_min,MBKSolve_max,MBKSolve_mean,MBKSolve_std,MBKSolve_quartile1,MBKSolve_quartile2,MBKSolve_quartile3,MBKSolve_cardinality,ProjectAndMechaMap_min,ProjectAndMechaMap_max,ProjectAndMechaMap_mean,ProjectAndMechaMap_std,ProjectAndMechaMap_quartile1,ProjectAndMechaMap_quartile2,ProjectAndMechaMap_quartile3,ProjectAndMechaMap_cardinality,UpdateBBox_min,UpdateBBox_max,UpdateBBox_mean,UpdateBBox_std,UpdateBBox_quartile1,UpdateBBox_quartile2,UpdateBBox_quartile3,UpdateBBox_cardinality,TimeStep_min,TimeStep_max,TimeStep_mean,TimeStep_std,TimeStep_quartile1,TimeStep_quartile2,TimeStep_quartile3,TimeStep_cardinality,SolveConstraint_min,SolveConstraint_max,SolveConstraint_mean,SolveConstraint_std,SolveConstraint_quartile1,SolveConstraint_quartile2,SolveConstraint_quartile3,SolveConstraint_cardinality,PrepareState_min,PrepareState_max,PrepareState_mean,PrepareState_std,PrepareState_quartile1,PrepareState_quartile2,PrepareState_quartile3,PrepareState_cardinality,BuildSystem_min,BuildSystem_max,BuildSystem_mean,BuildSystem_std,BuildSystem_quartile1,BuildSystem_quartile2,BuildSystem_quartile3,BuildSystem_cardinality,SolveSystem_min,SolveSystem_max,SolveSystem_mean,SolveSystem_std,SolveSystem_quartile1,SolveSystem_quartile2,SolveSystem_quartile3,SolveSystem_cardinality,ApplyCorrection_min,ApplyCorrection_max,ApplyCorrection_mean,ApplyCorrection_std,ApplyCorrection_quartile1,ApplyCorrection_quartile2,ApplyCorrection_quartile3,ApplyCorrection_cardinality,CPUUsage_min,CPUUsage_max,CPUUsage_mean,CPUUsage_std,CPUUsage_quartile1,CPUUsage_quartile2,CPUUsage_quartile3,CPUUsage_cardinality
fallingBeamLagrangianCollision,0.323887,0.557025,0.3412695294117647,0.019637823889020745,0.3321735,0.337927,0.3440825,255,12.141977,38.177142,12.707623858823528,1.65155259421829,12.3675415,12.594518,12.6972715,255,0.286055,0.403518,0.29905433725490194,0.01589293259862063,0.289746,0.295538,0.3021545,255,0.136367,0.273442,0.14830259607843138,0.019396186071978384,0.138045,0.138943,0.145544,255,3.869703,16.457913,4.00329422745098,0.7879816109316179,3.8986655,3.930692,3.985195,255,3.869703,16.457913,4.00329422745098,0.7879816109316179,3.8986655,3.930692,3.985195,255,0.022346,0.043603,0.0246794,0.002531289406529376,0.023447,0.02381,0.024564,255,0.053327,0.107553,0.05676318823529412,0.005639621423452252,0.0546965,0.055414,0.057122,255,40.279162,82.092974,47.988029572549024,3.4989321798349424,47.870418,48.134163,48.368567,255,27.187207,46.219152,34.75413127843137,2.5635601683327933,35.035415,35.138785,35.2240255,255,0.020425,0.042096,0.0223320431372549,0.002020548673810462,0.0216525,0.021964,0.02233,255,21.804053,30.607388,22.192217600000003,1.3956930984429112,21.8790485,21.909817,21.940688,255,4.878106,15.282775,12.127219435294117,1.8351199466258252,12.7189925,12.80505,12.8683115,255,0.388553,0.649798,0.40976877647058824,0.02895076214244568,0.3961145,0.404054,0.411399,255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
SofaScene,12.664781,39.83066,13.315386135612536,1.5437294795848342,12.917073,13.129076,13.2521015,1755,12.366117,39.357308,12.970843415954416,1.5272246980476265,12.5757905,12.784917,12.902047,1755,0.008699,2.023869,0.2578806339031339,0.2294828076325702,0.05402775,0.2838745,0.4087065,10530,0.008681,3.169357,0.10693191206077873,0.09246317466685311,0.022559,0.1123205,0.18191425,10530,0.077837,23.200706,1.873466456980057,1.9520490983330117,0.1717165,1.2366135,2.66926,10530,0.077837,23.200706,1.873466456980057,1.9520490983330117,0.1717165,1.2366135,2.66926,10530,0.093117,0.470321,0.11923052022792023,0.017499880462954084,0.112898,0.117929,0.121205,1755,0.132673,0.554868,0.15136381766381768,0.017954263504228993,0.1437645,0.146317,0.149441,1755,23.640256,63.373048,29.304504314529915,3.3714299523001166,27.2729925,29.064255,30.9077205,1755,10.327622,42.601688,15.354281604558405,2.661947798225998,13.4684115,15.265249,17.0085695,1755,0.073157,0.37088,0.09028147920227919,0.015836752802612312,0.0833485,0.086613,0.090549,1755,9.540514,41.298252,14.486752137321938,2.5718012503390217,12.7030535,14.408115,16.1070385,1755,0.104618,1.054222,0.2817099213675213,0.10885983192394731,0.218931,0.258614,0.3109865,1755,0.412597,1.409563,0.4932454393162393,0.04229360162087312,0.47011,0.49043,0.5115055,1755,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
BilateralLagrangianConstraint_NNCG,0.0321,1.796699,0.09593178100000001,0.12359403004338454,0.04325475,0.082153,0.111466,1000,0.276538,0.483303,0.305776731,0.026145690680390125,0.286475,0.2935965,0.3238795,1000,0.001298,0.013835,0.00198304025,0.0007870928538806191,0.001564,0.001721,0.00235025,4000,0.002889,0.013592,0.0038842672499999997,0.0008950452817189964,0.00329575,0.003527,0.004417,4000,0.020923,0.053021,0.024379229500000002,0.0031133935212770245,0.022142,0.0235425,0.02572625,4000,0.020923,0.053021,0.024379229500000002,0.0031133935212770245,0.022142,0.0235425,0.02572625,4000,0.020751,0.049882,0.023205731,0.002972893108848517,0.02128,0.021509,0.02514425,1000,0.025824,0.061647,0.027927352,0.0030816744685472535,0.026287,0.026541,0.02917175,1000,0.575848,2.621101,0.689419673,0.15891665674304903,0.603833,0.6476835,0.7558085,1000,0.09265,0.217536,0.10697396099999999,0.016087501578165547,0.09573575,0.099299,0.11719975,1000,0.025892,0.084292,0.029980221,0.005247829689705926,0.0269795,0.027636,0.0321615,1000,0.042209,0.123447,0.049032609,0.008923356946582322,0.04317875,0.0451015,0.0540965,1000,0.006256,0.027578,0.007575467,0.0019192298561951874,0.006465,0.006623,0.008023,1000,0.017043,0.042843,0.01981172,0.0028845727558167084,0.0178025,0.0182805,0.02137475,1000,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
BilateralLagrangianConstraint_PGS,0.038304,1.769861,0.097094554,0.12933893120591758,0.043207,0.0819,0.11192825,1000,0.275611,1.484476,0.30746219300000005,0.04711441131142096,0.2862325,0.2932025,0.32349325,1000,0.001269,0.019086,0.00199984475,0.0008525039713382205,0.001578,0.001753,0.00233725,4000,0.002985,0.026949,0.00397028125,0.0010069783739725681,0.003387,0.003623,0.004503,4000,0.02076,0.135249,0.02449167775,0.004726312908431364,0.02195875,0.0235755,0.02572725,4000,0.02076,0.135249,0.02449167775,0.004726312908431364,0.02195875,0.0235755,0.02572725,4000,0.020811,0.128505,0.023502204000000002,0.004800250158521324,0.02124375,0.0214985,0.02524625,1000,0.025879,0.156054,0.028118591000000002,0.0049944801414881015,0.026399,0.026705,0.02917,1000,0.577509,3.560882,0.6939590400000001,0.18956018773625016,0.601532,0.6437225,0.7571715,1000,0.092254,0.713667,0.107384124,0.02510450405645616,0.09522225,0.0991385,0.11732175,1000,0.025604,0.219071,0.029857632000000002,0.007590315337624385,0.02675075,0.0275135,0.03192825,1000,0.04218,0.315788,0.049493197999999995,0.012638014675762805,0.043169,0.0444965,0.05476,1000,0.005975,0.043753,0.0076093720000000005,0.002197302850682172,0.00635275,0.0068825,0.00812575,1000,0.017158,0.13168,0.019851287,0.004598709902856561,0.017638,0.0181655,0.0212825,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
BilateralLagrangianConstraint_UGS,0.02876,1.811717,0.066806898,0.11804478456614505,0.04195775,0.054547,0.06697675,1000,0.271679,0.423912,0.29452964000000004,0.01740267646456717,0.28604425,0.289934,0.29628825,1000,0.001279,0.014198,0.001894846,0.0008017532823655915,0.001542,0.001669,0.00225425,4000,0.002853,0.035381,0.00376172525,0.0011745514493892713,0.003266,0.003437,0.0042705,4000,0.021035,0.067438,0.023702955249999998,0.0030283540733783815,0.021938,0.023288,0.024158,4000,0.021035,0.067438,0.023702955249999998,0.0030283540733783815,0.021938,0.023288,0.024158,4000,0.020888,0.045945,0.021917818999999998,0.0021035305051838446,0.021227,0.021367,0.0215165,1000,0.025801,0.062546,0.027025384,0.0022686564849143643,0.02638575,0.0265165,0.0266835,1000,0.596297,2.652933,0.660132868,0.14171640167297708,0.61658425,0.642616,0.66290175,1000,0.10338,0.219392,0.127873066,0.01651422338463556,0.1168,0.126316,0.13266175,1000,0.025698,0.065616,0.027848328000000002,0.004009450943011524,0.026608,0.0268835,0.0272255,1000,0.04771,0.11354,0.050994426,0.007010594329906987,0.048568,0.049,0.0497205,1000,0.00936,0.067069,0.029299259999999997,0.009977421009980485,0.02086625,0.0307815,0.035411,1000,0.017452,0.054762,0.019143201000000002,0.003000556141550929,0.01797125,0.018178,0.01853675,1000,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
FrictionContact_LCP_with_friction,0.033597,1.415754,0.079943325,0.09460189411218665,0.0719525,0.0742495,0.07592325,1000,0.081402,0.230193,0.108347259,0.011388544912319526,0.10613575,0.1090705,0.11055425,1000,0.002217,0.013489,0.003218068,0.0009714960130520352,0.003062,0.00314,0.00322,1000,0.004408,0.016244,0.005822092,0.0010906762899852548,0.005691,0.005776,0.00584925,1000,0.024964,0.155953,0.034188267999999994,0.0054085437646538455,0.033061,0.033519,0.03601025,1000,0.024964,0.155953,0.034188267999999994,0.0054085437646538455,0.033061,0.033519,0.03601025,1000,0.00654,0.038052,0.009799501,0.0018279481447784562,0.009695,0.009842,0.0100845,1000,0.010347,0.028111,0.01253347,0.001482057495207254,0.01231875,0.012452,0.01256,1000,0.186657,1.735218,0.2979136,0.10568781523900472,0.29259075,0.296129,0.30058225,1000,0.013122,0.087411,0.039682174,0.010231689002785609,0.0407835,0.041213,0.04203825,1000,0.00219,0.013572,0.003233761,0.0007379063882898697,0.003096,0.003166,0.00325625,1000,0.007225,0.046531,0.017533004,0.004313058122027108,0.01760375,0.0177585,0.0179765,1000,0.00186,0.057344,0.016898025,0.006226785720608587,0.0180995,0.01833,0.018558,1000,0.000987,0.006156,0.001475284,0.0005571263477381051,0.001327,0.001375,0.00145425,1000,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
FrictionContact_LCP_without_friction,0.037532,1.60815,0.095620034,0.10061104430520956,0.07399425,0.0994315,0.10372725,1000,0.081654,0.219817,0.10876617,0.012108444035510922,0.10656,0.109021,0.11061,1000,0.002247,0.017027,0.003231678,0.001121598923107543,0.00302775,0.003111,0.003193,1000,0.004439,0.021499,0.005816586,0.000979841368081589,0.00568875,0.005791,0.005884,1000,0.025095,0.068415,0.034539015,0.004449684083704708,0.0334035,0.0338905,0.03620725,1000,0.025095,0.068415,0.034539015,0.004449684083704708,0.0334035,0.0338905,0.03620725,1000,0.006518,0.025134,0.009700257,0.0016368490745792663,0.00963175,0.009759,0.009886,1000,0.010245,0.028742,0.012425174,0.0013224078084025366,0.012283,0.0123815,0.012486,1000,0.183722,1.899115,0.303634742,0.11186131969458181,0.280868,0.310688,0.3180525,1000,0.012879,0.066596,0.029465701,0.0067532611493706495,0.027327,0.031315,0.0318975,1000,0.002123,0.01277,0.003207711,0.0007105420434281142,0.003088,0.003151,0.003224,1000,0.007233,0.042543,0.016232091,0.003917720885759857,0.01585,0.016556,0.016871,1000,0.00187,0.036164,0.008070527,0.00295752710473987,0.0065055,0.0097075,0.009944,1000,0.001006,0.006296,0.001442309,0.000558767790337811,0.001279,0.0013505,0.001411,1000,0.0,1.2,0.48,0.5878775382679627,0.0,0.0,1.2,5
FixedProjectiveConstraint,0.006485,0.141435,0.008178304,0.009098892922305658,0.006808,0.006951,0.00721725,1000,1.133005,1.35304,1.180092875,0.04966718398684764,1.1437495,1.1557265,1.20607925,1000,0.066585,0.109745,0.068062994,0.003989979083900566,0.066955,0.0670885,0.067295,1000,0.03676,0.057145,0.03777204,0.0017032063716414401,0.037222,0.0373795,0.037547,1000,0.021518,0.050969,0.023138575,0.0022246342347394996,0.02193425,0.022222,0.02430125,1000,0.983528,1.186813,1.027800327,0.048817631208755624,0.991751,1.004525,1.0524995,1000,0.002829,0.008392,0.0031695810000000003,0.0005730321504409679,0.00299675,0.003047,0.003108,1000,0.010942,0.026436,0.011465156999999998,0.000837502579310058,0.011241,0.011326,0.011411,1000,1.169093,1.548644,1.2188882250000002,0.05272807486952634,1.181218,1.1937245,1.243047,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1.2,0.48,0.5878775382679627,0.0,0.0,1.2,5
FEMBAR_EigenSimplicialLDLT,0.00029,0.001002,0.000337947,4.974382565706019e-05,0.000319,0.00033,0.000347,1000,2.516521,4.978296,2.5742775940000002,0.18593977424750513,2.53183325,2.5372885,2.5719405,1000,0.051545,0.093391,0.053337707000000005,0.0031527222251811213,0.05205875,0.052563,0.0530705,1000,0.043803,0.084812,0.045099951,0.0030879936341577847,0.044291,0.044445,0.04474375,1000,0.69785,2.130188,0.716675484,0.09527713166723556,0.70282675,0.7047645,0.7074855,1000,1.692444,2.7561,1.7353616159999998,0.10465714336262262,1.706715,1.7108685,1.73251225,1000,0.00123,0.003834,0.001439998,0.00018477841323055028,0.001365,0.0014095,0.001469,1000,0.012658,0.03993,0.013368377,0.0012505697401068844,0.013017,0.013179,0.01341125,1000,2.541312,5.038357,2.601070259,0.18826338130348644,2.5576235,2.5643925,2.59869825,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
FEMBAR_EigenSimplicialLLT,0.000288,0.00284,0.000350227,9.499974458386715e-05,0.000328,0.000339,0.000354,1000,2.618856,4.955027,2.695856054,0.1826646315304555,2.63609525,2.6693605,2.69595,1000,0.051387,0.100183,0.053532447,0.0037782670534506958,0.0518375,0.0521925,0.053477,1000,0.043798,0.086536,0.045347483,0.003218558252651488,0.04427175,0.0444375,0.04480325,1000,0.697986,1.93665,0.7233200200000001,0.08707549555944886,0.703962,0.707352,0.7272765,1000,1.797238,2.864042,1.8495795800000001,0.1088794577282951,1.81084675,1.8289295,1.84791125,1000,0.0013,0.01068,0.001486444,0.00032979162643099357,0.001385,0.00144,0.00153025,1000,0.012611,0.035966,0.013445753000000001,0.0015524151371302073,0.01304075,0.013239,0.013418,1000,2.643621,5.014604,2.722854554,0.1852259846005173,2.66250175,2.6952775,2.7224315,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1.2,0.48,0.5878775382679627,0.0,0.0,1.2,5
