SceneName,CollisionDetection_min,CollisionDetection_max,CollisionDetection_mean,CollisionDetection_std,CollisionDetection_quartile1,CollisionDetection_quartile2,CollisionDetection_quartile3,CollisionDetection_cardinality,ODESolve_min,ODESolve_max,ODESolve_mean,ODESolve_std,ODESolve_quartile1,ODESolve_quartile2,ODESolve_quartile3,ODESolve_cardinality,ComputeForce_min,ComputeForce_max,ComputeForce_mean,ComputeForce_std,ComputeForce_quartile1,ComputeForce_quartile2,ComputeForce_quartile3,ComputeForce_cardinality,ComputeRHTerm_min,ComputeRHTerm_max,ComputeRHTerm_mean,ComputeRHTerm_std,ComputeRHTerm_quartile1,ComputeRHTerm_quartile2,ComputeRHTerm_quartile3,ComputeRHTerm_cardinality,setSystemMBKMatrix_min,setSystemMBKMatrix_max,setSystemMBKMatrix_mean,setSystemMBKMatrix_std,setSystemMBKMatrix_quartile1,setSystemMBKMatrix_quartile2,setSystemMBKMatrix_quartile3,setSystemMBKMatrix_cardinality,MBKSolve_min,MBKSolve_max,MBKSolve_mean,MBKSolve_std,MBKSolve_quartile1,MBKSolve_quartile2,MBKSolve_quartile3,MBKSolve_cardinality,ProjectAndMechaMap_min,ProjectAndMechaMap_max,ProjectAndMechaMap_mean,ProjectAndMechaMap_std,ProjectAndMechaMap_quartile1,ProjectAndMechaMap_quartile2,ProjectAndMechaMap_quartile3,ProjectAndMechaMap_cardinality,UpdateBBox_min,UpdateBBox_max,UpdateBBox_mean,UpdateBBox_std,UpdateBBox_quartile1,UpdateBBox_quartile2,UpdateBBox_quartile3,UpdateBBox_cardinality,TimeStep_min,TimeStep_max,TimeStep_mean,TimeStep_std,TimeStep_quartile1,TimeStep_quartile2,TimeStep_quartile3,TimeStep_cardinality,SolveConstraint_min,SolveConstraint_max,SolveConstraint_mean,SolveConstraint_std,SolveConstraint_quartile1,SolveConstraint_quartile2,SolveConstraint_quartile3,SolveConstraint_cardinality,PrepareState_min,PrepareState_max,PrepareState_mean,PrepareState_std,PrepareState_quartile1,PrepareState_quartile2,PrepareState_quartile3,PrepareState_cardinality,BuildSystem_min,BuildSystem_max,BuildSystem_mean,BuildSystem_std,BuildSystem_quartile1,BuildSystem_quartile2,BuildSystem_quartile3,BuildSystem_cardinality,SolveSystem_min,SolveSystem_max,SolveSystem_mean,SolveSystem_std,SolveSystem_quartile1,SolveSystem_quartile2,SolveSystem_quartile3,SolveSystem_cardinality,ApplyCorrection_min,ApplyCorrection_max,ApplyCorrection_mean,ApplyCorrection_std,ApplyCorrection_quartile1,ApplyCorrection_quartile2,ApplyCorrection_quartile3,ApplyCorrection_cardinality,CPUUsage_min,CPUUsage_max,CPUUsage_mean,CPUUsage_std,CPUUsage_quartile1,CPUUsage_quartile2,CPUUsage_quartile3,CPUUsage_cardinality
fallingBeamLagrangianCollision,0.340186,0.518446,0.3530937568627451,0.016680683704298368,0.343825,0.347263,0.354449,255,11.82885,14.309289,12.339186952941176,0.25808957992517,12.207909,12.377507,12.479422,255,0.287666,0.352527,0.3000904588235294,0.014292398804865616,0.29135,0.293983,0.301981,255,0.140344,0.20988,0.1454376980392157,0.008761917589326722,0.141958,0.142626,0.1436145,255,3.556787,4.077206,3.6691021098039216,0.06677828958038728,3.617498,3.665984,3.7116405,255,3.556787,4.077206,3.6691021098039216,0.06677828958038728,3.617498,3.665984,3.7116405,255,0.02223,0.057161,0.024235070588235295,0.0034639565323142264,0.0232885,0.02363,0.0240035,255,0.047973,0.104189,0.05091383529411765,0.005526981682789584,0.0491205,0.049552,0.0503975,255,40.25176,55.019633,48.2374873254902,2.910903749656903,47.7243715,48.094934,48.307944,255,27.150863,41.78331,35.37759506666667,2.9703569712450455,35.1228215,35.233059,35.3388535,255,0.020296,0.040847,0.021736827450980392,0.001971366670769036,0.0210945,0.021439,0.0217605,255,21.781073,28.427157,22.779990490196077,2.1518449000779754,21.8766445,21.919016,21.970434,255,4.857158,14.404933,12.15509771372549,1.7953375748532379,12.786189,12.864919,12.937337,255,0.394924,0.494744,0.4183016823529412,0.01780230956301827,0.4076085,0.412046,0.42078,255,0.0,1.2,0.48,0.5878775382679627,0.0,0.0,1.2,5
SofaScene,8.988479,14.116629,9.427560898575498,0.37861260396929053,9.1720885,9.381487,9.5736725,1755,8.708975,13.794869,9.114878505413106,0.3740959097837361,8.8653065,9.072254,9.258887,1755,0.004956,0.648543,0.17838019743589742,0.1744305006003741,0.02859875,0.120657,0.28251575,10530,0.006028,0.324693,0.08453045356125355,0.08166207231983506,0.01472025,0.0657965,0.147458,10530,0.034566,5.596819,1.1821138431149096,1.2157861386884705,0.09144725,0.906359,1.7700075,10530,0.034566,5.596819,1.1821138431149096,1.2157861386884705,0.09144725,0.906359,1.7700075,10530,0.091222,0.175107,0.10705882792022792,0.01198771446814691,0.0976705,0.105121,0.113346,1755,0.119362,0.221331,0.132940588034188,0.01130746441859812,0.1257965,0.131172,0.1357545,1755,23.908345,42.65097,30.65032714017094,3.5929763902133107,28.2187,30.060576,32.3653175,1755,14.09967,32.671884,20.717630111111113,3.5958122162046213,18.3762875,20.059042,22.4218175,1755,0.074403,0.144348,0.08581031339031339,0.008776918519589168,0.0812005,0.083502,0.087532,1755,13.309896,31.585532,19.87600273846154,3.5071441959423075,17.5817655,19.233782,21.5864995,1755,0.100967,0.690477,0.2580726854700855,0.10363893811050257,0.198848,0.232818,0.283819,1755,0.430791,0.634432,0.4955017937321937,0.028836554411013356,0.4756895,0.492486,0.5110655,1755,0.0,1.2,0.45999999999999996,0.5642694391866354,0.0,0.0,1.1,5
BilateralLagrangianConstraint_NNCG,0.039443,1.8396,0.10851641499999999,0.1257313687781008,0.0547775,0.093011,0.1239895,1000,0.12579,0.234538,0.143893358,0.01741003060462089,0.1309285,0.136228,0.15658375,1000,0.001816,0.023234,0.00261390175,0.0012523666444364196,0.002026,0.00216,0.003024,4000,0.003971,0.030524,0.0052000835,0.001755480813061695,0.004305,0.004478,0.005785,4000,0.000358,0.015413,0.0007343590000000001,0.0007432364641343965,0.000449,0.000499,0.000938,4000,0.000358,0.015413,0.0007343590000000001,0.0007432364641343965,0.000449,0.000499,0.000938,4000,0.020306,0.056782,0.023192137999999998,0.0037340202668110947,0.02087675,0.021182,0.0250075,1000,0.025587,0.065612,0.028329683,0.004544201492507897,0.02612175,0.026473,0.02956675,1000,0.423581,2.490863,0.527756257,0.15421128415985305,0.4545615,0.4886215,0.58147,1000,0.087295,0.211545,0.10384283,0.016603713749673597,0.091177,0.095458,0.11457425,1000,0.02483,0.070808,0.029658032,0.005981371154591228,0.02597575,0.027004,0.032034,1000,0.039819,0.099229,0.047026079,0.0088655109016209,0.0408785,0.0433725,0.052193,1000,0.005499,0.027203,0.006775205,0.001996320313220051,0.00573675,0.00589,0.00721525,1000,0.016259,0.049352,0.019815957999999998,0.00397823900592159,0.017136,0.0179905,0.02118025,1000,0.0,1.2,0.72,0.5878775382679627,0.0,1.2,1.2,5
BilateralLagrangianConstraint_PGS,0.036842,1.788945,0.108315988,0.12532578554339033,0.05346,0.0942775,0.12512425,1000,0.124894,0.255088,0.143713142,0.017684951405865835,0.13037575,0.1364165,0.155054,1000,0.001843,0.023147,0.00257274775,0.0011534942185030394,0.002026,0.002173,0.003034,4000,0.00399,0.028242,0.0052369185,0.0017211524369903292,0.004296,0.004519,0.00581725,4000,0.000359,0.021776,0.00072132375,0.0008495934674513084,0.000446,0.000494,0.00085,4000,0.000359,0.021776,0.00072132375,0.0008495934674513084,0.000446,0.000494,0.00085,4000,0.020086,0.057462,0.02302313,0.003844910268276751,0.020762,0.02103,0.02483525,1000,0.025552,0.077846,0.028334198,0.0046849770508291715,0.02611175,0.0264625,0.029438,1000,0.418899,2.399381,0.526718623,0.1546201734844159,0.453512,0.4887505,0.57844175,1000,0.087319,0.206112,0.103337807,0.01710386840383634,0.09089475,0.094827,0.113711,1000,0.024976,0.067299,0.029487384,0.005610299987393187,0.02601375,0.027114,0.03191225,1000,0.039636,0.120635,0.046863552,0.009192684905363395,0.0406755,0.0419875,0.05211525,1000,0.00544,0.030432,0.006806307,0.0021116366890994763,0.0057145,0.0061245,0.0071615,1000,0.016273,0.060477,0.019628368,0.004432492722450427,0.0170665,0.0176935,0.02089275,1000,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
BilateralLagrangianConstraint_UGS,0.036982,1.682965,0.079865689,0.1169328453161569,0.0527995,0.067175,0.07941225,1000,0.125412,0.302221,0.136165487,0.016488569875335795,0.127761,0.130297,0.13298825,1000,0.001819,0.113814,0.0024175955,0.002079969487728065,0.001949,0.00203,0.00291025,4000,0.003949,0.027143,0.00489655625,0.001862475441673242,0.00416975,0.004277,0.00564725,4000,0.000364,0.079414,0.0007383952500000001,0.001444839216150862,0.00045175,0.000497,0.000931,4000,0.000364,0.079414,0.0007383952500000001,0.001444839216150862,0.00045175,0.000497,0.000931,4000,0.020442,0.059259,0.022003593000000002,0.004123515464667375,0.0207925,0.0209485,0.021168,1000,0.025414,0.066207,0.027131373,0.004631920194678552,0.02584075,0.0260045,0.02621975,1000,0.436726,2.323305,0.502452851,0.13833125295686002,0.4629955,0.4847215,0.5088075,1000,0.099998,0.228773,0.124261421,0.01799028260594477,0.11099675,0.121577,0.12912875,1000,0.024766,0.074813,0.027636602,0.005441415797712577,0.025817,0.026213,0.0266575,1000,0.044803,0.126063,0.049374784,0.009399056197903275,0.04579325,0.04626,0.04733125,1000,0.009043,0.083075,0.027911224999999998,0.01020480570468517,0.01936175,0.02896,0.0335955,1000,0.016676,0.061351,0.018788972,0.0040335493666516595,0.01720375,0.017489,0.01815575,1000,0.0,1.2,0.48,0.5878775382679627,0.0,0.0,1.2,5
FrictionContact_LCP_with_friction,0.039946,1.552748,0.08390883900000001,0.09931864471776224,0.0746665,0.0753135,0.078146,1000,0.040503,0.108657,0.053510357,0.00811585480325708,0.05155675,0.0519,0.052672,1000,0.002866,0.022774,0.0042127,0.0015749189090235724,0.00400975,0.004069,0.004128,1000,0.005754,0.028901,0.007808695,0.001836383364653198,0.007554,0.00764,0.007721,1000,0.000732,0.015786,0.001029642,0.0006364878834950434,0.000939,0.000971,0.001002,1000,0.000732,0.015786,0.001029642,0.0006364878834950434,0.000939,0.000971,0.001002,1000,0.006142,0.031701,0.009575117000000001,0.002332944876612176,0.009329,0.009465,0.00960925,1000,0.010021,0.02954,0.012477292,0.00206002857765032,0.01217175,0.0122995,0.012438,1000,0.140709,1.787972,0.242472704,0.10913336650972692,0.23170125,0.234101,0.24574275,1000,0.012101,0.109447,0.038541795,0.011182656323118179,0.03881275,0.039169,0.0407565,1000,0.001996,0.01964,0.00306615,0.001175836075097205,0.002894,0.0029715,0.003057,1000,0.006802,0.061785,0.016917087,0.004876987822768373,0.016705,0.0168675,0.017081,1000,0.001591,0.078862,0.016303805,0.006792771556071572,0.01717975,0.0174765,0.0176625,1000,0.000954,0.016493,0.001455126,0.0009663634617078607,0.001285,0.001332,0.001382,1000,0.0,1.2,0.48,0.5878775382679627,0.0,0.0,1.2,5
FrictionContact_LCP_without_friction,0.039749,1.56885,0.097568647,0.10154444867328984,0.07463375,0.102091,0.1040655,1000,0.039715,0.116427,0.052593153,0.008561369185100651,0.050365,0.050878,0.05191975,1000,0.0028,0.022778,0.0041763239999999995,0.001464848045028562,0.00399175,0.0040725,0.00414725,1000,0.00573,0.027403,0.007697385,0.0020646891196436814,0.007396,0.007493,0.007595,1000,0.000731,0.012325,0.001011348,0.0006483525359678946,0.000908,0.000941,0.000975,1000,0.000731,0.012325,0.001011348,0.0006483525359678946,0.000908,0.000941,0.000975,1000,0.006002,0.03759,0.009462176,0.002383589380540197,0.009155,0.009325,0.009478,1000,0.009969,0.040198,0.012513795,0.0024730905881052965,0.012097,0.012214,0.01233825,1000,0.138747,1.816562,0.244633078,0.11259175067466495,0.21790725,0.2488855,0.253783,1000,0.011768,0.091316,0.028481096,0.0077735539154741825,0.02554275,0.029408,0.030104,1000,0.001964,0.019229,0.0030908069999999997,0.0013271644064512128,0.002861,0.0029365,0.0030705,1000,0.006735,0.056758,0.01567313,0.004523055210043318,0.01499275,0.0156945,0.01601325,1000,0.001569,0.030849,0.007503196,0.0032391719845639563,0.00585275,0.0089185,0.00916125,1000,0.000965,0.019444,0.001390877,0.0009916631705730531,0.00120875,0.001267,0.001332,1000,0.0,7.1,1.6599999999999997,2.7594202289611487,0.0,0.0,1.2,5
FixedProjectiveConstraint,0.008292,0.135252,0.010069261000000001,0.008594733997098397,0.0087155,0.008915,0.009533,1000,1.116869,1.362625,1.158877266,0.03882125176790728,1.130757,1.1466065,1.18577325,1000,0.067153,0.110365,0.070023094,0.006296539200955077,0.067546,0.067839,0.07015325,1000,0.037899,0.079438,0.040174565,0.005220048131748883,0.03826775,0.0386805,0.04064425,1000,0.00064,0.02066,0.00088175,0.0007550314268293738,0.00078275,0.000829,0.00087125,1000,1.002834,1.18933,1.039435313,0.03477526692341888,1.0135415,1.029507,1.06580475,1000,0.002619,0.024149,0.003091203,0.0013498988250202307,0.002792,0.0028775,0.00297525,1000,0.007985,0.025955,0.008725166,0.001669276140859864,0.00832675,0.00843,0.008633,1000,1.14925,1.549159,1.194749043,0.04362543891237257,1.16555925,1.180882,1.22026175,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
FEMBAR_EigenSimplicialLDLT,0.000289,0.002854,0.000347505,9.291961028222192e-05,0.000325,0.000337,0.000352,1000,2.468579,5.224754,2.55977233,0.2055168368163278,2.512129,2.5348665,2.55817525,1000,0.051737,0.092697,0.055151218,0.006381896029274999,0.0524165,0.053442,0.05539475,1000,0.043938,0.100673,0.046654904000000004,0.0053088632880103435,0.04435375,0.0446315,0.04765375,1000,0.689282,2.231502,0.716327152,0.10437592855727269,0.69499275,0.700603,0.72326425,1000,1.669047,2.86267,1.733862179,0.1176516281113736,1.6983355,1.7172965,1.7369335,1000,0.001178,0.01167,0.00131278,0.0003492423594010325,0.001255,0.001283,0.001317,1000,0.005953,0.020656,0.006614996,0.001099488180011045,0.00627875,0.006454,0.00666,1000,2.485044,5.296223,2.578159988,0.2081228411005478,2.53011225,2.5533535,2.57710275,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
FEMBAR_EigenSimplicialLLT,0.000295,0.000793,0.00036960599999999997,5.3984875326335615e-05,0.000343,0.000361,0.00038,1000,2.617539,5.079157,2.700024755,0.18844037937099622,2.6463695,2.679558,2.70119475,1000,0.051056,0.092616,0.053637575,0.004613580988166893,0.05227775,0.0525925,0.05289925,1000,0.043005,0.099204,0.045238375,0.004556196454760813,0.043994,0.0443845,0.04461525,1000,0.689319,2.042231,0.7198733660000001,0.09141645634171151,0.6999145,0.705857,0.727953,1000,1.818878,2.920114,1.8734814750000002,0.11204624912379431,1.837447,1.8522755,1.8766995,1000,0.001158,0.003546,0.0013352149999999998,0.00015044635181685198,0.00127575,0.0013145,0.00135525,1000,0.005998,0.025995,0.00667635,0.0015705894350529677,0.00628775,0.006397,0.00657,1000,2.635243,5.129661,2.7184076889999997,0.19073010533068524,2.6652315,2.697534,2.7196375,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
