SceneName,CollisionDetection_min,CollisionDetection_max,CollisionDetection_mean,CollisionDetection_std,CollisionDetection_quartile1,CollisionDetection_quartile2,CollisionDetection_quartile3,CollisionDetection_cardinality,ODESolve_min,ODESolve_max,ODESolve_mean,ODESolve_std,ODESolve_quartile1,ODESolve_quartile2,ODESolve_quartile3,ODESolve_cardinality,ComputeForce_min,ComputeForce_max,ComputeForce_mean,ComputeForce_std,ComputeForce_quartile1,ComputeForce_quartile2,ComputeForce_quartile3,ComputeForce_cardinality,ComputeRHTerm_min,ComputeRHTerm_max,ComputeRHTerm_mean,ComputeRHTerm_std,ComputeRHTerm_quartile1,ComputeRHTerm_quartile2,ComputeRHTerm_quartile3,ComputeRHTerm_cardinality,setSystemMBKMatrix_min,setSystemMBKMatrix_max,setSystemMBKMatrix_mean,setSystemMBKMatrix_std,setSystemMBKMatrix_quartile1,setSystemMBKMatrix_quartile2,setSystemMBKMatrix_quartile3,setSystemMBKMatrix_cardinality,MBKSolve_min,MBKSolve_max,MBKSolve_mean,MBKSolve_std,MBKSolve_quartile1,MBKSolve_quartile2,MBKSolve_quartile3,MBKSolve_cardinality,ProjectAndMechaMap_min,ProjectAndMechaMap_max,ProjectAndMechaMap_mean,ProjectAndMechaMap_std,ProjectAndMechaMap_quartile1,ProjectAndMechaMap_quartile2,ProjectAndMechaMap_quartile3,ProjectAndMechaMap_cardinality,UpdateBBox_min,UpdateBBox_max,UpdateBBox_mean,UpdateBBox_std,UpdateBBox_quartile1,UpdateBBox_quartile2,UpdateBBox_quartile3,UpdateBBox_cardinality,TimeStep_min,TimeStep_max,TimeStep_mean,TimeStep_std,TimeStep_quartile1,TimeStep_quartile2,TimeStep_quartile3,TimeStep_cardinality,SolveConstraint_min,SolveConstraint_max,SolveConstraint_mean,SolveConstraint_std,SolveConstraint_quartile1,SolveConstraint_quartile2,SolveConstraint_quartile3,SolveConstraint_cardinality,PrepareState_min,PrepareState_max,PrepareState_mean,PrepareState_std,PrepareState_quartile1,PrepareState_quartile2,PrepareState_quartile3,PrepareState_cardinality,BuildSystem_min,BuildSystem_max,BuildSystem_mean,BuildSystem_std,BuildSystem_quartile1,BuildSystem_quartile2,BuildSystem_quartile3,BuildSystem_cardinality,SolveSystem_min,SolveSystem_max,SolveSystem_mean,SolveSystem_std,SolveSystem_quartile1,SolveSystem_quartile2,SolveSystem_quartile3,SolveSystem_cardinality,ApplyCorrection_min,ApplyCorrection_max,ApplyCorrection_mean,ApplyCorrection_std,ApplyCorrection_quartile1,ApplyCorrection_quartile2,ApplyCorrection_quartile3,ApplyCorrection_cardinality,CPUUsage_min,CPUUsage_max,CPUUsage_mean,CPUUsage_std,CPUUsage_quartile1,CPUUsage_quartile2,CPUUsage_quartile3,CPUUsage_cardinality
fallingBeamLagrangianCollision,0.339509,0.673634,0.36459864705882356,0.02930689341583644,0.3507755,0.357772,0.3702715,255,11.759827,17.495366,12.35584196862745,0.46120610270637885,12.1966545,12.339391,12.433993,255,0.282688,0.434598,0.29695210980392156,0.016447142708036898,0.2882665,0.292322,0.2984665,255,0.136699,0.238772,0.14424721960784315,0.013018268028790136,0.1385445,0.139657,0.1424615,255,3.557511,4.519243,3.6845536,0.10211002554782393,3.6236445,3.673601,3.7176405,255,3.557511,4.519243,3.6845536,0.10211002554782393,3.6236445,3.673601,3.7176405,255,0.024904,0.062372,0.027637913725490196,0.004568298806417283,0.026042,0.026342,0.0269515,255,0.050018,0.086024,0.05385175294117647,0.005066303597970129,0.0521295,0.05264,0.0531075,255,39.93671,60.949158,47.77824148627451,2.5632869902172795,47.70164,47.980077,48.2232865,255,27.198842,42.745546,34.87604014509804,2.386606240298748,35.0875995,35.230321,35.3458595,255,0.020656,0.04047,0.021958941176470587,0.001887601274901662,0.021424,0.021677,0.0220175,255,21.76502,28.966301,22.227621364705882,1.2202156079996955,21.8775355,21.908072,21.9487345,255,4.89339,15.16588,12.202916639215685,1.8439891275441167,12.7698725,12.880343,12.9933245,255,0.394826,0.538866,0.4216394078431373,0.02113026681081924,0.4094645,0.413422,0.424098,255,0.0,2.5,0.74,0.9951884243699782,0.0,0.0,1.2,5
SofaScene,8.642218,19.524989,9.206981350997152,0.8396113442059694,8.8457155,9.031842,9.2368205,1755,8.36894,19.065369,8.909418414245016,0.8281878375184153,8.5496535,8.737152,8.931526,1755,0.004879,1.001336,0.17599944396961065,0.17236305738671515,0.0282275,0.123259,0.2838475,10530,0.006173,0.466852,0.08205587188983855,0.07893843344947976,0.01522825,0.062303,0.1352625,10530,0.037626,8.328491,1.188331238651472,1.2396001745069347,0.09275475,0.9175355,1.7215275,10530,0.037626,8.328491,1.188331238651472,1.2396001745069347,0.09275475,0.9175355,1.7215275,10530,0.094518,0.363369,0.1140455207977208,0.016890465142885044,0.101404,0.112727,0.1189805,1755,0.127431,0.361745,0.14262584786324786,0.015119839941690008,0.1328285,0.139385,0.142901,1755,23.744108,52.177454,30.993490327635328,4.229021588405854,28.11221,30.35306,32.9680115,1755,14.234291,36.757199,21.18519788945869,3.976983678135362,18.429762,20.587428,23.0688155,1755,0.073509,0.171892,0.0876787002849003,0.01247593565243177,0.0809145,0.084095,0.088961,1755,13.45424,35.391754,20.311913507692307,3.878427351481549,17.6520495,19.686551,22.138569,1755,0.106241,1.349401,0.2751841658119658,0.11304003310377193,0.209699,0.247591,0.3070535,1755,0.441043,1.570986,0.5081373304843305,0.04954958339312341,0.4811655,0.500128,0.524908,1755,0.0,1.2,0.48,0.5878775382679627,0.0,0.0,1.2,5
BilateralLagrangianConstraint_NNCG,0.038758,1.682605,0.105539776,0.11714240102930204,0.05260525,0.091621,0.12255325,1000,0.190035,0.349545,0.21580023499999998,0.021897321667724002,0.19851875,0.206604,0.231965,1000,0.00191,0.01982,0.00264509125,0.0009430148479337097,0.002116,0.002241,0.003057,4000,0.004147,0.022186,0.005297163749999999,0.0014088112651934387,0.004472,0.0047085,0.005898,4000,0.01445,0.061858,0.01753064925,0.0033437753704046026,0.01543875,0.01637,0.0186145,4000,0.01445,0.061858,0.01753064925,0.0033437753704046026,0.01543875,0.01637,0.0186145,4000,0.020369,0.049459,0.023054803,0.003490786005785946,0.02090525,0.0211665,0.0249425,1000,0.025578,0.065336,0.028409089,0.0042533706244670235,0.026194,0.0266915,0.02960725,1000,0.49622,2.415089,0.605691892,0.15017959202775302,0.5286635,0.5643575,0.6673175,1000,0.090157,0.190992,0.10592612900000001,0.016950239605396704,0.093534,0.097357,0.1165305,1000,0.025085,0.062168,0.029098057,0.004561796121677404,0.026167,0.02698,0.03152275,1000,0.041095,0.105649,0.048805294,0.009442000632152277,0.04231825,0.044951,0.05407825,1000,0.006119,0.09076,0.007630313,0.003282424351455948,0.00639075,0.006584,0.00805075,1000,0.016565,0.058557,0.019848264,0.0044213037613699425,0.0173,0.0179575,0.021208,1000,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
BilateralLagrangianConstraint_PGS,0.034322,1.738084,0.110301701,0.12195613280160864,0.05336975,0.0914595,0.1258565,1000,0.191028,0.523594,0.220594278,0.0413890407159518,0.19747625,0.2047005,0.2334685,1000,0.001905,0.038066,0.0027065925,0.001270738511041414,0.002078,0.002199,0.003038,4000,0.004141,0.022743,0.005472273,0.0017979731243739437,0.004502,0.0047195,0.005898,4000,0.014318,0.063817,0.0178647985,0.00437995555569891,0.01524825,0.016305,0.01866825,4000,0.014318,0.063817,0.0178647985,0.00437995555569891,0.01524825,0.016305,0.01866825,4000,0.02033,0.071163,0.023680421,0.005470067898459671,0.02075475,0.0210505,0.025927,1000,0.025398,0.088978,0.029223301,0.006977800943592401,0.026052,0.02651,0.029598,1000,0.495905,2.58112,0.623387181,0.18671648000377533,0.527522,0.5636795,0.6741215,1000,0.089829,0.277579,0.108526303,0.02485529989344709,0.0931845,0.0978385,0.11694675,1000,0.025097,0.084433,0.030034919,0.007373563077131638,0.0259655,0.0268765,0.0321155,1000,0.040866,0.145397,0.049984220999999995,0.013066331883744535,0.0420785,0.045066,0.054386,1000,0.006016,0.030131,0.00782583,0.002508694758056468,0.00634375,0.0069025,0.00827,1000,0.016588,0.051851,0.020098823000000002,0.00492657611609432,0.01713725,0.017975,0.02106425,1000,0.0,3.7,0.9800000000000001,1.4372195378577346,0.0,0.0,1.2,5
BilateralLagrangianConstraint_UGS,0.033345,1.888135,0.078873303,0.11855810772780234,0.0521375,0.0659485,0.0786595,1000,0.19351,0.416151,0.209260698,0.020695168255049197,0.1980135,0.201505,0.2108525,1000,0.001915,0.0215,0.00250333125,0.0011817566348548407,0.002055,0.002146,0.00292325,4000,0.004189,0.027016,0.00521505775,0.0017347955811607711,0.004506,0.004639,0.00589,4000,0.01458,0.053202,0.0171328115,0.003443556764301665,0.015225,0.015992,0.01848525,4000,0.01458,0.053202,0.0171328115,0.003443556764301665,0.015225,0.015992,0.01848525,4000,0.020306,0.056243,0.021994538,0.003448908071340261,0.02094675,0.0211185,0.02138,1000,0.025775,0.063615,0.027390991000000003,0.00415101009140173,0.02621125,0.026377,0.02667575,1000,0.515613,2.899073,0.587792674,0.14583898791770916,0.5401945,0.566446,0.59273825,1000,0.102192,0.24391,0.127300827,0.018383894514358786,0.11456125,0.124196,0.132882,1000,0.025444,0.064857,0.027977352,0.0050866955888961935,0.02616975,0.026556,0.02708725,1000,0.046477,0.127503,0.050659906000000005,0.0079501807856906,0.0474715,0.048067,0.04954325,1000,0.009228,0.085048,0.029085616999999998,0.010742351858522929,0.02036825,0.0297335,0.0344525,1000,0.017042,0.046188,0.019047508999999997,0.0032339332290446257,0.017549,0.017816,0.018649,1000,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
FrictionContact_LCP_with_friction,0.040236,1.47308,0.081703469,0.09736417852251947,0.07183575,0.074891,0.075552,1000,0.059337,0.184337,0.08040811199999999,0.012929683548465368,0.0768645,0.077637,0.081345,1000,0.00285,0.017229,0.004216468,0.0012048384468367533,0.00408275,0.004144,0.004216,1000,0.005965,0.032601,0.007981515,0.002136427210502385,0.00763725,0.007771,0.00791,1000,0.018307,0.066384,0.025731896,0.005453485873015901,0.024716,0.024985,0.02541425,1000,0.018307,0.066384,0.025731896,0.005453485873015901,0.024716,0.024985,0.02541425,1000,0.006282,0.036384,0.00961999,0.0024385758905352936,0.009339,0.0094545,0.009689,1000,0.009659,0.039056,0.012280633,0.0024412036200020266,0.01192475,0.0120605,0.012184,1000,0.162754,1.775898,0.27219017700000003,0.10992033821316995,0.26069175,0.263904,0.27217875,1000,0.012688,0.111669,0.039606337,0.0112538840580233,0.0395195,0.0401425,0.0426315,1000,0.002014,0.023458,0.003063433,0.001175381881564881,0.002915,0.002991,0.00307025,1000,0.007247,0.051917,0.0172505,0.004740794806148016,0.017218,0.017371,0.01751325,1000,0.001884,0.083407,0.016661001,0.006733426422780529,0.01748175,0.017842,0.01810225,1000,0.00104,0.016886,0.0013831849999999999,0.0008538593225906712,0.00125975,0.001296,0.00133525,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
FrictionContact_LCP_without_friction,0.040598,1.624679,0.105182834,0.10224022131664447,0.07564475,0.1001115,0.10871,1000,0.060399,0.188671,0.087322526,0.0238180536487624,0.0769025,0.0778425,0.08380675,1000,0.002916,0.029954,0.004571055,0.0018378385941031383,0.00410075,0.0041715,0.00426225,1000,0.00593,0.032255,0.008598933000000001,0.0027713261851523363,0.00766675,0.007771,0.007969,1000,0.018501,0.07471,0.027661501,0.007676235442063968,0.0248015,0.025164,0.0259405,1000,0.018501,0.07471,0.027661501,0.007676235442063968,0.0248015,0.025164,0.0259405,1000,0.006208,0.045323,0.010426884,0.0033197406483856536,0.00940175,0.0096305,0.009968,1000,0.009813,0.037034,0.013155748,0.003291701154797623,0.01201875,0.0121455,0.012366,1000,0.164603,1.890266,0.300815673,0.13024390679832232,0.25286825,0.2825515,0.298738,1000,0.012776,0.095186,0.031991716,0.010757139160545614,0.02697275,0.030882,0.0337175,1000,0.00206,0.022329,0.003261558,0.0012690325553885524,0.00292575,0.003006,0.003119,1000,0.007203,0.05802,0.017481995,0.006340258768297632,0.015671,0.016417,0.01673925,1000,0.001932,0.033509,0.008581556,0.003985551016718265,0.0063975,0.009475,0.009931,1000,0.000986,0.012562,0.0013717940000000002,0.0004668090075866146,0.00122775,0.001281,0.001349,1000,0.0,1.2,0.24,0.48,0.0,0.0,0.0,5
FixedProjectiveConstraint,0.008709,0.126489,0.010384858,0.008306113770460647,0.009019,0.0091495,0.00953525,1000,1.12409,1.447172,1.163100139,0.040130775476480376,1.1329645,1.150934,1.1767745,1000,0.066981,0.116378,0.069683905,0.007004526731048643,0.067327,0.067493,0.06771025,1000,0.037907,0.088837,0.039746478,0.005164571176149671,0.038239,0.0383765,0.038804,1000,0.014555,0.064949,0.015913309,0.003388762930262163,0.015,0.015187,0.015514,1000,0.996173,1.311133,1.029354802,0.03558691191922665,1.00248675,1.0211685,1.03985675,1000,0.002832,0.023328,0.003210359,0.0011074728882094586,0.002953,0.0030225,0.003114,1000,0.010982,0.032399,0.011627267,0.00165202478120366,0.011214,0.0112965,0.011431,1000,1.161974,1.55935,1.204383488,0.04457660972729819,1.172835,1.1909365,1.2176,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
FEMBAR_EigenSimplicialLDLT,0.000285,0.00102,0.00038341300000000004,8.658532457062224e-05,0.000336,0.000361,0.000397,1000,2.567332,5.063212,2.67475099,0.23341773829168144,2.5973265,2.6340595,2.666878,1000,0.050781,0.114638,0.055480500999999995,0.0075234834610038845,0.05235475,0.052548,0.053561,1000,0.042698,0.096502,0.046570997,0.005859469431867615,0.044538,0.044763,0.0451065,1000,0.687863,2.133648,0.72180906,0.10128873530304543,0.69509325,0.70632,0.72355575,1000,1.769019,3.220755,1.842393197,0.15311747868022837,1.78413725,1.815078,1.8416155,1000,0.001254,0.012862,0.001559809,0.0008073577933723065,0.00134675,0.001398,0.00146525,1000,0.011681,0.032177,0.013014334,0.002706263455845347,0.01205475,0.012196,0.0124645,1000,2.590315,5.123099,2.7018279190000003,0.23698191684715195,2.62204125,2.658836,2.692331,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
FEMBAR_EigenSimplicialLLT,0.000299,0.009312,0.000381916,0.00031323690227047003,0.000343,0.000359,0.00038,1000,2.605901,5.00598,2.6938380929999997,0.18198911196747006,2.64354525,2.671173,2.6995595,1000,0.051737,0.106517,0.055164925000000004,0.0057507286826431825,0.0522755,0.0528675,0.05646625,1000,0.044293,0.088502,0.046854527,0.004717104660622975,0.04481875,0.0451555,0.047446,1000,0.688845,1.963447,0.719772612,0.08879844123496457,0.6970035,0.7077615,0.72479975,1000,1.808674,2.893036,1.864295656,0.10719267083997705,1.82820525,1.846785,1.8665485,1000,0.001272,0.01187,0.001510775,0.0006347576406590155,0.001376,0.0014345,0.001518,1000,0.011706,0.03381,0.01245517,0.0017388646063164319,0.012049,0.012182,0.012332,1000,2.629617,5.064923,2.7196767719999997,0.1841004030353655,2.66912625,2.696485,2.726406,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
