SceneName,CollisionDetection_min,CollisionDetection_max,CollisionDetection_mean,CollisionDetection_std,CollisionDetection_quartile1,CollisionDetection_quartile2,CollisionDetection_quartile3,CollisionDetection_cardinality,ODESolve_min,ODESolve_max,ODESolve_mean,ODESolve_std,ODESolve_quartile1,ODESolve_quartile2,ODESolve_quartile3,ODESolve_cardinality,ComputeForce_min,ComputeForce_max,ComputeForce_mean,ComputeForce_std,ComputeForce_quartile1,ComputeForce_quartile2,ComputeForce_quartile3,ComputeForce_cardinality,ComputeRHTerm_min,ComputeRHTerm_max,ComputeRHTerm_mean,ComputeRHTerm_std,ComputeRHTerm_quartile1,ComputeRHTerm_quartile2,ComputeRHTerm_quartile3,ComputeRHTerm_cardinality,setSystemMBKMatrix_min,setSystemMBKMatrix_max,setSystemMBKMatrix_mean,setSystemMBKMatrix_std,setSystemMBKMatrix_quartile1,setSystemMBKMatrix_quartile2,setSystemMBKMatrix_quartile3,setSystemMBKMatrix_cardinality,MBKSolve_min,MBKSolve_max,MBKSolve_mean,MBKSolve_std,MBKSolve_quartile1,MBKSolve_quartile2,MBKSolve_quartile3,MBKSolve_cardinality,ProjectAndMechaMap_min,ProjectAndMechaMap_max,ProjectAndMechaMap_mean,ProjectAndMechaMap_std,ProjectAndMechaMap_quartile1,ProjectAndMechaMap_quartile2,ProjectAndMechaMap_quartile3,ProjectAndMechaMap_cardinality,UpdateBBox_min,UpdateBBox_max,UpdateBBox_mean,UpdateBBox_std,UpdateBBox_quartile1,UpdateBBox_quartile2,UpdateBBox_quartile3,UpdateBBox_cardinality,TimeStep_min,TimeStep_max,TimeStep_mean,TimeStep_std,TimeStep_quartile1,TimeStep_quartile2,TimeStep_quartile3,TimeStep_cardinality,SolveConstraint_min,SolveConstraint_max,SolveConstraint_mean,SolveConstraint_std,SolveConstraint_quartile1,SolveConstraint_quartile2,SolveConstraint_quartile3,SolveConstraint_cardinality,PrepareState_min,PrepareState_max,PrepareState_mean,PrepareState_std,PrepareState_quartile1,PrepareState_quartile2,PrepareState_quartile3,PrepareState_cardinality,BuildSystem_min,BuildSystem_max,BuildSystem_mean,BuildSystem_std,BuildSystem_quartile1,BuildSystem_quartile2,BuildSystem_quartile3,BuildSystem_cardinality,SolveSystem_min,SolveSystem_max,SolveSystem_mean,SolveSystem_std,SolveSystem_quartile1,SolveSystem_quartile2,SolveSystem_quartile3,SolveSystem_cardinality,ApplyCorrection_min,ApplyCorrection_max,ApplyCorrection_mean,ApplyCorrection_std,ApplyCorrection_quartile1,ApplyCorrection_quartile2,ApplyCorrection_quartile3,ApplyCorrection_cardinality,CPUUsage_min,CPUUsage_max,CPUUsage_mean,CPUUsage_std,CPUUsage_quartile1,CPUUsage_quartile2,CPUUsage_quartile3,CPUUsage_cardinality
fallingBeamLagrangianCollision,0.333124,0.425269,0.3595816705882353,0.013241828948720571,0.3511495,0.355726,0.36212,255,11.750729,14.593675,12.301292466666666,0.2932066730169498,12.10157,12.331032,12.419282,255,0.287148,0.519975,0.3012320431372549,0.021556420762644676,0.290767,0.296468,0.30222,255,0.136013,0.326906,0.14283300784313727,0.017196570262926897,0.137235,0.13789,0.141273,255,3.610379,5.123763,3.7117445725490197,0.11048454566294193,3.6548275,3.700845,3.7399885,255,3.610379,5.123763,3.7117445725490197,0.11048454566294193,3.6548275,3.700845,3.7399885,255,0.025386,0.04959,0.027810160784313726,0.003391649253744101,0.0264655,0.026822,0.027404,255,0.051057,0.084115,0.054123156862745096,0.005207385779616008,0.052273,0.052698,0.053308,255,40.053782,60.112334,47.71199794901961,2.396771226124462,47.769519,48.072651,48.24481,255,27.244832,47.133312,34.87005495294118,2.355654869103827,35.1519325,35.285159,35.400693,255,0.020027,0.040686,0.022024776470588238,0.00228862253310899,0.0212805,0.02161,0.022016,255,21.74839,28.442141,22.154871784313727,1.0713822420044798,21.8654895,21.900834,21.9385115,255,4.882299,20.091721,12.271352498039215,1.8867330100034965,12.830321,12.943978,13.051766,255,0.398853,0.696464,0.41978483529411764,0.023992264066723296,0.407284,0.412447,0.4248155,255,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
SofaScene,8.659136,17.86249,9.14932761139601,0.8840083526020948,8.8132975,8.897286,9.103728,1755,8.385678,17.541816,8.855376015384614,0.8781517280078727,8.526385,8.599583,8.809512,1755,0.004986,0.652539,0.17293035365622034,0.16858389324504716,0.02851025,0.1208075,0.27902825,10530,0.006026,0.333142,0.07577266467236467,0.07299456900981784,0.01443275,0.0581355,0.1051075,10530,0.036557,7.185488,1.1795038622981957,1.2340339218575394,0.08772975,0.889575,1.70056175,10530,0.036557,7.185488,1.1795038622981957,1.2340339218575394,0.08772975,0.889575,1.70056175,10530,0.094309,0.216508,0.10934185754985755,0.015346693830060307,0.1001505,0.102935,0.114567,1755,0.128298,0.227656,0.14118258917378917,0.013717972287319517,0.133258,0.135344,0.1421155,1755,23.804382,53.84399,30.814918266666666,3.8983947615617836,28.1998555,30.11406,32.5584225,1755,14.402431,39.207676,21.085847175498575,3.6606300441091975,18.6000335,20.524225,22.7577435,1755,0.073926,0.170393,0.08615451396011396,0.011829293783468947,0.079947,0.082519,0.0861495,1755,13.57319,38.02951,20.19767325014245,3.571436562501164,17.7613955,19.626616,21.864337,1755,0.106787,0.792471,0.29328715783475784,0.11979783611081062,0.2188265,0.266959,0.333429,1755,0.436654,0.890237,0.5063967754985754,0.04494428115680277,0.4795475,0.498494,0.520736,1755,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
BilateralLagrangianConstraint_NNCG,0.035556,1.781206,0.108006636,0.1201417327509617,0.054227,0.091382,0.12349,1000,0.195588,0.49582,0.220977062,0.026457158821992885,0.20185725,0.208926,0.2360495,1000,0.002011,0.021376,0.00278124925,0.0011529590665433174,0.00221,0.002336,0.003145,4000,0.004198,0.027267,0.00548387025,0.0017962020728233608,0.004561,0.0047555,0.00600025,4000,0.014462,0.05185,0.017738933499999998,0.0034822628956007544,0.015415,0.016462,0.018848,4000,0.014462,0.05185,0.017738933499999998,0.0034822628956007544,0.015415,0.016462,0.018848,4000,0.020364,0.056119,0.023413754000000002,0.004016919962294992,0.02098975,0.02132,0.025114,1000,0.025486,0.071087,0.028884343,0.004772790931661579,0.0264365,0.02716,0.02977025,1000,0.502691,2.634466,0.61874796,0.15876634852173305,0.53565875,0.5755455,0.67950175,1000,0.090396,0.217418,0.10744044100000001,0.018406463688023265,0.09378725,0.0980395,0.11847275,1000,0.025308,0.071204,0.02976427,0.005925779865393246,0.02637675,0.027101,0.03220125,1000,0.040754,0.121484,0.049077171,0.009879731313642037,0.04213275,0.044899,0.05497025,1000,0.006208,0.039132,0.007844976,0.002664801299426282,0.00644275,0.0067215,0.00824375,1000,0.016778,0.07119,0.020190878,0.004585745864645795,0.017444,0.0183445,0.02152425,1000,0.0,13.1,2.62,5.24,0.0,0.0,0.0,5
BilateralLagrangianConstraint_PGS,0.02771,1.731195,0.105897963,0.11915098218567746,0.05221575,0.090417,0.12355,1000,0.192978,0.361055,0.217807678,0.02227356324296398,0.20051675,0.206568,0.234505,1000,0.002001,0.024607,0.0027310777499999998,0.0011016161950538569,0.002181,0.002311,0.003113,4000,0.004112,0.026006,0.005321116,0.0014339244024857097,0.004484,0.0047075,0.005961,4000,0.014516,0.059462,0.01760109575,0.0033882917739743042,0.01541675,0.016299,0.01877825,4000,0.014516,0.059462,0.01760109575,0.0033882917739743042,0.01541675,0.016299,0.01877825,4000,0.020334,0.048848,0.02338096,0.004056716449346688,0.02091075,0.0211925,0.0251465,1000,0.025783,0.062334,0.028559161,0.0036577744789802174,0.02637625,0.0270465,0.02989375,1000,0.500199,2.439381,0.611183706,0.1535323568116492,0.53222,0.5677345,0.675958,1000,0.090458,0.222021,0.106415857,0.017574365570072536,0.093554,0.0976655,0.11777775,1000,0.025355,0.071382,0.029287987,0.00514209940693789,0.02617975,0.026852,0.031857,1000,0.041035,0.137771,0.048938569,0.00991716908947503,0.04219525,0.045122,0.0547215,1000,0.006046,0.038618,0.007714968,0.002297876192699685,0.006339,0.0068935,0.00828575,1000,0.016783,0.063976,0.019918421,0.004208788328457372,0.01738675,0.0180335,0.02136475,1000,0.0,6.0,1.44,2.3268863315598383,0.0,0.0,1.2,5
BilateralLagrangianConstraint_UGS,0.035096,1.65236,0.079055961,0.11598781327411721,0.05182275,0.0662325,0.078495,1000,0.1938,0.486719,0.208128534,0.025718491640818363,0.19787425,0.2008815,0.205145,1000,0.001998,0.05878,0.0025571120000000003,0.0013089719675974732,0.00213,0.0022105,0.002976,4000,0.004148,0.024176,0.00504417075,0.0014843095758952836,0.004393,0.004532,0.005721,4000,0.014298,0.058573,0.01690782375,0.0034194215458445507,0.015072,0.01575,0.01846125,4000,0.014298,0.058573,0.01690782375,0.0034194215458445507,0.015072,0.01575,0.01846125,4000,0.020465,0.064113,0.02196468,0.003801230700917796,0.020903,0.021073,0.02127775,1000,0.02553,0.073955,0.027238928,0.004368561354360953,0.026027,0.026256,0.02661675,1000,0.516774,2.398057,0.5863408769999999,0.14924656237121134,0.53364075,0.5637645,0.58930175,1000,0.101945,0.30075,0.127784321,0.020851034249599203,0.11471025,0.1248755,0.13258725,1000,0.025114,0.071942,0.027407261,0.004527780477549569,0.025898,0.0262885,0.02677925,1000,0.046143,0.139855,0.050635205999999995,0.00942774053671207,0.04709525,0.0476145,0.04878925,1000,0.009369,0.076734,0.030014593,0.010718233141304167,0.0211905,0.03121,0.035961,1000,0.016966,0.067714,0.019162471,0.004359121134490185,0.01756575,0.017831,0.0184235,1000,0.0,6.1,1.22,2.44,0.0,0.0,0.0,5
FrictionContact_LCP_with_friction,0.000924,1.610244,0.081881185,0.09983950533022874,0.072,0.0745285,0.0768985,1000,0.059823,0.181877,0.08117001,0.011394491329405626,0.0771435,0.078707,0.0832705,1000,0.002914,0.020629,0.004274605999999999,0.0012854869617246222,0.00409,0.004187,0.004298,1000,0.005797,0.03498,0.007943201,0.0019497743604322524,0.00754275,0.00767,0.00787,1000,0.018467,0.068607,0.025645063,0.004260822672328784,0.02477725,0.025125,0.02561525,1000,0.018467,0.068607,0.025645063,0.004260822672328784,0.02477725,0.025125,0.02561525,1000,0.00624,0.037254,0.009861291,0.0022671787808461424,0.00948775,0.009733,0.009982,1000,0.009929,0.032722,0.012677104,0.002455360595754522,0.01214075,0.0123075,0.012521,1000,0.163274,1.958856,0.275479109,0.11224342053724627,0.26188,0.2667725,0.284208,1000,0.012802,0.09032,0.040394913,0.011192090977714174,0.040096,0.041078,0.04338675,1000,0.002068,0.0192,0.0031388780000000003,0.001234958245090092,0.002959,0.003029,0.003103,1000,0.007205,0.055664,0.017706804,0.004886048348469753,0.01750175,0.017771,0.018085,1000,0.001953,0.058269,0.016931137,0.006678819574912247,0.0177475,0.0180725,0.0184545,1000,0.000973,0.016235,0.0013673420000000001,0.0005652547717940999,0.001279,0.0013185,0.001361,1000,0.0,7.2,2.16,2.88,0.0,0.0,3.6,5
FrictionContact_LCP_without_friction,0.039744,1.466031,0.096334717,0.09737948938410446,0.0739545,0.0989845,0.103389,1000,0.059347,0.159838,0.07956382799999999,0.011352894094036815,0.076294,0.077321,0.08085325,1000,0.002898,0.016963,0.004250085,0.001181834113475745,0.004117,0.0041835,0.004252,1000,0.005779,0.031031,0.007829352,0.002196763751998835,0.00747375,0.0075895,0.00772925,1000,0.018351,0.058928,0.025347179,0.004295532654626082,0.02462,0.0249475,0.025419,1000,0.018351,0.058928,0.025347179,0.004295532654626082,0.02462,0.0249475,0.025419,1000,0.006284,0.029363,0.00964912,0.0021081608865549137,0.009398,0.0095405,0.0097825,1000,0.009845,0.047481,0.012408288,0.0027525545980154505,0.011956,0.012071,0.01221925,1000,0.162958,1.769408,0.276488067,0.10937632821501421,0.24889425,0.279968,0.28666575,1000,0.01282,0.074232,0.029985352,0.00775066227132211,0.02699,0.0310145,0.03235775,1000,0.001943,0.018183,0.003078674,0.001050382332164817,0.00293375,0.003024,0.00311425,1000,0.007158,0.046487,0.016277834999999997,0.004544322119939893,0.0156905,0.0164525,0.016817,1000,0.001886,0.026462,0.008003959,0.0031964384832683704,0.00636075,0.0095605,0.00982125,1000,0.000983,0.017523,0.0013686710000000001,0.0007645389465285597,0.00123175,0.001293,0.001363,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
FixedProjectiveConstraint,0.008737,0.128171,0.010331936,0.008299883638214694,0.009053,0.00921,0.00946825,1000,1.115844,1.332261,1.1454634350000001,0.025232869310995432,1.12448775,1.140571,1.1564315,1000,0.067142,0.139182,0.069262821,0.006102004058582639,0.06755825,0.067769,0.06815125,1000,0.037218,0.081862,0.038636825,0.00387945132878027,0.0377165,0.037855,0.038014,1000,0.01488,0.041214,0.015819568,0.0022684612884896226,0.01519775,0.015336,0.015511,1000,0.985112,1.137354,1.0132264930000001,0.021163099576100637,0.994912,1.010922,1.024643,1000,0.002825,0.021551,0.00325476,0.0012337834714405927,0.002971,0.0030465,0.00312925,1000,0.010992,0.031193,0.011738754,0.0017320900477411673,0.011332,0.011406,0.01150925,1000,1.154499,1.459944,1.186708766,0.030297957084913237,1.1647105,1.1809295,1.19801,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
FEMBAR_EigenSimplicialLDLT,0.000296,0.001483,0.000391418,0.00010771189013289109,0.00034,0.000363,0.000404,1000,2.568977,5.278278,2.6792199900000004,0.2858026755490996,2.59659,2.627339,2.65760525,1000,0.051429,0.13676,0.055366645,0.008213187191278122,0.05266425,0.0531,0.0539955,1000,0.043328,0.091997,0.046717679,0.0065617877650804134,0.04460275,0.0448945,0.04524,1000,0.690951,2.070002,0.722379927,0.10368744821084985,0.6968635,0.70129,0.72104075,1000,1.768367,3.855038,1.8466739429999999,0.19951416257404825,1.782454,1.810117,1.83291325,1000,0.001231,0.006296,0.0014535260000000001,0.000338092968462818,0.001333,0.001389,0.001455,1000,0.0118,0.04115,0.012868613,0.0024090425835237954,0.012178,0.0122895,0.0124965,1000,2.594288,5.332151,2.705898386,0.28960888295748977,2.62189375,2.6531355,2.68333675,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,2.4,0.48,0.9600000000000001,0.0,0.0,0.0,5
FEMBAR_EigenSimplicialLLT,0.000287,0.010397,0.000411326,0.00043904868719083986,0.00033575,0.000359,0.000389,1000,2.616119,4.977186,2.731731041,0.24362392400095956,2.6434245,2.672916,2.72866325,1000,0.05119,0.13716,0.056995575,0.011259905951755324,0.05274675,0.0532925,0.05533025,1000,0.042903,0.095406,0.046769137,0.006865281224263941,0.04445975,0.0447645,0.0451195,1000,0.688802,1.965594,0.723471155,0.09482003494715122,0.695282,0.7000075,0.7239095,1000,1.816195,3.513349,1.895818788,0.15787923208398583,1.8269555,1.860958,1.89926225,1000,0.001203,0.01724,0.0016264749999999998,0.0010370137932424043,0.001353,0.001425,0.001525,1000,0.011643,0.036961,0.013147875,0.0030620435361658396,0.01212875,0.0123225,0.0125225,1000,2.640496,5.032273,2.7594079789999997,0.24886152645256068,2.6688225,2.6987035,2.754676,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
