SceneName,CollisionDetection_min,CollisionDetection_max,CollisionDetection_mean,CollisionDetection_std,CollisionDetection_quartile1,CollisionDetection_quartile2,CollisionDetection_quartile3,CollisionDetection_cardinality,ODESolve_min,ODESolve_max,ODESolve_mean,ODESolve_std,ODESolve_quartile1,ODESolve_quartile2,ODESolve_quartile3,ODESolve_cardinality,ComputeForce_min,ComputeForce_max,ComputeForce_mean,ComputeForce_std,ComputeForce_quartile1,ComputeForce_quartile2,ComputeForce_quartile3,ComputeForce_cardinality,ComputeRHTerm_min,ComputeRHTerm_max,ComputeRHTerm_mean,ComputeRHTerm_std,ComputeRHTerm_quartile1,ComputeRHTerm_quartile2,ComputeRHTerm_quartile3,ComputeRHTerm_cardinality,setSystemMBKMatrix_min,setSystemMBKMatrix_max,setSystemMBKMatrix_mean,setSystemMBKMatrix_std,setSystemMBKMatrix_quartile1,setSystemMBKMatrix_quartile2,setSystemMBKMatrix_quartile3,setSystemMBKMatrix_cardinality,MBKSolve_min,MBKSolve_max,MBKSolve_mean,MBKSolve_std,MBKSolve_quartile1,MBKSolve_quartile2,MBKSolve_quartile3,MBKSolve_cardinality,ProjectAndMechaMap_min,ProjectAndMechaMap_max,ProjectAndMechaMap_mean,ProjectAndMechaMap_std,ProjectAndMechaMap_quartile1,ProjectAndMechaMap_quartile2,ProjectAndMechaMap_quartile3,ProjectAndMechaMap_cardinality,UpdateBBox_min,UpdateBBox_max,UpdateBBox_mean,UpdateBBox_std,UpdateBBox_quartile1,UpdateBBox_quartile2,UpdateBBox_quartile3,UpdateBBox_cardinality,TimeStep_min,TimeStep_max,TimeStep_mean,TimeStep_std,TimeStep_quartile1,TimeStep_quartile2,TimeStep_quartile3,TimeStep_cardinality,SolveConstraint_min,SolveConstraint_max,SolveConstraint_mean,SolveConstraint_std,SolveConstraint_quartile1,SolveConstraint_quartile2,SolveConstraint_quartile3,SolveConstraint_cardinality,PrepareState_min,PrepareState_max,PrepareState_mean,PrepareState_std,PrepareState_quartile1,PrepareState_quartile2,PrepareState_quartile3,PrepareState_cardinality,BuildSystem_min,BuildSystem_max,BuildSystem_mean,BuildSystem_std,BuildSystem_quartile1,BuildSystem_quartile2,BuildSystem_quartile3,BuildSystem_cardinality,SolveSystem_min,SolveSystem_max,SolveSystem_mean,SolveSystem_std,SolveSystem_quartile1,SolveSystem_quartile2,SolveSystem_quartile3,SolveSystem_cardinality,ApplyCorrection_min,ApplyCorrection_max,ApplyCorrection_mean,ApplyCorrection_std,ApplyCorrection_quartile1,ApplyCorrection_quartile2,ApplyCorrection_quartile3,ApplyCorrection_cardinality,CPUUsage_min,CPUUsage_max,CPUUsage_mean,CPUUsage_std,CPUUsage_quartile1,CPUUsage_quartile2,CPUUsage_quartile3,CPUUsage_cardinality
fallingBeamLagrangianCollision,0.335505,0.554443,0.3482822,0.018425221527579857,0.3396365,0.344216,0.3506055,255,11.911693,13.833534,12.38255157254902,0.2549724274125742,12.1873895,12.435222,12.5082515,255,0.282112,0.358282,0.29188369019607846,0.011869702165602134,0.285618,0.287141,0.294199,255,0.135865,0.227534,0.14105660392156863,0.010153286299440985,0.13754,0.138444,0.1397975,255,3.945793,5.325173,4.062439741176471,0.10584762916764572,4.000081,4.051773,4.100885,255,3.945793,5.325173,4.062439741176471,0.10584762916764572,4.000081,4.051773,4.100885,255,0.022839,0.034116,0.024415027450980394,0.0012497434635702798,0.0237915,0.024189,0.0246075,255,0.055025,0.087066,0.05700321568627451,0.002892936230861713,0.0560865,0.056479,0.0570115,255,40.122725,51.654825,47.2869740627451,1.720598552711212,47.5715945,47.902887,48.0544765,255,27.170836,38.592576,34.375693898039216,1.7564421426917243,34.9411715,35.02319,35.0897265,255,0.02033,0.0327,0.02179003137254902,0.001087155572230327,0.021362,0.021673,0.021969,255,21.760182,27.246144,21.938619129411766,0.4613760569825398,21.8564555,21.888036,21.9144705,255,4.837473,13.409638,12.004916447058823,1.7647924275859364,12.6598845,12.710077,12.7589505,255,0.384638,0.499404,0.4079339568627451,0.017569112995178635,0.398826,0.402398,0.4099125,255,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
SofaScene,12.114612,35.062465,13.576562632478632,0.843957505497732,13.3329365,13.484912,13.596667,1755,11.777659,34.509006,13.225570316809115,0.8336972436226417,12.9856535,13.140133,13.2359475,1755,0.007658,1.004535,0.25525494643874647,0.22884432612245853,0.0508675,0.280261,0.4067255,10530,0.00846,0.481971,0.10820261196581198,0.08758922468355096,0.02314725,0.1145965,0.18426525,10530,0.102208,8.377491,1.917590192497626,1.9543616318777344,0.17565325,1.531934,2.75579225,10530,0.102208,8.377491,1.917590192497626,1.9543616318777344,0.17565325,1.531934,2.75579225,10530,0.093417,0.274097,0.11714555042735043,0.015959198821015753,0.102901,0.117383,0.1208515,1755,0.136548,0.308173,0.1547771213675214,0.01507245369133963,0.1442295,0.151483,0.1545075,1755,24.100172,63.327887,29.380099623931624,2.7443773725461806,27.582754,29.214127,31.032296,1755,10.269215,34.505175,15.171256574358974,2.469353469223579,13.423872,14.953511,16.8949595,1755,0.074947,0.406834,0.09050454757834758,0.014989316787517977,0.0836775,0.086253,0.0909335,1755,9.496624,33.073746,14.316272846153845,2.381365507313935,12.6657265,14.101587,16.021696,1755,0.104138,1.092764,0.2757491635327635,0.10915274458517994,0.212332,0.251777,0.305099,1755,0.413657,1.242574,0.4864103145299145,0.03436802230838123,0.4653485,0.483599,0.507328,1755,0.0,1.2,0.48,0.5878775382679627,0.0,0.0,1.2,5
BilateralLagrangianConstraint_NNCG,0.031109,1.662119,0.09619754600000001,0.11963438690529526,0.0442285,0.082668,0.1122965,1000,0.283465,0.428885,0.311577208,0.026779758557625873,0.29177625,0.2980825,0.332093,1000,0.00121,0.019458,0.0018996150000000001,0.0009343828306829059,0.001451,0.001634,0.002249,4000,0.002872,0.015124,0.0038452755,0.000884126630975309,0.003237,0.003451,0.00445025,4000,0.023254,0.075289,0.02598244175,0.0035783738635177483,0.02396675,0.024519,0.02641425,4000,0.023254,0.075289,0.02598244175,0.0035783738635177483,0.02396675,0.024519,0.02641425,4000,0.020342,0.051792,0.022946666,0.003395621061373604,0.020814,0.021051,0.024807,1000,0.027234,0.07532,0.029512992999999998,0.0029128284537457746,0.0278485,0.028213,0.03084075,1000,0.584457,2.505195,0.696403274,0.1563993939582533,0.607989,0.6514295,0.76465175,1000,0.093082,0.200807,0.106580654,0.015655514908883835,0.09531875,0.0989055,0.116493,1000,0.026257,0.054393,0.030110917,0.004403410213245071,0.0272895,0.0279085,0.03229225,1000,0.041844,0.114688,0.048597204,0.008430865041404945,0.04286125,0.0445895,0.053111,1000,0.006219,0.022953,0.007618176999999999,0.001779054902376821,0.00646675,0.006622,0.008204,1000,0.01697,0.061606,0.019656231,0.003354349518109137,0.017592,0.018035,0.02129125,1000,0.0,1.2,0.24,0.48,0.0,0.0,0.0,5
BilateralLagrangianConstraint_PGS,0.034827,1.814968,0.095701461,0.11981585121980513,0.04365675,0.081948,0.11245575,1000,0.281465,0.476522,0.311068087,0.02735851310666263,0.2902055,0.2985805,0.3320475,1000,0.001174,0.016179,0.00187590125,0.0008290398618271848,0.001433,0.001617,0.00225,4000,0.002857,0.022473,0.0038472827499999997,0.0010362926448655504,0.003215,0.003462,0.004418,4000,0.023055,0.056733,0.026118579000000003,0.003475824496829349,0.02396,0.0246935,0.0265565,4000,0.023055,0.056733,0.026118579000000003,0.003475824496829349,0.02396,0.0246935,0.0265565,4000,0.020105,0.046279,0.022687855,0.0031726912799664264,0.02059775,0.020819,0.02450025,1000,0.026986,0.070368,0.029277303,0.0029396141095713564,0.02759975,0.0280485,0.03063075,1000,0.580373,2.662264,0.6944237759999999,0.1583378514440998,0.60564275,0.648475,0.76192025,1000,0.091927,0.206314,0.10627524199999999,0.01616636038332178,0.0946695,0.098519,0.11779325,1000,0.025922,0.054402,0.02967528,0.004559782568675835,0.026643,0.0272305,0.0324305,1000,0.041828,0.110898,0.048927394,0.008946695645475148,0.04275375,0.0449265,0.0549435,1000,0.006107,0.043549,0.007639211,0.0020554273328140305,0.00641725,0.006939,0.008189,1000,0.016797,0.044533,0.019438822,0.00287218566745188,0.0174,0.0178725,0.021119,1000,0.0,1.2,0.48,0.5878775382679627,0.0,0.0,1.2,5
BilateralLagrangianConstraint_UGS,0.03286,1.692933,0.06700529,0.11655406075486988,0.042732,0.054685,0.06737025,1000,0.286492,0.437286,0.299939429,0.016621158256420007,0.291693,0.2955195,0.30055625,1000,0.0012,0.014819,0.0017706385000000001,0.0008184596455035214,0.001396,0.001522,0.002189,4000,0.00284,0.024966,0.003691181,0.0010084555192168864,0.003172,0.003338,0.00430125,4000,0.023686,0.066558,0.025396825499999998,0.0027664098949811743,0.024234,0.024489,0.025915,4000,0.023686,0.066558,0.025396825499999998,0.0027664098949811743,0.024234,0.024489,0.025915,4000,0.020147,0.039791,0.021189894,0.001655850982052431,0.02062775,0.020774,0.02094525,1000,0.027072,0.0696,0.028544245,0.002503518838150614,0.02780825,0.028039,0.02827525,1000,0.602288,2.545777,0.666030993,0.14058153495405062,0.62207925,0.6476895,0.66886675,1000,0.10328,0.216598,0.12734331699999998,0.016489198728880397,0.115914,0.12589,0.13211825,1000,0.02584,0.062094,0.027865341000000002,0.0036434570348391647,0.02667375,0.027052,0.0274555,1000,0.047021,0.110218,0.050323309999999996,0.006395675156846226,0.04810075,0.0487175,0.04953825,1000,0.009292,0.073729,0.029656749,0.010444185577631174,0.0209265,0.0308105,0.036002,1000,0.017059,0.057964,0.018899379,0.00283947163770991,0.01777075,0.018004,0.01837025,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
FrictionContact_LCP_with_friction,0.033635,1.435043,0.080181261,0.09424529254234866,0.07343725,0.0740055,0.077107,1000,0.087358,0.182274,0.111306549,0.01071828737716987,0.110439,0.1112915,0.11279825,1000,0.002059,0.024176,0.003066073,0.0011844931632014597,0.002905,0.002967,0.003026,1000,0.004354,0.015364,0.005692963,0.0008436407005538555,0.0056215,0.005698,0.00578025,1000,0.029004,0.077338,0.037281500999999995,0.004276598045175511,0.036985,0.0372995,0.0376545,1000,0.029004,0.077338,0.037281500999999995,0.004276598045175511,0.036985,0.0372995,0.0376545,1000,0.006235,0.027638,0.009502179,0.0016522411794163102,0.009451,0.009566,0.00969125,1000,0.010759,0.043109,0.012967629999999999,0.0018227689132470962,0.012771,0.012879,0.0129905,1000,0.18963,1.746759,0.29985137,0.10510880816960631,0.296099,0.2982435,0.30232525,1000,0.012877,0.097849,0.038861746,0.010130410294330828,0.0400395,0.040466,0.04109525,1000,0.00213,0.008558,0.00316939,0.0006401125400271423,0.003015,0.0031165,0.00324825,1000,0.007225,0.054426,0.017205143,0.0043492306773211045,0.017256,0.0173995,0.0175925,1000,0.001826,0.05596,0.016557693999999998,0.006055469067080105,0.01785675,0.0180785,0.01821,1000,0.000978,0.006771,0.001424501,0.0005951439708163059,0.00129,0.001331,0.00137125,1000,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
FrictionContact_LCP_without_friction,0.036872,1.441415,0.096079867,0.09629640181352214,0.074876,0.102925,0.105096,1000,0.086778,0.175984,0.111808614,0.00999815448105319,0.1107035,0.112319,0.11390725,1000,0.002058,0.016049,0.0030901089999999997,0.0011072545746660973,0.00289575,0.0029965,0.00308,1000,0.004358,0.021516,0.005745224,0.0009899897170294245,0.00563,0.0057275,0.005823,1000,0.028934,0.08214,0.037211307,0.003909004682109117,0.036945,0.0372735,0.037737,1000,0.028934,0.08214,0.037211307,0.003909004682109117,0.036945,0.0372735,0.037737,1000,0.006329,0.031832,0.009521659,0.001710809740070181,0.00944175,0.009569,0.009713,1000,0.010875,0.040381,0.012936751,0.0015505841147770735,0.012681,0.01285,0.01298525,1000,0.190453,1.744217,0.30701981300000003,0.10757140142507222,0.28609175,0.3162595,0.32344325,1000,0.012766,0.065682,0.029228606,0.006617569248958714,0.02706425,0.0310875,0.031812,1000,0.00212,0.01214,0.003182027,0.000769005684160397,0.003033,0.003121,0.0032,1000,0.007163,0.041111,0.015971662,0.0036937164490193344,0.01563575,0.0163385,0.016661,1000,0.001832,0.031651,0.008120078000000001,0.003014772358556447,0.00645575,0.0098365,0.01009425,1000,0.00099,0.009892,0.0014399179999999999,0.0006548327139628869,0.00125975,0.001337,0.0014,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
FixedProjectiveConstraint,0.006533,0.172635,0.008200799000000002,0.009567544031704218,0.00679875,0.006932,0.00720725,1000,1.134263,1.316186,1.175523632,0.04042353165054455,1.1407525,1.147843,1.213965,1000,0.066549,0.11443,0.068843563,0.004534623107605637,0.06692525,0.067503,0.06952975,1000,0.036619,0.064396,0.038377180999999996,0.002533656007085216,0.036934,0.037122,0.0397935,1000,0.022747,0.050062,0.02356339,0.0020606162049008545,0.02301975,0.023141,0.0233265,1000,0.981682,1.158985,1.021051104,0.03687008029076129,0.9894995,0.9945065,1.0580615,1000,0.002734,0.023256,0.003088134,0.0009140805621191166,0.002879,0.002925,0.00299025,1000,0.01134,0.02518,0.011848877,0.0010188889752426413,0.011587,0.011666,0.011755,1000,1.17015,1.510859,1.214531385,0.044160250789242295,1.17869475,1.187821,1.252186,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
FEMBAR_EigenSimplicialLDLT,0.000294,0.00278,0.000345291,9.261581030795983e-05,0.000321,0.000333,0.000346,1000,2.587456,4.925768,2.639963827,0.17768365942114395,2.59597275,2.6063665,2.63687175,1000,0.051839,0.100233,0.053319978000000004,0.003802893150420611,0.052243,0.0524365,0.052957,1000,0.04415,0.080219,0.045394902,0.0030182899447196918,0.044623,0.044782,0.0449735,1000,0.699402,1.985432,0.7197221239999999,0.08984946824506324,0.70536275,0.7073835,0.71575875,1000,1.762177,2.760891,1.7972944720000001,0.10138617583475183,1.7683635,1.7709545,1.79559275,1000,0.001187,0.010998,0.001380458,0.00034675399959625553,0.001305,0.001348,0.001395,1000,0.012767,0.032123,0.013462211,0.0008428896526111824,0.013152,0.0133325,0.01357325,1000,2.612387,4.986514,2.6665144219999997,0.18004094685960167,2.62218575,2.632903,2.663576,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
FEMBAR_EigenSimplicialLLT,0.000306,0.001109,0.000361481,6.031807058419558e-05,0.000334,0.000347,0.00037,1000,2.632311,4.942831,2.68961264,0.17429792092831284,2.64342325,2.6510845,2.68759775,1000,0.051267,0.092814,0.05333354,0.0032120080308741445,0.05204175,0.052384,0.05338075,1000,0.043229,0.077244,0.04523101,0.0030731267663244876,0.0443585,0.0446085,0.0449105,1000,0.699184,1.897962,0.721216644,0.08253517406156763,0.706393,0.710794,0.71570975,1000,1.80694,2.868668,1.845815775,0.10555573630520691,1.8133565,1.8163085,1.846545,1000,0.00119,0.003471,0.00139777,0.0001487329724708008,0.001319,0.001366,0.00143325,1000,0.012649,0.03046,0.013430489,0.0010978663378931881,0.013089,0.0132475,0.01346425,1000,2.65775,5.000848,2.7162928429999997,0.17644963715233974,2.669853,2.678041,2.7140785,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
