SceneName,CollisionDetection_min,CollisionDetection_max,CollisionDetection_mean,CollisionDetection_std,CollisionDetection_quartile1,CollisionDetection_quartile2,CollisionDetection_quartile3,CollisionDetection_cardinality,ODESolve_min,ODESolve_max,ODESolve_mean,ODESolve_std,ODESolve_quartile1,ODESolve_quartile2,ODESolve_quartile3,ODESolve_cardinality,ComputeForce_min,ComputeForce_max,ComputeForce_mean,ComputeForce_std,ComputeForce_quartile1,ComputeForce_quartile2,ComputeForce_quartile3,ComputeForce_cardinality,ComputeRHTerm_min,ComputeRHTerm_max,ComputeRHTerm_mean,ComputeRHTerm_std,ComputeRHTerm_quartile1,ComputeRHTerm_quartile2,ComputeRHTerm_quartile3,ComputeRHTerm_cardinality,setSystemMBKMatrix_min,setSystemMBKMatrix_max,setSystemMBKMatrix_mean,setSystemMBKMatrix_std,setSystemMBKMatrix_quartile1,setSystemMBKMatrix_quartile2,setSystemMBKMatrix_quartile3,setSystemMBKMatrix_cardinality,MBKSolve_min,MBKSolve_max,MBKSolve_mean,MBKSolve_std,MBKSolve_quartile1,MBKSolve_quartile2,MBKSolve_quartile3,MBKSolve_cardinality,ProjectAndMechaMap_min,ProjectAndMechaMap_max,ProjectAndMechaMap_mean,ProjectAndMechaMap_std,ProjectAndMechaMap_quartile1,ProjectAndMechaMap_quartile2,ProjectAndMechaMap_quartile3,ProjectAndMechaMap_cardinality,UpdateBBox_min,UpdateBBox_max,UpdateBBox_mean,UpdateBBox_std,UpdateBBox_quartile1,UpdateBBox_quartile2,UpdateBBox_quartile3,UpdateBBox_cardinality,TimeStep_min,TimeStep_max,TimeStep_mean,TimeStep_std,TimeStep_quartile1,TimeStep_quartile2,TimeStep_quartile3,TimeStep_cardinality,SolveConstraint_min,SolveConstraint_max,SolveConstraint_mean,SolveConstraint_std,SolveConstraint_quartile1,SolveConstraint_quartile2,SolveConstraint_quartile3,SolveConstraint_cardinality,PrepareState_min,PrepareState_max,PrepareState_mean,PrepareState_std,PrepareState_quartile1,PrepareState_quartile2,PrepareState_quartile3,PrepareState_cardinality,BuildSystem_min,BuildSystem_max,BuildSystem_mean,BuildSystem_std,BuildSystem_quartile1,BuildSystem_quartile2,BuildSystem_quartile3,BuildSystem_cardinality,SolveSystem_min,SolveSystem_max,SolveSystem_mean,SolveSystem_std,SolveSystem_quartile1,SolveSystem_quartile2,SolveSystem_quartile3,SolveSystem_cardinality,ApplyCorrection_min,ApplyCorrection_max,ApplyCorrection_mean,ApplyCorrection_std,ApplyCorrection_quartile1,ApplyCorrection_quartile2,ApplyCorrection_quartile3,ApplyCorrection_cardinality,CPUUsage_min,CPUUsage_max,CPUUsage_mean,CPUUsage_std,CPUUsage_quartile1,CPUUsage_quartile2,CPUUsage_quartile3,CPUUsage_cardinality
fallingBeamLagrangianCollision,0.33752,0.42921,0.35457759607843137,0.014557355770368555,0.345823,0.349253,0.355882,255,11.814753,13.764009,12.353320890196077,0.27816428929942566,12.2268055,12.328259,12.506028,255,0.279495,0.369535,0.29545220784313725,0.018676425457211078,0.2847985,0.287297,0.295482,255,0.135788,0.205505,0.14123546666666667,0.009678070450506511,0.1371215,0.137659,0.1392485,255,3.559444,3.94758,3.6755623882352944,0.06992124563582203,3.620064,3.6769,3.7227715,255,3.559444,3.94758,3.6755623882352944,0.06992124563582203,3.620064,3.6769,3.7227715,255,0.025469,0.069802,0.02776542745098039,0.005265435486675768,0.026158,0.026503,0.026938,255,0.055073,0.088581,0.05877068235294118,0.005510168080874894,0.056597,0.057307,0.0582005,255,39.98265,54.342888,47.53715939607843,2.0165485220979145,47.6064615,48.021249,48.333482,255,27.168257,41.388908,34.647569984313726,2.0075619256604393,35.0395515,35.234706,35.3696525,255,0.020507,0.055402,0.022436282352941175,0.003560460004247407,0.0215065,0.021915,0.022227,255,21.788084,27.96455,22.02844180392157,0.8733740181968538,21.8474885,21.874881,21.921843,255,4.853118,14.631209,12.167084521568627,1.8301751937933988,12.7210465,12.893452,13.02559,255,0.403624,0.545883,0.42621894901960783,0.02194537263175134,0.413048,0.417462,0.4276605,255,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
BilateralLagrangianConstraint_NNCG,0.037359,1.630452,0.108249357,0.11711143684433024,0.0542785,0.0938855,0.1244915,1000,0.126635,0.268374,0.146742596,0.01903457985401264,0.131657,0.1411545,0.15927125,1000,0.001909,0.042027,0.0026826005,0.0014282723437425192,0.002101,0.002246,0.003128,4000,0.00403,0.0244,0.005210217,0.0015841059157805702,0.00433375,0.004649,0.005856,4000,0.000373,0.017833,0.0007170632500000001,0.0006608627306403633,0.000468,0.000527,0.00097,4000,0.000373,0.017833,0.0007170632500000001,0.0006608627306403633,0.000468,0.000527,0.00097,4000,0.02257,0.066678,0.025791801,0.004679979396044282,0.02315875,0.0235695,0.02752375,1000,0.028995,0.070158,0.03213907,0.004331257938416967,0.029878,0.0308505,0.03356675,1000,0.432912,2.309656,0.538390521,0.14784510936030165,0.463523,0.500191,0.59151925,1000,0.087142,0.217052,0.102824158,0.016360730199261767,0.090729,0.0947035,0.1135215,1000,0.025657,0.070232,0.030064559,0.00532145700635822,0.02676075,0.0279255,0.0324705,1000,0.038498,0.132604,0.045759869,0.008862538383546724,0.0397415,0.0417785,0.05112225,1000,0.005405,0.026637,0.0065386310000000005,0.0017142994822489448,0.005616,0.005772,0.007033,1000,0.01631,0.05685,0.019589968,0.004194657582565709,0.0170695,0.0177935,0.021068,1000,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
BilateralLagrangianConstraint_PGS,0.038948,1.693213,0.10896472,0.11996250489354411,0.05344875,0.0959325,0.125155,1000,0.126493,0.241881,0.14444332099999999,0.017505354119239033,0.130479,0.136428,0.155879,1000,0.001901,0.025349,0.0026146405,0.0011059633670514363,0.002068,0.002194,0.003081,4000,0.003949,0.026681,0.0051270105,0.0015479814845112813,0.00428775,0.004526,0.005789,4000,0.000365,0.020325,0.000761573,0.0008733529095795125,0.000456,0.000513,0.000971,4000,0.000365,0.020325,0.000761573,0.0008733529095795125,0.000456,0.000513,0.000971,4000,0.022358,0.05976,0.025651076000000002,0.0045502903294431666,0.022991,0.0234,0.0274825,1000,0.028962,0.077236,0.032161026,0.005596126104129891,0.02965975,0.0300865,0.0331785,1000,0.43135,2.332101,0.537223662,0.1494220342331336,0.4633595,0.497905,0.59124425,1000,0.087251,0.201391,0.1034076,0.017679802660663383,0.090268,0.0940165,0.114096,1000,0.025414,0.087316,0.030066996999999998,0.006818993166955881,0.02635825,0.027077,0.0324145,1000,0.038627,0.117289,0.046202326999999994,0.009719402445730448,0.039629,0.0420575,0.05115075,1000,0.005378,0.026717,0.006730994,0.002165416147987264,0.005588,0.005978,0.00706325,1000,0.016248,0.053017,0.019471159,0.0043063194481736955,0.01689275,0.017449,0.02085775,1000,0.0,1.2,0.24,0.48,0.0,0.0,0.0,5
BilateralLagrangianConstraint_UGS,0.038877,1.685498,0.08049250599999999,0.11520686293744815,0.05378975,0.068421,0.08084275,1000,0.127583,0.304836,0.14380337899999998,0.01770304523745446,0.13184825,0.135363,0.16012,1000,0.001892,0.022259,0.00253933475,0.000920434019467141,0.002076,0.0022195,0.003083,4000,0.004015,0.026623,0.0051033942500000005,0.0014511170711961653,0.0043,0.0045265,0.005769,4000,0.000375,0.01243,0.0007111155,0.0005652959102627138,0.000474,0.000528,0.00096575,4000,0.000375,0.01243,0.0007111155,0.0005652959102627138,0.000474,0.000528,0.00096575,4000,0.022816,0.061791,0.024449701,0.0033986502028892293,0.023201,0.023422,0.02486825,1000,0.029379,0.067053,0.031055491,0.004045825815568313,0.029893,0.030114,0.0305815,1000,0.449707,2.33517,0.519786588,0.1372858848895554,0.48035875,0.500917,0.5284255,1000,0.098862,0.218145,0.12327127800000001,0.015914174551032046,0.112102,0.121527,0.1289155,1000,0.025689,0.062714,0.028051707,0.004083155211738957,0.02648075,0.026938,0.02783625,1000,0.044123,0.128208,0.047825311,0.006895371331863063,0.04493875,0.0456915,0.047733,1000,0.009184,0.067609,0.027729506,0.00971383686150658,0.01949475,0.029039,0.0333495,1000,0.016856,0.05574,0.01888927,0.003234281599845629,0.01739775,0.0176775,0.018813,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
FrictionContact_LCP_with_friction,0.040664,1.438623,0.08343598299999999,0.09650936922122488,0.07529975,0.075804,0.0773195,1000,0.040792,0.130857,0.053608712,0.008426094832901894,0.05172725,0.0522415,0.05284725,1000,0.003008,0.021019,0.004211599,0.0011336820569273378,0.004091,0.004187,0.004279,1000,0.005805,0.029652,0.00783105,0.0021130525501037597,0.007548,0.007648,0.00776225,1000,0.000823,0.011157,0.001122091,0.0007708507862868143,0.000977,0.00101,0.00104,1000,0.000823,0.011157,0.001122091,0.0007708507862868143,0.000977,0.00101,0.00104,1000,0.007169,0.034482,0.010652219,0.0024198323051482307,0.0103875,0.010531,0.01072,1000,0.011895,0.047358,0.015017260000000001,0.0029270183542984486,0.014622,0.0147495,0.01489,1000,0.146034,1.700621,0.245892797,0.10699327310235814,0.23610875,0.238674,0.24429575,1000,0.01231,0.127164,0.03812165,0.011793999679137692,0.03816975,0.038589,0.04099425,1000,0.001976,0.021127,0.003070722,0.0011630224033594538,0.002913,0.00298,0.003053,1000,0.007095,0.058047,0.016579108,0.004871798948267056,0.01622775,0.016475,0.0166745,1000,0.001612,0.080147,0.016235539,0.007224079917780465,0.01710025,0.0172915,0.0174275,1000,0.000993,0.016387,0.001447226,0.0009887187026267885,0.00130175,0.001344,0.001385,1000,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
FrictionContact_LCP_without_friction,0.0346,1.405635,0.097749167,0.09495594508817819,0.075242,0.103106,0.10468,1000,0.040498,0.147663,0.053713385,0.009226675554975096,0.0515485,0.0520715,0.05281475,1000,0.002987,0.02153,0.004191775,0.00113014320082678,0.00409675,0.004161,0.00423325,1000,0.005779,0.029572,0.007802043,0.0020546043724160136,0.00752775,0.007651,0.00773,1000,0.000839,0.015811,0.0011171179999999998,0.001046805123256473,0.00094175,0.000964,0.00099725,1000,0.000839,0.015811,0.0011171179999999998,0.001046805123256473,0.00094175,0.000964,0.00099725,1000,0.007219,0.040017,0.010711861999999999,0.0028548015106055974,0.01029325,0.0104265,0.01058525,1000,0.011912,0.047607,0.015044775,0.003161434478266946,0.01449175,0.014653,0.01480725,1000,0.146001,1.684086,0.250299904,0.10642637060204949,0.2240715,0.2553315,0.259597,1000,0.012302,0.065494,0.027761379,0.006901508655023117,0.025139,0.029058,0.02971025,1000,0.001949,0.022947,0.003009689,0.0009951627184933125,0.002877,0.0029505,0.003025,1000,0.007145,0.043743,0.015147252,0.004019751308538378,0.01449275,0.0152395,0.01559,1000,0.001638,0.03903,0.007469877000000001,0.003149043641150595,0.0058475,0.008849,0.00919525,1000,0.000967,0.016115,0.001409516,0.0008986111148566992,0.00125,0.00132,0.001377,1000,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
FixedProjectiveConstraint,0.00899,0.147118,0.010766818999999999,0.009796497051815971,0.00935775,0.009492,0.009737,1000,1.099916,1.243107,1.1333146189999999,0.02313796534645687,1.1157235,1.1318745,1.145351,1000,0.067041,0.117452,0.070162667,0.007301501116764346,0.067452,0.067685,0.07036025,1000,0.037457,0.077032,0.039094372,0.0046734399946523324,0.03783375,0.0380935,0.03834725,1000,0.000662,0.022372,0.001013848,0.0010165938869066643,0.000806,0.000843,0.00088925,1000,0.985926,1.113535,1.0150257249999999,0.01979920966643303,0.99681425,1.0150865,1.027105,1000,0.01254,0.038844,0.013118158999999999,0.0019348138240458694,0.012771,0.0128535,0.012939,1000,0.013439,0.0412,0.014327605,0.00269345180075215,0.013782,0.013876,0.01399325,1000,1.148577,1.453501,1.186074469,0.02917697135607188,1.165981,1.183807,1.198017,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
FEMBAR_EigenSimplicialLDLT,0.000275,0.00104,0.00034186000000000004,5.955307212898425e-05,0.000312,0.000329,0.000358,1000,2.501693,5.158945,2.57226618,0.19958123780053472,2.52746125,2.5395145,2.5712155,1000,0.050968,0.109882,0.053960455000000004,0.00474390575981174,0.05194275,0.052831,0.054906,1000,0.04278,0.086655,0.045212833,0.003929586697492626,0.04427775,0.0446175,0.04488,1000,0.690298,2.180784,0.720412555,0.10095268771461696,0.703136,0.7102905,0.717045,1000,1.702094,2.894981,1.74497681,0.11291443025752687,1.7096955,1.721606,1.74734075,1000,0.001189,0.010386,0.001402066,0.00044911624068163017,0.00128075,0.001335,0.001431,1000,0.00594,0.017196,0.006662585,0.0008043556071632746,0.00630375,0.006581,0.00681025,1000,2.517355,5.208475,2.590540589,0.20175966059416853,2.544905,2.558467,2.5903945,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
FEMBAR_EigenSimplicialLLT,0.00028,0.00336,0.00036412200000000004,0.0001135910520947843,0.000321,0.00034,0.000392,1000,2.624902,5.053165,2.700583317,0.1852479135941091,2.64891725,2.683502,2.698667,1000,0.05169,0.107452,0.053453767,0.004947845045947882,0.05211075,0.052307,0.05265275,1000,0.043833,0.10084,0.045628453,0.004537841066387297,0.04432575,0.0446555,0.0453785,1000,0.689931,1.986196,0.711689694,0.08866057506857467,0.69489475,0.6975085,0.7173765,1000,1.823195,2.932028,1.882260365,0.11116594232239377,1.83975175,1.864235,1.8893565,1000,0.00118,0.019575,0.001413649,0.000903380680443743,0.001284,0.0013305,0.001409,1000,0.005915,0.024152,0.006684384,0.001114971710198963,0.00635675,0.0065545,0.00675275,1000,2.642376,5.099028,2.718847853,0.18730101814538916,2.6671045,2.701025,2.716823,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
FEMBAR_EigenSparseLU,0.000317,0.011356,0.00043765199999999996,0.00035411093303652747,0.000379,0.0004265,0.000451,1000,3.349345,6.102639,3.461485787,0.22977013467162272,3.3959475,3.4332015,3.46551125,1000,0.053009,0.099016,0.056248068,0.006053148018624358,0.0540695,0.054661,0.0554535,1000,0.04496,0.08022,0.047027775,0.004568183049131788,0.045632,0.04599,0.046478,1000,0.694149,2.021473,0.722874358,0.09165032479841975,0.7022815,0.7062755,0.73001125,1000,2.539373,4.610746,2.62601679,0.15495913436912295,2.57416575,2.604617,2.6304835,1000,0.00142,0.004463,0.001745249,0.0002450564730812063,0.00159875,0.0016965,0.00183425,1000,0.007071,0.028932,0.008233566000000001,0.0014433635161122786,0.007711,0.008011,0.00835625,1000,3.371135,6.154796,3.4837131269999997,0.2319852671346283,3.41860475,3.454912,3.487551,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1.2,0.48,0.5878775382679627,0.0,0.0,1.2,5
