SceneName,CollisionDetection_min,CollisionDetection_max,CollisionDetection_mean,CollisionDetection_std,CollisionDetection_quartile1,CollisionDetection_quartile2,CollisionDetection_quartile3,CollisionDetection_cardinality,ODESolve_min,ODESolve_max,ODESolve_mean,ODESolve_std,ODESolve_quartile1,ODESolve_quartile2,ODESolve_quartile3,ODESolve_cardinality,ComputeForce_min,ComputeForce_max,ComputeForce_mean,ComputeForce_std,ComputeForce_quartile1,ComputeForce_quartile2,ComputeForce_quartile3,ComputeForce_cardinality,ComputeRHTerm_min,ComputeRHTerm_max,ComputeRHTerm_mean,ComputeRHTerm_std,ComputeRHTerm_quartile1,ComputeRHTerm_quartile2,ComputeRHTerm_quartile3,ComputeRHTerm_cardinality,setSystemMBKMatrix_min,setSystemMBKMatrix_max,setSystemMBKMatrix_mean,setSystemMBKMatrix_std,setSystemMBKMatrix_quartile1,setSystemMBKMatrix_quartile2,setSystemMBKMatrix_quartile3,setSystemMBKMatrix_cardinality,MBKSolve_min,MBKSolve_max,MBKSolve_mean,MBKSolve_std,MBKSolve_quartile1,MBKSolve_quartile2,MBKSolve_quartile3,MBKSolve_cardinality,ProjectAndMechaMap_min,ProjectAndMechaMap_max,ProjectAndMechaMap_mean,ProjectAndMechaMap_std,ProjectAndMechaMap_quartile1,ProjectAndMechaMap_quartile2,ProjectAndMechaMap_quartile3,ProjectAndMechaMap_cardinality,UpdateBBox_min,UpdateBBox_max,UpdateBBox_mean,UpdateBBox_std,UpdateBBox_quartile1,UpdateBBox_quartile2,UpdateBBox_quartile3,UpdateBBox_cardinality,TimeStep_min,TimeStep_max,TimeStep_mean,TimeStep_std,TimeStep_quartile1,TimeStep_quartile2,TimeStep_quartile3,TimeStep_cardinality,SolveConstraint_min,SolveConstraint_max,SolveConstraint_mean,SolveConstraint_std,SolveConstraint_quartile1,SolveConstraint_quartile2,SolveConstraint_quartile3,SolveConstraint_cardinality,PrepareState_min,PrepareState_max,PrepareState_mean,PrepareState_std,PrepareState_quartile1,PrepareState_quartile2,PrepareState_quartile3,PrepareState_cardinality,BuildSystem_min,BuildSystem_max,BuildSystem_mean,BuildSystem_std,BuildSystem_quartile1,BuildSystem_quartile2,BuildSystem_quartile3,BuildSystem_cardinality,SolveSystem_min,SolveSystem_max,SolveSystem_mean,SolveSystem_std,SolveSystem_quartile1,SolveSystem_quartile2,SolveSystem_quartile3,SolveSystem_cardinality,ApplyCorrection_min,ApplyCorrection_max,ApplyCorrection_mean,ApplyCorrection_std,ApplyCorrection_quartile1,ApplyCorrection_quartile2,ApplyCorrection_quartile3,ApplyCorrection_cardinality,CPUUsage_min,CPUUsage_max,CPUUsage_mean,CPUUsage_std,CPUUsage_quartile1,CPUUsage_quartile2,CPUUsage_quartile3,CPUUsage_cardinality
fallingBeamLagrangianCollision,0.334012,0.426246,0.348940737254902,0.013481651453705525,0.3405695,0.345607,0.352658,255,11.871517,13.385603,12.33455671372549,0.2291506771169941,12.2555255,12.347793,12.493623,255,0.28388,0.362452,0.2965252666666667,0.013327471697899067,0.287094,0.292436,0.301114,255,0.136317,0.233668,0.14645408627450981,0.015061265766417985,0.1374415,0.13825,0.1451785,255,3.896017,4.302144,4.012628803921569,0.08974824247158282,3.9336145,3.979559,4.0985435,255,3.896017,4.302144,4.012628803921569,0.08974824247158282,3.9336145,3.979559,4.0985435,255,0.023183,0.036382,0.025444019607843135,0.0019167595908270022,0.024291,0.024711,0.026532,255,0.052274,0.115974,0.055556458823529414,0.005934712719583886,0.0533385,0.053973,0.0563275,255,40.051674,53.788948,47.34451257254902,1.8672309324066998,47.58264,47.953434,48.1258885,255,27.107522,40.546417,34.47645684705883,1.8820972808992518,35.0401585,35.144817,35.2139005,255,0.020059,0.033349,0.02174357254901961,0.0015672962311283685,0.02107,0.021491,0.021904,255,21.769841,27.268756,21.94012766666667,0.4871770969457582,21.850746,21.888686,21.9280305,255,4.836158,13.975136,12.100348219607843,1.7951502681075528,12.75522,12.824016,12.8677155,255,0.393665,0.50537,0.41217098823529413,0.01471064697994242,0.4029815,0.408244,0.4162615,255,0.0,1.2,0.48,0.5878775382679627,0.0,0.0,1.2,5
SofaScene,11.745565,26.085001,13.649083875783475,0.5708696445416865,13.34377,13.451426,13.806674,1755,11.350286,25.671373,13.315252007977207,0.5495389163378057,13.0279875,13.124579,13.4497395,1755,0.007253,0.896003,0.25404170902184237,0.22555743579078227,0.0525855,0.303017,0.407004,10530,0.007996,0.48682,0.10129634064577397,0.08238725299707991,0.02652225,0.1153505,0.16949875,10530,0.057636,11.489774,1.9104255420702754,1.9580774566369117,0.166432,1.159151,2.768644,10530,0.057636,11.489774,1.9104255420702754,1.9580774566369117,0.166432,1.159151,2.768644,10530,0.092158,0.201125,0.10756941538461538,0.014148147897275533,0.09758,0.101662,0.1138745,1755,0.131267,0.267672,0.14500213105413104,0.01528788360340122,0.1356955,0.137921,0.1463985,1755,24.132928,59.653081,29.42503514017094,2.6720964726606113,27.6338055,29.29808,31.1213965,1755,10.267649,45.687785,15.18935117037037,2.58018440185467,13.4191045,15.094461,16.8891785,1755,0.073255,0.235453,0.08560418404558404,0.012191803385661093,0.079085,0.081733,0.087118,1755,9.425769,44.373799,14.31820747920228,2.491475959409232,12.6276855,14.217143,15.981459,1755,0.104574,0.989172,0.26898967464387463,0.11076551694120321,0.2052705,0.243638,0.2969855,1755,0.435263,0.882759,0.5137585202279202,0.03485950603331361,0.491054,0.510265,0.534955,1755,0.0,1.2,0.72,0.5878775382679627,0.0,1.2,1.2,5
BilateralLagrangianConstraint_NNCG,0.02876,1.770028,0.094172795,0.11847694846249618,0.043729,0.0807965,0.11031225,1000,0.195032,0.323512,0.214965223,0.0199356079450633,0.200432,0.205179,0.22946325,1000,0.002025,0.019636,0.0026717025,0.0008154961121880043,0.00221475,0.0023435,0.003107,4000,0.004183,0.01746,0.00523245225,0.0010647392519861085,0.004509,0.004713,0.00591925,4000,0.014994,0.057294,0.0175298105,0.0026594096636452513,0.015706,0.016427,0.018811,4000,0.014994,0.057294,0.0175298105,0.0026594096636452513,0.015706,0.016427,0.018811,4000,0.020528,0.050823,0.023163944,0.0033011406293679767,0.02106075,0.021334,0.02506625,1000,0.025651,0.061134,0.027662143,0.002772741110625188,0.026095,0.02643,0.0288215,1000,0.489716,2.518812,0.592283753,0.15206760008778988,0.5082245,0.5531545,0.65145725,1000,0.09085,0.210199,0.105807628,0.01614505429001761,0.094512,0.098605,0.1159225,1000,0.025261,0.06505,0.029627418000000003,0.004616611748596149,0.02654775,0.027844,0.03209275,1000,0.041106,0.121128,0.048072367,0.008958009505259022,0.042261,0.0431565,0.05309425,1000,0.006262,0.0246,0.0075144949999999995,0.0018149934743615472,0.00650475,0.0066845,0.008083,1000,0.016643,0.046466,0.019595877,0.0031693084015082845,0.01744075,0.0181085,0.0213385,1000,0.0,1.2,0.96,0.48000000000000004,1.2,1.2,1.2,5
BilateralLagrangianConstraint_PGS,0.037028,1.665852,0.09446163099999999,0.11805059136350331,0.04355425,0.0803475,0.110081,1000,0.193226,0.373568,0.21601643299999998,0.02237321682189468,0.19981075,0.20505,0.23133925,1000,0.002045,0.013982,0.0026946965,0.0007741474658537287,0.002227,0.002356,0.003121,4000,0.004244,0.032097,0.005281741,0.001201578059436423,0.00454775,0.004732,0.005933,4000,0.014901,0.081594,0.0175112985,0.002962555235079635,0.01563775,0.0163925,0.018721,4000,0.014901,0.081594,0.0175112985,0.002962555235079635,0.01563775,0.0163925,0.018721,4000,0.020592,0.047448,0.023332408,0.0035456071530185064,0.02099675,0.0213145,0.025273,1000,0.0254,0.063324,0.027820937,0.0032053969318995425,0.02604875,0.0264565,0.02917,1000,0.487771,2.4089,0.594212992,0.15360122954061253,0.50557725,0.553824,0.65620175,1000,0.090179,0.210423,0.105773574,0.016243555739200822,0.09407775,0.0978735,0.11664575,1000,0.025026,0.070244,0.029708595,0.005146024772674049,0.026435,0.0276525,0.0320345,1000,0.04098,0.122342,0.047958568,0.008994868164424425,0.041989,0.04286,0.0533055,1000,0.006106,0.037696,0.007492481,0.0020587276263845595,0.006349,0.00685,0.007908,1000,0.016747,0.047892,0.019612099999999997,0.00301809369834669,0.01752475,0.0180145,0.02127225,1000,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
BilateralLagrangianConstraint_UGS,0.033968,1.684191,0.066583911,0.11555819023733921,0.04225925,0.053963,0.066375,1000,0.195857,0.323568,0.206782945,0.012558203710243554,0.20086575,0.2035905,0.2069355,1000,0.002007,0.023866,0.0025294000000000002,0.0007349054326918532,0.002204,0.002292,0.003025,4000,0.004194,0.022639,0.00500680275,0.0010887452903881778,0.004471,0.004595,0.00579825,4000,0.015105,0.055224,0.016932556499999998,0.002172791022350689,0.015641,0.016156,0.018481,4000,0.015105,0.055224,0.016932556499999998,0.002172791022350689,0.015641,0.016156,0.018481,4000,0.020619,0.042701,0.02167938,0.0019118433663875291,0.021061,0.021214,0.021409,1000,0.025779,0.064079,0.02684554,0.0023159987764245476,0.026224,0.026386,0.026562,1000,0.510666,2.450157,0.5672284350000001,0.1387808892898146,0.52521425,0.5525965,0.56872025,1000,0.102429,0.21828,0.125572522,0.016070690366300884,0.1143575,0.1248685,0.13085425,1000,0.024957,0.048281,0.026845322,0.002602595465744917,0.02595375,0.0263105,0.02668575,1000,0.046682,0.115379,0.049546680999999995,0.006394039818552821,0.0474705,0.0479085,0.04875025,1000,0.009506,0.068525,0.029474004,0.010184411970456811,0.020912,0.030799,0.03558525,1000,0.017187,0.052924,0.018909792,0.003110123870641811,0.01779,0.018,0.01839,1000,0.0,1.2,0.48,0.5878775382679627,0.0,0.0,1.2,5
FrictionContact_LCP_with_friction,0.036533,1.489321,0.07885397100000001,0.09803048435972435,0.07104775,0.0721015,0.07498775,1000,0.061328,0.144764,0.078958962,0.008413327188725991,0.0780585,0.0786885,0.07961725,1000,0.00314,0.022721,0.004361036,0.0009317794056019911,0.004325,0.0043865,0.00444725,1000,0.006202,0.030725,0.007963483,0.0014524643829405938,0.007839,0.007916,0.00800525,1000,0.01861,0.053119,0.024790343,0.0029088208957154782,0.02473,0.024917,0.0251365,1000,0.01861,0.053119,0.024790343,0.0029088208957154782,0.02473,0.024917,0.0251365,1000,0.006408,0.034514,0.009747134,0.0017546350161911166,0.00966875,0.009799,0.009908,1000,0.010101,0.034584,0.012407385,0.0017130585672343486,0.012219,0.012335,0.01244,1000,0.163695,1.763788,0.266473517,0.10823141647833918,0.2611705,0.2634725,0.26755275,1000,0.013074,0.110495,0.039190758,0.01005059080360135,0.040268,0.0406745,0.04131525,1000,0.002163,0.015117,0.003148583,0.0007323297830287937,0.003019,0.003113,0.003195,1000,0.007229,0.045654,0.017186746,0.004212773278433579,0.01735125,0.0175115,0.01767725,1000,0.001921,0.05737,0.016620073,0.006052719349653592,0.0179345,0.0181295,0.018281,1000,0.001091,0.008149,0.001487442,0.0006663734693368276,0.001336,0.001383,0.00144325,1000,0.0,1.2,0.48,0.5878775382679627,0.0,0.0,1.2,5
FrictionContact_LCP_without_friction,0.036642,1.509766,0.093895525,0.09907139269206512,0.07263075,0.0991385,0.10252675,1000,0.061064,0.140502,0.079032207,0.008782804075473334,0.0778675,0.078393,0.0797215,1000,0.00308,0.03148,0.004355904999999999,0.001158899844669504,0.00428775,0.0043485,0.004408,1000,0.006144,0.025715,0.007886307,0.0012720985106315467,0.007788,0.007878,0.00797225,1000,0.018713,0.072894,0.025011202,0.003657869861161821,0.0247505,0.024985,0.0252445,1000,0.018713,0.072894,0.025011202,0.003657869861161821,0.0247505,0.024985,0.0252445,1000,0.006627,0.03935,0.009742717,0.001910418068096876,0.00965975,0.0097615,0.00988425,1000,0.010182,0.024653,0.012264997,0.0013854061538014764,0.012125,0.012227,0.012338,1000,0.162773,1.780793,0.271316873,0.10983836595050414,0.248887,0.279919,0.28447775,1000,0.013108,0.08128,0.029492401,0.007104797844850971,0.02706975,0.0310505,0.0317935,1000,0.002167,0.022061,0.003158959,0.0009612127419666263,0.003023,0.0030975,0.00316225,1000,0.007323,0.04805,0.016079955,0.004185590406259911,0.015646,0.016329,0.016649,1000,0.001902,0.024195,0.008058256,0.0029308465320558833,0.00647575,0.0097435,0.00998125,1000,0.001018,0.018071,0.00146884,0.0010756822274259252,0.00125075,0.0013135,0.001368,1000,0.0,1.2,0.24,0.48,0.0,0.0,0.0,5
FixedProjectiveConstraint,0.00612,0.177045,0.007956829,0.00963412096300223,0.00645975,0.0066035,0.007,1000,1.118147,1.955827,1.142467186,0.04436828316822056,1.12302675,1.1272915,1.143239,1000,0.06697,0.144347,0.069213834,0.005942914904358297,0.0675415,0.0678455,0.0685655,1000,0.037603,0.079407,0.039328293,0.004326917924013697,0.03808875,0.038285,0.03881425,1000,0.01528,0.039127,0.016346972,0.002277228367383473,0.015667,0.015828,0.01601375,1000,0.987931,1.719437,1.009625081,0.038099948702228444,0.993521,0.996458,1.00555525,1000,0.002746,0.013396,0.00305725,0.0007843343059563314,0.002902,0.002968,0.003033,1000,0.011114,0.03184,0.011711836,0.001463846012087337,0.01135075,0.0114405,0.01156525,1000,1.154424,2.025534,1.181489097,0.04957557998708226,1.16058975,1.165959,1.1814365,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1.2,0.72,0.5878775382679627,0.0,1.2,1.2,5
FEMBAR_EigenSimplicialLDLT,0.000302,0.005732,0.00039732600000000004,0.000428512841959258,0.000325,0.000336,0.00035,1000,2.505253,5.038282,2.5532214470000003,0.1889420967446937,2.513848,2.5202095,2.54493525,1000,0.052205,0.075714,0.053317733,0.0022900383668644072,0.05260575,0.052776,0.053019,1000,0.044562,0.112504,0.045756285,0.003762137819083054,0.04494,0.04509,0.045312,1000,0.690738,2.122175,0.7083671850000001,0.0989502986584112,0.6955365,0.6972765,0.7000595,1000,1.704146,2.71566,1.738222431,0.10442051119550812,1.711644,1.7152615,1.729936,1000,0.001189,0.004737,0.0015163309999999999,0.0005191013190495666,0.001348,0.001398,0.001478,1000,0.011702,0.025279,0.012373072,0.000814075310285234,0.012049,0.0122165,0.0124325,1000,2.529822,5.094656,2.578685315,0.19120860120751307,2.53878875,2.545196,2.569784,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
FEMBAR_EigenSimplicialLLT,0.000306,0.00555,0.00041008,0.00037949655018194834,0.000341,0.000354,0.000379,1000,2.615058,4.948551,2.665553047,0.1746144779308829,2.6254145,2.6309775,2.66079425,1000,0.05217,0.097727,0.053498991999999995,0.0037278176664016175,0.052533,0.0527865,0.05304925,1000,0.044396,0.07932,0.045712605,0.0035106241007796606,0.04482775,0.045006,0.04526975,1000,0.690886,1.994802,0.708479529,0.08510009463883784,0.696255,0.6982845,0.7014315,1000,1.814191,2.853767,1.850227964,0.10321261984330551,1.821717,1.8255,1.84528875,1000,0.001259,0.01027,0.001528539,0.0005743143133154527,0.001369,0.001415,0.001474,1000,0.011851,0.032451,0.012388881,0.0010786624925522349,0.012108,0.012209,0.012333,1000,2.639054,5.003093,2.690924087,0.1765784104180617,2.65047425,2.6560845,2.685327,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
FEMBAR_EigenSparseLU,0.000336,0.00516,0.00048101,0.0004834253198788826,0.000383,0.000412,0.00044225,1000,3.322071,5.836123,3.390141785,0.19168584604381406,3.3359345,3.3513675,3.38872275,1000,0.053034,0.095045,0.055646728,0.003716692525353153,0.054388,0.0549185,0.05564875,1000,0.045374,0.085012,0.047259103999999996,0.0035340120652289798,0.04604,0.046453,0.04730125,1000,0.696587,1.904819,0.7162356409999999,0.08352094083914596,0.702456,0.7044865,0.70791975,1000,2.510668,3.83356,2.561374608,0.12158376530929751,2.520476,2.5254145,2.563577,1000,0.001492,0.012036,0.0019473219999999998,0.0008389636334883651,0.001691,0.001776,0.001886,1000,0.012833,0.037899,0.013936585,0.0014098007968415254,0.01337575,0.0137085,0.01405325,1000,3.349252,5.89227,3.419183061,0.19375928143632057,3.36446325,3.380126,3.418855,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
FEMBAR_EigenSparseQR,0.000313,0.006544,0.0005317039999999999,0.0005218955454724633,0.000421,0.000454,0.00048825,1000,10.927157,18.827522,11.125345751,0.36395165466974455,11.0177655,11.053365,11.127796,1000,0.055119,0.125565,0.059742923999999996,0.006121143127735537,0.05734725,0.0579535,0.05929425,1000,0.045146,0.095789,0.049213538,0.004128916810563758,0.04724275,0.048333,0.0494075,1000,0.697317,1.938707,0.724354724,0.08706656818418781,0.70556925,0.708912,0.716009,1000,10.108806,17.408921,10.28121338,0.30108765047655744,10.1874925,10.2199535,10.2868015,1000,0.001318,0.010989,0.001949232,0.0008421533887457795,0.001666,0.0017935,0.001917,1000,0.012887,0.038606,0.014519797000000001,0.0019364893668158884,0.01373825,0.014202,0.01454125,1000,10.95392,18.888561,11.156200821,0.3669522821262336,11.04825475,11.083614,11.15818125,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1.2,0.24,0.48,0.0,0.0,0.0,5
FEMBAR_PrecomputedLinearSolver,0.0003,0.007708,0.0006214339999999999,0.0009533930153111045,0.000406,0.000435,0.0005,1000,0.742992,105.783132,1.303354983,7.318605478476136,0.75795575,0.7816245,0.80575725,1000,0.053996,0.100655,0.058532902000000005,0.004586418889329233,0.05555075,0.0571755,0.060927,1000,0.044194,0.092958,0.047476057999999995,0.004032894031912567,0.04481825,0.045384,0.04980525,1000,0.000167,6.87989,0.033808983,0.4730773262141451,0.000223,0.000261,0.000315,1000,0.635454,98.917371,1.154991731,6.842523237758228,0.64423525,0.669851,0.6866325,1000,0.001241,0.012119,0.002024728,0.0011245883513606213,0.001614,0.0018195,0.00201375,1000,0.012713,0.041707,0.014277956,0.001736806452678018,0.01365775,0.013984,0.0144675,1000,0.770446,105.855519,1.333631542,7.321428892049977,0.7882525,0.8117705,0.83621425,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
FEMBAR_SparseLDLSolver,0.000277,0.00356,0.000361977,0.0003721107287770671,0.0003,0.00031,0.000322,1000,0.072007,4.611079,1.2664071270000001,1.1984561499685247,0.07233975,1.2722095,2.4346645,2000,0.05205,0.086154,0.053346105000000005,0.0028422057976112496,0.05246875,0.052698,0.05302075,1000,0.044351,0.078504,0.045692948,0.0029996225898095913,0.04488675,0.045156,0.04545025,1000,0.690535,2.016155,0.7066642780000001,0.08727692665904728,0.69533575,0.6972325,0.6993245,1000,1.618459,2.469087,1.64665127,0.07416239574026111,1.62495375,1.6309815,1.64293275,1000,0.001185,0.010445,0.001506201,0.0006687737603995838,0.001323,0.001377,0.001449,1000,0.011828,0.023632,0.012454604999999999,0.0009529133890207442,0.01212175,0.0122725,0.01247,1000,2.444654,4.667793,2.485301892,0.1554974129858254,2.45321375,2.459888,2.47936625,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
FEMBAR_MinResLinearSolver,0.000267,0.005722,0.0006368099999999999,0.0009032593181916254,0.00029,0.000301,0.000315,1000,2.943078,4.041787,3.19910315,0.15555130891718494,3.08543425,3.138865,3.34009275,1000,0.051698,0.092941,0.052946435,0.00317399278508553,0.052018,0.0522485,0.05306825,1000,0.043774,0.076171,0.044658308,0.0023558422929253987,0.04412675,0.044272,0.044414,1000,0.016686,0.038012,0.017895441999999998,0.0017516828727358155,0.017135,0.0173025,0.01780525,1000,2.821705,3.82909,3.0771228500000003,0.1542093949653052,2.96389725,3.0165515,3.21853175,1000,0.001039,0.010804,0.001189561,0.0003268754384761878,0.001125,0.001168,0.001212,1000,0.011094,0.049723,0.011685163,0.0014460400341729824,0.0114045,0.011527,0.01166675,1000,2.965267,4.094251,3.2226067119999997,0.15604730866151797,3.1094025,3.1627665,3.36378725,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1.2,0.24,0.48,0.0,0.0,0.0,5
