SceneName,CollisionDetection_min,CollisionDetection_max,CollisionDetection_mean,CollisionDetection_std,CollisionDetection_quartile1,CollisionDetection_quartile2,CollisionDetection_quartile3,CollisionDetection_cardinality,ODESolve_min,ODESolve_max,ODESolve_mean,ODESolve_std,ODESolve_quartile1,ODESolve_quartile2,ODESolve_quartile3,ODESolve_cardinality,ComputeForce_min,ComputeForce_max,ComputeForce_mean,ComputeForce_std,ComputeForce_quartile1,ComputeForce_quartile2,ComputeForce_quartile3,ComputeForce_cardinality,ComputeRHTerm_min,ComputeRHTerm_max,ComputeRHTerm_mean,ComputeRHTerm_std,ComputeRHTerm_quartile1,ComputeRHTerm_quartile2,ComputeRHTerm_quartile3,ComputeRHTerm_cardinality,setSystemMBKMatrix_min,setSystemMBKMatrix_max,setSystemMBKMatrix_mean,setSystemMBKMatrix_std,setSystemMBKMatrix_quartile1,setSystemMBKMatrix_quartile2,setSystemMBKMatrix_quartile3,setSystemMBKMatrix_cardinality,MBKSolve_min,MBKSolve_max,MBKSolve_mean,MBKSolve_std,MBKSolve_quartile1,MBKSolve_quartile2,MBKSolve_quartile3,MBKSolve_cardinality,ProjectAndMechaMap_min,ProjectAndMechaMap_max,ProjectAndMechaMap_mean,ProjectAndMechaMap_std,ProjectAndMechaMap_quartile1,ProjectAndMechaMap_quartile2,ProjectAndMechaMap_quartile3,ProjectAndMechaMap_cardinality,UpdateBBox_min,UpdateBBox_max,UpdateBBox_mean,UpdateBBox_std,UpdateBBox_quartile1,UpdateBBox_quartile2,UpdateBBox_quartile3,UpdateBBox_cardinality,TimeStep_min,TimeStep_max,TimeStep_mean,TimeStep_std,TimeStep_quartile1,TimeStep_quartile2,TimeStep_quartile3,TimeStep_cardinality,SolveConstraint_min,SolveConstraint_max,SolveConstraint_mean,SolveConstraint_std,SolveConstraint_quartile1,SolveConstraint_quartile2,SolveConstraint_quartile3,SolveConstraint_cardinality,PrepareState_min,PrepareState_max,PrepareState_mean,PrepareState_std,PrepareState_quartile1,PrepareState_quartile2,PrepareState_quartile3,PrepareState_cardinality,BuildSystem_min,BuildSystem_max,BuildSystem_mean,BuildSystem_std,BuildSystem_quartile1,BuildSystem_quartile2,BuildSystem_quartile3,BuildSystem_cardinality,SolveSystem_min,SolveSystem_max,SolveSystem_mean,SolveSystem_std,SolveSystem_quartile1,SolveSystem_quartile2,SolveSystem_quartile3,SolveSystem_cardinality,ApplyCorrection_min,ApplyCorrection_max,ApplyCorrection_mean,ApplyCorrection_std,ApplyCorrection_quartile1,ApplyCorrection_quartile2,ApplyCorrection_quartile3,ApplyCorrection_cardinality,CPUUsage_min,CPUUsage_max,CPUUsage_mean,CPUUsage_std,CPUUsage_quartile1,CPUUsage_quartile2,CPUUsage_quartile3,CPUUsage_cardinality
fallingBeamLagrangianCollision,0.34075,0.416906,0.35590987058823526,0.012963871009081945,0.3476785,0.351592,0.358366,255,11.569059,12.594969,12.054033235294119,0.22667446866755236,11.8990105,12.106344,12.2271705,255,0.281604,0.362184,0.2923009568627451,0.012428011714611926,0.2847665,0.287231,0.295035,255,0.136512,0.203051,0.14137892156862744,0.008736877151618649,0.138061,0.138754,0.1400085,255,3.596186,3.914264,3.7142423529411763,0.05459166926685883,3.6793625,3.704263,3.7456815,255,3.596186,3.914264,3.7142423529411763,0.05459166926685883,3.6793625,3.704263,3.7456815,255,0.022569,0.051635,0.024124125490196078,0.0020820832478358974,0.0234085,0.023869,0.0242165,255,0.052614,0.095776,0.055177682352941175,0.004058029785291877,0.053916,0.054473,0.055041,255,39.788346,52.75698,47.090561611764706,1.8370036569803732,47.3918405,47.649139,47.9033735,255,27.150383,40.491664,34.50821975294117,1.8811347403494407,34.974646,35.136315,35.254062,255,0.020604,0.038967,0.022174639215686274,0.0017606585118429057,0.0214515,0.021909,0.0223745,255,21.747878,27.153668,21.965459207843136,0.5487564166636141,21.8462425,21.873095,21.9155635,255,4.884111,14.085052,12.097630537254902,1.7926991075938827,12.657223,12.807471,12.9168895,255,0.395191,0.488117,0.42005761176470585,0.014082990594074923,0.410982,0.416471,0.4232355,255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
SofaScene,8.971064,10.435713,9.295495305413105,0.22617960070820042,9.119105,9.210627,9.431017,1755,8.680925,10.059769,8.989215348717948,0.22270365516975338,8.8158175,8.903228,9.124009,1755,0.004843,0.558553,0.17309777853751188,0.1683167997256046,0.0299205,0.1198005,0.27736675,10530,0.006335,0.294367,0.07585990313390313,0.07234951975969448,0.01406525,0.073487,0.10524225,10530,0.034805,3.706405,1.1539155365622031,1.1902085197480894,0.085607,0.887233,1.72516875,10530,0.034805,3.706405,1.1539155365622031,1.1902085197480894,0.085607,0.887233,1.72516875,10530,0.096819,0.181401,0.10790507521367522,0.009942603350521226,0.1028035,0.105083,0.1079055,1755,0.130828,0.215479,0.14159530313390312,0.010841998228077031,0.1357125,0.137758,0.1410415,1755,23.924642,44.257025,30.64163204216524,3.6857938343178804,28.2427315,30.063127,32.3298435,1755,14.228918,34.338199,20.84768245868946,3.655722757400037,18.4935615,20.281864,22.6440425,1755,0.073551,0.147843,0.08298234017094017,0.008933487455996621,0.078303,0.080992,0.0829855,1755,13.412186,33.158493,20.017157004558403,3.564503264720767,17.7256315,19.464125,21.821273,1755,0.10058,0.6889,0.25631251396011395,0.10584156521828578,0.1967715,0.232056,0.2822075,1755,0.432039,0.70998,0.4890288005698005,0.02927997285488871,0.468263,0.483389,0.5043905,1755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
BilateralLagrangianConstraint_NNCG,0.04775,1.840571,0.108966873,0.1250684878691706,0.054499,0.09343,0.124799,1000,0.126592,0.273989,0.145365146,0.018087384620798112,0.13137925,0.135841,0.1581,1000,0.001911,0.022812,0.00267793625,0.0012936058090415093,0.002104,0.002242,0.00301525,4000,0.004039,0.026566,0.00525230325,0.0016702373228943954,0.004385,0.00458,0.00578625,4000,0.000357,0.013822,0.0007559745,0.0007591934284816684,0.000465,0.000518,0.000967,4000,0.000357,0.013822,0.0007559745,0.0007591934284816684,0.000465,0.000518,0.000967,4000,0.020084,0.059314,0.022983518,0.004332330142276325,0.02049375,0.020792,0.0244125,1000,0.027526,0.082775,0.030654883,0.0054581550928231234,0.028171,0.0286455,0.03165075,1000,0.420501,2.46365,0.5276945,0.15360015515148415,0.45255675,0.489346,0.5794905,1000,0.085313,0.18825,0.10072900500000001,0.01658365104507976,0.0879175,0.0920545,0.11083375,1000,0.024968,0.078997,0.029242489,0.00586246914549484,0.025918,0.0265135,0.03140375,1000,0.03767,0.09099,0.044735332,0.008857777931161744,0.038557,0.0410835,0.050064,1000,0.005248,0.030055,0.006617303,0.0023443061645593566,0.0054695,0.0056055,0.00702075,1000,0.016141,0.060029,0.019593366,0.0047268773918988,0.01680675,0.0175135,0.02076875,1000,0.0,4.7,0.9400000000000001,1.8800000000000001,0.0,0.0,0.0,5
BilateralLagrangianConstraint_PGS,0.02052,1.713015,0.108064505,0.120912815236012,0.0530765,0.094097,0.12556475,1000,0.125709,0.278177,0.145370413,0.01824023585534,0.13133175,0.138114,0.15704775,1000,0.001921,0.045149,0.002626925,0.0014099495407194542,0.002091,0.002207,0.002991,4000,0.004051,0.026406,0.00533839375,0.0017649648441855543,0.004388,0.004668,0.00582025,4000,0.000344,0.02054,0.0007374965,0.0008552781994694766,0.00045,0.000505,0.00087925,4000,0.000344,0.02054,0.0007374965,0.0008552781994694766,0.00045,0.000505,0.00087925,4000,0.01995,0.060137,0.023461089,0.004781931836306223,0.020759,0.0212295,0.0248835,1000,0.027437,0.101363,0.030338724999999997,0.00473711085677494,0.02811375,0.028531,0.03161775,1000,0.420581,2.38129,0.528465091,0.15070745014895157,0.4553155,0.4900305,0.581882,1000,0.085362,0.210675,0.101134484,0.01686506969934438,0.088126,0.092658,0.1119675,1000,0.024923,0.080351,0.02938624,0.006314196595799024,0.02578925,0.026539,0.03180775,1000,0.037909,0.114467,0.04519191,0.009549107349061482,0.038743,0.041555,0.05017575,1000,0.005291,0.024528,0.006659310000000001,0.0018904175125881585,0.00553575,0.005962,0.0070205,1000,0.016236,0.073342,0.019342190999999998,0.004272309419098645,0.01677875,0.0174945,0.02072925,1000,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
BilateralLagrangianConstraint_UGS,0.038105,1.725074,0.079734445,0.117842912058702,0.0528805,0.06756,0.0792635,1000,0.127485,0.315056,0.140027726,0.0159672247466153,0.13125875,0.1354595,0.140865,1000,0.0019,0.022118,0.00249646,0.0010615831688567787,0.00206,0.002191,0.002886,4000,0.004031,0.02767,0.00506552225,0.0016002560759156446,0.00436475,0.004603,0.00568725,4000,0.000351,0.020879,0.0007556570000000001,0.0007591813389111984,0.000467,0.000536,0.000975,4000,0.000351,0.020879,0.0007556570000000001,0.0007591813389111984,0.000467,0.000536,0.000975,4000,0.020024,0.051638,0.021481348999999997,0.0029649689002077245,0.020621,0.020796,0.0209975,1000,0.027672,0.063282,0.029625182,0.00452771867532381,0.028219,0.0284305,0.02885025,1000,0.439351,2.350689,0.504601073,0.14034312905704244,0.46480175,0.4865075,0.50411225,1000,0.097677,0.24358,0.121079749,0.01690975653189599,0.10925375,0.119152,0.1260905,1000,0.024751,0.065811,0.027345772,0.004434447585214645,0.025845,0.0262165,0.026623,1000,0.043026,0.100251,0.046559431,0.007151326071522609,0.0437285,0.044135,0.0455605,1000,0.008919,0.093353,0.028072333999999997,0.010318270800984243,0.0195265,0.0291675,0.03384625,1000,0.01663,0.05455,0.018546717,0.0033690539257944505,0.01716775,0.017417,0.01796825,1000,0.0,1.2,0.48,0.5878775382679627,0.0,0.0,1.2,5
FrictionContact_LCP_with_friction,0.040195,1.545845,0.08440669199999999,0.09746268047640151,0.07544875,0.0761005,0.079067,1000,0.040914,0.111719,0.053456989999999996,0.008312052313592595,0.0515165,0.051969,0.05256725,1000,0.002846,0.020315,0.004101487,0.001182621733197475,0.00398575,0.0040685,0.004147,1000,0.00574,0.029643,0.007718770000000001,0.0019971934691211065,0.007464,0.0075475,0.00763275,1000,0.000724,0.009871,0.001017677,0.00043993498459545135,0.00094,0.000967,0.001,1000,0.000724,0.009871,0.001017677,0.00043993498459545135,0.00094,0.000967,0.001,1000,0.006164,0.031455,0.009545965,0.002389001696059465,0.00922375,0.009387,0.00954925,1000,0.011131,0.04346,0.014241374,0.00268293079450887,0.01381,0.013974,0.014124,1000,0.142919,1.775529,0.244534303,0.10635321966219542,0.233838,0.236923,0.25128975,1000,0.012092,0.108579,0.038203025,0.011350180307659214,0.03789575,0.0384265,0.04101025,1000,0.002013,0.024373,0.0031494789999999997,0.0017518151219689253,0.002903,0.0029635,0.003022,1000,0.006892,0.04772,0.016341469,0.0051068852846954576,0.01583,0.015999,0.01621125,1000,0.001516,0.081949,0.016461195,0.006872086292602489,0.01712125,0.017537,0.0178165,1000,0.000985,0.021356,0.00146708,0.0010858182341441868,0.00129,0.0013375,0.001387,1000,0.0,1.2,0.24,0.48,0.0,0.0,0.0,5
FrictionContact_LCP_without_friction,0.040395,1.582054,0.099680512,0.09773992870056666,0.07605975,0.10425,0.10527325,1000,0.040687,0.114996,0.054111552,0.00902818415658963,0.05155,0.052023,0.05304075,1000,0.002873,0.024462,0.004306009,0.0019700129144041164,0.00400375,0.004082,0.00415825,1000,0.005803,0.023738,0.0078031080000000004,0.0019537500813399857,0.00746775,0.0075825,0.0077215,1000,0.000808,0.01712,0.001037163,0.0006266032815354544,0.00094775,0.000976,0.001004,1000,0.000808,0.01712,0.001037163,0.0006266032815354544,0.00094775,0.000976,0.001004,1000,0.006076,0.041723,0.009635569,0.002833563463774722,0.009135,0.009367,0.00960175,1000,0.011139,0.043642,0.014348658,0.0031425902859004706,0.013755,0.013903,0.01406825,1000,0.144279,1.823404,0.250669394,0.1076146528395867,0.222536,0.2531785,0.25826125,1000,0.012148,0.078009,0.028011874,0.00743268072623357,0.0250375,0.0288005,0.0298675,1000,0.00199,0.024881,0.003097769,0.0012308301538551125,0.002912,0.002991,0.003105,1000,0.006914,0.046446,0.015022779,0.00414976763833338,0.0142865,0.01492,0.0152685,1000,0.001593,0.056875,0.007610774000000001,0.003522990393248894,0.00584975,0.0088505,0.00937675,1000,0.001,0.015819,0.001460928,0.0010649820809835253,0.001252,0.001313,0.001374,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
FixedProjectiveConstraint,0.008266,0.167605,0.010281171,0.009242188986260723,0.008794,0.0089585,0.0092725,1000,1.091558,1.307533,1.127690362,0.029817277826303258,1.10729775,1.1230245,1.1348365,1000,0.066595,0.118876,0.069006999,0.006617831913927627,0.0668805,0.067076,0.06738275,1000,0.037142,0.101478,0.038822454,0.004626178201916135,0.037511,0.037659,0.03831425,1000,0.000673,0.003959,0.000898218,0.0004951438846194105,0.000763,0.000796,0.00084,1000,0.978697,1.167248,1.011310164,0.02664163948031547,0.990363,1.008865,1.0185995,1000,0.002689,0.014531,0.002941852,0.0007466627525837887,0.00282475,0.002868,0.002914,1000,0.008406,0.025979,0.009000586,0.0015199578436930414,0.00864975,0.008754,0.00889325,1000,1.124678,1.5158,1.1640161299999998,0.035304137154604134,1.14225025,1.158054,1.170298,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
FEMBAR_EigenSimplicialLDLT,0.000271,0.000823,0.00033747899999999996,5.54835972067421e-05,0.000303,0.000323,0.000359,1000,2.505195,5.143427,2.581011895,0.19955465390702865,2.51501575,2.5599045,2.58395,1000,0.051773,0.099441,0.053810221,0.005157674175261462,0.05226675,0.0525605,0.053021,1000,0.043871,0.081905,0.045585488,0.004507297409297062,0.04429575,0.0446275,0.045032,1000,0.689494,2.133826,0.7150513789999999,0.10020426945079416,0.69441025,0.6972755,0.72187125,1000,1.707284,2.822669,1.75905396,0.11447948383019728,1.714024,1.742324,1.76501425,1000,0.001162,0.013244,0.001364952,0.0004973181071467236,0.001274,0.00132,0.001368,1000,0.005881,0.021983,0.0066102209999999995,0.0010515359490569022,0.0063125,0.0064625,0.00664225,1000,2.521417,5.193029,2.599146414,0.20196592756581147,2.5329845,2.578025,2.6023685,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
FEMBAR_EigenSimplicialLLT,0.000268,0.000885,0.000333802,5.399384035239576e-05,0.000304,0.000321,0.00035,1000,2.613707,5.025564,2.689948667,0.18904033367273798,2.63739425,2.666699,2.6916485,1000,0.051632,0.097007,0.053608929,0.005027689776821855,0.05206475,0.0523275,0.05270525,1000,0.044108,0.108402,0.045693927,0.004730226832369775,0.044555,0.044676,0.04482325,1000,0.687603,2.017602,0.712850865,0.09051646313732534,0.69377725,0.6975235,0.720061,1000,1.818148,2.885485,1.870213314,0.11292809255528671,1.82622375,1.851663,1.87725675,1000,0.001163,0.003519,0.001385262,0.0001597582278194147,0.001301,0.001359,0.00143325,1000,0.005785,0.025867,0.00643245,0.0013455534643781345,0.00605675,0.006211,0.006428,1000,2.629463,5.072741,2.7079073719999998,0.19119459691582188,2.65501175,2.684312,2.709848,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
