SceneName,CollisionDetection_min,CollisionDetection_max,CollisionDetection_mean,CollisionDetection_std,CollisionDetection_quartile1,CollisionDetection_quartile2,CollisionDetection_quartile3,CollisionDetection_cardinality,ODESolve_min,ODESolve_max,ODESolve_mean,ODESolve_std,ODESolve_quartile1,ODESolve_quartile2,ODESolve_quartile3,ODESolve_cardinality,ComputeForce_min,ComputeForce_max,ComputeForce_mean,ComputeForce_std,ComputeForce_quartile1,ComputeForce_quartile2,ComputeForce_quartile3,ComputeForce_cardinality,ComputeRHTerm_min,ComputeRHTerm_max,ComputeRHTerm_mean,ComputeRHTerm_std,ComputeRHTerm_quartile1,ComputeRHTerm_quartile2,ComputeRHTerm_quartile3,ComputeRHTerm_cardinality,setSystemMBKMatrix_min,setSystemMBKMatrix_max,setSystemMBKMatrix_mean,setSystemMBKMatrix_std,setSystemMBKMatrix_quartile1,setSystemMBKMatrix_quartile2,setSystemMBKMatrix_quartile3,setSystemMBKMatrix_cardinality,MBKSolve_min,MBKSolve_max,MBKSolve_mean,MBKSolve_std,MBKSolve_quartile1,MBKSolve_quartile2,MBKSolve_quartile3,MBKSolve_cardinality,ProjectAndMechaMap_min,ProjectAndMechaMap_max,ProjectAndMechaMap_mean,ProjectAndMechaMap_std,ProjectAndMechaMap_quartile1,ProjectAndMechaMap_quartile2,ProjectAndMechaMap_quartile3,ProjectAndMechaMap_cardinality,UpdateBBox_min,UpdateBBox_max,UpdateBBox_mean,UpdateBBox_std,UpdateBBox_quartile1,UpdateBBox_quartile2,UpdateBBox_quartile3,UpdateBBox_cardinality,TimeStep_min,TimeStep_max,TimeStep_mean,TimeStep_std,TimeStep_quartile1,TimeStep_quartile2,TimeStep_quartile3,TimeStep_cardinality,SolveConstraint_min,SolveConstraint_max,SolveConstraint_mean,SolveConstraint_std,SolveConstraint_quartile1,SolveConstraint_quartile2,SolveConstraint_quartile3,SolveConstraint_cardinality,PrepareState_min,PrepareState_max,PrepareState_mean,PrepareState_std,PrepareState_quartile1,PrepareState_quartile2,PrepareState_quartile3,PrepareState_cardinality,BuildSystem_min,BuildSystem_max,BuildSystem_mean,BuildSystem_std,BuildSystem_quartile1,BuildSystem_quartile2,BuildSystem_quartile3,BuildSystem_cardinality,SolveSystem_min,SolveSystem_max,SolveSystem_mean,SolveSystem_std,SolveSystem_quartile1,SolveSystem_quartile2,SolveSystem_quartile3,SolveSystem_cardinality,ApplyCorrection_min,ApplyCorrection_max,ApplyCorrection_mean,ApplyCorrection_std,ApplyCorrection_quartile1,ApplyCorrection_quartile2,ApplyCorrection_quartile3,ApplyCorrection_cardinality,CPUUsage_min,CPUUsage_max,CPUUsage_mean,CPUUsage_std,CPUUsage_quartile1,CPUUsage_quartile2,CPUUsage_quartile3,CPUUsage_cardinality
fallingBeamLagrangianCollision,0.33901,0.435805,0.35648879215686274,0.01664957473683894,0.3459865,0.349333,0.3589775,255,11.496258,13.089285,12.072791760784312,0.2646362425008899,11.947894,12.070743,12.2168885,255,0.283001,0.444044,0.30207890196078435,0.021358938655109745,0.287431,0.293087,0.314024,255,0.136735,0.220111,0.14273827450980392,0.011178673619237153,0.137938,0.138876,0.14029,255,3.578173,4.098911,3.732969278431373,0.08381620450338853,3.6638195,3.730554,3.7864125,255,3.578173,4.098911,3.732969278431373,0.08381620450338853,3.6638195,3.730554,3.7864125,255,0.022686,0.044475,0.024163282352941177,0.0020603427029526303,0.023513,0.023791,0.024229,255,0.052631,0.089415,0.05634505098039216,0.006023203423733545,0.0541315,0.054616,0.0555205,255,39.713796,54.315464,47.86066874509804,2.517191864104337,47.518932,47.797051,48.1948105,255,27.147748,41.655829,35.25776047058824,2.5053346065995767,35.1226815,35.273209,35.4479215,255,0.02085,0.047921,0.02247935294117647,0.0025064329940901867,0.0217355,0.022115,0.0224595,255,21.779377,28.281762,22.64117566666667,1.9508871300629673,21.8696105,21.911076,21.9657125,255,4.836279,13.738338,12.168221545098039,1.8285970560773324,12.725736,12.913763,12.9985745,255,0.39986,0.547072,0.42292870588235293,0.023703967024400936,0.40758,0.413161,0.4318365,255,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
SofaScene,8.999795,13.885747,9.328008886039887,0.3437491065867623,9.141619,9.225792,9.439139,1755,8.706738,13.535621,9.02147076923077,0.3409706067546772,8.8401635,8.916085,9.131495,1755,0.004896,0.581521,0.1743588076923077,0.16980944227713535,0.03026025,0.122113,0.28034875,10530,0.006223,0.316474,0.0760056742640076,0.07301700138318144,0.013655,0.066498,0.105332,10530,0.03451,5.590155,1.1565584495726495,1.1941852607563075,0.085233,0.8927145,1.725254,10530,0.03451,5.590155,1.1565584495726495,1.1941852607563075,0.085233,0.8927145,1.725254,10530,0.097425,0.195127,0.11019927863247862,0.012127029586595343,0.102532,0.105348,0.116441,1755,0.131715,0.213919,0.14386761253561253,0.011081457778624796,0.137336,0.139556,0.1470725,1755,24.153675,43.719759,30.800736183475784,3.7033048222365386,28.3808905,30.24591,32.55742,1755,14.467287,31.231332,20.963562954985758,3.6691808022875856,18.575068,20.453875,22.786183,1755,0.071661,0.152534,0.08187691054131055,0.008658494261395467,0.077519,0.080049,0.0822625,1755,13.677223,30.435646,20.13692947977208,3.5789119173614026,17.784275,19.635358,21.956186,1755,0.100918,0.95857,0.25295587749287746,0.10418532893940108,0.195536,0.226368,0.279943,1755,0.429552,0.704586,0.4895917566951567,0.030274157469561393,0.470197,0.48414,0.5057905,1755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
BilateralLagrangianConstraint_NNCG,0.035363,1.715972,0.108485598,0.12222093550637059,0.0543135,0.0927805,0.12513625,1000,0.126593,0.282806,0.144113579,0.018635712858964076,0.13022425,0.1355975,0.15555675,1000,0.00187,0.019997,0.0026174345,0.0011901369109097281,0.002041,0.002185,0.002975,4000,0.004001,0.029344,0.00514312725,0.001633977826366514,0.004259,0.0044805,0.00572,4000,0.000325,0.016051,0.0007232865,0.0007853400651423242,0.000436,0.000486,0.00091625,4000,0.000325,0.016051,0.0007232865,0.0007853400651423242,0.000436,0.000486,0.00091625,4000,0.020148,0.057034,0.023403917,0.004719788766259672,0.0207095,0.0210125,0.025341,1000,0.027574,0.073604,0.030760471,0.005079991447744671,0.02834675,0.028859,0.03183675,1000,0.421434,2.360799,0.526822633,0.15085017748784493,0.454696,0.4876705,0.57928425,1000,0.085545,0.206746,0.10079855,0.016171681208628247,0.08827225,0.092808,0.11111725,1000,0.02494,0.069627,0.029490825000000002,0.005871288322197693,0.0260815,0.026683,0.0320535,1000,0.037812,0.127737,0.044811126,0.009256705752270836,0.03874275,0.0410735,0.0499045,1000,0.005275,0.024742,0.006529348,0.0018464293419722295,0.005511,0.005664,0.00697825,1000,0.016098,0.057135,0.019404185,0.00398440201319784,0.0167805,0.0175435,0.020813,1000,0.0,1.2,0.48,0.5878775382679627,0.0,0.0,1.2,5
BilateralLagrangianConstraint_PGS,0.038349,1.719902,0.108332864,0.12175612560668765,0.052788,0.0947785,0.12545525,1000,0.128329,0.290795,0.146583054,0.017964808695810932,0.133138,0.138002,0.15791975,1000,0.001912,0.022237,0.00253778875,0.0010795158338919525,0.00204,0.002132,0.002955,4000,0.004093,0.032446,0.00532808775,0.0016755829937815487,0.004444,0.004597,0.00579825,4000,0.000362,0.021743,0.000738399,0.0008371522354380952,0.000463,0.000513,0.00088525,4000,0.000362,0.021743,0.000738399,0.0008371522354380952,0.000463,0.000513,0.00088525,4000,0.019841,0.075494,0.02302091,0.004162779391452303,0.02058275,0.02115,0.02493625,1000,0.02741,0.070038,0.030500278,0.004566729639765859,0.028199,0.028679,0.0317955,1000,0.422248,2.399907,0.528749236,0.15281957902958085,0.45240725,0.49076,0.5809775,1000,0.085304,0.196078,0.10052814900000001,0.016251453360816657,0.08810725,0.092449,0.11134825,1000,0.025048,0.086248,0.029303422,0.005823990989855324,0.0260165,0.0267105,0.031637,1000,0.03763,0.114593,0.044588317,0.00900096656457022,0.03847875,0.0412565,0.04964425,1000,0.005295,0.026621,0.006769257,0.0021672534348688897,0.005567,0.005987,0.007102,1000,0.016249,0.051211,0.019322841,0.004030488805060621,0.0167765,0.0173575,0.020799,1000,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
BilateralLagrangianConstraint_UGS,0.03645,1.650972,0.080212031,0.1171058812643927,0.0525355,0.066914,0.0795485,1000,0.125788,0.24044,0.137797487,0.013975624556986031,0.129906,0.133245,0.13760775,1000,0.001884,0.023889,0.00244241725,0.0011057070148336933,0.002024,0.002093,0.00288325,4000,0.00402,0.029523,0.004942565249999999,0.0015731578214668856,0.00427875,0.004423,0.005607,4000,0.000336,0.021294,0.00072258025,0.0007840622711621428,0.00044,0.000495,0.000934,4000,0.000336,0.021294,0.00072258025,0.0007840622711621428,0.00044,0.000495,0.000934,4000,0.020041,0.074044,0.021563893,0.0036467223740711333,0.020549,0.020724,0.02102125,1000,0.027653,0.087506,0.029820867999999997,0.0050301611885282555,0.028423,0.028623,0.02885375,1000,0.438805,2.355931,0.504047277,0.13849205524438674,0.463849,0.485175,0.5097175,1000,0.097766,0.257326,0.121071523,0.01678135619994615,0.10937375,0.1190095,0.1260435,1000,0.025358,0.080131,0.027501614,0.004848712272449666,0.02601075,0.026235,0.02659625,1000,0.043004,0.119365,0.046499815,0.007661217686684996,0.04379575,0.044226,0.04498525,1000,0.008764,0.084853,0.028081228,0.010244388879089666,0.019525,0.0291645,0.033624,1000,0.016458,0.048126,0.018439276999999997,0.0034764552006707927,0.01703875,0.017233,0.01775375,1000,0.0,1.2,0.24,0.48,0.0,0.0,0.0,5
FrictionContact_LCP_with_friction,0.012234,1.451991,0.084400338,0.09607791174613318,0.07556975,0.0760475,0.0788805,1000,0.040385,0.145042,0.055309894,0.010054071000682459,0.05126375,0.051753,0.05879025,1000,0.002859,0.04929,0.004297081,0.002012566433795168,0.003997,0.0040675,0.004183,1000,0.005795,0.02411,0.007928281,0.002113117730756855,0.007405,0.0075015,0.007686,1000,0.000723,0.015327,0.001088176,0.0009759784685247928,0.000951,0.000979,0.00101,1000,0.000723,0.015327,0.001088176,0.0009759784685247928,0.000951,0.000979,0.00101,1000,0.006047,0.025342,0.009600105,0.002099850330374763,0.009158,0.009355,0.0098195,1000,0.011198,0.038538,0.014246705,0.0024213386326524013,0.0139015,0.01404,0.01418525,1000,0.142128,1.696005,0.248167308,0.10679576301572613,0.23425725,0.2374155,0.25608975,1000,0.012021,0.165298,0.038631543,0.012275995060774137,0.037919,0.0388955,0.04113,1000,0.002024,0.021725,0.003187505,0.0014254704514562902,0.00294175,0.003037,0.003173,1000,0.006831,0.115508,0.016685299,0.00595165820923875,0.015986,0.01624,0.01760825,1000,0.001581,0.13366,0.016587416,0.008002393012402227,0.01723175,0.0175905,0.01780925,1000,0.00101,0.005282,0.001412317,0.00046618731483278263,0.001303,0.001355,0.001402,1000,0.0,1.2,0.48,0.5878775382679627,0.0,0.0,1.2,5
FrictionContact_LCP_without_friction,0.040105,1.430223,0.098640134,0.09635914940691435,0.07543425,0.1033575,0.1047695,1000,0.040277,0.165966,0.053750476000000005,0.010133790408303499,0.051099,0.051599,0.0525465,1000,0.002842,0.025621,0.004241389,0.0017822467538696767,0.00402,0.004098,0.00416925,1000,0.005762,0.025478,0.007821564,0.002140483844345479,0.007476,0.0075685,0.007651,1000,0.000757,0.016443,0.001073673,0.0008260116561350694,0.00094,0.000974,0.001009,1000,0.000757,0.016443,0.001073673,0.0008260116561350694,0.00094,0.000974,0.001009,1000,0.006108,0.038611,0.009337416999999999,0.002269937489251852,0.00913,0.00926,0.009388,1000,0.011125,0.03926,0.014091868,0.0025106523579691395,0.013716,0.0138375,0.013954,1000,0.142462,1.679249,0.248920374,0.10670172431275009,0.22152925,0.2528265,0.25682975,1000,0.01207,0.080848,0.028007815,0.0075983648217741555,0.02499,0.0288805,0.02973825,1000,0.002037,0.018887,0.003074993,0.0012059087631122846,0.002901,0.00297,0.003048,1000,0.006757,0.050073,0.015173733,0.00472814784791159,0.014266,0.0150075,0.01530675,1000,0.001598,0.028515,0.0075205739999999995,0.0030365135222033836,0.0059065,0.008879,0.00929175,1000,0.000977,0.016448,0.001469362,0.0011480257910674307,0.001249,0.001307,0.001361,1000,0.0,1.2,0.24,0.48,0.0,0.0,0.0,5
FixedProjectiveConstraint,0.008487,0.142143,0.010305488,0.00873391486607558,0.0089035,0.009053,0.009409,1000,1.100359,1.266559,1.131337574,0.025705179026579913,1.11286675,1.1285125,1.14320075,1000,0.067167,0.150993,0.069251274,0.006449215196202092,0.067468,0.06759,0.067858,1000,0.037097,0.077267,0.038694583,0.004284919719097546,0.03750575,0.0378025,0.038176,1000,0.000668,0.011038,0.000946617,0.0006555002641578415,0.000791,0.000826,0.000876,1000,0.986826,1.152442,1.014570304,0.02307748056858859,0.99825525,1.0113145,1.02589925,1000,0.002734,0.017882,0.003021502,0.0007166506094297275,0.002887,0.002944,0.00302925,1000,0.008364,0.028608,0.009031584,0.001307968314961796,0.00871975,0.008844,0.00896825,1000,1.133386,1.445762,1.167929746,0.03147914187339744,1.148417,1.1636135,1.17934575,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1.2,0.48,0.5878775382679627,0.0,0.0,1.2,5
FEMBAR_EigenSimplicialLDLT,0.000279,0.02117,0.000362481,0.000664842426172548,0.000314,0.000328,0.000345,1000,2.507192,5.22622,2.5788738270000002,0.20375984215542833,2.5231745,2.5418675,2.57991375,1000,0.05182,0.103034,0.054748296,0.0047597688299311335,0.05268175,0.053658,0.05540275,1000,0.043834,0.09169,0.045828047,0.0037222289105844904,0.04425175,0.0445055,0.04739,1000,0.689054,2.179667,0.7118081970000001,0.10045016141820873,0.694712,0.697167,0.709235,1000,1.710759,2.892237,1.758934514,0.11926523669659908,1.72071225,1.734503,1.760311,1000,0.001217,0.014276,0.001405978,0.0005137628572756111,0.00132275,0.001365,0.001411,1000,0.005871,0.026828,0.006621356,0.001191475821518842,0.00622775,0.006475,0.006711,1000,2.523714,5.276739,2.597360326,0.206080413317869,2.541134,2.560556,2.59871425,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1.2,0.48,0.5878775382679627,0.0,0.0,1.2,5
FEMBAR_EigenSimplicialLLT,0.000275,0.010407,0.000361106,0.00033260137216193205,0.000312,0.0003345,0.00036625,1000,2.607828,5.111985,2.698598762,0.193779663262767,2.6468015,2.676364,2.69964975,1000,0.051634,0.0988,0.054263289,0.005241651204675775,0.05229325,0.052797,0.05411375,1000,0.043638,0.088573,0.045660381,0.005240998363273833,0.04414675,0.0443515,0.04467625,1000,0.689056,2.058557,0.720559066,0.09219422864618826,0.696791,0.712617,0.726562,1000,1.8112,2.997287,1.8704839180000001,0.11646103995202549,1.8291105,1.8515505,1.873467,1000,0.001182,0.012836,0.001364436,0.00038446953052745283,0.001287,0.001323,0.001391,1000,0.005984,0.026301,0.006821463,0.0015992503276945108,0.006336,0.006555,0.00688325,1000,2.623889,5.159806,2.71697679,0.1960348003003189,2.66483675,2.694354,2.7180925,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
