SceneName,CollisionDetection_min,CollisionDetection_max,CollisionDetection_mean,CollisionDetection_std,CollisionDetection_quartile1,CollisionDetection_quartile2,CollisionDetection_quartile3,CollisionDetection_cardinality,ODESolve_min,ODESolve_max,ODESolve_mean,ODESolve_std,ODESolve_quartile1,ODESolve_quartile2,ODESolve_quartile3,ODESolve_cardinality,ComputeForce_min,ComputeForce_max,ComputeForce_mean,ComputeForce_std,ComputeForce_quartile1,ComputeForce_quartile2,ComputeForce_quartile3,ComputeForce_cardinality,ComputeRHTerm_min,ComputeRHTerm_max,ComputeRHTerm_mean,ComputeRHTerm_std,ComputeRHTerm_quartile1,ComputeRHTerm_quartile2,ComputeRHTerm_quartile3,ComputeRHTerm_cardinality,setSystemMBKMatrix_min,setSystemMBKMatrix_max,setSystemMBKMatrix_mean,setSystemMBKMatrix_std,setSystemMBKMatrix_quartile1,setSystemMBKMatrix_quartile2,setSystemMBKMatrix_quartile3,setSystemMBKMatrix_cardinality,MBKSolve_min,MBKSolve_max,MBKSolve_mean,MBKSolve_std,MBKSolve_quartile1,MBKSolve_quartile2,MBKSolve_quartile3,MBKSolve_cardinality,ProjectAndMechaMap_min,ProjectAndMechaMap_max,ProjectAndMechaMap_mean,ProjectAndMechaMap_std,ProjectAndMechaMap_quartile1,ProjectAndMechaMap_quartile2,ProjectAndMechaMap_quartile3,ProjectAndMechaMap_cardinality,UpdateBBox_min,UpdateBBox_max,UpdateBBox_mean,UpdateBBox_std,UpdateBBox_quartile1,UpdateBBox_quartile2,UpdateBBox_quartile3,UpdateBBox_cardinality,TimeStep_min,TimeStep_max,TimeStep_mean,TimeStep_std,TimeStep_quartile1,TimeStep_quartile2,TimeStep_quartile3,TimeStep_cardinality,SolveConstraint_min,SolveConstraint_max,SolveConstraint_mean,SolveConstraint_std,SolveConstraint_quartile1,SolveConstraint_quartile2,SolveConstraint_quartile3,SolveConstraint_cardinality,PrepareState_min,PrepareState_max,PrepareState_mean,PrepareState_std,PrepareState_quartile1,PrepareState_quartile2,PrepareState_quartile3,PrepareState_cardinality,BuildSystem_min,BuildSystem_max,BuildSystem_mean,BuildSystem_std,BuildSystem_quartile1,BuildSystem_quartile2,BuildSystem_quartile3,BuildSystem_cardinality,SolveSystem_min,SolveSystem_max,SolveSystem_mean,SolveSystem_std,SolveSystem_quartile1,SolveSystem_quartile2,SolveSystem_quartile3,SolveSystem_cardinality,ApplyCorrection_min,ApplyCorrection_max,ApplyCorrection_mean,ApplyCorrection_std,ApplyCorrection_quartile1,ApplyCorrection_quartile2,ApplyCorrection_quartile3,ApplyCorrection_cardinality,CPUUsage_min,CPUUsage_max,CPUUsage_mean,CPUUsage_std,CPUUsage_quartile1,CPUUsage_quartile2,CPUUsage_quartile3,CPUUsage_cardinality
fallingBeamLagrangianCollision,0.34134,0.447767,0.3603085058823529,0.021543782209654465,0.3460295,0.351454,0.3669525,255,11.842498,16.980549,12.558004094117647,0.6537477478465095,12.2969395,12.429156,12.5576875,255,0.286197,0.483198,0.30487070588235293,0.027374359811007717,0.2895905,0.292997,0.3084895,255,0.138881,0.246941,0.1505232274509804,0.019190391746485014,0.1404785,0.141294,0.146378,255,3.59769,5.711367,3.7572290784313727,0.21715321341838603,3.67095,3.709925,3.75874,255,3.59769,5.711367,3.7572290784313727,0.21715321341838603,3.67095,3.709925,3.75874,255,0.024752,0.055325,0.027846929411764705,0.004296335378120732,0.026114,0.02659,0.0272505,255,0.046531,0.07779,0.050184819607843136,0.004706504970991582,0.0480565,0.048633,0.049885,255,40.137392,70.770007,48.916124850980395,3.7248203093913337,47.8824105,48.175092,48.539823,255,27.256476,53.549642,35.82267429411765,3.373731934761733,35.1475405,35.261913,35.52015,255,0.020248,0.046534,0.0223058,0.0031382063884439764,0.0211335,0.021548,0.0220065,255,21.770786,31.830962,23.018386215686274,2.4470284557647104,21.8640685,21.904934,22.009354,255,4.939623,22.429834,12.357059874509805,2.0137361783781516,12.815407,12.91425,13.016099,255,0.393153,0.579967,0.42214745882352944,0.030127375688951175,0.405256,0.410938,0.428241,255,0.0,1.2,0.48,0.5878775382679627,0.0,0.0,1.2,5
SofaScene,8.940694,18.763764,9.516924923076925,0.89000853538187,9.127743,9.348888,9.565049,1755,8.65844,18.488698,9.201808241595442,0.882046438998261,8.8199385,9.035228,9.241769,1755,0.00474,0.814261,0.17637091766381768,0.17136550809043358,0.03021375,0.125293,0.27975675,10530,0.006302,0.437004,0.0850892722697056,0.08286157043885309,0.01461325,0.06502,0.1458345,10530,0.034632,7.314123,1.1930326879392212,1.2474241186152835,0.09122,0.8945455,1.75548775,10530,0.034632,7.314123,1.1930326879392212,1.2474241186152835,0.09122,0.8945455,1.75548775,10530,0.0924,0.252999,0.10904933276353276,0.016364554335769634,0.098392,0.101983,0.1146185,1755,0.116794,0.48467,0.13337739373219373,0.017234066181130128,0.123736,0.12737,0.1349355,1755,24.000459,57.172061,31.131732927635326,4.034244515341696,28.511864,30.49059,32.885302,1755,14.440867,42.31047,21.10837162962963,3.796859988039292,18.6010395,20.510794,22.7711415,1755,0.073504,0.188356,0.08587013846153846,0.012189035129151479,0.07971,0.081987,0.0874375,1755,13.667807,40.30599,20.25260017321937,3.6971544527994125,17.801434,19.676939,21.9220055,1755,0.100919,1.107843,0.26444776638176637,0.11334835072783525,0.2008665,0.235861,0.291571,1755,0.431108,1.159909,0.5032189401709402,0.048432371460761965,0.4770125,0.495286,0.518512,1755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
BilateralLagrangianConstraint_NNCG,0.047735,1.64349,0.108083654,0.11687781687022683,0.0534845,0.0928825,0.1249545,1000,0.124299,0.272577,0.145181271,0.018467183129799707,0.1318075,0.137967,0.156835,1000,0.001852,0.020481,0.0027110504999999997,0.0012328670301170967,0.002137,0.0023,0.00308,4000,0.003949,0.027325,0.005231019250000001,0.0016277592356916417,0.004335,0.004671,0.0058065,4000,0.000392,0.012896,0.0007701019999999999,0.0007019641056321898,0.000497,0.00056,0.000932,4000,0.000392,0.012896,0.0007701019999999999,0.0007019641056321898,0.000497,0.00056,0.000932,4000,0.019968,0.062345,0.022886781,0.004047495741942047,0.020465,0.0208025,0.024628,1000,0.025508,0.066652,0.027998002,0.003885966619773773,0.02603775,0.0264165,0.029171,1000,0.418455,2.255833,0.5246842049999999,0.1484956170030583,0.44149425,0.4854865,0.581329,1000,0.087169,0.199079,0.102301805,0.016631508078793548,0.0902905,0.0942765,0.11334925,1000,0.024927,0.082647,0.02926171,0.005839553072616088,0.02588075,0.0267035,0.03155425,1000,0.039409,0.120946,0.046592609,0.00884841698204368,0.040575,0.042635,0.05211225,1000,0.005439,0.025868,0.006604845999999999,0.001825570852715391,0.005634,0.005772,0.0070985,1000,0.016241,0.048632,0.019320615000000003,0.003547080963662234,0.016935,0.017624,0.02088625,1000,0.0,1.2,0.48,0.5878775382679627,0.0,0.0,1.2,5
BilateralLagrangianConstraint_PGS,0.051217,1.688884,0.10704302,0.11719193636367477,0.05296675,0.094353,0.1240925,1000,0.125549,0.21643,0.14168461499999999,0.015575006337166448,0.12938925,0.134341,0.152823,1000,0.001932,0.020394,0.00258121775,0.0009131213144127879,0.002076,0.002205,0.00305,4000,0.003971,0.031785,0.00517005775,0.0016400881745854206,0.004267,0.004493,0.005768,4000,0.000388,0.011227,0.0007467694999999999,0.0006962379567143335,0.000487,0.000532,0.000879,4000,0.000388,0.011227,0.0007467694999999999,0.0006962379567143335,0.000487,0.000532,0.000879,4000,0.01992,0.097852,0.022678786,0.004366368763194882,0.020361,0.020685,0.0243865,1000,0.025441,0.064436,0.0278265,0.003597532621394836,0.0259615,0.0263365,0.02898225,1000,0.419986,2.308849,0.5189040779999999,0.1452212826419665,0.44027625,0.48157,0.574025,1000,0.087353,0.204582,0.102037465,0.015353124410711164,0.09027525,0.0942955,0.11322225,1000,0.02516,0.059198,0.029023071,0.004631425653938428,0.02610725,0.0266965,0.03149975,1000,0.039487,0.10971,0.046638543,0.008788932960840639,0.04051325,0.043075,0.05223425,1000,0.005458,0.021762,0.006793301999999999,0.0017946883781860292,0.00571675,0.006094,0.00721975,1000,0.016116,0.052558,0.019040174,0.003409495643892803,0.016798,0.017336,0.0207325,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
BilateralLagrangianConstraint_UGS,0.035924,1.615179,0.079177737,0.11374434545837359,0.05275225,0.0670525,0.07864775,1000,0.124632,0.237508,0.134598546,0.012583000856706798,0.1281415,0.1305395,0.1340965,1000,0.001871,0.018875,0.00248839625,0.0010406182951668386,0.002057,0.002152,0.00297125,4000,0.003943,0.059327,0.00484051225,0.0017200541645105067,0.004177,0.004293,0.005623,4000,0.000402,0.01393,0.0007401755000000001,0.0006918373018273516,0.000478,0.00052,0.000932,4000,0.000402,0.01393,0.0007401755000000001,0.0006918373018273516,0.000478,0.00052,0.000932,4000,0.019873,0.051312,0.02130412,0.0032016318357362705,0.0203585,0.020525,0.02074375,1000,0.025408,0.055748,0.026942503,0.0033611351076669026,0.025882,0.026053,0.026302,1000,0.434541,2.285091,0.496359972,0.13472957305478708,0.45055575,0.479469,0.503712,1000,0.099021,0.22354,0.12234207700000001,0.017091729088218988,0.109885,0.1204745,0.1274455,1000,0.024938,0.069177,0.027271337,0.004404125325354741,0.02570175,0.026076,0.02656125,1000,0.044445,0.133695,0.048134048000000006,0.007500385707661707,0.04538475,0.045832,0.04695675,1000,0.008923,0.100487,0.028102442999999998,0.010206472001468039,0.019546,0.02918,0.03379775,1000,0.016472,0.049175,0.018299619,0.002912804472984584,0.017048,0.0173235,0.01786825,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
FrictionContact_LCP_with_friction,0.039839,1.448693,0.08207055199999999,0.09674617444438462,0.074608,0.0751765,0.07615675,1000,0.040513,0.131041,0.052417732,0.007599970501796438,0.051131,0.0516165,0.052191,1000,0.002939,0.029573,0.004156811,0.0011685233747251273,0.004071,0.004145,0.004216,1000,0.005731,0.025914,0.007664239,0.0016599322594247634,0.00751775,0.007608,0.007692,1000,0.000731,0.021179,0.000999858,0.0007582274868639359,0.000909,0.0009355,0.000965,1000,0.000731,0.021179,0.000999858,0.0007582274868639359,0.000909,0.0009355,0.000965,1000,0.006057,0.035706,0.009456239,0.00256655236453087,0.00923275,0.009334,0.00945525,1000,0.009953,0.031415,0.012353254999999999,0.0016124047233790281,0.01222775,0.012334,0.012452,1000,0.140756,1.686884,0.237769289,0.10631751380026473,0.23055225,0.23314,0.23638625,1000,0.012184,0.083847,0.0380109,0.0103193506391633,0.03869325,0.039152,0.03992225,1000,0.002009,0.024567,0.0030848530000000002,0.0012037044169525175,0.002928,0.003,0.003073,1000,0.006952,0.057589,0.016818852,0.004526662089232639,0.01680975,0.0169635,0.017224,1000,0.001651,0.055839,0.015952709000000002,0.0061828270210575196,0.0171065,0.017324,0.017447,1000,0.000895,0.009953,0.0013976890000000001,0.0005850218340190391,0.00128175,0.001328,0.00137,1000,0.0,1.2,0.24,0.48,0.0,0.0,0.0,5
FrictionContact_LCP_without_friction,0.039544,1.592939,0.096877381,0.10038469942212229,0.0747775,0.1017315,0.1040285,1000,0.039696,0.164229,0.052652581,0.009107896846991571,0.05067225,0.051371,0.0523025,1000,0.002866,0.026808,0.004261868,0.0016553211889467252,0.004052,0.00413,0.004212,1000,0.00571,0.038489,0.007724999,0.002046673131938513,0.00747175,0.007597,0.0077165,1000,0.000706,0.015839,0.000999745,0.0006777531748173518,0.000901,0.000933,0.000969,1000,0.000706,0.015839,0.000999745,0.0006777531748173518,0.000901,0.000933,0.000969,1000,0.00606,0.026805,0.009250675,0.0016685409816288603,0.00915,0.009284,0.00944425,1000,0.009864,0.034453,0.012279946,0.0016418305725878052,0.012111,0.0122505,0.01238925,1000,0.139779,1.843611,0.243037345,0.11046477743504478,0.218504,0.2489895,0.2543455,1000,0.012032,0.060877,0.028284833,0.006830893708520943,0.02580725,0.029588,0.03038825,1000,0.001967,0.020511,0.0030211590000000003,0.0010456102513455958,0.00289,0.002963,0.003037,1000,0.006859,0.040163,0.015603412,0.003845588780961376,0.01515575,0.015831,0.01617325,1000,0.001649,0.038856,0.007551246,0.003321726233072798,0.0059135,0.0089245,0.009217,1000,0.00091,0.006949,0.001355747,0.0004897511847775357,0.00122,0.001287,0.001352,1000,0.0,1.2,0.24,0.48,0.0,0.0,0.0,5
FixedProjectiveConstraint,0.008593,0.129733,0.010495506,0.00843280290816547,0.00895875,0.009114,0.009642,1000,1.11643,2.022207,1.166220257,0.08918757722203777,1.1262445,1.1483115,1.1763535,1000,0.067008,0.148201,0.070727409,0.009121274992330787,0.067558,0.06776,0.06871725,1000,0.03781,0.08875,0.040922709,0.006558449413872077,0.038438,0.0386435,0.040934,1000,0.000664,0.012402,0.0008700660000000001,0.0005847582334982553,0.00077,0.0008135,0.00086625,1000,1.002764,1.827925,1.0451859860000001,0.07902129388026877,1.0101085,1.0309035,1.05066775,1000,0.00268,0.022617,0.003129303,0.0011216188930251664,0.002845,0.002911,0.0029885,1000,0.007974,0.025691,0.00870521,0.001552905281045821,0.008269,0.0083715,0.00851525,1000,1.148958,2.077667,1.202821761,0.09306474678813605,1.16103175,1.1833565,1.21243625,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,22.0,4.64,8.692433491261236,0.0,0.0,1.2,5
FEMBAR_EigenSimplicialLDLT,0.000316,0.001153,0.00040020999999999996,6.805438927798853e-05,0.00036,0.000377,0.000426,1000,2.459861,5.127986,2.533093476,0.18650353981549367,2.476665,2.504253,2.538307,1000,0.051931,0.09741,0.054007657,0.004995199842383786,0.05249975,0.0527805,0.053181,1000,0.043871,0.0904,0.045651173,0.004392529392169277,0.0443615,0.044672,0.04496125,1000,0.689344,2.306895,0.713356086,0.09907525505127202,0.695706,0.698485,0.71804225,1000,1.663903,2.6574,1.7121208030000001,0.10465292680822735,1.6717995,1.6914315,1.7169145,1000,0.001166,0.0151,0.001385302,0.00048150756255327913,0.001283,0.0013445,0.001417,1000,0.00577,0.020886,0.006555947,0.0012436291304850494,0.006223,0.006388,0.006549,1000,2.477945,5.178917,2.551647404,0.18875457747660263,2.49499375,2.5225575,2.55694975,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1.2,0.48,0.5878775382679627,0.0,0.0,1.2,5
FEMBAR_EigenSimplicialLLT,0.000308,0.00106,0.000405119,8.520198846857977e-05,0.000357,0.0003915,0.000421,1000,2.614592,4.935461,2.738871053,0.239894557886035,2.65823875,2.6904785,2.73352475,1000,0.051039,0.130852,0.055566404,0.009109623313550566,0.05231075,0.0526275,0.05323675,1000,0.04289,0.107671,0.046618961,0.006517117311010981,0.0445285,0.0447515,0.045042,1000,0.687829,1.951064,0.72781411,0.09273909257016645,0.70014725,0.714801,0.73125775,1000,1.817205,3.353519,1.9006276839999998,0.16226190129295953,1.8435465,1.868027,1.8968835,1000,0.001153,0.010977,0.00145651,0.0005461900327724774,0.001269,0.0013445,0.001478,1000,0.005921,0.026332,0.006963205,0.0022210342007666158,0.006266,0.0064,0.0066175,1000,2.630748,4.984059,2.758485829,0.2434604940728203,2.67636275,2.708266,2.75206325,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,17.1,4.14,6.54082563595759,0.0,1.2,2.4,5
