SceneName,CollisionDetection_min,CollisionDetection_max,CollisionDetection_mean,CollisionDetection_std,CollisionDetection_quartile1,CollisionDetection_quartile2,CollisionDetection_quartile3,CollisionDetection_cardinality,ODESolve_min,ODESolve_max,ODESolve_mean,ODESolve_std,ODESolve_quartile1,ODESolve_quartile2,ODESolve_quartile3,ODESolve_cardinality,ComputeForce_min,ComputeForce_max,ComputeForce_mean,ComputeForce_std,ComputeForce_quartile1,ComputeForce_quartile2,ComputeForce_quartile3,ComputeForce_cardinality,ComputeRHTerm_min,ComputeRHTerm_max,ComputeRHTerm_mean,ComputeRHTerm_std,ComputeRHTerm_quartile1,ComputeRHTerm_quartile2,ComputeRHTerm_quartile3,ComputeRHTerm_cardinality,setSystemMBKMatrix_min,setSystemMBKMatrix_max,setSystemMBKMatrix_mean,setSystemMBKMatrix_std,setSystemMBKMatrix_quartile1,setSystemMBKMatrix_quartile2,setSystemMBKMatrix_quartile3,setSystemMBKMatrix_cardinality,MBKSolve_min,MBKSolve_max,MBKSolve_mean,MBKSolve_std,MBKSolve_quartile1,MBKSolve_quartile2,MBKSolve_quartile3,MBKSolve_cardinality,ProjectAndMechaMap_min,ProjectAndMechaMap_max,ProjectAndMechaMap_mean,ProjectAndMechaMap_std,ProjectAndMechaMap_quartile1,ProjectAndMechaMap_quartile2,ProjectAndMechaMap_quartile3,ProjectAndMechaMap_cardinality,UpdateBBox_min,UpdateBBox_max,UpdateBBox_mean,UpdateBBox_std,UpdateBBox_quartile1,UpdateBBox_quartile2,UpdateBBox_quartile3,UpdateBBox_cardinality,TimeStep_min,TimeStep_max,TimeStep_mean,TimeStep_std,TimeStep_quartile1,TimeStep_quartile2,TimeStep_quartile3,TimeStep_cardinality,SolveConstraint_min,SolveConstraint_max,SolveConstraint_mean,SolveConstraint_std,SolveConstraint_quartile1,SolveConstraint_quartile2,SolveConstraint_quartile3,SolveConstraint_cardinality,PrepareState_min,PrepareState_max,PrepareState_mean,PrepareState_std,PrepareState_quartile1,PrepareState_quartile2,PrepareState_quartile3,PrepareState_cardinality,BuildSystem_min,BuildSystem_max,BuildSystem_mean,BuildSystem_std,BuildSystem_quartile1,BuildSystem_quartile2,BuildSystem_quartile3,BuildSystem_cardinality,SolveSystem_min,SolveSystem_max,SolveSystem_mean,SolveSystem_std,SolveSystem_quartile1,SolveSystem_quartile2,SolveSystem_quartile3,SolveSystem_cardinality,ApplyCorrection_min,ApplyCorrection_max,ApplyCorrection_mean,ApplyCorrection_std,ApplyCorrection_quartile1,ApplyCorrection_quartile2,ApplyCorrection_quartile3,ApplyCorrection_cardinality,CPUUsage_min,CPUUsage_max,CPUUsage_mean,CPUUsage_std,CPUUsage_quartile1,CPUUsage_quartile2,CPUUsage_quartile3,CPUUsage_cardinality
fallingBeamLagrangianCollision,0.342228,0.441656,0.35738641568627455,0.015722436044340628,0.3469735,0.351567,0.358956,255,11.833998,13.70251,12.369589725490195,0.299313660030494,12.220472,12.361026,12.528735,255,0.281067,0.378091,0.2951485529411765,0.01832031224464569,0.2844035,0.285772,0.2951105,255,0.135895,0.211123,0.1431282705882353,0.0101013623298513,0.138119,0.139445,0.1428645,255,3.571186,4.02784,3.70429594117647,0.08277454776856626,3.640242,3.693972,3.768399,255,3.571186,4.02784,3.70429594117647,0.08277454776856626,3.640242,3.693972,3.768399,255,0.021902,0.049957,0.024063298039215687,0.0023847795091477657,0.0232595,0.023664,0.0242165,255,0.046991,0.072591,0.04973405098039216,0.002370236937223254,0.0487105,0.049246,0.049802,255,40.120989,56.34215,47.66502309019608,2.204399988275112,47.6051945,47.937919,48.2230535,255,27.153111,42.080644,34.77036516078431,2.2920739879132506,34.981987,35.164215,35.303769,255,0.020776,0.053899,0.02252821568627451,0.0032602634292322507,0.0216125,0.021959,0.022289,255,21.742477,28.639025,22.185397984313727,1.301813814896335,21.8407925,21.876062,21.913182,255,4.911737,13.952854,12.141522207843138,1.774720946936685,12.719236,12.821602,12.966433,255,0.392881,0.491374,0.4177694627450981,0.019074339920467847,0.405278,0.411097,0.425032,255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
SofaScene,8.976245,10.827722,9.312822919088319,0.23230392381993503,9.1262905,9.259557,9.458263,1755,8.649261,10.533941,9.006589966951568,0.22717608948427054,8.825664,8.959566,9.149444,1755,0.004774,0.69717,0.17510245365622032,0.1707546154227546,0.02959725,0.1162615,0.28221525,10530,0.006234,0.32175,0.07753351206077873,0.07434924765009612,0.014401,0.061461,0.108049,10530,0.034789,4.703557,1.1654623489078824,1.198294357903756,0.0862465,0.9007045,1.752241,10530,0.034789,4.703557,1.1654623489078824,1.198294357903756,0.0862465,0.9007045,1.752241,10530,0.096795,0.200611,0.11124309686609686,0.013027035269818736,0.1030575,0.105817,0.118394,1755,0.119476,0.244517,0.13098242735042734,0.010959511569623989,0.124731,0.127389,0.133704,1755,24.076686,41.385677,30.781502885470086,3.6979397765980524,28.353102,30.239525,32.463738,1755,14.484902,31.422527,20.969363868376067,3.669507933654311,18.5654175,20.439285,22.748596,1755,0.072559,0.145828,0.08280480854700854,0.008632313622440178,0.0783975,0.080861,0.0840965,1755,13.645761,30.548088,20.137970172649574,3.57987413039902,17.7942815,19.635268,21.9244145,1755,0.099594,0.662409,0.254279747008547,0.10451276968488353,0.1959115,0.22735,0.280101,1755,0.437911,0.683802,0.4920763475783476,0.029449253464105832,0.472109,0.485233,0.50807,1755,0.0,1.2,0.48,0.5878775382679627,0.0,0.0,1.2,5
BilateralLagrangianConstraint_NNCG,0.03569,1.697714,0.108070347,0.12132955378025007,0.05475275,0.0928845,0.12419575,1000,0.122631,0.282109,0.142087732,0.018795880154655595,0.1290155,0.1342355,0.1539095,1000,0.001834,0.022166,0.0026043375,0.0012287529505941174,0.002043,0.00218,0.002976,4000,0.00396,0.029131,0.005147416,0.0015169223875808543,0.004298,0.0045205,0.00579125,4000,0.000342,0.151482,0.0007743569999999999,0.0024998257016342162,0.000452,0.000518,0.00089825,4000,0.000342,0.151482,0.0007743569999999999,0.0024998257016342162,0.000452,0.000518,0.00089825,4000,0.019841,0.066394,0.022754526999999997,0.003831018455355051,0.0204645,0.020789,0.024385,1000,0.025413,0.082751,0.028384002000000002,0.004792355027540844,0.026148,0.0265755,0.0295395,1000,0.41636,2.414728,0.522287865,0.15221379124648585,0.449276,0.4809575,0.57650575,1000,0.086585,0.246159,0.101843474,0.01717809689247688,0.08945975,0.093759,0.1125025,1000,0.024921,0.074627,0.029065220000000003,0.005325830751685599,0.02583875,0.026592,0.031501,1000,0.039355,0.166399,0.046653445,0.009815890862218008,0.040436,0.0428385,0.05207925,1000,0.005138,0.027323,0.0065250479999999994,0.0019316099258639152,0.005476,0.0056715,0.0069995,1000,0.015737,0.074809,0.019050189,0.0043433328738745084,0.01647,0.0172835,0.02040675,1000,0.0,1.2,0.48,0.5878775382679627,0.0,0.0,1.2,5
BilateralLagrangianConstraint_PGS,0.037524,1.814996,0.109754849,0.12404843582409333,0.0562125,0.095897,0.125886,1000,0.125379,0.21979,0.14177781,0.015886253374471276,0.12889125,0.133961,0.1534375,1000,0.001881,0.020684,0.002546536,0.000992143822842233,0.002033,0.00216,0.00298925,4000,0.003989,0.034441,0.005236622000000001,0.0015610949045833185,0.004327,0.0045285,0.005839,4000,0.000344,0.019229,0.0007422897500000001,0.0008184150974871723,0.000461,0.00052,0.00086525,4000,0.000344,0.019229,0.0007422897500000001,0.0008184150974871723,0.000461,0.00052,0.00086525,4000,0.020008,0.054594,0.022727005,0.003670661535605673,0.02042075,0.0206915,0.0245615,1000,0.025695,0.062637,0.028246464,0.0036746666774966135,0.02628575,0.0266695,0.029605,1000,0.421913,2.42145,0.5247819570000001,0.15230394294637012,0.4517775,0.4848295,0.57782875,1000,0.087607,0.203363,0.102576897,0.01605131328939757,0.09020975,0.094659,0.11389675,1000,0.025395,0.062212,0.029291834,0.004667350756740273,0.02617875,0.026857,0.03212075,1000,0.039654,0.121949,0.047021174,0.009614218175271664,0.04044625,0.043215,0.05259025,1000,0.005289,0.024841,0.006605567,0.0017502768128244744,0.00554175,0.005945,0.00700825,1000,0.016011,0.056561,0.019106585,0.0035970634018286365,0.01668775,0.0174135,0.020706,1000,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
BilateralLagrangianConstraint_UGS,0.038261,1.745383,0.080028155,0.1216872960024627,0.05296525,0.067278,0.0790485,1000,0.126092,0.260648,0.1365431,0.01307337451616835,0.13007275,0.1320555,0.135538,1000,0.001879,0.02373,0.002455931,0.0010932202633682749,0.002028,0.002125,0.00291925,4000,0.004126,0.025296,0.0049813045,0.0013290227783148603,0.004368,0.004489,0.005737,4000,0.000369,0.077121,0.00079512075,0.0014516853743733306,0.0005,0.000549,0.000953,4000,0.000369,0.077121,0.00079512075,0.0014516853743733306,0.0005,0.000549,0.000953,4000,0.020172,0.056806,0.021555892,0.0031259331704846156,0.020613,0.0207595,0.021094,1000,0.025867,0.06102,0.027282815,0.003072025834652925,0.0264015,0.026589,0.02681975,1000,0.438877,2.375384,0.501216831,0.14186410174097758,0.45900225,0.484433,0.504834,1000,0.098682,0.205,0.1226325,0.016724745852179635,0.11053525,0.120662,0.127366,1000,0.024854,0.066301,0.027277043,0.0044258480729856735,0.0258205,0.026161,0.026561,1000,0.04487,0.111025,0.048596286,0.007497576284120357,0.045769,0.04622,0.0471205,1000,0.008852,0.079413,0.027746307,0.010436833183717704,0.0191545,0.0285505,0.0331845,1000,0.016559,0.057873,0.018484567,0.0036739628878788367,0.0170145,0.0172315,0.01782575,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
FrictionContact_LCP_with_friction,0.039889,1.427133,0.082987816,0.09593766713256136,0.074611,0.075563,0.0772195,1000,0.039836,0.10981,0.053669942000000005,0.009563686406330771,0.050689,0.051619,0.052569,1000,0.00286,0.023467,0.004262558,0.001852590095146792,0.003986,0.0040675,0.004136,1000,0.005608,0.024399,0.007801502,0.0022386549077506343,0.007347,0.007465,0.00767725,1000,0.000701,0.011693,0.001019769,0.0006148989962904477,0.000911,0.0009515,0.000989,1000,0.000701,0.011693,0.001019769,0.0006148989962904477,0.000911,0.0009515,0.000989,1000,0.006082,0.030039,0.009444851,0.002343750159637114,0.009177,0.0093115,0.009453,1000,0.009947,0.047163,0.012924475,0.0029631185685650516,0.01241775,0.012545,0.01266625,1000,0.13963,1.69162,0.24235164,0.10655373410809403,0.23120025,0.2341375,0.2512385,1000,0.011815,0.192602,0.038325004,0.012095851063814568,0.03832325,0.0387905,0.0410465,1000,0.002033,0.019529,0.002960204,0.000851912950003696,0.002852,0.00292,0.002988,1000,0.006719,0.17068,0.016961584,0.0070914192626683695,0.016513,0.016675,0.0168685,1000,0.001556,0.065235,0.016218085,0.006728613239277095,0.01704675,0.01731,0.01750325,1000,0.000972,0.013039,0.0014044980000000001,0.0006829000058544442,0.001279,0.001318,0.001374,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
FrictionContact_LCP_without_friction,0.036597,1.525241,0.099207179,0.10040636307589755,0.07563375,0.1034365,0.1054705,1000,0.040477,0.1089,0.053151221,0.008140915713613488,0.051055,0.0515095,0.052327,1000,0.002822,0.021665,0.004156856,0.0014337529310393755,0.004011,0.00408,0.00414,1000,0.005735,0.025922,0.0076731790000000005,0.0017675997773701488,0.00742,0.007516,0.00761925,1000,0.000705,0.015069,0.0010233780000000001,0.0007762222511085341,0.000898,0.000944,0.000975,1000,0.000705,0.015069,0.0010233780000000001,0.0007762222511085341,0.000898,0.000944,0.000975,1000,0.006131,0.036514,0.00956922,0.002519503616905521,0.00926675,0.00939,0.00953425,1000,0.010053,0.044625,0.012784466,0.0023683955625790213,0.012432,0.01257,0.012728,1000,0.141599,1.766278,0.248371247,0.11048456947909963,0.22113225,0.2524055,0.2568325,1000,0.011947,0.090691,0.028674763,0.007594659398210758,0.0257555,0.029674,0.03039675,1000,0.00195,0.017425,0.003101214,0.001308976993000259,0.002873,0.002954,0.00303025,1000,0.00679,0.065879,0.015924974,0.004750247988192196,0.01513,0.0158625,0.01621725,1000,0.001553,0.033725,0.007440151,0.0031246001347690878,0.00585375,0.0088645,0.009217,1000,0.000955,0.011289,0.0013854179999999998,0.0007375977259156918,0.001225,0.001288,0.001338,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
FixedProjectiveConstraint,0.008535,0.14256,0.010125198,0.008910601270217179,0.00881275,0.0089645,0.0093865,1000,1.102256,1.311615,1.128423486,0.030175428733786102,1.1097425,1.114896,1.13679075,1000,0.066869,0.121227,0.06872239100000001,0.00480105447439612,0.067325,0.067493,0.06773425,1000,0.037507,0.094658,0.039256977,0.0045126017269941955,0.037894,0.038146,0.03875625,1000,0.00067,0.007092,0.000913814,0.0005289433385571653,0.00077375,0.000812,0.00085025,1000,0.986183,1.157257,1.011856385,0.02704725311022868,0.995107,1.000283,1.019519,1000,0.002726,0.014579,0.002953576,0.0004168132798076377,0.00286875,0.002909,0.0029725,1000,0.008188,0.02884,0.008718578999999999,0.0009805595268819736,0.008476,0.008572,0.00873725,1000,1.135263,1.499387,1.163947858,0.035551827131018676,1.143692,1.150068,1.1712105,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
FEMBAR_EigenSimplicialLDLT,0.000279,0.000916,0.000374087,7.088182722672999e-05,0.000329,0.000351,0.00040525,1000,2.514493,5.220958,2.6157983270000003,0.20064531346802517,2.572235,2.5885085,2.613553,1000,0.051946,0.092327,0.055291731,0.006157569052202257,0.05245775,0.0529575,0.055348,1000,0.044073,0.092338,0.046802692,0.005456928251052601,0.04452875,0.0447715,0.04809875,1000,0.688683,2.156422,0.719944257,0.10216022197164094,0.69532775,0.7154285,0.72564375,1000,1.708886,2.90024,1.786034687,0.11455431496049824,1.74703375,1.76915,1.79031025,1000,0.001148,0.013787,0.001411516,0.0006625414490762069,0.001285,0.001341,0.00141425,1000,0.00616,0.021796,0.006881895000000001,0.0014651913909025675,0.00644075,0.006624,0.00686525,1000,2.539891,5.273883,2.634522284,0.2031245122051973,2.59033925,2.6070095,2.63178875,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1.2,0.24,0.48,0.0,0.0,0.0,5
FEMBAR_EigenSimplicialLLT,0.00028,0.000888,0.000342632,4.752202201085303e-05,0.00032,0.000336,0.000352,1000,2.611507,5.124757,2.697627506,0.19425635005177555,2.63735125,2.673311,2.7058805,1000,0.051862,0.089628,0.053856339,0.0046108154771232175,0.05224675,0.0525625,0.053098,1000,0.044058,0.083299,0.046157633999999996,0.005101046375210089,0.04447675,0.044669,0.0455915,1000,0.688652,2.015871,0.7146803220000001,0.09316152758018899,0.6943935,0.6980045,0.72205575,1000,1.814455,2.973956,1.875514578,0.11646071519939208,1.834378,1.8552925,1.882907,1000,0.001163,0.018497,0.001351751,0.0005652468000785143,0.001254,0.001311,0.00137225,1000,0.00599,0.024307,0.006774778,0.0012126147783678048,0.006456,0.0066095,0.00678675,1000,2.627546,5.174142,2.715994166,0.1967079526489624,2.65539325,2.691528,2.72463425,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1.2,0.48,0.5878775382679627,0.0,0.0,1.2,5
