SceneName,CollisionDetection_min,CollisionDetection_max,CollisionDetection_mean,CollisionDetection_std,CollisionDetection_quartile1,CollisionDetection_quartile2,CollisionDetection_quartile3,CollisionDetection_cardinality,ODESolve_min,ODESolve_max,ODESolve_mean,ODESolve_std,ODESolve_quartile1,ODESolve_quartile2,ODESolve_quartile3,ODESolve_cardinality,ComputeForce_min,ComputeForce_max,ComputeForce_mean,ComputeForce_std,ComputeForce_quartile1,ComputeForce_quartile2,ComputeForce_quartile3,ComputeForce_cardinality,ComputeRHTerm_min,ComputeRHTerm_max,ComputeRHTerm_mean,ComputeRHTerm_std,ComputeRHTerm_quartile1,ComputeRHTerm_quartile2,ComputeRHTerm_quartile3,ComputeRHTerm_cardinality,setSystemMBKMatrix_min,setSystemMBKMatrix_max,setSystemMBKMatrix_mean,setSystemMBKMatrix_std,setSystemMBKMatrix_quartile1,setSystemMBKMatrix_quartile2,setSystemMBKMatrix_quartile3,setSystemMBKMatrix_cardinality,MBKSolve_min,MBKSolve_max,MBKSolve_mean,MBKSolve_std,MBKSolve_quartile1,MBKSolve_quartile2,MBKSolve_quartile3,MBKSolve_cardinality,ProjectAndMechaMap_min,ProjectAndMechaMap_max,ProjectAndMechaMap_mean,ProjectAndMechaMap_std,ProjectAndMechaMap_quartile1,ProjectAndMechaMap_quartile2,ProjectAndMechaMap_quartile3,ProjectAndMechaMap_cardinality,UpdateBBox_min,UpdateBBox_max,UpdateBBox_mean,UpdateBBox_std,UpdateBBox_quartile1,UpdateBBox_quartile2,UpdateBBox_quartile3,UpdateBBox_cardinality,TimeStep_min,TimeStep_max,TimeStep_mean,TimeStep_std,TimeStep_quartile1,TimeStep_quartile2,TimeStep_quartile3,TimeStep_cardinality,SolveConstraint_min,SolveConstraint_max,SolveConstraint_mean,SolveConstraint_std,SolveConstraint_quartile1,SolveConstraint_quartile2,SolveConstraint_quartile3,SolveConstraint_cardinality,PrepareState_min,PrepareState_max,PrepareState_mean,PrepareState_std,PrepareState_quartile1,PrepareState_quartile2,PrepareState_quartile3,PrepareState_cardinality,BuildSystem_min,BuildSystem_max,BuildSystem_mean,BuildSystem_std,BuildSystem_quartile1,BuildSystem_quartile2,BuildSystem_quartile3,BuildSystem_cardinality,SolveSystem_min,SolveSystem_max,SolveSystem_mean,SolveSystem_std,SolveSystem_quartile1,SolveSystem_quartile2,SolveSystem_quartile3,SolveSystem_cardinality,ApplyCorrection_min,ApplyCorrection_max,ApplyCorrection_mean,ApplyCorrection_std,ApplyCorrection_quartile1,ApplyCorrection_quartile2,ApplyCorrection_quartile3,ApplyCorrection_cardinality,CPUUsage_min,CPUUsage_max,CPUUsage_mean,CPUUsage_std,CPUUsage_quartile1,CPUUsage_quartile2,CPUUsage_quartile3,CPUUsage_cardinality
fallingBeamLagrangianCollision,0.330718,0.416369,0.34276245098039215,0.011737479382535256,0.3356975,0.338784,0.345928,255,11.884256,13.29203,12.305357717647059,0.22788705275486948,12.138341,12.349837,12.43142,255,0.282178,0.358952,0.2958565254901961,0.012199679402985341,0.286533,0.294389,0.302464,255,0.135209,0.215277,0.14393237647058824,0.014600460353991103,0.136386,0.137196,0.1428135,255,3.874213,4.157537,3.967705576470588,0.04845148095254811,3.941681,3.964428,3.990206,255,3.874213,4.157537,3.967705576470588,0.04845148095254811,3.941681,3.964428,3.990206,255,0.022739,0.065239,0.02471635294117647,0.0036131279904582014,0.0234975,0.023925,0.024637,255,0.054135,0.079763,0.056591788235294115,0.0020803926840530836,0.055668,0.056138,0.056759,255,40.090654,51.115051,47.27180508627451,1.7509802774369834,47.5764145,47.863385,48.054799,255,27.135789,38.137191,34.4400028627451,1.8051239912018582,35.013594,35.113607,35.188,255,0.019826,0.043822,0.021745435294117647,0.002198947804249375,0.020906,0.021441,0.0221055,255,21.795992,25.442221,21.96094509803922,0.3145782186547104,21.879226,21.912896,21.9554335,255,4.875082,14.157564,12.0530594,1.7782430104257834,12.679858,12.764916,12.829618,255,0.387653,0.4736,0.4019079568627451,0.012635389442158161,0.393013,0.399146,0.406429,255,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
SofaScene,11.794365,15.82337,13.270044942450141,0.3219572338499347,13.100019,13.16456,13.2964935,1755,11.512549,15.507803,12.94750233105413,0.31965672593235356,12.7789055,12.84198,12.9695415,1755,0.007682,0.779409,0.23952511177587843,0.21496419319617216,0.04649875,0.281898,0.383617,10530,0.008401,0.476383,0.09230237236467237,0.077234589935583,0.02074675,0.106193,0.14208575,10530,0.09185,6.975401,1.868213982526116,1.9102034987271785,0.16814225,1.1706725,2.7049505,10530,0.09185,6.975401,1.868213982526116,1.9102034987271785,0.16814225,1.1706725,2.7049505,10530,0.091992,0.173656,0.10623014131054132,0.012943134139021935,0.097719,0.100425,0.114528,1755,0.134961,0.233162,0.148917649002849,0.014300577561539607,0.140138,0.14228,0.1505425,1755,23.484205,35.659856,28.931616501424504,2.393961251026418,27.218636,28.883395,30.66621,1755,10.192874,21.802385,15.07589288945869,2.3713757667304267,13.338601,14.959488,16.798677,1755,0.073569,0.149808,0.08412888205128205,0.011063790940610775,0.078533,0.08084,0.0838665,1755,9.387464,20.654397,14.242602124216525,2.286527134627519,12.573639,14.15372,15.957191,1755,0.103364,0.627437,0.26277038404558406,0.10484650283150715,0.2013325,0.239845,0.292215,1755,0.415472,0.765015,0.4842991424501425,0.028909374148033542,0.4614475,0.483171,0.5028715,1755,0.0,1.2,0.24,0.48,0.0,0.0,0.0,5
BilateralLagrangianConstraint_NNCG,0.022123,1.7937,0.09606529700000001,0.12269379415090559,0.0435015,0.08168,0.11174375,1000,0.273439,0.489548,0.305568237,0.028230299951060227,0.285867,0.2917945,0.3256715,1000,0.001296,0.020384,0.001994093,0.0008009030726941932,0.00158,0.001763,0.00235125,4000,0.002877,0.024003,0.0038204607500000004,0.0009597608884297367,0.003238,0.003449,0.00433,4000,0.021073,0.106099,0.024499246,0.0038513570056519044,0.02204625,0.0237265,0.025629,4000,0.021073,0.106099,0.024499246,0.0038513570056519044,0.02204625,0.0237265,0.025629,4000,0.021019,0.054379,0.02362028,0.003204555985717834,0.02159325,0.0219255,0.0256935,1000,0.026296,0.05516,0.028484601999999998,0.0026854275487519677,0.02689975,0.027311,0.0297665,1000,0.579765,2.628716,0.688701527,0.16023788977481346,0.59779275,0.64235,0.75822975,1000,0.092505,0.222422,0.106438003,0.016444591236056644,0.09512875,0.0987835,0.116615,1000,0.025999,0.082885,0.029873876,0.004928416876708382,0.0269365,0.0275935,0.032196,1000,0.042023,0.120042,0.048900109,0.009030420303126483,0.043094,0.0447265,0.0533825,1000,0.006239,0.022033,0.007565477,0.0018133882594389432,0.006452,0.006587,0.0080245,1000,0.01699,0.04698,0.019517871,0.0030578081287678926,0.01749375,0.017972,0.021061,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
BilateralLagrangianConstraint_PGS,0.032839,1.733881,0.09860974,0.12370059852832728,0.0428495,0.0829975,0.11578525,1000,0.275048,0.478594,0.303783529,0.02587689858710195,0.28436375,0.290787,0.3211875,1000,0.001305,0.022546,0.00197952525,0.0008234956571606419,0.00156075,0.00172,0.002317,4000,0.00296,0.021059,0.00385210975,0.0009723741546878637,0.003285,0.003465,0.004306,4000,0.021065,0.060817,0.024306008999999996,0.003350233449465723,0.021928,0.0235365,0.0255655,4000,0.021065,0.060817,0.024306008999999996,0.003350233449465723,0.021928,0.0235365,0.0255655,4000,0.020833,0.047655,0.023528458999999998,0.003281321438737601,0.02134975,0.02169,0.025407,1000,0.02626,0.059843,0.028504474999999998,0.002763274575458436,0.02689725,0.027342,0.02972725,1000,0.577337,2.565299,0.689856186,0.16124828880441308,0.59476725,0.6447545,0.75784925,1000,0.092386,0.223715,0.106731906,0.016598659463377272,0.095172,0.0987985,0.1163425,1000,0.025842,0.078547,0.029956057,0.00515363740670131,0.026876,0.0275465,0.0321785,1000,0.042046,0.123659,0.049015836,0.009313994269651663,0.0429515,0.0444735,0.05374025,1000,0.006099,0.021489,0.007561983,0.00162857779633366,0.00639525,0.006922,0.00815425,1000,0.016952,0.058199,0.019606114,0.003118893800853758,0.017547,0.017981,0.02111175,1000,0.0,1.2,0.48,0.5878775382679627,0.0,0.0,1.2,5
BilateralLagrangianConstraint_UGS,0.026695,1.674311,0.070020661,0.11670112575799806,0.04234075,0.0554905,0.072748,1000,0.274923,0.415726,0.29388596,0.016799631421563987,0.2860435,0.28956,0.2944445,1000,0.001313,0.01488,0.0018538185,0.0007668856398171437,0.001512,0.001613,0.00224925,4000,0.002868,0.023564,0.00365259025,0.0009248241972693715,0.0032,0.003345,0.00421125,4000,0.021262,0.060355,0.02371810025,0.002805944877790713,0.02198725,0.023528,0.02416225,4000,0.021262,0.060355,0.02371810025,0.002805944877790713,0.02198725,0.023528,0.02416225,4000,0.021088,0.056614,0.022138862000000002,0.002003725798844742,0.02153775,0.0216525,0.02184275,1000,0.026379,0.060736,0.027468435000000003,0.0024108459195425576,0.026843,0.026984,0.027138,1000,0.598394,2.495969,0.66449337,0.14038363394895823,0.61798725,0.648122,0.66942675,1000,0.10473,0.216733,0.127933909,0.015555747780891763,0.11709525,0.126922,0.1333145,1000,0.025745,0.059307,0.027799137999999998,0.0030654171528449437,0.02671225,0.027084,0.02766125,1000,0.047848,0.112416,0.051299146000000004,0.006545401399966545,0.0491165,0.049622,0.0502915,1000,0.009362,0.062612,0.029310026000000003,0.009840732273125003,0.02102375,0.030831,0.0353115,1000,0.017211,0.053268,0.018947812,0.0028220494040069534,0.0178175,0.018068,0.01852525,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
FrictionContact_LCP_with_friction,0.037661,1.398234,0.079983227,0.09428958728787326,0.07257675,0.0736185,0.07614775,1000,0.081609,0.237801,0.108193711,0.011568018922679847,0.10578675,0.1085805,0.11017375,1000,0.002203,0.01352,0.0032069760000000003,0.0009560579613307972,0.003064,0.003129,0.00319825,1000,0.004265,0.034214,0.00580058,0.00171129933781323,0.005574,0.00567,0.00575725,1000,0.024986,0.085271,0.034090472000000004,0.0043749194286542,0.03299475,0.03356,0.0357725,1000,0.024986,0.085271,0.034090472000000004,0.0043749194286542,0.03299475,0.03356,0.0357725,1000,0.006425,0.032677,0.009918726000000001,0.002108819585200213,0.009818,0.009937,0.01007,1000,0.010345,0.039082,0.012729987,0.0019104948492029493,0.01250275,0.012632,0.012754,1000,0.186272,1.707299,0.297754357,0.10541671620230612,0.29223975,0.295602,0.3002565,1000,0.012997,0.085248,0.039695968,0.010324426775805811,0.04085375,0.0412805,0.04224075,1000,0.00216,0.018401,0.003222011,0.0007771546466945945,0.00312875,0.0031865,0.0032435,1000,0.00725,0.047754,0.017319272,0.004206488661344043,0.01747375,0.017634,0.01782125,1000,0.00184,0.056685,0.017088272,0.006453901872047329,0.01825075,0.018499,0.01867225,1000,0.001001,0.011691,0.0015637370000000002,0.0008747718387276765,0.001376,0.001425,0.001482,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
FrictionContact_LCP_without_friction,0.037559,1.621079,0.098371771,0.10356120990108487,0.0748965,0.1014165,0.10489525,1000,0.081404,0.175869,0.107384412,0.010083508675369699,0.10578675,0.1084,0.10986825,1000,0.002249,0.012912,0.003206638,0.000893251837365029,0.003081,0.0031445,0.00321525,1000,0.004312,0.015888,0.005642609999999999,0.0008056867901982755,0.005549,0.00564,0.00573825,1000,0.024902,0.064758,0.033882996,0.0038878248692532434,0.0328685,0.03347,0.0356725,1000,0.024902,0.064758,0.033882996,0.0038878248692532434,0.0328685,0.03347,0.0356725,1000,0.00639,0.037764,0.009905058000000001,0.0017700699197026088,0.00988175,0.0100365,0.01016325,1000,0.01042,0.027846,0.012672025,0.001473187745121103,0.01247675,0.0125755,0.01270225,1000,0.186566,1.914909,0.305586368,0.11437065837298732,0.28267925,0.3125905,0.3197465,1000,0.013268,0.136087,0.029788391,0.007393555456214486,0.02770225,0.0318225,0.032519,1000,0.00224,0.009386,0.003259673,0.0006176656733792158,0.003157,0.003236,0.003308,1000,0.007396,0.040568,0.016164275,0.0036092123040041574,0.01592125,0.0166935,0.01699775,1000,0.001875,0.090268,0.008299923,0.0039846258927371085,0.00662975,0.009837,0.01025475,1000,0.001016,0.010386,0.0015536690000000001,0.0007951910848588534,0.001349,0.001429,0.001499,1000,0.0,1.2,0.48,0.5878775382679627,0.0,0.0,1.2,5
FixedProjectiveConstraint,0.006406,0.137827,0.008093183,0.00911814884181603,0.006695,0.006883,0.0072085,1000,1.145076,1.300657,1.1640581170000002,0.02150749081081545,1.15261075,1.1567135,1.16240125,1000,0.066102,0.128549,0.06855229700000001,0.004516908095455452,0.06688675,0.067083,0.0702675,1000,0.036593,0.072981,0.037854597000000004,0.0030342277127122477,0.03706,0.037266,0.03756925,1000,0.021577,0.062419,0.023453814,0.0025291262418875022,0.02219575,0.0224665,0.0246,1000,0.99633,1.118914,1.010333519,0.018081428214873928,1.00018725,1.0041165,1.0096075,1000,0.002917,0.013369,0.003306811,0.0007470724872989233,0.0031,0.0031515,0.003227,1000,0.011301,0.025556,0.011929558000000002,0.0010353835756066443,0.01161,0.011742,0.01193725,1000,1.181729,1.454541,1.203321042,0.02735291777690702,1.190269,1.194618,1.202215,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
FEMBAR_EigenSimplicialLDLT,0.000291,0.001104,0.00035568,5.2777339834440305e-05,0.000331,0.000347,0.000367,1000,2.585974,4.955917,2.638985198,0.18141871447994773,2.5962005,2.6025045,2.6310375,1000,0.051396,0.089576,0.052975639000000005,0.0029307380412925002,0.0519445,0.052364,0.05300725,1000,0.043877,0.112076,0.045449131999999996,0.0043956759508153006,0.044346,0.0447145,0.0449795,1000,0.698039,2.072567,0.717296858,0.09377291770581651,0.703631,0.7057675,0.7083695,1000,1.762277,2.720346,1.799156763,0.10165398792084268,1.77059425,1.7739395,1.7922865,1000,0.00126,0.017219,0.001505356,0.000686775571248716,0.001393,0.001444,0.0015095,1000,0.012672,0.043312,0.013605635,0.0020404754391501506,0.01309325,0.0133305,0.01362225,1000,2.612461,5.017648,2.66617262,0.1837851381662282,2.62242425,2.630409,2.65769125,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
FEMBAR_EigenSimplicialLLT,0.000289,0.00285,0.00036937799999999996,9.647940254790137e-05,0.000329,0.0003615,0.00039,1000,2.606001,4.838801,2.666629017,0.17347042291761644,2.62635775,2.633389,2.66150025,1000,0.051394,0.082531,0.053875629,0.002669641727528059,0.05270325,0.053088,0.05393,1000,0.043703,0.075837,0.04576739,0.0029874242356752747,0.0445455,0.045329,0.04597325,1000,0.697589,1.912082,0.716043793,0.08446135779048398,0.70360775,0.705762,0.70871675,1000,1.784058,2.77915,1.827021495,0.10247097197361783,1.79845275,1.803352,1.8212605,1000,0.001285,0.003771,0.001462644,0.0001573240199842351,0.001404,0.001445,0.001487,1000,0.012822,0.024104,0.013466578,0.0008792491398437646,0.01315575,0.0133705,0.01354425,1000,2.63321,4.897761,2.6934083309999997,0.17565881054303376,2.6527305,2.6601675,2.688112,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1.2,0.72,0.5878775382679627,0.0,1.2,1.2,5
