SceneName,CollisionDetection_min,CollisionDetection_max,CollisionDetection_mean,CollisionDetection_std,CollisionDetection_quartile1,CollisionDetection_quartile2,CollisionDetection_quartile3,CollisionDetection_cardinality,ODESolve_min,ODESolve_max,ODESolve_mean,ODESolve_std,ODESolve_quartile1,ODESolve_quartile2,ODESolve_quartile3,ODESolve_cardinality,ComputeForce_min,ComputeForce_max,ComputeForce_mean,ComputeForce_std,ComputeForce_quartile1,ComputeForce_quartile2,ComputeForce_quartile3,ComputeForce_cardinality,ComputeRHTerm_min,ComputeRHTerm_max,ComputeRHTerm_mean,ComputeRHTerm_std,ComputeRHTerm_quartile1,ComputeRHTerm_quartile2,ComputeRHTerm_quartile3,ComputeRHTerm_cardinality,setSystemMBKMatrix_min,setSystemMBKMatrix_max,setSystemMBKMatrix_mean,setSystemMBKMatrix_std,setSystemMBKMatrix_quartile1,setSystemMBKMatrix_quartile2,setSystemMBKMatrix_quartile3,setSystemMBKMatrix_cardinality,MBKSolve_min,MBKSolve_max,MBKSolve_mean,MBKSolve_std,MBKSolve_quartile1,MBKSolve_quartile2,MBKSolve_quartile3,MBKSolve_cardinality,ProjectAndMechaMap_min,ProjectAndMechaMap_max,ProjectAndMechaMap_mean,ProjectAndMechaMap_std,ProjectAndMechaMap_quartile1,ProjectAndMechaMap_quartile2,ProjectAndMechaMap_quartile3,ProjectAndMechaMap_cardinality,UpdateBBox_min,UpdateBBox_max,UpdateBBox_mean,UpdateBBox_std,UpdateBBox_quartile1,UpdateBBox_quartile2,UpdateBBox_quartile3,UpdateBBox_cardinality,TimeStep_min,TimeStep_max,TimeStep_mean,TimeStep_std,TimeStep_quartile1,TimeStep_quartile2,TimeStep_quartile3,TimeStep_cardinality,SolveConstraint_min,SolveConstraint_max,SolveConstraint_mean,SolveConstraint_std,SolveConstraint_quartile1,SolveConstraint_quartile2,SolveConstraint_quartile3,SolveConstraint_cardinality,PrepareState_min,PrepareState_max,PrepareState_mean,PrepareState_std,PrepareState_quartile1,PrepareState_quartile2,PrepareState_quartile3,PrepareState_cardinality,BuildSystem_min,BuildSystem_max,BuildSystem_mean,BuildSystem_std,BuildSystem_quartile1,BuildSystem_quartile2,BuildSystem_quartile3,BuildSystem_cardinality,SolveSystem_min,SolveSystem_max,SolveSystem_mean,SolveSystem_std,SolveSystem_quartile1,SolveSystem_quartile2,SolveSystem_quartile3,SolveSystem_cardinality,ApplyCorrection_min,ApplyCorrection_max,ApplyCorrection_mean,ApplyCorrection_std,ApplyCorrection_quartile1,ApplyCorrection_quartile2,ApplyCorrection_quartile3,ApplyCorrection_cardinality,CPUUsage_min,CPUUsage_max,CPUUsage_mean,CPUUsage_std,CPUUsage_quartile1,CPUUsage_quartile2,CPUUsage_quartile3,CPUUsage_cardinality
fallingBeamLagrangianCollision,0.33509,0.418312,0.3593118588235294,0.014367963181330512,0.348637,0.35474,0.3664545,255,11.543277,13.458332,12.037318439215687,0.2564505032210402,11.889144,12.059736,12.2055275,255,0.284662,0.394449,0.30129118039215685,0.017275050805146706,0.289016,0.294001,0.3084195,255,0.13721,0.263507,0.1491296862745098,0.016858663105987503,0.1385255,0.140405,0.1634995,255,3.560695,3.846304,3.663063976470588,0.06422037190492819,3.618152,3.645383,3.693701,255,3.560695,3.846304,3.663063976470588,0.06422037190492819,3.618152,3.645383,3.693701,255,0.022634,0.055772,0.024838176470588235,0.00308128320293693,0.023538,0.023856,0.0244025,255,0.052431,0.080002,0.056022843137254905,0.003842391658046516,0.054099,0.054909,0.0564415,255,39.59711,49.703317,47.19444285882353,1.772678785883688,47.4935465,47.815221,48.07679,255,27.18608,36.460058,34.61952910980392,1.8110607054685925,35.1819815,35.303053,35.431361,255,0.020254,0.052459,0.02266490588235294,0.0038016391313826087,0.0213105,0.021911,0.022496,255,21.760365,22.211947,21.938286462745097,0.07701802531440913,21.888259,21.923074,21.9679815,255,4.879587,13.698716,12.234035239215688,1.8131378401562936,12.780716,12.941961,13.0601755,255,0.392661,0.522996,0.42169835294117647,0.018215312658098826,0.409657,0.414857,0.4330855,255,0.0,1.2,0.72,0.5878775382679627,0.0,1.2,1.2,5
SofaScene,8.957162,31.319094,9.324696052421652,0.963865475065977,9.10074,9.198182,9.387442,1755,8.641758,30.880491,9.019536243874644,0.9519019913504484,8.801361,8.89202,9.0836945,1755,0.004873,0.926586,0.17270793523266856,0.16812047116529963,0.02946725,0.144244,0.27711125,10530,0.006109,0.440916,0.07440209097815764,0.07085748646484272,0.01440125,0.0813215,0.1037335,10530,0.035218,14.814477,1.1575040136752137,1.204941612167711,0.08393825,0.8987165,1.733986,10530,0.035218,14.814477,1.1575040136752137,1.204941612167711,0.08393825,0.8987165,1.733986,10530,0.0972,0.431028,0.1089128358974359,0.01368315912967258,0.103123,0.10588,0.1088495,1755,0.130888,0.423594,0.141267392022792,0.013213250721629516,0.1355645,0.137698,0.1415875,1755,24.139502,64.024408,30.851911324786325,4.117474380860105,28.2894775,30.200426,32.4867225,1755,14.4744,51.184616,21.02639856980057,3.846598482511449,18.535342,20.505669,22.661186,1755,0.073218,0.448111,0.08270193504273504,0.014874242305442745,0.078194,0.081032,0.0826415,1755,13.696313,49.817479,20.19258534700855,3.749965448122462,17.761625,19.665711,21.8283955,1755,0.101127,1.449012,0.2548332928774929,0.11004189047871028,0.1954925,0.227562,0.2804375,1755,0.431323,2.19672,0.49397203304843307,0.0581760891390882,0.4749475,0.487088,0.506725,1755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
BilateralLagrangianConstraint_NNCG,0.037125,1.839773,0.108281616,0.12294833463390444,0.0546145,0.0924395,0.123544,1000,0.123604,0.237135,0.141850191,0.01728702403239259,0.12881325,0.133422,0.15382475,1000,0.001809,0.022193,0.0025859715,0.001258510685170273,0.002002,0.002125,0.002979,4000,0.004032,0.025198,0.00514627925,0.0015347639638620127,0.004301,0.0045,0.005726,4000,0.000326,0.020504,0.0007241435000000001,0.0007855518308219706,0.000435,0.000499,0.0009275,4000,0.000326,0.020504,0.0007241435000000001,0.0007855518308219706,0.000435,0.000499,0.0009275,4000,0.019848,0.067368,0.023141066,0.0049210420924479,0.0204185,0.020775,0.024637,1000,0.027458,0.068295,0.030382046,0.0042795718157175484,0.0282105,0.028667,0.03169975,1000,0.416803,2.445548,0.522935555,0.1519841341354583,0.4490035,0.485388,0.577553,1000,0.084568,0.200979,0.10037372,0.0166795913707021,0.088145,0.0921705,0.1111315,1000,0.024997,0.072939,0.029440862,0.005773750997484737,0.0259795,0.026733,0.0319105,1000,0.037472,0.100506,0.044698312,0.009449215400373514,0.03859225,0.040651,0.049678,1000,0.005245,0.021553,0.006473406,0.001787452758862175,0.005492,0.0056405,0.0069825,1000,0.015626,0.056399,0.019225265,0.004225082610408345,0.01674025,0.0173765,0.020708,1000,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
BilateralLagrangianConstraint_PGS,0.037775,1.845273,0.10839488800000001,0.12048824311155615,0.0531415,0.094614,0.1256215,1000,0.126079,0.277691,0.145159714,0.018203935334762205,0.1316235,0.1368435,0.156266,1000,0.001803,0.024461,0.00257457575,0.0011596480626732998,0.002067,0.002179,0.002959,4000,0.004086,0.025171,0.00529224075,0.0016128774371567845,0.00439075,0.0046315,0.00577225,4000,0.000351,0.013201,0.00076085675,0.0007691267517317529,0.00048275,0.000548,0.00089325,4000,0.000351,0.013201,0.00076085675,0.0007691267517317529,0.00048275,0.000548,0.00089325,4000,0.019856,0.058282,0.023185887999999998,0.004638403027061792,0.02051575,0.0208315,0.025133,1000,0.027456,0.070959,0.030527503,0.004647375845140029,0.02828975,0.0287005,0.03179375,1000,0.421776,2.440382,0.528581931,0.15045924995475102,0.45354125,0.490474,0.5831985,1000,0.085028,0.227979,0.101332037,0.016649705351616015,0.08852875,0.0932185,0.11221175,1000,0.025185,0.081471,0.029761459,0.00591487875499735,0.0262265,0.0271435,0.032199,1000,0.037842,0.146801,0.045143394999999996,0.009536867872576143,0.03877,0.0414675,0.050149,1000,0.005286,0.036851,0.006679152,0.0021012297120724327,0.00554,0.0059645,0.007065,1000,0.015952,0.043555,0.019204495999999998,0.0037510518130231154,0.016666,0.017244,0.020722,1000,0.0,1.2,0.7,0.5727128425310541,0.0,1.1,1.2,5
BilateralLagrangianConstraint_UGS,0.0343,1.811111,0.07942360700000001,0.11751083583884743,0.05258175,0.0674015,0.0790365,1000,0.125287,0.27034,0.137249943,0.014248735905818138,0.129643,0.133108,0.13737775,1000,0.001868,0.023522,0.0024229054999999997,0.0010735337125911556,0.00202175,0.002096,0.002819,4000,0.004005,0.026885,0.005026345000000001,0.0016129676557435984,0.004356,0.004554,0.00564125,4000,0.000351,0.015964,0.00074072525,0.000706103130401245,0.000455,0.000526,0.000962,4000,0.000351,0.015964,0.00074072525,0.000706103130401245,0.000455,0.000526,0.000962,4000,0.020009,0.05988,0.021212008999999997,0.00280142335017737,0.0204535,0.0206155,0.0207945,1000,0.027744,0.07245,0.029540033,0.004289580027684645,0.02828575,0.028515,0.028853,1000,0.435849,2.454408,0.501399054,0.1397945624907317,0.46114425,0.484853,0.5020205,1000,0.096982,0.231394,0.121230044,0.017209743532780028,0.10907775,0.1191655,0.126476,1000,0.025042,0.063338,0.027598796999999998,0.0044273896785567675,0.0260165,0.0264265,0.02688525,1000,0.042871,0.10792,0.046645661,0.007475889131473192,0.0438165,0.044292,0.04536825,1000,0.008794,0.075017,0.028234547999999998,0.010296422299308435,0.01950525,0.02903,0.033816,1000,0.016462,0.070523,0.018242314,0.003484648742901356,0.016838,0.017039,0.01761275,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
FrictionContact_LCP_with_friction,0.040354,1.43751,0.083757165,0.09486286656561552,0.075574,0.0763205,0.07867275,1000,0.039779,0.128786,0.053352565000000005,0.008544264170996529,0.05094625,0.0518545,0.05272875,1000,0.002835,0.022889,0.004224405,0.0017670400999906597,0.003986,0.004054,0.004133,1000,0.005734,0.028316,0.007651333,0.001784401141590926,0.00736,0.007465,0.007619,1000,0.000727,0.0214,0.001045194,0.0008288762249962294,0.00094,0.00097,0.000999,1000,0.000727,0.0214,0.001045194,0.0008288762249962294,0.00094,0.00097,0.000999,1000,0.005851,0.031079,0.009198145,0.002008878257131328,0.00902475,0.009162,0.00939425,1000,0.011237,0.044143,0.014405361,0.003092844162688932,0.01391925,0.0141025,0.01428075,1000,0.141242,1.690728,0.24313595300000002,0.10586031337887107,0.2325805,0.2360535,0.246341,1000,0.011904,0.203615,0.037736089,0.011712450958150433,0.03771375,0.038407,0.039641,1000,0.001964,0.020617,0.003063389,0.0013462501980237552,0.002876,0.002946,0.00302125,1000,0.006871,0.180815,0.016462377,0.00691287963578645,0.015991,0.01619,0.01641525,1000,0.001597,0.065612,0.016066617000000002,0.006206702288197091,0.01706,0.01739,0.0176455,1000,0.000889,0.02252,0.0013978250000000001,0.0009530666862161323,0.00126075,0.001297,0.00133325,1000,0.0,1.2,0.48,0.5878775382679627,0.0,0.0,1.2,5
FrictionContact_LCP_without_friction,0.039809,1.438837,0.098515915,0.09726728239979657,0.07566125,0.103428,0.1053065,1000,0.039903,0.105048,0.052424428,0.007897987020425901,0.05046975,0.0509245,0.05183025,1000,0.002775,0.019965,0.004126229,0.0013131359688010225,0.003989,0.004062,0.004137,1000,0.005574,0.027704,0.007557175,0.001963736178913807,0.007297,0.007378,0.007455,1000,0.000719,0.015375,0.001007539,0.0005809283918685676,0.000916,0.00095,0.000984,1000,0.000719,0.015375,0.001007539,0.0005809283918685676,0.000916,0.00095,0.000984,1000,0.005978,0.033408,0.009277096,0.0021409377914325305,0.00903375,0.0092175,0.00942125,1000,0.011138,0.039735,0.014304454,0.002811043608321294,0.01378175,0.013954,0.014128,1000,0.140774,1.674589,0.24666743400000002,0.10682842690431066,0.2210205,0.2505235,0.25636375,1000,0.011931,0.068644,0.027811448,0.007154832552009586,0.024968,0.02879,0.02959475,1000,0.001933,0.018128,0.003077405,0.0011654314999067939,0.00290175,0.002969,0.003057,1000,0.00693,0.048826,0.015089521,0.004313120000134358,0.014343,0.015047,0.01532125,1000,0.001597,0.033173,0.007448763,0.003099498852529389,0.00580475,0.0087875,0.00910925,1000,0.000879,0.011631,0.001401413,0.0007569112579629134,0.0012475,0.001313,0.00137,1000,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
FixedProjectiveConstraint,0.008125,0.144055,0.009969253,0.008602831574603271,0.008612,0.008828,0.00923425,1000,1.099968,1.274066,1.132917852,0.021576386065421057,1.116718,1.130694,1.14094975,1000,0.067017,0.114101,0.068949572,0.0052753021480116185,0.0674965,0.067655,0.06787625,1000,0.037528,0.086031,0.039148046,0.004988501858262058,0.037847,0.038068,0.0382895,1000,0.000665,0.012405,0.000996231,0.0009418690894381236,0.000783,0.000836,0.000891,1000,0.985271,1.159234,1.015986629,0.01906261123706191,1.000933,1.0153915,1.0247695,1000,0.002701,0.013198,0.002974197,0.00047484665966077936,0.002852,0.002905,0.003018,1000,0.008446,0.032735,0.009140066,0.00186667502571926,0.00869575,0.008806,0.00907825,1000,1.132157,1.476331,1.168915437,0.027351137436458305,1.15351725,1.165245,1.17576925,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
FEMBAR_EigenSimplicialLDLT,0.000278,0.000859,0.000336717,5.214676318814046e-05,0.000312,0.000327,0.000343,1000,2.51099,5.225069,2.5891624010000003,0.2020996054254194,2.53205575,2.5647855,2.5895215,1000,0.052045,0.105408,0.054138966000000004,0.005189346404205832,0.05250625,0.053017,0.05348075,1000,0.044141,0.103831,0.046717226,0.004970825049116495,0.0446535,0.045446,0.047778,1000,0.689261,2.225111,0.718918652,0.10431579373233421,0.6959075,0.708317,0.72211425,1000,1.708231,2.817507,1.7617674639999998,0.11381128457280809,1.72140475,1.742493,1.7634225,1000,0.001134,0.021207,0.001356477,0.0007961097132123184,0.00124475,0.001297,0.001351,1000,0.006027,0.024353,0.006787532,0.0014542437013705784,0.00639475,0.006586,0.006776,1000,2.527734,5.27689,2.6075958519999998,0.2046394679520011,2.550087,2.583191,2.60799525,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1.2,0.72,0.5878775382679627,0.0,1.2,1.2,5
FEMBAR_EigenSimplicialLLT,0.000266,0.013425,0.00034827999999999997,0.0004236246753908464,0.000309,0.0003225,0.00033925,1000,2.620576,5.166636,2.702228522,0.19678255877632428,2.65179525,2.6815375,2.7021555,1000,0.051961,0.113907,0.054704044,0.0061280963987248105,0.0524,0.0529095,0.05385575,1000,0.042809,0.091709,0.045679812,0.0048521764572875955,0.044329,0.044578,0.04499325,1000,0.689139,2.07763,0.7175603519999999,0.0953657799544999,0.6959105,0.7016145,0.724381,1000,1.818603,2.950598,1.876788136,0.11596665953005417,1.83955825,1.860172,1.8814485,1000,0.001103,0.01843,0.0013205329999999998,0.0007421843186911187,0.001218,0.001253,0.001301,1000,0.005971,0.02481,0.006646534,0.0014591963482835338,0.006289,0.006423,0.00659725,1000,2.636879,5.217261,2.72028321,0.19959761005806134,2.6690055,2.699132,2.7202305,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
