SceneName,CollisionDetection_min,CollisionDetection_max,CollisionDetection_mean,CollisionDetection_std,CollisionDetection_quartile1,CollisionDetection_quartile2,CollisionDetection_quartile3,CollisionDetection_cardinality,ODESolve_min,ODESolve_max,ODESolve_mean,ODESolve_std,ODESolve_quartile1,ODESolve_quartile2,ODESolve_quartile3,ODESolve_cardinality,ComputeForce_min,ComputeForce_max,ComputeForce_mean,ComputeForce_std,ComputeForce_quartile1,ComputeForce_quartile2,ComputeForce_quartile3,ComputeForce_cardinality,ComputeRHTerm_min,ComputeRHTerm_max,ComputeRHTerm_mean,ComputeRHTerm_std,ComputeRHTerm_quartile1,ComputeRHTerm_quartile2,ComputeRHTerm_quartile3,ComputeRHTerm_cardinality,setSystemMBKMatrix_min,setSystemMBKMatrix_max,setSystemMBKMatrix_mean,setSystemMBKMatrix_std,setSystemMBKMatrix_quartile1,setSystemMBKMatrix_quartile2,setSystemMBKMatrix_quartile3,setSystemMBKMatrix_cardinality,MBKSolve_min,MBKSolve_max,MBKSolve_mean,MBKSolve_std,MBKSolve_quartile1,MBKSolve_quartile2,MBKSolve_quartile3,MBKSolve_cardinality,ProjectAndMechaMap_min,ProjectAndMechaMap_max,ProjectAndMechaMap_mean,ProjectAndMechaMap_std,ProjectAndMechaMap_quartile1,ProjectAndMechaMap_quartile2,ProjectAndMechaMap_quartile3,ProjectAndMechaMap_cardinality,UpdateBBox_min,UpdateBBox_max,UpdateBBox_mean,UpdateBBox_std,UpdateBBox_quartile1,UpdateBBox_quartile2,UpdateBBox_quartile3,UpdateBBox_cardinality,TimeStep_min,TimeStep_max,TimeStep_mean,TimeStep_std,TimeStep_quartile1,TimeStep_quartile2,TimeStep_quartile3,TimeStep_cardinality,SolveConstraint_min,SolveConstraint_max,SolveConstraint_mean,SolveConstraint_std,SolveConstraint_quartile1,SolveConstraint_quartile2,SolveConstraint_quartile3,SolveConstraint_cardinality,PrepareState_min,PrepareState_max,PrepareState_mean,PrepareState_std,PrepareState_quartile1,PrepareState_quartile2,PrepareState_quartile3,PrepareState_cardinality,BuildSystem_min,BuildSystem_max,BuildSystem_mean,BuildSystem_std,BuildSystem_quartile1,BuildSystem_quartile2,BuildSystem_quartile3,BuildSystem_cardinality,SolveSystem_min,SolveSystem_max,SolveSystem_mean,SolveSystem_std,SolveSystem_quartile1,SolveSystem_quartile2,SolveSystem_quartile3,SolveSystem_cardinality,ApplyCorrection_min,ApplyCorrection_max,ApplyCorrection_mean,ApplyCorrection_std,ApplyCorrection_quartile1,ApplyCorrection_quartile2,ApplyCorrection_quartile3,ApplyCorrection_cardinality,CPUUsage_min,CPUUsage_max,CPUUsage_mean,CPUUsage_std,CPUUsage_quartile1,CPUUsage_quartile2,CPUUsage_quartile3,CPUUsage_cardinality
fallingBeamLagrangianCollision,0.331851,0.500437,0.34648066666666666,0.016254358371142072,0.337565,0.342378,0.3493005,255,11.860226,13.341673,12.387712749019608,0.2642062594401663,12.270967,12.372618,12.562685,255,0.286884,0.43346,0.30266918823529415,0.01797941793545889,0.2900235,0.297834,0.3088705,255,0.137491,0.235405,0.1515314117647059,0.01682849592707871,0.1389065,0.140767,0.169732,255,3.899677,4.574426,3.9977565137254905,0.0853413971188822,3.941077,3.979066,4.0465565,255,3.899677,4.574426,3.9977565137254905,0.0853413971188822,3.941077,3.979066,4.0465565,255,0.022491,0.044202,0.025127317647058823,0.0025516226742309227,0.0236215,0.024064,0.026445,255,0.052425,0.090631,0.05601499607843138,0.004424633293765523,0.053864,0.054514,0.057497,255,40.031066,54.640517,47.55723388627451,2.0154657305619557,47.647007,48.016496,48.276248,255,27.113158,41.675155,34.632259078431375,2.0184471699190865,35.0416985,35.167543,35.291847,255,0.020342,0.033478,0.021952517647058824,0.001398154222566573,0.0213415,0.021729,0.022117,255,21.799144,28.292434,22.07438429411765,0.8420478893641707,21.8765205,21.922821,21.999176,255,4.83579,13.86505,12.12032603137255,1.8149399790488636,12.719636,12.815639,12.8834915,255,0.394971,0.50245,0.4131172588235294,0.017082489239892692,0.40351,0.408728,0.414932,255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
SofaScene,12.099485,33.547391,13.618306374358975,0.7211274692847953,13.351447,13.520504,13.65592,1755,11.784785,33.156457,13.267990833048433,0.6915546775744076,13.008038,13.170777,13.300072,1755,0.00883,0.914107,0.2634712518518519,0.23426749448560052,0.05428325,0.2881895,0.420946,10530,0.009812,0.551492,0.10776155536562203,0.08485368782105955,0.0272175,0.0951345,0.1849075,10530,0.076975,24.171388,1.906004700759734,1.960598883155217,0.170756,1.1650225,2.72708075,10530,0.076975,24.171388,1.906004700759734,1.960598883155217,0.170756,1.1650225,2.72708075,10530,0.092399,0.368765,0.11215161994301995,0.016178791143208342,0.099317,0.112281,0.115963,1755,0.131938,0.224158,0.14724865527065525,0.014140872880016885,0.1372765,0.144235,0.1471805,1755,23.920065,53.644206,29.340720223931626,2.564949280962552,27.5184895,29.148017,31.089935,1755,10.250635,21.772059,15.117704884330484,2.372206710363494,13.4281985,14.951206,16.861852,1755,0.074547,0.17452,0.08733385754985755,0.01211870409003674,0.080857,0.083717,0.0883135,1755,9.388873,20.765451,14.237731554415955,2.280187107501497,12.6190405,14.035399,15.9713745,1755,0.105416,1.056892,0.27631495042735044,0.11006803316232472,0.2127,0.252775,0.3049885,1755,0.42995,0.871116,0.5142153487179487,0.03212273834210286,0.4922225,0.512621,0.5351615,1755,0.0,4.8,1.44,1.763632614803888,0.0,1.2,1.2,5
BilateralLagrangianConstraint_NNCG,0.020742,1.775432,0.09482784,0.12129368437005449,0.0433405,0.0813495,0.110199,1000,0.19397,0.323671,0.21584356200000002,0.02010756590291714,0.200917,0.20622,0.23167375,1000,0.002005,0.013562,0.00275885225,0.0008428443806064898,0.00226275,0.002411,0.003142,4000,0.004222,0.022994,0.0052990072499999995,0.0012576304000768421,0.004496,0.0046845,0.00594125,4000,0.014916,0.047857,0.01762302625,0.0026141574831216536,0.01573675,0.0165235,0.0188375,4000,0.014916,0.047857,0.01762302625,0.0026141574831216536,0.01573675,0.0165235,0.0188375,4000,0.020533,0.044594,0.023256589,0.0032894588469958097,0.02111,0.0213735,0.02509625,1000,0.025557,0.063104,0.027829896,0.0028979825098133355,0.02623675,0.026586,0.02895525,1000,0.489245,2.565919,0.594907949,0.15507583714451587,0.509316,0.5565305,0.6567115,1000,0.090815,0.244158,0.105780484,0.016534056455260578,0.094069,0.098079,0.11804225,1000,0.025111,0.064837,0.029245219,0.004671044383758198,0.0261435,0.027012,0.03186975,1000,0.041263,0.154591,0.048330716999999995,0.009247115428981677,0.0423135,0.0440985,0.053834,1000,0.006319,0.026933,0.007708624,0.0019313557426388335,0.00658075,0.006719,0.00827925,1000,0.016991,0.044202,0.019935697,0.0033620584734937314,0.01770525,0.018314,0.021625,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
BilateralLagrangianConstraint_PGS,0.028037,1.748519,0.094625769,0.11954667975401757,0.043375,0.081064,0.1114695,1000,0.194066,0.345277,0.217420677,0.021945162689090983,0.20172375,0.2079545,0.231736,1000,0.002027,0.020088,0.00274193025,0.0008645347433070215,0.002235,0.0023865,0.003141,4000,0.004197,0.033165,0.005375099,0.0013731952349170893,0.004561,0.004765,0.006018,4000,0.014935,0.048402,0.017581530999999997,0.0027301767035375203,0.015689,0.0165515,0.01875725,4000,0.014935,0.048402,0.017581530999999997,0.0027301767035375203,0.015689,0.0165515,0.01875725,4000,0.020693,0.063266,0.023404481,0.003345147567094612,0.021286,0.0216365,0.02524725,1000,0.025434,0.059963,0.027921163,0.003077151036012207,0.02619325,0.0265035,0.02926075,1000,0.489194,2.474111,0.597455295,0.15284712010333718,0.51191725,0.5573345,0.6541585,1000,0.090614,0.212531,0.106103182,0.015928800686205977,0.0948465,0.098543,0.1161895,1000,0.025309,0.068462,0.029438361,0.004621049895714068,0.026507,0.02737,0.031896,1000,0.041513,0.118945,0.048695462,0.008833927429323606,0.042713,0.045121,0.05447575,1000,0.006132,0.026866,0.007643082999999999,0.0017360268293177385,0.00644275,0.007014,0.0082325,1000,0.016902,0.042637,0.019784973999999997,0.002881550414850311,0.017743,0.018268,0.02149875,1000,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
BilateralLagrangianConstraint_UGS,0.031926,1.6424,0.066090686,0.11568894096361763,0.0420145,0.053414,0.066087,1000,0.195625,0.338683,0.208481794,0.014544957508757598,0.201446,0.2048415,0.20928225,1000,0.002029,0.020625,0.0025924012499999997,0.0008406322966960273,0.00222,0.002306,0.003045,4000,0.004236,0.022686,0.00511657625,0.0011799785655620771,0.004535,0.004684,0.005793,4000,0.01494,0.051412,0.017093484,0.0022070003149623697,0.015719,0.0162975,0.01850725,4000,0.01494,0.051412,0.017093484,0.0022070003149623697,0.015719,0.0162975,0.01850725,4000,0.020718,0.055505,0.021751639,0.002254563797872884,0.021101,0.021267,0.0214565,1000,0.025646,0.062682,0.026873875,0.002252647811659648,0.026213,0.0263805,0.026576,1000,0.502701,2.370644,0.568878,0.13841741793900073,0.52647525,0.5527625,0.5696165,1000,0.102296,0.256043,0.125703764,0.01640536295557962,0.114487,0.1244575,0.1308065,1000,0.025228,0.072218,0.027152009999999997,0.0034382879736723627,0.026053,0.02638,0.0267555,1000,0.046542,0.114535,0.049655675,0.006448289794773107,0.0474715,0.0478885,0.04881125,1000,0.009376,0.09713,0.029362356,0.01037881283882044,0.02070425,0.0305115,0.0356055,1000,0.017307,0.05492,0.019004399,0.003031151395394001,0.0178,0.018063,0.0184485,1000,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
FrictionContact_LCP_with_friction,0.022936,1.535673,0.07871205199999999,0.09807964773040988,0.07110625,0.072039,0.0750705,1000,0.061124,0.140348,0.078643171,0.007932667233771944,0.07789675,0.0785055,0.07920725,1000,0.003097,0.018524,0.004394551,0.001006332857159598,0.00426475,0.004344,0.004424,1000,0.006167,0.026247,0.008053622,0.0016368512061626127,0.007786,0.0079395,0.008084,1000,0.01879,0.057157,0.025048567,0.0029124196283350037,0.0248735,0.025056,0.02528625,1000,0.01879,0.057157,0.025048567,0.0029124196283350037,0.0248735,0.025056,0.02528625,1000,0.006622,0.037464,0.009658373999999999,0.0018775343416630227,0.00959075,0.0097225,0.00987425,1000,0.010107,0.042814,0.012424956000000001,0.002165189194057646,0.012152,0.012242,0.012344,1000,0.162713,1.796245,0.265456342,0.10765287420135626,0.26024125,0.262708,0.2663635,1000,0.013014,0.10293,0.038717436,0.010069402563603464,0.0398985,0.040269,0.0408475,1000,0.002197,0.012478,0.003150634,0.0006952685898586243,0.003023,0.003085,0.00315025,1000,0.007116,0.044117,0.017039142,0.004126176113526421,0.017112,0.0172845,0.017523,1000,0.00189,0.056416,0.016526312999999997,0.00611448389670224,0.01784425,0.0180325,0.0181555,1000,0.000978,0.017776,0.001489945,0.0009172183066069932,0.001304,0.00135,0.00139825,1000,0.0,1.2,0.48,0.5878775382679627,0.0,0.0,1.2,5
FrictionContact_LCP_without_friction,0.026697,1.472749,0.093247755,0.0977902319421985,0.071982,0.0989065,0.100895,1000,0.060782,0.134924,0.07859821400000001,0.008480671928108292,0.077585,0.0780405,0.078821,1000,0.002982,0.019392,0.004363118,0.0009801233351349207,0.00422075,0.0043005,0.00441325,1000,0.006076,0.037277,0.007926461000000001,0.0016910275510703546,0.00774475,0.007834,0.007915,1000,0.018665,0.064652,0.025142167,0.0039181396581937965,0.024812,0.025018,0.025259,1000,0.018665,0.064652,0.025142167,0.0039181396581937965,0.024812,0.025018,0.025259,1000,0.006547,0.031341,0.009620164,0.0016352036017279316,0.0095575,0.009685,0.00982025,1000,0.010092,0.031465,0.012292079,0.0015383636419127303,0.012076,0.0121805,0.012267,1000,0.16259,1.746245,0.26989034700000003,0.10846300823305885,0.247833,0.2780635,0.282656,1000,0.013154,0.072972,0.02928403,0.007106848494874505,0.02690075,0.030999,0.031554,1000,0.002196,0.022967,0.003149025,0.0009631632771108957,0.002994,0.003062,0.003139,1000,0.007118,0.05421,0.016094183,0.004196699341567251,0.01558175,0.016329,0.01659525,1000,0.001911,0.024642,0.008035430999999999,0.0029019716985592744,0.00640225,0.0096955,0.00996925,1000,0.001082,0.019152,0.001500313,0.0010399840205652202,0.001284,0.001344,0.001397,1000,0.0,1.2,0.48,0.5878775382679627,0.0,0.0,1.2,5
FixedProjectiveConstraint,0.00606,0.141468,0.007724532,0.008951767068293053,0.006387,0.0065145,0.0068375,1000,1.117598,1.434768,1.151188667,0.03649636065697662,1.1256965,1.132194,1.17973075,1000,0.066957,0.114923,0.069653769,0.004084116450058568,0.06740375,0.0676635,0.07088475,1000,0.037667,0.086185,0.03918476,0.0033542181879537888,0.038037,0.038182,0.03913175,1000,0.015288,0.035537,0.016236843,0.0015427430927899175,0.01571425,0.0159115,0.016145,1000,0.988701,1.221696,1.018011607,0.03398114095424918,0.99502675,1.000095,1.03910525,1000,0.002716,0.011902,0.003083905,0.0007327178433578644,0.002878,0.00293,0.002995,1000,0.011087,0.024872,0.011567435,0.0008507078122216818,0.011334,0.011404,0.011509,1000,1.15275,1.632962,1.189344489,0.04067083222890674,1.16345975,1.169535,1.21819975,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
FEMBAR_EigenSimplicialLDLT,0.000303,0.000923,0.000357248,4.466854033881116e-05,0.000338,0.00035,0.000367,1000,2.509853,5.035793,2.566332103,0.1820188299870604,2.52450975,2.537209,2.557548,1000,0.052074,0.097787,0.053610443,0.003357266968048713,0.05250575,0.052705,0.0541875,1000,0.044667,0.079998,0.045722771999999995,0.002737976969591965,0.045019,0.0451775,0.04544525,1000,0.691262,2.157196,0.718043856,0.0955095161972631,0.69704625,0.7038715,0.726167,1000,1.708225,2.689616,1.741574035,0.1011575494892288,1.71476425,1.720579,1.73426525,1000,0.001216,0.003495,0.0013935080000000001,0.00014497107275591225,0.001329,0.001366,0.001421,1000,0.011854,0.025303,0.012339870999999999,0.0009664470654717724,0.012094,0.0121865,0.01232225,1000,2.533443,5.095136,2.5918750690000003,0.18430261169048645,2.54925775,2.5629915,2.583196,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
FEMBAR_EigenSimplicialLLT,0.0003,0.003017,0.000363947,9.377563751316223e-05,0.000343,0.000355,0.00037,1000,2.627784,4.896818,2.6816287489999997,0.17495326601896288,2.63904375,2.6436745,2.67664275,1000,0.051341,0.095735,0.053488385,0.003216733418046171,0.052658,0.052856,0.05366825,1000,0.043125,0.108458,0.045598103,0.0037499785170572644,0.04487175,0.0450545,0.045282,1000,0.692055,1.9065,0.709876256,0.08354368795455744,0.6971525,0.6989265,0.702138,1000,1.82786,2.899888,1.865239666,0.1061266748981256,1.83481775,1.8378695,1.858342,1000,0.001257,0.003006,0.001413785,0.00012060342770833671,0.00136175,0.001395,0.001435,1000,0.011744,0.025503,0.012458565000000001,0.001032492032790084,0.01219075,0.0123145,0.012451,1000,2.654637,4.954607,2.7071870469999997,0.1770114055000886,2.66411525,2.669321,2.70214125,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
