SceneName,CollisionDetection_min,CollisionDetection_max,CollisionDetection_mean,CollisionDetection_std,CollisionDetection_quartile1,CollisionDetection_quartile2,CollisionDetection_quartile3,CollisionDetection_cardinality,ODESolve_min,ODESolve_max,ODESolve_mean,ODESolve_std,ODESolve_quartile1,ODESolve_quartile2,ODESolve_quartile3,ODESolve_cardinality,ComputeForce_min,ComputeForce_max,ComputeForce_mean,ComputeForce_std,ComputeForce_quartile1,ComputeForce_quartile2,ComputeForce_quartile3,ComputeForce_cardinality,ComputeRHTerm_min,ComputeRHTerm_max,ComputeRHTerm_mean,ComputeRHTerm_std,ComputeRHTerm_quartile1,ComputeRHTerm_quartile2,ComputeRHTerm_quartile3,ComputeRHTerm_cardinality,setSystemMBKMatrix_min,setSystemMBKMatrix_max,setSystemMBKMatrix_mean,setSystemMBKMatrix_std,setSystemMBKMatrix_quartile1,setSystemMBKMatrix_quartile2,setSystemMBKMatrix_quartile3,setSystemMBKMatrix_cardinality,MBKSolve_min,MBKSolve_max,MBKSolve_mean,MBKSolve_std,MBKSolve_quartile1,MBKSolve_quartile2,MBKSolve_quartile3,MBKSolve_cardinality,ProjectAndMechaMap_min,ProjectAndMechaMap_max,ProjectAndMechaMap_mean,ProjectAndMechaMap_std,ProjectAndMechaMap_quartile1,ProjectAndMechaMap_quartile2,ProjectAndMechaMap_quartile3,ProjectAndMechaMap_cardinality,UpdateBBox_min,UpdateBBox_max,UpdateBBox_mean,UpdateBBox_std,UpdateBBox_quartile1,UpdateBBox_quartile2,UpdateBBox_quartile3,UpdateBBox_cardinality,TimeStep_min,TimeStep_max,TimeStep_mean,TimeStep_std,TimeStep_quartile1,TimeStep_quartile2,TimeStep_quartile3,TimeStep_cardinality,SolveConstraint_min,SolveConstraint_max,SolveConstraint_mean,SolveConstraint_std,SolveConstraint_quartile1,SolveConstraint_quartile2,SolveConstraint_quartile3,SolveConstraint_cardinality,PrepareState_min,PrepareState_max,PrepareState_mean,PrepareState_std,PrepareState_quartile1,PrepareState_quartile2,PrepareState_quartile3,PrepareState_cardinality,BuildSystem_min,BuildSystem_max,BuildSystem_mean,BuildSystem_std,BuildSystem_quartile1,BuildSystem_quartile2,BuildSystem_quartile3,BuildSystem_cardinality,SolveSystem_min,SolveSystem_max,SolveSystem_mean,SolveSystem_std,SolveSystem_quartile1,SolveSystem_quartile2,SolveSystem_quartile3,SolveSystem_cardinality,ApplyCorrection_min,ApplyCorrection_max,ApplyCorrection_mean,ApplyCorrection_std,ApplyCorrection_quartile1,ApplyCorrection_quartile2,ApplyCorrection_quartile3,ApplyCorrection_cardinality,CPUUsage_min,CPUUsage_max,CPUUsage_mean,CPUUsage_std,CPUUsage_quartile1,CPUUsage_quartile2,CPUUsage_quartile3,CPUUsage_cardinality
fallingBeamLagrangianCollision,0.339023,0.437336,0.35497119215686274,0.014218311130174648,0.345828,0.351421,0.3586325,255,11.907,12.682837,12.323947309803922,0.2105801561321421,12.150485,12.372894,12.4806865,255,0.289645,0.405071,0.2999926392156863,0.01381070925480712,0.29262,0.293966,0.3027025,255,0.139594,0.200599,0.1445156,0.007293074304609066,0.1413245,0.142231,0.1433,255,3.582489,3.851566,3.6806275019607844,0.0571260413543132,3.6400045,3.673013,3.716664,255,3.582489,3.851566,3.6806275019607844,0.0571260413543132,3.6400045,3.673013,3.716664,255,0.022148,0.052545,0.023943635294117648,0.0025332235196134888,0.0231935,0.023556,0.023881,255,0.04785,0.095849,0.05040708627450981,0.004479597417180219,0.0492295,0.049649,0.0501835,255,40.117946,55.039652,48.21490302352941,2.7144347525371515,47.7254465,48.086712,48.331292,255,27.233434,41.976803,35.37001379607843,2.7724723300724206,35.1146585,35.239275,35.3624305,255,0.019676,0.055404,0.021815117647058825,0.0032505078085754767,0.0208285,0.021303,0.0217045,255,21.80203,28.450766,22.78132854901961,2.1491767199703857,21.881706,21.925336,21.967861,255,4.867635,13.221133,12.144392066666667,1.7959986460571362,12.740919,12.859116,12.944844,255,0.395993,0.491591,0.4194293450980392,0.014413471643642409,0.4105895,0.414919,0.424855,255,0.0,1.1,0.22000000000000003,0.44000000000000006,0.0,0.0,0.0,5
SofaScene,8.938215,13.965779,9.256763214814816,0.33205595668915827,9.099842,9.173,9.3370445,1755,8.656685,13.347102,8.958549467806268,0.32770060068612517,8.8044555,8.875745,9.034208,1755,0.005334,0.591684,0.17181297654320987,0.167963999357473,0.02852275,0.1150645,0.275397,10530,0.006039,0.29115,0.07255979468186134,0.07002711351086818,0.0132815,0.060972,0.10312925,10530,0.035593,5.478441,1.1555966986704653,1.1940558471787017,0.0830665,0.886152,1.7294135,10530,0.035593,5.478441,1.1555966986704653,1.1940558471787017,0.0830665,0.886152,1.7294135,10530,0.091423,0.155585,0.10166290541310541,0.00838480551870435,0.0968055,0.099909,0.1025675,1755,0.119404,0.218342,0.12907317037037036,0.00944363677188169,0.124405,0.126585,0.128976,1755,23.935399,52.817048,30.69405224045584,3.7950079116353748,28.246021,30.193194,32.3619835,1755,14.425137,43.144472,20.958518625641027,3.7432956328693985,18.519566,20.476624,22.656672,1755,0.07503,0.171371,0.08380905698005697,0.008368729121157284,0.0793625,0.082558,0.0841805,1755,13.627063,41.887038,20.122065237037038,3.652679335871795,17.7330865,19.633255,21.800386,1755,0.10068,0.616372,0.2528621908831909,0.10269883873745726,0.195593,0.227624,0.2815805,1755,0.437038,0.80239,0.49760162792022794,0.029593085502011493,0.479097,0.493694,0.5121245,1755,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
BilateralLagrangianConstraint_NNCG,0.037437,1.832405,0.10794225199999999,0.12224301868830176,0.05335125,0.0929475,0.12419675,1000,0.12432,0.235515,0.141265886,0.01743146540612705,0.12766375,0.1317085,0.1531845,1000,0.001778,0.021354,0.00253112,0.001168539548581904,0.001949,0.002087,0.002979,4000,0.003972,0.026736,0.00504476125,0.0016880100764653145,0.004149,0.004302,0.005666,4000,0.00034,0.018695,0.0007212645,0.000774887214399457,0.000433,0.000484,0.00091925,4000,0.00034,0.018695,0.0007212645,0.000774887214399457,0.000433,0.000484,0.00091925,4000,0.020122,0.081187,0.023441537000000002,0.005080451671714927,0.02072775,0.0210565,0.02501475,1000,0.025343,0.064391,0.0278543,0.0039056379473781234,0.0259315,0.026312,0.02903375,1000,0.41948,2.458831,0.522159889,0.15092972393208928,0.45019275,0.4844965,0.575884,1000,0.086971,0.200579,0.103046697,0.016974949013036564,0.09039075,0.094467,0.11321175,1000,0.024927,0.079725,0.029550157,0.006190769463673397,0.0259145,0.026856,0.0318685,1000,0.039734,0.121328,0.046763183,0.009191345223823932,0.04051725,0.0432495,0.0520645,1000,0.005403,0.027391,0.006639912,0.0020383981780447116,0.005601,0.0057235,0.0071005,1000,0.016208,0.068152,0.019569554,0.0047598021857094015,0.0168545,0.0176625,0.02077875,1000,0.0,1.2,0.48,0.5878775382679627,0.0,0.0,1.2,5
BilateralLagrangianConstraint_PGS,0.047539,1.83997,0.10796430100000001,0.12331187170171573,0.05448675,0.093826,0.1243285,1000,0.125694,0.228519,0.143480123,0.01755577374643086,0.12984125,0.1351005,0.15467875,1000,0.001871,0.021451,0.0025701170000000002,0.001176405815741745,0.002028,0.002155,0.003022,4000,0.003976,0.02708,0.005183353,0.0016554912590802165,0.004265,0.004443,0.005727,4000,0.000346,0.019357,0.000725023,0.0007866579329486228,0.000451,0.000508,0.0008565,4000,0.000346,0.019357,0.000725023,0.0007866579329486228,0.000451,0.000508,0.0008565,4000,0.020164,0.065172,0.023069249,0.0038842535121949755,0.02068675,0.0209935,0.02497725,1000,0.025237,0.066496,0.027934077,0.004095265774656268,0.025878,0.0262615,0.02908775,1000,0.420801,2.495029,0.525481083,0.15313042345823413,0.45225,0.4847565,0.57745425,1000,0.087114,0.204347,0.10353965600000001,0.016696078753697347,0.09088225,0.095383,0.1146,1000,0.025025,0.078653,0.029712558,0.005573471243725583,0.02628275,0.027251,0.03211575,1000,0.039611,0.117083,0.046927146999999995,0.009053933850840253,0.040586,0.0434255,0.05239775,1000,0.005362,0.024114,0.006830153,0.0020359202316375265,0.00571375,0.0061305,0.00715625,1000,0.016224,0.056435,0.019525959,0.00397462636801486,0.017026,0.0177715,0.02094825,1000,0.0,1.2,0.48,0.5878775382679627,0.0,0.0,1.2,5
BilateralLagrangianConstraint_UGS,0.045035,1.750549,0.080243068,0.12148902598756554,0.052923,0.067311,0.07937725,1000,0.12426,0.253976,0.136551488,0.013863231960544264,0.12972075,0.132099,0.1357035,1000,0.001784,0.024083,0.0024363525,0.001083838678375961,0.002002,0.002092,0.002932,4000,0.004009,0.026002,0.004880524749999999,0.0014517616100405183,0.004241,0.004375,0.00562325,4000,0.000357,0.019756,0.00074185825,0.0009079868849035966,0.00046,0.000506,0.000906,4000,0.000357,0.019756,0.00074185825,0.0009079868849035966,0.00046,0.000506,0.000906,4000,0.020152,0.053129,0.021658721000000002,0.003133297798352241,0.02075275,0.020931,0.021137,1000,0.025332,0.059754,0.026897318,0.003631004582326494,0.02589175,0.026113,0.0263435,1000,0.433609,2.409366,0.50132133,0.14399722348120847,0.45825625,0.4837565,0.5031215,1000,0.098733,0.237876,0.123182506,0.016687220780644208,0.11102,0.121123,0.12797775,1000,0.024999,0.069373,0.027648255,0.00472704217518471,0.02606175,0.026448,0.026929,1000,0.044645,0.148509,0.048451695,0.0076975625825305895,0.04561,0.046161,0.04718125,1000,0.009128,0.076708,0.028061028,0.0101502264060077,0.019504,0.0291325,0.03355725,1000,0.016476,0.044415,0.018480220000000002,0.002875930933037162,0.01724575,0.0174915,0.01802675,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
FrictionContact_LCP_with_friction,0.040204,1.511349,0.083162538,0.09977095239226975,0.0744015,0.075162,0.07672375,1000,0.039822,0.137753,0.053225503,0.008679183469197492,0.05122275,0.051599,0.052166,1000,0.00281,0.025343,0.004183545,0.001656834258450434,0.004,0.004067,0.004129,1000,0.005634,0.025095,0.007680019000000001,0.0015691587608138956,0.00749875,0.007589,0.007676,1000,0.00072,0.011229,0.0010175940000000001,0.0005665103981075722,0.000914,0.000954,0.000998,1000,0.00072,0.011229,0.0010175940000000001,0.0005665103981075722,0.000914,0.000954,0.000998,1000,0.005969,0.047837,0.009422652,0.0024535028809634604,0.00920175,0.0092965,0.00944825,1000,0.009881,0.036848,0.012728457,0.0029319008827296666,0.01214475,0.012287,0.01241425,1000,0.141093,1.801521,0.24106623800000002,0.10993825888657396,0.230188,0.2329675,0.24577075,1000,0.011912,0.097987,0.038155553,0.010734071060748154,0.0383355,0.038858,0.04040375,1000,0.00202,0.023126,0.003129208,0.001408673102865246,0.00288575,0.002987,0.00310225,1000,0.006742,0.052142,0.016756708,0.004770798619595676,0.016611,0.0167695,0.01694825,1000,0.001627,0.05626,0.016095022,0.006477088322812651,0.016959,0.017288,0.01745125,1000,0.000934,0.012906,0.001389957,0.0008077562547891534,0.001244,0.001283,0.001328,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
FrictionContact_LCP_without_friction,0.040312,1.581387,0.09813791300000001,0.1035273580793185,0.0748615,0.102177,0.10382625,1000,0.040367,0.156153,0.053163152000000005,0.008969304244527332,0.05096325,0.051586,0.05231075,1000,0.002917,0.023453,0.0042071769999999994,0.0014503962760814715,0.00405375,0.004132,0.0042,1000,0.005706,0.028311,0.0077374539999999995,0.0018788652330287022,0.00744275,0.0075655,0.00768725,1000,0.000736,0.020568,0.001045439,0.0009990560986646345,0.000913,0.0009495,0.000983,1000,0.000736,0.020568,0.001045439,0.0009990560986646345,0.000913,0.0009495,0.000983,1000,0.006037,0.03322,0.00949532,0.0025294568487325498,0.00919475,0.009328,0.009463,1000,0.009989,0.041557,0.01261577,0.0029152122867983385,0.012098,0.0122145,0.01232625,1000,0.141109,1.817823,0.246230348,0.11437796598944612,0.219145,0.2495525,0.253774,1000,0.012128,0.070736,0.028310189,0.007304228000088647,0.02563175,0.0295105,0.0299695,1000,0.002014,0.023425,0.003039194,0.0013039433999848307,0.002867,0.0029445,0.003032,1000,0.006852,0.040713,0.015653695,0.004375517474079494,0.01501075,0.015687,0.01595225,1000,0.001667,0.035497,0.007508337,0.0031194895963011318,0.0058935,0.0089715,0.009209,1000,0.000949,0.013507,0.0013596679999999999,0.0007540217727466497,0.001198,0.001266,0.00131925,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
FixedProjectiveConstraint,0.008456,0.131469,0.010287394,0.008707215565538964,0.00882775,0.0089755,0.0092575,1000,1.119112,1.286897,1.154511788,0.025323482615688075,1.13161775,1.1536665,1.1635065,1000,0.067205,0.120916,0.06986643799999999,0.007358201002973214,0.06764775,0.067766,0.0678905,1000,0.038027,0.08509,0.039896500999999994,0.005087697265168103,0.03847475,0.0386355,0.0391585,1000,0.000654,0.009664,0.000849259,0.0003550544858454826,0.000778,0.000816,0.000856,1000,1.004717,1.129899,1.035628885,0.02166504262303158,1.0157345,1.0368285,1.0453055,1000,0.002679,0.022776,0.00312835,0.001438349460145204,0.002843,0.002895,0.002953,1000,0.0082,0.031964,0.008776429,0.0019612423529383103,0.008386,0.008456,0.00854325,1000,1.151928,1.475275,1.190869596,0.031148368756144903,1.1667985,1.188472,1.20083975,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1.2,0.48,0.5878775382679627,0.0,0.0,1.2,5
FEMBAR_EigenSimplicialLDLT,0.000295,0.009084,0.000360635,0.00028110866542139894,0.000331,0.000345,0.000361,1000,2.468602,5.10423,2.56667853,0.2032891955143979,2.511527,2.5371975,2.580088,1000,0.051904,0.094746,0.053977648999999996,0.005071507519446165,0.052274,0.052587,0.0538755,1000,0.043809,0.09313,0.045638288,0.00582744366948802,0.04407775,0.04419,0.04437925,1000,0.68891,2.180838,0.719272794,0.10246442037940569,0.6947955,0.710997,0.72559525,1000,1.670574,2.800711,1.7402321939999998,0.11848355429070467,1.697028,1.717567,1.75402375,1000,0.001174,0.015526,0.001325359,0.000662753607397953,0.001239,0.00127,0.00130825,1000,0.005822,0.026472,0.0065859080000000006,0.0016328997120264308,0.00621375,0.0063535,0.006518,1000,2.485201,5.155029,2.584810633,0.20572955910830684,2.53048675,2.554886,2.59689025,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
FEMBAR_EigenSimplicialLLT,0.000299,0.009248,0.000366546,0.00028467780012498336,0.000336,0.000351,0.000367,1000,2.614324,5.245116,2.695096124,0.19619772919044356,2.6355415,2.6741845,2.69982725,1000,0.051952,0.105922,0.053656149,0.0051136755408217865,0.0522925,0.052511,0.05279125,1000,0.043617,0.095646,0.045688839999999994,0.0048687241988430606,0.0442495,0.0444605,0.045369,1000,0.688716,2.097934,0.716285463,0.09373475728265705,0.6961465,0.7016205,0.72330375,1000,1.815288,2.994496,1.871725369,0.1162766550048153,1.82561,1.854198,1.87974225,1000,0.001147,0.011552,0.001345254,0.00047166450945984893,0.001248,0.0012895,0.001353,1000,0.005923,0.023416,0.006485975000000001,0.0012304010266474099,0.00617175,0.006308,0.0064765,1000,2.631914,5.296933,2.713490587,0.19870931336167016,2.65419975,2.692191,2.71695375,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
