SceneName,CollisionDetection_min,CollisionDetection_max,CollisionDetection_mean,CollisionDetection_std,CollisionDetection_quartile1,CollisionDetection_quartile2,CollisionDetection_quartile3,CollisionDetection_cardinality,ODESolve_min,ODESolve_max,ODESolve_mean,ODESolve_std,ODESolve_quartile1,ODESolve_quartile2,ODESolve_quartile3,ODESolve_cardinality,ComputeForce_min,ComputeForce_max,ComputeForce_mean,ComputeForce_std,ComputeForce_quartile1,ComputeForce_quartile2,ComputeForce_quartile3,ComputeForce_cardinality,ComputeRHTerm_min,ComputeRHTerm_max,ComputeRHTerm_mean,ComputeRHTerm_std,ComputeRHTerm_quartile1,ComputeRHTerm_quartile2,ComputeRHTerm_quartile3,ComputeRHTerm_cardinality,setSystemMBKMatrix_min,setSystemMBKMatrix_max,setSystemMBKMatrix_mean,setSystemMBKMatrix_std,setSystemMBKMatrix_quartile1,setSystemMBKMatrix_quartile2,setSystemMBKMatrix_quartile3,setSystemMBKMatrix_cardinality,MBKSolve_min,MBKSolve_max,MBKSolve_mean,MBKSolve_std,MBKSolve_quartile1,MBKSolve_quartile2,MBKSolve_quartile3,MBKSolve_cardinality,ProjectAndMechaMap_min,ProjectAndMechaMap_max,ProjectAndMechaMap_mean,ProjectAndMechaMap_std,ProjectAndMechaMap_quartile1,ProjectAndMechaMap_quartile2,ProjectAndMechaMap_quartile3,ProjectAndMechaMap_cardinality,UpdateBBox_min,UpdateBBox_max,UpdateBBox_mean,UpdateBBox_std,UpdateBBox_quartile1,UpdateBBox_quartile2,UpdateBBox_quartile3,UpdateBBox_cardinality,TimeStep_min,TimeStep_max,TimeStep_mean,TimeStep_std,TimeStep_quartile1,TimeStep_quartile2,TimeStep_quartile3,TimeStep_cardinality,SolveConstraint_min,SolveConstraint_max,SolveConstraint_mean,SolveConstraint_std,SolveConstraint_quartile1,SolveConstraint_quartile2,SolveConstraint_quartile3,SolveConstraint_cardinality,PrepareState_min,PrepareState_max,PrepareState_mean,PrepareState_std,PrepareState_quartile1,PrepareState_quartile2,PrepareState_quartile3,PrepareState_cardinality,BuildSystem_min,BuildSystem_max,BuildSystem_mean,BuildSystem_std,BuildSystem_quartile1,BuildSystem_quartile2,BuildSystem_quartile3,BuildSystem_cardinality,SolveSystem_min,SolveSystem_max,SolveSystem_mean,SolveSystem_std,SolveSystem_quartile1,SolveSystem_quartile2,SolveSystem_quartile3,SolveSystem_cardinality,ApplyCorrection_min,ApplyCorrection_max,ApplyCorrection_mean,ApplyCorrection_std,ApplyCorrection_quartile1,ApplyCorrection_quartile2,ApplyCorrection_quartile3,ApplyCorrection_cardinality,CPUUsage_min,CPUUsage_max,CPUUsage_mean,CPUUsage_std,CPUUsage_quartile1,CPUUsage_quartile2,CPUUsage_quartile3,CPUUsage_cardinality
fallingBeamLagrangianCollision,0.342277,0.456269,0.3632131333333334,0.019390280527803824,0.348885,0.354836,0.3731905,255,11.465368,13.762641,12.068359690196079,0.3235029997892648,11.919511,12.062313,12.239089,255,0.281415,0.352081,0.2980830666666667,0.016327428563780624,0.285613,0.290074,0.308833,255,0.136269,0.219075,0.14932442352941175,0.01830563148411951,0.137995,0.138917,0.162547,255,3.576868,4.216034,3.718456380392157,0.08612738035295829,3.654828,3.701608,3.7746195,255,3.576868,4.216034,3.718456380392157,0.08612738035295829,3.654828,3.701608,3.7746195,255,0.022651,0.045365,0.024926454901960785,0.0023922858731653617,0.0235585,0.024003,0.025997,255,0.052459,0.086565,0.05643092941176471,0.005000540375791326,0.053941,0.05463,0.0581195,255,39.557102,54.00107,47.29155799215686,2.0116989520109536,47.2213885,47.664578,48.0944205,255,27.143578,41.503462,34.68028236078432,2.0129648184149422,35.0249355,35.179698,35.4054925,255,0.020711,0.050866,0.02228659607843137,0.00214438636535168,0.0216565,0.021985,0.0224205,255,21.742335,28.258302,22.05006070980392,0.7955302873783773,21.8569345,21.893909,21.9869255,255,4.850292,14.060618,12.184867466666667,1.7916790408024377,12.7270285,12.829908,12.991421,255,0.398215,0.516489,0.42013504705882354,0.01594944903755948,0.4094585,0.415185,0.425927,255,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
SofaScene,8.989122,13.103559,9.276458531054132,0.24326362007111374,9.1074685,9.175744,9.4097875,1755,8.689725,12.809076,8.97041653903134,0.24046586925507402,8.8029715,8.8695,9.0965555,1755,0.004767,0.573829,0.17237162858499525,0.16755800194190706,0.029704,0.1238875,0.27645,10530,0.006339,0.306309,0.07510658053181386,0.07176225277666509,0.01352125,0.0626715,0.1042365,10530,0.035036,5.050783,1.154426317094017,1.1909988681649575,0.083145,0.876872,1.72790375,10530,0.035036,5.050783,1.154426317094017,1.1909988681649575,0.083145,0.876872,1.72790375,10530,0.097367,0.180373,0.10847762735042736,0.010414757124675333,0.103354,0.105497,0.10854,1755,0.130485,0.216461,0.14144434415954416,0.01115355876466708,0.1359795,0.137914,0.140823,1755,24.120951,40.992069,30.789442769230767,3.6306072846290833,28.4026065,30.311139,32.5770925,1755,14.506136,31.317199,21.013570076923077,3.632264219274652,18.652481,20.525698,22.868664,1755,0.072278,0.160285,0.08206824102564102,0.0087226358515581,0.0779075,0.080385,0.0821785,1755,13.735027,30.496275,20.187635697435898,3.5451555395176517,17.87551,19.710338,22.027211,1755,0.101032,0.685874,0.25106662792022794,0.10282246104532648,0.194308,0.222093,0.276087,1755,0.435695,0.609017,0.4906234376068376,0.02725640913545835,0.472158,0.485764,0.5062335,1755,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
BilateralLagrangianConstraint_NNCG,0.047017,1.695328,0.10846315399999999,0.12131146537557067,0.0546315,0.0932745,0.12548525,1000,0.125323,0.237183,0.143984601,0.01661257056183055,0.130824,0.136413,0.1565965,1000,0.00193,0.020535,0.00262061775,0.0010565684117154637,0.00208,0.002192,0.003003,4000,0.004075,0.030158,0.00515919675,0.0015660154743933528,0.00431775,0.00449,0.005695,4000,0.000341,0.026795,0.0007405397500000001,0.0008192669463733646,0.000457,0.000515,0.00093,4000,0.000341,0.026795,0.0007405397500000001,0.0008192669463733646,0.000457,0.000515,0.00093,4000,0.020074,0.056027,0.023031351,0.0037872349390814138,0.02068475,0.0211315,0.0248515,1000,0.027581,0.05916,0.030085748,0.0034051476280032265,0.02820075,0.028587,0.03146025,1000,0.420025,2.311881,0.523846747,0.14888709770547948,0.45108475,0.4854235,0.58085525,1000,0.084917,0.189611,0.10028263000000001,0.015098533177401703,0.088341,0.09295,0.111111,1000,0.02511,0.07423,0.029459422,0.00524952102233299,0.02622325,0.026913,0.03206225,1000,0.037677,0.093592,0.044558488,0.008312100787277307,0.03874175,0.040987,0.0498745,1000,0.005217,0.021388,0.006501327,0.0017855963788244533,0.005476,0.005623,0.00698575,1000,0.016002,0.059174,0.019218491999999997,0.003999467502297775,0.01666925,0.0174235,0.0207405,1000,0.0,1.2,0.48,0.5878775382679627,0.0,0.0,1.2,5
BilateralLagrangianConstraint_PGS,0.041715,1.71481,0.108426518,0.12043742840451087,0.05358725,0.094683,0.1250575,1000,0.125352,0.24013,0.144673471,0.016633778186784836,0.131612,0.138559,0.15579175,1000,0.001885,0.025072,0.0025704994999999997,0.0010115418669040595,0.002061,0.002193,0.003016,4000,0.004051,0.072267,0.00532794225,0.001931819127769196,0.0044,0.004664,0.0058195,4000,0.00033,0.021412,0.00073629075,0.0008634546393496518,0.000447,0.000503,0.000899,4000,0.00033,0.021412,0.00073629075,0.0008634546393496518,0.000447,0.000503,0.000899,4000,0.020034,0.092764,0.023114826,0.004553433070522065,0.02063,0.0210515,0.0248065,1000,0.027171,0.069234,0.03041634,0.00392492978388149,0.0283135,0.0288935,0.0317225,1000,0.419064,2.355416,0.526658764,0.14879967818156162,0.45470025,0.486657,0.57971575,1000,0.085551,0.200315,0.100642161,0.016394987629000487,0.08827,0.092452,0.1116565,1000,0.025008,0.074938,0.029693031999999998,0.006380968541450115,0.02606575,0.0268455,0.03208625,1000,0.037685,0.092418,0.044545558,0.008242564197786755,0.0386595,0.0411885,0.049861,1000,0.005219,0.020894,0.00660538,0.001653198551172847,0.005561,0.005964,0.007049,1000,0.016216,0.056636,0.019222239000000002,0.003965387634252041,0.0167255,0.017238,0.020784,1000,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
BilateralLagrangianConstraint_UGS,0.035703,1.687914,0.079704387,0.11675795612300359,0.05301875,0.067566,0.079858,1000,0.127753,0.285917,0.136336852,0.014348563331501033,0.1295235,0.1320555,0.13475875,1000,0.001893,0.022998,0.0024394885,0.0010168201359472334,0.00204,0.002117,0.002888,4000,0.004078,0.025702,0.0048992095,0.0014442834836380805,0.004298,0.004418,0.005567,4000,0.000361,0.080223,0.00075261225,0.0014120487677130482,0.000456,0.000509,0.00097,4000,0.000361,0.080223,0.00075261225,0.0014120487677130482,0.000456,0.000509,0.00097,4000,0.020078,0.061837,0.022024213,0.004134358692183226,0.0208035,0.021175,0.02145575,1000,0.027849,0.068364,0.029515627,0.003943082307265599,0.02835275,0.0285255,0.028771,1000,0.438097,2.294158,0.501320148,0.13746259946704084,0.462649,0.484745,0.50232775,1000,0.097706,0.206725,0.121569387,0.01669188924793209,0.10925475,0.11942,0.1266235,1000,0.02516,0.070569,0.027648746999999998,0.005018405205340736,0.02595475,0.026245,0.02662225,1000,0.043123,0.099206,0.046753966,0.007761439765845252,0.04383775,0.044248,0.0450505,1000,0.008874,0.076055,0.028222161,0.010208267719896406,0.0195695,0.029299,0.03398175,1000,0.016467,0.049077,0.018409995,0.003652561894201794,0.01694875,0.017148,0.01774475,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
FrictionContact_LCP_with_friction,0.040348,1.433634,0.08405783500000001,0.0958301693406715,0.0755005,0.0760925,0.07908675,1000,0.040214,0.107169,0.05352424,0.007859058458263306,0.0515515,0.052124,0.05296625,1000,0.002913,0.021756,0.004189792,0.0013916678025793368,0.004015,0.004094,0.004179,1000,0.005664,0.034012,0.00771326,0.002100472200815807,0.007444,0.0075495,0.007657,1000,0.000748,0.015801,0.001052617,0.0007865877931362778,0.000942,0.000979,0.001013,1000,0.000748,0.015801,0.001052617,0.0007865877931362778,0.000942,0.000979,0.001013,1000,0.00612,0.032342,0.009418986999999998,0.0022995403542514755,0.0091665,0.009283,0.009448,1000,0.011205,0.044497,0.014450832,0.003256670385190371,0.01386875,0.013995,0.014121,1000,0.142704,1.66077,0.2437336,0.10529365650481513,0.23347775,0.2364,0.25123475,1000,0.012133,0.093482,0.037667973,0.010404305862779649,0.037788,0.038272,0.0407385,1000,0.002044,0.02092,0.003046236,0.0013559235407293437,0.002845,0.002917,0.002989,1000,0.006922,0.044665,0.016171873,0.004429180789815538,0.015892,0.016049,0.0162525,1000,0.001584,0.066354,0.016249111,0.006562872200087322,0.017087,0.017381,0.01772225,1000,0.000971,0.016195,0.0014447280000000002,0.0010459800868161879,0.001282,0.001317,0.001357,1000,0.0,1.2,0.48,0.5878775382679627,0.0,0.0,1.2,5
FrictionContact_LCP_without_friction,0.04068,1.453595,0.099183482,0.09748918173223978,0.075677,0.103656,0.10511725,1000,0.040288,0.122521,0.053369415,0.008759874212725604,0.05110875,0.051652,0.05255975,1000,0.002933,0.022014,0.0041586999999999995,0.0012511303792970578,0.004026,0.004098,0.004162,1000,0.00574,0.028021,0.007718877000000001,0.001996040363287025,0.007447,0.007545,0.007638,1000,0.000767,0.017851,0.0010761269999999999,0.0009524311307758689,0.000937,0.000974,0.00101,1000,0.000767,0.017851,0.0010761269999999999,0.0009524311307758689,0.000937,0.000974,0.00101,1000,0.0061,0.039246,0.009515154,0.0027945259161947307,0.00910575,0.009267,0.00947725,1000,0.011171,0.040117,0.014325995999999999,0.002967792402103624,0.01370525,0.013869,0.01405,1000,0.142255,1.700489,0.249077666,0.10723964464375312,0.221266,0.252663,0.25841475,1000,0.011878,0.075052,0.027910765,0.0074553431327991195,0.02487975,0.0289195,0.02965475,1000,0.002026,0.018659,0.003047483,0.001305041668189564,0.00286175,0.002925,0.00300325,1000,0.00683,0.053925,0.015083618,0.004471770791764264,0.01431875,0.0150335,0.01536625,1000,0.001564,0.029168,0.007630031,0.0032310674202249323,0.00586975,0.008937,0.00940725,1000,0.000952,0.013103,0.001368842,0.0007149433747059972,0.001216,0.001279,0.00133725,1000,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
FixedProjectiveConstraint,0.00846,0.126728,0.010175756,0.00832204714060573,0.0087755,0.008931,0.00935975,1000,1.103673,1.330141,1.146229146,0.040388594094108846,1.10951425,1.1344305,1.17568825,1000,0.066712,0.118205,0.069433575,0.006104850248644515,0.0671155,0.067473,0.06937925,1000,0.037303,0.089276,0.039354795,0.004712546673824568,0.03768575,0.037917,0.04009375,1000,0.000659,0.011182,0.0009509070000000001,0.0007104447539049043,0.00078,0.00082,0.00087825,1000,0.989589,1.161784,1.028647446,0.03665522829391578,0.9951655,1.018995,1.056711,1000,0.002741,0.013488,0.002975567,0.00039906556793464407,0.002869,0.002927,0.003013,1000,0.008489,0.025802,0.00901538,0.001277590741826192,0.008729,0.0088125,0.008931,1000,1.136651,1.511413,1.182458252,0.04423240973081272,1.144217,1.169351,1.21050775,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
FEMBAR_EigenSimplicialLDLT,0.000274,0.000776,0.000326273,4.640369027351165e-05,0.000303,0.000319,0.000337,1000,2.503161,5.228964,2.5778887480000003,0.20597583935322733,2.51694975,2.553649,2.577745,1000,0.050735,0.092991,0.053532843999999996,0.004956919925080897,0.0518655,0.0524135,0.053984,1000,0.042609,0.104883,0.045475572,0.0051736503508466826,0.04410675,0.0445395,0.04493125,1000,0.690249,2.180991,0.715500739,0.10332612547832652,0.69562225,0.698117,0.72170375,1000,1.704458,2.888147,1.755956183,0.11725523521507052,1.71368925,1.7375515,1.76174875,1000,0.001168,0.018991,0.0013694290000000001,0.0006636279476928318,0.001265,0.0013085,0.00138125,1000,0.005819,0.027825,0.006631879,0.0014272571080078738,0.006227,0.006401,0.00661225,1000,2.518687,5.279608,2.595993393,0.20838626357666798,2.53484975,2.571686,2.59619625,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
FEMBAR_EigenSimplicialLLT,0.000287,0.000821,0.00034918400000000005,5.000428125670842e-05,0.000323,0.000339,0.000363,1000,2.617533,5.018488,2.6817782009999998,0.1879774221646169,2.6326465,2.65395,2.68074825,1000,0.051713,0.099008,0.054348815,0.003941262666554337,0.05237675,0.052999,0.05566025,1000,0.043938,0.083474,0.045732449999999994,0.0037841453742555927,0.04437075,0.044687,0.0457995,1000,0.689303,1.963825,0.7108829320000001,0.08894163159416055,0.69473575,0.697637,0.715062,1000,1.818168,2.928671,1.8631070220000001,0.11275216042840827,1.82828975,1.8400995,1.86571225,1000,0.001174,0.010341,0.001384847,0.0003600175601147811,0.001295,0.001353,0.001404,1000,0.005897,0.02442,0.006519537000000001,0.0008842477755872502,0.006226,0.0063855,0.00658025,1000,2.634781,5.069121,2.7000042779999998,0.1902395079005902,2.650377,2.6725165,2.69955775,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
