SceneName,CollisionDetection_min,CollisionDetection_max,CollisionDetection_mean,CollisionDetection_std,CollisionDetection_quartile1,CollisionDetection_quartile2,CollisionDetection_quartile3,CollisionDetection_cardinality,ODESolve_min,ODESolve_max,ODESolve_mean,ODESolve_std,ODESolve_quartile1,ODESolve_quartile2,ODESolve_quartile3,ODESolve_cardinality,ComputeForce_min,ComputeForce_max,ComputeForce_mean,ComputeForce_std,ComputeForce_quartile1,ComputeForce_quartile2,ComputeForce_quartile3,ComputeForce_cardinality,ComputeRHTerm_min,ComputeRHTerm_max,ComputeRHTerm_mean,ComputeRHTerm_std,ComputeRHTerm_quartile1,ComputeRHTerm_quartile2,ComputeRHTerm_quartile3,ComputeRHTerm_cardinality,setSystemMBKMatrix_min,setSystemMBKMatrix_max,setSystemMBKMatrix_mean,setSystemMBKMatrix_std,setSystemMBKMatrix_quartile1,setSystemMBKMatrix_quartile2,setSystemMBKMatrix_quartile3,setSystemMBKMatrix_cardinality,MBKSolve_min,MBKSolve_max,MBKSolve_mean,MBKSolve_std,MBKSolve_quartile1,MBKSolve_quartile2,MBKSolve_quartile3,MBKSolve_cardinality,ProjectAndMechaMap_min,ProjectAndMechaMap_max,ProjectAndMechaMap_mean,ProjectAndMechaMap_std,ProjectAndMechaMap_quartile1,ProjectAndMechaMap_quartile2,ProjectAndMechaMap_quartile3,ProjectAndMechaMap_cardinality,UpdateBBox_min,UpdateBBox_max,UpdateBBox_mean,UpdateBBox_std,UpdateBBox_quartile1,UpdateBBox_quartile2,UpdateBBox_quartile3,UpdateBBox_cardinality,TimeStep_min,TimeStep_max,TimeStep_mean,TimeStep_std,TimeStep_quartile1,TimeStep_quartile2,TimeStep_quartile3,TimeStep_cardinality,SolveConstraint_min,SolveConstraint_max,SolveConstraint_mean,SolveConstraint_std,SolveConstraint_quartile1,SolveConstraint_quartile2,SolveConstraint_quartile3,SolveConstraint_cardinality,PrepareState_min,PrepareState_max,PrepareState_mean,PrepareState_std,PrepareState_quartile1,PrepareState_quartile2,PrepareState_quartile3,PrepareState_cardinality,BuildSystem_min,BuildSystem_max,BuildSystem_mean,BuildSystem_std,BuildSystem_quartile1,BuildSystem_quartile2,BuildSystem_quartile3,BuildSystem_cardinality,SolveSystem_min,SolveSystem_max,SolveSystem_mean,SolveSystem_std,SolveSystem_quartile1,SolveSystem_quartile2,SolveSystem_quartile3,SolveSystem_cardinality,ApplyCorrection_min,ApplyCorrection_max,ApplyCorrection_mean,ApplyCorrection_std,ApplyCorrection_quartile1,ApplyCorrection_quartile2,ApplyCorrection_quartile3,ApplyCorrection_cardinality,CPUUsage_min,CPUUsage_max,CPUUsage_mean,CPUUsage_std,CPUUsage_quartile1,CPUUsage_quartile2,CPUUsage_quartile3,CPUUsage_cardinality
fallingBeamLagrangianCollision,0.34007,0.554393,0.3626443019607843,0.02357427542094444,0.347728,0.353287,0.372656,255,11.830486,20.823216,12.47826191372549,0.7041870731349066,12.257049,12.345538,12.4800425,255,0.284814,0.414682,0.30144176470588235,0.019991913412028585,0.288241,0.293923,0.304309,255,0.138581,0.250118,0.15571234901960784,0.02031513992191077,0.1413345,0.145096,0.1640315,255,3.55172,5.721611,3.6912029215686273,0.1756534142457525,3.6044,3.650483,3.714812,255,3.55172,5.721611,3.6912029215686273,0.1756534142457525,3.6044,3.650483,3.714812,255,0.025475,0.055803,0.027644152941176472,0.0030142615178808925,0.0264035,0.0267,0.0275295,255,0.057811,0.091529,0.06152010980392157,0.005045999122164438,0.059185,0.059907,0.0619365,255,40.045082,64.084522,49.03957113333333,3.6012601134340327,47.713441,48.063492,49.0550985,255,27.122749,47.50539,36.01315208627451,3.3291066485978544,35.0941545,35.208409,35.8787405,255,0.020623,0.05007,0.022981776470588237,0.003904503058565626,0.021509,0.02198,0.022532,255,21.777151,31.945028,23.297848870588236,2.6672197108303775,21.8775395,21.915014,22.183641,255,4.864102,15.450685,12.26107720392157,1.8427981166997185,12.7509305,12.842923,12.940881,255,0.398994,0.560787,0.42841418823529415,0.028143297521230324,0.4113235,0.417536,0.441373,255,0.0,10.8,2.4,4.225636046798162,0.0,0.0,1.2,5
SofaScene,8.947178,22.268228,9.49785783874644,1.016445053051688,9.117049,9.280623,9.4821365,1755,8.641277,21.830436,9.179273694586895,1.0062752575005218,8.803678,8.959617,9.1619335,1755,0.004732,2.219475,0.1740741207977208,0.17096189518213933,0.0283635,0.1421565,0.27772325,10530,0.00607,1.074856,0.08068152108262108,0.07909412851699456,0.01412,0.0784425,0.122797,10530,0.034513,10.508619,1.1856838644824312,1.2487774279094357,0.0896435,1.073307,1.7139,10530,0.034513,10.508619,1.1856838644824312,1.2487774279094357,0.0896435,1.073307,1.7139,10530,0.093684,0.29961,0.10967599658119657,0.01610994494535715,0.1010035,0.103656,0.1141435,1755,0.147284,0.373782,0.1623449339031339,0.016692321484419743,0.152965,0.155474,0.162725,1755,24.015539,56.608253,31.29848023760684,4.412996172448271,28.396092,30.445631,33.296308,1755,14.470721,41.906258,21.260924927065524,4.0567296707368365,18.5606135,20.524708,23.1605255,1755,0.075995,0.401445,0.08708982279202279,0.014041675585680563,0.080831,0.083455,0.0864825,1755,13.677261,40.909414,20.400761773219372,3.9460308697137694,17.77495,19.697171,22.267881,1755,0.102174,1.355084,0.26358432763532763,0.12051299603987252,0.198526,0.235797,0.290487,1755,0.43325,1.584641,0.5072511908831909,0.05807970904101466,0.47779,0.496597,0.5223695,1755,0.0,10.8,2.4,4.225636046798162,0.0,0.0,1.2,5
BilateralLagrangianConstraint_NNCG,0.047028,1.754476,0.10709698,0.12050147725369013,0.053243,0.0920945,0.1232875,1000,0.125184,0.243925,0.14167101199999999,0.016816421266424554,0.12913325,0.1335445,0.1536245,1000,0.001914,0.020449,0.0025837762499999997,0.000906325682735482,0.002103,0.002225,0.00303725,4000,0.004033,0.022926,0.005148639,0.00150569364037941,0.004256,0.004436,0.005724,4000,0.000384,0.021199,0.00075462975,0.0008563291523502734,0.000481,0.000529,0.000885,4000,0.000384,0.021199,0.00075462975,0.0008563291523502734,0.000481,0.000529,0.000885,4000,0.020147,0.060756,0.023075056,0.004197080290733547,0.02073075,0.021054,0.024732,1000,0.025912,0.080359,0.028206422,0.0034057580818249553,0.02643375,0.0267835,0.0294275,1000,0.421322,2.368502,0.521027623,0.1497155777285479,0.44622,0.4833255,0.5776215,1000,0.087404,0.193782,0.102585142,0.01661625233167323,0.0903295,0.094365,0.114,1000,0.025027,0.061191,0.028942676,0.004855194658407014,0.02580975,0.0266175,0.0315305,1000,0.039588,0.107027,0.046838938999999996,0.00930690746237863,0.0405735,0.043221,0.05209325,1000,0.005634,0.032104,0.006813573000000001,0.0020223976138907503,0.005839,0.005971,0.007306,1000,0.016279,0.074544,0.019450585,0.0042563281317087144,0.016974,0.0175625,0.0209595,1000,0.0,1.2,0.48,0.5878775382679627,0.0,0.0,1.2,5
BilateralLagrangianConstraint_PGS,0.042683,1.774181,0.11118702999999999,0.12250280622616407,0.05309125,0.0938285,0.12691275,1000,0.124213,0.341181,0.14749706899999998,0.030414680182869573,0.12949725,0.1368355,0.15494025,1000,0.001916,0.02149,0.00269732775,0.0012223079024247278,0.0021,0.002231,0.003059,4000,0.003934,0.026614,0.005358859499999999,0.00181568852429588,0.004303,0.004597,0.005803,4000,0.000377,0.020702,0.0007839565,0.0008035047586092755,0.000494,0.000539,0.000953,4000,0.000377,0.020702,0.0007839565,0.0008035047586092755,0.000494,0.000539,0.000953,4000,0.019995,0.068921,0.023703275000000003,0.005336268165616774,0.020687,0.021057,0.0260515,1000,0.025655,0.070135,0.028954874,0.005241374601965022,0.026329,0.0267195,0.0298165,1000,0.418201,2.446195,0.541080981,0.17188776804171563,0.45031175,0.487885,0.58583325,1000,0.086927,0.263746,0.106613724,0.02313023820542763,0.09053175,0.0955995,0.11639925,1000,0.024673,0.092592,0.030279232,0.00776419230494557,0.025893,0.0268185,0.03218475,1000,0.039541,0.133551,0.048585171999999996,0.011812884983119748,0.04070825,0.0438915,0.05337325,1000,0.005359,0.032873,0.0070374700000000005,0.0025226252430949783,0.0057045,0.0061465,0.00733625,1000,0.016134,0.109948,0.020136282,0.005702232574919757,0.01702375,0.0177275,0.02113875,1000,0.0,2.4,0.96,0.8979977728257459,0.0,1.2,1.2,5
BilateralLagrangianConstraint_UGS,0.036102,1.610883,0.078950722,0.11335211826868836,0.052554,0.0669335,0.078962,1000,0.127436,0.247085,0.13824055300000002,0.014168670852101512,0.13116325,0.1330675,0.136903,1000,0.001907,0.020056,0.002482195,0.0011509388660893333,0.002057,0.002135,0.00293925,4000,0.004012,0.025287,0.004996778750000001,0.001549245506463852,0.004336,0.0044945,0.005689,4000,0.000417,0.018424,0.00080312325,0.0008324939225360372,0.000522,0.000568,0.000976,4000,0.000417,0.018424,0.00080312325,0.0008324939225360372,0.000522,0.000568,0.000976,4000,0.020132,0.058064,0.021652956999999997,0.0035647450471458686,0.02066,0.0208625,0.021064,1000,0.025879,0.075934,0.027792972000000003,0.0047705855618797996,0.0263925,0.026548,0.02673525,1000,0.438151,2.238644,0.503163246,0.13420516518246042,0.45775025,0.4863675,0.5097445,1000,0.099542,0.242967,0.12404209100000001,0.01800201561922217,0.11062325,0.1215605,0.12924075,1000,0.025233,0.069635,0.027568258,0.004806339356874002,0.02597475,0.0263385,0.02675275,1000,0.044957,0.121709,0.049154519,0.008771155632733866,0.04577375,0.0462975,0.0475515,1000,0.009241,0.077107,0.028222862,0.01057423150914316,0.019559,0.029089,0.033661,1000,0.016689,0.052229,0.018554994999999998,0.0032985401329944436,0.01721375,0.017451,0.01790775,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
FrictionContact_LCP_with_friction,0.039998,1.418061,0.08173674,0.09411519179177397,0.07425,0.0747715,0.07567,1000,0.040248,0.124707,0.052442735,0.007630403314817311,0.050993,0.051461,0.051989,1000,0.002894,0.026018,0.004136867,0.0013464905054663399,0.00401,0.004087,0.00415625,1000,0.00572,0.030409,0.007647814,0.0019214864650587576,0.007409,0.007518,0.00762825,1000,0.000778,0.009622,0.001037086,0.00042571015092900946,0.000966,0.00099,0.00102,1000,0.000778,0.009622,0.001037086,0.00042571015092900946,0.000966,0.00099,0.00102,1000,0.006189,0.036393,0.009361638,0.002055721545578583,0.0092345,0.009344,0.00945925,1000,0.009945,0.039271,0.012429731,0.00211642176860828,0.0122,0.012301,0.01239825,1000,0.140142,1.648748,0.23820508799999998,0.10340914372812617,0.2302765,0.2331835,0.23677675,1000,0.012028,0.128647,0.038375103,0.01081706691781053,0.03895525,0.0394685,0.0403925,1000,0.001846,0.021467,0.002935224,0.0010784443990415084,0.00280975,0.0028825,0.002959,1000,0.006875,0.074097,0.016920107,0.004767887755972344,0.01676475,0.0169385,0.01724625,1000,0.001622,0.075672,0.016375208000000002,0.006460185451419797,0.01752475,0.0177755,0.01797025,1000,0.00096,0.016728,0.0013816969999999999,0.0008186515505335587,0.001255,0.001289,0.001329,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
FrictionContact_LCP_without_friction,0.035593,1.401624,0.097307143,0.094049620221469,0.07517375,0.101827,0.1051705,1000,0.040339,0.184355,0.052843013,0.009160479136749944,0.05082175,0.0513065,0.0520395,1000,0.002919,0.024683,0.004225265999999999,0.0016391074861777674,0.004023,0.0041055,0.00417625,1000,0.005743,0.025044,0.007611221,0.001775139641875816,0.0073445,0.0074465,0.007577,1000,0.000754,0.01871,0.001057213,0.0008946470341039533,0.000941,0.0009645,0.000991,1000,0.000754,0.01871,0.001057213,0.0008946470341039533,0.000941,0.0009645,0.000991,1000,0.006082,0.029874,0.009466984000000001,0.002243940502719268,0.0091635,0.0093535,0.00951725,1000,0.009765,0.039952,0.01248002,0.0024969482957402224,0.01208075,0.012235,0.01236925,1000,0.1396,1.627218,0.244596812,0.10375244171781528,0.21907325,0.250207,0.2570105,1000,0.011771,0.088045,0.028518051,0.007524033074249408,0.02570925,0.029643,0.03026575,1000,0.001897,0.017539,0.0029844140000000003,0.0011590082228370943,0.00279375,0.0028925,0.00297925,1000,0.006695,0.064441,0.01572143,0.0044109594517633,0.015116,0.0158195,0.01617725,1000,0.001622,0.025043,0.00758746,0.0031545428690065384,0.00591075,0.008972,0.00923225,1000,0.000892,0.022018,0.0014244090000000002,0.0009998321857786936,0.001227,0.001305,0.001369,1000,0.0,8.5,1.7,3.4,0.0,0.0,0.0,5
FixedProjectiveConstraint,0.008602,0.145911,0.01033083,0.00859852879131657,0.008935,0.0091235,0.00956975,1000,1.109638,1.260612,1.141154181,0.02209632567333852,1.1280965,1.1337505,1.14877275,1000,0.066726,0.109221,0.068610039,0.005220070096797456,0.067148,0.067295,0.06751425,1000,0.037624,0.078363,0.039187967,0.0037167736352797976,0.03817275,0.0384165,0.03861125,1000,0.00071,0.011132,0.0009060639999999999,0.0004706197423653198,0.000826,0.000865,0.000916,1000,0.996477,1.131145,1.02394477,0.01951949882663743,1.01195,1.017479,1.0307595,1000,0.002693,0.013949,0.0030150999999999997,0.0006688122486916639,0.00282275,0.002878,0.002964,1000,0.011228,0.037181,0.011938464,0.0016193712615407254,0.011538,0.011655,0.01188275,1000,1.145435,1.420485,1.180379361,0.026996103457030223,1.1654265,1.173064,1.1867445,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,9.6,2.1599999999999997,3.7489198444351937,0.0,0.0,1.2,5
FEMBAR_EigenSimplicialLDLT,0.00027,0.010865,0.000373089,0.0003450270642703265,0.00030875,0.000332,0.000383,1000,2.509864,5.155504,2.646757816,0.21207148861361855,2.573127,2.6114065,2.65412025,1000,0.052257,0.11349,0.056160482000000005,0.007898043890969207,0.05277525,0.0531655,0.05496925,1000,0.043922,0.092435,0.046553370999999996,0.005475360403787041,0.044544,0.0448085,0.04543725,1000,0.687973,2.183649,0.732030179,0.10163771265852532,0.7065495,0.719273,0.7385475,1000,1.709497,3.06565,1.80344979,0.1272725114931339,1.74981225,1.780759,1.8149335,1000,0.001208,0.014436,0.0015060540000000002,0.0006754183674464294,0.00131975,0.00138,0.0014785,1000,0.011673,0.039191,0.012968265,0.0027324348824400192,0.01199,0.012199,0.01251975,1000,2.531822,5.215557,2.6724911000000002,0.21529435419871093,2.5974045,2.635082,2.67996125,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
FEMBAR_EigenSimplicialLLT,0.000273,0.000974,0.00034712400000000003,5.8769929589884655e-05,0.000313,0.00034,0.000367,1000,2.617067,5.067969,2.695829887,0.18383541876980136,2.644311,2.669768,2.70252275,1000,0.052021,0.100873,0.054963514000000005,0.004622664420851248,0.05265825,0.053265,0.05591625,1000,0.043806,0.092929,0.046332506999999995,0.004605880079197785,0.0445575,0.045016,0.04608025,1000,0.686714,2.017797,0.714603747,0.08984384650374777,0.69616625,0.700306,0.7192675,1000,1.817252,2.903497,1.87234784,0.10926725356773821,1.8343365,1.8523915,1.874491,1000,0.001163,0.011927,0.001381421,0.0006110458933328986,0.001283,0.001321,0.00136825,1000,0.011447,0.030287,0.012248196,0.0017585158394464349,0.011794,0.011967,0.01214525,1000,2.639656,5.125083,2.7197871439999997,0.1859542010370921,2.667561,2.6938235,2.7266145,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
