SceneName,CollisionDetection_min,CollisionDetection_max,CollisionDetection_mean,CollisionDetection_std,CollisionDetection_quartile1,CollisionDetection_quartile2,CollisionDetection_quartile3,ODESolve_min,ODESolve_max,ODESolve_mean,ODESolve_std,ODESolve_quartile1,ODESolve_quartile2,ODESolve_quartile3,ComputeForce_min,ComputeForce_max,ComputeForce_mean,ComputeForce_std,ComputeForce_quartile1,ComputeForce_quartile2,ComputeForce_quartile3,ComputeRHTerm_min,ComputeRHTerm_max,ComputeRHTerm_mean,ComputeRHTerm_std,ComputeRHTerm_quartile1,ComputeRHTerm_quartile2,ComputeRHTerm_quartile3,setSystemMBKMatrix_min,setSystemMBKMatrix_max,setSystemMBKMatrix_mean,setSystemMBKMatrix_std,setSystemMBKMatrix_quartile1,setSystemMBKMatrix_quartile2,setSystemMBKMatrix_quartile3,MBKSolve_min,MBKSolve_max,MBKSolve_mean,MBKSolve_std,MBKSolve_quartile1,MBKSolve_quartile2,MBKSolve_quartile3,ProjectAndMechaMap_min,ProjectAndMechaMap_max,ProjectAndMechaMap_mean,ProjectAndMechaMap_std,ProjectAndMechaMap_quartile1,ProjectAndMechaMap_quartile2,ProjectAndMechaMap_quartile3,UpdateBBox_min,UpdateBBox_max,UpdateBBox_mean,UpdateBBox_std,UpdateBBox_quartile1,UpdateBBox_quartile2,UpdateBBox_quartile3,TimeStep_min,TimeStep_max,TimeStep_mean,TimeStep_std,TimeStep_quartile1,TimeStep_quartile2,TimeStep_quartile3,SolveConstraint_min,SolveConstraint_max,SolveConstraint_mean,SolveConstraint_std,SolveConstraint_quartile1,SolveConstraint_quartile2,SolveConstraint_quartile3,PrepareState_min,PrepareState_max,PrepareState_mean,PrepareState_std,PrepareState_quartile1,PrepareState_quartile2,PrepareState_quartile3,BuildSystem_min,BuildSystem_max,BuildSystem_mean,BuildSystem_std,BuildSystem_quartile1,BuildSystem_quartile2,BuildSystem_quartile3,SolveSystem_min,SolveSystem_max,SolveSystem_mean,SolveSystem_std,SolveSystem_quartile1,SolveSystem_quartile2,SolveSystem_quartile3,ApplyCorrection_min,ApplyCorrection_max,ApplyCorrection_mean,ApplyCorrection_std,ApplyCorrection_quartile1,ApplyCorrection_quartile2,ApplyCorrection_quartile3,CPUUsage_min,CPUUsage_max,CPUUsage_mean,CPUUsage_std,CPUUsage_quartile1,CPUUsage_quartile2,CPUUsage_quartile3
fallingBeamLagrangianCollision,0.339693,0.820146,0.35638593333333335,0.03363203502159206,0.3455195,0.349373,0.355933,11.7957,31.549837,12.384104050980392,1.2243002543793986,12.1830415,12.338528,12.4542025,0.280977,0.394105,0.29486961960784314,0.017029943309647615,0.2840315,0.288248,0.2983735,0.135647,0.220368,0.14541147450980393,0.013814376435308582,0.1374115,0.138219,0.145374,3.535779,3.92766,3.666419423529412,0.06840546936154714,3.6120465,3.667049,3.7166035,3.535779,3.92766,3.666419423529412,0.06840546936154714,3.6120465,3.667049,3.7166035,0.024545,0.056849,0.027330827450980394,0.0035067906910192107,0.0257465,0.026247,0.02705,0.05529,0.088625,0.05869916470588235,0.00477854379290544,0.0565605,0.057233,0.0591825,40.067681,79.27798,48.57070460392157,3.577464864110901,47.698159,47.945984,48.2786055,27.253447,46.666764,35.64647174117647,3.079541477758634,35.0091585,35.161566,35.330329,0.020346,0.053478,0.022151686274509804,0.0032119611924144283,0.0212225,0.021626,0.022019,21.771558,34.412113,23.122165925490197,2.5152878870049746,21.8771765,21.911083,21.974064,4.869489,13.604405,12.083373623529411,1.7772039502256325,12.673907,12.785227,12.880488,0.398835,0.507249,0.41536749411764706,0.016445013145267008,0.4058985,0.40995,0.4180245,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0
BilateralLagrangianConstraint_NNCG,0.040018,1.649703,0.109416234,0.11934844797583773,0.05397575,0.094921,0.1262425,0.129361,0.328389,0.14660662700000002,0.018448348814185812,0.1342455,0.13872,0.1576735,0.00191,0.021147,0.00265186425,0.0011081656157009825,0.002089,0.0022305,0.00307125,0.004075,0.026227,0.005193799,0.0015490205893076438,0.004351,0.0045465,0.00585025,0.000382,0.012025,0.000751423,0.0006466706867262502,0.000477,0.000531,0.00096725,0.000382,0.012025,0.000751423,0.0006466706867262502,0.000477,0.000531,0.00096725,0.022734,0.061545,0.025994041000000002,0.004448679784308936,0.02336175,0.023875,0.027999,0.029216,0.066326,0.031975165,0.004213210176311526,0.02984175,0.030259,0.033282,0.436727,2.348466,0.540073646,0.1529301682868383,0.46311525,0.5021525,0.5939525,0.087448,0.229586,0.102900504,0.017095365741158743,0.09073475,0.094268,0.11398475,0.025521,0.090665,0.030129059,0.005866749449526458,0.02670675,0.0275055,0.03268425,0.038959,0.125413,0.045958186,0.008911115283700689,0.0400465,0.0420865,0.050785,0.005335,0.028441,0.006509551000000001,0.001789686800364522,0.005558,0.0056835,0.00694925,0.016381,0.083867,0.019731263,0.00469443204145411,0.01703525,0.017709,0.0209795,0.0,1.2,0.48,0.5878775382679627,0.0,0.0,1.2
BilateralLagrangianConstraint_PGS,0.040044,1.634915,0.10908804,0.11795069994297787,0.05351525,0.093141,0.1273815,0.129163,0.272781,0.14750407199999999,0.018570912068361534,0.13400125,0.138916,0.15965175,0.001889,0.023198,0.0025891309999999997,0.0011546527648340864,0.002061,0.0022025,0.003005,0.004054,0.02748,0.0052423385,0.0016426037654948163,0.004319,0.004591,0.005856,0.000393,0.079127,0.0007852875,0.0014472537235549784,0.000487,0.000541,0.00099,0.000393,0.079127,0.0007852875,0.0014472537235549784,0.000487,0.000541,0.00099,0.022634,0.076407,0.025777912,0.004844922717469908,0.02323875,0.0235505,0.02753,0.029118,0.070084,0.032134138,0.004995948290860905,0.02969475,0.0301215,0.0333355,0.435044,2.299249,0.540964255,0.14981535870753698,0.4641135,0.5040405,0.5945095,0.087282,0.242624,0.103066928,0.016791161919855815,0.09075075,0.094489,0.1138055,0.025735,0.070826,0.030299515,0.005424665926282927,0.0268175,0.027767,0.03281625,0.038837,0.126391,0.046202616,0.009795150103624957,0.039998,0.042159,0.05115175,0.005353,0.019964,0.006650729,0.0017094268125775378,0.00557475,0.0060555,0.00709675,0.01624,0.051097,0.019342928,0.0038890287958327076,0.01690075,0.0174955,0.0208785,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0
BilateralLagrangianConstraint_UGS,0.046178,1.673044,0.081053593,0.11637463147128481,0.0540615,0.0687395,0.080939,0.129629,0.284499,0.14250946,0.015397763856560472,0.13464975,0.137365,0.143511,0.001877,0.022378,0.00251986475,0.0012193139374080154,0.002072,0.002168,0.00299,0.003987,0.024914,0.00506382975,0.0015991776379642559,0.004345,0.0045655,0.00577625,0.000391,0.020778,0.0007636125,0.0007336111796065747,0.000481,0.000538,0.00099425,0.000391,0.020778,0.0007636125,0.0007336111796065747,0.000481,0.000538,0.00099425,0.022805,0.062868,0.024320752,0.003486815117911473,0.023361,0.0235555,0.023757,0.029254,0.085159,0.031229642,0.004932242926482433,0.02969475,0.029923,0.031035,0.452819,2.377853,0.519277018,0.1396896515007095,0.47468425,0.5017345,0.5279815,0.099615,0.216198,0.123105937,0.016979998124588558,0.11106275,0.121225,0.12746025,0.025784,0.070324,0.02813289,0.004654628956845003,0.02665875,0.0270745,0.027577,0.044449,0.126734,0.047895434,0.007459096864208427,0.04527375,0.0457195,0.0466875,0.00844,0.082215,0.027754853,0.010374641142101784,0.01935175,0.028671,0.033327,0.01668,0.053501,0.018749597000000003,0.0038120457453434367,0.017213,0.0174535,0.01799725,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0
FrictionContact_LCP_with_friction,0.04052,1.450333,0.08216195600000001,0.09670648076328735,0.075073,0.075685,0.07655625,0.042015,0.131174,0.053840674,0.007627481616872243,0.052848,0.0531785,0.05361,0.002933,0.020187,0.004118569999999999,0.0010217430768544506,0.004001,0.00407,0.00414125,0.005789,0.024315,0.007673169,0.0014962271774162505,0.007483,0.0075705,0.007679,0.000839,0.018543,0.001171349,0.0009398738687712302,0.000975,0.001007,0.001036,0.000839,0.018543,0.001171349,0.0009398738687712302,0.000975,0.001007,0.001036,0.007174,0.025524,0.010403475,0.0016074287210868792,0.0103645,0.010485,0.01061625,0.011758,0.04626,0.014718667999999999,0.0018270890639966075,0.01457175,0.014714,0.014868,0.147238,1.737415,0.24320175200000002,0.10753012171634745,0.236687,0.2395555,0.24216425,0.012512,0.119821,0.03730416,0.00984183136608223,0.038147,0.038639,0.0394055,0.001999,0.02027,0.0031305390000000003,0.001091946397255378,0.002944,0.0030075,0.00307125,0.007179,0.051797,0.01630947,0.004161272960417281,0.016209,0.0163905,0.01657125,0.001577,0.092648,0.015955033,0.006320718639989523,0.017099,0.017391,0.01757,0.000982,0.004571,0.001409717,0.0005120312714190414,0.00127775,0.0013225,0.00137125,0.0,1.2,0.48,0.5878775382679627,0.0,0.0,1.2
FrictionContact_LCP_without_friction,0.040674,1.465199,0.098828498,0.09818033279372196,0.07580375,0.103558,0.105123,0.042267,0.164916,0.055037584,0.009548935807981117,0.053017,0.0538105,0.05460025,0.002954,0.024565,0.004250982,0.0015820853073320665,0.00407475,0.004149,0.004217,0.005846,0.049707,0.007894219,0.002305002692197777,0.00752775,0.0076315,0.00779125,0.000802,0.021953,0.001269373,0.0014330900662104247,0.001003,0.001035,0.00107525,0.000802,0.021953,0.001269373,0.0014330900662104247,0.001003,0.001035,0.00107525,0.007222,0.042713,0.010565529,0.0025060692486759016,0.01038175,0.0105085,0.010634,0.011784,0.043503,0.014734737,0.0020260828442664925,0.014437,0.0145815,0.01474625,0.147933,1.732274,0.252119025,0.10992068897055901,0.22566575,0.2571735,0.263229,0.012317,0.10245,0.027709117999999998,0.007269527552466942,0.0251335,0.0291155,0.02965325,0.00199,0.020565,0.003119743,0.0009820658760750216,0.002945,0.00303,0.003102,0.007164,0.071718,0.015235038000000001,0.00430603550154385,0.014542,0.015321,0.015606,0.00159,0.026828,0.007374789,0.002930117698400356,0.005752,0.0088695,0.00909325,0.001007,0.016167,0.001446952,0.0008109031641916315,0.00125,0.001333,0.00139425,0.0,1.2,0.24,0.48,0.0,0.0,0.0
FixedProjectiveConstraint,0.008966,0.152221,0.010729318,0.009804020185356414,0.009333,0.009488,0.00976325,1.094545,1.321916,1.129901639,0.027965949734537518,1.11012325,1.1215975,1.14142025,0.067012,0.127731,0.069625455,0.006249036291459268,0.06730725,0.067582,0.0706655,0.037318,0.078469,0.038928515,0.004484376421284792,0.03769075,0.0379055,0.038184,0.000717,0.009595,0.000895341,0.0004980937489258423,0.000809,0.0008435,0.00089125,0.978649,1.19765,1.010912051,0.02362798930189361,0.994448,1.002586,1.0228765,0.012521,0.033373,0.013187749,0.0016802873974409854,0.012739,0.012811,0.01289525,0.013521,0.041782,0.01419374,0.0019460234285331715,0.013786,0.0138775,0.014002,1.143345,1.513262,1.1821501829999999,0.03425661371422328,1.16095375,1.173208,1.19382075,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FEMBAR_EigenSimplicialLDLT,0.000279,0.00287,0.000348818,0.00010000369431176029,0.000315,0.00033,0.00035625,2.502087,5.138407,2.568830749,0.19472957294694096,2.51744425,2.5378905,2.57043925,0.051624,0.092828,0.053096345,0.0037538856487611605,0.05196475,0.052159,0.05252275,0.043879,0.083332,0.045848252,0.0046284954162768704,0.044361,0.044904,0.045192,0.690306,2.132139,0.712336645,0.09908049910479345,0.6958755,0.6984165,0.71540225,1.702391,2.833447,1.748470744,0.10893590213772714,1.711643,1.727003,1.7536385,0.001158,0.012216,0.001343684,0.00048325491838573147,0.001257,0.001295,0.00136,0.005987,0.015867,0.006519265999999999,0.0006056248898815175,0.006312,0.006424,0.0065765,2.518263,5.187672,2.586687484,0.1967763298812582,2.53488225,2.555427,2.58836825,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FEMBAR_EigenSimplicialLLT,0.000273,0.002638,0.000353248,9.35450078625257e-05,0.000323,0.000342,0.000364,2.631283,5.166559,2.719094068,0.19026070603550638,2.6775345,2.6962845,2.7139285,0.051717,0.100936,0.054041644,0.005317452618055379,0.05233475,0.0526035,0.053435,0.044115,0.102364,0.046186422,0.005502927273907589,0.04455675,0.0448695,0.0451695,0.690492,2.05508,0.72045414,0.09206667405937068,0.696883,0.7120205,0.72740575,1.828361,2.94945,1.8890301939999998,0.1101916799327443,1.85636525,1.8711915,1.892902,0.001198,0.011271,0.0013648689999999999,0.00033759154586422924,0.001299,0.001339,0.001384,0.006055,0.027323,0.006715484999999999,0.0016291254057852634,0.00634575,0.006472,0.00663625,2.647649,5.213123,2.737462319,0.1923271570833491,2.69551225,2.7144495,2.73281775,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1.2,0.48,0.5878775382679627,0.0,0.0,1.2
FEMBAR_EigenSparseLU,0.000308,0.019763,0.000456132,0.0008772500923773104,0.00038,0.000407,0.000427,3.353468,5.989311,3.458732839,0.19838717568185468,3.3970405,3.436573,3.46905175,0.0536,0.114265,0.056393697,0.00521932978007627,0.0544895,0.055145,0.056037,0.044734,0.098586,0.047106135,0.005031520457553064,0.045517,0.0459975,0.04671825,0.695945,1.990208,0.729371981,0.088599913771,0.70394575,0.7205965,0.73349825,2.536377,3.841937,2.6144976140000002,0.1210186046717322,2.567797,2.5969755,2.623633,0.001319,0.015359,0.001710866,0.0008220057080361425,0.00152175,0.0016185,0.00174625,0.007158,0.029565,0.008113277,0.0014697274877578496,0.00762475,0.0078695,0.00816425,3.374454,6.039925,3.48065123,0.20051829987353048,3.41938675,3.458274,3.491609,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0
