SceneName,CollisionDetection_min,CollisionDetection_max,CollisionDetection_mean,CollisionDetection_std,CollisionDetection_quartile1,CollisionDetection_quartile2,CollisionDetection_quartile3,CollisionDetection_cardinality,ODESolve_min,ODESolve_max,ODESolve_mean,ODESolve_std,ODESolve_quartile1,ODESolve_quartile2,ODESolve_quartile3,ODESolve_cardinality,ComputeForce_min,ComputeForce_max,ComputeForce_mean,ComputeForce_std,ComputeForce_quartile1,ComputeForce_quartile2,ComputeForce_quartile3,ComputeForce_cardinality,ComputeRHTerm_min,ComputeRHTerm_max,ComputeRHTerm_mean,ComputeRHTerm_std,ComputeRHTerm_quartile1,ComputeRHTerm_quartile2,ComputeRHTerm_quartile3,ComputeRHTerm_cardinality,setSystemMBKMatrix_min,setSystemMBKMatrix_max,setSystemMBKMatrix_mean,setSystemMBKMatrix_std,setSystemMBKMatrix_quartile1,setSystemMBKMatrix_quartile2,setSystemMBKMatrix_quartile3,setSystemMBKMatrix_cardinality,MBKSolve_min,MBKSolve_max,MBKSolve_mean,MBKSolve_std,MBKSolve_quartile1,MBKSolve_quartile2,MBKSolve_quartile3,MBKSolve_cardinality,ProjectAndMechaMap_min,ProjectAndMechaMap_max,ProjectAndMechaMap_mean,ProjectAndMechaMap_std,ProjectAndMechaMap_quartile1,ProjectAndMechaMap_quartile2,ProjectAndMechaMap_quartile3,ProjectAndMechaMap_cardinality,UpdateBBox_min,UpdateBBox_max,UpdateBBox_mean,UpdateBBox_std,UpdateBBox_quartile1,UpdateBBox_quartile2,UpdateBBox_quartile3,UpdateBBox_cardinality,TimeStep_min,TimeStep_max,TimeStep_mean,TimeStep_std,TimeStep_quartile1,TimeStep_quartile2,TimeStep_quartile3,TimeStep_cardinality,SolveConstraint_min,SolveConstraint_max,SolveConstraint_mean,SolveConstraint_std,SolveConstraint_quartile1,SolveConstraint_quartile2,SolveConstraint_quartile3,SolveConstraint_cardinality,PrepareState_min,PrepareState_max,PrepareState_mean,PrepareState_std,PrepareState_quartile1,PrepareState_quartile2,PrepareState_quartile3,PrepareState_cardinality,BuildSystem_min,BuildSystem_max,BuildSystem_mean,BuildSystem_std,BuildSystem_quartile1,BuildSystem_quartile2,BuildSystem_quartile3,BuildSystem_cardinality,SolveSystem_min,SolveSystem_max,SolveSystem_mean,SolveSystem_std,SolveSystem_quartile1,SolveSystem_quartile2,SolveSystem_quartile3,SolveSystem_cardinality,ApplyCorrection_min,ApplyCorrection_max,ApplyCorrection_mean,ApplyCorrection_std,ApplyCorrection_quartile1,ApplyCorrection_quartile2,ApplyCorrection_quartile3,ApplyCorrection_cardinality,CPUUsage_min,CPUUsage_max,CPUUsage_mean,CPUUsage_std,CPUUsage_quartile1,CPUUsage_quartile2,CPUUsage_quartile3,CPUUsage_cardinality
fallingBeamLagrangianCollision,0.337134,0.434869,0.3596147176470588,0.01662282441063923,0.347457,0.353387,0.3665625,255,11.530639,13.206086,12.028879207843138,0.2665654501975003,11.8820245,12.04538,12.1882855,255,0.28326,0.368398,0.29711430588235294,0.01479604437336523,0.285704,0.293395,0.3024385,255,0.136762,0.21565,0.1565209411764706,0.019027180269197527,0.137998,0.154564,0.1706785,255,3.590691,3.848386,3.6956806039215686,0.0460401355681466,3.6620515,3.689765,3.7275015,255,3.590691,3.848386,3.6956806039215686,0.0460401355681466,3.6620515,3.689765,3.7275015,255,0.022705,0.047174,0.025192741176470586,0.0030760061672326857,0.023717,0.024175,0.026153,255,0.052334,0.088012,0.05647958823529412,0.004357237996247167,0.0544955,0.055126,0.057523,255,39.672525,54.151838,47.17415674117647,2.0627004291117146,47.183089,47.579226,47.9662735,255,27.166063,41.450597,34.60482743921569,2.08541385644026,34.9406035,35.099876,35.3118165,255,0.020389,0.048994,0.022800239215686274,0.0032587043740845557,0.0218275,0.022212,0.022771,255,21.738824,28.199434,22.076476505882354,0.9700286481583806,21.854424,21.894034,21.9657305,255,4.889659,13.137792,12.08654211764706,1.7731801375614253,12.653856,12.766093,12.9353885,255,0.390331,0.485361,0.415874862745098,0.017003619708548114,0.4050675,0.413072,0.421503,255,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
SofaScene,8.991606,13.765981,9.304417812535611,0.29008106987862914,9.121603,9.199076,9.436351,1755,8.700967,13.379532,8.996905024501425,0.2876414621081275,8.8169185,8.884459,9.129235,1755,0.004691,0.661556,0.174345898005698,0.1692763533718826,0.03023425,0.118536,0.27991675,10530,0.006235,0.304202,0.07607374767331435,0.07306606022640341,0.01333925,0.0610815,0.1057735,10530,0.034932,5.48213,1.1569947849952515,1.1937115536633138,0.084441,0.886943,1.7316795,10530,0.034932,5.48213,1.1569947849952515,1.1937115536633138,0.084441,0.886943,1.7316795,10530,0.096591,0.208974,0.10953609629629629,0.011572028752457672,0.102691,0.105401,0.1133175,1755,0.132385,0.230992,0.14341351282051282,0.010895683500013053,0.137333,0.139773,0.145883,1755,24.065771,44.633584,30.787262934472935,3.6679646708209828,28.410179,30.231729,32.491664,1755,14.499559,34.52502,20.976661664957266,3.6335585182110615,18.6189075,20.458925,22.789216,1755,0.071376,0.135646,0.08162616695156695,0.00824285404498254,0.0775375,0.080138,0.0823495,1755,13.677112,33.763455,20.151312250712248,3.546166331022473,17.858028,19.610267,21.9666425,1755,0.099706,0.629027,0.2516494022792023,0.10287867233627779,0.1938655,0.223798,0.2793065,1755,0.431722,0.639607,0.48988618176638177,0.028795708812578532,0.4705805,0.483074,0.505723,1755,0.0,1.2,0.48,0.5878775382679627,0.0,0.0,1.2,5
BilateralLagrangianConstraint_NNCG,0.038389,1.846726,0.10749937,0.12380916875858224,0.05458275,0.0923455,0.12413225,1000,0.126486,0.288237,0.144026989,0.018246239216640755,0.13140725,0.1362135,0.1543955,1000,0.001919,0.020169,0.0026230775,0.001005890386917854,0.00210475,0.002219,0.003013,4000,0.004013,0.037251,0.005118236,0.0016334192594995322,0.004272,0.004431,0.0056945,4000,0.000353,0.155071,0.00075298475,0.002538774936562404,0.00044,0.000493,0.000918,4000,0.000353,0.155071,0.00075298475,0.002538774936562404,0.00044,0.000493,0.000918,4000,0.019954,0.062538,0.023044732,0.004031369603766938,0.020616,0.021108,0.02469,1000,0.027512,0.072102,0.030291689,0.00451740287424965,0.0280775,0.028548,0.0315055,1000,0.420323,2.442632,0.522331278,0.15228724758828205,0.4507275,0.483416,0.5766155,1000,0.084605,0.169769,0.099292289,0.015246332906226304,0.0878045,0.091577,0.10999,1000,0.024867,0.085598,0.029199065,0.0060643614403146345,0.0258265,0.0264855,0.03139225,1000,0.037348,0.10022,0.044160933,0.007984162429241467,0.038542,0.04072,0.04973325,1000,0.005257,0.02132,0.006413734999999999,0.0015475913539352046,0.00549775,0.005644,0.00697175,1000,0.016016,0.036866,0.018978023,0.0031862254468996696,0.01661575,0.017374,0.0206275,1000,0.0,1.2,0.24,0.48,0.0,0.0,0.0,5
BilateralLagrangianConstraint_PGS,0.037353,1.866465,0.10908039900000001,0.12471342960524259,0.0542245,0.0948115,0.12538,1000,0.124173,0.282842,0.144988056,0.017949150123024324,0.13182275,0.1377,0.1564215,1000,0.001918,0.022387,0.00260964675,0.0011072368321476836,0.002098,0.002225,0.003012,4000,0.003991,0.029329,0.00526714275,0.0016583774915176694,0.004332,0.00461,0.005812,4000,0.000328,0.021878,0.000707718,0.0007906642460463228,0.000431,0.000476,0.0008865,4000,0.000328,0.021878,0.000707718,0.0007906642460463228,0.000431,0.000476,0.0008865,4000,0.019985,0.058577,0.023167451000000002,0.004097465440439858,0.02065475,0.0210745,0.0249345,1000,0.027588,0.072654,0.030585,0.005022677453510229,0.02823,0.028648,0.031637,1000,0.420398,2.563957,0.528983264,0.15529208964908775,0.452545,0.489501,0.58193425,1000,0.085409,0.246936,0.10130203900000001,0.017296055741916394,0.0885215,0.0927065,0.11166075,1000,0.025216,0.069476,0.029444507,0.0054370128771183725,0.02613625,0.0268265,0.03187275,1000,0.037847,0.137138,0.045212222999999996,0.009743207225101547,0.0388175,0.0414225,0.04999825,1000,0.005298,0.063534,0.0067833519999999994,0.002804951680527848,0.005581,0.005958,0.00703825,1000,0.016207,0.060537,0.019323765,0.00409113540741137,0.016805,0.0174875,0.02077525,1000,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
BilateralLagrangianConstraint_UGS,0.033469,1.711866,0.080254574,0.11723134545254747,0.05271125,0.0673895,0.0801915,1000,0.127329,0.24479,0.138780002,0.01364732450900161,0.13180225,0.1339795,0.1378845,1000,0.00196,0.018249,0.00251213625,0.0011328574809683421,0.002099,0.0021865,0.00289525,4000,0.004116,0.022965,0.00496849025,0.0015020478720416796,0.00434,0.0044485,0.005675,4000,0.000377,0.017821,0.0007442190000000001,0.0008186019109060275,0.000466,0.000515,0.00093,4000,0.000377,0.017821,0.0007442190000000001,0.0008186019109060275,0.000466,0.000515,0.00093,4000,0.020122,0.057753,0.021597607,0.0035096220167634864,0.020581,0.020765,0.020954,1000,0.027849,0.075012,0.029820447,0.0051644750084777254,0.028316,0.0284775,0.02871125,1000,0.439216,2.32429,0.504557441,0.13742664489464376,0.4672025,0.487565,0.508023,1000,0.097599,0.20874,0.12137672599999999,0.016348332966297327,0.109703,0.119461,0.1261965,1000,0.025154,0.062274,0.027829719,0.005581233505779793,0.025884,0.0261605,0.02655225,1000,0.043264,0.105378,0.046495786,0.006806466081910936,0.043907,0.044265,0.0451175,1000,0.008887,0.069654,0.027904828000000003,0.009817216203507794,0.0194885,0.029184,0.033668,1000,0.016638,0.048535,0.018583626,0.003588428453254154,0.0170905,0.0173515,0.01788125,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
FrictionContact_LCP_with_friction,0.040418,1.566575,0.08444881200000001,0.09891770270997328,0.07543075,0.076102,0.079546,1000,0.040775,0.124127,0.05396508999999999,0.009335673304368571,0.0514955,0.052065,0.05292425,1000,0.00292,0.02309,0.004261779,0.0015289827082602993,0.004063,0.00414,0.00422725,1000,0.005674,0.024526,0.007742303,0.00198169476791735,0.00743875,0.0075305,0.00763325,1000,0.000757,0.010544,0.001021081,0.0004699976557803241,0.000942,0.000972,0.001002,1000,0.000757,0.010544,0.001021081,0.0004699976557803241,0.000942,0.000972,0.001002,1000,0.006102,0.03539,0.009482938,0.00215423107909899,0.009251,0.009381,0.00954025,1000,0.011126,0.041912,0.014308053,0.002683165588291375,0.013886,0.014015,0.01416825,1000,0.142944,1.799539,0.244759873,0.10879301152323559,0.2342255,0.2367955,0.25016125,1000,0.012139,0.173975,0.037832269,0.011508058343466937,0.03784275,0.0382575,0.03946375,1000,0.002081,0.019824,0.003106976,0.001412276042218376,0.00290975,0.002973,0.003042,1000,0.00677,0.14173,0.016220297,0.005797677791736189,0.01586275,0.0160545,0.01625,1000,0.00156,0.07536,0.016292185,0.006712485227601994,0.01716675,0.0173945,0.01759325,1000,0.000994,0.011741,0.00142655,0.0008053121006789853,0.00127,0.001314,0.00135625,1000,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
FrictionContact_LCP_without_friction,0.031577,1.559865,0.100720921,0.10020613641887785,0.076717,0.103545,0.10936975,1000,0.040211,0.134485,0.05330885,0.00868912390839836,0.0510675,0.051527,0.05244225,1000,0.002906,0.021325,0.004210339,0.001401332263982743,0.004037,0.0041285,0.00422,1000,0.005645,0.024903,0.007647437,0.0019133403691008561,0.007363,0.0074765,0.007568,1000,0.000686,0.01657,0.001132055,0.0012714376948852037,0.000945,0.000978,0.001006,1000,0.000686,0.01657,0.001132055,0.0012714376948852037,0.000945,0.000978,0.001006,1000,0.00604,0.067282,0.00948128,0.0031313784072832846,0.009093,0.009249,0.00942825,1000,0.011035,0.045564,0.014227986000000001,0.0030331247013276595,0.0137075,0.0138505,0.01399925,1000,0.14192,1.786988,0.250653774,0.11008568949139996,0.22190125,0.254266,0.2602235,1000,0.012083,0.092489,0.027759871999999998,0.007631591612476129,0.0247935,0.0287945,0.02934825,1000,0.002052,0.014234,0.003070568,0.0010927144308445827,0.002906,0.002972,0.003036,1000,0.006782,0.061677,0.014936583,0.004572207203212799,0.01413775,0.014842,0.01517925,1000,0.001545,0.041617,0.007497093,0.003256001668051016,0.00583275,0.008936,0.009203,1000,0.000959,0.02618,0.001449471,0.0013174087190993536,0.00122,0.001292,0.001349,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
FixedProjectiveConstraint,0.008429,0.12983,0.010245923,0.008404378135416744,0.00880575,0.008985,0.009566,1000,1.096206,1.306456,1.130896155,0.02423868059942568,1.112009,1.1281385,1.139277,1000,0.066908,0.118901,0.069534549,0.006890313309247918,0.067305,0.0674265,0.06762025,1000,0.037221,0.076337,0.038951559999999996,0.004832282352925996,0.037599,0.037769,0.038125,1000,0.000653,0.010762,0.000941062,0.0006661351575738965,0.00077,0.000816,0.000877,1000,0.983401,1.145914,1.013632101,0.020776853157896624,0.996833,1.013217,1.02315025,1000,0.002746,0.020685,0.002988124,0.0005964451296003681,0.00287775,0.002925,0.003025,1000,0.00846,0.0216,0.009016225000000001,0.0011072964789860934,0.00874275,0.008855,0.008962,1000,1.129086,1.483993,1.167364563,0.02987233952050008,1.14869225,1.16294,1.174737,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
FEMBAR_EigenSimplicialLDLT,0.000284,0.00095,0.000330447,4.86366856498261e-05,0.000309,0.000322,0.00034,1000,2.513148,5.145144,2.596253754,0.19850040392216708,2.54981825,2.572066,2.59144,1000,0.051739,0.110331,0.054198227,0.005266553395862517,0.05237875,0.0527185,0.05415675,1000,0.044157,0.093061,0.046630582999999996,0.005548242161001176,0.044665,0.0448435,0.04734925,1000,0.688535,2.15724,0.716842882,0.10171617627904656,0.6943695,0.7008245,0.72399025,1000,1.710651,2.859678,1.7710140460000001,0.11251561393187118,1.737641,1.7505745,1.775711,1000,0.001173,0.01219,0.001401231,0.0006541817787427283,0.001299,0.0013375,0.001389,1000,0.005882,0.02641,0.006632499,0.001643740988111874,0.00624275,0.006385,0.00654725,1000,2.529659,5.195153,2.6145747409999998,0.201154973746507,2.56877475,2.59013,2.61029075,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1.2,0.48,0.5878775382679627,0.0,0.0,1.2,5
FEMBAR_EigenSimplicialLLT,0.000272,0.000896,0.00032706,4.8180809457708364e-05,0.000305,0.0003185,0.000336,1000,2.61046,5.041535,2.6941864279999996,0.19075670955803578,2.634057,2.673029,2.69699975,1000,0.051658,0.10574,0.053663472000000004,0.005367614401502404,0.052046,0.052355,0.05281725,1000,0.043853,0.11417,0.045712351000000005,0.005603113311525924,0.0442485,0.044573,0.0448305,1000,0.688628,1.97166,0.716552018,0.08927672712580627,0.69534025,0.702489,0.724179,1000,1.812327,2.958284,1.8707407169999999,0.11574321073261667,1.8255175,1.850988,1.8774655,1000,0.001135,0.021154,0.001368097,0.0009560413712758458,0.001249,0.001289,0.00134425,1000,0.005992,0.026195,0.006676674,0.0014327985377309681,0.00630375,0.0064385,0.00661775,1000,2.626701,5.09117,2.7123850959999998,0.19308834266918545,2.65244275,2.691061,2.71524725,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1.2,0.24,0.48,0.0,0.0,0.0,5
