SceneName,CollisionDetection_min,CollisionDetection_max,CollisionDetection_mean,CollisionDetection_std,CollisionDetection_quartile1,CollisionDetection_quartile2,CollisionDetection_quartile3,CollisionDetection_cardinality,ODESolve_min,ODESolve_max,ODESolve_mean,ODESolve_std,ODESolve_quartile1,ODESolve_quartile2,ODESolve_quartile3,ODESolve_cardinality,ComputeForce_min,ComputeForce_max,ComputeForce_mean,ComputeForce_std,ComputeForce_quartile1,ComputeForce_quartile2,ComputeForce_quartile3,ComputeForce_cardinality,ComputeRHTerm_min,ComputeRHTerm_max,ComputeRHTerm_mean,ComputeRHTerm_std,ComputeRHTerm_quartile1,ComputeRHTerm_quartile2,ComputeRHTerm_quartile3,ComputeRHTerm_cardinality,setSystemMBKMatrix_min,setSystemMBKMatrix_max,setSystemMBKMatrix_mean,setSystemMBKMatrix_std,setSystemMBKMatrix_quartile1,setSystemMBKMatrix_quartile2,setSystemMBKMatrix_quartile3,setSystemMBKMatrix_cardinality,MBKSolve_min,MBKSolve_max,MBKSolve_mean,MBKSolve_std,MBKSolve_quartile1,MBKSolve_quartile2,MBKSolve_quartile3,MBKSolve_cardinality,ProjectAndMechaMap_min,ProjectAndMechaMap_max,ProjectAndMechaMap_mean,ProjectAndMechaMap_std,ProjectAndMechaMap_quartile1,ProjectAndMechaMap_quartile2,ProjectAndMechaMap_quartile3,ProjectAndMechaMap_cardinality,UpdateBBox_min,UpdateBBox_max,UpdateBBox_mean,UpdateBBox_std,UpdateBBox_quartile1,UpdateBBox_quartile2,UpdateBBox_quartile3,UpdateBBox_cardinality,TimeStep_min,TimeStep_max,TimeStep_mean,TimeStep_std,TimeStep_quartile1,TimeStep_quartile2,TimeStep_quartile3,TimeStep_cardinality,SolveConstraint_min,SolveConstraint_max,SolveConstraint_mean,SolveConstraint_std,SolveConstraint_quartile1,SolveConstraint_quartile2,SolveConstraint_quartile3,SolveConstraint_cardinality,PrepareState_min,PrepareState_max,PrepareState_mean,PrepareState_std,PrepareState_quartile1,PrepareState_quartile2,PrepareState_quartile3,PrepareState_cardinality,BuildSystem_min,BuildSystem_max,BuildSystem_mean,BuildSystem_std,BuildSystem_quartile1,BuildSystem_quartile2,BuildSystem_quartile3,BuildSystem_cardinality,SolveSystem_min,SolveSystem_max,SolveSystem_mean,SolveSystem_std,SolveSystem_quartile1,SolveSystem_quartile2,SolveSystem_quartile3,SolveSystem_cardinality,ApplyCorrection_min,ApplyCorrection_max,ApplyCorrection_mean,ApplyCorrection_std,ApplyCorrection_quartile1,ApplyCorrection_quartile2,ApplyCorrection_quartile3,ApplyCorrection_cardinality,CPUUsage_min,CPUUsage_max,CPUUsage_mean,CPUUsage_std,CPUUsage_quartile1,CPUUsage_quartile2,CPUUsage_quartile3,CPUUsage_cardinality
fallingBeamLagrangianCollision,0.337829,0.418237,0.35449501960784313,0.012902428663141629,0.3474755,0.351342,0.355529,255,11.760746,13.031167,12.258287937254902,0.23641401499240147,12.170343,12.288393,12.388294,255,0.282469,0.353689,0.292129768627451,0.0126132015601689,0.2849545,0.286637,0.2948645,255,0.135554,0.204214,0.1417525843137255,0.01044176992583478,0.1374935,0.138405,0.1402095,255,3.580523,4.043311,3.726161133333333,0.11260107162039201,3.660805,3.686747,3.763016,255,3.580523,4.043311,3.726161133333333,0.11260107162039201,3.660805,3.686747,3.763016,255,0.022358,0.033161,0.02397554117647059,0.0014567643427353932,0.0232795,0.023669,0.0241705,255,0.047064,0.092147,0.049978678431372554,0.004887936938247044,0.048569,0.049024,0.0496,255,39.930847,49.384705,47.17949943921569,1.7661851330791098,47.4569455,47.828127,48.039142,255,27.114369,36.671363,34.400520568627456,1.7973643235820225,35.0143365,35.100397,35.1817055,255,0.020555,0.053593,0.022258650980392158,0.0028008198127125834,0.0214625,0.021823,0.02224,255,21.719213,22.893327,21.880268011764706,0.0825204001204257,21.8372195,21.871307,21.9062315,255,4.858757,14.236535,12.079773811764706,1.800774384669112,12.7171445,12.789564,12.8480465,255,0.398993,0.506059,0.4158537843137255,0.01588143503852505,0.4074535,0.411457,0.4176175,255,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
SofaScene,8.977567,14.155592,9.330962432478632,0.3417207591063321,9.114103,9.221156,9.48841,1755,8.661289,13.803392,9.018818632478633,0.3346263685669346,8.8103685,8.903168,9.1612565,1755,0.004902,0.661636,0.17586411794871795,0.17120773656154056,0.02993625,0.12018,0.28281825,10530,0.006103,0.320762,0.08098776942070275,0.07789526286868048,0.014708,0.0584365,0.128319,10530,0.03535,5.693204,1.1698544895536562,1.2027536546847932,0.08648225,0.9801685,1.76224925,10530,0.03535,5.693204,1.1698544895536562,1.2027536546847932,0.08648225,0.9801685,1.76224925,10530,0.098384,0.192635,0.11414104444444445,0.012837256461570476,0.10472,0.108576,0.122003,1755,0.119672,0.216762,0.13169397549857548,0.010721365108524327,0.124799,0.128365,0.13468,1755,24.104419,41.462376,30.760547770370373,3.6910887524193536,28.263123,30.229608,32.463635,1755,14.371738,31.288311,20.92151238746439,3.6560661691076106,18.532094,20.36978,22.7309165,1755,0.070971,0.149889,0.0825702564102564,0.009005800660113202,0.077999,0.080222,0.085019,1755,13.540299,30.436872,20.085478576638177,3.5667284787435993,17.764554,19.541446,21.899378,1755,0.100736,0.666939,0.2563541396011396,0.10359540614400152,0.1980135,0.230017,0.284297,1755,0.436045,0.697854,0.4947941789173789,0.030104091445487972,0.474523,0.488564,0.509247,1755,0.0,1.2,0.96,0.48,1.2,1.2,1.2,5
BilateralLagrangianConstraint_NNCG,0.047504,1.787623,0.110749027,0.12526404942844643,0.057414,0.0960515,0.1259335,1000,0.124455,0.270536,0.14206107199999998,0.01879201990693965,0.128368,0.132396,0.1545695,1000,0.00183,0.022381,0.002573539,0.0012264227486796712,0.001992,0.002119,0.00297325,4000,0.004003,0.025256,0.00507254875,0.0015789712377441956,0.004205,0.004359,0.00567225,4000,0.000363,0.021557,0.00075893575,0.0008873657578033634,0.000463,0.000519,0.00093325,4000,0.000363,0.021557,0.00075893575,0.0008873657578033634,0.000463,0.000519,0.00093325,4000,0.020016,0.062842,0.022990076,0.0044541251159149085,0.020497,0.02079,0.02454925,1000,0.025094,0.076531,0.028137859,0.005228181798591074,0.02572225,0.026127,0.0290555,1000,0.419519,2.508675,0.526249006,0.1568153287833685,0.4516785,0.4860355,0.580031,1000,0.086422,0.219063,0.102950657,0.017597990594876194,0.0899595,0.094137,0.1135045,1000,0.025072,0.085555,0.02969275,0.006674107949643907,0.02612475,0.026824,0.03180375,1000,0.03948,0.1218,0.046746442000000006,0.009410817688842771,0.04036425,0.043067,0.05233625,1000,0.005325,0.029186,0.0066756440000000005,0.0023238272812892095,0.00553475,0.0056945,0.00705525,1000,0.015713,0.058016,0.019286409,0.004331778045989776,0.0165835,0.017479,0.02061975,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
BilateralLagrangianConstraint_PGS,0.025643,1.739132,0.109375002,0.12355076592706334,0.0532295,0.094508,0.12630525,1000,0.124407,0.235918,0.143845557,0.017413851531374414,0.13062,0.1369395,0.15563275,1000,0.001812,0.024218,0.0025381075,0.001144365379782065,0.001998,0.002108,0.002994,4000,0.003979,0.082885,0.005286582999999999,0.002076367502060028,0.004327,0.00459,0.005846,4000,0.000336,0.015788,0.0007434535,0.0007627928141623713,0.000465,0.000528,0.0008765,4000,0.000336,0.015788,0.0007434535,0.0007627928141623713,0.000465,0.000528,0.0008765,4000,0.019972,0.058562,0.023078751,0.004647351309617017,0.02049275,0.020793,0.024557,1000,0.025257,0.0649,0.028001973000000003,0.004643386744421684,0.025887,0.0262005,0.0290105,1000,0.41957,2.359239,0.528201676,0.1517593145970455,0.453544,0.487894,0.5826915,1000,0.08742,0.195545,0.103079789,0.016534336673434437,0.09025275,0.0948105,0.114843,1000,0.025198,0.068286,0.029335643,0.005292360995770318,0.026059,0.026802,0.0319605,1000,0.039553,0.10758,0.047236231,0.009422632802653354,0.04058875,0.0433695,0.05312,1000,0.005274,0.023486,0.006641412,0.0018546527481596118,0.005556,0.005969,0.0070265,1000,0.016198,0.050256,0.019278316,0.0040753165592557344,0.0168,0.0173495,0.02081,1000,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
BilateralLagrangianConstraint_UGS,0.037584,1.684743,0.080144644,0.11820340384919235,0.0526615,0.067251,0.0794875,1000,0.125326,0.237049,0.136145579,0.014500079498325484,0.12808125,0.130848,0.13419625,1000,0.001835,0.0431,0.00242388025,0.00142036330930151,0.001956,0.002036,0.002909,4000,0.003996,0.024768,0.004907121,0.00169826280294276,0.004203,0.00432,0.005641,4000,0.000338,0.012723,0.00071944775,0.0006697014202388536,0.00045,0.000509,0.000932,4000,0.000338,0.012723,0.00071944775,0.0006697014202388536,0.00045,0.000509,0.000932,4000,0.020124,0.061381,0.021554327,0.003658092221646551,0.02053675,0.020721,0.02092025,1000,0.025501,0.064233,0.026990571,0.003964291375638148,0.025903,0.026049,0.02623425,1000,0.437277,2.335548,0.501204444,0.13960110804731765,0.4597095,0.483027,0.5056015,1000,0.098999,0.230564,0.12227710700000001,0.016946378135741895,0.1100085,0.120192,0.12732675,1000,0.024832,0.06396,0.027301402,0.004404087611344261,0.025825,0.02619,0.02656425,1000,0.044821,0.124859,0.048494736,0.007894456898248543,0.045547,0.045958,0.04684825,1000,0.008886,0.087482,0.027759738000000003,0.010218948167563822,0.01926675,0.0288405,0.03325,1000,0.016203,0.052978,0.018189411,0.0033084305796070436,0.01685775,0.017068,0.01746825,1000,0.0,1.2,0.48,0.5878775382679627,0.0,0.0,1.2,5
FrictionContact_LCP_with_friction,0.03974,1.554718,0.083424441,0.1020352806842247,0.074744,0.0754115,0.0774155,1000,0.04012,0.146083,0.053042512,0.008351193212221593,0.05114275,0.0515265,0.05232675,1000,0.0028,0.023864,0.004182816,0.0015465428012648083,0.004013,0.004084,0.004147,1000,0.005666,0.031107,0.007669736,0.0019045676276530587,0.00741575,0.007505,0.00760725,1000,0.0007,0.012341,0.001028377,0.0005701769978445289,0.00094,0.000975,0.00100925,1000,0.0007,0.012341,0.001028377,0.0005701769978445289,0.00094,0.000975,0.00100925,1000,0.005977,0.037441,0.009484059999999999,0.0024418032939612475,0.009199,0.009358,0.00953,1000,0.009841,0.037371,0.012617378,0.002255715691109143,0.012256,0.0124055,0.012586,1000,0.140282,1.806636,0.241368046,0.11192979519337953,0.23093275,0.2340425,0.24843075,1000,0.011639,0.083839,0.038147555,0.010508371074194849,0.03856525,0.038963,0.04056575,1000,0.001986,0.024019,0.0031019679999999997,0.001427765722720643,0.00289375,0.002974,0.003072,1000,0.00669,0.048314,0.016802433000000002,0.004636767863664409,0.01669475,0.016829,0.0170105,1000,0.001606,0.055923,0.016065017,0.006328876500036243,0.01704075,0.0172535,0.01752725,1000,0.000928,0.016689,0.001402594,0.0008288276679527535,0.00127075,0.00131,0.001351,1000,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
FrictionContact_LCP_without_friction,0.040042,1.454729,0.09875993799999999,0.0977803828508467,0.0755495,0.103484,0.10528725,1000,0.039914,0.112153,0.053085254,0.008496352849869406,0.05086475,0.0513365,0.052319,1000,0.002781,0.021923,0.004202104,0.0015005059244081647,0.0040255,0.004101,0.00417625,1000,0.005748,0.029201,0.007653449,0.0018081641743489445,0.007417,0.007509,0.007615,1000,0.000741,0.020891,0.0010938800000000002,0.0013239907551036748,0.000918,0.000948,0.000983,1000,0.000741,0.020891,0.0010938800000000002,0.0013239907551036748,0.000918,0.000948,0.000983,1000,0.00609,0.034927,0.009417994,0.0023812119472999458,0.009175,0.009292,0.009443,1000,0.010009,0.045523,0.012647246,0.002703841496738298,0.01224775,0.012365,0.0124815,1000,0.140611,1.686888,0.247235927,0.10758235030920116,0.22019125,0.250391,0.25624525,1000,0.011958,0.082947,0.028694371,0.00782671381866994,0.02574475,0.0296205,0.03018875,1000,0.002021,0.021183,0.0031419349999999998,0.001503765489288473,0.002933,0.002993,0.00306625,1000,0.006801,0.05962,0.015816497,0.004685478676292424,0.015112,0.0158195,0.01610025,1000,0.0016,0.03114,0.0075477389999999995,0.003358595563457887,0.005862,0.008931,0.00914,1000,0.000968,0.015792,0.001445591,0.0011248343912412173,0.001214,0.00128,0.00135025,1000,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
FixedProjectiveConstraint,0.008365,0.158682,0.010315610000000001,0.00991103196210667,0.008674,0.008939,0.0092835,1000,1.099907,1.383632,1.1488866899999999,0.04065674512995229,1.12131375,1.137508,1.174282,1000,0.066708,0.117468,0.069519004,0.006582796007167774,0.06724575,0.067449,0.0693725,1000,0.037321,0.083213,0.039606762999999996,0.00545387460754563,0.03774275,0.0380445,0.0397865,1000,0.000642,0.007035,0.000935785,0.0006115876476638488,0.000777,0.000823,0.000868,1000,0.9844,1.268992,1.0308493109999999,0.036993297338359536,1.0068955,1.0201145,1.05527725,1000,0.002764,0.023914,0.003100835,0.0009814105408925463,0.00295975,0.003018,0.003085,1000,0.008079,0.027209,0.008635376,0.0013854658395731018,0.00831175,0.008415,0.0085725,1000,1.132885,1.505343,1.184991602,0.044917624811888664,1.155246,1.172816,1.2096315,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
FEMBAR_EigenSimplicialLDLT,0.000294,0.009483,0.000375691,0.00030745999986827547,0.000333,0.00035,0.000386,1000,2.505521,5.095097,2.588517946,0.19931538932841858,2.538727,2.563994,2.5859885,1000,0.05099,0.102317,0.054328607,0.006792536849848589,0.05228175,0.05255,0.0529435,1000,0.043206,0.085177,0.046087069,0.005152735897000641,0.04455175,0.044751,0.0457365,1000,0.687595,2.151301,0.714802002,0.10102954302440448,0.69287925,0.697111,0.721782,1000,1.708069,2.801429,1.765660383,0.11525953963318747,1.73243175,1.745802,1.768431,1000,0.001103,0.002898,0.001268598,0.0001356388307086138,0.001199,0.001241,0.001304,1000,0.006059,0.02376,0.006641742,0.0012422052324137104,0.00628775,0.006428,0.00663525,1000,2.522552,5.147018,2.6066290920000004,0.20172624236873482,2.556278,2.582308,2.6042015,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
FEMBAR_EigenSimplicialLLT,0.000287,0.000873,0.000354012,5.089938954447293e-05,0.000328,0.000347,0.000366,1000,2.606459,5.122331,2.693627647,0.1961494057357717,2.63429825,2.6712025,2.69884825,1000,0.051659,0.097319,0.054371781,0.0056222632740773534,0.05213075,0.0530605,0.05410025,1000,0.043984,0.083597,0.046448087,0.004945744429651719,0.04454475,0.044808,0.04771725,1000,0.687921,2.037624,0.7168479050000001,0.09405339900622399,0.6940285,0.70301,0.724825,1000,1.806942,2.976158,1.868383344,0.11754263305712385,1.82108025,1.8493765,1.875313,1000,0.001082,0.018491,0.001382885,0.0007826319120601971,0.001257,0.001302,0.001362,1000,0.005881,0.029578,0.006671257,0.0018436145624698781,0.00619,0.006367,0.00653975,1000,2.622427,5.173565,2.711963429,0.19948392493029846,2.651837,2.688447,2.716869,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
