SceneName,CollisionDetection_min,CollisionDetection_max,CollisionDetection_mean,CollisionDetection_std,CollisionDetection_quartile1,CollisionDetection_quartile2,CollisionDetection_quartile3,CollisionDetection_cardinality,ODESolve_min,ODESolve_max,ODESolve_mean,ODESolve_std,ODESolve_quartile1,ODESolve_quartile2,ODESolve_quartile3,ODESolve_cardinality,ComputeForce_min,ComputeForce_max,ComputeForce_mean,ComputeForce_std,ComputeForce_quartile1,ComputeForce_quartile2,ComputeForce_quartile3,ComputeForce_cardinality,ComputeRHTerm_min,ComputeRHTerm_max,ComputeRHTerm_mean,ComputeRHTerm_std,ComputeRHTerm_quartile1,ComputeRHTerm_quartile2,ComputeRHTerm_quartile3,ComputeRHTerm_cardinality,setSystemMBKMatrix_min,setSystemMBKMatrix_max,setSystemMBKMatrix_mean,setSystemMBKMatrix_std,setSystemMBKMatrix_quartile1,setSystemMBKMatrix_quartile2,setSystemMBKMatrix_quartile3,setSystemMBKMatrix_cardinality,MBKSolve_min,MBKSolve_max,MBKSolve_mean,MBKSolve_std,MBKSolve_quartile1,MBKSolve_quartile2,MBKSolve_quartile3,MBKSolve_cardinality,ProjectAndMechaMap_min,ProjectAndMechaMap_max,ProjectAndMechaMap_mean,ProjectAndMechaMap_std,ProjectAndMechaMap_quartile1,ProjectAndMechaMap_quartile2,ProjectAndMechaMap_quartile3,ProjectAndMechaMap_cardinality,UpdateBBox_min,UpdateBBox_max,UpdateBBox_mean,UpdateBBox_std,UpdateBBox_quartile1,UpdateBBox_quartile2,UpdateBBox_quartile3,UpdateBBox_cardinality,TimeStep_min,TimeStep_max,TimeStep_mean,TimeStep_std,TimeStep_quartile1,TimeStep_quartile2,TimeStep_quartile3,TimeStep_cardinality,SolveConstraint_min,SolveConstraint_max,SolveConstraint_mean,SolveConstraint_std,SolveConstraint_quartile1,SolveConstraint_quartile2,SolveConstraint_quartile3,SolveConstraint_cardinality,PrepareState_min,PrepareState_max,PrepareState_mean,PrepareState_std,PrepareState_quartile1,PrepareState_quartile2,PrepareState_quartile3,PrepareState_cardinality,BuildSystem_min,BuildSystem_max,BuildSystem_mean,BuildSystem_std,BuildSystem_quartile1,BuildSystem_quartile2,BuildSystem_quartile3,BuildSystem_cardinality,SolveSystem_min,SolveSystem_max,SolveSystem_mean,SolveSystem_std,SolveSystem_quartile1,SolveSystem_quartile2,SolveSystem_quartile3,SolveSystem_cardinality,ApplyCorrection_min,ApplyCorrection_max,ApplyCorrection_mean,ApplyCorrection_std,ApplyCorrection_quartile1,ApplyCorrection_quartile2,ApplyCorrection_quartile3,ApplyCorrection_cardinality,CPUUsage_min,CPUUsage_max,CPUUsage_mean,CPUUsage_std,CPUUsage_quartile1,CPUUsage_quartile2,CPUUsage_quartile3,CPUUsage_cardinality
fallingBeamLagrangianCollision,0.341744,0.413088,0.3557131843137255,0.013268466732103237,0.3464745,0.350763,0.3602905,255,11.696164,13.886453,12.214709298039217,0.25058035843807536,12.0298195,12.275222,12.3681525,255,0.284819,0.371211,0.296249862745098,0.0151482323724127,0.2867655,0.289431,0.298607,255,0.136763,0.18266,0.14208731764705884,0.008715015851463335,0.1379905,0.138948,0.140234,255,3.538093,3.964133,3.626996305882353,0.04662152764701871,3.5974825,3.623066,3.645923,255,3.538093,3.964133,3.626996305882353,0.04662152764701871,3.5974825,3.623066,3.645923,255,0.022555,0.053956,0.024707827450980394,0.003945006334848088,0.0234615,0.023827,0.0243305,255,0.046948,0.081903,0.05006453725490196,0.0044187630064799355,0.0486055,0.049068,0.049548,255,40.067983,54.265355,47.764246505882355,2.5863026947232255,47.5453615,47.945765,48.1813215,255,27.258028,41.457298,35.026849670588234,2.658342065901367,35.0569305,35.223544,35.3464825,255,0.020956,0.047943,0.022526882352941174,0.003042402056986428,0.0216615,0.021983,0.0223205,255,21.788224,28.2982,22.448265321568627,1.7861159310908648,21.8547025,21.88821,21.926426,255,4.897705,14.147555,12.132310360784315,1.8034567114819327,12.697547,12.838557,12.9722665,255,0.402274,0.506272,0.42120538823529413,0.01850690093002032,0.409502,0.413943,0.428365,255,0.0,1.2,0.48,0.5878775382679627,0.0,0.0,1.2,5
SofaScene,8.949874,13.428565,9.325151227920228,0.3362955245169973,9.101324,9.204234,9.491542,1755,8.659565,13.139839,9.016299305413105,0.3322213015661962,8.797377,8.893791,9.1747145,1755,0.00469,0.611337,0.17625016818613487,0.17171917588214383,0.02938325,0.1375395,0.280415,10530,0.006222,0.309016,0.08074803190883191,0.07802345760712891,0.0144415,0.0692765,0.12963525,10530,0.03615,5.388707,1.1639663509971512,1.1976087626352292,0.087664,0.888407,1.7554525,10530,0.03615,5.388707,1.1639663509971512,1.1976087626352292,0.087664,0.888407,1.7554525,10530,0.097492,0.199569,0.11177399886039886,0.012907176637696327,0.1035165,0.106297,0.1181165,1755,0.118331,0.304217,0.1306942433048433,0.011818480623253871,0.1241375,0.127079,0.1325245,1755,23.99666,41.159856,30.775595244444446,3.6768689020448733,28.3196095,30.267654,32.673186,1755,14.464698,31.154654,20.948957326495727,3.6394324152970134,18.616377,20.431253,22.734205,1755,0.072995,0.166452,0.08320555156695157,0.008948209208292743,0.0790005,0.081228,0.083642,1755,13.677456,30.36848,20.115420511680913,3.551431845494399,17.824769,19.59667,21.9008325,1755,0.101869,0.638159,0.2550623772079772,0.10356692661759549,0.197274,0.229412,0.281316,1755,0.435139,0.667327,0.49304736923076925,0.029967307389561673,0.472344,0.486293,0.508201,1755,0.0,1.2,0.48,0.5878775382679627,0.0,0.0,1.2,5
BilateralLagrangianConstraint_NNCG,0.048633,1.788493,0.109090651,0.1246280929918018,0.054887,0.092903,0.12495975,1000,0.124605,0.307619,0.142469983,0.019241282965403086,0.12830525,0.133263,0.15402075,1000,0.001823,0.024605,0.0025945685,0.001239678529219471,0.001992,0.0021105,0.003008,4000,0.004009,0.031834,0.00517561625,0.001705040068440017,0.00427975,0.004476,0.005733,4000,0.000331,0.022197,0.00076192975,0.0010148073345788045,0.000444,0.000501,0.00093,4000,0.000331,0.022197,0.00076192975,0.0010148073345788045,0.000444,0.000501,0.00093,4000,0.019958,0.061857,0.022989977999999998,0.004510778894549809,0.02047775,0.0207685,0.02456,1000,0.024974,0.06728,0.027993289,0.0046007292593108545,0.0258235,0.0262965,0.02897875,1000,0.419012,2.385647,0.524417252,0.15314042681976076,0.4501565,0.48475,0.57758275,1000,0.08701,0.21027,0.102872094,0.017260600546944012,0.089925,0.0941655,0.11358725,1000,0.02498,0.069456,0.029460625,0.006059976334803214,0.02590575,0.026696,0.031675,1000,0.039706,0.122695,0.047127052,0.009609862876092251,0.040586,0.0432855,0.052727,1000,0.005316,0.031087,0.006529546000000001,0.0020912018950555683,0.005512,0.005639,0.0069755,1000,0.016004,0.061812,0.019216838,0.004138275282017377,0.016673,0.017471,0.020691,1000,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
BilateralLagrangianConstraint_PGS,0.035255,1.740196,0.110455579,0.12173834823824317,0.05769,0.095749,0.127671,1000,0.125325,0.263612,0.143611962,0.017659786315314122,0.13002225,0.136545,0.15457375,1000,0.00186,0.021497,0.00255718925,0.0010683143481365572,0.002026,0.00215,0.003037,4000,0.004001,0.029258,0.005261071,0.0017070347311812378,0.004311,0.0046,0.00579025,4000,0.000336,0.017883,0.00072479125,0.0007876789464454648,0.000447,0.000507,0.000882,4000,0.000336,0.017883,0.00072479125,0.0007876789464454648,0.000447,0.000507,0.000882,4000,0.02009,0.056977,0.023085199,0.004053351228724079,0.02056575,0.02088,0.0247905,1000,0.025227,0.064846,0.02809014,0.004738992279208734,0.02588575,0.026271,0.02914375,1000,0.419388,2.394985,0.529471619,0.15139987053413168,0.4548975,0.4893185,0.58271675,1000,0.087026,0.192026,0.103285182,0.01639260699543779,0.0906885,0.0954125,0.11431025,1000,0.024931,0.063784,0.02935492,0.005089701049924249,0.02614575,0.0268755,0.0320715,1000,0.039577,0.10411,0.047152824,0.009054502504667166,0.040699,0.0434465,0.05287325,1000,0.005357,0.027944,0.006685928,0.0018094449012932114,0.0056035,0.006024,0.007069,1000,0.016163,0.057063,0.019520271000000002,0.004303147808007412,0.016899,0.0176265,0.02091975,1000,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
BilateralLagrangianConstraint_UGS,0.036688,1.833496,0.080840889,0.12224287025116302,0.05276075,0.0677765,0.08044025,1000,0.126213,0.271722,0.136606963,0.014097928119820692,0.12942675,0.1319155,0.135038,1000,0.001873,0.082936,0.00248324125,0.0017737605227449499,0.002017,0.002091,0.002922,4000,0.004013,0.04082,0.004916066,0.001656341482950904,0.004284,0.004391,0.00561725,4000,0.000326,0.021836,0.00074988575,0.0009856074975348643,0.00045,0.000502,0.00091,4000,0.000326,0.021836,0.00074988575,0.0009856074975348643,0.00045,0.000502,0.00091,4000,0.020165,0.051912,0.021594534,0.0033269062134126956,0.02053275,0.0208425,0.02112275,1000,0.025162,0.055044,0.026770167,0.003038996766551587,0.025782,0.0260035,0.026224,1000,0.437611,2.511293,0.502528632,0.1450535382743371,0.46182825,0.485266,0.50567525,1000,0.099144,0.233967,0.123339318,0.01730921279211958,0.1108085,0.121569,0.12854325,1000,0.0252,0.08656,0.027518309,0.004906858941269761,0.0259535,0.026307,0.026737,1000,0.044631,0.109798,0.048461572999999994,0.008115041832219413,0.045542,0.0459885,0.04689425,1000,0.00888,0.077647,0.028473837,0.010390395070661702,0.019713,0.029485,0.03427825,1000,0.016411,0.053525,0.018356953000000002,0.003631946049818334,0.016943,0.0171505,0.01765575,1000,0.0,1.2,0.48,0.5878775382679627,0.0,0.0,1.2,5
FrictionContact_LCP_with_friction,0.039811,1.520001,0.083960356,0.09907622033246559,0.07495175,0.075881,0.077167,1000,0.040125,0.137518,0.053403477,0.008791781176386898,0.05133075,0.0517285,0.05233225,1000,0.002868,0.021797,0.004208158,0.0014565998424536507,0.004057,0.004119,0.00418025,1000,0.005718,0.02956,0.0076772640000000005,0.0020684402467327887,0.007406,0.0074945,0.007592,1000,0.00075,0.015878,0.001060283,0.0007547060758407871,0.000947,0.000982,0.001016,1000,0.00075,0.015878,0.001060283,0.0007547060758407871,0.000947,0.000982,0.001016,1000,0.006053,0.041906,0.009583613999999999,0.002728204155301432,0.0092435,0.009393,0.00952725,1000,0.009844,0.036578,0.012722114999999999,0.0026461318553267525,0.012257,0.012377,0.01249,1000,0.141174,1.802774,0.243241063,0.10959100788068805,0.23161225,0.2343475,0.253645,1000,0.011921,0.175557,0.038755473,0.012279619094551384,0.03840875,0.0387935,0.041629,1000,0.002012,0.02205,0.003135583,0.0013980984003677994,0.00294275,0.003007,0.003078,1000,0.006723,0.048429,0.016935688999999997,0.005092611156398945,0.016613,0.016767,0.01695825,1000,0.001543,0.055436,0.016315463,0.006882581123577912,0.01701125,0.01721,0.017368,1000,0.000945,0.016162,0.00144694,0.001121395739424758,0.001254,0.001299,0.001346,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
FrictionContact_LCP_without_friction,0.040266,1.593158,0.09907974700000001,0.10154331571057247,0.07539125,0.103324,0.105116,1000,0.040204,0.106545,0.053289934000000004,0.008350975028081692,0.05088575,0.0516735,0.052911,1000,0.002838,0.020039,0.0041699250000000005,0.0013050756604024917,0.004014,0.0041,0.004203,1000,0.005744,0.025795,0.007738358,0.002084052989210207,0.00735575,0.00752,0.00764125,1000,0.000699,0.012945,0.001041381,0.0007877251626290734,0.000922,0.000956,0.000989,1000,0.000699,0.012945,0.001041381,0.0007877251626290734,0.000922,0.000956,0.000989,1000,0.00597,0.03311,0.009502528,0.0023138619736743156,0.0091825,0.0093795,0.00953025,1000,0.009798,0.041667,0.012743055,0.0026794736386042315,0.01221075,0.012346,0.01256825,1000,0.140315,1.827271,0.24856514600000001,0.11170801315620418,0.222293,0.2515995,0.25799575,1000,0.011954,0.09371,0.028830557,0.008098043564883495,0.025826,0.029542,0.03059975,1000,0.00199,0.018839,0.003044968,0.0010508634711398049,0.002898,0.002971,0.00305725,1000,0.006877,0.057812,0.016054073000000002,0.004942986524123953,0.0151355,0.015782,0.01638025,1000,0.001548,0.040079,0.007522026,0.0033760437433961073,0.0058,0.008921,0.0091585,1000,0.000954,0.010442,0.001389595,0.0006886484901421042,0.001218,0.001299,0.001369,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
FixedProjectiveConstraint,0.008334,0.144741,0.010124702,0.008883769965459259,0.008717,0.008949,0.009258,1000,1.100203,1.334477,1.1425741070000002,0.0440110410808646,1.106492,1.1300265,1.169495,1000,0.067176,0.120072,0.069603577,0.005649995200004244,0.06754875,0.067998,0.069669,1000,0.03742,0.087075,0.03929847,0.004435134438447159,0.037794,0.0380025,0.040387,1000,0.000632,0.004228,0.0008994539999999999,0.0004958212216958851,0.000766,0.000803,0.000844,1000,0.98505,1.180981,1.024947134,0.04028309791994707,0.99079225,1.015046,1.05097625,1000,0.002704,0.020162,0.0030154899999999996,0.0009185370324053352,0.002861,0.002929,0.00299625,1000,0.00797,0.029415,0.008641488999999999,0.001675262077371478,0.00824775,0.008398,0.00855125,1000,1.132535,1.560765,1.178419169,0.04817435358140718,1.14097975,1.1639665,1.20771925,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1.2,0.24,0.48,0.0,0.0,0.0,5
FEMBAR_EigenSimplicialLDLT,0.00028,0.001054,0.00033744099999999996,5.086305652435764e-05,0.000318,0.000331,0.000347,1000,2.505264,5.111193,2.580848048,0.201629254502311,2.521774,2.555183,2.58043825,1000,0.051982,0.099405,0.054696786,0.004864789361956384,0.0527475,0.0532025,0.0550085,1000,0.04373,0.096515,0.046017606,0.004910766943030794,0.0442145,0.044659,0.04541075,1000,0.689224,2.185531,0.715080677,0.1029272708390088,0.69501775,0.698687,0.72218475,1000,1.704021,2.776871,1.757586236,0.11556506984255364,1.716521,1.737838,1.762993,1000,0.001113,0.01421,0.001299315,0.00044242467356037,0.001228,0.001259,0.001302,1000,0.00597,0.021383,0.006622576,0.0009327428435662211,0.006309,0.006479,0.0067135,1000,2.52072,5.162746,2.598805992,0.20416096750954119,2.53914775,2.572653,2.597796,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
FEMBAR_EigenSimplicialLLT,0.000284,0.000896,0.000356843,5.07691870232329e-05,0.000336,0.000349,0.00036425,1000,2.610676,5.072975,2.6966679929999997,0.1923199972602874,2.6458845,2.674472,2.69772525,1000,0.051979,0.091267,0.054147816,0.005392904841747534,0.05236275,0.052806,0.053326,1000,0.044117,0.090172,0.045784246,0.005282633779799996,0.04438075,0.044526,0.044779,1000,0.688418,2.010961,0.714845043,0.0928538353857241,0.693767,0.6971185,0.72337275,1000,1.813149,2.929694,1.874348397,0.11473231161409322,1.83608325,1.85457,1.879153,1000,0.001117,0.021652,0.001366449,0.0009083275154915212,0.001253,0.001296,0.00135125,1000,0.00593,0.026233,0.006603246,0.0014736631126156343,0.006241,0.006373,0.006555,1000,2.626895,5.133076,2.714844786,0.1950086571944133,2.663527,2.6926585,2.71515425,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1.2,0.48,0.5878775382679627,0.0,0.0,1.2,5
