SceneName,CollisionDetection_min,CollisionDetection_max,CollisionDetection_mean,CollisionDetection_std,CollisionDetection_quartile1,CollisionDetection_quartile2,CollisionDetection_quartile3,CollisionDetection_cardinality,ODESolve_min,ODESolve_max,ODESolve_mean,ODESolve_std,ODESolve_quartile1,ODESolve_quartile2,ODESolve_quartile3,ODESolve_cardinality,ComputeForce_min,ComputeForce_max,ComputeForce_mean,ComputeForce_std,ComputeForce_quartile1,ComputeForce_quartile2,ComputeForce_quartile3,ComputeForce_cardinality,ComputeRHTerm_min,ComputeRHTerm_max,ComputeRHTerm_mean,ComputeRHTerm_std,ComputeRHTerm_quartile1,ComputeRHTerm_quartile2,ComputeRHTerm_quartile3,ComputeRHTerm_cardinality,setSystemMBKMatrix_min,setSystemMBKMatrix_max,setSystemMBKMatrix_mean,setSystemMBKMatrix_std,setSystemMBKMatrix_quartile1,setSystemMBKMatrix_quartile2,setSystemMBKMatrix_quartile3,setSystemMBKMatrix_cardinality,MBKSolve_min,MBKSolve_max,MBKSolve_mean,MBKSolve_std,MBKSolve_quartile1,MBKSolve_quartile2,MBKSolve_quartile3,MBKSolve_cardinality,ProjectAndMechaMap_min,ProjectAndMechaMap_max,ProjectAndMechaMap_mean,ProjectAndMechaMap_std,ProjectAndMechaMap_quartile1,ProjectAndMechaMap_quartile2,ProjectAndMechaMap_quartile3,ProjectAndMechaMap_cardinality,UpdateBBox_min,UpdateBBox_max,UpdateBBox_mean,UpdateBBox_std,UpdateBBox_quartile1,UpdateBBox_quartile2,UpdateBBox_quartile3,UpdateBBox_cardinality,TimeStep_min,TimeStep_max,TimeStep_mean,TimeStep_std,TimeStep_quartile1,TimeStep_quartile2,TimeStep_quartile3,TimeStep_cardinality,SolveConstraint_min,SolveConstraint_max,SolveConstraint_mean,SolveConstraint_std,SolveConstraint_quartile1,SolveConstraint_quartile2,SolveConstraint_quartile3,SolveConstraint_cardinality,PrepareState_min,PrepareState_max,PrepareState_mean,PrepareState_std,PrepareState_quartile1,PrepareState_quartile2,PrepareState_quartile3,PrepareState_cardinality,BuildSystem_min,BuildSystem_max,BuildSystem_mean,BuildSystem_std,BuildSystem_quartile1,BuildSystem_quartile2,BuildSystem_quartile3,BuildSystem_cardinality,SolveSystem_min,SolveSystem_max,SolveSystem_mean,SolveSystem_std,SolveSystem_quartile1,SolveSystem_quartile2,SolveSystem_quartile3,SolveSystem_cardinality,ApplyCorrection_min,ApplyCorrection_max,ApplyCorrection_mean,ApplyCorrection_std,ApplyCorrection_quartile1,ApplyCorrection_quartile2,ApplyCorrection_quartile3,ApplyCorrection_cardinality,CPUUsage_min,CPUUsage_max,CPUUsage_mean,CPUUsage_std,CPUUsage_quartile1,CPUUsage_quartile2,CPUUsage_quartile3,CPUUsage_cardinality
fallingBeamLagrangianCollision,0.341881,0.44401,0.35532758431372546,0.013532619134917465,0.3470305,0.351473,0.357915,255,11.828264,12.951828,12.371184321568627,0.2249294734170101,12.2042495,12.423882,12.5104535,255,0.281578,0.379306,0.2960409882352941,0.015797462967193865,0.2852125,0.287649,0.3013835,255,0.136882,0.209246,0.14551640784313724,0.012947886108881477,0.138476,0.139569,0.14537,255,3.604985,3.872094,3.7125291411764705,0.059939629126441574,3.6713565,3.705145,3.750353,255,3.604985,3.872094,3.7125291411764705,0.059939629126441574,3.6713565,3.705145,3.750353,255,0.02232,0.042287,0.02426947450980392,0.0018258591784544415,0.023474,0.02394,0.024327,255,0.04722,0.084669,0.04994498431372549,0.0038132975087121143,0.048674,0.04927,0.049976,255,40.245801,55.355478,49.08184892549019,3.075471555819728,47.8461725,48.156741,49.842085,255,27.262666,42.348796,36.18652747843137,3.0895589675728594,35.130834,35.260579,36.8245,255,0.020518,0.051487,0.02232182745098039,0.0032006170645293144,0.0214265,0.021835,0.022205,255,21.778786,28.351715,23.57847311372549,2.704172186589272,21.8633555,21.903778,27.7971235,255,4.94253,14.077794,12.165005054901961,1.7885534880912632,12.721241,12.865888,12.968703,255,0.395189,0.493546,0.4182035921568627,0.01663611880471657,0.4055935,0.411701,0.428258,255,0.0,1.2,0.48,0.5878775382679627,0.0,0.0,1.2,5
SofaScene,8.968479,13.934387,9.302078701994303,0.24625834972826255,9.1168535,9.242381,9.443947,1755,8.67327,13.583441,8.99571156011396,0.2396654844891144,8.815243,8.93323,9.137242,1755,0.004665,0.59238,0.17455860037986703,0.17039681569593929,0.02942675,0.120048,0.28234625,10530,0.006183,0.37745,0.07652148053181387,0.07310821759284716,0.014282,0.05995,0.106208,10530,0.035505,5.555353,1.1621658886989552,1.1951791073866267,0.0858105,0.890555,1.75069475,10530,0.035505,5.555353,1.1621658886989552,1.1951791073866267,0.0858105,0.890555,1.75069475,10530,0.096802,0.16856,0.11063590484330485,0.01130882560562367,0.1027585,0.1059,0.1188665,1755,0.11981,0.198458,0.13076088774928776,0.009182477783619136,0.1250565,0.127474,0.134631,1755,24.002771,41.816267,30.723901305982906,3.6925594239846955,28.284955,30.204124,32.4938495,1755,14.46216,31.543777,20.92435182222222,3.6567576350568243,18.5646115,20.385759,22.7582355,1755,0.073337,0.179044,0.0823483396011396,0.00827743515588523,0.078215,0.080708,0.0833735,1755,13.65013,30.747967,20.093780735042735,3.5651768071897285,17.790867,19.568103,21.92349,1755,0.100263,0.670337,0.25396734074074073,0.10392138196869734,0.195266,0.227866,0.2797875,1755,0.438889,0.628611,0.4920190843304843,0.028300871273869377,0.473896,0.486232,0.50608,1755,0.0,1.2,0.48,0.5878775382679627,0.0,0.0,1.2,5
BilateralLagrangianConstraint_NNCG,0.036971,1.842894,0.10851733,0.12691062815446585,0.05452275,0.0929205,0.12508575,1000,0.122515,0.247798,0.14111095699999998,0.018344139414514682,0.12729875,0.1319845,0.153336,1000,0.001839,0.020576,0.002557288,0.0010627374116196342,0.002008,0.002136,0.002935,4000,0.003967,0.027123,0.00509171275,0.0016927647013797982,0.004188,0.0043915,0.00565025,4000,0.000341,0.018637,0.00074085125,0.0008918281656930541,0.000438,0.000493,0.000893,4000,0.000341,0.018637,0.00074085125,0.0008918281656930541,0.000438,0.000493,0.000893,4000,0.019846,0.05542,0.022810035,0.0042256165268248136,0.020344,0.020701,0.02441825,1000,0.025398,0.077977,0.028341671,0.003992743007852998,0.0261775,0.026912,0.02964875,1000,0.414493,2.447116,0.521223307,0.15599895215975892,0.4474635,0.480965,0.57497725,1000,0.086567,0.22208,0.101690683,0.01686579100174406,0.089284,0.0933285,0.11260925,1000,0.024634,0.068976,0.029204844,0.005593489615406826,0.02584025,0.0266525,0.03175975,1000,0.03908,0.110572,0.046399805999999995,0.009441372415510576,0.0402075,0.042459,0.0518465,1000,0.005248,0.029789,0.006550055999999999,0.0021948573459029176,0.00547875,0.00562,0.00703,1000,0.015713,0.075575,0.018995958,0.004138206319196277,0.01649075,0.0172935,0.02044375,1000,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
BilateralLagrangianConstraint_PGS,0.037815,1.740894,0.107601333,0.12222497716489912,0.0534655,0.094329,0.12434575,1000,0.123305,0.254854,0.142223011,0.01647364492566472,0.12966575,0.1361105,0.15325025,1000,0.001849,0.018451,0.00254135275,0.0008713106830043103,0.002064,0.002191,0.00296225,4000,0.00396,0.025116,0.005242489249999999,0.0014679431087015727,0.004333,0.004711,0.005851,4000,0.000342,0.015571,0.00074458425,0.0007382046355191341,0.00046275,0.000548,0.00084275,4000,0.000342,0.015571,0.00074458425,0.0007382046355191341,0.00046275,0.000548,0.00084275,4000,0.019827,0.060251,0.022865896,0.004016071313508265,0.02051575,0.02084,0.0246695,1000,0.025364,0.079735,0.028302704,0.00472345854902782,0.02607375,0.0264925,0.02950425,1000,0.417656,2.384543,0.522547118,0.1528026123116947,0.44768975,0.4825535,0.57633,1000,0.087154,0.206938,0.10212860400000001,0.016498228449660403,0.0899555,0.0937155,0.11320875,1000,0.025169,0.067707,0.029327963,0.005146649713515677,0.02608025,0.026873,0.03195775,1000,0.039281,0.119358,0.046732878,0.009202052446879229,0.0404065,0.042954,0.05207475,1000,0.005231,0.024125,0.006600298,0.0018491477932269234,0.00549875,0.0058865,0.007022,1000,0.015917,0.055631,0.018931429,0.0034904622761117187,0.016636,0.0172095,0.02048675,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
BilateralLagrangianConstraint_UGS,0.038663,1.846004,0.080894584,0.12478956435165138,0.0532475,0.0676615,0.08009825,1000,0.124065,0.257362,0.13384643400000001,0.013851249755659018,0.12669375,0.130046,0.13311825,1000,0.001862,0.020049,0.0024178615,0.0010646659796939837,0.001997,0.002081,0.002879,4000,0.003953,0.025527,0.00488481825,0.0015709402177412537,0.004188,0.004344,0.005609,4000,0.000337,0.015157,0.000727461,0.0007288230899738289,0.00043775,0.000512,0.000926,4000,0.000337,0.015157,0.000727461,0.0007288230899738289,0.00043775,0.000512,0.000926,4000,0.019909,0.054182,0.021365779999999997,0.0033413394283729994,0.02039975,0.020596,0.020828,1000,0.025666,0.070217,0.027570656,0.004597752681872308,0.0262225,0.026416,0.02665625,1000,0.43294,2.482475,0.499723586,0.1487614333961817,0.460029,0.482144,0.5021245,1000,0.09771,0.279158,0.12226746000000001,0.017910908678802424,0.10981175,0.1202215,0.12709425,1000,0.024885,0.075787,0.027555201,0.005395571989381571,0.025792,0.026168,0.026602,1000,0.044565,0.152592,0.048440898999999996,0.008872640703015027,0.045518,0.0459655,0.04698125,1000,0.008736,0.070949,0.027699564,0.010034145074190627,0.01932175,0.0287185,0.03322575,1000,0.016177,0.051455,0.018042578,0.003376854420598555,0.0167195,0.0169375,0.017488,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
FrictionContact_LCP_with_friction,0.040378,1.641999,0.084201436,0.10147020297143347,0.0751075,0.075793,0.078242,1000,0.039684,0.129905,0.053546882,0.009692371658478435,0.050809,0.051343,0.053,1000,0.002854,0.02296,0.004229049,0.0015869602120403019,0.00403775,0.004104,0.004167,1000,0.005668,0.030801,0.007717155,0.002017153266109197,0.00731275,0.007424,0.007655,1000,0.000744,0.021343,0.001031095,0.000848629618841459,0.000919,0.000954,0.000988,1000,0.000744,0.021343,0.001031095,0.000848629618841459,0.000919,0.000954,0.000988,1000,0.006146,0.034722,0.009462432000000002,0.00236929868217918,0.009242,0.009345,0.009459,1000,0.009948,0.040221,0.012886065,0.0025150581489848303,0.0124785,0.0126035,0.012729,1000,0.139807,1.896848,0.243745364,0.11153325267944758,0.23238925,0.235056,0.24875175,1000,0.011824,0.091792,0.038684764,0.010914772254440493,0.03874375,0.039281,0.04138725,1000,0.00198,0.017377,0.003108861,0.0009842206143334939,0.002886,0.002975,0.00317,1000,0.006662,0.056765,0.017108001,0.005118218611294265,0.01674075,0.0169705,0.01718725,1000,0.001565,0.05629,0.01630624,0.006511148446810286,0.0171875,0.017457,0.017644,1000,0.00098,0.011682,0.001404733,0.0005494369697344729,0.001293,0.001337,0.001384,1000,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
FrictionContact_LCP_without_friction,0.040283,1.516006,0.099097837,0.10008522596205911,0.075375,0.1035755,0.10532675,1000,0.040471,0.125055,0.053320938000000005,0.008855423466788926,0.0509285,0.051515,0.05222125,1000,0.002914,0.020834,0.004203461,0.0014017003369047895,0.00404,0.0041095,0.00419725,1000,0.005662,0.032834,0.007763609,0.002316628964706908,0.00737975,0.007505,0.00763125,1000,0.00071,0.014105,0.001021947,0.0007786520726171607,0.000906,0.000938,0.00096825,1000,0.00071,0.014105,0.001021947,0.0007786520726171607,0.000906,0.000938,0.00096825,1000,0.006119,0.039474,0.009482461,0.0025136944847134863,0.00916375,0.009335,0.00949625,1000,0.009934,0.037719,0.012859394,0.002740512047184613,0.01238875,0.0125075,0.01262525,1000,0.140507,1.751201,0.24800847,0.11024463271716724,0.22047575,0.251337,0.25587525,1000,0.011935,0.084631,0.028423406999999998,0.0075734701258637705,0.02549975,0.0295205,0.02991,1000,0.002017,0.018319,0.003056516,0.0011749570093173623,0.00287,0.0029635,0.00304525,1000,0.006724,0.047798,0.01565987,0.004433203796702786,0.014958,0.015721,0.015969,1000,0.001553,0.027154,0.007544956,0.003319541360800314,0.005819,0.0089375,0.00912625,1000,0.000985,0.011701,0.0013853040000000002,0.0007816091859644436,0.001219,0.0012785,0.001327,1000,0.0,1.2,0.48,0.5878775382679627,0.0,0.0,1.2,5
FixedProjectiveConstraint,0.008349,0.157845,0.010164297000000001,0.009164231905227572,0.008716,0.0088375,0.00919025,1000,1.095304,1.347502,1.12849465,0.025257313720257347,1.1092605,1.1260085,1.13928875,1000,0.066782,0.148186,0.069797539,0.007190543319282556,0.067057,0.0672185,0.07025625,1000,0.037216,0.072039,0.038669335,0.004312214060871167,0.03755475,0.0376945,0.03785,1000,0.000645,0.011433,0.0009169439999999999,0.0006790417740198316,0.000762,0.00079,0.000829,1000,0.982153,1.167557,1.011351192,0.021645819778311374,0.99423025,1.0099455,1.0203215,1000,0.00268,0.016006,0.0029820050000000002,0.0007642018980446201,0.00284975,0.002907,0.002985,1000,0.008068,0.028381,0.008597307,0.0012964251250076112,0.008333,0.00841,0.008514,1000,1.127531,1.563323,1.164029064,0.03151132686549241,1.14465475,1.1604205,1.1743915,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1.2,0.48,0.5878775382679627,0.0,0.0,1.2,5
FEMBAR_EigenSimplicialLDLT,0.000279,0.000949,0.00034023399999999997,5.0339519703707946e-05,0.000319,0.000334,0.00035,1000,2.508533,5.272407,2.594307812,0.20678917176769837,2.538259,2.568608,2.59405125,1000,0.051503,0.105673,0.054860319000000005,0.005637383393316354,0.05197775,0.0525315,0.05647575,1000,0.043942,0.093949,0.046315352,0.004862205440548147,0.04447175,0.044669,0.04732,1000,0.688131,2.205324,0.715174919,0.10325920368569787,0.6950435,0.698818,0.721561,1000,1.708304,2.960393,1.770518568,0.12046293119367209,1.7238225,1.753923,1.775992,1000,0.001149,0.011804,0.001343041,0.0004726447665202694,0.00123975,0.001295,0.00137,1000,0.00598,0.024035,0.006587326,0.0011269928481246008,0.006307,0.006426,0.00659425,1000,2.526877,5.346064,2.612197484,0.209488979380911,2.556186,2.5859855,2.6125385,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
FEMBAR_EigenSimplicialLLT,0.000272,0.002997,0.000348592,0.00010022149238561556,0.000317,0.000336,0.000363,1000,2.609793,5.109455,2.7019546439999997,0.1902022143952937,2.657951,2.680217,2.70085675,1000,0.051325,0.106133,0.054096714,0.005984028999111218,0.052382,0.052585,0.05292475,1000,0.043018,0.089295,0.0459495,0.0052781378250288235,0.044436,0.044658,0.04491,1000,0.687497,1.989167,0.715139682,0.09149845013389502,0.69320625,0.700036,0.7225595,1000,1.813719,2.969804,1.879350351,0.11487384661634606,1.847429,1.860563,1.8830115,1000,0.001147,0.019301,0.001357476,0.0009274273488656672,0.00124,0.001275,0.001325,1000,0.005955,0.026831,0.00672473,0.0012959940690836513,0.00634775,0.006514,0.006749,1000,2.625932,5.159742,2.7202961209999996,0.1927212034147835,2.67482175,2.6980395,2.71964225,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1.2,0.48,0.5878775382679627,0.0,0.0,1.2,5
