SceneName,CollisionDetection_min,CollisionDetection_max,CollisionDetection_mean,CollisionDetection_std,CollisionDetection_quartile1,CollisionDetection_quartile2,CollisionDetection_quartile3,CollisionDetection_cardinality,ODESolve_min,ODESolve_max,ODESolve_mean,ODESolve_std,ODESolve_quartile1,ODESolve_quartile2,ODESolve_quartile3,ODESolve_cardinality,ComputeForce_min,ComputeForce_max,ComputeForce_mean,ComputeForce_std,ComputeForce_quartile1,ComputeForce_quartile2,ComputeForce_quartile3,ComputeForce_cardinality,ComputeRHTerm_min,ComputeRHTerm_max,ComputeRHTerm_mean,ComputeRHTerm_std,ComputeRHTerm_quartile1,ComputeRHTerm_quartile2,ComputeRHTerm_quartile3,ComputeRHTerm_cardinality,setSystemMBKMatrix_min,setSystemMBKMatrix_max,setSystemMBKMatrix_mean,setSystemMBKMatrix_std,setSystemMBKMatrix_quartile1,setSystemMBKMatrix_quartile2,setSystemMBKMatrix_quartile3,setSystemMBKMatrix_cardinality,MBKSolve_min,MBKSolve_max,MBKSolve_mean,MBKSolve_std,MBKSolve_quartile1,MBKSolve_quartile2,MBKSolve_quartile3,MBKSolve_cardinality,ProjectAndMechaMap_min,ProjectAndMechaMap_max,ProjectAndMechaMap_mean,ProjectAndMechaMap_std,ProjectAndMechaMap_quartile1,ProjectAndMechaMap_quartile2,ProjectAndMechaMap_quartile3,ProjectAndMechaMap_cardinality,UpdateBBox_min,UpdateBBox_max,UpdateBBox_mean,UpdateBBox_std,UpdateBBox_quartile1,UpdateBBox_quartile2,UpdateBBox_quartile3,UpdateBBox_cardinality,TimeStep_min,TimeStep_max,TimeStep_mean,TimeStep_std,TimeStep_quartile1,TimeStep_quartile2,TimeStep_quartile3,TimeStep_cardinality,SolveConstraint_min,SolveConstraint_max,SolveConstraint_mean,SolveConstraint_std,SolveConstraint_quartile1,SolveConstraint_quartile2,SolveConstraint_quartile3,SolveConstraint_cardinality,PrepareState_min,PrepareState_max,PrepareState_mean,PrepareState_std,PrepareState_quartile1,PrepareState_quartile2,PrepareState_quartile3,PrepareState_cardinality,BuildSystem_min,BuildSystem_max,BuildSystem_mean,BuildSystem_std,BuildSystem_quartile1,BuildSystem_quartile2,BuildSystem_quartile3,BuildSystem_cardinality,SolveSystem_min,SolveSystem_max,SolveSystem_mean,SolveSystem_std,SolveSystem_quartile1,SolveSystem_quartile2,SolveSystem_quartile3,SolveSystem_cardinality,ApplyCorrection_min,ApplyCorrection_max,ApplyCorrection_mean,ApplyCorrection_std,ApplyCorrection_quartile1,ApplyCorrection_quartile2,ApplyCorrection_quartile3,ApplyCorrection_cardinality,CPUUsage_min,CPUUsage_max,CPUUsage_mean,CPUUsage_std,CPUUsage_quartile1,CPUUsage_quartile2,CPUUsage_quartile3,CPUUsage_cardinality
fallingBeamLagrangianCollision,0.345618,0.569978,0.36599864705882357,0.0232358379586392,0.351692,0.35833,0.372153,255,11.854863,15.386966,12.446718564705883,0.4391615310199193,12.2525145,12.385316,12.53888,255,0.287342,0.503612,0.3047329137254902,0.025888611269876044,0.290894,0.297878,0.3075275,255,0.13595,0.257277,0.1506107568627451,0.02031728502521403,0.137717,0.139259,0.1655555,255,3.574505,5.367591,3.7238494274509804,0.1304331101065383,3.6697445,3.70535,3.7577305,255,3.574505,5.367591,3.7238494274509804,0.1304331101065383,3.6697445,3.70535,3.7577305,255,0.025287,0.062717,0.028254019607843135,0.004070656577045402,0.026236,0.02673,0.0293185,255,0.051841,0.107086,0.05564456078431373,0.006159899229761398,0.0530015,0.05368,0.0564365,255,40.010385,62.951906,48.403844505882354,2.539787622870429,47.8788335,48.24158,48.551222,255,27.24353,48.220311,35.40187639607843,2.353023857081312,35.2286085,35.356558,35.5243195,255,0.020264,0.04231,0.02216890588235294,0.002588178628060612,0.0212825,0.021671,0.0220815,255,21.790448,31.345445,22.601349054901963,1.8154849802372177,21.8774055,21.922806,22.0580365,255,4.879089,23.277949,12.353244568627451,1.9485510350127755,12.8198985,12.979786,13.066826,255,0.397642,0.588515,0.42297164313725494,0.027839351180356867,0.405414,0.412206,0.4302175,255,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
SofaScene,8.622017,18.143104,9.19905946039886,0.9267712095934214,8.8374865,8.9478,9.198116,1755,8.392666,17.830266,8.902970536752136,0.9201846038298269,8.549963,8.648521,8.890023,1755,0.00507,0.727918,0.17467792924976258,0.17062555425875722,0.0282635,0.1215075,0.28217875,10530,0.006212,0.377267,0.07857840512820512,0.07559089909226753,0.01502,0.0631225,0.11157625,10530,0.037239,7.300457,1.1890686882241215,1.2443289657180878,0.089887,0.902251,1.71151125,10530,0.037239,7.300457,1.1890686882241215,1.2443289657180878,0.089887,0.902251,1.71151125,10530,0.094401,0.215335,0.11120384216524216,0.015280611106894888,0.1008385,0.104705,0.117159,1755,0.12951,0.254468,0.1434293886039886,0.015026908750220336,0.1338995,0.137201,0.144917,1755,23.706095,51.733067,30.914542255270657,4.146985300652817,27.981581,30.285922,33.0555465,1755,14.348283,42.036997,21.12556439031339,3.8244295325324282,18.40823,20.639718,23.0229085,1755,0.074003,0.181733,0.08709985413105413,0.012507107506186825,0.080876,0.083097,0.08726,1755,13.544109,40.40427,20.256265063247863,3.7299947003403866,17.634304,19.765079,22.103063,1755,0.107162,0.777234,0.27172075384615385,0.11077649339476689,0.20545,0.245689,0.2975175,1755,0.433849,0.997723,0.5080768849002849,0.04829916788090548,0.479838,0.499176,0.5231495,1755,0.0,8.5,1.94,3.312763197090912,0.0,0.0,1.2,5
BilateralLagrangianConstraint_NNCG,0.036641,1.72308,0.10660175,0.11960783818800297,0.05302975,0.092254,0.12353875,1000,0.192941,0.341109,0.21601669,0.022974830777698886,0.198462,0.203888,0.23239825,1000,0.001985,0.019693,0.002702391,0.0010709697230169488,0.002155,0.002278,0.003103,4000,0.004195,0.023518,0.005273385750000001,0.0015038655772531455,0.00444,0.00461,0.005868,4000,0.014382,0.063231,0.017520255000000002,0.003409273786963288,0.01523,0.016321,0.01874725,4000,0.014382,0.063231,0.017520255000000002,0.003409273786963288,0.01523,0.016321,0.01874725,4000,0.020281,0.058867,0.023255878,0.004252278243144021,0.020866,0.0211945,0.0249025,1000,0.025623,0.067139,0.028836023000000002,0.00432256256200775,0.02657175,0.027318,0.02993125,1000,0.50033,2.494238,0.609165232,0.15379901315712716,0.53085825,0.570493,0.67204525,1000,0.090209,0.211236,0.10574019,0.01637102390829297,0.09366125,0.0974485,0.11742775,1000,0.025189,0.074577,0.029367156999999998,0.00553303729034524,0.02625125,0.0268645,0.031733,1000,0.040829,0.119975,0.048338322,0.008697047213986826,0.0421665,0.044642,0.05465675,1000,0.006191,0.027843,0.007701857,0.002287042743490161,0.006423,0.006646,0.008179,1000,0.01671,0.048495,0.019768255000000002,0.003610409991396406,0.017386,0.018064,0.021313,1000,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
BilateralLagrangianConstraint_PGS,0.032381,1.663011,0.107081102,0.11930731864596403,0.05364175,0.092669,0.12451675,1000,0.192216,0.366764,0.217654543,0.022521825981526255,0.1999825,0.207786,0.233744,1000,0.001985,0.021119,0.0027120125,0.001100447773564811,0.002165,0.0022915,0.003077,4000,0.004119,0.026894,0.0052968615,0.0014937749875124267,0.004472,0.004669,0.00584675,4000,0.014318,0.061487,0.017559577,0.0033760916538315426,0.015429,0.0163025,0.018778,4000,0.014318,0.061487,0.017559577,0.0033760916538315426,0.015429,0.0163025,0.018778,4000,0.020172,0.050323,0.023257535,0.0037412987443901083,0.02086975,0.021204,0.02511,1000,0.025537,0.066434,0.028363916,0.003978174717247094,0.0261125,0.02681,0.02961225,1000,0.498233,2.535376,0.6101536439999999,0.15534078871410198,0.52892225,0.5689015,0.67338925,1000,0.089302,0.254834,0.10581297199999999,0.017167503344727095,0.0928545,0.097006,0.11741525,1000,0.024951,0.072946,0.029352255,0.005588087366530252,0.02600125,0.0266905,0.03202675,1000,0.040616,0.125519,0.048435881,0.009270902753822792,0.041775,0.044977,0.05426425,1000,0.005992,0.027792,0.007686612,0.0021933644725526122,0.006321,0.0068765,0.00825,1000,0.016583,0.052753,0.019767919999999998,0.0038653489676353935,0.0172175,0.0180135,0.02129125,1000,0.0,13.4,3.16,5.203690997743813,0.0,0.0,2.4,5
BilateralLagrangianConstraint_UGS,0.033897,1.695598,0.078440936,0.11691510436998252,0.051931,0.0661815,0.07847175,1000,0.193952,0.358075,0.20744347800000001,0.016591276636037263,0.1984245,0.201452,0.20621475,1000,0.001984,0.024451,0.00254633225,0.0010600625544560744,0.002146,0.002232,0.002966,4000,0.00413,0.026781,0.005031286,0.0016153807657032443,0.004367,0.0045,0.005754,4000,0.014467,0.054096,0.01689267525,0.0033269776074220034,0.015109,0.015859,0.018479,4000,0.014467,0.054096,0.01689267525,0.0033269776074220034,0.015109,0.015859,0.018479,4000,0.020454,0.052173,0.021747697,0.003112824420552981,0.020912,0.021072,0.02127325,1000,0.025549,0.091338,0.027352271,0.004142730610063729,0.02623075,0.0264705,0.02687925,1000,0.516402,2.455703,0.583978047,0.14028073491902154,0.54109075,0.565277,0.5895695,1000,0.101992,0.237955,0.127050572,0.01775129263492707,0.114767,0.125053,0.131927,1000,0.025079,0.068943,0.027244081,0.0037907797211706984,0.02602375,0.0263365,0.02672525,1000,0.046411,0.141296,0.050362273,0.008349094453560277,0.047373,0.0478125,0.04878975,1000,0.009202,0.081466,0.029788546,0.010542607221550275,0.02105575,0.0310505,0.03590675,1000,0.016944,0.05611,0.01908468,0.003865274510768931,0.01755875,0.0177865,0.018315,1000,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
FrictionContact_LCP_with_friction,0.039827,1.456095,0.079822812,0.09590327566023309,0.0710855,0.0742455,0.0747515,1000,0.059491,0.139754,0.078553437,0.00908430070352314,0.07692,0.077384,0.08091175,1000,0.002883,0.020312,0.004176109000000001,0.0011526784309246877,0.004087,0.00415,0.004206,1000,0.005814,0.034665,0.007621945,0.001446511671565425,0.007536,0.0076195,0.007715,1000,0.018451,0.064809,0.025074647000000002,0.003695734562761644,0.02475875,0.0250185,0.02536125,1000,0.018451,0.064809,0.025074647000000002,0.003695734562761644,0.02475875,0.0250185,0.02536125,1000,0.006292,0.02745,0.009554921000000001,0.0019451023728223149,0.009463,0.009579,0.009785,1000,0.009826,0.029062,0.012323193,0.0019045919084546695,0.0120725,0.012206,0.01235225,1000,0.16232,1.739067,0.26758305,0.10587124593845819,0.2604505,0.2632995,0.26788325,1000,0.012572,0.114203,0.039208707,0.01076065433638452,0.03989825,0.040362,0.04133,1000,0.001957,0.018315,0.0029890430000000003,0.0008348227663109098,0.002922,0.002979,0.00304525,1000,0.007201,0.048114,0.016986127,0.004160327357897573,0.01731375,0.017469,0.017638,1000,0.001947,0.086115,0.016614461,0.0068213784501725905,0.01777625,0.0179835,0.018092,1000,0.000963,0.01683,0.001356724,0.0006601905284264535,0.001268,0.0013105,0.00136025,1000,0.0,1.2,0.72,0.5878775382679627,0.0,1.2,1.2,5
FrictionContact_LCP_without_friction,0.039706,1.409152,0.09603553699999999,0.09485609627649998,0.0741965,0.099328,0.1035395,1000,0.0597,0.167972,0.07951657000000001,0.010789490270958125,0.07676475,0.0776475,0.0809885,1000,0.002925,0.022247,0.004243065,0.00126651518379173,0.004114,0.004188,0.004264,1000,0.005851,0.027693,0.007849172,0.002033472533479614,0.007549,0.007655,0.00778125,1000,0.018443,0.057034,0.025410322,0.004137661715790212,0.02481225,0.025079,0.02550925,1000,0.018443,0.057034,0.025410322,0.004137661715790212,0.02481225,0.025079,0.02550925,1000,0.006225,0.040551,0.009633245,0.002562277152646645,0.009411,0.0095675,0.009773,1000,0.009869,0.043631,0.012235178,0.002209672560882268,0.0119205,0.012067,0.01221325,1000,0.163236,1.667211,0.275318627,0.10573151676914444,0.24990325,0.280436,0.287689,1000,0.013006,0.086432,0.029507147,0.007232874409485553,0.02692275,0.031036,0.03171475,1000,0.002006,0.018611,0.003062145,0.0008833506234644315,0.00297,0.003052,0.003115,1000,0.007309,0.063145,0.016001513999999998,0.004392398314110868,0.01563,0.016303,0.016673,1000,0.001941,0.02505,0.00786676,0.0029038855515326352,0.006341,0.0090635,0.009884,1000,0.001004,0.010892,0.0013536890000000002,0.0005708145042647393,0.001249,0.001305,0.00135625,1000,0.0,6.0,1.2,2.4,0.0,0.0,0.0,5
FixedProjectiveConstraint,0.008911,0.147211,0.010514514999999999,0.008600961373810199,0.009179,0.0093365,0.00962625,1000,1.119575,1.324931,1.1499782239999998,0.023181892373872845,1.13581075,1.144644,1.15818525,1000,0.067284,0.118865,0.06924367699999999,0.005855291680067783,0.06758475,0.0676885,0.06783125,1000,0.037778,0.074546,0.03908267,0.003807233021119144,0.0381015,0.038268,0.0384875,1000,0.014769,0.043494,0.015900958,0.002254595760715433,0.0152035,0.015441,0.01569125,1000,0.991203,1.195041,1.017298618,0.020302245050143494,1.005241,1.0135665,1.02522425,1000,0.00288,0.017428,0.003316589,0.0010403018956432791,0.003042,0.003106,0.00322025,1000,0.011008,0.029145,0.011779619,0.0017030101649253301,0.01130375,0.0114585,0.0116475,1000,1.158531,1.440632,1.1918983840000001,0.028203573815396944,1.17642075,1.1853905,1.201436,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,4.8,0.96,1.9200000000000002,0.0,0.0,0.0,5
FEMBAR_EigenSimplicialLDLT,0.000294,0.016596,0.00042394,0.0007293925022921472,0.000334,0.000352,0.00037725,1000,2.565917,5.008521,2.6854241290000003,0.22223110087756925,2.6006925,2.63591,2.67842225,1000,0.051975,0.138285,0.056787581,0.010343820013294846,0.05241275,0.052937,0.0541865,1000,0.044038,0.089418,0.046836452,0.006084057748386023,0.04457975,0.044797,0.0453345,1000,0.690083,2.070941,0.727244421,0.10071517168960076,0.69644325,0.7155545,0.730603,1000,1.767984,3.326861,1.845685761,0.13582619179960792,1.79138175,1.814269,1.843152,1000,0.001227,0.013888,0.00164778,0.0010027230114044456,0.001346,0.001402,0.00149925,1000,0.011663,0.033141,0.013387552,0.003000468205346625,0.012146,0.01232,0.0126465,1000,2.589532,5.067175,2.713664992,0.22662602560609832,2.62600425,2.6632285,2.70643075,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,2.4,0.96,1.1757550765359255,0.0,0.0,2.4,5
FEMBAR_EigenSimplicialLLT,0.000286,0.001153,0.000355706,5.52347315011126e-05,0.00033275,0.000347,0.000363,1000,2.616845,5.07139,2.694339207,0.18556898995640989,2.6418805,2.670202,2.696283,1000,0.052048,0.130516,0.054766712,0.00594708943762039,0.0528205,0.0532035,0.05393025,1000,0.044034,0.091978,0.046043164,0.0043891201882728164,0.04456375,0.0448665,0.045311,1000,0.690327,2.003268,0.716844604,0.08877114052379402,0.6976575,0.7038265,0.72045225,1000,1.813113,2.924683,1.868546996,0.11082470603767909,1.8278395,1.850559,1.87056725,1000,0.001235,0.010923,0.001518129,0.00046653092540473667,0.001379,0.001456,0.001562,1000,0.011724,0.036356,0.012575039000000001,0.0016286977287019837,0.01210175,0.012282,0.01254025,1000,2.641429,5.144292,2.72060689,0.18806640936611171,2.66766425,2.6967695,2.72161875,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
