SceneName,CollisionDetection_min,CollisionDetection_max,CollisionDetection_mean,CollisionDetection_std,CollisionDetection_quartile1,CollisionDetection_quartile2,CollisionDetection_quartile3,CollisionDetection_cardinality,ODESolve_min,ODESolve_max,ODESolve_mean,ODESolve_std,ODESolve_quartile1,ODESolve_quartile2,ODESolve_quartile3,ODESolve_cardinality,ComputeForce_min,ComputeForce_max,ComputeForce_mean,ComputeForce_std,ComputeForce_quartile1,ComputeForce_quartile2,ComputeForce_quartile3,ComputeForce_cardinality,ComputeRHTerm_min,ComputeRHTerm_max,ComputeRHTerm_mean,ComputeRHTerm_std,ComputeRHTerm_quartile1,ComputeRHTerm_quartile2,ComputeRHTerm_quartile3,ComputeRHTerm_cardinality,setSystemMBKMatrix_min,setSystemMBKMatrix_max,setSystemMBKMatrix_mean,setSystemMBKMatrix_std,setSystemMBKMatrix_quartile1,setSystemMBKMatrix_quartile2,setSystemMBKMatrix_quartile3,setSystemMBKMatrix_cardinality,MBKSolve_min,MBKSolve_max,MBKSolve_mean,MBKSolve_std,MBKSolve_quartile1,MBKSolve_quartile2,MBKSolve_quartile3,MBKSolve_cardinality,ProjectAndMechaMap_min,ProjectAndMechaMap_max,ProjectAndMechaMap_mean,ProjectAndMechaMap_std,ProjectAndMechaMap_quartile1,ProjectAndMechaMap_quartile2,ProjectAndMechaMap_quartile3,ProjectAndMechaMap_cardinality,UpdateBBox_min,UpdateBBox_max,UpdateBBox_mean,UpdateBBox_std,UpdateBBox_quartile1,UpdateBBox_quartile2,UpdateBBox_quartile3,UpdateBBox_cardinality,TimeStep_min,TimeStep_max,TimeStep_mean,TimeStep_std,TimeStep_quartile1,TimeStep_quartile2,TimeStep_quartile3,TimeStep_cardinality,SolveConstraint_min,SolveConstraint_max,SolveConstraint_mean,SolveConstraint_std,SolveConstraint_quartile1,SolveConstraint_quartile2,SolveConstraint_quartile3,SolveConstraint_cardinality,PrepareState_min,PrepareState_max,PrepareState_mean,PrepareState_std,PrepareState_quartile1,PrepareState_quartile2,PrepareState_quartile3,PrepareState_cardinality,BuildSystem_min,BuildSystem_max,BuildSystem_mean,BuildSystem_std,BuildSystem_quartile1,BuildSystem_quartile2,BuildSystem_quartile3,BuildSystem_cardinality,SolveSystem_min,SolveSystem_max,SolveSystem_mean,SolveSystem_std,SolveSystem_quartile1,SolveSystem_quartile2,SolveSystem_quartile3,SolveSystem_cardinality,ApplyCorrection_min,ApplyCorrection_max,ApplyCorrection_mean,ApplyCorrection_std,ApplyCorrection_quartile1,ApplyCorrection_quartile2,ApplyCorrection_quartile3,ApplyCorrection_cardinality,CPUUsage_min,CPUUsage_max,CPUUsage_mean,CPUUsage_std,CPUUsage_quartile1,CPUUsage_quartile2,CPUUsage_quartile3,CPUUsage_cardinality
fallingBeamLagrangianCollision,0.326535,0.407666,0.3406983098039216,0.012743649679238628,0.3327435,0.337848,0.343833,255,12.143894,15.563094,12.625451890196077,0.3199925071382136,12.526466,12.611588,12.7606145,255,0.286277,0.495205,0.2989136509803922,0.0184662286373268,0.2891745,0.291242,0.3040215,255,0.135905,0.205428,0.14692019607843138,0.015075518152340678,0.137513,0.139774,0.145901,255,3.865077,4.957341,3.9588146039215686,0.08909437354390218,3.89419,3.956104,4.0035385,255,3.865077,4.957341,3.9588146039215686,0.08909437354390218,3.89419,3.956104,4.0035385,255,0.022274,0.054557,0.02474952156862745,0.0031407273140626997,0.023335,0.023733,0.0251525,255,0.053206,0.074458,0.05568082745098039,0.0024130061362052295,0.0544895,0.054914,0.0561235,255,40.242038,53.175397,47.64891161176471,1.8329780238029434,47.852308,48.205823,48.4319845,255,27.177347,39.438451,34.498945733333336,1.815385322657653,35.069368,35.138685,35.283252,255,0.019727,0.052468,0.021891717647058825,0.002310804234562698,0.0212525,0.021592,0.022055,255,21.815608,23.263508,21.962771584313725,0.13737361259809228,21.8821925,21.919254,22.035437,255,4.86846,15.594162,12.106702254901961,1.7956867515145463,12.755091,12.808041,12.8591715,255,0.386674,0.557252,0.40508274901960784,0.017205603206107842,0.3970865,0.400347,0.406665,255,0.0,6.0,1.44,2.3268863315598383,0.0,0.0,1.2,5
SofaScene,11.902436,28.089144,13.241291282051282,0.69153447886659,12.960902,13.172806,13.2792065,1755,11.590374,27.751892,12.892164316809115,0.6836336955179835,12.623752,12.825578,12.9232615,1755,0.008259,2.243177,0.2537981864197531,0.2270211557210505,0.0531165,0.2442205,0.40311775,10530,0.008284,2.019987,0.10664668233618234,0.08943469870537933,0.02238825,0.1094465,0.186602,10530,0.072476,12.997038,1.8653092389363723,1.9080078639498232,0.171597,1.2786585,2.681058,10530,0.072476,12.997038,1.8653092389363723,1.9080078639498232,0.171597,1.2786585,2.681058,10530,0.094141,0.212417,0.11497006495726496,0.015467824586971834,0.101618,0.11476,0.1194375,1755,0.131858,0.363347,0.1491864495726496,0.01601966423516957,0.138463,0.145237,0.1486925,1755,23.599562,49.539141,29.002221139031338,2.5093913537270205,27.18332,28.891912,30.696928,1755,10.209128,31.711472,15.14302668091168,2.383290559196025,13.4149395,15.093183,16.8417535,1755,0.072994,0.193983,0.08850771908831909,0.012078478504173838,0.0814715,0.085572,0.090081,1755,9.42208,29.862511,14.285708208547009,2.294130824584037,12.6521965,14.218575,15.9649875,1755,0.103631,0.880991,0.2806525726495726,0.10933945039372563,0.218367,0.260023,0.3151075,1755,0.411723,0.890007,0.485920015954416,0.031601233152302524,0.46471,0.483482,0.5055185,1755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
BilateralLagrangianConstraint_NNCG,0.028113,1.841237,0.097730666,0.12468777085161335,0.04357075,0.0836875,0.11424575,1000,0.277477,0.41902,0.304991338,0.025287230716860946,0.286537,0.292322,0.3231885,1000,0.001249,0.016365,0.001965011,0.000710919357859244,0.001559,0.001739,0.00233525,4000,0.003053,0.022346,0.00392536875,0.0009533997282218185,0.003366,0.0035715,0.004429,4000,0.021175,0.066422,0.024440978500000002,0.0031386861013070026,0.022246,0.023695,0.0256805,4000,0.021175,0.066422,0.024440978500000002,0.0031386861013070026,0.022246,0.023695,0.0256805,4000,0.020622,0.036037,0.023116814,0.0027130815648269773,0.02125875,0.0215295,0.02499975,1000,0.025756,0.062207,0.027794446,0.002510626921524582,0.02634475,0.0266115,0.02907725,1000,0.57664,2.731022,0.688858569,0.161263598565638,0.59922475,0.6455155,0.75705025,1000,0.092253,0.209762,0.106160024,0.01583615703791245,0.095055,0.0987345,0.1159525,1000,0.026016,0.074452,0.029813579000000003,0.004889794080097751,0.0269755,0.0275535,0.03207975,1000,0.041789,0.121671,0.048584144999999995,0.008591316157957114,0.04289325,0.0443315,0.05335525,1000,0.006174,0.020642,0.007494137,0.0017288895552437697,0.006397,0.0065875,0.00800525,1000,0.016887,0.045076,0.019689171999999998,0.003044134997731868,0.01764425,0.0181165,0.021288,1000,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
BilateralLagrangianConstraint_PGS,0.034408,1.892,0.096072745,0.1255565428049529,0.04317975,0.082291,0.11168425,1000,0.275296,0.416959,0.30694743599999996,0.026024622953808647,0.2875785,0.2936455,0.32451025,1000,0.001309,0.012675,0.002008488,0.0006963974417356802,0.001611,0.0017705,0.002379,4000,0.003132,0.027366,0.004012045,0.0010647889457423008,0.003445,0.003645,0.004452,4000,0.021056,0.065508,0.024515659,0.0034562585483755405,0.02218075,0.023653,0.0258315,4000,0.021056,0.065508,0.024515659,0.0034562585483755405,0.02218075,0.023653,0.0258315,4000,0.020795,0.056239,0.023364297,0.003520190146397066,0.021245,0.0215,0.02509475,1000,0.025759,0.067331,0.027860245,0.0027912587552885526,0.026339,0.026622,0.02894325,1000,0.574777,2.724443,0.6899097070000001,0.1610916399113596,0.5978555,0.643658,0.75650275,1000,0.091539,0.203752,0.106221042,0.015703005975870862,0.095126,0.098522,0.1161255,1000,0.025485,0.071548,0.029391305,0.004912210360313878,0.02640725,0.0272,0.03149725,1000,0.041735,0.115259,0.048953061,0.008493906330262832,0.0431245,0.045131,0.0539235,1000,0.006016,0.022749,0.007477223,0.001652746556877672,0.006305,0.006853,0.008071,1000,0.01711,0.057356,0.019806837,0.0033344251856101074,0.017678,0.018189,0.021342,1000,0.0,1.2,0.48,0.5878775382679627,0.0,0.0,1.2,5
BilateralLagrangianConstraint_UGS,0.034549,1.817132,0.067332028,0.12353644322932086,0.04208825,0.054621,0.06709,1000,0.273425,0.516872,0.295525756,0.019667063821385843,0.28690425,0.29137,0.29625525,1000,0.001261,0.035659,0.00190016975,0.0008302790653960495,0.00155,0.001695,0.002305,4000,0.002969,0.021513,0.0038545745,0.0009778331311884202,0.003391,0.003569,0.00432725,4000,0.021092,0.077749,0.02373239675,0.003177370046727236,0.022006,0.023312,0.024141,4000,0.021092,0.077749,0.02373239675,0.003177370046727236,0.022006,0.023312,0.024141,4000,0.020932,0.04626,0.022035510999999997,0.0021784340609435483,0.021301,0.021445,0.021644,1000,0.025866,0.070037,0.027104450000000002,0.002699428416813456,0.02635875,0.0265065,0.02669125,1000,0.595451,2.643589,0.661940314,0.1484729925188935,0.618077,0.6447345,0.66348425,1000,0.103983,0.241626,0.127851746,0.016139947945563022,0.11710075,0.1267275,0.1326695,1000,0.025833,0.063905,0.027886867,0.0036256330726248346,0.02675875,0.02715,0.02761025,1000,0.047691,0.111492,0.050874081,0.006368497744400872,0.048815,0.049266,0.04998725,1000,0.009356,0.065134,0.029400287,0.010066000205177377,0.02094075,0.030845,0.03553875,1000,0.01743,0.047654,0.019113433000000003,0.0027978158355243827,0.017928,0.018235,0.01860625,1000,0.0,1.2,0.48,0.5878775382679627,0.0,0.0,1.2,5
FrictionContact_LCP_with_friction,0.037231,1.507689,0.07943098,0.09856972955639881,0.0717635,0.072449,0.07520375,1000,0.081364,0.168655,0.10792168399999999,0.010513962225638059,0.10588175,0.1086965,0.110086,1000,0.002137,0.013489,0.0031883600000000003,0.0009045837011576099,0.003037,0.003111,0.003193,1000,0.004475,0.027466,0.005897439,0.001494567133413217,0.00572275,0.005799,0.005869,1000,0.025074,0.070683,0.034119436999999996,0.004269770066646563,0.03305425,0.0335655,0.0359055,1000,0.025074,0.070683,0.034119436999999996,0.004269770066646563,0.03305425,0.0335655,0.0359055,1000,0.006444,0.033236,0.009767076999999999,0.0016888372695647738,0.009712,0.009833,0.01003925,1000,0.01021,0.040133,0.012535178,0.0021007906293383925,0.012259,0.012356,0.01245925,1000,0.184766,1.814343,0.296520979,0.10852183178436751,0.29106625,0.294112,0.29866225,1000,0.012931,0.091992,0.039601120000000004,0.010414948941286271,0.04065,0.0411375,0.04230125,1000,0.00225,0.029671,0.003292326,0.0012299830753811209,0.003134,0.00319,0.003258,1000,0.007157,0.049276,0.017456722,0.00445336322869761,0.01751575,0.017678,0.01785925,1000,0.00181,0.056567,0.016876849,0.00619857808535143,0.0180545,0.0182955,0.0186005,1000,0.000997,0.011483,0.0014677560000000002,0.0006574378787870379,0.001318,0.001363,0.001416,1000,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
FrictionContact_LCP_without_friction,0.037836,1.505689,0.094399077,0.09808466665086378,0.07344525,0.0998175,0.103399,1000,0.081531,0.184339,0.107999569,0.01019167474967873,0.10643975,0.1086335,0.110461,1000,0.002181,0.013212,0.003196937,0.0008134573012955258,0.003072,0.0031505,0.00321625,1000,0.004431,0.022037,0.0057978230000000006,0.0010603236551501624,0.0056515,0.0057535,0.0058535,1000,0.02509,0.067992,0.034242661,0.003865761700374067,0.03316175,0.0337485,0.0360395,1000,0.02509,0.067992,0.034242661,0.003865761700374067,0.03316175,0.0337485,0.0360395,1000,0.006444,0.030598,0.009785049,0.0017186583618040555,0.00973475,0.0098625,0.00999025,1000,0.010211,0.027755,0.01233806,0.0012864296259026376,0.012202,0.012311,0.012405,1000,0.18502,1.808492,0.301286258,0.10902938021900994,0.28066125,0.309819,0.3169585,1000,0.012914,0.066184,0.029395880000000003,0.006663228915443323,0.02728425,0.031275,0.03185775,1000,0.002192,0.017553,0.0032481,0.0008054214896561923,0.00312,0.003186,0.00325725,1000,0.007192,0.046202,0.016151571,0.003816866262650422,0.015787,0.0165125,0.016807,1000,0.001841,0.0353,0.00802879,0.0029516083689913875,0.00645575,0.0096345,0.0099255,1000,0.001001,0.006125,0.001444859,0.0005613209555316816,0.001279,0.0013515,0.001419,1000,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
FixedProjectiveConstraint,0.006449,0.163213,0.008172453,0.009336860854151731,0.00678575,0.0069315,0.0071815,1000,1.140872,1.321377,1.162744357,0.024203867362088047,1.14899675,1.1565305,1.162536,1000,0.066755,0.134195,0.068138166,0.004702795911842656,0.06707175,0.067192,0.067329,1000,0.036885,0.066419,0.03801198200000001,0.002738393900752045,0.03727775,0.0374715,0.0376605,1000,0.021256,0.093281,0.023322985,0.003232981302261892,0.02195475,0.022279,0.02441225,1000,0.990838,1.167303,1.009852572,0.020802561252663485,0.99861075,1.0059165,1.00925925,1000,0.002807,0.008251,0.003181326,0.0005839460623413774,0.002999,0.003055,0.00312225,1000,0.01102,0.025581,0.01157493,0.0011098475368716192,0.011279,0.0113885,0.0114845,1000,1.176579,1.539759,1.201675945,0.030638783676869008,1.18673625,1.1943305,1.200571,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1.2,0.72,0.5878775382679627,0.0,1.2,1.2,5
FEMBAR_EigenSimplicialLDLT,0.000301,0.000988,0.00035014,4.924930862458883e-05,0.000331,0.000342,0.000354,1000,2.517596,4.874604,2.5726446800000002,0.18111337447567366,2.53123075,2.545744,2.56629825,1000,0.051044,0.104363,0.053080007,0.003100960622605679,0.05193725,0.0524645,0.05343125,1000,0.042789,0.091432,0.044993428,0.0028464143083563923,0.04424875,0.0445395,0.04534275,1000,0.69754,2.045648,0.718819709,0.09292099743795436,0.7037135,0.705943,0.71787625,1000,1.691882,2.709982,1.7315868859999999,0.10219393794815328,1.704574,1.708816,1.72538175,1000,0.001288,0.012507,0.00149468,0.00047173369987737785,0.001411,0.001447,0.00150425,1000,0.012674,0.031115,0.013585450999999998,0.0011315698704008517,0.013077,0.0133685,0.0137605,1000,2.542555,4.935612,2.59976883,0.18346303554155832,2.5576,2.5727735,2.59407175,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1.2,0.48,0.5878775382679627,0.0,0.0,1.2,5
FEMBAR_EigenSimplicialLLT,0.000289,0.009817,0.00035525099999999995,0.00030339045798937056,0.000321,0.000337,0.000356,1000,2.622978,4.912502,2.692035869,0.17555959362356657,2.6366425,2.666883,2.69379225,1000,0.051415,0.103068,0.05482495,0.004812970006295489,0.051971,0.052644,0.05653075,1000,0.043874,0.074841,0.046011305,0.0029055485630040674,0.0442645,0.044689,0.0471105,1000,0.698015,1.898835,0.718155193,0.08309859658864131,0.70382175,0.707155,0.71327475,1000,1.799998,2.836209,1.849156385,0.10512108143625985,1.81247125,1.8275255,1.84940375,1000,0.001288,0.010828,0.001520856,0.000348747910766502,0.001418,0.001469,0.001564,1000,0.012627,0.026413,0.013239182,0.0009188286003798533,0.012978,0.0130995,0.01325925,1000,2.647887,4.972219,2.7186256699999998,0.17789730491750314,2.66288075,2.692902,2.71977325,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
