SceneName,CollisionDetection_min,CollisionDetection_max,CollisionDetection_mean,CollisionDetection_std,CollisionDetection_quartile1,CollisionDetection_quartile2,CollisionDetection_quartile3,CollisionDetection_cardinality,ODESolve_min,ODESolve_max,ODESolve_mean,ODESolve_std,ODESolve_quartile1,ODESolve_quartile2,ODESolve_quartile3,ODESolve_cardinality,ComputeForce_min,ComputeForce_max,ComputeForce_mean,ComputeForce_std,ComputeForce_quartile1,ComputeForce_quartile2,ComputeForce_quartile3,ComputeForce_cardinality,ComputeRHTerm_min,ComputeRHTerm_max,ComputeRHTerm_mean,ComputeRHTerm_std,ComputeRHTerm_quartile1,ComputeRHTerm_quartile2,ComputeRHTerm_quartile3,ComputeRHTerm_cardinality,setSystemMBKMatrix_min,setSystemMBKMatrix_max,setSystemMBKMatrix_mean,setSystemMBKMatrix_std,setSystemMBKMatrix_quartile1,setSystemMBKMatrix_quartile2,setSystemMBKMatrix_quartile3,setSystemMBKMatrix_cardinality,MBKSolve_min,MBKSolve_max,MBKSolve_mean,MBKSolve_std,MBKSolve_quartile1,MBKSolve_quartile2,MBKSolve_quartile3,MBKSolve_cardinality,ProjectAndMechaMap_min,ProjectAndMechaMap_max,ProjectAndMechaMap_mean,ProjectAndMechaMap_std,ProjectAndMechaMap_quartile1,ProjectAndMechaMap_quartile2,ProjectAndMechaMap_quartile3,ProjectAndMechaMap_cardinality,UpdateBBox_min,UpdateBBox_max,UpdateBBox_mean,UpdateBBox_std,UpdateBBox_quartile1,UpdateBBox_quartile2,UpdateBBox_quartile3,UpdateBBox_cardinality,TimeStep_min,TimeStep_max,TimeStep_mean,TimeStep_std,TimeStep_quartile1,TimeStep_quartile2,TimeStep_quartile3,TimeStep_cardinality,SolveConstraint_min,SolveConstraint_max,SolveConstraint_mean,SolveConstraint_std,SolveConstraint_quartile1,SolveConstraint_quartile2,SolveConstraint_quartile3,SolveConstraint_cardinality,PrepareState_min,PrepareState_max,PrepareState_mean,PrepareState_std,PrepareState_quartile1,PrepareState_quartile2,PrepareState_quartile3,PrepareState_cardinality,BuildSystem_min,BuildSystem_max,BuildSystem_mean,BuildSystem_std,BuildSystem_quartile1,BuildSystem_quartile2,BuildSystem_quartile3,BuildSystem_cardinality,SolveSystem_min,SolveSystem_max,SolveSystem_mean,SolveSystem_std,SolveSystem_quartile1,SolveSystem_quartile2,SolveSystem_quartile3,SolveSystem_cardinality,ApplyCorrection_min,ApplyCorrection_max,ApplyCorrection_mean,ApplyCorrection_std,ApplyCorrection_quartile1,ApplyCorrection_quartile2,ApplyCorrection_quartile3,ApplyCorrection_cardinality,CPUUsage_min,CPUUsage_max,CPUUsage_mean,CPUUsage_std,CPUUsage_quartile1,CPUUsage_quartile2,CPUUsage_quartile3,CPUUsage_cardinality
fallingBeamLagrangianCollision,0.339344,0.690248,0.36238943529411766,0.02926140165813583,0.34812,0.353645,0.3652025,255,11.589322,14.793815,12.209296521568628,0.42656460870947227,11.9842715,12.140878,12.380222,255,0.283459,0.432866,0.2996559411764706,0.016968078576575885,0.2873265,0.294982,0.3066755,255,0.137486,0.204515,0.15033950980392158,0.01537324422083489,0.138869,0.140928,0.1670695,255,3.587782,5.415478,3.7745607921568625,0.17749931703261024,3.6685415,3.743128,3.8543845,255,3.587782,5.415478,3.7745607921568625,0.17749931703261024,3.6685415,3.743128,3.8543845,255,0.025085,0.046724,0.02796547843137255,0.0030467209462050507,0.026241,0.026722,0.029072,255,0.059309,0.113233,0.06367813333333333,0.0062316854370341734,0.0609965,0.061771,0.0644545,255,39.954519,57.410079,48.47989618431372,3.432024600198537,47.490098,47.879124,48.2777675,255,27.169958,43.142117,35.719139074509805,3.2733403863507804,35.102073,35.217237,35.4193335,255,0.02048,0.042739,0.022821886274509803,0.0034287117489889335,0.021471,0.021871,0.0224105,255,21.742381,28.669715,23.03605674509804,2.373364816918957,21.8436825,21.891593,21.9660025,255,4.965806,16.474766,12.241192250980392,1.8456874406735329,12.783842,12.894016,12.9898475,255,0.39455,0.52902,0.41678239215686275,0.022943686624359243,0.4035245,0.409391,0.419194,255,0.0,1.2,0.48,0.5878775382679627,0.0,0.0,1.2,5
SofaScene,8.685017,18.529915,9.247799436467236,0.9935414910321532,8.8608155,9.031389,9.2471085,1755,8.388196,18.154332,8.929099735612535,0.9858702999342983,8.54838,8.711406,8.925195,1755,0.004888,0.752156,0.1758818435897436,0.17281424919093044,0.028492,0.1074785,0.28347625,10530,0.005902,0.369758,0.0817515101614435,0.07902588250376037,0.01501475,0.062514,0.132129,10530,0.036665,7.476352,1.1906571312440646,1.2471787714795362,0.09132275,0.907841,1.7224995,10530,0.036665,7.476352,1.1906571312440646,1.2471787714795362,0.09132275,0.907841,1.7224995,10530,0.093445,0.214221,0.11188434586894587,0.01545188352580971,0.1005535,0.109089,0.117438,1755,0.148076,0.267391,0.16447341196581197,0.015428375401143285,0.1542285,0.159885,0.1657805,1755,23.649015,52.650863,30.83268944159544,4.170483160778155,27.933318,30.092309,33.0539,1755,14.325637,36.03572,21.03075283817664,3.807006770141912,18.366716,20.496425,23.105239,1755,0.07344,0.175412,0.08591484672364673,0.012107588301589211,0.079598,0.082636,0.086363,1755,13.649792,34.64589,20.168937162393163,3.7107332038020955,17.5637325,19.660503,22.117064,1755,0.101775,0.721869,0.2655075299145299,0.10942876840702694,0.199866,0.239417,0.294317,1755,0.436012,0.887128,0.5081629943019943,0.04554986750256056,0.4799975,0.499229,0.5273205,1755,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
BilateralLagrangianConstraint_NNCG,0.036015,1.758334,0.10657287300000001,0.12321007177375912,0.0525935,0.092094,0.1229645,1000,0.189742,0.331303,0.21297250399999998,0.021931460372988935,0.195854,0.2014585,0.22930925,1000,0.001938,0.022238,0.0026714825,0.001092209363260428,0.00212875,0.0022385,0.003035,4000,0.004004,0.030103,0.0051689530000000004,0.0015400150919036475,0.004312,0.004487,0.00582625,4000,0.014201,0.052846,0.016999558249999998,0.0029693714910914966,0.014999,0.015745,0.01811125,4000,0.014201,0.052846,0.016999558249999998,0.0029693714910914966,0.014999,0.015745,0.01811125,4000,0.020276,0.054506,0.022893395,0.0038378562014456715,0.020641,0.02085,0.02468925,1000,0.026392,0.063951,0.02911679,0.003957957413856294,0.0269445,0.0273915,0.0304775,1000,0.488064,2.441812,0.59434341,0.15411758360684188,0.5192755,0.5529205,0.65635925,1000,0.088182,0.177273,0.102768428,0.016134941856815476,0.09061125,0.0944545,0.11393625,1000,0.025301,0.073172,0.029328488,0.005316181727316702,0.026208,0.0268465,0.03167275,1000,0.039639,0.101689,0.046525254,0.00900169543138869,0.040439,0.042866,0.0517635,1000,0.005595,0.028181,0.006968787000000001,0.002083075956759859,0.005811,0.005977,0.007393,1000,0.016302,0.051244,0.019382041000000003,0.004061872759124663,0.016901,0.017579,0.02078725,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
BilateralLagrangianConstraint_PGS,0.03662,1.723457,0.109847874,0.12164206487265877,0.05398725,0.095143,0.12628625,1000,0.190846,0.421592,0.21928841000000002,0.031406050580515536,0.19641675,0.2099195,0.23331675,1000,0.001921,0.021177,0.0027591765,0.0012743012213945926,0.00214,0.002282,0.00306025,4000,0.004063,0.026907,0.00537925425,0.0019088442087050836,0.004363,0.0045755,0.00587425,4000,0.014251,0.059842,0.017505436750000002,0.003931663108024317,0.01508025,0.0159335,0.018272,4000,0.014251,0.059842,0.017505436750000002,0.003931663108024317,0.01508025,0.0159335,0.018272,4000,0.020044,0.064993,0.023269008,0.004625618729417288,0.02051775,0.0207805,0.02552175,1000,0.026601,0.108889,0.030014783,0.005854024971924104,0.027111,0.0277685,0.03070075,1000,0.490109,2.461823,0.610951149,0.16147549766771677,0.5210795,0.5630195,0.669461,1000,0.087864,0.216073,0.105545064,0.019227200451701332,0.09085625,0.0957625,0.11562625,1000,0.025099,0.078066,0.030061903999999997,0.006415246821813172,0.02625125,0.0270295,0.03220475,1000,0.0397,0.128046,0.047949299,0.01040227861718763,0.0406025,0.043784,0.05303025,1000,0.005532,0.023365,0.007183706,0.002178507952146147,0.00577575,0.0063515,0.00782775,1000,0.016173,0.048283,0.019774435,0.004350595446576825,0.01682275,0.0184295,0.020992,1000,0.0,9.6,1.92,3.8400000000000003,0.0,0.0,0.0,5
BilateralLagrangianConstraint_UGS,0.045408,1.752261,0.07877781299999999,0.1176076119799651,0.052671,0.0660595,0.078518,1000,0.192127,0.328064,0.20447839199999998,0.014877063391487448,0.19612475,0.199743,0.2048185,1000,0.001963,0.024221,0.002537254,0.0011642914628579907,0.002126,0.0022,0.002934,4000,0.004017,0.028575,0.00493164525,0.0013615672913603785,0.004326,0.004435,0.005722,4000,0.014288,0.050265,0.0164209815,0.002635832572671821,0.014939,0.0155125,0.01774225,4000,0.014288,0.050265,0.0164209815,0.002635832572671821,0.014939,0.0155125,0.01774225,4000,0.020133,0.050578,0.021360740000000003,0.002857956993798192,0.02053675,0.0207095,0.02090725,1000,0.026185,0.172581,0.0279261,0.005571619479110181,0.0268945,0.0270925,0.027311,1000,0.506906,2.495136,0.568300421,0.14013664208634286,0.52331975,0.551177,0.5734565,1000,0.099186,0.218185,0.12247733100000001,0.016515352260349732,0.11092575,0.1205765,0.127124,1000,0.025155,0.060936,0.027310101,0.003899235651611608,0.025951,0.0263145,0.026729,1000,0.045142,0.108415,0.048313479,0.006587850321125929,0.045996,0.0463825,0.0471575,1000,0.008604,0.084824,0.027981116,0.010345929932709963,0.01958625,0.029076,0.0337475,1000,0.016375,0.063345,0.018327138,0.0033085496552048297,0.016977,0.0171955,0.01771375,1000,0.0,1.2,0.72,0.5878775382679627,0.0,1.2,1.2,5
FrictionContact_LCP_with_friction,0.037314,1.440291,0.08026967900000001,0.09546922923644013,0.0716815,0.074588,0.07527675,1000,0.058796,0.138222,0.078395644,0.00917924863783872,0.076286,0.0773625,0.08046325,1000,0.002926,0.021998,0.004243626,0.001107321213615995,0.004122,0.004209,0.00431825,1000,0.005802,0.025379,0.007779319999999999,0.001586642730295639,0.00763575,0.007721,0.007802,1000,0.017845,0.051858,0.024293946,0.003400594933696749,0.02387975,0.024186,0.024561,1000,0.017845,0.051858,0.024293946,0.003400594933696749,0.02387975,0.024186,0.024561,1000,0.006217,0.030708,0.009477157,0.0019485616629583472,0.00937975,0.0095085,0.009733,1000,0.010298,0.038352,0.012696063,0.0020167570118958308,0.01247275,0.012603,0.012713,1000,0.160805,1.700381,0.26459204599999997,0.10465664442764198,0.257551,0.260422,0.266788,1000,0.012289,0.122136,0.038343959999999996,0.010461365926799426,0.0390135,0.039445,0.04167875,1000,0.001943,0.019179,0.003001565,0.0007634843232018585,0.0029365,0.003011,0.00307625,1000,0.006997,0.04434,0.016546054,0.0040434552831809575,0.01687575,0.017049,0.0172135,1000,0.001721,0.056742,0.016013733,0.006156168748313435,0.0172445,0.0174315,0.01755925,1000,0.001006,0.01739,0.001373661,0.0008367040540591398,0.00126275,0.001313,0.001352,1000,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
FrictionContact_LCP_without_friction,0.040525,1.433332,0.095510857,0.09588164671628532,0.07409125,0.099398,0.10341175,1000,0.059123,0.155626,0.07817846,0.010452920476613222,0.07591775,0.076423,0.0800605,1000,0.002957,0.019904,0.00422606,0.0012091316207923767,0.004115,0.004178,0.004241,1000,0.005803,0.024807,0.0077365820000000005,0.0015818756567050395,0.007587,0.0076645,0.00772925,1000,0.018179,0.061104,0.024547309,0.0038898675154199016,0.0241235,0.024332,0.02468175,1000,0.018179,0.061104,0.024547309,0.0038898675154199016,0.0241235,0.024332,0.02468175,1000,0.006209,0.04093,0.009526673000000001,0.0020785922539235534,0.00937475,0.009597,0.0097855,1000,0.010431,0.037137,0.012606193,0.0018156266118756355,0.01243575,0.012532,0.012633,1000,0.161225,1.711939,0.27007466100000005,0.10665387340962389,0.2462605,0.276389,0.28121925,1000,0.012328,0.06952,0.028843363,0.007211231351387292,0.026346,0.030035,0.03094325,1000,0.001946,0.018243,0.002995953,0.000896011889871446,0.00290775,0.002981,0.00305425,1000,0.006984,0.042378,0.015672549,0.0040237815233433085,0.015363,0.015941,0.01635425,1000,0.001715,0.032308,0.007540758,0.003030069476998176,0.00604975,0.0090665,0.0093515,1000,0.00099,0.016448,0.001375803,0.0007881174177690783,0.001245,0.001317,0.001377,1000,0.0,19.3,5.54,7.1820888326447205,1.2,1.2,6.0,5
FixedProjectiveConstraint,0.008659,0.128759,0.010546610000000001,0.008480944061476883,0.0089695,0.009126,0.00975025,1000,1.112122,1.935287,1.159393759,0.059600664130552435,1.127626,1.146913,1.17199775,1000,0.066794,0.13979,0.069541565,0.007719144858970778,0.0670795,0.0672245,0.0678345,1000,0.037328,0.084935,0.039170949000000004,0.0050279998793157305,0.03778875,0.038003,0.038253,1000,0.014202,0.040942,0.015344946,0.0027520150746469393,0.01453075,0.014668,0.01487225,1000,0.983338,1.738001,1.0269248199999998,0.0527841351653089,0.999534,1.0162335,1.036249,1000,0.002726,0.01787,0.0031320700000000003,0.001043982974525926,0.00286475,0.00292,0.00299,1000,0.011342,0.029889,0.012206854,0.0018121725123961018,0.01165175,0.01175,0.011925,1000,1.148426,2.007281,1.1995926540000001,0.06420050007866204,1.1653535,1.184545,1.21105175,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,2.4,0.48,0.96,0.0,0.0,0.0,5
FEMBAR_EigenSimplicialLDLT,0.000279,0.009004,0.00036580099999999996,0.00028203409616392135,0.000325,0.00034,0.000361,1000,2.467736,5.020102,2.5730445189999998,0.2113167025698812,2.4943265,2.5347385,2.58197,1000,0.051892,0.118928,0.055753858999999996,0.0074515635831091855,0.05248375,0.052993,0.05410525,1000,0.044072,0.089557,0.046584233,0.005794113840675811,0.04458925,0.044813,0.04525825,1000,0.689743,2.073346,0.7233758490000001,0.0992831109554601,0.69611475,0.705067,0.72938325,1000,1.668758,3.111282,1.738983081,0.12798034351848114,1.68311,1.7153985,1.7476325,1000,0.001117,0.011484,0.001398735,0.000527240847028187,0.001251,0.001313,0.00138525,1000,0.012168,0.037979,0.013524519,0.0027044604167262274,0.012639,0.012798,0.0130555,1000,2.490292,5.077365,2.5991530490000003,0.21430899048883742,2.51843825,2.5592435,2.609533,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,9.8,2.2,3.828315556481728,0.0,0.0,1.2,5
FEMBAR_EigenSimplicialLLT,0.000284,0.003449,0.000338514,0.00010665172199266171,0.000318,0.000328,0.000341,1000,2.614844,4.846692,2.688093414,0.17406259210194075,2.639916,2.66401,2.6922485,1000,0.052301,0.084976,0.054008953,0.004026177180998248,0.052659,0.0529755,0.053743,1000,0.043867,0.082955,0.045859257,0.004324848906141231,0.0445165,0.0447385,0.0453055,1000,0.690015,1.912602,0.7156733519999999,0.08541399790894988,0.695669,0.7068695,0.71888425,1000,1.812027,2.804755,1.864920588,0.10370786236061497,1.823683,1.8457765,1.86687525,1000,0.001122,0.011299,0.00127758,0.00034388370359759703,0.001208,0.001249,0.001294,1000,0.012156,0.038815,0.012957883,0.0018165952221975592,0.012527,0.0126715,0.01283,1000,2.637441,4.9006,2.7127602740000003,0.1763344968035776,2.6640535,2.688416,2.71747525,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,3.7,0.74,1.4799999999999998,0.0,0.0,0.0,5
