SceneName,CollisionDetection_min,CollisionDetection_max,CollisionDetection_mean,CollisionDetection_std,CollisionDetection_quartile1,CollisionDetection_quartile2,CollisionDetection_quartile3,CollisionDetection_cardinality,ODESolve_min,ODESolve_max,ODESolve_mean,ODESolve_std,ODESolve_quartile1,ODESolve_quartile2,ODESolve_quartile3,ODESolve_cardinality,ComputeForce_min,ComputeForce_max,ComputeForce_mean,ComputeForce_std,ComputeForce_quartile1,ComputeForce_quartile2,ComputeForce_quartile3,ComputeForce_cardinality,ComputeRHTerm_min,ComputeRHTerm_max,ComputeRHTerm_mean,ComputeRHTerm_std,ComputeRHTerm_quartile1,ComputeRHTerm_quartile2,ComputeRHTerm_quartile3,ComputeRHTerm_cardinality,setSystemMBKMatrix_min,setSystemMBKMatrix_max,setSystemMBKMatrix_mean,setSystemMBKMatrix_std,setSystemMBKMatrix_quartile1,setSystemMBKMatrix_quartile2,setSystemMBKMatrix_quartile3,setSystemMBKMatrix_cardinality,MBKSolve_min,MBKSolve_max,MBKSolve_mean,MBKSolve_std,MBKSolve_quartile1,MBKSolve_quartile2,MBKSolve_quartile3,MBKSolve_cardinality,ProjectAndMechaMap_min,ProjectAndMechaMap_max,ProjectAndMechaMap_mean,ProjectAndMechaMap_std,ProjectAndMechaMap_quartile1,ProjectAndMechaMap_quartile2,ProjectAndMechaMap_quartile3,ProjectAndMechaMap_cardinality,UpdateBBox_min,UpdateBBox_max,UpdateBBox_mean,UpdateBBox_std,UpdateBBox_quartile1,UpdateBBox_quartile2,UpdateBBox_quartile3,UpdateBBox_cardinality,TimeStep_min,TimeStep_max,TimeStep_mean,TimeStep_std,TimeStep_quartile1,TimeStep_quartile2,TimeStep_quartile3,TimeStep_cardinality,SolveConstraint_min,SolveConstraint_max,SolveConstraint_mean,SolveConstraint_std,SolveConstraint_quartile1,SolveConstraint_quartile2,SolveConstraint_quartile3,SolveConstraint_cardinality,PrepareState_min,PrepareState_max,PrepareState_mean,PrepareState_std,PrepareState_quartile1,PrepareState_quartile2,PrepareState_quartile3,PrepareState_cardinality,BuildSystem_min,BuildSystem_max,BuildSystem_mean,BuildSystem_std,BuildSystem_quartile1,BuildSystem_quartile2,BuildSystem_quartile3,BuildSystem_cardinality,SolveSystem_min,SolveSystem_max,SolveSystem_mean,SolveSystem_std,SolveSystem_quartile1,SolveSystem_quartile2,SolveSystem_quartile3,SolveSystem_cardinality,ApplyCorrection_min,ApplyCorrection_max,ApplyCorrection_mean,ApplyCorrection_std,ApplyCorrection_quartile1,ApplyCorrection_quartile2,ApplyCorrection_quartile3,ApplyCorrection_cardinality,CPUUsage_min,CPUUsage_max,CPUUsage_mean,CPUUsage_std,CPUUsage_quartile1,CPUUsage_quartile2,CPUUsage_quartile3,CPUUsage_cardinality
fallingBeamLagrangianCollision,0.340951,0.50202,0.35914397254901964,0.01843149860841998,0.347313,0.353122,0.36351,255,11.433735,14.033246,12.058272,0.3169252500026453,11.9319095,12.066451,12.150559,255,0.28203,0.383674,0.29786900784313725,0.017422455890229633,0.286983,0.289074,0.3015795,255,0.137431,0.212444,0.14368209411764707,0.011678594496374543,0.1384585,0.13893,0.1434065,255,3.554431,4.243083,3.6882872392156862,0.08708847126791233,3.6332265,3.681149,3.730168,255,3.554431,4.243083,3.6882872392156862,0.08708847126791233,3.6332265,3.681149,3.730168,255,0.024945,0.04542,0.027032360784313727,0.00246363317298074,0.025983,0.026417,0.026861,255,0.051339,0.088378,0.05418685490196078,0.005253170641316508,0.0523665,0.052816,0.053383,255,39.895005,57.006862,47.7098505882353,2.497369744154139,47.4436435,47.739879,47.939559,255,27.219325,43.408994,35.11197992941176,2.404147182921916,35.0970015,35.206979,35.364726,255,0.020379,0.04258,0.022565647058823527,0.0022921346607220764,0.0216295,0.022179,0.0227515,255,21.749776,28.946468,22.480715172549022,1.7903936537026408,21.865707,21.903072,21.9531365,255,4.931273,14.549938,12.190511572549019,1.800050494456618,12.7288745,12.87115,12.9727365,255,0.388559,0.544269,0.4163308274509804,0.025544763177868062,0.4015205,0.408667,0.4226865,255,0.0,4.8,1.2,1.85903200617956,0.0,0.0,1.2,5
SofaScene,8.636013,18.450216,9.139987647863249,0.9227900378980577,8.812135,8.892187,9.1025395,1755,8.361479,18.1397,8.84958592991453,0.9161507799390262,8.528681,8.600448,8.8120345,1755,0.004879,0.655787,0.1720215209876543,0.16854972730196047,0.02830425,0.1159345,0.27658875,10530,0.006163,0.351026,0.07492031225071225,0.07251852985664667,0.013786,0.0608395,0.105212,10530,0.037093,7.643945,1.1766460412155746,1.2361702306694846,0.08534275,0.889626,1.6897385,10530,0.037093,7.643945,1.1766460412155746,1.2361702306694846,0.08534275,0.889626,1.6897385,10530,0.09364,0.222534,0.10720739544159544,0.013366057919671081,0.100025,0.101998,0.1099965,1755,0.127698,0.220798,0.1405139242165242,0.014104140023652362,0.1323625,0.134214,0.1409915,1755,23.754451,53.007285,30.782283341310542,3.9467326920622985,28.1212245,30.156761,32.6470645,1755,14.390336,38.507957,21.069400227350428,3.7078874964251662,18.524986,20.530796,22.872021,1755,0.073768,0.158462,0.08422155840455842,0.010985394049312418,0.078974,0.081245,0.0832485,1755,13.583959,37.248764,20.21204858119658,3.615985449254822,17.7104995,19.678814,22.029177,1755,0.106289,1.059565,0.26587863874643874,0.11181719630685316,0.202856,0.239985,0.2933605,1755,0.439366,0.863615,0.5050682307692308,0.04233391186394874,0.479521,0.497244,0.521105,1755,0.0,1.2,0.72,0.5878775382679627,0.0,1.2,1.2,5
BilateralLagrangianConstraint_NNCG,0.033203,1.719299,0.108000023,0.11984289683948927,0.052366,0.09161,0.12393025,1000,0.191113,0.473487,0.220567865,0.04255570149005624,0.19720625,0.20325,0.2311975,1000,0.001951,0.04195,0.00276365975,0.0013309353355741734,0.002167,0.002301,0.003046,4000,0.004078,0.02878,0.0053605725,0.0020325741600846327,0.004337,0.004507,0.005819,4000,0.014388,0.068976,0.01762110275,0.004495856445627734,0.015146,0.015909,0.018168,4000,0.014388,0.068976,0.01762110275,0.004495856445627734,0.015146,0.015909,0.018168,4000,0.020189,0.071499,0.023829852,0.006266682568161244,0.02077,0.0209685,0.0249525,1000,0.025093,0.060632,0.028400546999999998,0.005172675838073656,0.02572675,0.0260965,0.02931775,1000,0.494754,2.487857,0.61958437,0.1789304866098539,0.526688,0.562263,0.671022,1000,0.089962,0.24166,0.108204325,0.02341868487032043,0.093119,0.097367,0.11758825,1000,0.025104,0.090924,0.030228237,0.0070654629230384475,0.02642925,0.0271,0.03228475,1000,0.041089,0.134744,0.049827787,0.0126638165878076,0.042015,0.044909,0.054688,1000,0.006147,0.031465,0.007770513,0.0025383644080058717,0.00638775,0.006552,0.0081545,1000,0.01636,0.048976,0.019816032,0.004660108797547113,0.01696875,0.0176405,0.02082625,1000,0.0,16.9,3.38,6.759999999999999,0.0,0.0,0.0,5
BilateralLagrangianConstraint_PGS,0.039607,1.696555,0.105122096,0.12051501429549259,0.0525995,0.090074,0.123288,1000,0.19122,0.311501,0.213791328,0.02125964319842683,0.19702575,0.2034765,0.2308215,1000,0.00196,0.021245,0.002666288,0.0010405611623330942,0.002131,0.002255,0.003012,4000,0.004036,0.026163,0.00516241475,0.0013986242232038016,0.004336,0.004528,0.005773,4000,0.014258,0.054183,0.01713237975,0.002929695417964116,0.015222,0.016016,0.01823925,4000,0.014258,0.054183,0.01713237975,0.002929695417964116,0.015222,0.016016,0.01823925,4000,0.020299,0.067289,0.023086238000000002,0.004138483256865491,0.02075,0.0209765,0.024856,1000,0.025122,0.101331,0.02774306,0.0041241065163741845,0.02568,0.0261235,0.029109,1000,0.494078,2.40907,0.60147885,0.15333786108397202,0.5142,0.5598575,0.66642425,1000,0.090086,0.214356,0.104943433,0.01571828178127339,0.09308325,0.097075,0.11644925,1000,0.025381,0.060487,0.029271611,0.004518347495897033,0.026308,0.026917,0.03214025,1000,0.040934,0.099794,0.048279832,0.008792444515478958,0.04203675,0.0448885,0.05402975,1000,0.006018,0.021836,0.00758855,0.0017191030264355886,0.00639775,0.0068895,0.008171,1000,0.016313,0.068777,0.019238643,0.0033977146427490055,0.016913,0.017717,0.0209265,1000,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
BilateralLagrangianConstraint_UGS,0.034804,1.664253,0.07722778999999999,0.11578901225715633,0.05141825,0.064764,0.0777505,1000,0.192227,0.345602,0.206724481,0.01608843003974095,0.19716425,0.2006485,0.20795475,1000,0.00193,0.022009,0.00255612925,0.0012201028112599518,0.002125,0.002233,0.00293225,4000,0.004105,0.022049,0.004951463,0.0014100355753068783,0.004327,0.004426,0.005712,4000,0.014383,0.060363,0.0166402565,0.0029830990370263858,0.015064,0.0157065,0.0178,4000,0.014383,0.060363,0.0166402565,0.0029830990370263858,0.015064,0.0157065,0.0178,4000,0.020203,0.051585,0.021638545,0.0031861657248132905,0.02072175,0.020856,0.021037,1000,0.025251,0.078901,0.026626112,0.0035677530791039897,0.025671,0.0258145,0.02604275,1000,0.513742,2.371539,0.578704552,0.13783659282421812,0.53454975,0.5599715,0.586048,1000,0.101474,0.228862,0.125613802,0.016866998113855232,0.113691,0.123425,0.130643,1000,0.025234,0.062201,0.027801226999999998,0.004669295054231527,0.02620825,0.026574,0.026988,1000,0.046311,0.124165,0.050171282,0.007440470801936931,0.04731975,0.047756,0.04882225,1000,0.009263,0.094962,0.028546098000000002,0.01010041587858619,0.02022825,0.029621,0.03422025,1000,0.016668,0.04434,0.018556252,0.0030643392189011976,0.01722,0.017423,0.01788425,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
FrictionContact_LCP_with_friction,0.03945,1.460059,0.079413896,0.09753439021050567,0.0707615,0.0734585,0.07446425,1000,0.059072,0.1659,0.077935997,0.00965265705476948,0.07595875,0.076631,0.08014025,1000,0.002848,0.03413,0.004145815,0.0016464773884797205,0.004007,0.004083,0.004153,1000,0.005817,0.027645,0.007702081,0.00167291579657764,0.007545,0.007628,0.00769925,1000,0.017979,0.064774,0.024427006,0.0037101505527355623,0.02407825,0.0243345,0.02466975,1000,0.017979,0.064774,0.024427006,0.0037101505527355623,0.02407825,0.0243345,0.02466975,1000,0.006205,0.034342,0.009525915000000001,0.002176772145580469,0.009357,0.009508,0.0097575,1000,0.009577,0.037738,0.011966445,0.00203717877835378,0.01172575,0.0118225,0.01192725,1000,0.160683,1.747491,0.26512589799999997,0.10791201490407636,0.25766375,0.260664,0.26546375,1000,0.012588,0.083261,0.038821166,0.010332567105828252,0.039372,0.039948,0.04138775,1000,0.001884,0.024557,0.002955478,0.0009162208442924664,0.0028785,0.002956,0.00302325,1000,0.00721,0.047041,0.016959875,0.004321225855631131,0.017145,0.0173545,0.017527,1000,0.001865,0.055438,0.016316656000000002,0.006194813839629405,0.017498,0.017724,0.017876,1000,0.000977,0.00793,0.00132759,0.000364350764923034,0.001257,0.0012995,0.001344,1000,0.0,10.7,2.38,4.185881030320857,0.0,0.0,1.2,5
FrictionContact_LCP_without_friction,0.039731,1.465936,0.094998285,0.09639272490336485,0.07323925,0.0981935,0.10254825,1000,0.058971,0.151629,0.077722148,0.010044960670510163,0.075529,0.0763375,0.07947575,1000,0.002866,0.020282,0.004148905,0.0012729686586774242,0.004014,0.0040855,0.00415,1000,0.005834,0.028057,0.00774677,0.0017475754928185504,0.007528,0.007627,0.0077605,1000,0.018001,0.063716,0.024360215,0.004107251833620019,0.023826,0.024206,0.02459075,1000,0.018001,0.063716,0.024360215,0.004107251833620019,0.023826,0.024206,0.02459075,1000,0.006242,0.036849,0.009464522999999999,0.0023399418042915087,0.00925875,0.0094125,0.00967025,1000,0.009635,0.039796,0.012000595999999999,0.0024275761971118436,0.01167475,0.011771,0.011886,1000,0.161792,1.719579,0.27089516999999996,0.10644472322092391,0.24599375,0.27663,0.28293875,1000,0.012721,0.073771,0.028813804,0.006717583861298942,0.02659875,0.030328,0.0310715,1000,0.001905,0.018855,0.002928105,0.0008963090281677409,0.00282775,0.002909,0.002999,1000,0.007256,0.050203,0.015731755,0.003791312220455472,0.0156055,0.0161745,0.01653725,1000,0.001898,0.030336,0.007619289,0.002802179728975106,0.006246,0.0088895,0.00953925,1000,0.000951,0.005421,0.001295998,0.00025859217698143925,0.001204,0.001283,0.00134125,1000,0.0,1.2,0.24,0.48,0.0,0.0,0.0,5
FixedProjectiveConstraint,0.008879,0.144043,0.010865334,0.009090448493690726,0.00917175,0.009356,0.00994325,1000,1.124352,2.128922,1.192030991,0.06259428237459808,1.148734,1.187011,1.22141675,1000,0.067297,0.132068,0.071312676,0.007524394504611252,0.0677205,0.068231,0.071714,1000,0.037779,0.084556,0.040423202,0.005235833949161872,0.0381785,0.038484,0.040351,1000,0.014318,0.048203,0.015955413,0.003271574855391666,0.01476675,0.014962,0.01549925,1000,0.996027,1.984523,1.055461278,0.057371405178893047,1.018792,1.043385,1.08155225,1000,0.002721,0.015284,0.003227725,0.0010457540673480547,0.002897,0.002978,0.0031095,1000,0.01104,0.038881,0.011972242000000001,0.002144603284860862,0.01129075,0.0114035,0.011786,1000,1.162476,2.188502,1.234578657,0.06673151631309865,1.18877325,1.228228,1.26519225,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,4.9,1.2200000000000002,1.8977881862842334,0.0,0.0,1.2,5
FEMBAR_EigenSimplicialLDLT,0.000278,0.013268,0.000361935,0.0004146456882387661,0.000313,0.000331,0.000358,1000,2.46324,5.557422,2.541728391,0.20449251967792884,2.48433375,2.502772,2.536755,1000,0.050963,0.118192,0.054838314,0.007780081972280498,0.0523995,0.0528685,0.053458,1000,0.04282,0.101825,0.046397576999999995,0.005512764493797191,0.04422675,0.044627,0.0476525,1000,0.687708,2.262299,0.71395395,0.09917092571590476,0.69400175,0.6967725,0.71523625,1000,1.665276,3.065703,1.71859972,0.11748698817731947,1.67933,1.6926815,1.71804575,1000,0.00116,0.0054,0.001354596,0.0003249179416160333,0.001251,0.0012945,0.001342,1000,0.011816,0.054871,0.012847254999999998,0.0025848971991116014,0.01213975,0.0122665,0.01244625,1000,2.486868,5.635957,2.568004446,0.20806301949241984,2.50893825,2.529115,2.56355825,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,4.8,0.96,1.9200000000000002,0.0,0.0,0.0,5
FEMBAR_EigenSimplicialLLT,0.000285,0.004166,0.000372527,0.00016161846203636515,0.000324,0.000338,0.000359,1000,2.606847,4.829184,2.707212657,0.19470297747611193,2.63187675,2.6523385,2.7071135,1000,0.051681,0.120472,0.055992558,0.009040567131581736,0.05248075,0.052848,0.053706,1000,0.043209,0.091438,0.046032618000000004,0.004885187428756035,0.044422,0.0446185,0.04502175,1000,0.68986,1.921606,0.718147858,0.08843162480080209,0.695746,0.699747,0.72175775,1000,1.807355,2.780733,1.878512229,0.11859315195660565,1.82568975,1.8395815,1.8892515,1000,0.001138,0.012443,0.0015268209999999998,0.0007426393963149275,0.001287,0.001342,0.00142525,1000,0.011667,0.03989,0.013147578,0.00280934006875565,0.012069,0.0122665,0.01256325,1000,2.629789,4.881336,2.734342107,0.19872563770676782,2.656882,2.6765995,2.73329475,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,8.4,1.92,3.2731636072766057,0.0,0.0,1.2,5
