SceneName,CollisionDetection_min,CollisionDetection_max,CollisionDetection_mean,CollisionDetection_std,CollisionDetection_quartile1,CollisionDetection_quartile2,CollisionDetection_quartile3,CollisionDetection_cardinality,ODESolve_min,ODESolve_max,ODESolve_mean,ODESolve_std,ODESolve_quartile1,ODESolve_quartile2,ODESolve_quartile3,ODESolve_cardinality,ComputeForce_min,ComputeForce_max,ComputeForce_mean,ComputeForce_std,ComputeForce_quartile1,ComputeForce_quartile2,ComputeForce_quartile3,ComputeForce_cardinality,ComputeRHTerm_min,ComputeRHTerm_max,ComputeRHTerm_mean,ComputeRHTerm_std,ComputeRHTerm_quartile1,ComputeRHTerm_quartile2,ComputeRHTerm_quartile3,ComputeRHTerm_cardinality,setSystemMBKMatrix_min,setSystemMBKMatrix_max,setSystemMBKMatrix_mean,setSystemMBKMatrix_std,setSystemMBKMatrix_quartile1,setSystemMBKMatrix_quartile2,setSystemMBKMatrix_quartile3,setSystemMBKMatrix_cardinality,MBKSolve_min,MBKSolve_max,MBKSolve_mean,MBKSolve_std,MBKSolve_quartile1,MBKSolve_quartile2,MBKSolve_quartile3,MBKSolve_cardinality,ProjectAndMechaMap_min,ProjectAndMechaMap_max,ProjectAndMechaMap_mean,ProjectAndMechaMap_std,ProjectAndMechaMap_quartile1,ProjectAndMechaMap_quartile2,ProjectAndMechaMap_quartile3,ProjectAndMechaMap_cardinality,UpdateBBox_min,UpdateBBox_max,UpdateBBox_mean,UpdateBBox_std,UpdateBBox_quartile1,UpdateBBox_quartile2,UpdateBBox_quartile3,UpdateBBox_cardinality,TimeStep_min,TimeStep_max,TimeStep_mean,TimeStep_std,TimeStep_quartile1,TimeStep_quartile2,TimeStep_quartile3,TimeStep_cardinality,SolveConstraint_min,SolveConstraint_max,SolveConstraint_mean,SolveConstraint_std,SolveConstraint_quartile1,SolveConstraint_quartile2,SolveConstraint_quartile3,SolveConstraint_cardinality,PrepareState_min,PrepareState_max,PrepareState_mean,PrepareState_std,PrepareState_quartile1,PrepareState_quartile2,PrepareState_quartile3,PrepareState_cardinality,BuildSystem_min,BuildSystem_max,BuildSystem_mean,BuildSystem_std,BuildSystem_quartile1,BuildSystem_quartile2,BuildSystem_quartile3,BuildSystem_cardinality,SolveSystem_min,SolveSystem_max,SolveSystem_mean,SolveSystem_std,SolveSystem_quartile1,SolveSystem_quartile2,SolveSystem_quartile3,SolveSystem_cardinality,ApplyCorrection_min,ApplyCorrection_max,ApplyCorrection_mean,ApplyCorrection_std,ApplyCorrection_quartile1,ApplyCorrection_quartile2,ApplyCorrection_quartile3,ApplyCorrection_cardinality,CPUUsage_min,CPUUsage_max,CPUUsage_mean,CPUUsage_std,CPUUsage_quartile1,CPUUsage_quartile2,CPUUsage_quartile3,CPUUsage_cardinality
fallingBeamLagrangianCollision,0.329195,0.556823,0.34482666666666667,0.017817981021678322,0.3382055,0.34176,0.345661,255,11.880676,13.840377,12.310406596078431,0.23354728703278507,12.1592695,12.372913,12.440687,255,0.284358,0.399477,0.29383506666666664,0.012482146818221376,0.2879045,0.289774,0.295625,255,0.136756,0.185719,0.14089692156862743,0.006108138036767134,0.1384035,0.139159,0.140115,255,3.911422,4.397486,3.984918043137255,0.0530314680008354,3.944776,3.98449,4.0086695,255,3.911422,4.397486,3.984918043137255,0.0530314680008354,3.944776,3.98449,4.0086695,255,0.022554,0.029857,0.02420979607843137,0.0010286250815608152,0.0236535,0.024022,0.024451,255,0.054618,0.084031,0.0566978,0.0022188912429939632,0.055927,0.05637,0.0568405,255,39.955475,49.044817,47.21614449803921,1.731932855887249,47.585274,47.874758,48.0551105,255,27.051377,36.066086,34.38090216862745,1.7785193156909382,35.0003695,35.087068,35.150447,255,0.020319,0.032722,0.022042329411764705,0.0014612810553964076,0.021293,0.021854,0.022312,255,21.787091,22.65279,21.909365470588238,0.06860857006730652,21.8722665,21.903824,21.93514,255,4.823139,13.578027,12.040880862745098,1.7762974588309026,12.676783,12.757299,12.8003605,255,0.389637,0.5589,0.40626990588235296,0.018972394531264775,0.397588,0.400699,0.405928,255,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
SofaScene,12.034618,36.016234,13.173584315669515,0.6768823186512888,12.9494725,13.030753,13.191967,1755,11.722775,35.547541,12.84318725982906,0.6718950295420909,12.625946,12.703342,12.8606865,1755,0.007965,1.302893,0.240436922317189,0.21561866551713857,0.04685725,0.296484,0.3845855,10530,0.00895,0.499467,0.09498104055080721,0.07850615171048275,0.0215985,0.10292,0.15124725,10530,0.09377,12.801938,1.8629996078822413,1.900403108079197,0.170803,1.104962,2.68310725,10530,0.09377,12.801938,1.8629996078822413,1.900403108079197,0.170803,1.104962,2.68310725,10530,0.090964,0.261532,0.10617691680911681,0.014174890953958413,0.0978305,0.100112,0.1130135,1755,0.137006,0.220871,0.15007123133903133,0.01396329979062179,0.141786,0.143527,0.1520225,1755,23.737533,55.147605,28.816844414814813,2.4759974572017738,27.1015535,28.715172,30.5287715,1755,10.264772,28.73408,15.054606017094018,2.3665325718480887,13.422333,14.8331,16.7940315,1755,0.073368,0.514336,0.08633393561253562,0.015344948436335748,0.080488,0.082699,0.0853585,1755,9.44776,27.518912,14.21813297150997,2.2818727595297164,12.665353,14.029622,15.938994,1755,0.104053,0.651384,0.26246422336182335,0.105698562573812,0.201063,0.23664,0.2936525,1755,0.416827,1.049691,0.48557851566951565,0.03314105764957382,0.462063,0.484104,0.504411,1755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
BilateralLagrangianConstraint_NNCG,0.029406,1.716777,0.095838212,0.12089988516311773,0.04393475,0.081156,0.11247775,1000,0.282766,0.463004,0.312150835,0.027441005462915804,0.29202275,0.3000305,0.330304,1000,0.00116,0.017122,0.00192111025,0.0008230689112066727,0.001487,0.001678,0.002315,4000,0.002983,0.034196,0.0038898987499999997,0.0011033223266563755,0.003279,0.0034695,0.004441,4000,0.02293,0.098137,0.02596832575,0.0036269683804986412,0.02395575,0.0246335,0.02635375,4000,0.02293,0.098137,0.02596832575,0.0036269683804986412,0.02395575,0.0246335,0.02635375,4000,0.019945,0.050219,0.022626911,0.0031952634691178442,0.02056275,0.0207925,0.02455625,1000,0.027312,0.067537,0.029703758,0.0033958886727093987,0.0279025,0.028257,0.030851,1000,0.58416,2.557187,0.696179453,0.15837292327008362,0.6073425,0.652414,0.7630675,1000,0.092302,0.202885,0.10634806200000001,0.015634945940813355,0.095145,0.098918,0.11635225,1000,0.025783,0.069566,0.029942233,0.00463845167709129,0.026933,0.0275385,0.0325285,1000,0.041594,0.122409,0.048543250999999996,0.008549602706558886,0.04276375,0.0450945,0.05312025,1000,0.006234,0.021714,0.007602745,0.0016926108944394162,0.0065055,0.0066825,0.008258,1000,0.016814,0.065268,0.019660670999999998,0.003463184613438764,0.01758075,0.018081,0.02126875,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
BilateralLagrangianConstraint_PGS,0.027117,1.651158,0.09524629700000001,0.1181223825276852,0.04335925,0.0813115,0.1119805,1000,0.283457,0.475843,0.31252531699999997,0.026971045436514157,0.29250425,0.2993225,0.33284075,1000,0.001149,0.021956,0.001949512,0.0008883591615197088,0.001504,0.001697,0.00232825,4000,0.002976,0.019369,0.00393141375,0.0009688688234538964,0.003338,0.003538,0.004447,4000,0.023291,0.085176,0.0259735795,0.0034994804826116335,0.023942,0.024454,0.02647325,4000,0.023291,0.085176,0.0259735795,0.0034994804826116335,0.023942,0.024454,0.02647325,4000,0.020262,0.056242,0.022697237000000002,0.003351090983371087,0.02059075,0.0208035,0.02458225,1000,0.027284,0.065209,0.029526005,0.002986593786067164,0.027845,0.028207,0.03077325,1000,0.583295,2.495083,0.695716279,0.1565651846711559,0.603302,0.6502235,0.7648675,1000,0.09101,0.222893,0.106360651,0.016662687068213188,0.094603,0.098429,0.1172755,1000,0.025568,0.097225,0.029637648000000003,0.0054064542757796446,0.0265735,0.0272995,0.03189025,1000,0.041408,0.120602,0.04885331,0.009087767450804406,0.0427415,0.0445395,0.053897,1000,0.006069,0.020664,0.007583563,0.0017538452143878035,0.006339,0.0068705,0.008153,1000,0.016846,0.063229,0.019685589,0.0031880929164751453,0.0175745,0.018095,0.02137025,1000,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
BilateralLagrangianConstraint_UGS,0.023882,1.76544,0.06708454,0.11997508916939549,0.0423765,0.0540745,0.06712175,1000,0.285981,0.426035,0.299221026,0.01733536382714029,0.29093875,0.294195,0.298774,1000,0.00124,0.019855,0.0018203052499999998,0.0008652812395819278,0.001444,0.001561,0.002276,4000,0.003004,0.022179,0.0037453305,0.0009746163379862611,0.003269,0.0034,0.004377,4000,0.023224,0.062284,0.02503522675,0.002736042547519033,0.0237995,0.024168,0.02554925,4000,0.023224,0.062284,0.02503522675,0.002736042547519033,0.0237995,0.024168,0.02554925,4000,0.020121,0.040578,0.021088584,0.001554846255082476,0.0205365,0.020707,0.0209165,1000,0.027307,0.061762,0.028472348999999997,0.002422393528970675,0.02775875,0.0279155,0.0281255,1000,0.602719,2.608411,0.664539169,0.1441175163874622,0.62011225,0.647789,0.666038,1000,0.103297,0.241441,0.126556354,0.01617445219012638,0.11530325,0.1252455,0.13170825,1000,0.025925,0.089565,0.027778626,0.0038307802732764507,0.02666375,0.027003,0.027447,1000,0.047227,0.111362,0.050279976000000004,0.006432074589852329,0.048094,0.0484965,0.04942125,1000,0.009264,0.065406,0.029312284,0.010132503289974497,0.02078475,0.0307485,0.03565325,1000,0.017059,0.044869,0.018622522000000002,0.002505543019290629,0.01757375,0.017786,0.01812525,1000,0.0,1.2,0.48,0.5878775382679627,0.0,0.0,1.2,5
FrictionContact_LCP_with_friction,0.037098,1.519414,0.081099641,0.09971497300330637,0.0736085,0.074329,0.07742775,1000,0.088389,0.186122,0.112070878,0.010032507518617468,0.11160475,0.11242,0.113427,1000,0.00214,0.021677,0.0031612130000000004,0.0011656155779805792,0.002995,0.0030655,0.00312925,1000,0.004382,0.021675,0.005891423,0.001181912647394468,0.005732,0.005807,0.005888,1000,0.028983,0.070232,0.037208665,0.0037139442939784382,0.037017,0.037379,0.03773675,1000,0.028983,0.070232,0.037208665,0.0037139442939784382,0.037017,0.037379,0.03773675,1000,0.006391,0.02208,0.009590969,0.001464574413281551,0.00958275,0.0096785,0.009795,1000,0.010894,0.033719,0.013114895,0.001650408811166191,0.0129025,0.0130145,0.013114,1000,0.192361,1.830717,0.302946329,0.1104097529503837,0.2984525,0.3011085,0.30484325,1000,0.013084,0.117572,0.039292232,0.010425577287909576,0.04053225,0.0408695,0.04142925,1000,0.002172,0.011749,0.003212809,0.0006834563574354986,0.003073,0.0031605,0.003247,1000,0.007355,0.046167,0.017266715,0.0039932682802154675,0.01743075,0.017559,0.017733,1000,0.001895,0.08901,0.016785878,0.0067289828808755345,0.0179935,0.018223,0.01838025,1000,0.000977,0.019453,0.001499998,0.0008858351054208677,0.001329,0.001379,0.001432,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
FrictionContact_LCP_without_friction,0.037391,1.506927,0.09678869899999999,0.09896756269582675,0.074966,0.1030435,0.10532925,1000,0.087172,0.186559,0.111725952,0.010680081376361136,0.11066975,0.11172,0.1130445,1000,0.002185,0.020435,0.003125006,0.0011466820544353174,0.00296275,0.00303,0.003094,1000,0.004369,0.022095,0.005769774,0.0011462504459863907,0.00563075,0.005719,0.005808,1000,0.028727,0.084401,0.037085702,0.00402324571151154,0.03673,0.0372255,0.0376435,1000,0.028727,0.084401,0.037085702,0.00402324571151154,0.03673,0.0372255,0.0376435,1000,0.006336,0.019964,0.009408384,0.0013142784973299991,0.00941975,0.009545,0.00967825,1000,0.010763,0.039397,0.013010378000000001,0.0018629611727344186,0.01279375,0.012903,0.013013,1000,0.190006,1.806903,0.30760050099999997,0.1101984793974581,0.28550375,0.3173365,0.3224445,1000,0.01286,0.063762,0.029127393,0.006456272455415043,0.0270965,0.0311355,0.03172725,1000,0.002134,0.01235,0.003202031,0.0007521259482553437,0.003058,0.003138,0.00322325,1000,0.007136,0.038793,0.015983392,0.0036680263331028582,0.015628,0.016368,0.01674075,1000,0.001904,0.020628,0.007990131999999999,0.0027893539231470792,0.006481,0.009624,0.0099445,1000,0.000972,0.007077,0.001437603,0.0006448011223555679,0.00126575,0.001336,0.001398,1000,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
FixedProjectiveConstraint,0.006452,0.134297,0.008136514000000001,0.009079185294166212,0.006757,0.006877,0.0071115,1000,1.143822,1.279435,1.161743797,0.019789889035307675,1.149992,1.155629,1.161588,1000,0.066364,0.122318,0.06815742200000001,0.005070332233090451,0.066755,0.0669895,0.067891,1000,0.037036,0.067754,0.038137625999999994,0.002689279204940238,0.037469,0.0376225,0.0377795,1000,0.022581,0.083345,0.023585253,0.0028159572754200305,0.02296375,0.0230895,0.02327275,1000,0.993772,1.121114,1.008242894,0.016484446436770755,0.9979505,1.0035465,1.00772475,1000,0.002686,0.012126,0.0030812979999999997,0.0006978651955757644,0.00288,0.002941,0.003001,1000,0.011353,0.026671,0.011802866,0.0009754759320680341,0.01155975,0.011634,0.011724,1000,1.179637,1.467038,1.2004452819999998,0.026079049133058436,1.18763175,1.1934825,1.200371,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1.2,0.24,0.48,0.0,0.0,0.0,5
FEMBAR_EigenSimplicialLDLT,0.000285,0.00091,0.00034545100000000004,4.623857263151622e-05,0.000327,0.000341,0.000354,1000,2.586058,5.043965,2.648023582,0.18672079314909007,2.5934795,2.6128415,2.657065,1000,0.051648,0.100525,0.05338978,0.003870256359674382,0.052102,0.052536,0.05306775,1000,0.043953,0.088023,0.045259271999999996,0.0030523013150762163,0.04427975,0.044545,0.04523275,1000,0.698377,2.144774,0.717646249,0.0968787638867621,0.70376675,0.705966,0.70896475,1000,1.763457,2.800854,1.8076905090000002,0.10436792319159138,1.7677745,1.771153,1.82685575,1000,0.001188,0.003953,0.0014013440000000001,0.00018168890902859204,0.001293,0.001344,0.001477,1000,0.012706,0.023909,0.013396855,0.0007144223274611454,0.01309,0.0132775,0.0135,1000,2.610342,5.105611,2.674544643,0.18911994517269073,2.61950375,2.640146,2.68332425,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1.2,0.24,0.48,0.0,0.0,0.0,5
FEMBAR_EigenSimplicialLLT,0.000284,0.00082,0.00033725,4.432806672978193e-05,0.000319,0.00033,0.000345,1000,2.619266,4.803225,2.667622432,0.16983532432771273,2.62696075,2.6328525,2.65575225,1000,0.051695,0.090562,0.053105782,0.0025472958384286657,0.05226375,0.0525935,0.052963,1000,0.044059,0.06421,0.044973904,0.0018873869509944165,0.04439175,0.044537,0.04472225,1000,0.699115,1.872103,0.716522253,0.08210307565824189,0.7049525,0.7065795,0.708691,1000,1.793992,2.775098,1.8290202439999999,0.10119081478715579,1.79975925,1.8028425,1.821314,1000,0.001191,0.004142,0.0013701610000000002,0.00017222591291382374,0.001308,0.001346,0.001389,1000,0.012805,0.027316,0.013344468,0.001040310709824714,0.013066,0.013172,0.0133335,1000,2.644665,4.860038,2.694101481,0.17194129907536942,2.653146,2.659627,2.681115,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1.2,0.24,0.48,0.0,0.0,0.0,5
