SceneName,CollisionDetection_min,CollisionDetection_max,CollisionDetection_mean,CollisionDetection_std,CollisionDetection_quartile1,CollisionDetection_quartile2,CollisionDetection_quartile3,CollisionDetection_cardinality,ODESolve_min,ODESolve_max,ODESolve_mean,ODESolve_std,ODESolve_quartile1,ODESolve_quartile2,ODESolve_quartile3,ODESolve_cardinality,ComputeForce_min,ComputeForce_max,ComputeForce_mean,ComputeForce_std,ComputeForce_quartile1,ComputeForce_quartile2,ComputeForce_quartile3,ComputeForce_cardinality,ComputeRHTerm_min,ComputeRHTerm_max,ComputeRHTerm_mean,ComputeRHTerm_std,ComputeRHTerm_quartile1,ComputeRHTerm_quartile2,ComputeRHTerm_quartile3,ComputeRHTerm_cardinality,setSystemMBKMatrix_min,setSystemMBKMatrix_max,setSystemMBKMatrix_mean,setSystemMBKMatrix_std,setSystemMBKMatrix_quartile1,setSystemMBKMatrix_quartile2,setSystemMBKMatrix_quartile3,setSystemMBKMatrix_cardinality,MBKSolve_min,MBKSolve_max,MBKSolve_mean,MBKSolve_std,MBKSolve_quartile1,MBKSolve_quartile2,MBKSolve_quartile3,MBKSolve_cardinality,ProjectAndMechaMap_min,ProjectAndMechaMap_max,ProjectAndMechaMap_mean,ProjectAndMechaMap_std,ProjectAndMechaMap_quartile1,ProjectAndMechaMap_quartile2,ProjectAndMechaMap_quartile3,ProjectAndMechaMap_cardinality,UpdateBBox_min,UpdateBBox_max,UpdateBBox_mean,UpdateBBox_std,UpdateBBox_quartile1,UpdateBBox_quartile2,UpdateBBox_quartile3,UpdateBBox_cardinality,TimeStep_min,TimeStep_max,TimeStep_mean,TimeStep_std,TimeStep_quartile1,TimeStep_quartile2,TimeStep_quartile3,TimeStep_cardinality,SolveConstraint_min,SolveConstraint_max,SolveConstraint_mean,SolveConstraint_std,SolveConstraint_quartile1,SolveConstraint_quartile2,SolveConstraint_quartile3,SolveConstraint_cardinality,PrepareState_min,PrepareState_max,PrepareState_mean,PrepareState_std,PrepareState_quartile1,PrepareState_quartile2,PrepareState_quartile3,PrepareState_cardinality,BuildSystem_min,BuildSystem_max,BuildSystem_mean,BuildSystem_std,BuildSystem_quartile1,BuildSystem_quartile2,BuildSystem_quartile3,BuildSystem_cardinality,SolveSystem_min,SolveSystem_max,SolveSystem_mean,SolveSystem_std,SolveSystem_quartile1,SolveSystem_quartile2,SolveSystem_quartile3,SolveSystem_cardinality,ApplyCorrection_min,ApplyCorrection_max,ApplyCorrection_mean,ApplyCorrection_std,ApplyCorrection_quartile1,ApplyCorrection_quartile2,ApplyCorrection_quartile3,ApplyCorrection_cardinality,CPUUsage_min,CPUUsage_max,CPUUsage_mean,CPUUsage_std,CPUUsage_quartile1,CPUUsage_quartile2,CPUUsage_quartile3,CPUUsage_cardinality
fallingBeamLagrangianCollision,0.340267,0.525253,0.3599223764705883,0.020369315530373546,0.3469465,0.353032,0.364045,255,11.846429,19.244718,12.510873619607844,0.7213774952873071,12.2277305,12.395166,12.5307365,255,0.286969,0.560969,0.3034793725490196,0.027065541154151888,0.291586,0.29402,0.303878,255,0.138949,0.257067,0.14759386274509803,0.01548700951856813,0.140307,0.141287,0.1469805,255,3.564891,6.503581,3.7352104352941176,0.24050235470634546,3.6495545,3.679696,3.742857,255,3.564891,6.503581,3.7352104352941176,0.24050235470634546,3.6495545,3.679696,3.742857,255,0.02524,0.054999,0.027360650980392157,0.0035830549764774506,0.026171,0.026442,0.02696,255,0.047623,0.093562,0.050567592156862746,0.005323678384676135,0.0487595,0.049255,0.0500475,255,40.019308,63.423067,48.162682160784314,2.898621197034496,47.732521,47.99625,48.2566205,255,27.181157,45.700085,35.119430662745096,2.686458292510334,35.063885,35.174195,35.305091,255,0.020023,0.04206,0.021929803921568625,0.0022602954502315763,0.0210805,0.021457,0.0219305,255,21.754047,30.96426,22.381758658823532,1.6128392442825805,21.843377,21.880254,21.936728,255,4.894047,18.244719,12.290571737254902,1.9047457412081688,12.7673925,12.8684,12.9593735,255,0.391629,0.609171,0.42260499215686276,0.025043845786546656,0.4089675,0.414189,0.430017,255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
SofaScene,8.945079,17.472501,9.435543263247862,0.8178713298350053,9.110719,9.205436,9.471936,1755,8.671997,17.06648,9.125581727065528,0.8123023077581009,8.807411,8.893453,9.1597205,1755,0.004879,2.537282,0.17389757065527064,0.17164786830517176,0.02830325,0.117181,0.27705975,10530,0.0061,0.327934,0.07810047540360875,0.07587144421846749,0.01341425,0.0653435,0.10771825,10530,0.035014,6.130436,1.1774850985754988,1.2261814461010072,0.085803,0.8938965,1.74515025,10530,0.035014,6.130436,1.1774850985754988,1.2261814461010072,0.085803,0.8938965,1.74515025,10530,0.091473,0.209274,0.10907810826210826,0.014573643736370843,0.0993345,0.102774,0.1158855,1755,0.119617,0.211588,0.13322794985754985,0.013253577039832005,0.1249415,0.127912,0.135164,1755,24.030718,46.536684,30.867319476353277,3.6956701796620073,28.26582,30.284446,32.6925455,1755,14.463578,31.232886,20.92811568091168,3.5680129135286403,18.491434,20.483373,22.67311,1755,0.075005,0.176365,0.08728685982905983,0.01288692065339082,0.0805485,0.083266,0.087418,1755,13.682335,30.409751,20.073975785754985,3.4800702665373326,17.7039785,19.635928,21.7963615,1755,0.100815,0.654149,0.25891607464387467,0.1057466995933929,0.1987955,0.233532,0.286766,1755,0.434341,0.867986,0.5056904695156695,0.03958036883206988,0.4801495,0.500148,0.5222935,1755,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
BilateralLagrangianConstraint_NNCG,0.019142,1.794339,0.10712202800000001,0.12021636330183681,0.05342625,0.0916135,0.12338775,1000,0.124905,0.244972,0.14192026600000002,0.01736426295611893,0.12920675,0.1330195,0.15368325,1000,0.001832,0.021925,0.0026089905,0.0011893934607226282,0.002028,0.00216,0.003028,4000,0.004046,0.080459,0.00514786,0.001976608806365083,0.004279,0.00444,0.005721,4000,0.000357,0.019196,0.0007277317500000001,0.0007609412958907788,0.000443,0.000489,0.000926,4000,0.000357,0.019196,0.0007277317500000001,0.0007609412958907788,0.000443,0.000489,0.000926,4000,0.020128,0.064686,0.023095082,0.004313631378464786,0.02063425,0.02091,0.024783,1000,0.0252,0.081636,0.027751181,0.0038534187244885546,0.025903,0.0261995,0.02880125,1000,0.419027,2.420518,0.519979769,0.14989107344882696,0.4463245,0.480416,0.5753805,1000,0.086933,0.196818,0.102028482,0.01617965902859748,0.0903515,0.0939065,0.113102,1000,0.024824,0.078776,0.029052335,0.0054161012674039805,0.02591075,0.026779,0.03102175,1000,0.039403,0.107258,0.046354428999999996,0.008476120794500218,0.04052975,0.042888,0.05164925,1000,0.005491,0.033186,0.006683875,0.00196463155104844,0.00568,0.0058595,0.00716175,1000,0.016169,0.056082,0.019412861,0.004235085176673428,0.0169135,0.017556,0.02079425,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
BilateralLagrangianConstraint_PGS,0.041941,1.763581,0.108244194,0.12123852871294818,0.0534395,0.0950815,0.12625575,1000,0.125672,0.225719,0.142592055,0.017062192689334364,0.12978225,0.1344785,0.15395475,1000,0.001839,0.020117,0.0025358685,0.0010138021408084273,0.002017,0.0021475,0.002992,4000,0.004059,0.026889,0.005183371,0.0015313940201199037,0.004301,0.004473,0.00575025,4000,0.000369,0.021891,0.00073646675,0.0008609058400280705,0.000461,0.000508,0.00086125,4000,0.000369,0.021891,0.00073646675,0.0008609058400280705,0.000461,0.000508,0.00086125,4000,0.020132,0.055175,0.023005175,0.003919835487412067,0.020655,0.020934,0.0247625,1000,0.025359,0.065543,0.027995322,0.004154423425256025,0.0259725,0.0262945,0.029074,1000,0.421645,2.36411,0.523701114,0.15028630204834037,0.43843325,0.483583,0.58184325,1000,0.087921,0.187747,0.102706353,0.016228225614909074,0.09062975,0.094425,0.1135895,1000,0.024747,0.062989,0.029144092,0.005101271296798084,0.02591275,0.0267125,0.03175725,1000,0.039859,0.101236,0.04673736,0.008589501293113588,0.04070175,0.0418515,0.05188925,1000,0.005406,0.031447,0.006762421,0.0020078031695758922,0.0056855,0.0060785,0.00715775,1000,0.016534,0.053133,0.019507713,0.003933315822640104,0.0170495,0.0175965,0.0209815,1000,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
BilateralLagrangianConstraint_UGS,0.037197,1.69233,0.07992871,0.11792925869141169,0.05316025,0.0677665,0.07943825,1000,0.126379,0.2597,0.136946356,0.015012191063441207,0.12948575,0.1316825,0.135194,1000,0.001803,0.021257,0.002401698,0.0010607884151874962,0.001967,0.002048,0.002914,4000,0.004049,0.025429,0.004941381,0.0015800487256217763,0.004246,0.004368,0.005716,4000,0.000379,0.012431,0.0007508500000000001,0.0006994236062644726,0.000472,0.000531,0.00095,4000,0.000379,0.012431,0.0007508500000000001,0.0006994236062644726,0.000472,0.000531,0.00095,4000,0.020359,0.052161,0.021543909,0.002851293947441933,0.020739,0.0208955,0.02108825,1000,0.025551,0.067537,0.02706192,0.003830723563714824,0.026007,0.026215,0.0264575,1000,0.439738,2.375558,0.500981632,0.1402047390626172,0.455154,0.484059,0.50429975,1000,0.099928,0.265852,0.123201615,0.01797614712302876,0.11057675,0.1211445,0.127998,1000,0.025209,0.074359,0.027452296999999997,0.004664233030927057,0.0260305,0.026416,0.02689125,1000,0.044902,0.102279,0.048628751,0.007779868213215376,0.045725,0.046188,0.04718475,1000,0.009022,0.080281,0.027942189,0.01026907200234174,0.019427,0.0290145,0.03340425,1000,0.01669,0.059958,0.018654889,0.003649095384705503,0.017193,0.01742,0.01799475,1000,0.0,4.9,1.2200000000000002,1.8977881862842334,0.0,0.0,1.2,5
FrictionContact_LCP_with_friction,0.039967,1.443358,0.08210896499999999,0.09363227240186886,0.0743285,0.075008,0.0775295,1000,0.040015,0.148275,0.052761971,0.009088277595351003,0.0510155,0.051549,0.0522305,1000,0.00281,0.021099,0.004077806,0.001099340190461533,0.004002,0.0040655,0.00413325,1000,0.005691,0.029334,0.007660755,0.0018495927451671623,0.007443,0.007539,0.007629,1000,0.000725,0.011438,0.001021262,0.000580962282214603,0.000929,0.0009605,0.000993,1000,0.000725,0.011438,0.001021262,0.000580962282214603,0.000929,0.0009605,0.000993,1000,0.006023,0.034417,0.00938329,0.0021994365841960526,0.009244,0.009356,0.009473,1000,0.010007,0.033074,0.012472869000000001,0.0019917335689893364,0.01225875,0.012361,0.012455,1000,0.139367,1.671736,0.238462824,0.10426281283219353,0.230269,0.2330215,0.2374575,1000,0.012035,0.084196,0.037972949,0.010288740945635621,0.038588,0.0390545,0.0399885,1000,0.001992,0.013388,0.002987853,0.0007179624317406867,0.002893,0.002961,0.00304,1000,0.006896,0.045865,0.01668748,0.004282344559187175,0.016705,0.016881,0.01707025,1000,0.001635,0.056495,0.016151854,0.006487226071340816,0.017068,0.0173485,0.01756125,1000,0.000897,0.01271,0.001415969,0.0007581529713975933,0.001283,0.00132,0.001361,1000,0.0,1.2,0.48,0.5878775382679627,0.0,0.0,1.2,5
FrictionContact_LCP_without_friction,0.039868,1.402677,0.09559867500000001,0.09309699725606285,0.074431,0.102015,0.10345825,1000,0.040115,0.103669,0.052127262,0.007174231663624755,0.05045175,0.051232,0.05199775,1000,0.002796,0.015557,0.004070159,0.0010032585268608487,0.00397275,0.004068,0.004146,1000,0.005674,0.030863,0.007588464,0.00162983082088418,0.007357,0.0075,0.007674,1000,0.000693,0.007828,0.00097692,0.0004500530586497552,0.000891,0.000928,0.00096,1000,0.000693,0.007828,0.00097692,0.0004500530586497552,0.000891,0.000928,0.00096,1000,0.006012,0.030735,0.009262239,0.0019361286826755602,0.00914975,0.009286,0.009437,1000,0.01001,0.033867,0.012346286,0.0018776033825608648,0.01215575,0.012261,0.012379,1000,0.139589,1.63149,0.240489687,0.10296378394690549,0.21737125,0.247444,0.25269725,1000,0.011951,0.097696,0.027841414000000002,0.006845616246811093,0.0255475,0.029373,0.03004525,1000,0.002028,0.074098,0.00306229,0.0024045369994865956,0.00286475,0.002941,0.003024,1000,0.00681,0.038869,0.015344305,0.0036632980913345013,0.01501675,0.0157265,0.01599575,1000,0.001604,0.027008,0.007333127,0.002738189851137244,0.005839,0.008856,0.00915525,1000,0.000902,0.016286,0.0013535429999999998,0.000724734736404293,0.001212,0.001273,0.001329,1000,0.0,1.2,0.24,0.48,0.0,0.0,0.0,5
FixedProjectiveConstraint,0.008527,0.142782,0.011009811,0.00927396874920759,0.008944,0.0091965,0.010069,1000,1.116671,2.164043,1.174543605,0.1110709086052553,1.13643225,1.150441,1.17807425,1000,0.067285,0.143862,0.070957097,0.009855071056749971,0.067698,0.0678465,0.06824625,1000,0.037878,0.086219,0.040608274,0.006657126215787411,0.0383695,0.038549,0.03911775,1000,0.000701,0.010866,0.000940648,0.0005743218105696492,0.000813,0.000846,0.000893,1000,1.002439,1.94677,1.0530907509999998,0.09885870186991633,1.01668975,1.032443,1.05689325,1000,0.002679,0.018127,0.003263324,0.0013342767812654164,0.002869,0.002944,0.003042,1000,0.008174,0.045794,0.009487075000000001,0.004123960081447807,0.008413,0.0085085,0.008671,1000,1.149911,2.298213,1.213347823,0.12048949126736189,1.171481,1.18689,1.2160325,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,2.5,0.5,1.0,0.0,0.0,0.0,5
FEMBAR_EigenSimplicialLDLT,0.000298,0.009275,0.000364747,0.00030126819777566964,0.00033,0.000343,0.000361,1000,2.470809,4.940628,2.555475568,0.18627756956220834,2.5094625,2.527816,2.55773,1000,0.051874,0.1076,0.054180847000000004,0.0049606060667615,0.052454,0.052707,0.05355,1000,0.043912,0.108707,0.045636694000000005,0.004861587745620149,0.04431575,0.044492,0.0447655,1000,0.689654,2.07955,0.72425847,0.09577891520174521,0.70199375,0.7171885,0.7298955,1000,1.666278,2.694475,1.723600581,0.1063925338143492,1.684896,1.7025595,1.72696725,1000,0.001157,0.004972,0.001353193,0.00016934899985237588,0.00128375,0.001323,0.001379,1000,0.005933,0.017107,0.0066127,0.0007617246431618187,0.00637275,0.006505,0.006657,1000,2.487641,4.990785,2.5739336770000003,0.1884941973396387,2.52690175,2.5458545,2.5767345,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
FEMBAR_EigenSimplicialLLT,0.000278,0.010834,0.000376836,0.00046740907469153823,0.000328,0.000343,0.00036625,1000,2.616363,4.995431,2.714440643,0.20605442788136719,2.65376525,2.684785,2.717538,1000,0.05087,0.122203,0.054025208,0.006218972091811957,0.05218575,0.0523655,0.05270925,1000,0.042872,0.108333,0.046217225,0.005924296163290201,0.04434975,0.044612,0.0455535,1000,0.689143,1.943573,0.722013829,0.08986400815463197,0.69856025,0.7110615,0.725179,1000,1.816816,3.41758,1.8843045079999998,0.13364879354912987,1.8413205,1.8656935,1.88660375,1000,0.001144,0.009959,0.001342249,0.0003600853773745887,0.001255,0.00129,0.00135125,1000,0.006031,0.028661,0.006742988,0.0019086529343639192,0.00629375,0.0064035,0.0065615,1000,2.632712,5.042957,2.733038073,0.20895461630638285,2.67133275,2.7029415,2.73541875,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,13.6,2.96,5.340262165849163,0.0,0.0,1.2,5
