SceneName,CollisionDetection_min,CollisionDetection_max,CollisionDetection_mean,CollisionDetection_std,CollisionDetection_quartile1,CollisionDetection_quartile2,CollisionDetection_quartile3,CollisionDetection_cardinality,ODESolve_min,ODESolve_max,ODESolve_mean,ODESolve_std,ODESolve_quartile1,ODESolve_quartile2,ODESolve_quartile3,ODESolve_cardinality,ComputeForce_min,ComputeForce_max,ComputeForce_mean,ComputeForce_std,ComputeForce_quartile1,ComputeForce_quartile2,ComputeForce_quartile3,ComputeForce_cardinality,ComputeRHTerm_min,ComputeRHTerm_max,ComputeRHTerm_mean,ComputeRHTerm_std,ComputeRHTerm_quartile1,ComputeRHTerm_quartile2,ComputeRHTerm_quartile3,ComputeRHTerm_cardinality,setSystemMBKMatrix_min,setSystemMBKMatrix_max,setSystemMBKMatrix_mean,setSystemMBKMatrix_std,setSystemMBKMatrix_quartile1,setSystemMBKMatrix_quartile2,setSystemMBKMatrix_quartile3,setSystemMBKMatrix_cardinality,MBKSolve_min,MBKSolve_max,MBKSolve_mean,MBKSolve_std,MBKSolve_quartile1,MBKSolve_quartile2,MBKSolve_quartile3,MBKSolve_cardinality,ProjectAndMechaMap_min,ProjectAndMechaMap_max,ProjectAndMechaMap_mean,ProjectAndMechaMap_std,ProjectAndMechaMap_quartile1,ProjectAndMechaMap_quartile2,ProjectAndMechaMap_quartile3,ProjectAndMechaMap_cardinality,UpdateBBox_min,UpdateBBox_max,UpdateBBox_mean,UpdateBBox_std,UpdateBBox_quartile1,UpdateBBox_quartile2,UpdateBBox_quartile3,UpdateBBox_cardinality,TimeStep_min,TimeStep_max,TimeStep_mean,TimeStep_std,TimeStep_quartile1,TimeStep_quartile2,TimeStep_quartile3,TimeStep_cardinality,SolveConstraint_min,SolveConstraint_max,SolveConstraint_mean,SolveConstraint_std,SolveConstraint_quartile1,SolveConstraint_quartile2,SolveConstraint_quartile3,SolveConstraint_cardinality,PrepareState_min,PrepareState_max,PrepareState_mean,PrepareState_std,PrepareState_quartile1,PrepareState_quartile2,PrepareState_quartile3,PrepareState_cardinality,BuildSystem_min,BuildSystem_max,BuildSystem_mean,BuildSystem_std,BuildSystem_quartile1,BuildSystem_quartile2,BuildSystem_quartile3,BuildSystem_cardinality,SolveSystem_min,SolveSystem_max,SolveSystem_mean,SolveSystem_std,SolveSystem_quartile1,SolveSystem_quartile2,SolveSystem_quartile3,SolveSystem_cardinality,ApplyCorrection_min,ApplyCorrection_max,ApplyCorrection_mean,ApplyCorrection_std,ApplyCorrection_quartile1,ApplyCorrection_quartile2,ApplyCorrection_quartile3,ApplyCorrection_cardinality,CPUUsage_min,CPUUsage_max,CPUUsage_mean,CPUUsage_std,CPUUsage_quartile1,CPUUsage_quartile2,CPUUsage_quartile3,CPUUsage_cardinality
fallingBeamLagrangianCollision,0.335792,0.439402,0.3564423490196078,0.015274651731845335,0.3476505,0.352087,0.3588405,255,11.544919,13.484718,12.035655815686274,0.27741897047796193,11.8649145,12.041575,12.1644415,255,0.281161,0.372299,0.2939744235294118,0.01401881901297902,0.285123,0.291128,0.2962165,255,0.136254,0.245381,0.14202923921568628,0.010254204881443464,0.137833,0.138773,0.142949,255,3.577984,3.996495,3.6680853411764707,0.07802553255570413,3.6058345,3.644853,3.714493,255,3.577984,3.996495,3.6680853411764707,0.07802553255570413,3.6058345,3.644853,3.714493,255,0.022738,0.050949,0.024365403921568628,0.0027448345336722074,0.0234725,0.023844,0.024379,255,0.052192,0.096615,0.055600199999999995,0.00501836768821473,0.054025,0.054685,0.0552605,255,39.606898,56.086522,47.28957416078431,2.3612981973521645,47.339737,47.618748,47.8641465,255,27.141932,42.952532,34.724799239215685,2.3399357904713547,35.0094755,35.152743,35.241496,255,0.020789,0.031117,0.02226590588235294,0.0012232295148678475,0.0217555,0.022083,0.022486,255,21.745866,29.008769,22.173679992156863,1.2980735847695564,21.854915,21.887412,21.9232475,255,4.879781,14.990821,12.10606757254902,1.819416950607187,12.708068,12.817756,12.882113,255,0.398422,0.503154,0.4199879137254902,0.016212980420336164,0.411409,0.415646,0.4239575,255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
SofaScene,9.036719,13.853425,9.40242847008547,0.30696543019215133,9.1689755,9.341316,9.564929,1755,8.707522,13.55205,9.09047323076923,0.30505708245617635,8.859364,9.03116,9.254112,1755,0.004753,0.590578,0.1758227485280152,0.17087473696358613,0.0302585,0.1226635,0.27908875,10530,0.006311,0.334909,0.08108927046533713,0.07830649361888874,0.01437725,0.0650515,0.13243825,10530,0.033923,5.571251,1.1710338566951568,1.2058600991563784,0.089024,0.8889805,1.7495475,10530,0.033923,5.571251,1.1710338566951568,1.2058600991563784,0.089024,0.8889805,1.7495475,10530,0.097794,0.176672,0.11012587293447294,0.010554201186399645,0.1033545,0.106657,0.114584,1755,0.132268,0.25186,0.14389577606837606,0.011670509487190154,0.1371685,0.139669,0.146827,1755,24.116592,44.698024,30.89433318917379,3.6823927306781727,28.4085425,30.449598,32.5499305,1755,14.194719,31.610728,20.98031909116809,3.662439196029554,18.527467,20.501732,22.7223135,1755,0.072358,0.151516,0.08238638746438746,0.008518972952841137,0.0781845,0.080396,0.0834705,1755,13.400014,30.821072,20.15039269344729,3.5733257405642416,17.7606365,19.631162,21.89986,1755,0.100836,0.989512,0.25434494245014244,0.10550650706364537,0.195898,0.227559,0.279614,1755,0.428385,0.705533,0.4910354923076923,0.02995327370203988,0.471204,0.48503,0.506007,1755,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
BilateralLagrangianConstraint_NNCG,0.041479,1.737957,0.107707225,0.12122061490382884,0.054376,0.0921155,0.12354375,1000,0.12662,0.25894,0.143960257,0.016985350613836353,0.13138775,0.1361605,0.15505825,1000,0.001865,0.034363,0.0026106575,0.0012752581664877702,0.002055,0.0021635,0.003016,4000,0.00412,0.027446,0.00522365,0.001604240383016211,0.004371,0.004529,0.005758,4000,0.000339,0.009983,0.0007212025,0.0006385221949891405,0.000446,0.000498,0.00095325,4000,0.000339,0.009983,0.0007212025,0.0006385221949891405,0.000446,0.000498,0.00095325,4000,0.020085,0.056024,0.022905764,0.003611492716634495,0.0206015,0.02093,0.0245465,1000,0.027561,0.080178,0.030558540000000002,0.004704380649607342,0.02828575,0.0287775,0.03174725,1000,0.420675,2.391234,0.524147044,0.15028353723293203,0.45264125,0.482471,0.5784835,1000,0.085129,0.193092,0.100289299,0.015782093849410445,0.08808375,0.0922195,0.110923,1000,0.025136,0.080731,0.02905736,0.0051508379175042975,0.02595775,0.026545,0.03152725,1000,0.037674,0.115693,0.044830732000000005,0.008905297511716046,0.03874775,0.0411465,0.0500965,1000,0.005201,0.027292,0.006537193,0.002171324229992149,0.00544775,0.005606,0.0069475,1000,0.016031,0.05768,0.019305677,0.003928669810084706,0.01669475,0.017522,0.02076025,1000,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
BilateralLagrangianConstraint_PGS,0.037028,1.707242,0.107990264,0.12008403439927517,0.05299,0.093667,0.12481225,1000,0.126693,0.265274,0.14381962599999998,0.016777655328982174,0.13030475,0.1365725,0.15494825,1000,0.001905,0.022499,0.00257608225,0.001125411164857066,0.002062,0.002195,0.003002,4000,0.004074,0.059781,0.00525864325,0.0017696580389949459,0.004359,0.004546,0.005769,4000,0.000331,0.015067,0.000711697,0.000762771488186993,0.000431,0.000481,0.00089175,4000,0.000331,0.015067,0.000711697,0.000762771488186993,0.000431,0.000481,0.00089175,4000,0.020132,0.051403,0.023085633,0.0035390673277448394,0.020734,0.021218,0.02491325,1000,0.027614,0.073352,0.030381687,0.004276632614456262,0.02828675,0.028698,0.0315075,1000,0.421609,2.306394,0.5244940929999999,0.14840821800748216,0.45154225,0.4843695,0.57865025,1000,0.085039,0.192053,0.099897003,0.015539727186311575,0.08796025,0.092253,0.1107915,1000,0.024815,0.072791,0.028944677,0.0053714354668627454,0.0256655,0.0263745,0.03153825,1000,0.037667,0.110712,0.044551008999999996,0.008281400307612173,0.0387575,0.0398455,0.04974025,1000,0.005278,0.028374,0.006682479,0.0021213743331998246,0.005514,0.0059325,0.00705125,1000,0.01603,0.05087,0.019177541000000003,0.003852175522002989,0.0167,0.017207,0.0207655,1000,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
BilateralLagrangianConstraint_UGS,0.038706,1.721816,0.07973656900000001,0.11770098037676338,0.0528675,0.0675,0.079058,1000,0.126511,0.264709,0.13874673699999998,0.013763301572654396,0.13159525,0.134601,0.13881475,1000,0.001917,0.021984,0.0024651300000000003,0.0010888986119469526,0.002052,0.00214,0.00288625,4000,0.004077,0.028243,0.005042612750000001,0.0016585933230564502,0.00435275,0.00453,0.005717,4000,0.00035,0.018012,0.000738752,0.0007270544388118403,0.000463,0.000513,0.000959,4000,0.00035,0.018012,0.000738752,0.0007270544388118403,0.000463,0.000513,0.000959,4000,0.020083,0.059275,0.021868878,0.003765671914428553,0.020592,0.021026,0.021448,1000,0.02764,0.075962,0.029864717,0.005196513411597338,0.028321,0.0285295,0.02878425,1000,0.436821,2.374179,0.506052098,0.1392609097481716,0.46625225,0.489036,0.51095975,1000,0.09809,0.232187,0.12217181299999999,0.017026982639740694,0.11002575,0.12006,0.127336,1000,0.025111,0.071405,0.027506332999999997,0.004859973464136507,0.02592525,0.0262675,0.02667625,1000,0.0429,0.102124,0.047126129999999995,0.00807815638664541,0.043918,0.0443745,0.0455375,1000,0.008852,0.079642,0.028036456999999997,0.010122578617830093,0.01956075,0.0292005,0.03390525,1000,0.016476,0.065422,0.018983351,0.0042704678443701,0.01733675,0.017609,0.018307,1000,0.0,1.2,0.48,0.5878775382679627,0.0,0.0,1.2,5
FrictionContact_LCP_with_friction,0.04063,1.583178,0.084997352,0.0971702060930309,0.07573875,0.076407,0.07988625,1000,0.04038,0.135518,0.053733507,0.008900807566841955,0.051555,0.0521065,0.0529605,1000,0.002859,0.030016,0.004151944,0.0014563170385819156,0.00401275,0.004079,0.004146,1000,0.005728,0.028403,0.007723843,0.0019137750521811595,0.00748,0.007572,0.00765225,1000,0.000773,0.083287,0.0011540489999999999,0.0027496525719805038,0.00095,0.00098,0.00101,1000,0.000773,0.083287,0.0011540489999999999,0.0027496525719805038,0.00095,0.00098,0.00101,1000,0.006088,0.043775,0.009697263999999999,0.0029915386646847805,0.009245,0.009375,0.00953525,1000,0.011168,0.039791,0.014377697,0.0027436290524032216,0.013924,0.01408,0.014222,1000,0.142505,1.822118,0.24608870300000002,0.1068262369371532,0.23487725,0.2371725,0.2542905,1000,0.011935,0.096446,0.038440972000000004,0.011518542368772882,0.0380355,0.038428,0.04140975,1000,0.001962,0.021407,0.003113203,0.001295374633760828,0.00294275,0.0030035,0.00307,1000,0.006894,0.064579,0.016329538,0.004987229406449637,0.015926,0.0160545,0.0162535,1000,0.001519,0.056361,0.016747751,0.007319618400640773,0.0172435,0.0174715,0.0176335,1000,0.000985,0.016434,0.001448651,0.0009339556837446839,0.001285,0.0013235,0.001368,1000,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
FrictionContact_LCP_without_friction,0.040253,1.420534,0.099009776,0.09581013446481444,0.07563175,0.103534,0.10538575,1000,0.040106,0.143567,0.053333211000000005,0.009461720290543311,0.05065075,0.05142,0.0524315,1000,0.002866,0.021624,0.004173641,0.0016313168877072903,0.00397575,0.004054,0.00412525,1000,0.005737,0.023307,0.007699555,0.0019893853319492933,0.00738075,0.0074795,0.00759325,1000,0.000747,0.015451,0.001071552,0.0008413345156927772,0.000945,0.000981,0.00102,1000,0.000747,0.015451,0.001071552,0.0008413345156927772,0.000945,0.000981,0.00102,1000,0.006041,0.048755,0.009464424,0.0027487405370867583,0.00910775,0.009294,0.00943875,1000,0.011313,0.042247,0.014373077,0.00330477030715767,0.0137685,0.0139035,0.01402825,1000,0.141519,1.654421,0.248551182,0.10587677650992627,0.221507,0.2514355,0.25666625,1000,0.01194,0.077457,0.027659524,0.007406569073155531,0.024832,0.0286895,0.02922175,1000,0.001923,0.019997,0.003037371,0.0012136547521264028,0.002883,0.0029595,0.003026,1000,0.00682,0.056073,0.014905680000000001,0.004241332475013011,0.01424575,0.014908,0.015214,1000,0.001544,0.029755,0.007556955,0.0032448550015331964,0.00583175,0.0089515,0.009162,1000,0.000966,0.011319,0.001357667,0.0006761275457419258,0.001212,0.0012745,0.00133,1000,0.0,1.2,0.48,0.5878775382679627,0.0,0.0,1.2,5
FixedProjectiveConstraint,0.008329,0.153774,0.010257605999999999,0.008712157351469497,0.0089185,0.009176,0.00951325,1000,1.100239,1.294183,1.128418726,0.02472128078856199,1.10944925,1.119042,1.14005125,1000,0.066747,0.113614,0.069001495,0.005933044181697537,0.0672205,0.067392,0.06759025,1000,0.037247,0.083577,0.038832709,0.004605212836809934,0.03766575,0.037837,0.03800025,1000,0.000692,0.012218,0.0009442140000000001,0.0006133164339914592,0.00078875,0.00083,0.000882,1000,0.985793,1.104275,1.011878733,0.02151228282650893,0.99411075,1.0029605,1.02235225,1000,0.002727,0.01514,0.003016677,0.0006654746251142864,0.00289675,0.0029525,0.003011,1000,0.008532,0.029213,0.009147275,0.0013422285868565755,0.00882175,0.008957,0.009086,1000,1.133339,1.479831,1.1651056659999999,0.030932956289085014,1.14562225,1.155279,1.176001,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
FEMBAR_EigenSimplicialLDLT,0.000277,0.000961,0.000333753,5.594504438285843e-05,0.000306,0.00032,0.000343,1000,2.508068,5.500386,2.601984119,0.20934172842366341,2.55661,2.5739545,2.59902125,1000,0.051638,0.104362,0.054752303999999995,0.006813231319248158,0.052083,0.052417,0.053885,1000,0.043861,0.100437,0.046939832,0.006412883995346868,0.04442775,0.04462,0.04761275,1000,0.688587,2.387762,0.717999,0.10696626020540309,0.69433425,0.7037185,0.723908,1000,1.705632,2.923017,1.774761155,0.11678049158373575,1.739911,1.7552255,1.77798675,1000,0.001186,0.018804,0.001391478,0.0007626302167603905,0.00129075,0.00133,0.001372,1000,0.005884,0.025352,0.006581291,0.00151146231256985,0.006211,0.006328,0.00652125,1000,2.526868,5.555039,2.620167862,0.21187449176561804,2.57462025,2.592056,2.61767275,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1.2,0.48,0.5878775382679627,0.0,0.0,1.2,5
FEMBAR_EigenSimplicialLLT,0.000278,0.008909,0.000354315,0.0002840538430914111,0.00032175,0.00034,0.000356,1000,2.61465,5.111393,2.718399216,0.19107757751977425,2.6702135,2.6957215,2.72266,1000,0.051841,0.101131,0.055299509,0.006265899947965894,0.052617,0.053178,0.05650625,1000,0.043971,0.085352,0.046493597000000005,0.00496109093996381,0.04456475,0.0451565,0.04701925,1000,0.689569,2.046347,0.7245516160000001,0.09236547809918241,0.70335475,0.7129985,0.732608,1000,1.817267,2.915246,1.884537777,0.11431383363773288,1.848653,1.870414,1.89030625,1000,0.001203,0.01901,0.001384408,0.0005823120430971696,0.001284,0.001338,0.001413,1000,0.00585,0.027516,0.0066258,0.0014342076523293271,0.006295,0.006434,0.0066,1000,2.630261,5.168888,2.736806675,0.19373637983727623,2.6883615,2.71444,2.74023425,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1.2,0.24,0.48,0.0,0.0,0.0,5
