SceneName,CollisionDetection_min,CollisionDetection_max,CollisionDetection_mean,CollisionDetection_std,CollisionDetection_quartile1,CollisionDetection_quartile2,CollisionDetection_quartile3,CollisionDetection_cardinality,ODESolve_min,ODESolve_max,ODESolve_mean,ODESolve_std,ODESolve_quartile1,ODESolve_quartile2,ODESolve_quartile3,ODESolve_cardinality,ComputeForce_min,ComputeForce_max,ComputeForce_mean,ComputeForce_std,ComputeForce_quartile1,ComputeForce_quartile2,ComputeForce_quartile3,ComputeForce_cardinality,ComputeRHTerm_min,ComputeRHTerm_max,ComputeRHTerm_mean,ComputeRHTerm_std,ComputeRHTerm_quartile1,ComputeRHTerm_quartile2,ComputeRHTerm_quartile3,ComputeRHTerm_cardinality,setSystemMBKMatrix_min,setSystemMBKMatrix_max,setSystemMBKMatrix_mean,setSystemMBKMatrix_std,setSystemMBKMatrix_quartile1,setSystemMBKMatrix_quartile2,setSystemMBKMatrix_quartile3,setSystemMBKMatrix_cardinality,MBKSolve_min,MBKSolve_max,MBKSolve_mean,MBKSolve_std,MBKSolve_quartile1,MBKSolve_quartile2,MBKSolve_quartile3,MBKSolve_cardinality,ProjectAndMechaMap_min,ProjectAndMechaMap_max,ProjectAndMechaMap_mean,ProjectAndMechaMap_std,ProjectAndMechaMap_quartile1,ProjectAndMechaMap_quartile2,ProjectAndMechaMap_quartile3,ProjectAndMechaMap_cardinality,UpdateBBox_min,UpdateBBox_max,UpdateBBox_mean,UpdateBBox_std,UpdateBBox_quartile1,UpdateBBox_quartile2,UpdateBBox_quartile3,UpdateBBox_cardinality,TimeStep_min,TimeStep_max,TimeStep_mean,TimeStep_std,TimeStep_quartile1,TimeStep_quartile2,TimeStep_quartile3,TimeStep_cardinality,SolveConstraint_min,SolveConstraint_max,SolveConstraint_mean,SolveConstraint_std,SolveConstraint_quartile1,SolveConstraint_quartile2,SolveConstraint_quartile3,SolveConstraint_cardinality,PrepareState_min,PrepareState_max,PrepareState_mean,PrepareState_std,PrepareState_quartile1,PrepareState_quartile2,PrepareState_quartile3,PrepareState_cardinality,BuildSystem_min,BuildSystem_max,BuildSystem_mean,BuildSystem_std,BuildSystem_quartile1,BuildSystem_quartile2,BuildSystem_quartile3,BuildSystem_cardinality,SolveSystem_min,SolveSystem_max,SolveSystem_mean,SolveSystem_std,SolveSystem_quartile1,SolveSystem_quartile2,SolveSystem_quartile3,SolveSystem_cardinality,ApplyCorrection_min,ApplyCorrection_max,ApplyCorrection_mean,ApplyCorrection_std,ApplyCorrection_quartile1,ApplyCorrection_quartile2,ApplyCorrection_quartile3,ApplyCorrection_cardinality,CPUUsage_min,CPUUsage_max,CPUUsage_mean,CPUUsage_std,CPUUsage_quartile1,CPUUsage_quartile2,CPUUsage_quartile3,CPUUsage_cardinality
fallingBeamLagrangianCollision,0.336542,0.417914,0.3540614078431373,0.011826950959000597,0.3459125,0.3505,0.3571915,255,11.801158,12.631173,12.248781329411765,0.191020503929345,12.077362,12.286169,12.3971255,255,0.282686,0.360477,0.2959992549019608,0.014321832502207931,0.2868295,0.289077,0.2990625,255,0.136045,0.178099,0.1419034549019608,0.00908987803866312,0.137297,0.137924,0.1423565,255,3.557603,3.778629,3.637496317647059,0.04912768233360546,3.591159,3.632236,3.6722985,255,3.557603,3.778629,3.637496317647059,0.04912768233360546,3.591159,3.632236,3.6722985,255,0.023299,0.036182,0.02454123137254902,0.0014428622797174543,0.0239585,0.024267,0.024619,255,0.047296,0.091418,0.05026266274509804,0.00475734152116539,0.048838,0.049248,0.0497685,255,40.033991,54.662331,47.68168952549019,2.385005611137249,47.684126,47.934797,48.1740775,255,27.219265,41.672661,34.90961458823529,2.422549773581513,35.0739485,35.229605,35.3122905,255,0.020482,0.051285,0.022388149019607846,0.0028011688473075823,0.0215745,0.021945,0.022358,255,21.797672,28.284708,22.326793705882352,1.5382652751154346,21.8633805,21.89861,21.9324745,255,4.860474,13.2028,12.13981488235294,1.808225371299464,12.727981,12.884576,12.9468115,255,0.398183,0.560763,0.41753876078431373,0.01694956139318086,0.406243,0.412561,0.4247125,255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
SofaScene,8.997968,19.583792,9.447292882051281,0.45380648700364,9.1670725,9.423761,9.584624,1755,8.69033,18.709362,9.129087397720797,0.4411952474229298,8.850033,9.108744,9.255354,1755,0.004507,0.781531,0.17949112459639124,0.17464692394921078,0.03009125,0.1181035,0.2860245,10530,0.00603,0.409954,0.08807798955365623,0.08459302049309836,0.01567325,0.0803225,0.15613075,10530,0.036393,5.576066,1.197494567331434,1.2210979148451913,0.09493725,0.918755,1.83168925,10530,0.036393,5.576066,1.197494567331434,1.2210979148451913,0.09493725,0.918755,1.83168925,10530,0.097886,0.199558,0.11607619886039885,0.012229619755769635,0.10582,0.116621,0.121108,1755,0.117448,0.219843,0.13369707179487178,0.011773815322309433,0.125565,0.132252,0.135539,1755,23.802987,54.707671,30.842864802279205,3.8095042049039494,28.4096,30.211618,32.7400665,1755,14.274378,38.319151,20.875297796581197,3.7232444173781607,18.435367,20.27852,22.709986,1755,0.073587,0.322912,0.08548145698005698,0.011090733515403198,0.080376,0.082971,0.087851,1755,13.445444,37.068334,20.03135072820513,3.632408693259849,17.6572315,19.46434,21.8652235,1755,0.100496,0.637386,0.2605212558404559,0.10481293270650319,0.202474,0.234541,0.287016,1755,0.432249,0.873066,0.4956111834757835,0.030797600797765563,0.4753995,0.490802,0.510059,1755,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
BilateralLagrangianConstraint_NNCG,0.035144,1.80372,0.108990811,0.1243435947222344,0.0548665,0.0934795,0.12515,1000,0.124773,0.2501,0.142473726,0.017596805713393664,0.129457,0.13438,0.154888,1000,0.001842,0.021916,0.002613752,0.0012771797044644894,0.00204575,0.002165,0.00296,4000,0.003921,0.048215,0.00513338075,0.0018217640958091796,0.004228,0.004447,0.005699,4000,0.00036,0.009772,0.00075864825,0.0006530533385734564,0.000491,0.000546,0.000937,4000,0.00036,0.009772,0.00075864825,0.0006530533385734564,0.000491,0.000546,0.000937,4000,0.019929,0.076076,0.02288935,0.004312203152392058,0.02042475,0.020864,0.02459975,1000,0.025325,0.063073,0.028566636,0.0043017637791380415,0.0261905,0.0275355,0.029704,1000,0.417646,2.462466,0.525545677,0.15517246037773155,0.45073025,0.4862895,0.58085875,1000,0.086526,0.225411,0.102928419,0.01729361933695312,0.09022925,0.0942265,0.11420575,1000,0.024828,0.069805,0.029707465,0.006185315944458699,0.0260635,0.0269115,0.0319775,1000,0.039565,0.133941,0.046698527999999996,0.009184730902166705,0.0406335,0.0425275,0.052138,1000,0.005275,0.029624,0.006575737,0.002083369201997332,0.00554775,0.0057295,0.00705625,1000,0.01575,0.059556,0.019406685,0.004801093502294555,0.01664925,0.0174335,0.0206465,1000,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
BilateralLagrangianConstraint_PGS,0.047703,1.801608,0.10881743799999999,0.12633389579955237,0.05489925,0.094513,0.12569825,1000,0.124727,0.251808,0.142766844,0.017082686782460887,0.12972,0.1352685,0.15465175,1000,0.001873,0.022321,0.002549413,0.0010909264452432163,0.002044,0.002159,0.00292225,4000,0.004003,0.034238,0.00515973625,0.0016946312403251446,0.00423375,0.00441,0.00571,4000,0.00034,0.050952,0.000769987,0.0011359276697180153,0.000482,0.000537,0.00087525,4000,0.00034,0.050952,0.000769987,0.0011359276697180153,0.000482,0.000537,0.00087525,4000,0.019808,0.058657,0.022803737,0.004060806334194109,0.02041975,0.0207345,0.02458525,1000,0.025356,0.062576,0.028158686000000002,0.004099956330670365,0.02607575,0.026479,0.02931,1000,0.419593,2.451386,0.5253182780000001,0.15556040387519157,0.452614,0.4833485,0.5778445,1000,0.08746,0.265007,0.10270570500000001,0.01715718847643678,0.09012175,0.0942475,0.11371525,1000,0.025188,0.06554,0.029255195,0.005100384440311828,0.02605725,0.0267895,0.03176625,1000,0.039378,0.216405,0.046870174,0.010888164475875812,0.04035975,0.042215,0.05229575,1000,0.005386,0.031939,0.006676845999999999,0.0018585766646237653,0.00560075,0.005984,0.0070855,1000,0.016268,0.06156,0.019374586,0.004262461959549199,0.016821,0.017383,0.020706,1000,0.0,2.4,0.96,0.8979977728257458,0.0,1.2,1.2,5
BilateralLagrangianConstraint_UGS,0.036089,1.922735,0.08107149899999999,0.12833754978187795,0.0529885,0.0676015,0.0795675,1000,0.125131,0.299421,0.13778796599999998,0.015799216935875146,0.12853425,0.1322005,0.137347,1000,0.001845,0.027842,0.00247325125,0.0014428336560821685,0.002011,0.00208,0.00286,4000,0.003975,0.031073,0.0049154285,0.001826379279308586,0.00419375,0.004365,0.005576,4000,0.000385,0.018136,0.0007880014999999999,0.0007734668302504963,0.000523,0.000595,0.000916,4000,0.000385,0.018136,0.0007880014999999999,0.0007734668302504963,0.000523,0.000595,0.000916,4000,0.020033,0.062497,0.021588066,0.004209349555886752,0.020446,0.020609,0.02081225,1000,0.025577,0.06837,0.0270421,0.0037675286658498033,0.026055,0.0262285,0.026433,1000,0.437571,2.59301,0.502895764,0.15134966041165177,0.45639075,0.483982,0.5088165,1000,0.098903,0.224307,0.121860122,0.01627651854018899,0.11009675,0.120309,0.12656775,1000,0.025289,0.061079,0.027313781,0.004200474051227908,0.0259855,0.026319,0.026699,1000,0.044456,0.125671,0.047932292,0.007437267634201152,0.045382,0.045819,0.0467375,1000,0.00895,0.076762,0.027621186000000002,0.009822190388981675,0.01938075,0.028959,0.03312175,1000,0.016421,0.060029,0.018469361,0.003914877445422653,0.01699175,0.0171875,0.01759725,1000,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
FrictionContact_LCP_with_friction,0.040175,1.620375,0.08392153999999999,0.10203450711183154,0.07557325,0.0763125,0.07788875,1000,0.040324,0.111685,0.053739500999999995,0.008758611928153855,0.0513925,0.051873,0.05358925,1000,0.002824,0.021686,0.0042481279999999995,0.0016369378875253635,0.004061,0.0041305,0.00419925,1000,0.005632,0.026557,0.007812961,0.0019743151033913,0.00743975,0.007591,0.00775125,1000,0.000753,0.015282,0.001040028,0.0006331614495655906,0.000947,0.000982,0.001011,1000,0.000753,0.015282,0.001040028,0.0006331614495655906,0.000947,0.000982,0.001011,1000,0.006079,0.035707,0.009692675999999999,0.002907293304608945,0.009213,0.009345,0.0096815,1000,0.010007,0.03986,0.012806478,0.0026114058638051652,0.01236975,0.0124965,0.012632,1000,0.140797,1.858941,0.244925307,0.11231845157832594,0.232659,0.235575,0.25008075,1000,0.012001,0.193508,0.039651226000000005,0.013432354137563676,0.03857,0.039003,0.04169725,1000,0.00195,0.025351,0.003349136,0.002033230217536617,0.002953,0.0030375,0.0032255,1000,0.006831,0.051139,0.01747948,0.005868911403454647,0.01670225,0.016893,0.017312,1000,0.001601,0.171534,0.016656241000000002,0.008763475686673582,0.01699375,0.0172205,0.0174325,1000,0.000967,0.014238,0.0014083350000000001,0.0006791662055601706,0.001289,0.001328,0.001371,1000,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
FrictionContact_LCP_without_friction,0.040499,1.616694,0.100097519,0.10403845148945479,0.0764345,0.104146,0.106501,1000,0.040292,0.153652,0.053280686,0.00903054742634155,0.05116625,0.051654,0.05234225,1000,0.00279,0.022136,0.004256673,0.001670637827918128,0.004051,0.0041295,0.004211,1000,0.005686,0.02815,0.0076867920000000005,0.002143533528250958,0.00737275,0.007462,0.007549,1000,0.000747,0.011126,0.001040588,0.0005453483971334289,0.000953,0.000985,0.001017,1000,0.000747,0.011126,0.001040588,0.0005453483971334289,0.000953,0.000985,0.001017,1000,0.006135,0.092554,0.009603397999999999,0.003462045171224085,0.00929575,0.009419,0.009571,1000,0.01005,0.040744,0.012865129000000001,0.002835545357838418,0.012412,0.01254,0.012677,1000,0.141042,1.84815,0.249862524,0.11467519263564123,0.222455,0.2542545,0.2584845,1000,0.011918,0.067373,0.028805179,0.007693412726414656,0.0258995,0.0298195,0.03080175,1000,0.002019,0.021753,0.003222106,0.001307612092619214,0.002994,0.00307,0.00322725,1000,0.006736,0.046849,0.015790807,0.004442035054088497,0.015107,0.0158855,0.01620375,1000,0.001565,0.033955,0.007627295,0.0034370960641179355,0.00591575,0.008976,0.0092395,1000,0.000945,0.018143,0.001438623,0.0010465415886963118,0.001241,0.001312,0.001375,1000,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
FixedProjectiveConstraint,0.00866,0.140856,0.010406043,0.00905063325437237,0.00894875,0.009092,0.00958975,1000,1.09839,1.318868,1.1455615319999999,0.039074846644983466,1.1159295,1.1329375,1.17001125,1000,0.067028,0.121372,0.07010395200000001,0.006413313387765796,0.0677085,0.0679975,0.06981225,1000,0.037311,0.072567,0.039549957999999996,0.0045246743958251845,0.03791175,0.0381005,0.04063575,1000,0.000702,0.013451,0.000903854,0.0006083525019953481,0.000807,0.000849,0.00089,1000,0.985721,1.147682,1.02670331,0.03554239215246914,1.000036,1.016058,1.046288,1000,0.00271,0.012281,0.003092381,0.0006799752259009148,0.002879,0.002951,0.003074,1000,0.008203,0.029193,0.008767470999999999,0.0015043916761133054,0.008462,0.00855,0.0087185,1000,1.131225,1.50945,1.181675448,0.04355102915104643,1.1520345,1.1672035,1.20526,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
FEMBAR_EigenSimplicialLDLT,0.00028,0.000873,0.000348416,5.7282658318203076e-05,0.000318,0.000334,0.000367,1000,2.510547,5.380401,2.590220679,0.20611027460172374,2.5384685,2.5634615,2.588123,1000,0.052392,0.108886,0.05512911,0.0060318846252145775,0.05290775,0.053195,0.054049,1000,0.043948,0.10981,0.046105019,0.004641930476928646,0.044388,0.044942,0.045374,1000,0.688436,2.279088,0.714483569,0.10347703952275228,0.6938505,0.697408,0.72155475,1000,1.709685,2.874162,1.7670494140000002,0.11802852950516077,1.72196425,1.747106,1.772723,1000,0.001158,0.013181,0.0013432000000000001,0.0006523839728258198,0.001252,0.001283,0.00132,1000,0.006032,0.026598,0.006647597,0.00134279497861401,0.006294,0.006428,0.00659725,1000,2.527242,5.4348,2.6083328399999997,0.20842937180386167,2.55589375,2.5815215,2.60526875,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
FEMBAR_EigenSimplicialLLT,0.000293,0.009758,0.000389378,0.00032795545599364557,0.000342,0.000363,0.000389,1000,2.604156,5.096978,2.6953658679999997,0.1905670635354404,2.650587,2.6730285,2.69054675,1000,0.052375,0.099016,0.054831602,0.006178898503422435,0.05282375,0.0531145,0.05349775,1000,0.04415,0.091676,0.046315848,0.005652646889988441,0.0445585,0.044817,0.045166,1000,0.691825,2.021818,0.72069787,0.09210974202349662,0.69818525,0.7076365,0.7278145,1000,1.801861,2.960148,1.865592286,0.11454894861335133,1.83286825,1.845706,1.8684685,1000,0.001124,0.0106,0.001372161,0.00045072323778456324,0.00128,0.0013265,0.001395,1000,0.00619,0.024101,0.006958057,0.0015224402713246256,0.00654775,0.006726,0.0069315,1000,2.62135,5.151493,2.714097595,0.19283979072675062,2.66976625,2.6912425,2.70985,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1.2,0.72,0.5878775382679627,0.0,1.2,1.2,5
