SceneName,CollisionDetection_min,CollisionDetection_max,CollisionDetection_mean,CollisionDetection_std,CollisionDetection_quartile1,CollisionDetection_quartile2,CollisionDetection_quartile3,CollisionDetection_cardinality,ODESolve_min,ODESolve_max,ODESolve_mean,ODESolve_std,ODESolve_quartile1,ODESolve_quartile2,ODESolve_quartile3,ODESolve_cardinality,ComputeForce_min,ComputeForce_max,ComputeForce_mean,ComputeForce_std,ComputeForce_quartile1,ComputeForce_quartile2,ComputeForce_quartile3,ComputeForce_cardinality,ComputeRHTerm_min,ComputeRHTerm_max,ComputeRHTerm_mean,ComputeRHTerm_std,ComputeRHTerm_quartile1,ComputeRHTerm_quartile2,ComputeRHTerm_quartile3,ComputeRHTerm_cardinality,setSystemMBKMatrix_min,setSystemMBKMatrix_max,setSystemMBKMatrix_mean,setSystemMBKMatrix_std,setSystemMBKMatrix_quartile1,setSystemMBKMatrix_quartile2,setSystemMBKMatrix_quartile3,setSystemMBKMatrix_cardinality,MBKSolve_min,MBKSolve_max,MBKSolve_mean,MBKSolve_std,MBKSolve_quartile1,MBKSolve_quartile2,MBKSolve_quartile3,MBKSolve_cardinality,ProjectAndMechaMap_min,ProjectAndMechaMap_max,ProjectAndMechaMap_mean,ProjectAndMechaMap_std,ProjectAndMechaMap_quartile1,ProjectAndMechaMap_quartile2,ProjectAndMechaMap_quartile3,ProjectAndMechaMap_cardinality,UpdateBBox_min,UpdateBBox_max,UpdateBBox_mean,UpdateBBox_std,UpdateBBox_quartile1,UpdateBBox_quartile2,UpdateBBox_quartile3,UpdateBBox_cardinality,TimeStep_min,TimeStep_max,TimeStep_mean,TimeStep_std,TimeStep_quartile1,TimeStep_quartile2,TimeStep_quartile3,TimeStep_cardinality,SolveConstraint_min,SolveConstraint_max,SolveConstraint_mean,SolveConstraint_std,SolveConstraint_quartile1,SolveConstraint_quartile2,SolveConstraint_quartile3,SolveConstraint_cardinality,PrepareState_min,PrepareState_max,PrepareState_mean,PrepareState_std,PrepareState_quartile1,PrepareState_quartile2,PrepareState_quartile3,PrepareState_cardinality,BuildSystem_min,BuildSystem_max,BuildSystem_mean,BuildSystem_std,BuildSystem_quartile1,BuildSystem_quartile2,BuildSystem_quartile3,BuildSystem_cardinality,SolveSystem_min,SolveSystem_max,SolveSystem_mean,SolveSystem_std,SolveSystem_quartile1,SolveSystem_quartile2,SolveSystem_quartile3,SolveSystem_cardinality,ApplyCorrection_min,ApplyCorrection_max,ApplyCorrection_mean,ApplyCorrection_std,ApplyCorrection_quartile1,ApplyCorrection_quartile2,ApplyCorrection_quartile3,ApplyCorrection_cardinality,CPUUsage_min,CPUUsage_max,CPUUsage_mean,CPUUsage_std,CPUUsage_quartile1,CPUUsage_quartile2,CPUUsage_quartile3,CPUUsage_cardinality
fallingBeamLagrangianCollision,0.323991,0.420482,0.3394637098039216,0.013267694670466585,0.3292305,0.337776,0.3461375,255,11.808209,14.279563,12.298455603921568,0.28427668445701026,12.1765985,12.32947,12.417694,255,0.285395,0.36802,0.29658617254901964,0.011540834544603484,0.2883565,0.294219,0.300908,255,0.136085,0.240422,0.15031903529411764,0.015586099112851077,0.137682,0.141471,0.1627385,255,3.873321,5.458397,3.9670362392156866,0.1324476908471669,3.921603,3.952337,3.983327,255,3.873321,5.458397,3.9670362392156866,0.1324476908471669,3.921603,3.952337,3.983327,255,0.02532,0.051151,0.02708512156862745,0.002438374234359791,0.026118,0.026504,0.0273835,255,0.051671,0.091964,0.05476946666666667,0.004171370564001984,0.0529885,0.053637,0.055474,255,39.999484,53.596168,47.37041641568627,1.77355988346628,47.527524,47.878377,48.071251,255,27.161194,39.874226,34.54573947843137,1.7839689427327798,35.0380715,35.110086,35.2292595,255,0.020817,0.037166,0.022261360784313726,0.001849359067361111,0.021547,0.021904,0.02234,255,21.793399,28.107647,22.02787697647059,0.6331559867913598,21.882475,21.908518,21.9893305,255,4.851934,14.299201,12.081569560784313,1.790061442986376,12.7103335,12.77318,12.8482345,255,0.39372,0.54287,0.41220702745098037,0.01632827842957598,0.402422,0.410043,0.415993,255,0.0,1.2,0.48,0.5878775382679627,0.0,0.0,1.2,5
SofaScene,12.111503,38.863303,13.641999276923077,0.8852925973113059,13.4278645,13.534498,13.6446815,1755,11.79166,38.285454,13.291470064387465,0.8739436265494598,13.0812245,13.184577,13.278482,1755,0.008793,2.185648,0.26818823038936374,0.23914602868666765,0.056456,0.29573,0.4220155,10530,0.009306,2.000263,0.11447274881291548,0.09218404979760353,0.02729075,0.111545,0.1959035,10530,0.076649,20.945547,1.9184787982905982,1.9672222844944078,0.177794,1.2480515,2.7416325,10530,0.076649,20.945547,1.9184787982905982,1.9672222844944078,0.177794,1.2480515,2.7416325,10530,0.094542,0.269399,0.11731563646723647,0.01531648931121458,0.1106345,0.115385,0.1176645,1755,0.130185,0.260074,0.1489349851851852,0.014792837854056898,0.1425225,0.144462,0.1466005,1755,24.121901,56.081715,29.43157111965812,2.6757968824752627,27.65554,29.304211,31.21777,1755,10.274087,39.298419,15.164658670085469,2.468012326115015,13.434199,15.052827,16.9497355,1755,0.075543,0.169343,0.08924309857549857,0.012049441685779504,0.0834335,0.086291,0.088835,1755,9.420961,37.559133,14.269048046723647,2.374805532252848,12.6186945,14.200468,16.0200645,1755,0.104656,1.130525,0.2844327025641025,0.10960535942010106,0.2204045,0.261229,0.3152625,1755,0.436369,1.104174,0.5195572324786325,0.03839784984873219,0.496589,0.516888,0.54034,1755,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
BilateralLagrangianConstraint_NNCG,0.021599,1.783531,0.090603686,0.12352662087627672,0.0378315,0.076515,0.10576675,1000,0.191766,0.349234,0.212191373,0.02070552364481205,0.19723325,0.2018945,0.227075,1000,0.001975,0.015788,0.002722564,0.0008559299959132172,0.002192,0.002321,0.00317725,4000,0.004073,0.025671,0.0051456005,0.0011895040163445224,0.004375,0.0045485,0.005795,4000,0.014678,0.06239,0.0173525495,0.002677243539827811,0.01549075,0.01627,0.018581,4000,0.014678,0.06239,0.0173525495,0.002677243539827811,0.01549075,0.01627,0.018581,4000,0.020504,0.051672,0.023174416,0.0033449380698219217,0.021012,0.0213415,0.02498125,1000,0.025904,0.072948,0.028000299,0.003120130484066171,0.02633475,0.026633,0.02913075,1000,0.485129,2.551671,0.587279133,0.1572566852781824,0.50030275,0.547412,0.650949,1000,0.09079,0.231017,0.105967982,0.016639605023066984,0.09402825,0.097928,0.1167085,1000,0.025658,0.064821,0.029668139,0.004774226452701945,0.02651575,0.027487,0.03215275,1000,0.041,0.145967,0.048349504999999994,0.009554556249453713,0.0421125,0.0449235,0.05369475,1000,0.006279,0.022482,0.007645046,0.0018379252987768572,0.00653175,0.0067145,0.00820425,1000,0.016691,0.049404,0.019745442999999998,0.0033878742796554597,0.0173945,0.017976,0.021406,1000,0.0,1.2,0.48,0.5878775382679627,0.0,0.0,1.2,5
BilateralLagrangianConstraint_PGS,0.036015,1.699647,0.090662629,0.12059645999931905,0.03801775,0.076853,0.1072125,1000,0.191469,0.38804,0.21389855900000002,0.021485448822692047,0.19817725,0.2037305,0.2292625,1000,0.001967,0.029563,0.002770112,0.000992678581392789,0.002236,0.002373,0.003206,4000,0.004116,0.038121,0.005189185000000001,0.001378552683713974,0.004401,0.0045945,0.005763,4000,0.014731,0.056235,0.01756581725,0.002815946269169999,0.015648,0.0164095,0.0187285,4000,0.014731,0.056235,0.01756581725,0.002815946269169999,0.015648,0.0164095,0.0187285,4000,0.020485,0.057181,0.02311538,0.003278337584142304,0.02095325,0.0212765,0.02499325,1000,0.025567,0.066367,0.027901429,0.0030053529904087804,0.0262015,0.0265565,0.0292905,1000,0.482395,2.437223,0.58655224,0.15507396143438268,0.4980775,0.544719,0.65070325,1000,0.089173,0.236841,0.104347556,0.01627119547399219,0.09263475,0.0962355,0.11542975,1000,0.024959,0.068996,0.028927761,0.004930580609003264,0.02577625,0.026526,0.03173925,1000,0.040678,0.151401,0.047781328,0.009099712975276527,0.04177075,0.043298,0.05355575,1000,0.006058,0.031358,0.007525895,0.0018338381842395474,0.00636475,0.006836,0.00797075,1000,0.016625,0.073829,0.019589616999999997,0.003524506293980903,0.017256,0.0178905,0.021164,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
BilateralLagrangianConstraint_UGS,0.026383,1.726943,0.062504924,0.11788541914874895,0.0370765,0.050696,0.06229775,1000,0.190183,0.31732,0.20288570800000003,0.014284653298723636,0.196267,0.199365,0.202828,1000,0.001968,0.033658,0.002554294,0.0010304809610390674,0.002164,0.002247,0.003021,4000,0.004161,0.022918,0.00491489975,0.0011267039483377776,0.004335,0.004469,0.005672,4000,0.014574,0.063694,0.01672287625,0.002500818977542345,0.01527175,0.015931,0.018073,4000,0.014574,0.063694,0.01672287625,0.002500818977542345,0.01527175,0.015931,0.018073,4000,0.02034,0.047218,0.021486892,0.0025050984604074946,0.02076175,0.0209545,0.02118,1000,0.025624,0.058166,0.027156755,0.0030067963836906213,0.02613075,0.0263185,0.0265485,1000,0.498259,2.442055,0.559391386,0.1417589273545021,0.51582775,0.54443,0.563435,1000,0.102049,0.212404,0.125167106,0.015906206457001745,0.11432025,0.1239525,0.13033825,1000,0.02522,0.051311,0.026959544999999998,0.002888914296405312,0.02601725,0.0262945,0.02666525,1000,0.045907,0.116624,0.049509466,0.006502034646850476,0.04712075,0.0476525,0.0485585,1000,0.009392,0.069883,0.029485412,0.010171100918005679,0.02097375,0.030988,0.03556225,1000,0.016871,0.045978,0.018664776999999997,0.002731503905410168,0.0175005,0.017729,0.01820725,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
FrictionContact_LCP_with_friction,0.030267,1.491314,0.075661315,0.09711765800372132,0.069105,0.069773,0.07084475,1000,0.059371,0.141288,0.077260938,0.008138651391118556,0.0766085,0.07723,0.07812575,1000,0.003031,0.02189,0.004297285,0.0009822270449213867,0.0041965,0.0043065,0.00438325,1000,0.005808,0.024672,0.007689346,0.0011869790420576095,0.007635,0.0077265,0.007806,1000,0.018377,0.054955,0.024645796999999997,0.002884535567087187,0.02451475,0.0247225,0.02513875,1000,0.018377,0.054955,0.024645796999999997,0.002884535567087187,0.02451475,0.0247225,0.02513875,1000,0.006487,0.028758,0.009730858,0.0015111458631899173,0.00973525,0.009849,0.00995325,1000,0.010049,0.022846,0.012151409,0.001193982133752009,0.0120555,0.012178,0.012307,1000,0.157669,1.752795,0.260753609,0.1069369002507185,0.25640375,0.2592075,0.26194,1000,0.01264,0.088834,0.038901119,0.009962846621164003,0.039958,0.040348,0.041132,1000,0.002067,0.015593,0.0030489180000000003,0.0007816701703890203,0.00293,0.00302,0.003106,1000,0.00714,0.042205,0.017105805,0.003946301875550703,0.01727,0.017433,0.017654,1000,0.001844,0.060466,0.016506691,0.006305767597487162,0.017718,0.017916,0.018036,1000,0.00098,0.007271,0.001511684,0.0005938598825851095,0.001381,0.001435,0.00148925,1000,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
FrictionContact_LCP_without_friction,0.014933,1.458395,0.089791628,0.0967269634827312,0.068961,0.0961005,0.09839725,1000,0.059259,0.194941,0.077457264,0.009053583900108507,0.0764,0.0769865,0.07805025,1000,0.003043,0.019647,0.004353386000000001,0.0009862483880868956,0.004273,0.004345,0.004418,1000,0.005786,0.028423,0.007717555,0.0015397154467546915,0.00759075,0.0076725,0.007744,1000,0.018141,0.049318,0.024580326,0.0029361839029127586,0.0244485,0.0246355,0.02486175,1000,0.018141,0.049318,0.024580326,0.0029361839029127586,0.0244485,0.0246355,0.02486175,1000,0.006485,0.080774,0.009695549999999999,0.002623699792563928,0.009652,0.009773,0.00990775,1000,0.009974,0.027248,0.012151556,0.0011370828601575172,0.01207,0.012181,0.01229625,1000,0.157591,1.745366,0.265164422,0.1081708177822832,0.24399875,0.2740555,0.27960775,1000,0.012479,0.062714,0.028934788,0.006661271467899803,0.02668125,0.0306235,0.03140525,1000,0.002036,0.013202,0.003003866,0.0007838381019343216,0.002902,0.002969,0.003045,1000,0.007013,0.041491,0.015846555000000002,0.0036802252747590056,0.01553475,0.0161595,0.016619,1000,0.00183,0.034681,0.007871361,0.003060849559628667,0.00627975,0.009466,0.00979,1000,0.000961,0.016577,0.001475398,0.0007420020347654042,0.001309,0.001384,0.001453,1000,0.0,1.2,0.48,0.5878775382679627,0.0,0.0,1.2,5
FixedProjectiveConstraint,0.005321,0.130303,0.006337114,0.008454073426520731,0.005552,0.005646,0.00575525,1000,1.120146,1.34583,1.153568996,0.039390263097242494,1.1261825,1.1331905,1.17279,1000,0.067329,0.120178,0.069245051,0.00395722807131444,0.06775875,0.0681965,0.07006675,1000,0.037711,0.071407,0.039187438000000005,0.002624586123973835,0.03809375,0.0382565,0.04062925,1000,0.015117,0.036908,0.015901303,0.0018537273982953911,0.01546575,0.0155915,0.0158235,1000,0.990747,1.183377,1.021340467,0.03596809679103012,0.99585075,1.0028595,1.03803875,1000,0.002774,0.013201,0.0030067849999999997,0.0005939608562649562,0.002899,0.002945,0.002998,1000,0.010879,0.024999,0.011379077999999999,0.000897210737740025,0.01116175,0.011279,0.011375,1000,1.15492,1.489072,1.1906161499999999,0.04340331276022028,1.1618805,1.1694515,1.209993,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1.2,0.24,0.48,0.0,0.0,0.0,5
FEMBAR_EigenSimplicialLDLT,0.000282,0.000942,0.00037119299999999997,6.710536305691223e-05,0.000331,0.000349,0.00039425,1000,2.502411,4.911742,2.583215092,0.18710705186621251,2.51283925,2.553177,2.601776,1000,0.051849,0.102515,0.0541043,0.0036282432062914416,0.0522825,0.05312,0.055171,1000,0.04442,0.089202,0.046150006,0.002722117326267184,0.04494275,0.0455005,0.04645275,1000,0.687442,2.049649,0.715705381,0.09504779055931727,0.69493475,0.6980745,0.7287465,1000,1.705231,2.749378,1.759617492,0.11121195271396837,1.71123175,1.719524,1.773317,1000,0.001325,0.004526,0.001502183,0.00016633029643152808,0.001422,0.001477,0.001546,1000,0.011837,0.03224,0.012621332,0.001298553852474359,0.012183,0.0123915,0.01274,1000,2.526022,4.969219,2.609003982,0.18921065178700608,2.538322,2.57904,2.6266395,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1.2,0.24,0.48,0.0,0.0,0.0,5
FEMBAR_EigenSimplicialLLT,0.000301,0.003206,0.000361646,0.00010225868512747462,0.000337,0.000351,0.000366,1000,2.618173,4.904965,2.692415894,0.1775834522308843,2.6334605,2.657483,2.6963565,1000,0.052101,0.100364,0.053787584,0.003646204089315901,0.052452,0.0529505,0.05388225,1000,0.044476,0.093282,0.045634269,0.002986027960123448,0.044892,0.0450725,0.0453415,1000,0.688225,1.917233,0.71104426,0.08460321258802411,0.69449575,0.6979195,0.706648,1000,1.817419,2.862376,1.874372744,0.10920560926338199,1.8268425,1.8438355,1.887534,1000,0.001287,0.010223,0.001471585,0.0003097534289963551,0.00139675,0.001439,0.0015,1000,0.011814,0.022844,0.012463781,0.0008097445838281352,0.01220275,0.012328,0.01249825,1000,2.641617,4.960812,2.717949551,0.17973640210919267,2.6586015,2.682557,2.72175875,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
