SceneName,CollisionDetection_min,CollisionDetection_max,CollisionDetection_mean,CollisionDetection_std,CollisionDetection_quartile1,CollisionDetection_quartile2,CollisionDetection_quartile3,CollisionDetection_cardinality,ODESolve_min,ODESolve_max,ODESolve_mean,ODESolve_std,ODESolve_quartile1,ODESolve_quartile2,ODESolve_quartile3,ODESolve_cardinality,ComputeForce_min,ComputeForce_max,ComputeForce_mean,ComputeForce_std,ComputeForce_quartile1,ComputeForce_quartile2,ComputeForce_quartile3,ComputeForce_cardinality,ComputeRHTerm_min,ComputeRHTerm_max,ComputeRHTerm_mean,ComputeRHTerm_std,ComputeRHTerm_quartile1,ComputeRHTerm_quartile2,ComputeRHTerm_quartile3,ComputeRHTerm_cardinality,setSystemMBKMatrix_min,setSystemMBKMatrix_max,setSystemMBKMatrix_mean,setSystemMBKMatrix_std,setSystemMBKMatrix_quartile1,setSystemMBKMatrix_quartile2,setSystemMBKMatrix_quartile3,setSystemMBKMatrix_cardinality,MBKSolve_min,MBKSolve_max,MBKSolve_mean,MBKSolve_std,MBKSolve_quartile1,MBKSolve_quartile2,MBKSolve_quartile3,MBKSolve_cardinality,ProjectAndMechaMap_min,ProjectAndMechaMap_max,ProjectAndMechaMap_mean,ProjectAndMechaMap_std,ProjectAndMechaMap_quartile1,ProjectAndMechaMap_quartile2,ProjectAndMechaMap_quartile3,ProjectAndMechaMap_cardinality,UpdateBBox_min,UpdateBBox_max,UpdateBBox_mean,UpdateBBox_std,UpdateBBox_quartile1,UpdateBBox_quartile2,UpdateBBox_quartile3,UpdateBBox_cardinality,TimeStep_min,TimeStep_max,TimeStep_mean,TimeStep_std,TimeStep_quartile1,TimeStep_quartile2,TimeStep_quartile3,TimeStep_cardinality,SolveConstraint_min,SolveConstraint_max,SolveConstraint_mean,SolveConstraint_std,SolveConstraint_quartile1,SolveConstraint_quartile2,SolveConstraint_quartile3,SolveConstraint_cardinality,PrepareState_min,PrepareState_max,PrepareState_mean,PrepareState_std,PrepareState_quartile1,PrepareState_quartile2,PrepareState_quartile3,PrepareState_cardinality,BuildSystem_min,BuildSystem_max,BuildSystem_mean,BuildSystem_std,BuildSystem_quartile1,BuildSystem_quartile2,BuildSystem_quartile3,BuildSystem_cardinality,SolveSystem_min,SolveSystem_max,SolveSystem_mean,SolveSystem_std,SolveSystem_quartile1,SolveSystem_quartile2,SolveSystem_quartile3,SolveSystem_cardinality,ApplyCorrection_min,ApplyCorrection_max,ApplyCorrection_mean,ApplyCorrection_std,ApplyCorrection_quartile1,ApplyCorrection_quartile2,ApplyCorrection_quartile3,ApplyCorrection_cardinality,CPUUsage_min,CPUUsage_max,CPUUsage_mean,CPUUsage_std,CPUUsage_quartile1,CPUUsage_quartile2,CPUUsage_quartile3,CPUUsage_cardinality
fallingBeamLagrangianCollision,0.323544,0.385059,0.33704033725490196,0.010278648237782196,0.3299705,0.334502,0.3401915,255,11.837824,13.286385,12.310482105882352,0.2485212763290345,12.0944345,12.360084,12.428642,255,0.285618,0.380669,0.2982023725490196,0.013824259363149932,0.289601,0.292304,0.3004075,255,0.135684,0.214807,0.14459883529411766,0.01363093223648394,0.1373605,0.138067,0.1443995,255,3.883662,4.224296,3.9772985725490195,0.04575297733598855,3.948005,3.969,3.9959275,255,3.883662,4.224296,3.9772985725490195,0.04575297733598855,3.948005,3.969,3.9959275,255,0.025113,0.033951,0.026753223529411764,0.0012739375492724777,0.025995,0.026365,0.0269555,255,0.051675,0.081195,0.054220513725490194,0.0031465938058833354,0.0528105,0.053342,0.054212,255,40.037226,49.562882,47.28338313333333,1.750799622875778,47.606702,47.924941,48.0872705,255,27.191731,35.890122,34.45254710588235,1.782189754691058,35.0712915,35.152533,35.213512,255,0.020525,0.031956,0.022264266666666668,0.0012349717149522197,0.0216605,0.022039,0.0224065,255,21.787264,22.613045,21.92625159215686,0.08334256663753345,21.875985,21.91045,21.951949,255,4.861347,13.297115,12.08286720392157,1.7863061921992613,12.7407315,12.802661,12.845747,255,0.403721,0.500306,0.4191831960784314,0.017497562085447855,0.4096195,0.414315,0.420059,255,0.0,1.2,0.48,0.5878775382679627,0.0,0.0,1.2,5
SofaScene,12.062751,21.625705,13.349688458119658,0.44197529701191723,13.134993,13.217798,13.374442,1755,11.710158,21.245614,13.019431026780628,0.42541044333606154,12.80859,12.89245,13.045097,1755,0.00839,0.780497,0.24816799933523265,0.2204096644200914,0.0484295,0.3031915,0.3973965,10530,0.0095,0.416419,0.0946704294396961,0.07633979993620445,0.02533525,0.1115095,0.14863825,10530,0.085759,7.886261,1.8756604915479582,1.9194869297322465,0.1628275,1.1287005,2.71127325,10530,0.085759,7.886261,1.8756604915479582,1.9194869297322465,0.1628275,1.1287005,2.71127325,10530,0.093584,0.19578,0.10508460512820514,0.012270545966611271,0.0989325,0.100748,0.1034545,1755,0.13054,0.213719,0.14242085698005696,0.013508999527424929,0.135279,0.13667,0.140535,1755,24.028019,41.27062,28.996592597150997,2.4527034394973266,27.2769915,28.884245,30.6291735,1755,10.233999,24.918975,15.076498360683761,2.3834534471937663,13.3982565,14.851815,16.7246805,1755,0.0727,0.174002,0.08403265982905983,0.011575694289981484,0.0785045,0.080624,0.0831875,1755,9.413669,23.683295,14.215191525356126,2.2955984199181225,12.5990515,13.982313,15.8600875,1755,0.103911,1.100629,0.2623574757834758,0.10940904865368624,0.2014505,0.238689,0.289827,1755,0.431953,0.895938,0.5124254324786325,0.032050718461154815,0.488988,0.510054,0.5310205,1755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
BilateralLagrangianConstraint_NNCG,0.031438,1.740295,0.090559534,0.12119045366916836,0.03749475,0.07627,0.106114,1000,0.191677,0.31284,0.213963685,0.020742772068259707,0.19845775,0.203286,0.23103425,1000,0.002012,0.015812,0.00271983825,0.0008856083787921937,0.002187,0.002308,0.003172,4000,0.004086,0.020043,0.005178469,0.001214796779522814,0.004415,0.00458,0.00579825,4000,0.014908,0.05905,0.017608554,0.002938317314311713,0.01573275,0.016454,0.01873025,4000,0.014908,0.05905,0.017608554,0.002938317314311713,0.01573275,0.016454,0.01873025,4000,0.020416,0.067884,0.023155845,0.003947881801039008,0.020925,0.0211745,0.0249195,1000,0.025566,0.054995,0.028136937999999997,0.003278169392230365,0.02638075,0.0268015,0.029339,1000,0.484676,2.46614,0.588029109,0.15492053416700163,0.502853,0.5477045,0.6520925,1000,0.09038,0.235021,0.10507889,0.016673903657749137,0.09342675,0.0970545,0.11567275,1000,0.025209,0.091644,0.029119368,0.005318997144817432,0.02614775,0.026773,0.03117325,1000,0.040958,0.150641,0.048114916,0.009332254671993473,0.04209225,0.0444815,0.052847,1000,0.006269,0.017641,0.007548837,0.0016670022670743432,0.00649875,0.0067025,0.00805325,1000,0.016702,0.047502,0.019750771,0.0031919255659490246,0.01749975,0.018074,0.0214275,1000,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
BilateralLagrangianConstraint_PGS,0.021831,1.715431,0.090152783,0.11994494878925878,0.03711975,0.077191,0.10676325,1000,0.194428,0.369345,0.214887838,0.021919756803389857,0.19866175,0.2033055,0.22902925,1000,0.001984,0.024057,0.0027716242499999997,0.000920121088804043,0.002239,0.00241,0.003179,4000,0.004177,0.082747,0.005220492,0.0017477320488095422,0.004426,0.004592,0.00579325,4000,0.014851,0.046626,0.017460852500000002,0.0025639166984798376,0.0155955,0.016371,0.01867925,4000,0.014851,0.046626,0.017460852500000002,0.0025639166984798376,0.0155955,0.016371,0.01867925,4000,0.020401,0.056089,0.023168175,0.0035607013391149504,0.0209265,0.0212315,0.02481675,1000,0.025641,0.059494,0.028005672,0.002971582495980214,0.026232,0.026759,0.02947325,1000,0.486356,2.439042,0.5889227539999999,0.15422028851008376,0.50076225,0.5482805,0.65395775,1000,0.089461,0.204864,0.10542841,0.0163462785638169,0.09354375,0.097388,0.1166805,1000,0.02504,0.05492,0.029380104,0.0045103536485716945,0.0262625,0.0272805,0.03210075,1000,0.040778,0.117169,0.04815769,0.009061431420581408,0.041852,0.0447975,0.05368375,1000,0.006082,0.031971,0.007571767,0.001830934433209174,0.006423,0.0068735,0.0080565,1000,0.01665,0.060331,0.019776862000000003,0.0034422195619913613,0.0173925,0.0181165,0.02134125,1000,0.0,1.2,0.24,0.48,0.0,0.0,0.0,5
BilateralLagrangianConstraint_UGS,0.013763,1.750949,0.062999633,0.11859995595217694,0.0374605,0.051017,0.06276025,1000,0.191967,0.315325,0.20331750599999998,0.014692069147603548,0.1967805,0.199489,0.202946,1000,0.001993,0.013509,0.0025226149999999998,0.0006838370787512183,0.002153,0.002231,0.0030425,4000,0.004121,0.029502,0.0049126707500000005,0.0011420124300306179,0.00434475,0.00446,0.00567825,4000,0.014651,0.054227,0.016799117,0.002536615363592005,0.015383,0.0159995,0.018094,4000,0.014651,0.054227,0.016799117,0.002536615363592005,0.015383,0.0159995,0.018094,4000,0.020461,0.052071,0.021483003,0.0022437715790585727,0.020824,0.0209575,0.02113925,1000,0.025761,0.052772,0.027055431,0.0024367473745218237,0.026194,0.0263435,0.0265715,1000,0.498801,2.492137,0.560814208,0.1417164791240621,0.51641725,0.545135,0.5639815,1000,0.102449,0.259978,0.125820621,0.01697221575014173,0.1142815,0.1244575,0.130714,1000,0.02512,0.096519,0.026988903999999998,0.004245400090543176,0.02583775,0.026153,0.02647825,1000,0.046123,0.108246,0.049805696,0.006771028906568336,0.04727825,0.047768,0.04886225,1000,0.009394,0.076508,0.029656538,0.010342945534351227,0.020973,0.0309175,0.035683,1000,0.017096,0.064558,0.01881918,0.0030304947430411424,0.01753,0.01779,0.018604,1000,0.0,2.4,0.48,0.9600000000000001,0.0,0.0,0.0,5
FrictionContact_LCP_with_friction,0.032002,1.658363,0.077093075,0.10062669604591704,0.069149,0.069733,0.07484125,1000,0.05945,0.138923,0.07732515300000001,0.008369521690012578,0.07648925,0.077127,0.0780325,1000,0.003032,0.014728,0.004309969,0.0007485763341430185,0.004263,0.00434,0.004413,1000,0.005832,0.023675,0.007692096,0.0012668575266319413,0.007577,0.007678,0.00776825,1000,0.018459,0.050539,0.024578383999999998,0.0028062728927429705,0.024513,0.024717,0.02496325,1000,0.018459,0.050539,0.024578383999999998,0.0028062728927429705,0.024513,0.024717,0.02496325,1000,0.006497,0.022976,0.009614643,0.0014520285698122473,0.009571,0.009695,0.00985525,1000,0.010238,0.050379,0.012327293999999999,0.001904047400555984,0.012197,0.0122925,0.012387,1000,0.158093,1.922564,0.26256525799999997,0.11037363888737853,0.25635275,0.25941,0.26465725,1000,0.012534,0.112863,0.039039741,0.010266873892764001,0.04000975,0.0403845,0.04152075,1000,0.002043,0.028406,0.003064627,0.0011889078592855712,0.002928,0.002996,0.00306725,1000,0.007172,0.055961,0.017226319,0.004374695608066806,0.01726175,0.0174395,0.017685,1000,0.001806,0.061017,0.016501383999999997,0.006117889573745509,0.0177135,0.0179955,0.01817,1000,0.000984,0.010361,0.0015011389999999999,0.0007116058668104135,0.001345,0.0014,0.001468,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
FrictionContact_LCP_without_friction,0.031949,1.658114,0.089918474,0.10013639082112619,0.06881725,0.096115,0.09855275,1000,0.059599,0.165556,0.07749501700000001,0.008311859680884355,0.07638025,0.077067,0.0784605,1000,0.00302,0.014668,0.0042592030000000005,0.000778685092827004,0.004213,0.0042865,0.004352,1000,0.005826,0.023998,0.007695408999999999,0.0014043998852602488,0.007561,0.0076475,0.007737,1000,0.01832,0.062287,0.024884179,0.0035256026697515134,0.02456325,0.0248055,0.02506425,1000,0.01832,0.062287,0.024884179,0.0035256026697515134,0.02456325,0.0248055,0.02506425,1000,0.006475,0.024681,0.009491517,0.0012905054806977769,0.009511,0.009628,0.009767,1000,0.009987,0.029976,0.012198226000000001,0.001288124429130975,0.01205075,0.0121855,0.01232925,1000,0.157781,1.948396,0.26478145000000003,0.1104534343312579,0.243292,0.2733975,0.279432,1000,0.012417,0.075242,0.028928185000000002,0.006529742655631614,0.02670975,0.030794,0.0315065,1000,0.001973,0.007922,0.002985358,0.000509290914739307,0.002916,0.002977,0.00306325,1000,0.007146,0.043647,0.015935684999999998,0.003679107478964838,0.01559,0.016309,0.0166275,1000,0.001837,0.027956,0.007845603,0.002852018579425983,0.00628125,0.0094705,0.00984825,1000,0.00095,0.006384,0.001441466,0.0005625694115786958,0.00129575,0.001367,0.001425,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
FixedProjectiveConstraint,0.005176,0.157791,0.006383865,0.00882470422806198,0.00555775,0.0056795,0.005853,1000,1.128454,1.26744,1.144480291,0.020273860873852297,1.133346,1.137155,1.1425415,1000,0.067529,0.120576,0.06938060400000001,0.0039532519837703235,0.06790875,0.0681175,0.07090825,1000,0.037616,0.070047,0.038686976000000005,0.0024998144994027058,0.0380765,0.0382555,0.03847425,1000,0.015135,0.033544,0.015872403,0.0015955125391519177,0.015446,0.0155945,0.015754,1000,0.998862,1.134141,1.01276869,0.01871995489358615,1.00305575,1.0063645,1.011822,1000,0.002797,0.013768,0.003026616,0.0004747787827441323,0.00293,0.002983,0.00304325,1000,0.010951,0.036345,0.011547837,0.0013073298919672113,0.01126175,0.0113685,0.011502,1000,1.164526,1.448547,1.1820021729999999,0.026218321928931133,1.16945125,1.1738715,1.1802875,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
FEMBAR_EigenSimplicialLDLT,0.000274,0.000863,0.000336848,4.205640136768718e-05,0.000318,0.000332,0.000348,1000,2.50393,4.931803,2.567329035,0.1822776845519708,2.5145345,2.5348995,2.5755875,1000,0.05187,0.105453,0.053681093,0.0035436644116438286,0.052398,0.0526495,0.054578,1000,0.043042,0.083879,0.0451695,0.0031833377140982073,0.044594,0.0447855,0.044982,1000,0.688157,2.048707,0.7076036210000001,0.09358258202034905,0.69360425,0.696003,0.698786,1000,1.705584,2.808372,1.753633813,0.10632361067439362,1.713,1.7189085,1.7755615,1000,0.00128,0.003351,0.001432728,0.00012865449862325064,0.001382,0.0014165,0.00145525,1000,0.01169,0.031264,0.012317772999999999,0.0010793271308880362,0.012064,0.0121775,0.01229925,1000,2.527908,4.986557,2.5924817059999996,0.18440416115576017,2.53919825,2.559771,2.600748,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
FEMBAR_EigenSimplicialLLT,0.000292,0.002789,0.000360404,9.165024159269849e-05,0.000333,0.000349,0.000373,1000,2.615232,4.941427,2.6940472829999997,0.1783457224634864,2.62845725,2.6555655,2.71752225,1000,0.050915,0.097114,0.052835385,0.0033788394325233928,0.052049,0.0522505,0.052472,1000,0.043194,0.085112,0.045583926,0.0033323881191307833,0.04471925,0.045012,0.045968,1000,0.687475,1.942866,0.711710283,0.08670914063627265,0.69343025,0.6955725,0.7007,1000,1.819273,2.841603,1.876358945,0.10896466224123293,1.82761075,1.8365365,1.9168865,1000,0.001256,0.011983,0.001475307,0.00046067815093728937,0.001385,0.001432,0.001495,1000,0.011816,0.041772,0.01239312,0.0015665436213524347,0.012052,0.012154,0.01230675,1000,2.640263,4.99606,2.7195256469999998,0.18037929067686342,2.653505,2.6816735,2.74226025,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1.2,0.48,0.5878775382679627,0.0,0.0,1.2,5
