SceneName,CollisionDetection_min,CollisionDetection_max,CollisionDetection_mean,CollisionDetection_std,CollisionDetection_quartile1,CollisionDetection_quartile2,CollisionDetection_quartile3,CollisionDetection_cardinality,ODESolve_min,ODESolve_max,ODESolve_mean,ODESolve_std,ODESolve_quartile1,ODESolve_quartile2,ODESolve_quartile3,ODESolve_cardinality,ComputeForce_min,ComputeForce_max,ComputeForce_mean,ComputeForce_std,ComputeForce_quartile1,ComputeForce_quartile2,ComputeForce_quartile3,ComputeForce_cardinality,ComputeRHTerm_min,ComputeRHTerm_max,ComputeRHTerm_mean,ComputeRHTerm_std,ComputeRHTerm_quartile1,ComputeRHTerm_quartile2,ComputeRHTerm_quartile3,ComputeRHTerm_cardinality,setSystemMBKMatrix_min,setSystemMBKMatrix_max,setSystemMBKMatrix_mean,setSystemMBKMatrix_std,setSystemMBKMatrix_quartile1,setSystemMBKMatrix_quartile2,setSystemMBKMatrix_quartile3,setSystemMBKMatrix_cardinality,MBKSolve_min,MBKSolve_max,MBKSolve_mean,MBKSolve_std,MBKSolve_quartile1,MBKSolve_quartile2,MBKSolve_quartile3,MBKSolve_cardinality,ProjectAndMechaMap_min,ProjectAndMechaMap_max,ProjectAndMechaMap_mean,ProjectAndMechaMap_std,ProjectAndMechaMap_quartile1,ProjectAndMechaMap_quartile2,ProjectAndMechaMap_quartile3,ProjectAndMechaMap_cardinality,UpdateBBox_min,UpdateBBox_max,UpdateBBox_mean,UpdateBBox_std,UpdateBBox_quartile1,UpdateBBox_quartile2,UpdateBBox_quartile3,UpdateBBox_cardinality,TimeStep_min,TimeStep_max,TimeStep_mean,TimeStep_std,TimeStep_quartile1,TimeStep_quartile2,TimeStep_quartile3,TimeStep_cardinality,SolveConstraint_min,SolveConstraint_max,SolveConstraint_mean,SolveConstraint_std,SolveConstraint_quartile1,SolveConstraint_quartile2,SolveConstraint_quartile3,SolveConstraint_cardinality,PrepareState_min,PrepareState_max,PrepareState_mean,PrepareState_std,PrepareState_quartile1,PrepareState_quartile2,PrepareState_quartile3,PrepareState_cardinality,BuildSystem_min,BuildSystem_max,BuildSystem_mean,BuildSystem_std,BuildSystem_quartile1,BuildSystem_quartile2,BuildSystem_quartile3,BuildSystem_cardinality,SolveSystem_min,SolveSystem_max,SolveSystem_mean,SolveSystem_std,SolveSystem_quartile1,SolveSystem_quartile2,SolveSystem_quartile3,SolveSystem_cardinality,ApplyCorrection_min,ApplyCorrection_max,ApplyCorrection_mean,ApplyCorrection_std,ApplyCorrection_quartile1,ApplyCorrection_quartile2,ApplyCorrection_quartile3,ApplyCorrection_cardinality,CPUUsage_min,CPUUsage_max,CPUUsage_mean,CPUUsage_std,CPUUsage_quartile1,CPUUsage_quartile2,CPUUsage_quartile3,CPUUsage_cardinality
fallingBeamLagrangianCollision,0.3307,0.642764,0.35713866666666666,0.023900802922985638,0.34667,0.350063,0.3598175,255,11.796169,13.437905,12.318544937254902,0.23591593444682288,12.189235,12.34599,12.455771,255,0.284288,0.385137,0.2955620039215686,0.01316528272969957,0.2882285,0.290418,0.297369,255,0.137257,0.189256,0.14459526274509804,0.009702024508236205,0.1384225,0.139191,0.1507895,255,3.542296,3.908945,3.671035403921569,0.06382849411805062,3.6295595,3.674421,3.7176185,255,3.542296,3.908945,3.671035403921569,0.06382849411805062,3.6295595,3.674421,3.7176185,255,0.022606,0.0426,0.023816223529411762,0.0016300902347919312,0.02327,0.023555,0.0238795,255,0.053404,0.094731,0.05578501960784314,0.0038984556856464154,0.054685,0.055157,0.05566,255,40.093502,54.574157,47.74594174901961,2.4325190808300508,47.619966,47.928184,48.2481395,255,27.174905,41.490652,34.89859906666667,2.4276399695861937,34.980822,35.166978,35.328109,255,0.019789,0.038125,0.021647266666666668,0.0017114391007440363,0.0210015,0.021389,0.0217915,255,21.75624,28.263281,22.344825509803922,1.6274313721916098,21.8349885,21.874184,21.9066185,255,4.877916,14.571756,12.113097043137254,1.8278497036215935,12.691557,12.835387,12.977298,255,0.397739,0.531685,0.41637226666666666,0.020485667466607436,0.404683,0.407689,0.42126,255,0.0,1.2,0.48,0.5878775382679627,0.0,0.0,1.2,5
SofaScene,8.984765,31.194562,9.341836822222222,0.6110471732176009,9.104437,9.246509,9.4968605,1755,8.679056,30.598842,9.031061996581197,0.6011026403717871,8.8029785,8.939788,9.173778,1755,0.004618,1.564147,0.1757589109211776,0.17114565220556113,0.02973575,0.127012,0.281784,10530,0.006059,0.818603,0.08030304520417854,0.07844604665456113,0.01460325,0.078463,0.113021,10530,0.035641,15.252236,1.1679089902184236,1.210504646155225,0.087012,0.987298,1.7471165,10530,0.035641,15.252236,1.1679089902184236,1.210504646155225,0.087012,0.987298,1.7471165,10530,0.098851,0.230509,0.11290388262108263,0.012129333069834703,0.104351,0.107681,0.121032,1755,0.133248,0.239566,0.14727203019943022,0.011864231802524985,0.139561,0.14272,0.151621,1755,24.201249,64.57613,30.95607292991453,3.910468773086934,28.416252,30.419266,32.6170425,1755,14.548508,43.959027,21.090510525925925,3.7842577423762584,18.671855,20.505109,22.8815275,1755,0.072723,0.171194,0.08396010256410257,0.009086096849950948,0.079266,0.081576,0.085704,1755,13.800274,42.281079,20.24704318233618,3.6896116755413284,17.8712635,19.690976,22.0314585,1755,0.101055,0.659072,0.2573220427350427,0.10540061861566621,0.1983965,0.230581,0.283756,1755,0.435747,1.085676,0.4999819424501425,0.034306559878132664,0.478703,0.492551,0.516261,1755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
BilateralLagrangianConstraint_NNCG,0.042387,1.891358,0.109112958,0.1258330359669043,0.05422575,0.0934055,0.126109,1000,0.124943,0.235088,0.14259450599999998,0.018011609994610808,0.12879725,0.133247,0.15521575,1000,0.001828,0.023007,0.002624525,0.0013618657938192734,0.002014,0.002134,0.002993,4000,0.004055,0.026096,0.00512449425,0.001581746768755017,0.004287,0.0044615,0.00568925,4000,0.000352,0.020891,0.0007526715000000001,0.0008630875639746815,0.00045,0.000514,0.000918,4000,0.000352,0.020891,0.0007526715000000001,0.0008630875639746815,0.00045,0.000514,0.000918,4000,0.019989,0.059456,0.022981762,0.004549880633748098,0.020431,0.0207645,0.024523,1000,0.027946,0.085361,0.030858682000000002,0.004989744787148537,0.02860875,0.029009,0.031883,1000,0.419673,2.55319,0.52607595,0.15495761422867707,0.45243725,0.4884385,0.57884275,1000,0.084481,0.194685,0.100059774,0.0163148601850866,0.08795725,0.091754,0.1109495,1000,0.024782,0.076229,0.029222401999999998,0.006042010364969262,0.02579975,0.0265495,0.0315885,1000,0.037669,0.113263,0.044468445,0.008661102828564906,0.038552,0.040814,0.0498595,1000,0.005115,0.025976,0.006543345999999999,0.002065543887765157,0.005483,0.005651,0.007018,1000,0.01586,0.054272,0.019260475,0.004111138045769687,0.016723,0.0174235,0.020552,1000,0.0,1.2,0.24,0.48,0.0,0.0,0.0,5
BilateralLagrangianConstraint_PGS,0.046168,1.749157,0.10869448799999999,0.12177099563057642,0.05430575,0.0950805,0.12491375,1000,0.124522,0.263771,0.14327559599999998,0.017268687361371274,0.13044025,0.1362145,0.15432975,1000,0.001856,0.021628,0.0025715392499999997,0.0010315124870593846,0.002061,0.0021875,0.003004,4000,0.004022,0.02326,0.0052367394999999995,0.0013696979455849927,0.004377,0.0046115,0.00581,4000,0.000345,0.020772,0.00076212875,0.0008582075894988564,0.000469,0.00054,0.0009065,4000,0.000345,0.020772,0.00076212875,0.0008582075894988564,0.000469,0.00054,0.0009065,4000,0.019943,0.06267,0.023003513,0.00442685768212973,0.02044725,0.020802,0.0245955,1000,0.027887,0.068606,0.030882467,0.00469873479022928,0.0285615,0.028958,0.03221,1000,0.418359,2.345662,0.5253807859999999,0.15084050431807167,0.453078,0.485354,0.57814175,1000,0.084981,0.196271,0.099931772,0.01587207040880351,0.08791075,0.091686,0.11093175,1000,0.024736,0.069923,0.029062954000000002,0.005501659140830518,0.02572875,0.026518,0.03162525,1000,0.037706,0.102622,0.044577966000000004,0.00848185084806636,0.0386285,0.040963,0.049635,1000,0.005294,0.031992,0.006632817,0.0020114619070494472,0.005513,0.00588,0.00702475,1000,0.016036,0.049687,0.019082335,0.003718934029903596,0.016689,0.0172755,0.02050175,1000,0.0,1.2,0.48,0.5878775382679627,0.0,0.0,1.2,5
BilateralLagrangianConstraint_UGS,0.019894,1.807718,0.080387337,0.1216572849375056,0.0534305,0.0676205,0.07945575,1000,0.125663,0.274515,0.136775367,0.01493297534272092,0.12863625,0.1318215,0.1361165,1000,0.001876,0.141937,0.00250158675,0.0025330034515322793,0.002014,0.0020955,0.002929,4000,0.004062,0.026416,0.0049988427499999995,0.0017137005644284643,0.004294,0.004455,0.00565,4000,0.000369,0.014672,0.00073178475,0.0007535616361104363,0.000449,0.000502,0.000942,4000,0.000369,0.014672,0.00073178475,0.0007535616361104363,0.000449,0.000502,0.000942,4000,0.02007,0.064979,0.022021136,0.0043947139426251626,0.02067875,0.0208915,0.0211895,1000,0.028272,0.070882,0.030217098,0.004722588472902969,0.02882975,0.0290785,0.02940925,1000,0.439599,2.421116,0.504329205,0.14256354729429602,0.463095,0.4867595,0.50864,1000,0.096854,0.213014,0.121444055,0.016350442998707252,0.10926475,0.1194605,0.12597225,1000,0.024998,0.062192,0.027359730999999998,0.004132985860445085,0.0259965,0.0263655,0.02676575,1000,0.042764,0.117508,0.046736473,0.0076159619121468165,0.043896,0.0443925,0.0453485,1000,0.008796,0.078364,0.028213197,0.010075567605261303,0.0196315,0.02925,0.03376375,1000,0.016468,0.051876,0.018595541,0.0036319835614053927,0.017064,0.0174045,0.01806375,1000,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
FrictionContact_LCP_with_friction,0.040238,1.521017,0.083594375,0.09823338396053743,0.07490525,0.075842,0.07786675,1000,0.040387,0.131845,0.053647563,0.009026536484279615,0.051227,0.052016,0.0528395,1000,0.00285,0.021208,0.004144697,0.0012983452973654582,0.004032,0.004101,0.004167,1000,0.00576,0.033737,0.007804635,0.0021355640963864795,0.007448,0.00758,0.00773525,1000,0.000754,0.004265,0.001015728,0.0003383408252280531,0.000947,0.000979,0.001012,1000,0.000754,0.004265,0.001015728,0.0003383408252280531,0.000947,0.000979,0.001012,1000,0.00596,0.029688,0.009289190000000001,0.001918833512293341,0.009201,0.00931,0.009423,1000,0.011271,0.041112,0.014550703,0.0030740110593150114,0.01401,0.014138,0.014274,1000,0.141506,1.79857,0.24328619699999998,0.10830135494549545,0.23281675,0.2355455,0.2492835,1000,0.012026,0.116192,0.037481223,0.010460552495507635,0.03762175,0.038119,0.0404915,1000,0.001936,0.01934,0.003028013,0.0011008792044684102,0.002862,0.0029545,0.003036,1000,0.0068,0.057704,0.016130616,0.004606841671746924,0.015753,0.0159595,0.01627325,1000,0.001596,0.089347,0.016143975,0.006571739768004741,0.01704425,0.017347,0.01752,1000,0.000973,0.010424,0.0013792799999999999,0.0006009668839461955,0.001266,0.0013005,0.00133525,1000,0.0,1.2,0.48,0.5878775382679627,0.0,0.0,1.2,5
FrictionContact_LCP_without_friction,0.040428,1.534253,0.09859781,0.09996661492337278,0.075374,0.1031645,0.10507225,1000,0.040157,0.105563,0.052935979,0.008469364116895611,0.05090875,0.0514165,0.05204525,1000,0.002808,0.019445,0.004094535,0.0011242188269082669,0.004013,0.004087,0.00416025,1000,0.005769,0.02867,0.007641243000000001,0.0018125868067353354,0.007377,0.0074845,0.007612,1000,0.000755,0.011086,0.0010127509999999999,0.0004643235089880761,0.000932,0.0009655,0.00099725,1000,0.000755,0.011086,0.0010127509999999999,0.0004643235089880761,0.000932,0.0009655,0.00099725,1000,0.006016,0.036099,0.009274754999999999,0.0022814689414881366,0.0090805,0.00923,0.00937225,1000,0.01139,0.044035,0.014541624,0.0032990755669769067,0.01386875,0.014019,0.014178,1000,0.142216,1.76363,0.247583579,0.10972060686100747,0.221117,0.251356,0.25561425,1000,0.011878,0.110003,0.027620679,0.007689980008944042,0.0246155,0.028501,0.02914175,1000,0.0019,0.021974,0.003094242,0.00153828541936664,0.00283475,0.0029115,0.00301,1000,0.006834,0.095723,0.014975559999999999,0.005029220034200134,0.014087,0.0148095,0.01515925,1000,0.001606,0.02705,0.007400809,0.0029563347933748976,0.00581075,0.0089365,0.00911825,1000,0.000971,0.024515,0.001344739,0.0009574780670485356,0.001181,0.001234,0.00129325,1000,0.0,1.2,0.72,0.5878775382679627,0.0,1.2,1.2,5
FixedProjectiveConstraint,0.00819,0.127378,0.009935811,0.008384584885805558,0.00856575,0.0087015,0.009087,1000,1.100326,1.335607,1.1318388629999998,0.03175235326920244,1.10551475,1.12699,1.144409,1000,0.066938,0.157024,0.069168538,0.006282587262629624,0.0673285,0.067505,0.0682495,1000,0.037292,0.079521,0.038746629,0.00402621596879241,0.037697,0.03789,0.038155,1000,0.000731,0.013203,0.0009547949999999999,0.0006286370057314475,0.000814,0.000843,0.00087825,1000,0.986068,1.210191,1.01526773,0.028440042825303553,0.9912185,1.011538,1.028564,1000,0.002608,0.015703,0.002886146,0.0006128526419001553,0.002771,0.002818,0.00287625,1000,0.008304,0.032613,0.009009175999999999,0.001752250819096399,0.008618,0.0087675,0.00889925,1000,1.132456,1.52051,1.1675284369999999,0.0367733514065013,1.13975,1.1628055,1.18006775,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1.2,0.72,0.5878775382679627,0.0,1.2,1.2,5
FEMBAR_EigenSimplicialLDLT,0.00028,0.001082,0.00033154,5.464015373331228e-05,0.000308,0.000323,0.00034,1000,2.506175,5.212931,2.5766326320000004,0.20614066369924824,2.5159805,2.5344335,2.58537575,1000,0.051827,0.111063,0.054786866999999996,0.0052471618116188305,0.052391,0.053068,0.0555945,1000,0.043813,0.104042,0.046115504999999994,0.0039738021754957805,0.044307,0.0447915,0.04715175,1000,0.688183,2.164211,0.7118975479999999,0.10165317933849238,0.694434,0.696936,0.7132905,1000,1.706447,2.900914,1.7564652109999999,0.11910506288925957,1.715456,1.721692,1.76492525,1000,0.001146,0.019038,0.0013432329999999999,0.0007036798041090848,0.001242,0.00128,0.001335,1000,0.005919,0.019609,0.006493891,0.000989812943499427,0.006237,0.0063495,0.00649575,1000,2.522082,5.265551,2.5944020070000002,0.20858348310540065,2.53351175,2.551923,2.6031985,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
FEMBAR_EigenSimplicialLLT,0.000273,0.014617,0.000362107,0.0005300408395123908,0.000306,0.0003225,0.000358,1000,2.615299,5.158123,2.70621612,0.19160059329473278,2.660564,2.684049,2.70832425,1000,0.052248,0.100099,0.054503655,0.0055645493098700274,0.05269475,0.0530745,0.05381,1000,0.043933,0.111966,0.046553,0.005494643221174602,0.04445975,0.04481,0.0480285,1000,0.688488,2.063695,0.71922931,0.09306337083608082,0.69415425,0.711931,0.725138,1000,1.813312,2.942453,1.878292122,0.11428073939389399,1.84415625,1.8586085,1.88432775,1000,0.001088,0.021162,0.00135324,0.001133887499005082,0.001195,0.0012335,0.00128525,1000,0.005949,0.027835,0.0066763149999999995,0.0015219715686487052,0.00628,0.006425,0.0066235,1000,2.631358,5.207478,2.724676979,0.19403133231341416,2.67884875,2.7022405,2.7266925,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
