SceneName,CollisionDetection_min,CollisionDetection_max,CollisionDetection_mean,CollisionDetection_std,CollisionDetection_quartile1,CollisionDetection_quartile2,CollisionDetection_quartile3,CollisionDetection_cardinality,ODESolve_min,ODESolve_max,ODESolve_mean,ODESolve_std,ODESolve_quartile1,ODESolve_quartile2,ODESolve_quartile3,ODESolve_cardinality,ComputeForce_min,ComputeForce_max,ComputeForce_mean,ComputeForce_std,ComputeForce_quartile1,ComputeForce_quartile2,ComputeForce_quartile3,ComputeForce_cardinality,ComputeRHTerm_min,ComputeRHTerm_max,ComputeRHTerm_mean,ComputeRHTerm_std,ComputeRHTerm_quartile1,ComputeRHTerm_quartile2,ComputeRHTerm_quartile3,ComputeRHTerm_cardinality,setSystemMBKMatrix_min,setSystemMBKMatrix_max,setSystemMBKMatrix_mean,setSystemMBKMatrix_std,setSystemMBKMatrix_quartile1,setSystemMBKMatrix_quartile2,setSystemMBKMatrix_quartile3,setSystemMBKMatrix_cardinality,MBKSolve_min,MBKSolve_max,MBKSolve_mean,MBKSolve_std,MBKSolve_quartile1,MBKSolve_quartile2,MBKSolve_quartile3,MBKSolve_cardinality,ProjectAndMechaMap_min,ProjectAndMechaMap_max,ProjectAndMechaMap_mean,ProjectAndMechaMap_std,ProjectAndMechaMap_quartile1,ProjectAndMechaMap_quartile2,ProjectAndMechaMap_quartile3,ProjectAndMechaMap_cardinality,UpdateBBox_min,UpdateBBox_max,UpdateBBox_mean,UpdateBBox_std,UpdateBBox_quartile1,UpdateBBox_quartile2,UpdateBBox_quartile3,UpdateBBox_cardinality,TimeStep_min,TimeStep_max,TimeStep_mean,TimeStep_std,TimeStep_quartile1,TimeStep_quartile2,TimeStep_quartile3,TimeStep_cardinality,SolveConstraint_min,SolveConstraint_max,SolveConstraint_mean,SolveConstraint_std,SolveConstraint_quartile1,SolveConstraint_quartile2,SolveConstraint_quartile3,SolveConstraint_cardinality,PrepareState_min,PrepareState_max,PrepareState_mean,PrepareState_std,PrepareState_quartile1,PrepareState_quartile2,PrepareState_quartile3,PrepareState_cardinality,BuildSystem_min,BuildSystem_max,BuildSystem_mean,BuildSystem_std,BuildSystem_quartile1,BuildSystem_quartile2,BuildSystem_quartile3,BuildSystem_cardinality,SolveSystem_min,SolveSystem_max,SolveSystem_mean,SolveSystem_std,SolveSystem_quartile1,SolveSystem_quartile2,SolveSystem_quartile3,SolveSystem_cardinality,ApplyCorrection_min,ApplyCorrection_max,ApplyCorrection_mean,ApplyCorrection_std,ApplyCorrection_quartile1,ApplyCorrection_quartile2,ApplyCorrection_quartile3,ApplyCorrection_cardinality,CPUUsage_min,CPUUsage_max,CPUUsage_mean,CPUUsage_std,CPUUsage_quartile1,CPUUsage_quartile2,CPUUsage_quartile3,CPUUsage_cardinality
fallingBeamLagrangianCollision,0.330494,0.53374,0.34644825098039217,0.018142825520259448,0.335766,0.341014,0.35232,255,11.925778,21.118061,12.458204117647059,0.611764164894144,12.302154,12.418751,12.5925675,255,0.28671,0.404608,0.30308800392156865,0.01622803486018914,0.290523,0.301477,0.308203,255,0.137476,0.240659,0.15599653725490195,0.01934118549111076,0.1387425,0.144659,0.1717365,255,3.90669,6.195575,4.0282046000000005,0.1506777093211059,3.9856895,4.017269,4.0453415,255,3.90669,6.195575,4.0282046000000005,0.1506777093211059,3.9856895,4.017269,4.0453415,255,0.022768,0.050404,0.025584964705882354,0.0034186775373873267,0.024029,0.024656,0.026234,255,0.052538,0.110055,0.05630483529411765,0.005107413301436991,0.0540645,0.055223,0.057178,255,40.175703,62.874021,47.76221551372549,2.4828288369052665,47.6738715,48.069629,48.3968,255,27.231273,42.966983,34.763652478431375,2.30187900373797,35.076491,35.182806,35.2810905,255,0.019994,0.04681,0.02192465882352941,0.0019981853290145066,0.021267,0.021669,0.0221355,255,21.785105,28.52178,22.190955458823527,1.2217154361697877,21.866527,21.904187,21.987055,255,4.878076,14.847139,12.13490317254902,1.8005661330384652,12.7691915,12.830829,12.8942815,255,0.393758,0.547513,0.4134366666666667,0.018855528517888034,0.4031945,0.409174,0.4159065,255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
SofaScene,13.023066,34.765945,13.54024272991453,0.8524003963748726,13.2441075,13.45049,13.578565,1755,12.716645,34.184298,13.197450692877494,0.8372040476217213,12.9169515,13.108069,13.227022,1755,0.008662,2.227369,0.2676250769230769,0.23765487020912654,0.05612075,0.305781,0.4264835,10530,0.010123,1.069337,0.10888276942070275,0.08609722338270062,0.02788475,0.115489,0.18553975,10530,0.081117,17.466117,1.89603030997151,1.9400464555517591,0.17367725,1.1770815,2.72628725,10530,0.081117,17.466117,1.89603030997151,1.9400464555517591,0.17367725,1.1770815,2.72628725,10530,0.092557,0.543359,0.11657950655270656,0.01808065890188492,0.110652,0.1145,0.1177255,1755,0.1319,0.554502,0.14994081196581197,0.017061621974043265,0.1431065,0.145496,0.148313,1755,23.904497,59.367766,29.299891937321938,2.8143490808798504,27.4304025,29.075897,30.990559,1755,10.137909,25.975732,15.135509966951568,2.4651880654965623,13.380019,14.949094,16.8451015,1755,0.074233,0.159581,0.08781249686609686,0.012444640308335003,0.0809935,0.084281,0.087818,1755,9.337656,24.719351,14.241811416524216,2.367810337471805,12.553994,14.059715,15.9327065,1755,0.104306,1.617485,0.2821334022792023,0.11483552469334816,0.218695,0.257926,0.3136015,1755,0.439041,2.191321,0.5215344575498576,0.052156695918138846,0.498341,0.518332,0.542253,1755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
BilateralLagrangianConstraint_NNCG,0.027187,1.697752,0.094391284,0.12115647192696453,0.04317875,0.0803035,0.11009125,1000,0.195038,0.381283,0.215555155,0.02138178811996263,0.19987325,0.2049175,0.232211,1000,0.001991,0.013575,0.00270984775,0.000812734243507641,0.002225,0.002342,0.003091,4000,0.004213,0.029235,0.00530745525,0.0013115926435053825,0.004516,0.004726,0.005961,4000,0.014989,0.053309,0.017613859,0.0027297959699616745,0.015703,0.016488,0.01882925,4000,0.014989,0.053309,0.017613859,0.0027297959699616745,0.015703,0.016488,0.01882925,4000,0.020545,0.047968,0.02315249,0.0031327072927262133,0.021106,0.021398,0.02501525,1000,0.025599,0.053475,0.027745858,0.002790070991898952,0.02612,0.0265335,0.0290115,1000,0.490476,2.43105,0.5930926360000001,0.15493057678700325,0.50699775,0.553902,0.65339175,1000,0.090661,0.224293,0.105092617,0.016478156938028933,0.0938215,0.097477,0.11545675,1000,0.025159,0.067071,0.029059129,0.004897750234174768,0.0261655,0.0268745,0.03154375,1000,0.04125,0.120083,0.048184516000000004,0.00898466147363071,0.04226175,0.0445435,0.05253375,1000,0.006289,0.029217,0.007652069,0.0018993974360936156,0.006516,0.0066815,0.00821025,1000,0.016939,0.05102,0.019639784,0.003224257996089023,0.017505,0.018082,0.02142,1000,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
BilateralLagrangianConstraint_PGS,0.026249,1.771821,0.096488524,0.12167287791248889,0.0435125,0.08204,0.11183925,1000,0.194112,0.481763,0.221190369,0.027245625590594156,0.2027665,0.209599,0.2357055,1000,0.002006,0.023647,0.0027943447500000003,0.0010006659532018852,0.002249,0.0023885,0.003179,4000,0.004339,0.031384,0.0054549505,0.001495152894706675,0.004586,0.004783,0.006022,4000,0.014911,0.067824,0.018016940999999998,0.0035309654038972117,0.01592,0.01678,0.01896025,4000,0.014911,0.067824,0.018016940999999998,0.0035309654038972117,0.01592,0.01678,0.01896025,4000,0.020614,0.05812,0.023591848999999998,0.0037269628697102685,0.02122875,0.021597,0.02552175,1000,0.025681,0.089332,0.028434352,0.004340668383105994,0.026293,0.0267865,0.02944,1000,0.49212,2.541287,0.60810208,0.15941990509445048,0.52159475,0.5657745,0.6623935,1000,0.091476,0.260986,0.108109774,0.018256032682237508,0.09520525,0.099984,0.11840175,1000,0.02555,0.076396,0.030094346,0.0056331351748634614,0.02673675,0.0275245,0.032426,1000,0.041443,0.144619,0.049456220999999995,0.010148709588423495,0.042686,0.0452935,0.0549315,1000,0.006128,0.026861,0.007873946,0.002213183139978253,0.006489,0.0070875,0.0083935,1000,0.01695,0.058864,0.020123921,0.0037782288322385925,0.01771575,0.0185,0.02152875,1000,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
BilateralLagrangianConstraint_UGS,0.022932,1.729266,0.066013426,0.11634146783994315,0.0417335,0.0534005,0.066018,1000,0.194987,0.32304,0.205778361,0.013414969191119262,0.19935175,0.2022015,0.20558225,1000,0.002019,0.018163,0.002540062,0.0007486445055271561,0.002194,0.002263,0.002986,4000,0.004256,0.031094,0.0050503605,0.0011875457368201656,0.00449,0.004617,0.005791,4000,0.014939,0.04722,0.016934262,0.0023041508992155874,0.01554075,0.0161195,0.01834925,4000,0.014939,0.04722,0.016934262,0.0023041508992155874,0.01554075,0.0161195,0.01834925,4000,0.020479,0.054242,0.021627690999999998,0.001961488898647912,0.020983,0.021165,0.02141225,1000,0.025585,0.054962,0.026680508999999998,0.002360815096512008,0.02598075,0.026122,0.02630525,1000,0.504977,2.491779,0.5655542290000001,0.13958114429274665,0.5224405,0.549688,0.565355,1000,0.102205,0.229961,0.125701096,0.016725634619253884,0.11402675,0.1244125,0.130775,1000,0.02507,0.07241,0.027174985000000002,0.0034649658562206642,0.02591275,0.026376,0.02693325,1000,0.046433,0.137407,0.049697762,0.006978663654408056,0.04745275,0.0479005,0.048876,1000,0.009371,0.070093,0.029600162,0.010605541767291098,0.02078675,0.030683,0.03570175,1000,0.017079,0.040815,0.018717808000000002,0.002385878154293718,0.017626,0.0179235,0.01843025,1000,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
FrictionContact_LCP_with_friction,0.036221,1.382333,0.077773085,0.09382790512787641,0.070585,0.071221,0.0743075,1000,0.060521,0.135758,0.07852134699999999,0.009057972740773235,0.07745175,0.0780325,0.07901725,1000,0.00304,0.021061,0.004328131000000001,0.0011107156025909604,0.004193,0.004265,0.004336,1000,0.0061,0.030729,0.007924755,0.0014101003641496586,0.00777175,0.007857,0.007948,1000,0.018698,0.064392,0.025111098999999998,0.0037922554575343416,0.02476975,0.025003,0.02526825,1000,0.018698,0.064392,0.025111098999999998,0.0037922554575343416,0.02476975,0.025003,0.02526825,1000,0.006562,0.029937,0.009637939,0.0018055627669175615,0.00948175,0.0096195,0.009796,1000,0.010054,0.043756,0.012418469,0.002302017900242959,0.01208375,0.012199,0.012319,1000,0.161643,1.698849,0.264087325,0.10484632829113939,0.2586975,0.261049,0.2646235,1000,0.012933,0.085325,0.038799423,0.01009886911669178,0.03983075,0.040237,0.040982,1000,0.00221,0.012041,0.0031466550000000004,0.0007051865908927935,0.003006,0.003081,0.003157,1000,0.007114,0.047655,0.017063903999999998,0.004231847101300329,0.01709775,0.0172755,0.01747225,1000,0.001888,0.057356,0.016601984,0.006184825260243332,0.01776575,0.018006,0.018204,1000,0.001025,0.013773,0.001498019,0.0008682427394680591,0.00131375,0.001359,0.001406,1000,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
FrictionContact_LCP_without_friction,0.031518,1.523362,0.09414199300000001,0.09964345180615208,0.07309625,0.098635,0.10258675,1000,0.060569,0.135365,0.078122501,0.0077417880992700265,0.07737,0.077996,0.0789475,1000,0.003038,0.024741,0.004425554,0.0013601461565155416,0.00425275,0.004335,0.0044,1000,0.006153,0.025486,0.007874643,0.0013072071310817578,0.007727,0.0078225,0.00793125,1000,0.018655,0.052981,0.024911873,0.0029667140669216844,0.024724,0.024936,0.0251595,1000,0.018655,0.052981,0.024911873,0.0029667140669216844,0.024724,0.024936,0.0251595,1000,0.006647,0.03431,0.009612537,0.0015770121941922324,0.00955,0.0097255,0.009871,1000,0.01013,0.042308,0.012272917,0.0017751680439076747,0.012047,0.012155,0.012268,1000,0.163401,1.789431,0.26990974,0.10987509322425351,0.24879825,0.2772965,0.283703,1000,0.012945,0.066536,0.028920827,0.006513360119713249,0.0268555,0.030637,0.0313825,1000,0.002208,0.013769,0.00320616,0.000894128080534327,0.003019,0.0031165,0.003229,1000,0.007193,0.04276,0.015815123,0.0036961024433680135,0.015516,0.016146,0.01651075,1000,0.00193,0.020211,0.00796884,0.0028716019825874195,0.00638575,0.009585,0.009877,1000,0.00101,0.011622,0.001439347,0.0007635015707848937,0.00126075,0.00132,0.001368,1000,0.0,1.2,0.72,0.5878775382679627,0.0,1.2,1.2,5
FixedProjectiveConstraint,0.006113,0.137692,0.007765763,0.008815886415263697,0.006475,0.0065985,0.006929,1000,1.118632,1.263382,1.134742633,0.019825513276541192,1.12388625,1.127665,1.13578575,1000,0.067176,0.111066,0.068346399,0.003544299178370669,0.06749375,0.067647,0.06791825,1000,0.037801,0.075205,0.03885565,0.0027291570569500027,0.0381725,0.03835,0.038642,1000,0.015258,0.03784,0.016441793000000003,0.0017340157237323427,0.015919,0.01613,0.01632825,1000,0.98771,1.131783,1.0029811069999999,0.017627285585465252,0.993107,0.997071,1.0039475,1000,0.002753,0.015873,0.0030955210000000004,0.0007711038189238853,0.00289375,0.002938,0.002995,1000,0.011142,0.033578,0.011654022,0.0011900327816980506,0.01134,0.011428,0.011617,1000,1.153879,1.432737,1.173251188,0.026171916178809988,1.16100325,1.1656355,1.17388725,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
FEMBAR_EigenSimplicialLDLT,0.0003,0.009268,0.000365903,0.00028441782221056404,0.00034,0.000352,0.000366,1000,2.508769,4.955892,2.569208333,0.18417165021100862,2.51892825,2.544621,2.56464225,1000,0.051108,0.09278,0.053502119,0.0034503624399241017,0.052133,0.0528815,0.053812,1000,0.042975,0.080175,0.045871606,0.0035726975288658293,0.04465475,0.0453245,0.0465565,1000,0.691408,2.126667,0.720395291,0.09674586022038524,0.69795975,0.704572,0.73269,1000,1.706857,2.746735,1.74192812,0.10387735210804903,1.71371975,1.7157685,1.74183575,1000,0.001233,0.003948,0.001402695,0.00017623196070803957,0.001333,0.001378,0.00142625,1000,0.011826,0.041974,0.012433752000000001,0.0013947053834039646,0.01209975,0.0122165,0.012386,1000,2.533802,5.016169,2.5948237940000003,0.18639463196586312,2.544199,2.569758,2.591095,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
FEMBAR_EigenSimplicialLLT,0.000309,0.000873,0.000371651,5.823031168558176e-05,0.000348,0.00036,0.000376,1000,2.626712,5.008313,2.703731594,0.18700934987878326,2.652468,2.6654005,2.6968835,1000,0.052043,0.124046,0.055250223,0.005766813634171908,0.05289575,0.053951,0.0550115,1000,0.044565,0.082296,0.046087419000000004,0.003445558392109906,0.044891,0.0451195,0.0456745,1000,0.692326,1.981328,0.717732834,0.08904833013583378,0.69904275,0.7066645,0.7127525,1000,1.827736,2.923896,1.8770013079999999,0.11075152580584674,1.83943425,1.8464735,1.87204725,1000,0.001233,0.004608,0.001476561,0.00028091577079081905,0.001364,0.001415,0.001493,1000,0.011809,0.032817,0.012736466,0.0017181049865604837,0.012215,0.012403,0.01260625,1000,2.650065,5.065596,2.729850781,0.1898236941036683,2.67751625,2.6919585,2.722819,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
