SceneName,CollisionDetection_min,CollisionDetection_max,CollisionDetection_mean,CollisionDetection_std,CollisionDetection_quartile1,CollisionDetection_quartile2,CollisionDetection_quartile3,CollisionDetection_cardinality,ODESolve_min,ODESolve_max,ODESolve_mean,ODESolve_std,ODESolve_quartile1,ODESolve_quartile2,ODESolve_quartile3,ODESolve_cardinality,ComputeForce_min,ComputeForce_max,ComputeForce_mean,ComputeForce_std,ComputeForce_quartile1,ComputeForce_quartile2,ComputeForce_quartile3,ComputeForce_cardinality,ComputeRHTerm_min,ComputeRHTerm_max,ComputeRHTerm_mean,ComputeRHTerm_std,ComputeRHTerm_quartile1,ComputeRHTerm_quartile2,ComputeRHTerm_quartile3,ComputeRHTerm_cardinality,setSystemMBKMatrix_min,setSystemMBKMatrix_max,setSystemMBKMatrix_mean,setSystemMBKMatrix_std,setSystemMBKMatrix_quartile1,setSystemMBKMatrix_quartile2,setSystemMBKMatrix_quartile3,setSystemMBKMatrix_cardinality,MBKSolve_min,MBKSolve_max,MBKSolve_mean,MBKSolve_std,MBKSolve_quartile1,MBKSolve_quartile2,MBKSolve_quartile3,MBKSolve_cardinality,ProjectAndMechaMap_min,ProjectAndMechaMap_max,ProjectAndMechaMap_mean,ProjectAndMechaMap_std,ProjectAndMechaMap_quartile1,ProjectAndMechaMap_quartile2,ProjectAndMechaMap_quartile3,ProjectAndMechaMap_cardinality,UpdateBBox_min,UpdateBBox_max,UpdateBBox_mean,UpdateBBox_std,UpdateBBox_quartile1,UpdateBBox_quartile2,UpdateBBox_quartile3,UpdateBBox_cardinality,TimeStep_min,TimeStep_max,TimeStep_mean,TimeStep_std,TimeStep_quartile1,TimeStep_quartile2,TimeStep_quartile3,TimeStep_cardinality,SolveConstraint_min,SolveConstraint_max,SolveConstraint_mean,SolveConstraint_std,SolveConstraint_quartile1,SolveConstraint_quartile2,SolveConstraint_quartile3,SolveConstraint_cardinality,PrepareState_min,PrepareState_max,PrepareState_mean,PrepareState_std,PrepareState_quartile1,PrepareState_quartile2,PrepareState_quartile3,PrepareState_cardinality,BuildSystem_min,BuildSystem_max,BuildSystem_mean,BuildSystem_std,BuildSystem_quartile1,BuildSystem_quartile2,BuildSystem_quartile3,BuildSystem_cardinality,SolveSystem_min,SolveSystem_max,SolveSystem_mean,SolveSystem_std,SolveSystem_quartile1,SolveSystem_quartile2,SolveSystem_quartile3,SolveSystem_cardinality,ApplyCorrection_min,ApplyCorrection_max,ApplyCorrection_mean,ApplyCorrection_std,ApplyCorrection_quartile1,ApplyCorrection_quartile2,ApplyCorrection_quartile3,ApplyCorrection_cardinality,CPUUsage_min,CPUUsage_max,CPUUsage_mean,CPUUsage_std,CPUUsage_quartile1,CPUUsage_quartile2,CPUUsage_quartile3,CPUUsage_cardinality
fallingBeamLagrangianCollision,0.341859,0.446764,0.36039729803921566,0.013669812351990192,0.3504185,0.357166,0.367882,255,11.765866,13.604717,12.307352415686275,0.2705011349813885,12.1573645,12.329131,12.4228165,255,0.283979,0.399931,0.2999408274509804,0.01835214057744078,0.2883755,0.294975,0.302793,255,0.136515,0.212473,0.1470286705882353,0.015258808630585196,0.1387785,0.139917,0.145679,255,3.552511,4.032038,3.680811988235294,0.07775762032238295,3.629612,3.662191,3.717303,255,3.552511,4.032038,3.680811988235294,0.07775762032238295,3.629612,3.662191,3.717303,255,0.024966,0.041669,0.027295913725490194,0.0023948500367327935,0.0261275,0.026463,0.0272565,255,0.051243,0.071748,0.05358041176470588,0.002576918993122697,0.0524245,0.052855,0.053527,255,40.151674,53.000545,47.41325067843137,1.9119767147160098,47.5557745,47.91982,48.1893035,255,27.232812,39.458607,34.561193654901956,1.9171753854566986,35.0484685,35.170232,35.317153,255,0.019904,0.044999,0.02171227450980392,0.0017808855285561837,0.0210765,0.021481,0.0219485,255,21.780016,25.612458,21.99764768627451,0.48147032123058014,21.868896,21.912834,21.9673625,255,4.920595,14.333193,12.123307619607843,1.800305073794356,12.729335,12.827905,12.944851,255,0.396032,0.498915,0.416571737254902,0.021221252133170474,0.404798,0.410456,0.416555,255,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
SofaScene,8.618318,13.464719,9.081124115669516,0.3319946439716127,8.8288775,9.044588,9.2606545,1755,8.391683,13.148405,8.787853064957265,0.3246233397544263,8.539692,8.755937,8.9538865,1755,0.004513,0.586085,0.17594948755935422,0.1714985953822248,0.02915575,0.116752,0.2837515,10530,0.006199,0.33879,0.0819136380816714,0.07965227417510005,0.0147145,0.063972,0.128471,10530,0.036742,5.581928,1.1608492626780629,1.1964243982319107,0.09048825,0.8823175,1.71021525,10530,0.036742,5.581928,1.1608492626780629,1.1964243982319107,0.09048825,0.8823175,1.71021525,10530,0.094037,0.203603,0.11051443019943019,0.013296961156385156,0.100223,0.106089,0.117444,1755,0.130064,0.221388,0.14299882564102565,0.012632616538820942,0.134653,0.140459,0.1448645,1755,23.780219,41.003871,30.476192149287748,3.6038850696032267,27.981239,29.883882,32.46582,1755,14.357036,30.900902,20.803456492877494,3.577554860975449,18.376977,20.320346,22.7390425,1755,0.072755,0.155872,0.08528951225071225,0.010394064583313913,0.0796525,0.082446,0.087575,1755,13.429968,29.980523,19.948630434188033,3.4867577537746617,17.593308,19.463868,21.8711735,1755,0.105135,0.70084,0.26909148319088316,0.1065475220185857,0.208308,0.243781,0.295669,1755,0.429298,0.736662,0.49818271965811967,0.029596282477496905,0.4767895,0.49553,0.5167815,1755,0.0,7.2,1.44,2.88,0.0,0.0,0.0,5
BilateralLagrangianConstraint_NNCG,0.046828,1.696321,0.106146319,0.11941144381710338,0.05432925,0.0921735,0.123568,1000,0.194294,0.37977,0.218770789,0.022463999528545203,0.20203075,0.2097025,0.23377,1000,0.00195,0.017762,0.002666566,0.000914640045397095,0.002133,0.0022595,0.003062,4000,0.004192,0.022819,0.00523925025,0.0012915047354248987,0.00443875,0.004633,0.00585125,4000,0.014954,0.092459,0.01831236075,0.0030600201062426753,0.01618075,0.01785,0.01932825,4000,0.014954,0.092459,0.01831236075,0.0030600201062426753,0.01618075,0.01785,0.01932825,4000,0.02035,0.061254,0.022758743999999997,0.0029721150230877674,0.0207885,0.0210905,0.024808,1000,0.025636,0.067419,0.028429578,0.0034396673972807313,0.0261985,0.028264,0.029602,1000,0.503486,2.58052,0.609782468,0.15550847722754207,0.53152975,0.566419,0.6728855,1000,0.091013,0.364969,0.105858606,0.017720463262137477,0.0942625,0.0980205,0.11638875,1000,0.025637,0.0931,0.029282698,0.004854495128517074,0.0265435,0.0271455,0.03145925,1000,0.040944,0.142782,0.048421619,0.009155036812697095,0.04256275,0.0443415,0.05274025,1000,0.00621,0.027935,0.007687679,0.0020813514056879008,0.00648175,0.0067145,0.008177,1000,0.016938,0.05661,0.019774366999999998,0.0035534083751112815,0.01747925,0.018142,0.0213705,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
BilateralLagrangianConstraint_PGS,0.046553,1.687637,0.106184008,0.11804304891333474,0.05253475,0.091245,0.12530375,1000,0.193307,0.3407,0.216812068,0.02097362402865504,0.20120275,0.2075695,0.23278125,1000,0.001935,0.015921,0.00265458875,0.0008709666707879456,0.002132,0.002254,0.00306625,4000,0.004153,0.016293,0.00524191025,0.0012006197804446408,0.004454,0.004672,0.005847,4000,0.015021,0.05596,0.017901655750000002,0.0026115736695031095,0.0159175,0.0169495,0.0191755,4000,0.015021,0.05596,0.017901655750000002,0.0026115736695031095,0.0159175,0.0169495,0.0191755,4000,0.020188,0.043842,0.02277832,0.003143202305865787,0.020655,0.020891,0.0247535,1000,0.025422,0.171607,0.02815352,0.005360970398687163,0.026201,0.026595,0.02950975,1000,0.499495,2.391983,0.60577023,0.15124688044054693,0.51937725,0.564403,0.6704115,1000,0.090192,0.184601,0.10493283900000001,0.015744640245908416,0.093215,0.097098,0.11611,1000,0.025023,0.056761,0.028929049999999998,0.004336808557626218,0.0259785,0.02682,0.03174925,1000,0.041097,0.10092,0.048384894,0.008691031244263481,0.04218275,0.0438055,0.05421625,1000,0.006099,0.019304,0.007602331,0.001645897047035142,0.006403,0.006926,0.00819975,1000,0.016484,0.041762,0.019462873,0.003255201078715568,0.01713575,0.0178685,0.0211955,1000,0.0,1.2,0.48,0.5878775382679627,0.0,0.0,1.2,5
BilateralLagrangianConstraint_UGS,0.046259,1.657265,0.077770633,0.11293522970973369,0.05237775,0.06635,0.07763,1000,0.196211,0.330906,0.207504606,0.013373098658080857,0.2016265,0.2040565,0.20748325,1000,0.001958,0.015546,0.00248455625,0.0007941475790657159,0.00210875,0.002185,0.002959,4000,0.004115,0.023563,0.0050067285,0.0011336254975906946,0.004453,0.0046045,0.00572,4000,0.015122,0.056911,0.01723407025,0.0023055270129224118,0.015778,0.016479,0.01887225,4000,0.015122,0.056911,0.01723407025,0.0023055270129224118,0.015778,0.016479,0.01887225,4000,0.020282,0.047707,0.021395626,0.0020321986320544555,0.02082675,0.020967,0.021115,1000,0.025715,0.051806,0.026843027999999998,0.0022545883498359515,0.026141,0.0262795,0.02647725,1000,0.521357,2.369895,0.580115309,0.1353892213247994,0.536987,0.566161,0.58214825,1000,0.103006,0.269948,0.12622148,0.016427634471085605,0.11526525,0.124984,0.1313855,1000,0.025438,0.061585,0.027179227,0.0030961139761757806,0.0262,0.026476,0.02679425,1000,0.046908,0.104792,0.049900901,0.006098594212209811,0.04771075,0.0481535,0.04904425,1000,0.009325,0.085502,0.029618233,0.010216970285496136,0.02103475,0.030988,0.035776,1000,0.017081,0.161403,0.018992771000000002,0.005427045807486703,0.0176,0.017805,0.018266,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
FrictionContact_LCP_with_friction,0.035996,1.406674,0.08002868099999999,0.09443482979292776,0.07176125,0.0748365,0.07547525,1000,0.059318,0.152999,0.078373368,0.008147808686179125,0.077136,0.078062,0.0814845,1000,0.002899,0.019303,0.0041337399999999995,0.0008190623946928585,0.004084,0.004159,0.004228,1000,0.00595,0.017912,0.00771479,0.0009615951694450217,0.007636,0.007771,0.007881,1000,0.018939,0.049782,0.025216261,0.0026049051116843005,0.02511675,0.025419,0.02577,1000,0.018939,0.049782,0.025216261,0.0026049051116843005,0.02511675,0.025419,0.02577,1000,0.006165,0.03702,0.009460016,0.001560776885318334,0.00943175,0.0095645,0.009806,1000,0.009707,0.035887,0.012184243,0.0017231233762998518,0.01199,0.0120965,0.012198,1000,0.162727,1.672355,0.267233294,0.10436282909402927,0.26201175,0.2649915,0.26873775,1000,0.012881,0.109068,0.039079463,0.010341105979373339,0.039991,0.04047,0.041668,1000,0.002093,0.012106,0.0030064099999999997,0.0005343345973264317,0.00294,0.0030205,0.00310825,1000,0.007245,0.054379,0.016856808,0.003926611223324255,0.017253,0.017401,0.017529,1000,0.001904,0.076874,0.016579011999999997,0.006429822186177158,0.0178495,0.018081,0.01824675,1000,0.001017,0.010731,0.001377835,0.00046822082586638546,0.001295,0.001336,0.001369,1000,0.0,1.2,0.72,0.5878775382679627,0.0,1.2,1.2,5
FrictionContact_LCP_without_friction,0.040261,1.557772,0.094536914,0.0978444294338651,0.074125,0.0991355,0.10369125,1000,0.060333,0.133134,0.078132951,0.00779972767951542,0.077086,0.077713,0.0813075,1000,0.002937,0.021555,0.004123334,0.000998817157664004,0.004049,0.004131,0.004191,1000,0.005852,0.032525,0.007719731,0.0014055923294607866,0.00759975,0.0077,0.007789,1000,0.018893,0.045954,0.024998035,0.002373395865795464,0.024989,0.025236,0.02561775,1000,0.018893,0.045954,0.024998035,0.002373395865795464,0.024989,0.025236,0.02561775,1000,0.006138,0.040301,0.009410835999999999,0.0016976968448766108,0.009356,0.0095225,0.009765,1000,0.009821,0.029895,0.011974907,0.0013890208034262842,0.011929,0.0120235,0.012116,1000,0.163891,1.823766,0.270371949,0.10798674753384509,0.24946575,0.2798565,0.28507,1000,0.012898,0.060576,0.029020103,0.006388365662702081,0.02685575,0.0309905,0.0316305,1000,0.00202,0.018553,0.002980677,0.0007218006723957799,0.00292875,0.002992,0.003056,1000,0.007217,0.041463,0.01566155,0.003456818231770366,0.015607,0.016336,0.016622,1000,0.001901,0.019646,0.00779681,0.0027140001407332318,0.006361,0.008798,0.0099145,1000,0.001037,0.011333,0.0013631379999999998,0.00043742159863911615,0.001256,0.001328,0.001398,1000,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
FixedProjectiveConstraint,0.008899,0.128729,0.010443627,0.00828338231255029,0.00920775,0.009347,0.009601,1000,1.123998,1.363971,1.149299122,0.030468210650760507,1.13023625,1.13809,1.152143,1000,0.067286,0.10746,0.068618092,0.0032817265455147237,0.0676205,0.067812,0.06800825,1000,0.037596,0.081686,0.039820345,0.003535539511584477,0.03813175,0.038419,0.04134275,1000,0.015421,0.038135,0.016340377,0.001838419516016679,0.0158095,0.015976,0.016158,1000,0.990175,1.166847,1.016152384,0.02783944716283971,0.99960825,1.006778,1.01884575,1000,0.002794,0.016199,0.0031514140000000004,0.0007818672947527605,0.00294475,0.00301,0.003077,1000,0.011053,0.034279,0.011586721999999999,0.001454652991856133,0.011293,0.011379,0.011471,1000,1.162053,1.555123,1.190004321,0.03495630661966391,1.16953725,1.17747,1.19358375,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
FEMBAR_EigenSimplicialLDLT,0.000281,0.001173,0.000353975,7.603666467566814e-05,0.000324,0.000338,0.00035725,1000,2.565074,5.122722,2.642620758,0.1957200305189876,2.58239125,2.602939,2.6424555,1000,0.051985,0.107152,0.054867057000000004,0.005113900425091498,0.05250775,0.0529,0.056362,1000,0.044285,0.085885,0.04605975,0.0034011712646528107,0.04481025,0.0451555,0.045675,1000,0.691543,2.160667,0.716219942,0.09866902495376467,0.69759625,0.700646,0.7159945,1000,1.764115,2.812277,1.81761913,0.11371001411486632,1.770956,1.778712,1.82654775,1000,0.00121,0.017077,0.001466312,0.0006250335372250036,0.00132975,0.001389,0.001457,1000,0.011735,0.035746,0.012554956,0.0016171123733569046,0.01205,0.012214,0.01245325,1000,2.588597,5.183765,2.6687429380000003,0.19857448308471598,2.60765775,2.62848,2.66859075,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,3.7,0.9800000000000001,1.4372195378577346,0.0,0.0,1.2,5
FEMBAR_EigenSimplicialLLT,0.000309,0.002885,0.000370814,9.257700256543199e-05,0.000344,0.000361,0.000381,1000,2.617336,4.918781,2.668705,0.17755427946201127,2.6262235,2.6315375,2.66257325,1000,0.050887,0.109476,0.053427931,0.00379932841463317,0.05220175,0.0524605,0.0530345,1000,0.043162,0.074935,0.045863052,0.0023930465877821934,0.0450385,0.045285,0.04595025,1000,0.692102,1.983243,0.7111773760000001,0.08675138712163986,0.69796525,0.700795,0.703894,1000,1.811786,2.819537,1.8506723889999999,0.10566817280654417,1.820606,1.8247495,1.84295875,1000,0.001239,0.01036,0.001397816,0.00031696103884231575,0.001325,0.001361,0.001406,1000,0.011847,0.032551,0.012416325,0.0008294095353774273,0.012142,0.012305,0.012525,1000,2.640845,4.971867,2.694152119,0.1796543201340865,2.65099075,2.6571665,2.688092,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
FEMBAR_EigenSparseLU,0.000356,0.017486,0.000463732,0.0005484627226858723,0.000407,0.000431,0.00046525,1000,3.36999,5.895712,3.434658477,0.19106147980230204,3.38383175,3.397862,3.43395375,1000,0.052628,0.114753,0.056173583,0.0036263317439405624,0.054848,0.0557485,0.056632,1000,0.044262,0.084001,0.046597582000000005,0.002773940982659148,0.045703,0.046144,0.046538,1000,0.698274,1.946734,0.719367321,0.08486812616948698,0.7056585,0.7090005,0.71225175,1000,2.548662,3.835705,2.603081194,0.11800042782257344,2.56410825,2.57219,2.60484175,1000,0.001358,0.015307,0.001747346,0.000653780158986184,0.001511,0.0017105,0.00185025,1000,0.012676,0.033967,0.013704656,0.001220842327110262,0.013295,0.0135185,0.01379225,1000,3.39715,5.956093,3.463734776,0.1932704965963554,3.41246375,3.4267905,3.462532,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
FEMBAR_EigenSparseQR,0.00036,0.001054,0.000493398,7.744486810628578e-05,0.000448,0.000481,0.00051425,1000,10.951769,14.224939,11.120295676000001,0.26411211964979764,11.00684575,11.052569,11.15261725,1000,0.054554,0.097897,0.058414970999999996,0.0052056718296641605,0.05624875,0.057136,0.058657,1000,0.044353,0.094292,0.048090085,0.0033334576784136622,0.046842,0.047399,0.048244,1000,0.698178,1.96215,0.731311233,0.08792285204424793,0.70569625,0.7106445,0.73402575,1000,10.117129,12.164482,10.272309332,0.19289930145820586,10.17655775,10.2157475,10.30206725,1000,0.001364,0.013425,0.001801192,0.0006086403052181149,0.001588,0.001714,0.00187525,1000,0.013282,0.041356,0.014296593000000002,0.0015165410147275939,0.0138295,0.014046,0.0143175,1000,10.980555,14.290616,11.151521614,0.267156527562403,11.0369955,11.0827715,11.18280525,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
FEMBAR_PrecomputedLinearSolver,0.000261,0.000866,0.00041662400000000004,9.951371073374763e-05,0.000352,0.0003905,0.00046525,1000,0.741805,104.986967,1.297389663,7.328521317766337,0.75754875,0.774344,0.7915085,1000,0.052921,0.099013,0.057696201,0.004707746594135989,0.05589325,0.0568055,0.05826125,1000,0.042675,0.083733,0.046608603000000005,0.003172137390055954,0.044854,0.046788,0.0475195,1000,0.000172,6.71502,0.033710545,0.46901141677859404,0.00024975,0.00029,0.000345,1000,0.636328,98.156032,1.150860911,6.856930102373766,0.64208225,0.6616595,0.67899775,1000,0.001204,0.008707,0.001707467,0.00042096547235016796,0.00152575,0.001637,0.0017935,1000,0.012663,0.044342,0.014088341,0.001927376884970607,0.01348975,0.013793,0.01413575,1000,0.768015,105.056918,1.327198908,7.33144236533103,0.787137,0.803508,0.820833,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
FEMBAR_SparseLDLSolver,0.000257,0.000884,0.000340161,5.282144525663795e-05,0.00031,0.000329,0.000357,1000,0.072017,4.644557,1.334636346,1.2663934617954777,0.07235275,1.282074,2.57572225,2000,0.051834,0.083714,0.053533022,0.002666532599372451,0.0523985,0.05288,0.05340175,1000,0.044556,0.086695,0.045862395,0.002808036377786976,0.0449515,0.045212,0.04587825,1000,0.69127,1.961759,0.712685711,0.08772743595027428,0.6974745,0.7009085,0.7140955,1000,1.649219,2.574006,1.776709162,0.07644449859352702,1.75801025,1.761491,1.77493625,1000,0.001174,0.010784,0.001387269,0.00033448919659534595,0.00129275,0.001358,0.00142525,1000,0.01169,0.038767,0.012334454,0.0009761277354342515,0.012083,0.0122235,0.012406,1000,2.476917,4.697028,2.621540588,0.15685669304157301,2.58695475,2.6012165,2.61688675,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
FEMBAR_MinResLinearSolver,0.000261,0.000915,0.000295202,4.4953767317100356e-05,0.00028,0.000291,0.000301,1000,2.912274,3.827717,3.216826952,0.1795895675817493,3.07619925,3.1510535,3.3518655,1000,0.051499,0.105616,0.053740852,0.0041086008370363756,0.05181,0.0520965,0.054596,1000,0.043786,0.081762,0.045527665999999994,0.003691867612258598,0.04405875,0.0442105,0.04582525,1000,0.016752,0.044816,0.017928597,0.0020312094689103337,0.0173185,0.0175215,0.0179065,1000,2.789542,3.657447,3.093149091,0.17730744224656425,2.95162075,3.0279495,3.227771,1000,0.001095,0.002038,0.0012411310000000001,0.0001042905740659241,0.001176,0.001214,0.001287,1000,0.011103,0.037978,0.011671289000000001,0.0011463180743052951,0.01137,0.0114755,0.011725,1000,2.933972,3.878551,3.240144335,0.180007640746716,3.0996975,3.1749085,3.3770055,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
FEMBAR_ShewchukPCGLinearSolver,0.000242,0.000918,0.000289776,5.0551833042927335e-05,0.00027,0.000283,0.000299,1000,0.448135,0.96809,0.613383561,0.08061289999922021,0.58687075,0.5934185,0.6406325,1000,0.051397,0.088747,0.052784236,0.0030825279710497357,0.0517275,0.052008,0.053256,1000,0.043542,0.091402,0.044484388,0.0027990180855893016,0.04381,0.043924,0.04417875,1000,0.016881,0.045419,0.0177752,0.0015280613122515732,0.01730575,0.0174505,0.01765025,1000,0.329069,0.772798,0.49219597600000004,0.0790454164558795,0.4675765,0.4730275,0.5198275,1000,0.001029,0.010363,0.0011587750000000001,0.0003032898685663601,0.001105,0.001136,0.001173,1000,0.011073,0.026631,0.011534535,0.0009575998343645429,0.011308,0.0113985,0.01148025,1000,0.470954,1.020283,0.6365186700000001,0.08155975882901506,0.6090965,0.61683,0.66418125,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1.2,0.72,0.5878775382679627,0.0,1.2,1.2,5
