SceneName,CollisionDetection_min,CollisionDetection_max,CollisionDetection_mean,CollisionDetection_std,CollisionDetection_quartile1,CollisionDetection_quartile2,CollisionDetection_quartile3,CollisionDetection_cardinality,ODESolve_min,ODESolve_max,ODESolve_mean,ODESolve_std,ODESolve_quartile1,ODESolve_quartile2,ODESolve_quartile3,ODESolve_cardinality,ComputeForce_min,ComputeForce_max,ComputeForce_mean,ComputeForce_std,ComputeForce_quartile1,ComputeForce_quartile2,ComputeForce_quartile3,ComputeForce_cardinality,ComputeRHTerm_min,ComputeRHTerm_max,ComputeRHTerm_mean,ComputeRHTerm_std,ComputeRHTerm_quartile1,ComputeRHTerm_quartile2,ComputeRHTerm_quartile3,ComputeRHTerm_cardinality,setSystemMBKMatrix_min,setSystemMBKMatrix_max,setSystemMBKMatrix_mean,setSystemMBKMatrix_std,setSystemMBKMatrix_quartile1,setSystemMBKMatrix_quartile2,setSystemMBKMatrix_quartile3,setSystemMBKMatrix_cardinality,MBKSolve_min,MBKSolve_max,MBKSolve_mean,MBKSolve_std,MBKSolve_quartile1,MBKSolve_quartile2,MBKSolve_quartile3,MBKSolve_cardinality,ProjectAndMechaMap_min,ProjectAndMechaMap_max,ProjectAndMechaMap_mean,ProjectAndMechaMap_std,ProjectAndMechaMap_quartile1,ProjectAndMechaMap_quartile2,ProjectAndMechaMap_quartile3,ProjectAndMechaMap_cardinality,UpdateBBox_min,UpdateBBox_max,UpdateBBox_mean,UpdateBBox_std,UpdateBBox_quartile1,UpdateBBox_quartile2,UpdateBBox_quartile3,UpdateBBox_cardinality,TimeStep_min,TimeStep_max,TimeStep_mean,TimeStep_std,TimeStep_quartile1,TimeStep_quartile2,TimeStep_quartile3,TimeStep_cardinality,SolveConstraint_min,SolveConstraint_max,SolveConstraint_mean,SolveConstraint_std,SolveConstraint_quartile1,SolveConstraint_quartile2,SolveConstraint_quartile3,SolveConstraint_cardinality,PrepareState_min,PrepareState_max,PrepareState_mean,PrepareState_std,PrepareState_quartile1,PrepareState_quartile2,PrepareState_quartile3,PrepareState_cardinality,BuildSystem_min,BuildSystem_max,BuildSystem_mean,BuildSystem_std,BuildSystem_quartile1,BuildSystem_quartile2,BuildSystem_quartile3,BuildSystem_cardinality,SolveSystem_min,SolveSystem_max,SolveSystem_mean,SolveSystem_std,SolveSystem_quartile1,SolveSystem_quartile2,SolveSystem_quartile3,SolveSystem_cardinality,ApplyCorrection_min,ApplyCorrection_max,ApplyCorrection_mean,ApplyCorrection_std,ApplyCorrection_quartile1,ApplyCorrection_quartile2,ApplyCorrection_quartile3,ApplyCorrection_cardinality,CPUUsage_min,CPUUsage_max,CPUUsage_mean,CPUUsage_std,CPUUsage_quartile1,CPUUsage_quartile2,CPUUsage_quartile3,CPUUsage_cardinality
fallingBeamLagrangianCollision,0.341131,0.422627,0.3553735333333333,0.014059117906040468,0.346051,0.351001,0.357319,255,11.545808,12.485846,11.973852815686275,0.22908320007141114,11.8096285,12.008358,12.1432165,255,0.283339,0.339043,0.2961856,0.012411240570815902,0.287259,0.290538,0.300189,255,0.13646,0.197296,0.14101936862745099,0.00848221660526443,0.1377155,0.138141,0.138916,255,3.572961,3.876389,3.6978673215686273,0.07082212540026117,3.6402395,3.700576,3.7484225,255,3.572961,3.876389,3.6978673215686273,0.07082212540026117,3.6402395,3.700576,3.7484225,255,0.02232,0.050684,0.02416172156862745,0.0022849076157849466,0.0234365,0.02374,0.024167,255,0.052999,0.094733,0.05585018823529412,0.0042086974105985855,0.0544925,0.055044,0.0556775,255,39.813108,54.246945,47.06642145490196,1.952090043498819,47.2253565,47.525205,47.820175,255,27.269344,41.6593,34.564257262745095,1.9808722700900836,34.9590555,35.118299,35.246663,255,0.020521,0.030666,0.021968266666666666,0.0010474786719091586,0.0214895,0.021839,0.022126,255,21.747716,28.270095,22.061903647058823,0.9202871479896981,21.851751,21.885835,21.9283945,255,4.827304,13.180426,12.058841070588235,1.7908581703137754,12.662882,12.773285,12.8938245,255,0.398753,0.485348,0.41846706274509804,0.01502510915936936,0.4075635,0.414641,0.425524,255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
SofaScene,8.983242,13.6603,9.319466835327635,0.28733991966202627,9.122,9.201639,9.4694365,1755,8.676533,13.333203,9.010621468945867,0.28208030877379936,8.8188295,8.888917,9.161637,1755,0.004982,0.625107,0.17398541984805319,0.1693412221924041,0.029681,0.1186035,0.27801175,10530,0.006118,0.315507,0.07694540930674264,0.07481182998739094,0.0133395,0.059829,0.105343,10530,0.035514,5.47834,1.1611307392212726,1.197704141042257,0.08512625,0.908215,1.739722,10530,0.035514,5.47834,1.1611307392212726,1.197704141042257,0.08512625,0.908215,1.739722,10530,0.097114,0.173929,0.1089515094017094,0.010900796774992354,0.102548,0.104647,0.1112155,1755,0.121768,0.214094,0.132518996011396,0.010431771517709966,0.1265085,0.128816,0.135028,1755,24.037683,42.837701,30.720952779487178,3.711062579133295,28.2742865,30.238972,32.4694445,1755,14.433947,32.837972,20.924942215384615,3.677173264771422,18.5472365,20.360657,22.724555,1755,0.070356,0.141159,0.08052941937321936,0.008210336135039594,0.076111,0.078734,0.0810665,1755,13.610099,32.034922,20.10357915783476,3.5856425577771325,17.7905405,19.559785,21.8969455,1755,0.099186,0.654772,0.25126455612535614,0.10367402947184183,0.194023,0.223407,0.2790875,1755,0.429658,0.681154,0.4873293561253561,0.029759659728054437,0.468018,0.480713,0.5022075,1755,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
BilateralLagrangianConstraint_NNCG,0.036494,1.649479,0.107453016,0.11737917585900721,0.05342325,0.0927345,0.12373975,1000,0.125043,0.266302,0.143453499,0.017555159265355558,0.13031725,0.134615,0.1563025,1000,0.001889,0.024805,0.0026588112500000004,0.0013568577149515116,0.002087,0.002189,0.003004,4000,0.003963,0.034345,0.00519552925,0.0017985913179887302,0.00430875,0.004476,0.005775,4000,0.00035,0.021608,0.00075522675,0.0007839126356517272,0.000472,0.000532,0.000929,4000,0.00035,0.021608,0.00075522675,0.0007839126356517272,0.000472,0.000532,0.000929,4000,0.019837,0.057855,0.022994158,0.003933855827688148,0.020637,0.020958,0.02480425,1000,0.027429,0.07258,0.030440845,0.004832399703974723,0.028078,0.0285145,0.03149125,1000,0.417765,2.297704,0.524547204,0.14750302854893654,0.45246175,0.4859105,0.5797935,1000,0.084569,0.314122,0.101031096,0.017884350258949418,0.08846375,0.092679,0.11103625,1000,0.024839,0.070343,0.029526707,0.0056626806626500666,0.0261585,0.0269605,0.03186625,1000,0.037327,0.212149,0.044973235,0.01045258040350683,0.038729,0.0411315,0.0497775,1000,0.005249,0.040873,0.006574309,0.0023773494382439866,0.005478,0.0056505,0.007033,1000,0.016015,0.058182,0.019379723999999997,0.004553532352781079,0.016726,0.017426,0.0207115,1000,0.0,1.2,0.48,0.5878775382679627,0.0,0.0,1.2,5
BilateralLagrangianConstraint_PGS,0.038163,1.777353,0.108157205,0.11902866794926747,0.053,0.0944185,0.12458375,1000,0.12578,0.301382,0.143982164,0.01747225602213704,0.13090425,0.1367175,0.15490275,1000,0.001863,0.02179,0.00260310575,0.001265202870913174,0.002069,0.002189,0.002981,4000,0.004026,0.026353,0.005227604750000001,0.001528103245702802,0.004303,0.004535,0.005875,4000,0.000352,0.020517,0.0007536,0.0009404518727718075,0.000458,0.000516,0.00088325,4000,0.000352,0.020517,0.0007536,0.0009404518727718075,0.000458,0.000516,0.00088325,4000,0.019996,0.062133,0.023256455000000002,0.0043396956743503344,0.020661,0.0210575,0.0249795,1000,0.027301,0.065508,0.030294261,0.004288723556593384,0.02813425,0.0286025,0.03165475,1000,0.418847,2.385127,0.526478139,0.147802163755967,0.450282,0.486979,0.58042,1000,0.084781,0.198463,0.101069724,0.01685287589771621,0.0881185,0.092572,0.1119235,1000,0.024617,0.077764,0.029435628000000002,0.006373760502059675,0.02585625,0.0266925,0.031806,1000,0.037962,0.108715,0.045233555,0.009211981451293474,0.0387975,0.0416395,0.05009875,1000,0.005238,0.028612,0.006665386000000001,0.0021133198562934105,0.005506,0.005913,0.007001,1000,0.016001,0.057479,0.019174735000000002,0.004141262218065284,0.01661875,0.0172165,0.02057125,1000,0.0,1.2,0.48,0.5878775382679627,0.0,0.0,1.2,5
BilateralLagrangianConstraint_UGS,0.035568,1.74509,0.079831847,0.11787425172592014,0.05234875,0.0670535,0.0794545,1000,0.126896,0.2363,0.137165103,0.01328687970391811,0.1296795,0.132352,0.13632475,1000,0.001908,0.023217,0.0024473235,0.0010976552265387113,0.00205,0.002117,0.002879,4000,0.00402,0.025095,0.00489205375,0.001535856776154905,0.00423375,0.004334,0.00566925,4000,0.00038,0.015364,0.0007347015,0.0007403781475690311,0.000455,0.000509,0.000931,4000,0.00038,0.015364,0.0007347015,0.0007403781475690311,0.000455,0.000509,0.000931,4000,0.020288,0.058942,0.021795311,0.0037719042077283727,0.02075375,0.0209355,0.02115775,1000,0.027543,0.065505,0.029080295,0.0038357692026469736,0.027972,0.028158,0.02841925,1000,0.436093,2.413628,0.501202069,0.13887808625002088,0.4604075,0.4834305,0.50739575,1000,0.09639,0.213657,0.121056993,0.016903812447993827,0.1085705,0.118883,0.12601825,1000,0.025279,0.064074,0.027321733,0.00420056611133678,0.02599775,0.026342,0.02671775,1000,0.042841,0.099983,0.046334791,0.007347700576188377,0.04368975,0.0440695,0.044799,1000,0.008863,0.088416,0.028610553,0.010776005042834335,0.01947025,0.029262,0.03416025,1000,0.016344,0.060217,0.01824601,0.0038133171310422115,0.016739,0.0169425,0.01756125,1000,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
FrictionContact_LCP_with_friction,0.035572,1.463924,0.083727173,0.09627772541496331,0.07532925,0.0758215,0.0782785,1000,0.040559,0.12995,0.054067128,0.008931887892691892,0.05162675,0.0520965,0.052884,1000,0.002916,0.018907,0.0041856440000000005,0.0013036980445118417,0.004036,0.004115,0.004178,1000,0.005732,0.031181,0.007789756,0.0020176545820491673,0.00749675,0.007603,0.00774925,1000,0.000786,0.009735,0.0010262180000000002,0.0004380372546667692,0.00095,0.000978,0.001006,1000,0.000786,0.009735,0.0010262180000000002,0.0004380372546667692,0.00095,0.000978,0.001006,1000,0.006141,0.036467,0.009448158,0.0025499545574452893,0.00920575,0.009329,0.00946925,1000,0.011094,0.043234,0.014362037000000001,0.003145703934834141,0.01379475,0.013928,0.0140665,1000,0.142541,1.732664,0.244057182,0.10677832560754487,0.23213875,0.2351665,0.25382725,1000,0.01195,0.093158,0.038055629,0.011433666087015092,0.03762775,0.038142,0.04059525,1000,0.002029,0.020542,0.003133041,0.0015364691969964772,0.002889,0.002948,0.00302925,1000,0.006776,0.060749,0.016374927,0.0052284557065801944,0.0158145,0.015992,0.016204,1000,0.001575,0.056073,0.016375803,0.006813214119062382,0.01709675,0.017374,0.01757025,1000,0.000934,0.012692,0.001348588,0.000643015954900032,0.001236,0.001269,0.001308,1000,0.0,1.2,0.48,0.5878775382679627,0.0,0.0,1.2,5
FrictionContact_LCP_without_friction,0.039582,1.429824,0.097694845,0.09613224199589321,0.075322,0.103263,0.104809,1000,0.039863,0.128961,0.053119375,0.008260519609950393,0.05092975,0.0515005,0.05278025,1000,0.002891,0.018482,0.004142743999999999,0.0011294945854071192,0.004011,0.00411,0.00420125,1000,0.005658,0.023887,0.007679106,0.0016983658100550659,0.007439,0.007541,0.00768425,1000,0.000817,0.011303,0.001063262,0.0006578821105304506,0.000956,0.000983,0.00101,1000,0.000817,0.011303,0.001063262,0.0006578821105304506,0.000956,0.000983,0.00101,1000,0.006096,0.029424,0.009391432,0.0022146977417643247,0.009158,0.009271,0.009419,1000,0.011173,0.04103,0.014040794,0.002543200833509615,0.013605,0.013744,0.01390025,1000,0.141398,1.683345,0.245842206,0.1061274298814758,0.22034925,0.2498795,0.25602475,1000,0.011933,0.08239,0.027495397,0.0070538053041880175,0.02469875,0.0285585,0.02929175,1000,0.00193,0.020762,0.003090469,0.0013495222706717367,0.002879,0.002965,0.003067,1000,0.006865,0.051281,0.014845964,0.004068368180573632,0.014171,0.01487,0.015161,1000,0.001556,0.028909,0.0074020100000000005,0.0030762557058703686,0.00579475,0.0088645,0.0091725,1000,0.000933,0.011497,0.0013933869999999998,0.0008840414522130735,0.001206,0.001273,0.00132725,1000,0.0,1.2,0.48,0.5878775382679627,0.0,0.0,1.2,5
FixedProjectiveConstraint,0.008435,0.149007,0.010318095,0.009385992824095649,0.0087805,0.008904,0.0092335,1000,1.101884,1.388974,1.1424390020000001,0.029694591022204637,1.1221325,1.13943,1.15566675,1000,0.067091,0.121419,0.069461808,0.006825508973485861,0.067368,0.0675035,0.0678775,1000,0.037234,0.090603,0.039897169999999996,0.005537183396195218,0.03758275,0.037761,0.04128975,1000,0.000662,0.005175,0.000914331,0.0005085831194986715,0.000765,0.000816,0.00086925,1000,0.983107,1.210558,1.024477628,0.02708511843573175,1.0059745,1.021378,1.03977475,1000,0.002763,0.023145,0.003031063,0.0009550931938983754,0.00289575,0.00294,0.00299425,1000,0.008346,0.030572,0.009067816999999999,0.0020199454466670627,0.00862,0.008743,0.008874,1000,1.135319,1.594492,1.1789307039999999,0.03587604195008674,1.156891,1.174448,1.191543,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
FEMBAR_EigenSimplicialLDLT,0.000295,0.010687,0.00038385899999999996,0.00034249445998293167,0.000321,0.000344,0.00041,1000,2.562259,5.158896,2.656100591,0.20082822934955066,2.6030365,2.629413,2.66144025,1000,0.051539,0.108166,0.05595153,0.0075561227415321935,0.05214025,0.053564,0.0565225,1000,0.043579,0.084392,0.046113934,0.005178603727033379,0.04417175,0.0445075,0.04698925,1000,0.686471,2.211859,0.716509298,0.10288586840234762,0.692369,0.700751,0.7224475,1000,1.766178,2.855646,1.8298368219999999,0.11449166526288415,1.792013,1.814838,1.833136,1000,0.001162,0.022277,0.0013591859999999999,0.0009485572125096091,0.001251,0.001286,0.00132325,1000,0.00571,0.025689,0.00664729,0.001512307786100435,0.006166,0.0064355,0.00667425,1000,2.578541,5.220035,2.674256208,0.2036027144762828,2.6214765,2.647978,2.68008125,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1.2,0.7,0.5727128425310541,0.0,1.1,1.2,5
FEMBAR_EigenSimplicialLLT,0.0003,0.00086,0.000369595,5.708149415528644e-05,0.000339,0.000351,0.000382,1000,2.610603,5.078744,2.6970187,0.18862520480450645,2.6462315,2.6771865,2.70037925,1000,0.051658,0.089977,0.054055966999999996,0.005280167696002751,0.05216575,0.0528685,0.05360775,1000,0.043638,0.096079,0.046085436,0.005147861344860018,0.044364,0.0447265,0.04610025,1000,0.688409,2.028198,0.71718116,0.08961196356083488,0.6942625,0.7036385,0.724998,1000,1.813711,2.903388,1.872095244,0.11397391351018209,1.8266835,1.8543615,1.87908575,1000,0.001159,0.010208,0.0013557159999999999,0.00033118193692289436,0.00126775,0.001319,0.00138025,1000,0.00583,0.02424,0.006500183,0.0010422474866897016,0.006163,0.006315,0.00659325,1000,2.62829,5.127537,2.7152137009999997,0.19088999097238074,2.66471,2.6945615,2.718638,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
