SceneName,CollisionDetection_min,CollisionDetection_max,CollisionDetection_mean,CollisionDetection_std,CollisionDetection_quartile1,CollisionDetection_quartile2,CollisionDetection_quartile3,CollisionDetection_cardinality,ODESolve_min,ODESolve_max,ODESolve_mean,ODESolve_std,ODESolve_quartile1,ODESolve_quartile2,ODESolve_quartile3,ODESolve_cardinality,ComputeForce_min,ComputeForce_max,ComputeForce_mean,ComputeForce_std,ComputeForce_quartile1,ComputeForce_quartile2,ComputeForce_quartile3,ComputeForce_cardinality,ComputeRHTerm_min,ComputeRHTerm_max,ComputeRHTerm_mean,ComputeRHTerm_std,ComputeRHTerm_quartile1,ComputeRHTerm_quartile2,ComputeRHTerm_quartile3,ComputeRHTerm_cardinality,setSystemMBKMatrix_min,setSystemMBKMatrix_max,setSystemMBKMatrix_mean,setSystemMBKMatrix_std,setSystemMBKMatrix_quartile1,setSystemMBKMatrix_quartile2,setSystemMBKMatrix_quartile3,setSystemMBKMatrix_cardinality,MBKSolve_min,MBKSolve_max,MBKSolve_mean,MBKSolve_std,MBKSolve_quartile1,MBKSolve_quartile2,MBKSolve_quartile3,MBKSolve_cardinality,ProjectAndMechaMap_min,ProjectAndMechaMap_max,ProjectAndMechaMap_mean,ProjectAndMechaMap_std,ProjectAndMechaMap_quartile1,ProjectAndMechaMap_quartile2,ProjectAndMechaMap_quartile3,ProjectAndMechaMap_cardinality,UpdateBBox_min,UpdateBBox_max,UpdateBBox_mean,UpdateBBox_std,UpdateBBox_quartile1,UpdateBBox_quartile2,UpdateBBox_quartile3,UpdateBBox_cardinality,TimeStep_min,TimeStep_max,TimeStep_mean,TimeStep_std,TimeStep_quartile1,TimeStep_quartile2,TimeStep_quartile3,TimeStep_cardinality,SolveConstraint_min,SolveConstraint_max,SolveConstraint_mean,SolveConstraint_std,SolveConstraint_quartile1,SolveConstraint_quartile2,SolveConstraint_quartile3,SolveConstraint_cardinality,PrepareState_min,PrepareState_max,PrepareState_mean,PrepareState_std,PrepareState_quartile1,PrepareState_quartile2,PrepareState_quartile3,PrepareState_cardinality,BuildSystem_min,BuildSystem_max,BuildSystem_mean,BuildSystem_std,BuildSystem_quartile1,BuildSystem_quartile2,BuildSystem_quartile3,BuildSystem_cardinality,SolveSystem_min,SolveSystem_max,SolveSystem_mean,SolveSystem_std,SolveSystem_quartile1,SolveSystem_quartile2,SolveSystem_quartile3,SolveSystem_cardinality,ApplyCorrection_min,ApplyCorrection_max,ApplyCorrection_mean,ApplyCorrection_std,ApplyCorrection_quartile1,ApplyCorrection_quartile2,ApplyCorrection_quartile3,ApplyCorrection_cardinality,CPUUsage_min,CPUUsage_max,CPUUsage_mean,CPUUsage_std,CPUUsage_quartile1,CPUUsage_quartile2,CPUUsage_quartile3,CPUUsage_cardinality
fallingBeamLagrangianCollision,0.336656,0.45491,0.3585681568627451,0.017504472944300464,0.3480795,0.35307,0.3608345,255,11.574644,13.911125,12.075144058823529,0.26327484136066404,11.921979,12.091117,12.192762,255,0.28149,0.360061,0.2946728980392157,0.01579669517998027,0.2848055,0.286648,0.2960965,255,0.136243,0.199297,0.14300966274509802,0.010302547072275632,0.137719,0.138583,0.1431325,255,3.558811,4.268175,3.693789631372549,0.07051765554729994,3.645977,3.696936,3.7243405,255,3.558811,4.268175,3.693789631372549,0.07051765554729994,3.645977,3.696936,3.7243405,255,0.022576,0.040818,0.02405139607843137,0.0018677977060091002,0.023245,0.023569,0.024024,255,0.052763,0.089888,0.055563749019607846,0.003354085402315876,0.0541875,0.054787,0.05545,255,39.835319,52.438383,47.086314011764706,1.8668418426799536,47.3293945,47.668683,47.8306445,255,27.137035,40.236373,34.47986963137255,1.9155286283813282,34.9680975,35.095257,35.28515,255,0.020389,0.051539,0.022032639215686274,0.002515235834892783,0.0213045,0.021722,0.022077,255,21.761894,27.103196,21.943437909803922,0.5437018452229592,21.8389215,21.865908,21.902927,255,4.851899,13.515168,12.092339219607844,1.8085958529476969,12.689122,12.781384,12.971041,255,0.398644,0.513301,0.4191029725490196,0.019587842086436373,0.4074275,0.412109,0.42236,255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
SofaScene,9.154345,13.901665,9.46874713903134,0.3539835509719838,9.271459,9.360852,9.594431,1755,8.8636,13.582838,9.162213139031339,0.3498024445416792,8.970339,9.049284,9.2860925,1755,0.004914,0.593673,0.17370021728395063,0.16918210121093397,0.02984325,0.1182665,0.27582525,10530,0.00607,0.366619,0.07630838404558404,0.07350510760206246,0.0132935,0.059717,0.1058345,10530,0.034067,5.580535,1.156977386134853,1.1940059270281442,0.08505075,0.8898705,1.7372245,10530,0.034067,5.580535,1.156977386134853,1.1940059270281442,0.08505075,0.8898705,1.7372245,10530,0.095711,0.197368,0.1074089190883191,0.01034387455846225,0.101715,0.10392,0.1092965,1755,0.121837,0.211798,0.1324908962962963,0.009993826096228972,0.127045,0.129145,0.133699,1755,23.945941,41.101669,30.714751205128206,3.6712062296783547,28.296185,30.165395,32.4268375,1755,14.099662,30.916628,20.770290199999998,3.6151204489492232,18.4148525,20.248754,22.5789095,1755,0.070702,0.152126,0.07974089743589743,0.007620064027725201,0.07582,0.078166,0.0803765,1755,13.28123,30.0216,19.951539301994302,3.529310185074493,17.670789,19.415673,21.7534175,1755,0.099392,0.694069,0.25076496125356124,0.10285892478635923,0.1932495,0.224673,0.2781115,1755,0.431884,0.625691,0.486102313960114,0.02702713185673138,0.468689,0.481017,0.5005735,1755,0.0,1.2,0.24,0.48,0.0,0.0,0.0,5
BilateralLagrangianConstraint_NNCG,0.042149,1.734673,0.108205768,0.12184014432359383,0.0539675,0.0932745,0.12419975,1000,0.126647,0.248026,0.144646838,0.017468653397436106,0.131557,0.136315,0.15770325,1000,0.00192,0.023364,0.0026457094999999997,0.0012029531791012274,0.002083,0.0022,0.003036,4000,0.004014,0.027229,0.005161914,0.001550350530881323,0.00433,0.004529,0.005767,4000,0.000348,0.021066,0.0007566012500000001,0.0008291833239690952,0.000462,0.000515,0.000973,4000,0.000348,0.021066,0.0007566012500000001,0.0008291833239690952,0.000462,0.000515,0.000973,4000,0.020255,0.074113,0.023043077000000002,0.004152316767188047,0.02073775,0.020981,0.0246545,1000,0.027343,0.071553,0.03055982,0.005169678170795548,0.02816475,0.0286345,0.031584,1000,0.423295,2.392488,0.5246688190000001,0.15103583582188776,0.45337975,0.484795,0.57928825,1000,0.085903,0.188873,0.099936192,0.015704191733200916,0.08786575,0.092024,0.1108355,1000,0.025151,0.069022,0.029163248,0.005360211633927899,0.02600375,0.0265555,0.03161475,1000,0.037963,0.101893,0.044566137000000006,0.008263283009447939,0.03881275,0.040926,0.04994375,1000,0.005171,0.023216,0.0064333739999999995,0.0017133513072700533,0.00544,0.0055885,0.00699075,1000,0.016154,0.069135,0.019231233,0.004191117651022338,0.01670275,0.0174155,0.0207095,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
BilateralLagrangianConstraint_PGS,0.0368,1.782332,0.10854074000000001,0.12264191827854944,0.05387725,0.094545,0.12346025,1000,0.12595,0.280062,0.146196287,0.019440627762153953,0.13149075,0.138735,0.1573035,1000,0.001857,0.018104,0.0025812777500000003,0.0010460095499587646,0.002058,0.002189,0.003011,4000,0.003965,0.030498,0.0053131565,0.0019333614259904302,0.004287,0.004654,0.005841,4000,0.00034,0.032038,0.00075383025,0.0010138507823811832,0.00045,0.000503,0.000924,4000,0.00034,0.032038,0.00075383025,0.0010138507823811832,0.00045,0.000503,0.000924,4000,0.020295,0.060891,0.023357311000000002,0.00432327501834882,0.02083975,0.0211055,0.02503325,1000,0.027375,0.072563,0.030479621,0.0053161054723696935,0.02803975,0.028476,0.03153125,1000,0.41994,2.418911,0.529974031,0.1521134369215226,0.456515,0.4909345,0.58337575,1000,0.085777,0.227711,0.10135081900000001,0.01704471673036073,0.088346,0.0923055,0.11194725,1000,0.025262,0.078762,0.029805113,0.006387317343629562,0.02626425,0.026876,0.0318495,1000,0.037862,0.10873,0.045205268,0.009453777450425624,0.038827,0.0414935,0.0502245,1000,0.005181,0.03108,0.006648015,0.002164585226960353,0.00548275,0.0059525,0.00699375,1000,0.01605,0.056452,0.019146089,0.004021291436973824,0.01667075,0.0172855,0.020493,1000,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
BilateralLagrangianConstraint_UGS,0.046314,1.760879,0.079647,0.11621947004702783,0.05284275,0.0673455,0.079811,1000,0.126211,0.262796,0.136995317,0.014342503834146638,0.12960825,0.1322225,0.13589675,1000,0.001879,0.023374,0.00246857875,0.001202964821928903,0.002018,0.002117,0.002916,4000,0.003972,0.026029,0.00488595025,0.0015688941098031242,0.00422,0.004345,0.005642,4000,0.00038,0.013914,0.00078498275,0.0008229315308410764,0.000485,0.000536,0.001009,4000,0.00038,0.013914,0.00078498275,0.0008229315308410764,0.000485,0.000536,0.001009,4000,0.020225,0.058481,0.021881524000000003,0.0036054832388216695,0.020849,0.0210505,0.021343,1000,0.027413,0.076161,0.029860325,0.0054852233042397645,0.0281085,0.028358,0.02874775,1000,0.439603,2.389636,0.503694203,0.1378981564668788,0.463856,0.4870135,0.507655,1000,0.097748,0.233476,0.12178660799999999,0.01693213102926906,0.1089645,0.1195645,0.1274315,1000,0.025348,0.082208,0.027755815,0.005274551126188369,0.0260275,0.026404,0.02679125,1000,0.043083,0.12479,0.046782879,0.007656511455379597,0.04395375,0.044388,0.04529025,1000,0.008978,0.076273,0.028047514,0.010367296136785328,0.01938575,0.0289775,0.03364575,1000,0.016437,0.058706,0.018679257,0.004229573881013429,0.017027,0.017246,0.01798525,1000,0.0,1.2,0.48,0.5878775382679627,0.0,0.0,1.2,5
FrictionContact_LCP_with_friction,0.040208,1.448378,0.08422131399999999,0.09577364606353568,0.0752445,0.07586,0.0783715,1000,0.040534,0.163022,0.053557254,0.008873325081697615,0.0514305,0.052033,0.05290425,1000,0.002902,0.018609,0.004199801,0.0012422322356946788,0.004083,0.004141,0.00421,1000,0.005701,0.034135,0.007673431,0.0018152655737491965,0.00745875,0.007553,0.007663,1000,0.000783,0.009976,0.001082769,0.0005805524348747492,0.000973,0.001006,0.00105,1000,0.000783,0.009976,0.001082769,0.0005805524348747492,0.000973,0.001006,0.00105,1000,0.006129,0.033684,0.00942873,0.002124441639843279,0.00918675,0.009316,0.009465,1000,0.011219,0.033768,0.014143762,0.0021667396482632608,0.0138125,0.01395,0.014078,1000,0.141746,1.714912,0.243035286,0.10631945138891662,0.232805,0.2357895,0.249327,1000,0.011772,0.087804,0.037605440000000004,0.01059471277488918,0.0375665,0.038255,0.03956175,1000,0.002003,0.019756,0.003093986,0.0013363892486113467,0.002861,0.002947,0.003038,1000,0.006709,0.045894,0.016073152,0.0043897900237820035,0.0158325,0.0160985,0.016348,1000,0.001553,0.056632,0.01623049,0.006481953144994185,0.017048,0.017325,0.01761225,1000,0.00095,0.020634,0.001419169,0.0010290092110564412,0.001253,0.001295,0.00134,1000,0.0,1.2,0.48,0.5878775382679627,0.0,0.0,1.2,5
FrictionContact_LCP_without_friction,0.0404,1.425277,0.098545963,0.09536006846914295,0.07565175,0.1036765,0.10530275,1000,0.040077,0.126645,0.054218191,0.008991334570046819,0.05163175,0.052554,0.05388175,1000,0.002937,0.021871,0.004270024999999999,0.0014348983944429653,0.004094,0.004179,0.004258,1000,0.005605,0.029838,0.007860313,0.0020815482571948695,0.007439,0.007652,0.0078465,1000,0.000821,0.01356,0.0011164010000000002,0.0008398819620631223,0.000982,0.001016,0.001052,1000,0.000821,0.01356,0.0011164010000000002,0.0008398819620631223,0.000982,0.001016,0.001052,1000,0.006149,0.041596,0.009535257,0.0027152612001336077,0.00918775,0.009351,0.00952425,1000,0.011153,0.041108,0.014222022,0.0027202137470272443,0.013735,0.0138725,0.01401525,1000,0.141631,1.666299,0.248925818,0.10669109740975989,0.222141,0.252964,0.25788,1000,0.011765,0.080173,0.027637663,0.007532353535079922,0.024738,0.028632,0.02922175,1000,0.001942,0.016787,0.003072187,0.0011784191750098944,0.00289275,0.002956,0.003027,1000,0.006735,0.050717,0.015000897999999999,0.004432849680013524,0.01427075,0.0149225,0.01527225,1000,0.001561,0.038788,0.0073820050000000005,0.0031697280771345354,0.00574725,0.0089,0.009102,1000,0.000947,0.013768,0.001401055,0.0009409475745093347,0.001219,0.001281,0.001334,1000,0.0,1.2,0.24,0.48,0.0,0.0,0.0,5
FixedProjectiveConstraint,0.008454,0.131848,0.010088281999999999,0.008494616652708701,0.00878875,0.008955,0.00931,1000,1.106041,1.276038,1.13866289,0.024321667036449206,1.11843475,1.1363545,1.14864875,1000,0.066817,0.108126,0.069400401,0.006824142357996278,0.0671465,0.0672995,0.0681135,1000,0.037294,0.077828,0.038896832,0.00488417307164437,0.03761875,0.03784,0.03804625,1000,0.000667,0.009622,0.000947087,0.0007085009212633389,0.00078,0.000814,0.00086525,1000,0.991257,1.126395,1.021535531,0.020977097490144793,1.0038715,1.021156,1.031068,1000,0.002658,0.020431,0.0030257820000000003,0.00098054293148031,0.002868,0.00293,0.003003,1000,0.008496,0.026136,0.009115551999999999,0.0013379149237885046,0.00877475,0.008933,0.00906925,1000,1.138732,1.457096,1.174764993,0.03029258559266526,1.15414,1.1708745,1.18433575,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
FEMBAR_EigenSimplicialLDLT,0.000286,0.00084,0.000353691,5.564176056704173e-05,0.000322,0.000335,0.000365,1000,2.563556,5.229306,2.6542820910000002,0.19977228171360692,2.61405975,2.6283785,2.648024,1000,0.050796,0.09866,0.054293347,0.0058322535751278,0.05228875,0.052608,0.05370575,1000,0.042461,0.090678,0.045754137,0.005874733626151147,0.044069,0.04443,0.04463425,1000,0.688318,2.18505,0.7171661069999999,0.10172119633898116,0.6939985,0.712747,0.723235,1000,1.766234,2.89956,1.829525593,0.11405379350448344,1.79741975,1.80999,1.829394,1000,0.001175,0.013398,0.001378122,0.0006211251428786312,0.001283,0.001326,0.001375,1000,0.005826,0.024774,0.006566621,0.0013024834560788094,0.00619175,0.00638,0.006611,1000,2.579477,5.283805,2.6725213070000002,0.20222057270264754,2.63215025,2.646208,2.66688875,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1.2,0.72,0.5878775382679627,0.0,1.2,1.2,5
FEMBAR_EigenSimplicialLLT,0.000287,0.000816,0.000344264,4.542008701004435e-05,0.000324,0.000337,0.00035125,1000,2.610205,5.049249,2.691642233,0.18814024483947264,2.6443875,2.672928,2.68891275,1000,0.051632,0.135422,0.053394602,0.005268324638781859,0.051986,0.052329,0.05258325,1000,0.043877,0.094624,0.045492847,0.004760718506443224,0.04427775,0.0444425,0.044754,1000,0.688404,2.007176,0.7142737830000001,0.09110156484578029,0.69337925,0.697232,0.72237625,1000,1.812781,2.9222,1.870916074,0.11075002933423776,1.8384675,1.852361,1.8777685,1000,0.00114,0.018761,0.001402671,0.0009504050456300198,0.001235,0.001284,0.00136625,1000,0.005831,0.023776,0.006476681,0.0012742010003288335,0.00612875,0.0062565,0.0064525,1000,2.626479,5.098873,2.7096849,0.19046891950488404,2.6615795,2.6909585,2.707063,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
