SceneName,CollisionDetection_min,CollisionDetection_max,CollisionDetection_mean,CollisionDetection_std,CollisionDetection_quartile1,CollisionDetection_quartile2,CollisionDetection_quartile3,CollisionDetection_cardinality,ODESolve_min,ODESolve_max,ODESolve_mean,ODESolve_std,ODESolve_quartile1,ODESolve_quartile2,ODESolve_quartile3,ODESolve_cardinality,ComputeForce_min,ComputeForce_max,ComputeForce_mean,ComputeForce_std,ComputeForce_quartile1,ComputeForce_quartile2,ComputeForce_quartile3,ComputeForce_cardinality,ComputeRHTerm_min,ComputeRHTerm_max,ComputeRHTerm_mean,ComputeRHTerm_std,ComputeRHTerm_quartile1,ComputeRHTerm_quartile2,ComputeRHTerm_quartile3,ComputeRHTerm_cardinality,setSystemMBKMatrix_min,setSystemMBKMatrix_max,setSystemMBKMatrix_mean,setSystemMBKMatrix_std,setSystemMBKMatrix_quartile1,setSystemMBKMatrix_quartile2,setSystemMBKMatrix_quartile3,setSystemMBKMatrix_cardinality,MBKSolve_min,MBKSolve_max,MBKSolve_mean,MBKSolve_std,MBKSolve_quartile1,MBKSolve_quartile2,MBKSolve_quartile3,MBKSolve_cardinality,ProjectAndMechaMap_min,ProjectAndMechaMap_max,ProjectAndMechaMap_mean,ProjectAndMechaMap_std,ProjectAndMechaMap_quartile1,ProjectAndMechaMap_quartile2,ProjectAndMechaMap_quartile3,ProjectAndMechaMap_cardinality,UpdateBBox_min,UpdateBBox_max,UpdateBBox_mean,UpdateBBox_std,UpdateBBox_quartile1,UpdateBBox_quartile2,UpdateBBox_quartile3,UpdateBBox_cardinality,TimeStep_min,TimeStep_max,TimeStep_mean,TimeStep_std,TimeStep_quartile1,TimeStep_quartile2,TimeStep_quartile3,TimeStep_cardinality,SolveConstraint_min,SolveConstraint_max,SolveConstraint_mean,SolveConstraint_std,SolveConstraint_quartile1,SolveConstraint_quartile2,SolveConstraint_quartile3,SolveConstraint_cardinality,PrepareState_min,PrepareState_max,PrepareState_mean,PrepareState_std,PrepareState_quartile1,PrepareState_quartile2,PrepareState_quartile3,PrepareState_cardinality,BuildSystem_min,BuildSystem_max,BuildSystem_mean,BuildSystem_std,BuildSystem_quartile1,BuildSystem_quartile2,BuildSystem_quartile3,BuildSystem_cardinality,SolveSystem_min,SolveSystem_max,SolveSystem_mean,SolveSystem_std,SolveSystem_quartile1,SolveSystem_quartile2,SolveSystem_quartile3,SolveSystem_cardinality,ApplyCorrection_min,ApplyCorrection_max,ApplyCorrection_mean,ApplyCorrection_std,ApplyCorrection_quartile1,ApplyCorrection_quartile2,ApplyCorrection_quartile3,ApplyCorrection_cardinality,CPUUsage_min,CPUUsage_max,CPUUsage_mean,CPUUsage_std,CPUUsage_quartile1,CPUUsage_quartile2,CPUUsage_quartile3,CPUUsage_cardinality
fallingBeamLagrangianCollision,0.331249,0.43734,0.3426534196078432,0.012155829096363919,0.3357895,0.339708,0.344679,255,12.023703,13.559156,12.502960576470587,0.2203428239350303,12.44364,12.540247,12.617446,255,0.287011,0.36918,0.298055168627451,0.012303543198854327,0.291473,0.294472,0.300192,255,0.135851,0.213112,0.14109387843137255,0.008818547308056854,0.137965,0.138725,0.141022,255,3.885372,4.11409,3.9546585098039215,0.04524620873909403,3.916607,3.951347,3.9776985,255,3.885372,4.11409,3.9546585098039215,0.04524620873909403,3.916607,3.951347,3.9776985,255,0.02284,0.047784,0.024547145098039215,0.0017970104581748253,0.023927,0.024285,0.024697,255,0.053937,0.085039,0.05617669019607843,0.002894810373772341,0.0550665,0.055549,0.056097,255,40.156483,53.688962,47.531069223529414,1.871261309880553,47.839015,48.182231,48.2873145,255,27.174117,40.663456,34.504354290196076,1.8944533392851597,35.0763505,35.163643,35.220532,255,0.020632,0.04229,0.022551407843137253,0.0018903674895185542,0.021796,0.022247,0.0227175,255,21.794673,27.383918,21.978068466666667,0.5257939786233486,21.889868,21.918016,21.9467605,255,4.836999,13.454212,12.089542760784314,1.7963537074667546,12.7551165,12.814151,12.8524435,255,0.391371,0.486175,0.4117791843137255,0.019076359323841195,0.4012465,0.406834,0.41345,255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
SofaScene,12.106511,27.083968,13.56106181025641,0.7305594581884313,13.254173,13.436671,13.617207,1755,11.787505,26.771412,13.223356687749288,0.7188191158495325,12.9283115,13.094037,13.2711005,1755,0.006339,0.990092,0.2590500064577398,0.23000168678326174,0.0525465,0.2361525,0.417339,10530,0.006952,2.200579,0.10374193200379868,0.0852705328875615,0.026534,0.1126415,0.17434825,10530,0.041591,11.239489,1.9015696136752136,1.9453948858428718,0.16814625,1.144813,2.746405,10530,0.041591,11.239489,1.9015696136752136,1.9453948858428718,0.16814625,1.144813,2.746405,10530,0.09267,0.236141,0.11226558176638177,0.01608374423164088,0.099279,0.112345,0.11955,1755,0.133277,0.67924,0.14883920284900284,0.019460947785907137,0.1384895,0.144839,0.148599,1755,23.986151,58.955323,29.286706679202283,2.6468770712312693,27.515075,29.139379,30.877357,1755,10.267199,38.108686,15.117058666666667,2.4468658377060963,13.4213005,15.084116,16.856631,1755,0.074627,0.158719,0.08760955384615385,0.011838422576007594,0.0811,0.08404,0.0887385,1755,9.482026,37.215568,14.26738424957265,2.3663712361607514,12.633213,14.246633,15.9788975,1755,0.106026,0.657797,0.272073641025641,0.1061553490674323,0.2075785,0.248726,0.3047675,1755,0.415602,0.818717,0.48782223133903135,0.0310852835961494,0.466233,0.485021,0.508374,1755,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
BilateralLagrangianConstraint_NNCG,0.033884,1.74211,0.09690599800000001,0.12145315458738813,0.04436825,0.0833725,0.11340275,1000,0.19407,0.313479,0.21686023999999998,0.020071885127620672,0.201923,0.208154,0.23184625,1000,0.002096,0.021263,0.0027793254999999998,0.0008767887781842043,0.002293,0.002397,0.00317,4000,0.00416,0.03081,0.005280993499999999,0.0013043632429111723,0.004473,0.0046875,0.005978,4000,0.014808,0.060844,0.0175056915,0.0026186196427369418,0.015753,0.0164895,0.018617,4000,0.014808,0.060844,0.0175056915,0.0026186196427369418,0.015753,0.0164895,0.018617,4000,0.020456,0.046156,0.023055966,0.0030767854895725182,0.021,0.021281,0.02497525,1000,0.025613,0.058202,0.027728421,0.0025537704900321406,0.0262135,0.026539,0.02893475,1000,0.494841,2.519681,0.5984024939999999,0.15501684242011887,0.5106215,0.5579025,0.656995,1000,0.090928,0.21864,0.10614673399999999,0.016967046559117,0.094272,0.098064,0.11711525,1000,0.025695,0.083139,0.029661845000000003,0.0047759448209726,0.02675175,0.027409,0.03210925,1000,0.041512,0.121204,0.048744548000000006,0.00942401545073521,0.042545,0.044352,0.0536985,1000,0.006152,0.020849,0.007592560000000001,0.0017665472329943513,0.006459,0.0066775,0.008253,1000,0.016563,0.055127,0.019599668,0.003860392575085596,0.01721475,0.017826,0.021176,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
BilateralLagrangianConstraint_PGS,0.037463,1.72526,0.094999036,0.11966123589174024,0.04433325,0.081778,0.111569,1000,0.193024,0.380866,0.215998986,0.022071486941250787,0.20083375,0.206348,0.231289,1000,0.002042,0.017195,0.0027753615,0.0008661016939815729,0.002264,0.0023815,0.003167,4000,0.004112,0.020041,0.005261885500000001,0.0012438468191018337,0.004429,0.004659,0.00593,4000,0.01466,0.057925,0.017432665,0.002667621668691983,0.015608,0.0163445,0.01856675,4000,0.01466,0.057925,0.017432665,0.002667621668691983,0.015608,0.0163445,0.01856675,4000,0.020225,0.05377,0.023090157,0.0035176135359574396,0.02092875,0.021218,0.02476425,1000,0.025656,0.066887,0.027953561000000002,0.0030652908169175397,0.0262795,0.0266075,0.029006,1000,0.491273,2.44891,0.595749992,0.15344307518552258,0.50786675,0.5554525,0.6565445,1000,0.091655,0.204522,0.105742991,0.016081863776220687,0.09412925,0.0976755,0.115592,1000,0.025545,0.064071,0.029639865,0.004503311799861852,0.02672575,0.0274235,0.03177525,1000,0.041437,0.117638,0.048586736,0.009135577956993417,0.04247525,0.0438765,0.05315275,1000,0.006074,0.024022,0.007613534,0.0018174140372639363,0.006399,0.0069275,0.008174,1000,0.016517,0.040132,0.019329976,0.002900742853378079,0.0172265,0.0177045,0.0210775,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
BilateralLagrangianConstraint_UGS,0.021626,1.721828,0.06630986900000001,0.11569426011547781,0.0423125,0.053867,0.06630425,1000,0.196186,0.403083,0.206883177,0.01418410114627187,0.20059325,0.203308,0.207317,1000,0.002088,0.017543,0.0026019560000000003,0.0008679784168192202,0.002237,0.0023145,0.003033,4000,0.00413,0.022558,0.004973640749999999,0.0011347862204791868,0.004406,0.004539,0.005759,4000,0.014643,0.058138,0.0168759085,0.0023314042365337995,0.015551,0.016122,0.01820525,4000,0.014643,0.058138,0.0168759085,0.0023314042365337995,0.015551,0.016122,0.01820525,4000,0.020475,0.041453,0.021426533,0.0013975978902785308,0.020974,0.02109,0.02124725,1000,0.02558,0.057119,0.026782279,0.001981498207205598,0.02610575,0.026299,0.02653,1000,0.508787,2.460301,0.5677914740000001,0.13977763670877158,0.52562175,0.552943,0.56786325,1000,0.103047,0.234947,0.12617648,0.016508590945553167,0.1149775,0.124815,0.131314,1000,0.02562,0.060718,0.027678611000000002,0.003090453527506764,0.026666,0.026977,0.0273485,1000,0.046542,0.132256,0.04986232,0.007259592731111023,0.047564,0.048048,0.04878325,1000,0.009346,0.072815,0.029482935000000002,0.01009549520364281,0.02090525,0.030876,0.035679,1000,0.016909,0.044789,0.018611498,0.002773809232805313,0.01752175,0.017737,0.01811275,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
FrictionContact_LCP_with_friction,0.036649,1.494431,0.077929493,0.09681024718812545,0.07060775,0.071234,0.074167,1000,0.060399,0.132576,0.078014082,0.007948955943347278,0.07731275,0.077921,0.078632,1000,0.003082,0.017992,0.004332788,0.0009753301497728859,0.004214,0.0042895,0.004352,1000,0.005939,0.022993,0.008007197,0.0012830610562989588,0.00784575,0.007959,0.00811325,1000,0.018538,0.056774,0.024729710999999998,0.0029804237412621383,0.02454,0.0247475,0.024945,1000,0.018538,0.056774,0.024729710999999998,0.0029804237412621383,0.02454,0.0247475,0.024945,1000,0.006498,0.028957,0.009881341,0.0016860811079894703,0.0097135,0.0099045,0.01022,1000,0.010024,0.029244,0.012248737999999999,0.0012683851273789046,0.012146,0.012248,0.012341,1000,0.161344,1.755869,0.264425467,0.10618162226380284,0.2600935,0.262285,0.266071,1000,0.012823,0.090117,0.039307257,0.010121627769136296,0.040448,0.040926,0.0416995,1000,0.002109,0.01428,0.003299981,0.0009187422623559884,0.00312675,0.0032175,0.003326,1000,0.007202,0.047731,0.017371717000000002,0.004207716235787652,0.01751075,0.017666,0.0178645,1000,0.001865,0.058332,0.016583454,0.006128426272207573,0.01783625,0.018084,0.018328,1000,0.001088,0.021443,0.001562558,0.0009689026135974657,0.00137,0.001416,0.00148325,1000,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
FrictionContact_LCP_without_friction,0.036714,1.44843,0.092651412,0.09560161337352137,0.071653,0.098326,0.10076625,1000,0.060891,0.163296,0.07851846000000001,0.008352794760342192,0.077466,0.078295,0.07927425,1000,0.003053,0.082978,0.004417109000000001,0.002696990036525719,0.004223,0.00429,0.00435925,1000,0.00598,0.025059,0.007984003,0.001432374193774448,0.00783175,0.00793,0.00806225,1000,0.018556,0.052828,0.024815449,0.0029975026204157023,0.0246815,0.0248695,0.02509025,1000,0.018556,0.052828,0.024815449,0.0029975026204157023,0.0246815,0.0248695,0.02509025,1000,0.006536,0.041002,0.009931512,0.0019535605631400325,0.00968875,0.009913,0.010249,1000,0.010124,0.028601,0.012247861,0.001313556957150698,0.0120945,0.0122145,0.01233025,1000,0.163237,1.713453,0.270506593,0.10598265120754127,0.2488325,0.2789505,0.2839335,1000,0.012907,0.082146,0.029618687999999997,0.007303064920747727,0.02743925,0.0311485,0.03220775,1000,0.002178,0.022899,0.0032568809999999997,0.000980926736733687,0.003093,0.003187,0.003273,1000,0.007229,0.045048,0.016316061,0.0042314251832307045,0.0158375,0.0165465,0.01698125,1000,0.001849,0.031334,0.007990119,0.002882250761269567,0.006398,0.009531,0.009861,1000,0.001068,0.016917,0.001557289,0.0009889477293967563,0.00130675,0.001393,0.00148225,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
FixedProjectiveConstraint,0.006284,0.139632,0.007923628,0.009149318539848527,0.0066,0.0067135,0.0069515,1000,1.125447,1.416472,1.204938397,0.06532543237498999,1.13326075,1.201296,1.2526785,1000,0.0676,0.108537,0.069426196,0.0036540095831270065,0.06801075,0.0683145,0.06999225,1000,0.037731,0.084971,0.039577919999999996,0.0035617773107817956,0.03810375,0.038404,0.040743,1000,0.015092,0.044097,0.016217122,0.0022135783530555222,0.015617,0.0157695,0.015949,1000,0.99324,1.274188,1.07141157,0.06334349462622899,1.002416,1.0660275,1.119579,1000,0.002814,0.008052,0.0031746350000000003,0.000600900292706702,0.002975,0.003046,0.00313,1000,0.011092,0.021141,0.01148902,0.0007248066387665058,0.011284,0.011353,0.011445,1000,1.160761,1.616029,1.243217843,0.06809841097873247,1.171124,1.239102,1.2895665,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1.2,0.48,0.5878775382679627,0.0,0.0,1.2,5
FEMBAR_EigenSimplicialLDLT,0.000288,0.011085,0.000356651,0.0003461510063527188,0.00032,0.000334,0.00035025,1000,2.503492,4.950854,2.5781880040000003,0.22603180428789657,2.515762,2.5380745,2.56663625,1000,0.052062,0.114639,0.054797683,0.005183946603748056,0.0525005,0.052979,0.05622575,1000,0.044315,0.091668,0.046630451,0.0048356240680597785,0.0448865,0.0451985,0.04762875,1000,0.692764,2.115868,0.716437909,0.09984059221277046,0.69857175,0.701088,0.71107675,1000,1.698954,3.16395,1.751561677,0.14445490542011608,1.709636,1.7148825,1.74336925,1000,0.001271,0.012324,0.0015175630000000002,0.0005042035382967874,0.00140575,0.001453,0.00151925,1000,0.012681,0.059166,0.013413514999999999,0.0020599456783553785,0.01295,0.0131155,0.013328,1000,2.528694,5.031492,2.605101431,0.22952421442113083,2.5419525,2.564693,2.592884,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,3.6,0.72,1.44,0.0,0.0,0.0,5
FEMBAR_EigenSimplicialLLT,0.000293,0.00089,0.00033963099999999996,4.7237409317192664e-05,0.000319,0.000332,0.00034725,1000,2.602554,4.857293,2.656041393,0.1707480096547557,2.6141955,2.630976,2.6508965,1000,0.052289,0.095719,0.054087605999999996,0.0041722603661281735,0.05276925,0.053019,0.053443,1000,0.044359,0.08494,0.045710732000000004,0.003408206889579328,0.044728,0.0449605,0.045385,1000,0.690841,1.90622,0.7098200429999999,0.08236960122412364,0.69666075,0.6988075,0.70842725,1000,1.79812,2.81956,1.838071628,0.10200349180738674,1.80711375,1.813707,1.8338295,1000,0.001251,0.016619,0.0014344149999999999,0.0006162166216315492,0.00134,0.001378,0.001428,1000,0.012549,0.032162,0.013314620000000001,0.0015463253201057014,0.01286675,0.013064,0.01331425,1000,2.627487,4.917838,2.682509385,0.17321002469099406,2.6401455,2.6573195,2.67669775,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
