SceneName,CollisionDetection_min,CollisionDetection_max,CollisionDetection_mean,CollisionDetection_std,CollisionDetection_quartile1,CollisionDetection_quartile2,CollisionDetection_quartile3,CollisionDetection_cardinality,ODESolve_min,ODESolve_max,ODESolve_mean,ODESolve_std,ODESolve_quartile1,ODESolve_quartile2,ODESolve_quartile3,ODESolve_cardinality,ComputeForce_min,ComputeForce_max,ComputeForce_mean,ComputeForce_std,ComputeForce_quartile1,ComputeForce_quartile2,ComputeForce_quartile3,ComputeForce_cardinality,ComputeRHTerm_min,ComputeRHTerm_max,ComputeRHTerm_mean,ComputeRHTerm_std,ComputeRHTerm_quartile1,ComputeRHTerm_quartile2,ComputeRHTerm_quartile3,ComputeRHTerm_cardinality,setSystemMBKMatrix_min,setSystemMBKMatrix_max,setSystemMBKMatrix_mean,setSystemMBKMatrix_std,setSystemMBKMatrix_quartile1,setSystemMBKMatrix_quartile2,setSystemMBKMatrix_quartile3,setSystemMBKMatrix_cardinality,MBKSolve_min,MBKSolve_max,MBKSolve_mean,MBKSolve_std,MBKSolve_quartile1,MBKSolve_quartile2,MBKSolve_quartile3,MBKSolve_cardinality,ProjectAndMechaMap_min,ProjectAndMechaMap_max,ProjectAndMechaMap_mean,ProjectAndMechaMap_std,ProjectAndMechaMap_quartile1,ProjectAndMechaMap_quartile2,ProjectAndMechaMap_quartile3,ProjectAndMechaMap_cardinality,UpdateBBox_min,UpdateBBox_max,UpdateBBox_mean,UpdateBBox_std,UpdateBBox_quartile1,UpdateBBox_quartile2,UpdateBBox_quartile3,UpdateBBox_cardinality,TimeStep_min,TimeStep_max,TimeStep_mean,TimeStep_std,TimeStep_quartile1,TimeStep_quartile2,TimeStep_quartile3,TimeStep_cardinality,SolveConstraint_min,SolveConstraint_max,SolveConstraint_mean,SolveConstraint_std,SolveConstraint_quartile1,SolveConstraint_quartile2,SolveConstraint_quartile3,SolveConstraint_cardinality,PrepareState_min,PrepareState_max,PrepareState_mean,PrepareState_std,PrepareState_quartile1,PrepareState_quartile2,PrepareState_quartile3,PrepareState_cardinality,BuildSystem_min,BuildSystem_max,BuildSystem_mean,BuildSystem_std,BuildSystem_quartile1,BuildSystem_quartile2,BuildSystem_quartile3,BuildSystem_cardinality,SolveSystem_min,SolveSystem_max,SolveSystem_mean,SolveSystem_std,SolveSystem_quartile1,SolveSystem_quartile2,SolveSystem_quartile3,SolveSystem_cardinality,ApplyCorrection_min,ApplyCorrection_max,ApplyCorrection_mean,ApplyCorrection_std,ApplyCorrection_quartile1,ApplyCorrection_quartile2,ApplyCorrection_quartile3,ApplyCorrection_cardinality,CPUUsage_min,CPUUsage_max,CPUUsage_mean,CPUUsage_std,CPUUsage_quartile1,CPUUsage_quartile2,CPUUsage_quartile3,CPUUsage_cardinality
fallingBeamLagrangianCollision,0.339753,0.433222,0.35626414901960785,0.01255097426424398,0.349269,0.353109,0.3599845,255,11.751498,13.526787,12.309890756862744,0.30109513285844847,12.179975,12.309349,12.442563,255,0.282747,0.38133,0.2983526039215686,0.014854990768008967,0.2871445,0.29381,0.3047685,255,0.137024,0.242172,0.15092712156862745,0.018212198559576936,0.138788,0.139743,0.165377,255,3.555403,4.094813,3.681416811764706,0.08127554785935975,3.610748,3.693864,3.7244995,255,3.555403,4.094813,3.681416811764706,0.08127554785935975,3.610748,3.693864,3.7244995,255,0.025209,0.056795,0.027967196078431376,0.003024888681922665,0.0264115,0.026987,0.028654,255,0.05127,0.090449,0.054247596078431375,0.0037545415277908693,0.0525265,0.053059,0.0553395,255,40.120451,50.810503,47.40357665098039,1.7687425659895932,47.670003,47.99918,48.1674585,255,27.275921,37.123333,34.55010396470588,1.8034285081651567,35.117806,35.20026,35.319586,255,0.020537,0.028472,0.022010741176470585,0.0008689318051665438,0.0215285,0.021926,0.0222635,255,21.792397,27.300201,21.962402874509802,0.34531535287118204,21.8879995,21.927162,21.98247,255,4.888148,14.115919,12.149077870588236,1.8097712768258722,12.7740915,12.844255,12.937423,255,0.398371,0.489438,0.4146608039215686,0.013071693502988166,0.4069445,0.411184,0.4170525,255,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
SofaScene,8.911963,15.698328,9.445106427350428,0.32306563502228086,9.2314705,9.419786,9.5789755,1755,8.641432,15.417881,9.1460457988604,0.3189465814042066,8.935753,9.125149,9.2793125,1755,0.004778,0.648477,0.1797783468186135,0.17527309565353102,0.0288605,0.119291,0.28626725,10530,0.006237,0.331028,0.08791434292497625,0.08458244326027227,0.01595225,0.0627895,0.1539835,10530,0.037456,5.981701,1.1852489133903132,1.2153977831093827,0.09647375,0.8863325,1.774081,10530,0.037456,5.981701,1.1852489133903132,1.2153977831093827,0.09647375,0.8863325,1.774081,10530,0.095174,0.211826,0.11538511339031339,0.014646848632095918,0.103202,0.115436,0.119609,1755,0.129636,0.240425,0.14451449002849,0.0127573869071571,0.136672,0.14216,0.1447855,1755,24.028818,42.196608,31.077316845584047,3.6856367901212495,28.5558935,30.537809,32.930097,1755,14.192064,32.037951,21.021880933903134,3.643405238267282,18.5693335,20.485423,22.860391,1755,0.074113,0.161781,0.08602985356125356,0.010163332936884588,0.0803115,0.084033,0.087625,1755,13.378975,30.807119,20.153045558404557,3.548003511759124,17.781985,19.625549,21.978805,1755,0.105265,0.663013,0.2785623584045584,0.10925446550602477,0.2135025,0.254179,0.3123795,1755,0.430562,0.730765,0.5019620284900285,0.032435949360441856,0.4793235,0.498121,0.519722,1755,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
BilateralLagrangianConstraint_NNCG,0.041086,1.690513,0.105937986,0.11689683974821477,0.05313375,0.0920335,0.12353275,1000,0.193098,0.311653,0.215149865,0.02016951609629678,0.2002585,0.2056395,0.22906175,1000,0.001921,0.012545,0.002592345,0.000742052344834918,0.002075,0.00221,0.003062,4000,0.004132,0.022698,0.0052466347500000005,0.001197611759854769,0.004465,0.004681,0.00587925,4000,0.014896,0.055218,0.01775321375,0.0026366020951332303,0.01580875,0.016791,0.01914625,4000,0.014896,0.055218,0.01775321375,0.0026366020951332303,0.01580875,0.016791,0.01914625,4000,0.020452,0.063999,0.022934065,0.003273043368911417,0.02093575,0.02121,0.02485275,1000,0.025557,0.072627,0.028159261999999997,0.003413774577114898,0.0263005,0.026695,0.02960125,1000,0.500817,2.378287,0.6053744620000001,0.14902753072890446,0.51956125,0.567401,0.67153775,1000,0.090229,0.179302,0.10519297500000001,0.015295371697686036,0.09395475,0.097756,0.11591675,1000,0.025253,0.054792,0.029090989,0.004427825842880341,0.0261915,0.0269985,0.0314745,1000,0.040974,0.097094,0.048423684,0.008370401479149251,0.04257775,0.044698,0.05317525,1000,0.006268,0.022878,0.007644767,0.0018437221267617852,0.006507,0.006708,0.00819175,1000,0.016545,0.046643,0.019455024,0.002984230330491264,0.0172995,0.017955,0.0212015,1000,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
BilateralLagrangianConstraint_PGS,0.045444,1.658563,0.106332919,0.11767593405582315,0.05319575,0.091313,0.1244505,1000,0.192759,0.322257,0.21632336900000002,0.02223869643753516,0.199895,0.204968,0.23291825,1000,0.001931,0.017396,0.0026435455000000004,0.000959705416224036,0.002089,0.002228,0.003051,4000,0.004162,0.047833,0.005229116,0.0014720163312762532,0.004413,0.004603,0.005821,4000,0.015004,0.056608,0.01790731375,0.0030107415186812264,0.015809,0.016823,0.01913825,4000,0.015004,0.056608,0.01790731375,0.0030107415186812264,0.015809,0.016823,0.01913825,4000,0.020169,0.056338,0.022892524,0.00353645253713718,0.0207,0.020972,0.02478325,1000,0.02569,0.067402,0.028090959999999998,0.0030375797339987636,0.02619375,0.026751,0.02960225,1000,0.498912,2.358885,0.6058206230000001,0.1517067685059334,0.51583875,0.564303,0.67301225,1000,0.090589,0.204712,0.105358378,0.015744947891279792,0.09364225,0.09756,0.1165725,1000,0.025265,0.057737,0.02918552,0.004558549144366001,0.0261605,0.0270095,0.03170975,1000,0.041277,0.120532,0.048456716,0.008730048483905689,0.04235375,0.0444585,0.05434375,1000,0.006156,0.02158,0.007612084,0.0016715453439688677,0.00641075,0.006951,0.00820025,1000,0.016441,0.048999,0.0195454,0.0033468630145256917,0.017199,0.017943,0.0211815,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
BilateralLagrangianConstraint_UGS,0.042499,1.743238,0.078220948,0.1166777936636072,0.05251175,0.065808,0.078079,1000,0.196539,0.326457,0.207324383,0.013238998342106966,0.20067225,0.203828,0.207595,1000,0.001919,0.019012,0.0024708185,0.0007964840155695217,0.002088,0.00217,0.002974,4000,0.004124,0.026181,0.004932019500000001,0.0010997498502476597,0.004353,0.004483,0.00572425,4000,0.015056,0.06626,0.01726931525,0.002457812417652624,0.01573,0.016464,0.018903,4000,0.015056,0.06626,0.01726931525,0.002457812417652624,0.01573,0.016464,0.018903,4000,0.020307,0.046376,0.021371334,0.0021872890564449865,0.02074,0.020871,0.02105175,1000,0.025593,0.058718,0.026622029,0.002046970191321554,0.026037,0.026162,0.0263545,1000,0.519307,2.470468,0.580276463,0.13968685484791557,0.53729525,0.565484,0.58340875,1000,0.103215,0.252482,0.126650645,0.01619115464360016,0.11576175,0.1253145,0.131551,1000,0.025689,0.071226,0.02760982,0.003666584004437919,0.026549,0.026808,0.027114,1000,0.046814,0.113613,0.050043711000000005,0.006677703609436331,0.047685,0.048356,0.04925125,1000,0.009462,0.088268,0.029569365,0.01047807387613654,0.020904,0.030991,0.03588925,1000,0.017087,0.042439,0.018892862,0.00263100878427952,0.0177005,0.0179165,0.01846025,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
FrictionContact_LCP_with_friction,0.036351,1.42532,0.080074142,0.09476686171713104,0.072112,0.07515,0.07571225,1000,0.060175,0.165888,0.078825801,0.008454520892007957,0.0776045,0.0783095,0.08163075,1000,0.002931,0.024845,0.004122364,0.0009714441093053166,0.004083,0.004145,0.00421025,1000,0.00592,0.024413,0.007726963,0.0011185193067761504,0.0076335,0.007759,0.00787725,1000,0.019009,0.050277,0.025245838,0.0027250149378959376,0.025072,0.025425,0.02574325,1000,0.019009,0.050277,0.025245838,0.0027250149378959376,0.025072,0.025425,0.02574325,1000,0.006178,0.03933,0.009603407,0.0020051133063622613,0.00948675,0.0096245,0.00988925,1000,0.009833,0.027625,0.012019915999999999,0.0011965248685021136,0.01194075,0.012064,0.01219225,1000,0.164562,1.724883,0.26730852899999996,0.10507487645067758,0.26251825,0.265726,0.2684915,1000,0.013022,0.102674,0.039197111,0.010299259245240845,0.0402595,0.0406995,0.04183825,1000,0.002139,0.017174,0.003092094,0.0007787532877388062,0.003027,0.0031035,0.00317325,1000,0.007301,0.047251,0.016882242999999998,0.003691259333337472,0.0173885,0.017532,0.017671,1000,0.00198,0.071119,0.016571454000000003,0.006449884007010048,0.017808,0.018058,0.018214,1000,0.000988,0.011804,0.0014081859999999999,0.0006964199763102722,0.001302,0.001348,0.001386,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
FrictionContact_LCP_without_friction,0.028208,1.459571,0.094781263,0.0965864057630774,0.0743515,0.0987445,0.103861,1000,0.059647,0.133636,0.078021651,0.00820459646510412,0.07658,0.0777805,0.080633,1000,0.0029,0.013012,0.004050072,0.0005939902194615665,0.00402575,0.004091,0.004155,1000,0.005855,0.018152,0.007669456,0.0010013476609369994,0.007586,0.007703,0.007808,1000,0.018738,0.0564,0.025141844,0.002897587534426527,0.02498,0.025353,0.0257665,1000,0.018738,0.0564,0.025141844,0.002897587534426527,0.02498,0.025353,0.0257665,1000,0.006127,0.025784,0.009376126,0.0014286484970502718,0.0093545,0.00947,0.0097145,1000,0.009811,0.029888,0.011971825,0.0011782167535623485,0.011919,0.012011,0.01210725,1000,0.163545,1.71606,0.27067594500000003,0.10676364608065789,0.249524,0.2789295,0.2856145,1000,0.012833,0.076141,0.029085863,0.006822082024589781,0.0268015,0.0308415,0.03154175,1000,0.002041,0.015723,0.002967877,0.0007198042510787222,0.002898,0.002966,0.003037,1000,0.007179,0.057834,0.015694389,0.0035424991141394797,0.01561975,0.016292,0.016621,1000,0.001922,0.033605,0.007763264,0.0029037363010962275,0.0062805,0.008859,0.00980625,1000,0.001022,0.022485,0.0013917909999999999,0.0008863368622137974,0.00125775,0.0013275,0.001392,1000,0.0,1.2,0.48,0.5878775382679627,0.0,0.0,1.2,5
FixedProjectiveConstraint,0.00873,0.160837,0.010394521,0.008619738281268115,0.00918275,0.00935,0.00967425,1000,1.12303,1.271125,1.1422191000000002,0.02071259855430989,1.130397,1.1331015,1.14533375,1000,0.066944,0.123774,0.068354314,0.00477178909670199,0.067276,0.0674285,0.06767025,1000,0.03744,0.067451,0.038813925000000006,0.002923871478258749,0.03802575,0.0382475,0.03852075,1000,0.015372,0.042462,0.016381484,0.001971520009470865,0.015844,0.015982,0.016168,1000,0.990616,1.106656,1.010380507,0.018082755163689825,1.000878,1.002643,1.012767,1000,0.002767,0.013338,0.003130059,0.000748615354851208,0.002919,0.002971,0.003084,1000,0.011006,0.040261,0.011505566,0.001339506299217738,0.011236,0.0113175,0.01143975,1000,1.161307,1.477116,1.183077208,0.026976013180986105,1.16930875,1.172822,1.18723875,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
FEMBAR_EigenSimplicialLDLT,0.000282,0.0092,0.000361589,0.00029390028254324633,0.000328,0.000343,0.000361,1000,2.564049,4.935027,2.614621194,0.18061003710601012,2.57494975,2.58149,2.61124,1000,0.051992,0.117786,0.053787038,0.004444122026290007,0.0527,0.053028,0.0532915,1000,0.044415,0.083951,0.045537097,0.0029564938324966954,0.044824,0.0449605,0.04517175,1000,0.690423,2.064736,0.709000888,0.09425517883691832,0.695841,0.6983375,0.70083125,1000,1.764308,2.780107,1.7987483,0.10176771235294621,1.7699885,1.776069,1.7942385,1000,0.001207,0.002997,0.001446899,0.0001566644401228307,0.001352,0.001407,0.00151925,1000,0.011599,0.031697,0.012271125,0.001141627839260676,0.01193975,0.0121025,0.01228125,1000,2.587249,4.994099,2.6402093730000002,0.18289032771042835,2.60038575,2.6070675,2.636546,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
FEMBAR_EigenSimplicialLLT,0.000308,0.002612,0.00036584199999999996,8.776083999142214e-05,0.000339,0.000353,0.000371,1000,2.614599,4.946243,2.6642805469999997,0.17799364371693105,2.6229515,2.6327445,2.6569225,1000,0.051814,0.09586,0.053379458,0.0029595366266082944,0.05222875,0.0525865,0.053973,1000,0.04446,0.080522,0.045407462,0.0025664683318825502,0.04477975,0.044903,0.04513925,1000,0.69064,1.972539,0.7115578050000001,0.08723217925989799,0.696423,0.699669,0.70867925,1000,1.812095,2.854243,1.846581222,0.10484314448398004,1.81969225,1.8223275,1.84216125,1000,0.0012,0.010571,0.001390978,0.0003289627479153225,0.001306,0.001355,0.001424,1000,0.011686,0.024199,0.012260318,0.0009042318866728821,0.011981,0.0121235,0.012289,1000,2.638445,5.000771,2.6894680610000004,0.18023044537631058,2.6476605,2.658221,2.6830485,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
